[00:09.730 --> 00:10.110]  Zero.
[06:39.650 --> 06:41.830]  I'm going to tell you, Eric, it's fucking exciting right now.
[06:41.910 --> 06:43.510]  It's a little wild. It's a little crazy.
[06:43.510 --> 06:44.810]  It's pretty loud.
[06:44.990 --> 06:46.910]  It already smells like stale beer.
[06:47.690 --> 06:49.110]  Everybody's having a blast.
[06:49.510 --> 06:51.890]  We're looking down on them at like a three-quarter angle.
[06:52.390 --> 07:01.490]  And somehow, we've discovered there's a phenomenon that when you look down on people like this, they appear far more sober than they are at eye level.
[07:01.710 --> 07:06.010]  I guarantee you right now, if you walked by any of these people and they...
[07:06.010 --> 07:07.090]  They would have glassy eyes.
[07:07.350 --> 07:07.710]  Really?
[07:08.770 --> 07:11.470]  They would be barely holding themselves up high.
[07:11.470 --> 07:16.050]  Everybody you see is at least 30% drunker than they look from this angle.
[07:16.150 --> 07:17.310]  There's going to be a lot of cars.
[07:17.690 --> 07:19.570]  There's going to be bicycles going the wrong way.
[07:19.630 --> 07:21.450]  There's going to be aggressive honking everywhere.
[07:21.970 --> 07:23.950]  It's an orgy of fun.
[07:24.610 --> 07:25.550]  And, uh...
[07:26.290 --> 07:27.710]  Yeah, you know, just people having a good time.
[07:28.550 --> 07:30.590]  You know when you get your orgies in the store?
[07:30.910 --> 07:31.610]  You get them in the mail?
[07:32.110 --> 07:32.430]  Yeah.
[07:34.390 --> 07:35.390]  It's the same thing.
[07:35.990 --> 07:38.230]  Y'all gotta stop expecting me to talk to that.
[07:38.250 --> 07:38.730]  I don't have it.
[07:40.070 --> 07:42.170]  You're like the host of this thing.
[07:42.170 --> 07:44.570]  I think it's clear that I don't have it tonight.
[07:46.450 --> 07:48.630]  Is it, like, too late for you?
[07:49.010 --> 07:49.750]  No, it's just...
[07:49.750 --> 07:50.210]  It's the...
[07:50.210 --> 07:51.310]  I just think it's honestly...
[07:51.310 --> 07:58.130]  I think it's the cumulative effect of a very, very long, high-energy, exciting but stressful week.
[07:59.410 --> 08:00.110]  It has been a lot.
[08:00.210 --> 08:04.290]  We've recorded a piece of fuckface content every day outside of Monday.
[08:04.690 --> 08:05.210]  Oh, that's true.
[08:05.770 --> 08:06.210]  Very true.
[08:06.970 --> 08:07.470]  Is that true?
[08:08.210 --> 08:08.530]  Yeah.
[08:08.610 --> 08:08.710]  Yeah.
[08:08.710 --> 08:10.230]  Tuesday, Wednesday, Thursday, and tonight?
[08:10.610 --> 08:12.350]  Yeah, we've been doing a lot.
[08:12.950 --> 08:17.050]  The thing that we announced is that we'll be taking over the Let's Play channel.
[08:17.490 --> 08:17.950]  Oh, shit!
[08:19.510 --> 08:20.690]  Did you just learn that, Gavin?
[08:20.930 --> 08:21.290]  What?
[08:21.630 --> 08:22.990]  Wait for it to tell Gavin!
[08:24.470 --> 08:26.470]  This is why you gotta come to the meetings, man.
[08:26.670 --> 08:27.830]  Starting next Friday.
[08:28.930 --> 08:30.030]  Starting next Friday,
[08:30.530 --> 08:32.030]  the 6th of October,
[08:32.630 --> 08:34.650]  on Let's Play, we will have
[08:34.650 --> 08:36.730]  a new video every Friday
[08:36.730 --> 08:38.470]  on YouTube, on the Let's Play channel.
[08:38.930 --> 08:40.470]  And then starting on Monday,
[08:40.790 --> 08:42.610]  the 9th, not this coming Monday,
[08:42.770 --> 08:43.910]  you're gonna hear this, and you're gonna go,
[08:43.990 --> 08:45.470]  you said Monday, not this Monday,
[08:45.910 --> 08:48.370]  Monday the 9th, fuckfaceoff...
[08:48.370 --> 08:50.450]  Wait, hang on, Nick, you have to get ready. Ready for the button?
[08:50.910 --> 08:51.630]  Yeah, yeah, yeah.
[08:51.670 --> 08:54.010]  3, 2, 1...
[08:55.210 --> 08:57.010]  Faceoff will be live
[08:57.010 --> 08:58.790]  on the Rooster Teeth
[08:58.790 --> 09:00.390]  website for First members.
[09:00.890 --> 09:01.870]  So, ready, Nick?
[09:01.970 --> 09:03.470]  3, 2, 1...
[09:04.750 --> 09:05.170]  Faceoff
[09:05.170 --> 09:07.590]  is a show where we have
[09:07.590 --> 09:09.330]  computer simulated
[09:10.790 --> 09:11.210]  baseball
[09:11.210 --> 09:13.530]  in this case, where we are the front
[09:13.530 --> 09:15.410]  office, the games
[09:15.410 --> 09:17.510]  play themselves, so we are not even
[09:17.510 --> 09:19.230]  managing teams, we've just put together
[09:19.230 --> 09:21.510]  our own teams, and we have a big
[09:21.510 --> 09:23.070]  bet on the line that
[09:23.070 --> 09:25.250]  you have to sign up for first and check it out
[09:25.250 --> 09:27.450]  on the 9th to see what the bet
[09:27.450 --> 09:29.390]  is and see exactly what we're doing on
[09:29.390 --> 09:31.370]  the, I'm not gonna wait for Nick again, beep
[09:31.370 --> 09:31.970]  Faceoff.
[09:32.070 --> 09:34.930]  I was ready that time.
[09:35.430 --> 09:37.310]  We have recorded almost the whole season
[09:37.310 --> 09:38.250]  and it is
[09:40.230 --> 09:41.270]  so good.
[09:41.490 --> 09:42.930]  I think you guys would all agree, it is
[09:42.930 --> 09:44.410]  so good.
[09:44.830 --> 09:47.150]  We've recorded 5 episodes and
[09:47.150 --> 09:48.910]  4 of them are so
[09:48.910 --> 09:49.630]  good.
[09:54.050 --> 09:56.550]  It's all on sale right now!
[09:57.090 --> 09:59.350]  We're not gonna tell you which one, but one of them
[09:59.350 --> 10:00.990]  maybe not so good.
[10:01.090 --> 10:03.450]  Don't worry.
[10:04.390 --> 10:05.710]  You'll hear it in us.
[10:06.190 --> 10:07.590]  Store.roosterteeth.com
[10:07.590 --> 10:08.990]  Everything's on sale. The
[10:08.990 --> 10:11.030]  bingo box, the VCK
[10:11.030 --> 10:13.330]  desk mat, and Geoff's fridge fridge magnet
[10:13.330 --> 10:14.310]  all on sale.
[10:14.830 --> 10:16.830]  Wanna give a shout out to
[10:17.350 --> 10:18.930]  Natalie on the store team
[10:18.930 --> 10:20.990]  who started her day
[10:20.990 --> 10:23.530]  in Austin putting the vinyl reissue
[10:23.530 --> 10:25.470]  on sale and is ending her day
[10:25.470 --> 10:27.330]  in Arkansas putting
[10:27.330 --> 10:28.850]  all of these on sale at
[10:28.850 --> 10:29.250]  10pm.
[10:30.650 --> 10:32.410]  Weird day for Natalie.
[10:32.430 --> 10:35.190]  Why did we make Natalie go all the way to Arkansas
[10:35.190 --> 10:35.710]  to do that?
[10:36.410 --> 10:38.630]  We said that's where the switch is.
[10:39.170 --> 10:40.250]  Factory problem.
[10:41.570 --> 10:43.190]  Pranking the newbie again.
[10:43.250 --> 10:45.010]  It was a factory problem.
[10:46.150 --> 10:47.550]  I'm hearing rumors
[10:47.550 --> 10:49.390]  that the magnet is also
[10:49.390 --> 10:49.890]  wipeable.
[10:50.030 --> 10:53.190]  The magnet is
[10:53.190 --> 10:53.670]  wipeable.
[10:53.670 --> 10:55.490]  on the scene.
[10:56.690 --> 10:57.870]  My actual fridge
[10:57.870 --> 10:58.730]  is not wipeable.
[10:59.730 --> 11:01.910]  It will not stick to Geoff's fridge
[11:01.910 --> 11:03.190]  so he'll never know.
[11:03.490 --> 11:05.610]  It is stuck to my fridge and it's open right now.
[11:05.850 --> 11:07.230]  It's nice. I'm very happy.
[11:08.770 --> 11:09.790]  Geoff's fridge is open
[11:09.790 --> 11:10.390]  on my fridge.
[11:10.710 --> 11:13.930]  Do you not bang the side of your face
[11:13.930 --> 11:14.670]  on it when you walk by?
[11:21.380 --> 11:22.720]  Have you ever banged
[11:22.720 --> 11:24.340]  the side of your face on a fridge, Gavin?
[11:24.340 --> 11:24.960]  Ever?
[11:25.340 --> 11:26.660]  If the doors are stuck open.
[11:31.870 --> 11:33.610]  Oh man, I'm glad I'm not the only one
[11:33.610 --> 11:34.750]  that's fucking lost.
[11:37.210 --> 11:38.650]  Hey, is Smee around?
[11:39.550 --> 11:40.690]  He's under my desk.
[11:41.110 --> 11:42.790]  Can you tell Smee I say hi?
[11:44.030 --> 11:44.550]  Hey Smee!
[11:45.530 --> 11:46.510]  Oh, he didn't even look.
[11:46.870 --> 11:47.890]  He doesn't give a shit.
[11:48.970 --> 11:51.030]  He was full-blown Schmee mode earlier
[11:51.030 --> 11:52.090]  but he's really chill at the moment.
[11:52.090 --> 11:53.710]  Really? That's so cool.
[11:54.390 --> 11:56.130]  We have an episode of
[11:56.130 --> 11:57.270]  Anima that's coming out
[11:57.990 --> 11:59.830]  this coming week, on Monday.
[12:00.870 --> 12:02.050]  I mean, we'll just
[12:02.050 --> 12:03.390]  talk about it briefly.
[12:03.930 --> 12:05.570]  Gavin is a special guest on Anima.
[12:06.130 --> 12:08.350]  He didn't know he was going to be a special guest on Anima.
[12:09.010 --> 12:10.330]  But he was.
[12:10.850 --> 12:12.210]  And I told Geoff
[12:12.210 --> 12:13.890]  and Gus on the way
[12:13.890 --> 12:15.050]  that Smee respects me.
[12:18.090 --> 12:20.050]  I feel like I've seen
[12:20.050 --> 12:22.130]  evidence of a tentative
[12:22.130 --> 12:23.130]  respect.
[12:23.450 --> 12:26.210]  I've seen Eric hear about
[12:26.210 --> 12:28.230]  Smee, get brave with Smee
[12:28.230 --> 12:30.030]  and then get a little bit more
[12:30.030 --> 12:31.910]  scared of Smee, even though nothing has
[12:31.910 --> 12:32.490]  happened yet.
[12:34.070 --> 12:35.810]  There's, again, a healthy respect.
[12:35.910 --> 12:38.270]  A mutual respect between me and
[12:38.270 --> 12:40.010]  Gavin's cat. And we will
[12:40.010 --> 12:42.130]  say that when the cat goes crazy and bites
[12:42.130 --> 12:44.290]  you very, very hard, we call it going Schmee mode.
[12:44.690 --> 12:44.910]  So,
[12:45.550 --> 12:47.470]  I'm feeling pretty good about Smee.
[12:47.470 --> 12:49.390]  Would you say animals
[12:49.390 --> 12:51.490]  in general respect you, Eric? Or is this
[12:51.490 --> 12:53.410]  a special respect between you and Smee?
[12:53.730 --> 12:55.710]  I think after working for a zoo,
[12:56.150 --> 12:58.390]  I learned that you can build
[12:58.390 --> 12:59.530]  up a healthy respect
[12:59.530 --> 13:01.530]  with animals. I had a goat that respected
[13:01.530 --> 13:03.770]  me. I had a horse that I was friends with.
[13:05.010 --> 13:06.050]  The guanacos?
[13:06.270 --> 13:07.170]  Not friendly.
[13:07.530 --> 13:08.530]  So I didn't even try.
[13:09.050 --> 13:11.410]  Yeah, guanacos are like llamas. Didn't even
[13:11.410 --> 13:11.830]  try.
[13:13.990 --> 13:15.030]  Guinea hens?
[13:15.930 --> 13:17.030]  Friendly. Made friends
[13:17.030 --> 13:19.210]  with them. A giant Flemish rabbit?
[13:19.510 --> 13:20.670]  Wouldn't come over and say hi.
[13:20.970 --> 13:22.290]  But again, healthy respect.
[13:23.950 --> 13:25.250]  Respect for animals,
[13:25.450 --> 13:26.370]  I get it.
[13:28.190 --> 13:28.670]  Guanacos?
[13:28.990 --> 13:30.810]  Yeah. I'm imagining just like llamas
[13:30.810 --> 13:33.170]  in leather jackets. Like they're the pumice snakes.
[13:33.450 --> 13:35.030]  That's my mental imagery.
[13:35.030 --> 13:36.230]  Hey, what's up, butterfly? Hey!
[13:36.330 --> 13:37.330]  What up, guanacos?
[13:38.430 --> 13:40.170]  Just a llama holding a comb.
[13:42.150 --> 13:42.710]  Oh, man.
[13:42.710 --> 13:44.250]  Hey, Geoff. Yeah, what's up, buddy?
[13:44.350 --> 13:45.650]  It is slop o'clock.
[13:47.630 --> 13:49.090]  Now bingo begins!
[13:49.310 --> 13:49.710]  Bingo begins.
[13:50.070 --> 13:51.370]  Oh, there's a manager right there.
[13:52.750 --> 13:53.610]  That's the manager?
[13:54.250 --> 13:56.850]  Yeah, that's him. Oh, I've got hug and chug
[13:56.850 --> 13:58.130]  on the same line. That's great.
[13:59.170 --> 13:59.850]  That's nice.
[14:00.490 --> 14:01.670]  What do I got going on here?
[14:02.570 --> 14:04.590]  Alright, assholes, do something.
[14:04.690 --> 14:05.210]  It's Friday night.
[14:05.950 --> 14:08.030]  Looking for someone to hoof in it.
[14:08.450 --> 14:10.510]  Be prepared for the next 45 minutes of me yelling
[14:10.510 --> 14:10.930]  trip.
[14:11.250 --> 14:13.670]  He got a wheelchair again.
[14:14.490 --> 14:15.870]  I've never seen one.
[14:16.130 --> 14:18.410]  I got a wheelchair too.
[14:18.670 --> 14:20.210]  That's a dance.
[14:20.630 --> 14:21.250]  He twirled up.
[14:22.850 --> 14:23.870]  Dancing in the street.
[14:24.610 --> 14:24.970]  Dancing.
[14:25.750 --> 14:27.930]  Oh, that wasn't a dance. He was directing traffic.
[14:28.130 --> 14:30.510]  That was not a dance. It was temporarily that blocker lemming.
[14:33.430 --> 14:33.910]  What?
[14:34.790 --> 14:36.310]  You know, you make the lemming block
[14:36.310 --> 14:37.970]  all the other lemmings and they have to go the other way.
[14:38.530 --> 14:40.190]  They all want to die, don't they?
[14:41.170 --> 14:41.430]  Is that
[14:41.970 --> 14:42.550]  the manager?
[14:43.290 --> 14:44.530]  Yeah, he's checking out his foot.
[14:44.770 --> 14:47.630]  He's playing along.
[14:48.030 --> 14:48.790]  That was a nose pick.
[14:50.130 --> 14:50.670]  Do I have that?
[14:52.790 --> 14:54.190]  I don't have it.
[14:54.410 --> 14:56.330]  I hate puking. It's so rare.
[15:00.090 --> 15:02.010]  I need a mullet. I need jeans
[15:02.010 --> 15:02.850]  and flip flops.
[15:03.730 --> 15:05.770]  We saw a mullet before this all started.
[15:05.770 --> 15:08.530]  Why would Emily text you right now?
[15:08.830 --> 15:09.770]  To let me know that
[15:09.770 --> 15:11.630]  she wants me to let everybody know that merch
[15:11.630 --> 15:14.110]  doesn't show up on the fuckface page on the store.
[15:14.250 --> 15:15.110]  It's only as new.
[15:15.390 --> 15:17.990]  Thank you. Store.roosterteeth.com
[15:17.990 --> 15:18.390]  Go there now.
[15:18.390 --> 15:19.110]  Is that a cowboy hat?
[15:20.810 --> 15:21.930]  Definitely a cowboy hat.
[15:23.430 --> 15:24.810]  Do I have a cowboy hat?
[15:25.150 --> 15:26.110]  I don't.
[15:27.150 --> 15:27.890]  Oh, I do!
[15:29.350 --> 15:30.870]  Selfie, dead parrot head, and skateboard.
[15:31.370 --> 15:32.330]  I need mullet.
[15:32.790 --> 15:34.350]  Have you seen less dead
[15:34.350 --> 15:36.190]  parrot heads since the loss
[15:36.190 --> 15:37.210]  of Jimmy Buffett?
[15:38.930 --> 15:40.550]  Or more, out of respect.
[15:42.030 --> 15:42.510]  You know,
[15:42.550 --> 15:44.230]  I haven't been playing much, so I'm not sure.
[15:44.310 --> 15:46.310]  I did watch The Weekend He Died, and I saw
[15:46.310 --> 15:48.110]  the little parade they had for him and stuff.
[15:48.790 --> 15:50.130]  Oh, that guy's holding something. Drop it!
[15:52.090 --> 15:54.290]  Grab that beer from that lady and chug
[15:54.290 --> 15:55.890]  both of them. Double fisting and a chug.
[15:56.010 --> 15:56.890]  There's a cowboy hat.
[15:58.810 --> 15:59.870]  Is this a chug?
[15:59.870 --> 16:00.570]  Is that for girls, too?
[16:01.010 --> 16:01.830]  Some of us is.
[16:02.190 --> 16:06.290]  That's just a healthy drink.
[16:06.830 --> 16:08.510]  Just a healthy drink.
[16:08.770 --> 16:10.150]  I need somebody to suck on a chili dog.
[16:10.750 --> 16:11.770]  Now we're talking.
[16:12.270 --> 16:14.410]  Or maybe on some American flag clothes.
[16:14.650 --> 16:16.270]  I could use some American flag clothes.
[16:16.310 --> 16:18.130]  Another fucking cowboy hat?
[16:19.390 --> 16:20.230]  They're everywhere.
[16:22.770 --> 16:24.710]  One guy on guy's scooter.
[16:25.130 --> 16:26.150]  Give me the scooter, baby.
[16:26.150 --> 16:27.810]  Gotta love guy on guy's scooter.
[16:27.910 --> 16:28.930]  That's one of my favorite.
[16:29.210 --> 16:31.850]  You know, Emily and I have been playing
[16:31.850 --> 16:33.790]  a modified version at home where we've added
[16:33.790 --> 16:35.090]  about ten new ones in.
[16:36.290 --> 16:38.150]  So I have to remember what's...
[16:38.150 --> 16:39.830]  Like dickhead truck, I don't think is one
[16:39.830 --> 16:41.650]  in this version, so I have to remember that.
[16:42.170 --> 16:43.890]  New being the wife in this one, we do a lot,
[16:43.970 --> 16:44.670]  but I don't see that.
[16:45.130 --> 16:47.710]  We'll have to work with Tony and get
[16:48.490 --> 16:49.510]  a reissue going.
[16:49.770 --> 16:52.490]  See what we can make happen for Sloppy Drews.
[16:52.830 --> 16:54.070]  You know, I gotta say...
[16:54.070 --> 16:55.910]  Oh, the shirt for Sloppy Drews that you get
[16:55.910 --> 16:58.530]  in the pox is so good. I love it.
[16:59.130 --> 17:00.130]  Oh, is that a dumb hat?
[17:00.670 --> 17:02.130]  No, it's a baseball cap.
[17:02.990 --> 17:04.170]  He's wearing it a dumb way,
[17:04.270 --> 17:05.250]  but it's because he's got dumb hair.
[17:05.710 --> 17:06.810]  I thought it was a Bulls cap.
[17:07.330 --> 17:09.010]  Probably was. Dumb team.
[17:09.830 --> 17:11.850]  Did you see their rumored City Connect
[17:11.850 --> 17:14.110]  or City Jersey or whatever that they're doing this year?
[17:14.310 --> 17:16.450]  No. It looks so bad.
[17:16.710 --> 17:18.030]  It's just black with red trim
[17:18.030 --> 17:19.410]  and it says Chicago vertically.
[17:19.730 --> 17:20.470]  It looks terrible.
[17:20.470 --> 17:22.890]  I feel like they've just given up on basketball.
[17:23.110 --> 17:24.090]  Yeah, definitely.
[17:24.350 --> 17:26.130]  I think you bring up a good point, Gavin.
[17:26.390 --> 17:28.390]  Could it be a dumb hat if it's being worn
[17:28.390 --> 17:30.770]  in a dumb way? Or does the hat itself have to be dumb?
[17:31.370 --> 17:33.070]  I guess the hat has to be dumb.
[17:33.550 --> 17:35.210]  This dude in the grey baseball cap,
[17:35.330 --> 17:36.590]  if anybody has drunk walk,
[17:36.650 --> 17:37.370]  he was doing it.
[17:38.450 --> 17:38.950]  Thank you.
[17:39.250 --> 17:40.990]  Oh, is that Mullet?
[17:41.470 --> 17:42.250]  Go, go, now!
[17:42.490 --> 17:43.550]  Go, go, now!
[17:47.250 --> 17:48.050]  That's awesome!
[17:48.050 --> 17:50.170]  Let's take a selfie!
[17:50.770 --> 17:51.970]  That's a selfie. Where are you at?
[17:51.990 --> 17:53.110]  Drop your phone!
[17:53.290 --> 17:54.030]  Now roll over!
[17:55.170 --> 17:57.170]  Take your shoes off!
[17:57.550 --> 17:59.090]  Go and do a bunch of stuff!
[17:59.270 --> 18:01.130]  Come back and do a bunch of stuff!
[18:01.410 --> 18:03.410]  Lose your job and get homeless
[18:03.410 --> 18:05.450]  and get a staph infection and be a dead parenthead.
[18:05.590 --> 18:06.630]  Come back and fight!
[18:08.030 --> 18:08.570]  Wheelchair!
[18:09.190 --> 18:10.390]  That's the first ever...
[18:10.390 --> 18:11.350]  Wait, wheelchair?
[18:13.350 --> 18:15.250]  You can't play with me, Geoff!
[18:15.250 --> 18:17.650]  That's the first wheelchair we've seen on Bingo.
[18:18.110 --> 18:18.770]  It is.
[18:20.010 --> 18:20.610]  Thanks, Nick.
[18:23.350 --> 18:25.250]  Is anybody close to Bingo?
[18:25.810 --> 18:26.210]  No.
[18:26.830 --> 18:28.110]  Not even a little.
[18:28.970 --> 18:30.170]  No, I'm all over the gaff here.
[18:30.410 --> 18:33.450]  Me too. Mine are just so scattered.
