[00:00.830 --> 00:02.090]  The fuck?
[02:32.630 --> 02:35.170]  I would say at six, it's about normal ears.
[02:35.290 --> 02:35.950]  What about 15?
[02:36.110 --> 02:37.790]  So let's go to 10.
[02:38.010 --> 02:38.210]  Yeah.
[02:38.710 --> 02:39.610]  And let me try again.
[02:42.800 --> 02:44.020]  If anything, it's gotten worse.
[02:44.980 --> 02:46.460]  Let's go all the way to 15.
[02:58.300 --> 03:00.220]  Is it like banging a stethoscope?
[03:00.220 --> 03:02.680]  Let's flip it and let you see what...
[03:02.680 --> 03:04.720]  I'll hold off on my pronouncements.
[03:08.800 --> 03:09.960]  Oh boy, that's loud.
[03:10.120 --> 03:10.680]  I'm loud.
[03:10.860 --> 03:11.340]  What are you at?
[03:11.860 --> 03:12.260]  Four.
[03:14.780 --> 03:15.340]  Heard it.
[03:16.160 --> 03:17.800]  Did it sound normal?
[03:18.020 --> 03:20.060]  It sounds like maybe there's a cab driving nearby.
[03:21.400 --> 03:22.880]  You're picking up stuff that's too far out.
[03:23.180 --> 03:23.720]  You're like Daredevil.
[03:23.840 --> 03:25.020]  You gotta learn how to shut off the...
[03:25.020 --> 03:25.240]  Yeah.
[03:25.560 --> 03:26.340]  Go to 15.
[03:30.160 --> 03:31.200]  I heard that.
[03:31.200 --> 03:31.720]  Yeah.
[03:31.900 --> 03:32.880]  I'm gonna see what else I can hear.
[03:34.720 --> 03:35.840]  I can hear crunching.
[03:37.340 --> 03:38.940]  I can hear Doritos being eaten.
[03:39.300 --> 03:41.040]  You can hear Gracie eating those Doritos?
[03:41.760 --> 03:42.200]  Can you hear this?
[03:44.200 --> 03:44.980]  Nobody likes me?
[03:45.420 --> 03:45.840]  You did!
[03:47.060 --> 03:50.720]  Now, I may have been cheating because that's your go-to phrase every time you see me.
[03:50.760 --> 03:52.320]  Let me do it like this.
[03:56.660 --> 03:57.520]  I didn't hear that.
[03:57.860 --> 03:58.220]  Oh, good.
[04:00.520 --> 04:04.660]  Doesn't Do Season 2 is made possible by our friends at Shady Rays.
[04:05.020 --> 04:10.640]  Shady Rays is an independent sunglass brand that has over 250,000 5-star reviews.
[04:11.540 --> 04:13.880]  That's a lot of people. You don't even know 250,000 people.
[04:13.980 --> 04:20.200]  They are on a mission to match affordability with durability, making top-quality shades accessible to everyone.
[04:20.640 --> 04:26.040]  They have tons of styles and colors to pick from, so finding the perfect polarized shades is a breeze.
[04:26.040 --> 04:30.700]  If you're looking for an upgrade, we would recommend their Premium Color Rush Lenses.
[04:30.840 --> 04:37.480]  Crafted with rare earth minerals, these lenses bring high-impact color to life, elevating reds, blues, and greens.
[04:37.620 --> 04:40.100]  And everybody knows those are the only three colors that matter.
[04:40.180 --> 04:43.360]  If your Shady Rays go MIA or take a hit, don't sweat it.
[04:43.620 --> 04:46.820]  They've got lost and broken protection, so you're covered from day one.
[04:47.040 --> 04:51.700]  If you don't love your shades, you can exchange or return them for free within the first 30 days.
[04:51.780 --> 04:53.340]  There is no risk when you shop.
[04:53.340 --> 04:56.520]  Exclusively for our listeners, Shady Rays is giving out their best deal.
[04:56.820 --> 05:03.840]  Head to ShadyRays.com and use code DOESITDO for 50% off two or more pairs of polarized sunglasses.
[05:04.340 --> 05:09.840]  Try for yourself the shades rated 5 stars by more than 250,000 people that you don't know.
[05:10.300 --> 05:11.060]  Listen to this.
[05:13.440 --> 05:14.740]  Oh, that's so cool!
[05:15.000 --> 05:15.680]  Did you hear that?
[05:15.780 --> 05:17.720]  No, I'm wearing it.
[05:17.740 --> 05:18.060]  Put it on.
[05:18.060 --> 05:18.100]  Yeah.
[05:20.540 --> 05:22.680]  Put it upside down just in there.
[05:27.540 --> 05:28.800]  You've got to get in on this.
[05:29.300 --> 05:30.120]  That's phenomenal.
[05:32.420 --> 05:34.180]  Is this what ASMR is?
[05:34.240 --> 05:35.160]  It's like the ocean.
[05:36.120 --> 05:37.800]  I feel like I'm in a seashell.
[05:48.990 --> 05:50.270]  That was my bad.
[05:50.390 --> 05:52.510]  Has anyone got a fart ready to go? Preloaded?
[05:53.310 --> 05:53.750]  No.
[05:54.250 --> 05:56.110]  I'll load one of my farts.
[05:56.570 --> 05:57.590]  What do you mean? Oh, you're going to...
[05:57.590 --> 05:59.150]  Because, you know, I record my farts.
[05:59.530 --> 05:59.750]  Yeah.
[06:02.130 --> 06:03.050]  That was me peeing.
[06:04.210 --> 06:04.650]  Why?
[06:04.890 --> 06:05.490]  I don't remember.
[06:07.450 --> 06:08.490]  What is going on?
[06:08.490 --> 06:09.670]  What are these fart wastes?
[06:10.990 --> 06:12.190]  There was one. Hold on.
[06:19.660 --> 06:21.240]  Why would you do that?
[06:23.140 --> 06:25.220]  Oh, my freaking ears.
[06:26.920 --> 06:28.120]  That was 15.
[06:28.880 --> 06:32.280]  That was 15 yelling in my ear from one foot away.
[06:32.420 --> 06:33.500]  You're a lunatic.
[06:33.900 --> 06:35.680]  I just saw and heard my own head.
[06:36.980 --> 06:37.740]  Oh, shit.
[06:37.880 --> 06:40.340]  Oh, my God.
[06:43.440 --> 06:44.280]  More pee.
[06:45.400 --> 06:47.520]  Stop recording yourself pissing.
[06:47.540 --> 06:48.180]  Another one.
[06:49.840 --> 06:50.640]  More piss.
[06:52.620 --> 06:54.020]  Are we learning something here?
[06:54.460 --> 06:55.560]  Is he the new piss boy?
[06:56.620 --> 06:58.660]  Oh, 2020, this is a COVID fart.
[07:08.460 --> 07:10.080]  That is the sound of home cooking.
[07:10.440 --> 07:11.740]  Yeah, let me see if I can hear myself drink.
[07:17.010 --> 07:18.290]  That's the craziest...
[07:25.590 --> 07:27.290]  Craziest thing I've ever heard in my entire life.
[07:27.450 --> 07:29.170]  This is just a microphone and headphones.
[07:29.170 --> 07:30.130]  You've got to hear yourself.
[07:30.310 --> 07:31.650]  Do you have anything to drink?
[07:32.190 --> 07:32.650]  No, do you?
[07:32.770 --> 07:33.350]  Hear me drink.
[07:33.530 --> 07:33.730]  Okay.
[07:40.300 --> 07:40.660]  Dude.
[07:41.100 --> 07:41.760]  Put it back in.
[07:45.570 --> 07:50.710]  If you want to listen to your friends burp or drink soda, I recommend it.
[07:51.190 --> 07:54.490]  If you want to use it for any practical purpose whatsoever, I can't.
[07:54.850 --> 07:55.550]  Not great for pins.
[07:55.730 --> 07:56.390]  Not great for pins.
[07:56.730 --> 07:57.270]  What do you think, Gavin?
[07:57.330 --> 07:59.850]  Does it make it in the hall of do or the pile of don'ts?
[08:04.790 --> 08:05.950]  We'll see you next week.
