[00:07.880 --> 00:08.880]  And we're back.
[02:51.300 --> 02:54.820]  Oh, we're working on some stuff behind the scenes, so we're going to be formalizing our set a little bit more.
[02:54.820 --> 02:56.540]  So we can kind of build it out better.
[02:56.720 --> 03:04.540]  One of the coolest, definitely one of the coolest things, the Face community continues to have regulation listeners and comment leavers.
[03:04.760 --> 03:07.540]  They continue to be the most phenomenal in all ways.
[03:08.660 --> 03:18.240]  From the summer of 98 yearbook that they lovingly crafted and put together to stuff like these amazing Glurper cups inspired by...
[03:18.240 --> 03:18.500]  Fish Face.
[03:18.520 --> 03:19.100]  But not official.
[03:19.440 --> 03:19.840]  The Gruper.
[03:19.840 --> 03:23.100]  To two albums, I think they made or three now.
[03:23.720 --> 03:26.000]  Multiple Christmas albums, Valentine's Day albums.
[03:26.500 --> 03:27.480]  They're just phenomenally talented.
[03:27.500 --> 03:30.240]  Speaking of albums, we have a playlist that we just released.
[03:30.320 --> 03:31.720]  The Ultimate Playlist of 98.
[03:32.040 --> 03:34.260]  You can go watch that on Rooster Teeth or on YouTube.
[03:34.700 --> 03:39.820]  So that's going through making a playlist and then we release the playlist and it's across all platforms.
[03:40.040 --> 03:40.980]  Smash success.
[03:41.300 --> 03:41.420]  Yeah.
[03:41.680 --> 03:42.780]  Hit is what I heard.
[03:43.020 --> 03:43.740]  It's a hit.
[03:43.800 --> 03:44.440]  Everyone liked it.
[03:44.780 --> 03:45.540]  Left and right.
[03:46.380 --> 03:47.880]  Also, I got some of this.
[03:48.120 --> 03:49.540]  Lorikana, everybody's talking about.
[03:49.700 --> 03:53.620]  So I've been tracking it down all over the fucking United States to get this shit.
[03:53.780 --> 03:56.420]  I don't know anything about it, but we'll open it up and see what's up.
[03:57.140 --> 03:57.520]  And...
[03:57.520 --> 03:57.700]  Oh!
[03:59.100 --> 04:03.260]  What better place to start, Eric, than with our old pal, the Pac-Sac.
[04:03.700 --> 04:04.440]  Pac-Sac.
[04:04.720 --> 04:07.680]  Somebody gave me a Snoopy grade 10 PSA card at RTX.
[04:07.940 --> 04:08.680]  I just want to point that out.
[04:08.820 --> 04:09.700]  It lives on the set now.
[04:09.740 --> 04:10.480]  I'm pretty happy about it.
[04:11.160 --> 04:13.200]  The Pac-Sac has granted us ALF today.
[04:13.880 --> 04:14.640]  Oh, cool!
[04:14.640 --> 04:21.360]  I think we are maybe the only people that was alive when ALF was on TV that's in the studio right now.
[04:21.640 --> 04:22.460]  Mike's in the back.
[04:22.500 --> 04:22.980]  Mike's in the back.
[04:23.480 --> 04:28.760]  My favorite ALF fact is that Cousin Willie got busted smoking crack in his underwear with dudes.
[04:29.000 --> 04:30.300]  But nobody else remembers that.
[04:30.400 --> 04:31.240]  All right, here we go.
[04:31.420 --> 04:34.600]  I was so hungry, I ate the first chapter of this book.
[04:35.180 --> 04:36.000]  ALF liked to eat.
[04:36.360 --> 04:36.880]  He's an eater.
[04:36.900 --> 04:37.520]  Yeah, but he ate cats.
[04:37.620 --> 04:38.560]  He ate cats and books.
[04:38.660 --> 04:39.560]  I remember reading books.
[04:39.700 --> 04:39.840]  Yeah.
[04:39.840 --> 04:41.420]  A hair dryer.
[04:41.640 --> 04:43.840]  I thought it was a bagpipe that went berserk.
[04:45.920 --> 04:46.880]  These suck.
[04:46.960 --> 04:47.920]  He's not sick.
[04:48.240 --> 04:50.780]  He just needs to chase the cat for a while.
[04:50.820 --> 04:52.080]  This isn't good.
[04:52.220 --> 04:53.160]  These aren't good.
[04:53.240 --> 04:54.220]  Are these jokes?
[04:54.660 --> 04:55.080]  Yeah, dude.
[04:55.120 --> 04:56.660]  It's as funny as ALF probably was.
[04:58.020 --> 04:59.340]  What can I tell you?
[04:59.500 --> 05:01.740]  The girl who sold me this shirt was very cute.
[05:01.820 --> 05:07.860]  Okay, that is a live look picture of my friend Robbie.
[05:08.140 --> 05:09.120]  That's just him.
[05:09.120 --> 05:10.540]  That's just my buddy Robbie.
[05:10.760 --> 05:13.200]  I never realized how big ALF's paws are.
[05:13.920 --> 05:15.580]  He's going to be a big alien someday.
[05:15.820 --> 05:16.140]  Yeah, someday.
[05:16.380 --> 05:17.560]  He's got big ALF baby paws.
[05:18.200 --> 05:19.220]  Oh, here's a sticker.
[05:19.780 --> 05:20.500]  ALF sticker.
[05:20.680 --> 05:21.620]  It's that same photo.
[05:22.040 --> 05:22.720]  That's pretty cool.
[05:22.860 --> 05:23.700]  We can put that on something.
[05:23.820 --> 05:23.920]  Yeah.
[05:24.220 --> 05:26.580]  And then here's a Booyah Baseball.
[05:27.880 --> 05:30.320]  Bandorf Yesman Chuck, the Chuck or Stang.
[05:30.780 --> 05:31.860]  Stang is a good last name.
[05:31.880 --> 05:32.560]  Yeah, it's going, yeah.
[05:32.780 --> 05:33.380]  Chuck Stang.
[05:33.620 --> 05:34.940]  He's a right boardwheeler.
[05:35.200 --> 05:36.140]  I don't know what the fuck that means.
[05:36.260 --> 05:37.000]  All right, there you go.
[05:37.000 --> 05:38.600]  Thank you for that, Pac-Sac.
[05:39.380 --> 05:40.580]  Okay, before we go any further,
[05:41.400 --> 05:42.640]  the thing we've been doing every week
[05:42.640 --> 05:44.220]  that the audience seems to really respond to,
[05:45.640 --> 05:47.720]  is I take the hits from the previous week.
[05:47.740 --> 05:48.120]  Oh, that's right.
[05:48.140 --> 05:49.640]  And then I price them and I go over them
[05:49.640 --> 05:50.360]  and I show you what they're worth.
[05:50.440 --> 05:51.560]  So I have last week's hits right here.
[05:51.580 --> 05:52.160]  Did you have those?
[05:52.440 --> 05:53.360]  Yeah, or two weeks ago.
[05:53.640 --> 05:54.000]  Two weeks ago.
[05:54.320 --> 05:55.540]  So let's see what we've got.
[05:55.940 --> 05:57.760]  Everybody remembers one of the first cards we pulled,
[05:57.860 --> 06:00.360]  the Drew Holiday Gold Shimmer Monopoly card.
[06:00.700 --> 06:01.020]  Monopoly.
[06:01.340 --> 06:01.980]  That's a $5.
[06:02.460 --> 06:03.140]  Hey, all right.
[06:04.480 --> 06:06.780]  How about this Hayley Cavender Auto to $99?
[06:06.780 --> 06:07.780]  Mm-hmm.
[06:08.400 --> 06:09.280]  What do you think that one's worth?
[06:09.540 --> 06:09.940]  $13.
[06:10.180 --> 06:10.580]  $28.
[06:10.800 --> 06:12.240]  Hey, I was about halfway there.
[06:12.760 --> 06:14.120]  And the way, just for the record,
[06:14.180 --> 06:15.200]  the way I find these values
[06:15.200 --> 06:17.180]  is I search eBay for sold items.
[06:17.600 --> 06:19.260]  And so I see what they actually sold for.
[06:20.000 --> 06:21.680]  And if a bunch of them sold,
[06:21.740 --> 06:23.080]  I try to find the medium price in between.
[06:23.520 --> 06:24.940]  Okay, we got a Porzingis,
[06:25.420 --> 06:27.920]  a World Traveler's Recon Parallel.
[06:27.960 --> 06:29.800]  It's actually worth $4 for inserts.
[06:30.040 --> 06:30.240]  All right.
[06:31.000 --> 06:33.120]  Then we have this Tyrese Halliburton,
[06:33.120 --> 06:34.520]  number to 99.
[06:34.920 --> 06:35.140]  Mm-hmm.
[06:35.140 --> 06:36.480]  Number to 99, yeah.
[06:36.820 --> 06:38.140]  That's gonna run you about $4.
[06:38.600 --> 06:38.760]  Okay.
[06:39.620 --> 06:43.540]  Here we have a Future Legends Keegan Murray insert recon card.
[06:43.660 --> 06:46.240]  That's a, ooh, that's his rookie, Keegan Murray.
[06:46.540 --> 06:47.860]  Hot prospect, $3.
[06:48.560 --> 06:49.500]  He's not a hot prospect.
[06:49.560 --> 06:49.920]  Hot prospect.
[06:50.440 --> 06:54.560]  Here we have a autograph of Jabari Walker to $149.
[06:54.660 --> 06:54.860]  Uh-huh.
[06:55.260 --> 06:56.420]  Also not a hot prospect.
[06:56.640 --> 06:58.280]  That'll net you $8.
[06:59.360 --> 07:00.420]  And here's a little bit interesting.
[07:00.520 --> 07:01.420]  I did a little extra work on this one.
[07:01.640 --> 07:02.520]  Here's a LeBron base.
[07:02.520 --> 07:05.420]  Now, I threw this in here because I want to talk a little bit about LeBron.
[07:05.620 --> 07:09.900]  LeBron's one of the few players that maintains a value outside of his rookie class.
[07:10.680 --> 07:13.000]  So all of his cards are worth more than common cards.
[07:13.320 --> 07:13.360]  Okay.
[07:13.480 --> 07:17.240]  So, for instance, this card, $3, which is about as much as some of these rookies, right?
[07:17.760 --> 07:19.340]  But here's where I did a little bit of extra work for you.
[07:19.420 --> 07:20.540]  So this is the base card, Eric.
[07:20.620 --> 07:21.240]  It's worth $3.
[07:21.460 --> 07:24.560]  If this was numbered to 99, it would be worth $10.
[07:24.880 --> 07:28.020]  If it was numbered to 49, it would be worth $30.
[07:28.480 --> 07:31.140]  If it was numbered to 10, it would be worth $180.
[07:31.140 --> 07:32.240]  Wow, really?
[07:32.320 --> 07:35.940]  And if it was numbered to 5, it would run you about $350.
[07:36.360 --> 07:36.620]  Wow.
[07:36.840 --> 07:36.980]  Yeah.
[07:37.560 --> 07:40.580]  So that gives you an idea of how rarity impacts value.
[07:40.720 --> 07:46.680]  So from $3 to $350, just based on how rare it is.
[07:46.740 --> 07:47.260]  What do you got, LeBron?
[07:49.080 --> 07:49.880]  Oh, also...
[07:51.320 --> 07:52.800]  Nah, fuck, I took that one out.
[07:52.860 --> 07:53.320]  All right, Chet.
[07:53.580 --> 07:56.100]  Chet Holmgren, last year's big rookie.
[07:56.300 --> 07:57.380]  He got hurt at the beginning of the season.
[07:57.380 --> 08:01.940]  He got hurt before the season started and never suited up.
[08:02.080 --> 08:04.280]  Hasn't played a second of NBA so far.
[08:04.380 --> 08:05.480]  That's $3 now.
[08:05.620 --> 08:07.480]  He's at a low right now.
[08:07.700 --> 08:09.820]  You know, aren't as excited about him because of Wimby.
[08:10.340 --> 08:10.880]  Here we go.
[08:10.980 --> 08:11.660]  Here's Katelyn Clark.
[08:11.880 --> 08:13.480]  Bowman, a U refractor.
[08:13.760 --> 08:14.020]  $10.
[08:14.580 --> 08:15.060]  Hey, all right.
[08:15.240 --> 08:17.800]  Katelyn Clark pulling in the big bucks.
[08:18.460 --> 08:20.240]  Here's a Mike Trout base card.
[08:20.340 --> 08:21.360]  He's kind of like LeBron.
[08:21.560 --> 08:23.260]  This is 2017 tops.
[08:23.460 --> 08:24.040]  That's $3.
[08:24.940 --> 08:25.920]  Then this is interesting.
[08:25.920 --> 08:28.720]  We have Joe Carter, Barry Bombs, 1992 tops All-Stars.
[08:28.980 --> 08:30.180]  $30 at a PSA 10.
[08:30.500 --> 08:30.580]  Cool.
[08:31.100 --> 08:34.240]  Got our Mike Piazza, Carlos Delgado rookie.
[08:35.340 --> 08:36.400]  Graded PSA 10.
[08:36.560 --> 08:38.000]  That's a $65 card.
[08:38.200 --> 08:38.460]  Okay.
[08:39.180 --> 08:42.220]  And here's everybody's favorite, Otis Relic.
[08:42.980 --> 08:44.680]  I did a lot of searching for Otis.
[08:45.600 --> 08:49.220]  Not only can I not find this card, I can't find anything close to what's sold.
[08:49.360 --> 08:50.660]  I'm going to guess it's about $15.
[08:51.120 --> 08:51.640]  There you go.
[08:51.760 --> 08:55.140]  So that's the hits from last week and that's how much they were all worth.
[08:55.140 --> 08:56.680]  That's a lot of money that we won't do anything with.
[08:56.880 --> 09:01.800]  Yeah, it's a lot of money that's just going to sit there and not turn into actual money.
[09:01.960 --> 09:02.140]  Yeah.
[09:03.320 --> 09:04.920]  Let's open up some cards, though.
[09:05.000 --> 09:05.620]  I don't know if you insist.
[09:06.060 --> 09:08.620]  Why don't we do a little 1999 tops and see if we can get ourselves a Zim.
[09:08.700 --> 09:09.500]  Is that a Zim, maybe?
[09:09.720 --> 09:10.660]  Yeah, it's a maybe Zim.
[09:10.760 --> 09:12.760]  We're always looking for Don Zimmer here, as you know.
[09:13.160 --> 09:15.320]  We have him in bear form here on the set.
[09:15.520 --> 09:17.920]  Not only do we have him in bear form.
[09:18.320 --> 09:19.660]  We've had him in bear form for years.
[09:19.760 --> 09:20.200]  Years now.
[09:20.200 --> 09:28.340]  We've had him in bear form a lot longer than certain other Internet properties who just discovered the Zim bear and decided to put it in content today.
[09:28.400 --> 09:31.980]  As if they invented or discovered Don Zimmer's fucking Zim bear.
[09:32.360 --> 09:33.800]  Looking at you, GMM.
[09:33.920 --> 09:34.060]  Yeah.
[09:34.160 --> 09:34.960]  Billy Hatcher.
[09:36.380 --> 09:38.500]  Don Zimmer is the gift that everybody should enjoy.
[09:38.740 --> 09:44.720]  Billy Hatcher is the name of a Nintendo 64 game and you're thinking, oh, like it sounds like...
[09:44.720 --> 09:44.840]  No.
[09:45.280 --> 09:47.440]  Billy Hatcher is the name of a Nintendo 64 game.
[09:47.500 --> 09:47.860]  Is it really?
[09:48.620 --> 09:50.840]  Billy Hatcher and the Giant Egg or something like that?
[09:51.280 --> 09:51.400]  Yeah.
[09:51.880 --> 09:52.780]  Billy... name is a game.
[09:52.840 --> 09:53.520]  Name is a game.
[09:54.480 --> 09:55.200]  Scott Bankhead.
[09:58.060 --> 09:58.780]  Steve Ellsworth.
[09:59.760 --> 10:00.860]  Oh, here we got Geoff Treadway.
[10:01.920 --> 10:02.280]  Okay.
[10:02.460 --> 10:06.260]  Isn't that who... aren't those the Treadway... isn't that the people that created Jason Bourne?
[10:06.260 --> 10:10.540]  No, it's... Treadway is like... it's like a park... you can't park on a driveway and you can't drive on a parkway.
[10:10.680 --> 10:12.120]  You can't tread on... yeah, yeah, yeah.
[10:14.100 --> 10:14.820]  Robbie Thompson.
[10:15.520 --> 10:16.540]  He's popping a squat.
[10:17.380 --> 10:18.040]  Chet Lemon.
[10:18.220 --> 10:18.840]  Name is a food.
[10:19.000 --> 10:20.240]  Bad name is a food right there.
[10:20.320 --> 10:20.980]  Yeah, we go.
[10:22.160 --> 10:23.480]  Jerry Don Gleaton.
[10:25.100 --> 10:25.760]  God damn.
[10:25.960 --> 10:27.600]  With that name, with that look?
[10:28.100 --> 10:28.920]  Hell yeah, baby.
[10:30.180 --> 10:31.500]  That's a serious man.
[10:31.540 --> 10:31.720]  Yeah.
[10:32.000 --> 10:32.820]  Living a serious life.
[10:32.920 --> 10:33.380]  Matt Williams.
[10:34.180 --> 10:35.300]  That's an all-time great Matt Williams.
[10:35.420 --> 10:36.080]  Everybody loves Matt Williams.
[10:36.540 --> 10:37.520]  Willie Upshaw.
[10:38.620 --> 10:38.980]  He...
[10:40.040 --> 10:40.740]  It was right there.
[10:41.900 --> 10:42.200]  I don't know.
[10:42.220 --> 10:43.660]  I was going to make a joke, but I didn't have one.
[10:43.700 --> 10:43.820]  Great.
[10:43.820 --> 10:44.600]  Record breaker.
[10:44.820 --> 10:46.660]  That looks like my man Wade Boggs.
[10:47.220 --> 10:48.180]  Steve Avery.
[10:48.320 --> 10:49.260]  Number one draft pick.
[10:49.480 --> 10:50.760]  Look at him playing catch with himself.
[10:50.960 --> 10:51.720]  He didn't have a pad.
[10:51.780 --> 10:53.660]  Already going into junior year of high school.
[10:53.820 --> 10:54.260]  Looking great.
[10:55.480 --> 10:56.400]  Jim Abbott.
[10:56.720 --> 10:57.660]  I love Jim Abbott.
[10:58.360 --> 10:59.080]  Manny Trillo.
[11:00.820 --> 11:01.780]  Johnny Castillo.
[11:02.180 --> 11:02.900]  Or Costello, sorry.
[11:03.420 --> 11:04.540]  And then John Smiley.
[11:04.660 --> 11:06.660]  Name is the thing he's doing.
[11:07.640 --> 11:09.240]  Is he doing a Smiley?
[11:09.460 --> 11:10.160]  I think he's trying.
[11:10.260 --> 11:11.180]  I think he's trying.
[11:11.620 --> 11:12.040]  Man.
[11:13.180 --> 11:13.500]  Oof.
[11:14.440 --> 11:16.520]  This is a rough look, bud.
[11:16.640 --> 11:17.300]  It was effort.
[11:18.380 --> 11:19.480]  Let's see what else we got here.
[11:20.380 --> 11:22.660]  You have to save Dallas for if Emily gets here.
[11:22.740 --> 11:23.300]  I know, I know.
[11:23.480 --> 11:25.760]  Because you're going to open it for me and I'm not going to know what the fuck is going on.
[11:25.880 --> 11:26.480]  I'm going to do something for you.
[11:26.560 --> 11:28.400]  I'm going to open a 2022 Revolution.
[11:28.700 --> 11:29.180]  Oh, wow.
[11:29.240 --> 11:29.860]  Debut edition.
[11:29.960 --> 11:30.540]  Five cards.
[11:30.640 --> 11:31.300]  This is WWE.
[11:31.800 --> 11:32.200]  It is.
[11:32.260 --> 11:33.960]  Why did you pay $11, man?
[11:34.180 --> 11:34.500]  Wow.
[11:34.800 --> 11:37.700]  Because I wanted to delight you with what these fucking five cards are.
[11:37.700 --> 11:38.720]  I'm happy about it.
[11:38.920 --> 11:40.520]  I really want to see the AEW cards.
[11:40.680 --> 11:41.120]  Some more of those.
[11:41.120 --> 11:41.940]  Those are cool.
[11:42.220 --> 11:42.960]  All right.
[11:43.060 --> 11:43.940]  I don't know if I have them.
[11:44.120 --> 11:44.880]  Nah, you're good.
[11:45.120 --> 11:45.520]  All right, let's see.
[11:45.720 --> 11:48.480]  Okay, here we got a Von Wagner rookie.
[11:48.600 --> 11:50.400]  Yeah, come Tuesday, this guy's taking you out, baby.
[11:50.600 --> 11:51.040]  Hell yeah.
[11:51.260 --> 11:51.460]  Really?
[11:51.660 --> 11:52.340]  Yeah, that's what he is.
[11:52.340 --> 11:53.380]  He's taking out Andre Chase.
[11:54.820 --> 11:55.800]  Here we go.
[11:57.000 --> 11:57.800]  Sami Zayn?
[11:57.860 --> 11:58.800]  Sami Zayn.
[11:59.720 --> 12:02.160]  Former independent professional wrestler El Generico.
[12:02.820 --> 12:05.740]  I saw him wrestle in a Jewish community center in like 2004.
[12:06.000 --> 12:09.660]  If I were that dude, I would change my name to Sami N. Zayn.
[12:09.920 --> 12:10.300]  Oh.
[12:10.300 --> 12:11.390]  And I would be like, I'm in Zayn!
[12:12.160 --> 12:13.460]  He wrestled Johnny Knoxville at WrestleMania.
[12:13.900 --> 12:14.260]  Did he win?
[12:15.040 --> 12:15.880]  Johnny Knoxville won.
[12:16.320 --> 12:18.180]  They trapped Sami Zayn in a giant mousetrap.
[12:18.840 --> 12:19.220]  Oh.
[12:19.420 --> 12:22.560]  It was like a bunch of wacky stuff, like the big hand from Jackass.
[12:23.100 --> 12:25.100]  Wee Man came in and scoop slammed Sami Zayn.
[12:25.160 --> 12:25.720]  It was fucking great.
[12:25.840 --> 12:27.100]  It was like a lot of fun.
[12:29.620 --> 12:30.380]  Ilja Dragunov.
[12:30.440 --> 12:31.320]  Ilja Dragunov.
[12:31.460 --> 12:32.400]  He's very good.
[12:32.580 --> 12:33.840]  He's uber seizure.
[12:34.160 --> 12:36.660]  He's a big kind of Russian guy.
[12:36.840 --> 12:37.680]  Uber seizure?
[12:37.860 --> 12:38.300]  Uber seizure.
[12:38.600 --> 12:39.060]  What does that mean?
[12:39.060 --> 12:40.070]  He's just like a berserker.
[12:40.840 --> 12:41.420]  Oh shit.
[12:41.540 --> 12:42.380]  I think that's Emily.
[12:42.660 --> 12:42.720]  Yeah.
[12:42.940 --> 12:43.320]  Showing up.
[12:44.060 --> 12:46.460]  Okay, next on the list we have...
[12:48.240 --> 12:48.920]  Cora Jade.
[12:49.360 --> 12:49.700]  Oh.
[12:50.040 --> 12:50.620]  She's a skater.
[12:50.820 --> 12:55.980]  She has a little penny board and she would skate down to the ring and then not use the board for anything else.
[12:56.040 --> 12:56.780]  It was always very funny.
[12:56.920 --> 12:59.620]  It was just like, you have the penny board, just hit somebody with it.
[12:59.800 --> 12:59.980]  Yeah.
[13:00.080 --> 13:00.980]  But never hit anybody with the board.
[13:00.980 --> 13:01.580]  No, not really.
[13:02.020 --> 13:04.140]  And now she stopped and now she has like a bat or something.
[13:04.180 --> 13:04.500]  I don't know.
[13:04.740 --> 13:05.640]  Does she hit people with the bat?
[13:05.760 --> 13:06.540]  Yes, I think so.
[13:06.880 --> 13:07.700]  She doesn't ride it down to the ring?
[13:07.700 --> 13:09.860]  Yeah, no, she doesn't ride the bat down to the ring.
[13:09.960 --> 13:10.940]  Fractal parallel there.
[13:11.240 --> 13:11.540]  That's pretty cool.
[13:11.540 --> 13:12.500]  That's her rookie card, by the way.
[13:12.540 --> 13:16.460]  Well, she's, I think, pretty young, so I think everything she does is a rookie card.
[13:17.540 --> 13:17.900]  RKBro.
[13:18.020 --> 13:27.720]  Hey, it is Randy Orton and Matt Riddle, who was a UFC guy and then got fired because he wouldn't stop smoking weed.
[13:28.260 --> 13:28.740]  Oh, really?
[13:28.840 --> 13:29.800]  Yeah, yeah, yeah, yeah.
[13:29.800 --> 13:30.800]  So he's a WWE guy.
[13:30.900 --> 13:34.340]  So if you smoke too much weed in the UFC, you get to be a wrestler.
[13:34.700 --> 13:34.960]  Yeah.
[13:35.640 --> 13:36.360]  Yeah, definitely.
[13:36.360 --> 13:37.180]  Interesting career path.
[13:37.180 --> 13:37.820]  Hey, Emily's here.
[13:37.880 --> 13:38.200]  Hey.
[13:38.220 --> 13:38.500]  Hi.
[13:38.760 --> 13:40.200]  I made it straight in from Dallas.
[13:41.220 --> 13:42.500]  You flew in via car.
[13:42.660 --> 13:43.140]  I did.
[13:43.420 --> 13:44.560]  I flew down I-35.
[13:44.920 --> 13:45.500]  That's pretty cool.
[13:45.640 --> 13:45.840]  Yeah.
[13:46.000 --> 13:46.580]  Oh, great.
[13:46.920 --> 13:47.660]  What is it?
[13:47.680 --> 13:48.520]  To welcome you.
[13:48.740 --> 13:49.020]  Uh-huh.
[13:49.580 --> 13:52.960]  I was listening to live on racertooth.com in the car.
[13:53.100 --> 13:53.140]  Wow.
[13:53.380 --> 13:53.920]  What a plug.
[13:53.960 --> 13:54.700]  So I, uh...
[13:54.700 --> 13:55.120]  That's great.
[13:56.320 --> 13:57.420]  Oh, yay, Dallas.
[13:57.720 --> 13:58.300]  I was just there.
[13:58.400 --> 13:59.200]  There was a Ewing Avenue.
[13:59.200 --> 14:00.500]  I was just there.
[14:00.600 --> 14:01.200]  I was just there.
[14:01.480 --> 14:02.700]  We didn't go to South Fork, though.
[14:02.720 --> 14:04.520]  I have to go with Geoff and I have to earn it.
[14:04.520 --> 14:06.660]  I have to get to the end of the series.
[14:06.680 --> 14:07.620]  I have to watch it all.
[14:08.560 --> 14:10.500]  And we just started season six.
[14:10.600 --> 14:11.560]  I texted Geoff this morning.
[14:11.660 --> 14:13.100]  I said, Sue Ellen ruined her hair.
[14:13.540 --> 14:13.940]  Horrible.
[14:14.100 --> 14:15.180]  How many seasons are there?
[14:15.260 --> 14:15.520]  Twelve.
[14:16.200 --> 14:16.600]  What?!
[14:16.600 --> 14:16.760]  Yeah.
[14:16.920 --> 14:18.660]  And each season has like 30 episodes.
[14:18.680 --> 14:19.020]  Oh!
[14:19.920 --> 14:20.820]  And it's amazing.
[14:22.220 --> 14:26.360]  And the cliffhanger of season five was that Cliff Barnes tried to kill himself.
[14:26.560 --> 14:27.160]  And so he's in the hospital.
[14:27.280 --> 14:28.240]  Whether he's gonna live or die.
[14:29.000 --> 14:29.800]  The whole thing.
