[00:10.280 --> 00:11.010]  Geoff, go!
[02:52.330 --> 02:56.690]  If everybody has their bingo cards generated, I'll start the countdown.
[02:56.930 --> 02:57.530]  Are you guys all good?
[02:57.870 --> 02:58.330]  I'm ready.
[02:58.550 --> 02:59.450]  Okay, ready.
[02:59.630 --> 03:05.930]  Alright, we're gonna go 5, 4, 3, 2, 1 and go.
[03:06.090 --> 03:07.290]  Sloppy Joe's Bingo in action.
[03:07.530 --> 03:08.250]  Oh, man.
[03:08.750 --> 03:12.910]  So I have some easy stuff. I got like selfie, I got camera shy, that's easy.
[03:13.250 --> 03:13.430]  Yeah.
[03:14.190 --> 03:17.650]  Cowboy hat, jeans and flip flops. This should all be pretty simple stuff.
[03:17.650 --> 03:19.270]  What's dead parahead again?
[03:20.010 --> 03:27.670]  So a dead parahead is a play on words, but a parahead is a dude who's really into Jimmy Buffet and that Margaritaville lifestyle.
[03:27.990 --> 03:33.170]  What happens in Key West specifically is a lot of dudes will cash in early and go to retire there.
[03:33.210 --> 03:39.370]  And as they do, they run out of money and they get staph infections and they go in and out of hospitals and they look kind of like zombies.
[03:39.850 --> 03:45.130]  And those are what we call dead paraheads. You'll see them walking around. You'll know them.
[03:45.830 --> 03:51.810]  They're like half homeless and wearing a, yeah, definitely an old Margaritaville t-shirt.
[03:52.370 --> 03:52.770]  Hmm.
[03:53.330 --> 03:54.350]  Oh, I've got mullet again.
[03:54.610 --> 03:55.590]  Man, where's jeans and flip flops?
[03:55.590 --> 03:55.850]  Oh, you got mullet again?
[03:55.910 --> 03:58.090]  I've seen a lot of shorts. Shorts and flip flops.
[03:58.090 --> 04:00.430]  I'm looking for a chug. I'm looking for a twerk.
[04:00.690 --> 04:04.610]  I'm going to start looking for easy ones. I'm going to start looking for dumb hats. That's very easy.
[04:04.950 --> 04:10.630]  I mean, the last time we did this and put it up, it was just people going, how come they didn't see the one at four minutes, 35 seconds?
[04:10.890 --> 04:11.010]  I know.
[04:11.010 --> 04:13.510]  And it's like, you're watching so much.
[04:13.510 --> 04:18.250]  I also haven't seen anything for the last two minutes. That guy's yawning. Do we have yawning on the board?
[04:19.550 --> 04:20.150]  I don't have it.
[04:20.390 --> 04:21.730]  There was a crotch grab before we started.
[04:22.590 --> 04:24.750]  Oh, there was definitely a crotch grab before we started.
[04:25.250 --> 04:28.530]  I played a little bit earlier. I saw Bachelorette Party already. I saw a bunch of stuff.
[04:28.830 --> 04:29.470]  Dang, man.
[04:32.370 --> 04:36.130]  So this is like, this is a bar that Ernest Hemingway went to or something?
[04:36.930 --> 04:42.150]  Well, yes. So it was originally in... see, if you get me explaining shit, I won't be able to focus.
[04:42.990 --> 04:44.030]  You're putting me at a disadvantage.
[04:44.650 --> 04:49.030]  It was originally a bar in Cuba, and then they moved to Key West.
[04:49.030 --> 04:51.070]  Oh, is that a crossover? Oh, no, never mind.
[04:51.230 --> 04:53.430]  If he gets in, all right, now that's a pickup.
[04:53.650 --> 04:54.350]  Pickup drop off.
[04:54.670 --> 04:56.530]  Oh, I got that. I got that. Put it on the board.
[04:56.650 --> 04:57.230]  I don't have that one.
[04:57.410 --> 04:58.370]  I don't have that one.
[04:58.430 --> 04:59.530]  I'm trying to see if I have it.
[05:01.110 --> 05:03.950]  I think luxury car is going to be debatable.
[05:05.190 --> 05:07.590]  I have luxury car, and we're going to have to know.
[05:07.930 --> 05:09.250]  Look at the size of that truck.
[05:10.190 --> 05:11.110]  That's a Honka.
[05:11.450 --> 05:12.270]  That's a big truck.
[05:12.470 --> 05:13.970]  Is that an F950?
[05:16.310 --> 05:20.910]  Oh, chugging over there.
[05:21.010 --> 05:21.590]  I think...
[05:21.590 --> 05:22.910]  Oh, yeah, there's definitely...
[05:22.910 --> 05:23.090]  Don't chug!
[05:23.390 --> 05:23.950]  Don't chug!
[05:24.650 --> 05:25.150]  Oh, I got it.
[05:25.570 --> 05:26.130]  Put it on the board.
[05:26.410 --> 05:26.970]  I don't have anything here.
[05:26.970 --> 05:27.910]  Oh, that lady clapping.
[05:28.310 --> 05:30.410]  Oh, is that a dance? Is that technically dancing?
[05:30.570 --> 05:32.150]  I don't know what I'd call that.
[05:32.150 --> 05:34.350]  She's just clapping, having fun.
[05:34.950 --> 05:37.270]  Oh, those dudes are hugging.
[05:37.430 --> 05:38.970]  That was almost a hug. Was that a hug?
[05:39.230 --> 05:39.630]  No.
[05:39.970 --> 05:41.550]  That was a hand on the back.
[05:41.730 --> 05:44.050]  I guess a hug is when, like, nipples touch nipples.
[05:44.430 --> 05:44.670]  Okay.
[05:45.670 --> 05:46.950]  Oh, those ladies are hugging!
[05:47.170 --> 05:48.270]  Those ladies just hugged. That counts.
[05:48.470 --> 05:49.790]  Their nippers were all over each other.
[05:52.690 --> 05:53.730]  I'm on the board.
[05:54.170 --> 05:55.750]  Oh, I don't have that. Damn it.
[05:55.870 --> 05:56.330]  I don't either.
[05:57.350 --> 05:59.030]  That's a definite hug.
[05:59.030 --> 06:05.650]  The thing that kills me is Crosswalk Coward, because I feel like we should see it so much, and you don't see it hardly ever.
[06:05.790 --> 06:07.030]  It goes through cycles, man.
[06:07.770 --> 06:08.790]  I still haven't seen a wheelchair.
[06:09.250 --> 06:12.050]  I was about to say, I used to see wheelchair all the time. I haven't seen any in a while.
[06:12.530 --> 06:14.170]  Oh, is this a dumb hat? No.
[06:14.450 --> 06:16.770]  That guy is a dead parrot head.
[06:17.050 --> 06:17.730]  Oh, shit!
[06:18.150 --> 06:19.670]  I would definitely say dead parrot head on the L.A. hat.
[06:19.670 --> 06:25.350]  That guy had shoes that had toes in them and a long beard, and he was way too tan.
[06:25.730 --> 06:27.590]  Ooh, I got two in a row. Here we go.
[06:27.590 --> 06:29.910]  Dang, come on. I got nothing so far.
[06:30.270 --> 06:32.670]  I got three. I got three on my card. I told you.
[06:33.550 --> 06:35.050]  Keep an eye out for Ghost Tour.
[06:35.590 --> 06:38.250]  I got American flag clothes. Anybody seen the American flag clothes?
[06:38.270 --> 06:39.050]  No, but let me know.
[06:39.490 --> 06:40.330]  Oh, no.
[06:40.630 --> 06:41.390]  No, that's Beatles.
[06:41.610 --> 06:43.570]  No, you thought it was the American flag, but it's Beatles.
[06:45.490 --> 06:47.450]  I don't think I could have been more wrong.
[06:47.690 --> 06:50.750]  I don't know if there's a further from American flag than the Beatles.
[06:51.250 --> 06:53.110]  Oh, Crosswalk Coward! It was a stutter.
[06:53.390 --> 06:54.770]  No, that counted.
[06:54.990 --> 06:56.210]  You think that's a coward?
[06:56.210 --> 06:58.110]  No, because he went.
[06:58.290 --> 07:00.030]  He went. You're right. He made it.
[07:00.250 --> 07:01.110]  Oh, matching outfits.
[07:01.710 --> 07:02.130]  Oh, that bike.
[07:02.470 --> 07:03.790]  No, those are just guys on bikes.
[07:04.130 --> 07:05.810]  Is that a tricycle?
[07:05.970 --> 07:06.150]  Yeah.
[07:06.890 --> 07:09.190]  I am cleaning up.
[07:10.510 --> 07:12.290]  Is that an electric car, Geoff?
[07:13.750 --> 07:14.770]  No, that's not.
[07:14.770 --> 07:15.790]  What? Come on.
[07:16.290 --> 07:16.830]  That's the height of luxury.
[07:16.830 --> 07:18.050]  Is that like a Dodge Charger?
[07:18.330 --> 07:18.510]  No.
[07:19.370 --> 07:20.670]  Dressed up like a wave.
[07:22.110 --> 07:23.070]  Dressed up like a wave.
[07:23.070 --> 07:27.730]  So people know. Oh, hang on. Come on. Crosswalk Coward.
[07:27.730 --> 07:29.690]  Is that matching outfits crossing the road there?
[07:30.010 --> 07:30.390]  No.
[07:30.610 --> 07:31.670]  Well, maybe.
[07:32.290 --> 07:32.890]  No.
[07:33.290 --> 07:34.650]  No, it's close.
[07:34.690 --> 07:35.510]  It's very close.
[07:35.790 --> 07:41.430]  So we worked. Myself and Geoff got the full list together and gave it to Goovicon.
[07:41.710 --> 07:46.930]  So now this bingo card that you're getting is the full on bingo card.
[07:47.410 --> 07:48.030]  Man, that guy.
[07:49.010 --> 07:51.050]  That guy almost got hit by that.
[07:51.050 --> 07:54.770]  But that was crosswalk no fear.
[07:55.170 --> 07:59.210]  Yeah, but if you guys have almost got hit by a car, you can count that as it.
[08:00.270 --> 08:02.270]  He just held up his pants.
[08:02.850 --> 08:04.170]  There's really something, man.
[08:04.810 --> 08:07.630]  That's a man who's crossed that street 160 times.
[08:08.670 --> 08:10.350]  Oh, dude, that guy guts.
[08:10.510 --> 08:11.250]  Just going.
[08:12.110 --> 08:13.150]  Didn't give a fuck.
[08:13.670 --> 08:15.170]  So you can drink on the street here, huh?
[08:15.550 --> 08:17.070]  Yeah, yeah. There's an open container.
[08:17.070 --> 08:18.830]  It is amazing to me.
[08:18.950 --> 08:22.930]  I've been watching this for like four months that I have never seen somebody get plowed into on a bicycle.
[08:22.970 --> 08:26.250]  It almost happens constantly.
[08:27.230 --> 08:28.650]  I need double fisting.
[08:28.830 --> 08:29.350]  I need.
[08:30.630 --> 08:31.310]  Oh, man.
[08:32.290 --> 08:34.490]  I need that couple to come back with the crotch grab.
[08:34.510 --> 08:35.170]  Yeah, seriously.
[08:35.610 --> 08:37.230]  Give me also give me a beach goth.
[08:37.930 --> 08:39.110]  Ooh, beach goth is a good one.
[08:39.290 --> 08:40.290]  I need a meemaw.
[08:40.450 --> 08:41.270]  I need a go-kart.
[08:41.550 --> 08:42.550]  I definitely need a meemaw.
[08:42.930 --> 08:44.650]  I need bandage dude and nighttime shades.
[08:44.770 --> 08:45.790]  Oh, look at those shorts.
[08:45.790 --> 08:48.010]  Oh, those are some shorts, dude.
[08:48.510 --> 08:50.130]  Does anybody have offensive T-shirt?
[08:50.390 --> 08:50.750]  I do.
[08:51.250 --> 08:52.870]  I need it in my currently life.
[08:53.510 --> 08:55.530]  Geoff, is that a luxury car?
[08:57.110 --> 08:58.430]  No, what are you talking about?
[08:58.750 --> 08:59.110]  Come on.
[08:59.470 --> 09:00.690]  That's a three series.
[09:01.130 --> 09:02.050]  Is that a dumb hat?
[09:02.130 --> 09:03.270]  You know what, Eric?
[09:03.530 --> 09:06.690]  Yes, that is a dumb hat and I'll count the BMW.
[09:07.370 --> 09:09.810]  Yeah, luxury car, baby. I'm on the board.
[09:10.710 --> 09:11.250]  Are you serious?
[09:12.090 --> 09:14.290]  Well, yeah, if I don't count his BMW, I can't count mine.
[09:16.210 --> 09:17.650]  I mean, I've got it too.
[09:17.710 --> 09:18.150]  I'll take it.
[09:18.350 --> 09:19.550]  All right.
[09:19.950 --> 09:20.710]  God, that hat.
[09:22.210 --> 09:23.890]  I'm so excited to get a dumb hat.
[09:24.170 --> 09:25.550]  It's a nice spot on my board.
[09:25.630 --> 09:26.290]  That is a good one.
[09:26.530 --> 09:30.610]  He looks like the almost Hank Hill character in Beavis and Butthead.
[09:30.750 --> 09:31.750]  Oh, yeah, absolutely.
[09:32.250 --> 09:32.570]  Oh, yeah.
[09:32.810 --> 09:33.590]  Yeah, big time.
[09:35.170 --> 09:36.570]  That's a three-way cab.
[09:37.050 --> 09:38.770]  It's almost slop o'clock, right?
[09:39.630 --> 09:41.510]  Yeah, it is.
[09:41.710 --> 09:54.530]  If you're not familiar, if you're not intimately familiar with sloppy Joe Bingo theory in the audience here, it has been determined that 1115 p.m. Eastern time is slop o'clock.
[09:55.050 --> 10:03.190]  That is when the clock strikes slop and people go from getting drunk and partying to definitely drunk and partying.
[10:03.190 --> 10:07.310]  And that's when things get really intense, really fast.
[10:07.490 --> 10:08.750]  And then they taper off very quickly.
[10:08.910 --> 10:10.090]  So it's like highs and lows.
[10:10.250 --> 10:11.750]  Slow the fuck down, guy.
[10:13.850 --> 10:14.370]  Jesus.
[10:15.530 --> 10:16.870]  They got places to be, baby.
[10:16.990 --> 10:17.730]  People walking around.
[10:18.010 --> 10:20.450]  Wow, that is... that's an outfit.
[10:21.190 --> 10:21.690]  Whoa.
[10:21.830 --> 10:22.310]  Whoa.
[10:22.690 --> 10:23.210]  Wow.
[10:24.110 --> 10:25.010]  That's great.
[10:25.450 --> 10:26.610]  My son wears that.
[10:28.730 --> 10:29.970]  Is this a onesie?
[10:30.230 --> 10:30.490]  Yeah.
[10:33.190 --> 10:34.250]  Still after a mullet?
[10:34.830 --> 10:35.130]  Mm-hmm.
[10:35.250 --> 10:35.610]  Yeah.
[10:36.090 --> 10:37.470]  Still after someone in bandages?
[10:37.890 --> 10:39.250]  Oh, I get camera shy.
[10:39.730 --> 10:40.590]  Yeah, me too.
[10:40.810 --> 10:41.210]  Oh, camera shy.
[10:41.230 --> 10:42.390]  Could go for dancing.
[10:42.490 --> 10:43.890]  I need dancing and puking.
[10:44.250 --> 10:45.490]  Would love to see hoofin' it.
[10:45.790 --> 10:46.710]  Somebody hoofin' it.
[10:46.990 --> 10:47.990]  Suckin' on a chili dog.
[10:48.150 --> 10:52.250]  It's a little early, I guess, for people to be eatin' chili dogs.
[10:52.390 --> 10:56.430]  So I have dropped something, but I also have dropped spilled food and drink.
[10:56.570 --> 10:58.510]  And so what I'm hoping is that I get a two-yard double play.
[10:58.510 --> 11:03.150]  Yeah, that's something that we should also explain to the audience.
[11:03.250 --> 11:07.050]  It is possible sometimes a person can be three or four things.
[11:07.410 --> 11:09.250]  It's very rare, but it's fuckin' awesome.
[11:09.350 --> 11:10.910]  It's almost like a golden snitch.
[11:12.230 --> 11:13.310]  Game ends instantly.
[11:14.250 --> 11:14.370]  Yeah.
[11:16.790 --> 11:17.670]  That's clo...
[11:17.670 --> 11:19.130]  Nah, that's not formal wear.
[11:19.330 --> 11:20.490]  Is that matching outfit?
[11:20.890 --> 11:22.170]  No, that's just some guys.
[11:22.270 --> 11:23.670]  She's still waving to those dudes.
[11:24.010 --> 11:25.410]  He's not waving back!
[11:26.310 --> 11:27.030]  They're not interested.
[11:27.510 --> 11:28.430]  She's waving him over.
[11:29.150 --> 11:29.370]  That's rude.
[11:31.270 --> 11:32.590]  Hey, wait, hey, hey!
[11:33.350 --> 11:35.990]  Is that someone... where is it?
[11:36.030 --> 11:37.790]  Someone yelling, come on, or hey?
[11:37.950 --> 11:38.850]  Oh, that's how you wait up.
[11:38.970 --> 11:39.970]  Yeah, that counts as a wait up.
[11:40.170 --> 11:41.030]  Okay, alright, cool, cool.
[11:41.270 --> 11:43.390]  Where is that one? I have it. Where is it?
[11:43.530 --> 11:45.330]  Yeah, that counts as a wait up. Wink.
[11:47.270 --> 11:49.070]  Someone yells wait up, boom, on the board, boom.
[11:49.470 --> 11:49.690]  Bam.
[11:49.990 --> 11:52.170]  Come on, jeans and flip-flops, let's go.
[11:52.170 --> 11:53.510]  Somebody acknowledge the camera.
[11:53.810 --> 11:54.890]  Oh, she's...
[11:54.890 --> 11:57.010]  They're having fun.
[11:57.990 --> 11:58.390]  She's...
[11:58.390 --> 11:59.090]  She thought about it.
[11:59.230 --> 11:59.650]  Figuring it out.
[11:59.990 --> 12:01.490]  Did you say jeans and flip-flop?
[12:01.650 --> 12:03.470]  No, no, no, I'm looking for it.
[12:03.550 --> 12:06.330]  I can't believe I haven't seen it.
[12:07.570 --> 12:09.150]  I can't believe nobody's acknowledging the camera.
[12:11.270 --> 12:12.270]  Everyone's just cool with it.
[12:13.650 --> 12:15.590]  I would need to see some bandage guys right now.
[12:16.110 --> 12:20.610]  I've been thinking about adding ground effects to the list, because I'm starting to see a lot of cars with ground effects.
[12:20.610 --> 12:22.430]  Oh, cars with ground effects, I see.
[12:22.730 --> 12:24.650]  I thought you meant like something happens to the ground.
[12:25.530 --> 12:26.610]  It's an earthquake.
[12:29.770 --> 12:31.270]  Jeans and flip-flops, right side.
[12:31.810 --> 12:33.510]  Right side, that woman, jeans and flip-flops.
[12:33.810 --> 12:34.410]  Is that jeans?
[12:34.610 --> 12:35.790]  Is she in jeans or a dress?
[12:35.970 --> 12:36.010]  Where?
[12:36.350 --> 12:37.930]  I think it's those white-ass pants.
[12:38.530 --> 12:39.770]  Guy in a blue-and-white dress.
[12:40.330 --> 12:41.850]  No, dude, those aren't jeans.
[12:42.090 --> 12:43.970]  No, those are just weird-ass pants.
[12:44.350 --> 12:44.930]  Those are cotton.
[12:47.150 --> 12:47.950]  Oh, goddammit.
[12:48.410 --> 12:48.890]  No, no, no.
[12:48.890 --> 12:49.410]  Those are shoes, Doug.
[12:49.890 --> 12:50.850]  Those are shoes, buddy.
[12:51.650 --> 12:52.630]  Oh, has he got two drinks?
[12:52.730 --> 12:53.190]  Oh, just one.
[12:54.110 --> 12:55.350]  It's a pantsuit.
[12:56.270 --> 12:58.090]  I don't have pantsuit on the list.
[12:58.210 --> 12:59.850]  Oh, what's on that shirt? That could be offensive.
[12:59.890 --> 13:01.550]  That feels like it could be an offensive shirt.
[13:01.790 --> 13:02.890]  It's a picture of a rooster.
[13:04.130 --> 13:06.370]  And if it's got a picture of a rooster, it's offensive.
[13:08.510 --> 13:08.890]  Wink.
[13:09.070 --> 13:12.250]  Los Angeles, California, that's probably offensive if you're in a red state.
[13:12.910 --> 13:14.430]  That's offensive to me. I hate it.
[13:14.630 --> 13:15.890]  Ooh, a gator's hat. That's offensive.
[13:17.170 --> 13:18.210]  Yeah, that's true.
[13:20.310 --> 13:22.610]  These guys have matching necklaces. Is that a matching outfit?
[13:22.610 --> 13:23.230]  No.
[13:23.590 --> 13:26.050]  What a reach.
[13:26.530 --> 13:27.510]  I'm reaching here.
[13:27.790 --> 13:29.330]  I feel like we already had like...
[13:29.330 --> 13:29.750]  Is that a kid?
[13:29.830 --> 13:30.330]  I feel like...
[13:30.330 --> 13:30.770]  Is that a kid?
[13:31.010 --> 13:33.270]  I can't tell. I don't know if it's a kid or not.
[13:33.350 --> 13:34.210]  Oh, it's a camera!
[13:34.550 --> 13:35.750]  That's a Meemaw though.
[13:37.310 --> 13:38.830]  Acknowledge camera and Meemaw.
[13:39.130 --> 13:40.970]  I think that was a kid.
[13:41.610 --> 13:42.950]  Where did you see Meemaw?
[13:43.830 --> 13:45.990]  She was the grandmother of the kid.
[13:46.090 --> 13:47.990]  She's still angling down. She's very old.
[13:48.190 --> 13:49.370]  Alright, Meemaw, I got it. Boom, baby.
[13:50.070 --> 13:51.930]  What was the other one? Acknowledge camera?
[13:52.750 --> 13:54.390]  Meemaw, acknowledge camera, and kid.
[13:56.390 --> 13:57.330]  God damn it.
[13:57.390 --> 13:59.990]  Was that almost got in the wrong car? Or were they just trying to flag something down?
[14:00.430 --> 14:02.110]  No, I think she was just trying to...
[14:02.110 --> 14:05.150]  Man, there's so much going on tonight. It's hard to look at everything.
[14:05.510 --> 14:05.890]  It is.
[14:06.090 --> 14:07.050]  We almost need zones.
[14:09.410 --> 14:12.550]  Yeah, but I'm not going to help you with my zone, you know what I mean?
[14:12.870 --> 14:13.130]  Yeah.
[14:13.890 --> 14:15.190]  I'm out for number one, baby.
[14:15.890 --> 14:17.890]  I'm trying to win that cake. What kind of cake are you going to get?
[14:18.730 --> 14:19.370]  Are those...
[14:19.370 --> 14:20.330]  Cookie Puss.
[14:20.590 --> 14:21.010]  You're Cookie Puss.
[14:23.710 --> 14:24.250]  What's this?
[14:25.170 --> 14:26.090]  They're just joshing.
[14:28.770 --> 14:30.210]  He spilled all over that dude.
[14:30.290 --> 14:31.150]  I think he spilled...
[14:31.150 --> 14:32.370]  Oh, that counts as a spill.
[14:32.990 --> 14:35.650]  Oh, it's on his shoulder. Yeah, he spilled.
[14:35.990 --> 14:36.490]  Alright, cool.
[14:36.830 --> 14:36.990]  Spill.
[14:37.470 --> 14:40.210]  Got it. Spilled. Boom, boom, boom. I'm getting there.
[14:40.850 --> 14:44.410]  I am too... If I got a beach goth and a trip, baby, I got a bingo.
[14:44.830 --> 14:45.950]  How are you so good at this game?
[14:46.290 --> 14:47.170]  I'm good, baby.
[14:47.210 --> 14:48.210]  He wants sugar.
[14:48.530 --> 14:51.250]  I'm a couple fight and like a mummy walking by.
[14:51.930 --> 14:54.650]  And I got this. I need a bandage dude real bad.
[14:54.830 --> 14:55.730]  I'm not even close.
[14:56.610 --> 14:57.770]  Oh, that dude from Jersey Shore.
[14:58.430 --> 15:00.330]  I need pinking. That's going to be a tough one.
[15:00.910 --> 15:02.690]  Jeans... God damn it. No, God damn it.
[15:03.250 --> 15:04.150]  Wear some sandals.
[15:04.610 --> 15:07.230]  I'm just looking out for jeans now because it's so rare.
[15:07.750 --> 15:07.890]  Yeah.
[15:08.090 --> 15:09.470]  Oh, that's not a party.
[15:10.190 --> 15:11.350]  She's got the bride thing on.
[15:11.490 --> 15:12.730]  Oh, you're right. You're right.
[15:13.230 --> 15:14.790]  Oh, and that's the bride just walked out.
[15:15.310 --> 15:15.990]  Yeah, there you go.
[15:16.130 --> 15:17.930]  I mean, if you didn't have a dumb hat before...
[15:19.030 --> 15:19.950]  Is that a cowboy hat?
[15:20.150 --> 15:21.450]  Is that a cowboy hat too?
[15:21.450 --> 15:22.770]  That's a cowboy hat.
[15:23.090 --> 15:23.490]  Yes.
[15:23.910 --> 15:24.910]  Sunglasses at night.
[15:25.330 --> 15:25.930]  This guy...
[15:25.930 --> 15:26.210]  Yeah, that's a dumb hat.
[15:26.210 --> 15:27.490]  This is what we were talking...
[15:27.490 --> 15:28.810]  This guy's a golden snitch.
[15:30.430 --> 15:32.890]  Now if he just drops something at a party...
[15:34.370 --> 15:35.790]  Turn around, show us the mullet.
[15:35.870 --> 15:36.750]  Turn around, show us the mullet.
[15:37.710 --> 15:39.090]  Be afraid of the camera, dude.
[15:39.410 --> 15:39.850]  Be shy.
[15:40.090 --> 15:40.510]  Give us the mullet.
[15:40.530 --> 15:41.070]  Give us the mullet.
[15:42.370 --> 15:43.670]  That's a definite kid.
[15:43.810 --> 15:45.190]  That is a kid that should be in bed.
[15:45.490 --> 15:46.230]  Top of the screen.
[15:46.690 --> 15:48.110]  Oh, that's definitely a kid.
[15:48.310 --> 15:49.190]  That's a definite kid.
[15:50.070 --> 15:51.030]  Put that kid to bed.
[15:51.450 --> 15:52.610]  It's way too late.
[15:52.630 --> 15:53.630]  Come on!
[15:54.190 --> 15:55.330]  This is what happens...
[15:55.330 --> 15:56.290]  Also, the dog.
[15:56.410 --> 15:56.970]  Put the dog...
[15:56.970 --> 15:59.070]  Dog doesn't want to be out drinking at midnight.
[15:59.490 --> 15:59.710]  Dude.
[16:00.650 --> 16:05.570]  Geoff, we are like one minute away from slop o'clock and so much happened in 30 seconds.
[16:05.610 --> 16:07.190]  Because of the ramp up, man.
[16:07.570 --> 16:08.390]  It's a crescendo.
[16:08.910 --> 16:11.430]  That guy with the hat needs to go in the Hall of Fame.
[16:11.870 --> 16:12.410]  Oh, shit.
[16:12.810 --> 16:14.090]  She stormed off.
[16:14.190 --> 16:15.070]  You fucked up, buddy.
[16:15.090 --> 16:15.510]  Sitting on the ground.
[16:15.730 --> 16:16.570]  American flag.
[16:16.770 --> 16:17.770]  American flag hat.
[16:17.870 --> 16:18.810]  That's American flag clothes.
[16:18.930 --> 16:19.730]  And you acknowledge yourself.
[16:19.770 --> 16:20.210]  Yeah!
[16:20.210 --> 16:22.510]  You fucked up.
[16:22.590 --> 16:23.110]  Oh, my God.
[16:23.190 --> 16:23.990]  That's so much.
[16:24.250 --> 16:24.710]  Oh, this...
[16:24.710 --> 16:26.850]  I am fucking cooking right now.
[16:27.470 --> 16:28.910]  I need a bandage, dude.
[16:29.490 --> 16:32.770]  I am a puke.
[16:32.850 --> 16:34.150]  I'm puking away from...
[16:35.730 --> 16:37.790]  What did the camera acknowledge?
[16:39.830 --> 16:40.790]  Trying to get in the wrong car.
[16:40.790 --> 16:41.830]  Did you puke, dude?
[16:44.730 --> 16:46.310]  That dude peeled out.
[16:46.670 --> 16:48.410]  Oh, somebody's sitting on the curb, sitting down.
[16:48.530 --> 16:48.950]  Yeah, man.
[16:48.950 --> 16:51.310]  I screamed about it.
[16:52.990 --> 16:54.230]  Oh, it's a double fisted...
[16:54.230 --> 16:55.050]  Oh, it's a chili dog.
[16:55.210 --> 16:56.310]  Is that sucking on a chili dog?
[16:56.390 --> 16:57.450]  But he's not sucking on it.
[16:57.450 --> 16:58.450]  We didn't see him suck on it.
[16:58.470 --> 16:58.890]  That's okay.
[16:58.950 --> 17:00.430]  If he's got it in his hand, you know he's eating it.
[17:00.570 --> 17:01.210]  Oh, sick.
[17:01.870 --> 17:03.050]  Jeans shorts and sandals?
[17:03.230 --> 17:04.070]  Nah, you know what?
