[00:05.530 --> 00:07.730]  Hello! It's coming hoooome!
[05:43.960 --> 05:44.840]  We like Don Zimmer.
[05:45.040 --> 05:48.080]  So, by the transit of property, we open up Twin Peaks cards.
[05:48.100 --> 05:50.880]  Please open one of your 12-packs that you've been itching to open.
[05:51.120 --> 05:53.180]  So we're gonna blow through it, because we got a lot of stuff.
[05:53.460 --> 05:54.780]  I promised Twin Peaks for Gavin.
[05:55.020 --> 05:56.780]  I promised Umbrella Academy for Geoff.
[05:56.860 --> 05:58.660]  I got Game of Thrones, I don't know if we'll get to it.
[05:58.860 --> 06:00.520]  I got more James Bond for Gavin.
[06:00.660 --> 06:04.840]  I got soccer for... I don't know, Eric, I guess.
[06:05.000 --> 06:05.800]  Andrew's in Canada.
[06:06.460 --> 06:08.440]  Eric, you've been to three fucking soccer games last week.
[06:08.460 --> 06:09.620]  Yeah, so I don't have to watch the England game.
[06:09.900 --> 06:10.240]  Boring.
[06:10.960 --> 06:13.740]  So we'll start, as we do with all things, we're looking for a Zim.
[06:14.100 --> 06:16.940]  We've never not had a Zimmer.
[06:17.720 --> 06:22.000]  When you hit that earlier and they were in the host segment, it stopped everything.
[06:22.140 --> 06:24.740]  I thought, I wonder if this is on. And then Mike got the blame for it.
[06:24.840 --> 06:25.160]  Brilliant.
[06:26.380 --> 06:26.840]  Sorry, Mike.
[06:26.960 --> 06:27.620]  Alright, so let's go.
[06:27.620 --> 06:28.340]  Okay, here we go.
[06:28.420 --> 06:29.420]  We're gonna go through our first pack.
[06:30.000 --> 06:32.620]  Oh, look at that. We got the camera figured out.
[06:32.700 --> 06:34.580]  Oh, he's got a mouthful.
[06:34.580 --> 06:35.040]  John Kelly.
[06:35.360 --> 06:36.080]  John Kruk.
[06:36.200 --> 06:36.760]  I like John Kruk.
[06:36.780 --> 06:40.860]  John Kruk, one of the redneckier baseball players of all time.
[06:41.020 --> 06:41.800]  And kind of lovely.
[06:42.940 --> 06:44.380]  Oh, Alex Fernandez, rookie.
[06:45.180 --> 06:45.640]  Greg Vaughn.
[06:45.720 --> 06:46.240]  He was a great player.
[06:46.360 --> 06:46.780]  Dave Smith.
[06:47.560 --> 06:48.760]  Paul gets an upside down.
[06:48.960 --> 06:50.580]  This is inverted, that means it's satanic.
[06:50.760 --> 06:51.660]  Is that the same high leg?
[06:52.300 --> 06:52.660]  Griffey!
[06:52.660 --> 06:53.260]  Oh, Griffey!
[06:53.280 --> 06:54.160]  That's a real card.
[06:55.560 --> 06:56.640]  Not looking at a...
[06:57.160 --> 06:57.840]  No, no Zim.
[06:57.980 --> 07:00.580]  I would like to keep that full of mouth one.
[07:00.900 --> 07:01.720]  Yeah, yeah, I set it aside.
[07:01.720 --> 07:06.680]  I think we should potentially rank the most stuff in people's mouths as we find them.
[07:06.740 --> 07:07.220]  Oh, that's good.
[07:07.280 --> 07:08.440]  Another thing to add to your list.
[07:08.740 --> 07:09.420]  That's a great idea.
[07:09.540 --> 07:10.620]  Okay, here we go.
[07:11.060 --> 07:13.040]  Geoff was pulling stuff out before we started.
[07:13.200 --> 07:14.680]  He went, is this episode one or episode two?
[07:14.840 --> 07:15.680]  Why did we keep this?
[07:17.200 --> 07:19.300]  Greg Geoffries, what a letdown his career was.
[07:19.340 --> 07:20.000]  Terry Steinbach.
[07:20.460 --> 07:21.140]  Barry Jones.
[07:21.260 --> 07:22.040]  Mike Gallego.
[07:22.860 --> 07:23.740]  Mike Geoffcoat.
[07:23.820 --> 07:25.620]  Wes Chamberlain looking tough as nails.
[07:26.100 --> 07:28.500]  Sean Bossky looking kind of like a pervert.
[07:29.140 --> 07:30.860]  Roberto Kelly was a great player.
[07:30.860 --> 07:32.160]  Danny Gladden.
[07:32.340 --> 07:33.320]  Greg Harris.
[07:34.080 --> 07:35.680]  I'm pretty sure we interviewed Greg Harris.
[07:35.840 --> 07:39.320]  That's the name of the guy that created the VelociCoaster, right?
[07:39.580 --> 07:42.280]  Yeah, that's Greg Harris, former San Diego Padres pitcher.
[07:42.560 --> 07:43.020]  Dwayne Henry.
[07:43.040 --> 07:44.160]  Created the VelociCoaster.
[07:44.640 --> 07:45.060]  Pretty sure.
[07:45.180 --> 07:45.980]  Well, but two more.
[07:46.260 --> 07:47.500]  Is that fact behind that?
[07:47.600 --> 07:49.640]  No, we interviewed a guy named Greg Harris three weeks ago.
[07:49.680 --> 07:50.140]  Oh, okay.
[07:51.140 --> 07:54.020]  Who happened to be the art director of the VelociCoaster.
[07:54.040 --> 07:54.440]  What's the score?
[07:55.220 --> 07:56.200]  It's 1-1 in extra time.
[07:56.320 --> 07:56.920]  All right.
[07:57.880 --> 07:58.680]  Kurt Wilkerson.
[07:58.920 --> 07:59.860]  We got Rob Ducey.
[07:59.860 --> 08:00.600]  Rob Ducey.
[08:00.640 --> 08:00.820]  Okay.
[08:01.000 --> 08:01.860]  Geoff Manto.
[08:03.140 --> 08:03.940]  Manto Toboggan.
[08:04.300 --> 08:04.360]  Sparky!
[08:04.880 --> 08:05.480]  Sparky Anderson!
[08:05.740 --> 08:06.940]  Sparky is up there!
[08:07.280 --> 08:07.480]  Surprise!
[08:07.680 --> 08:08.320]  Sparky Anderson.
[08:08.500 --> 08:09.740]  Sparky Anderson has got...
[08:09.740 --> 08:11.140]  I'm getting real Zim vibes.
[08:11.460 --> 08:13.820]  Do you think Sparky Anderson lived through that photo shoot?
[08:14.500 --> 08:14.900]  Wow.
[08:15.440 --> 08:16.240]  Steve Olin.
[08:16.380 --> 08:17.040]  Scott Aldrin.
[08:17.360 --> 08:19.700]  Somebody look it up and see if he died one second after that was taken.
[08:19.740 --> 08:20.640]  Ricky Jordan.
[08:21.820 --> 08:22.420]  Alvin Davis.
[08:22.500 --> 08:25.520]  If Sparky Anderson is still alive, I'm going to make it our goal to get him on the show.
[08:25.860 --> 08:26.560]  Rick Sutcliffe.
[08:26.940 --> 08:27.860]  Dave Magidon.
[08:27.920 --> 08:28.940]  Ooh, he's not going on the show.
[08:28.940 --> 08:32.740]  Hey, Rick Sutcliffe!
[08:32.980 --> 08:33.780]  Was he gone pre-Zim?
[08:34.900 --> 08:37.600]  Tell me Zim outlasted Sparky Anderson.
[08:38.060 --> 08:40.280]  He died in 2010.
[08:40.740 --> 08:42.360]  Oh, Zim was 2014?
[08:42.420 --> 08:45.180]  He was born in 1934.
[08:45.840 --> 08:46.360]  Wow.
[08:47.700 --> 08:49.140]  It was a full life.
[08:49.160 --> 08:49.620]  It was.
[08:49.760 --> 08:50.060]  Sparky had.
[08:50.140 --> 08:51.340]  It did not get much fuller.
[08:51.960 --> 08:54.740]  Sparky Anderson lived in a time when people were still called Sparky.
[08:55.320 --> 08:57.640]  Yeah, it's probably his legal Christian name.
[08:58.540 --> 08:59.900]  All right, what do we got?
[09:00.120 --> 09:00.580]  Scott Bradley.
[09:00.920 --> 09:01.720]  Oral Herscheiser.
[09:02.640 --> 09:03.780]  Everybody loves Oral Herscheiser.
[09:03.920 --> 09:04.800]  Dickie Thawne.
[09:04.900 --> 09:05.940]  Greg Catteret.
[09:06.460 --> 09:07.480]  Dickie Thawne's good name.
[09:08.640 --> 09:09.680]  Bob Garan.
[09:10.100 --> 09:11.080]  Like the other guys.
[09:11.560 --> 09:13.620]  It looks like...
[09:13.620 --> 09:14.260]  Samuel's right there.
[09:15.300 --> 09:16.360]  Samuel got on two cars.
[09:16.980 --> 09:21.740]  It looks kind of like Ricky Garrett is delivering for Samuel.
[09:22.840 --> 09:24.380]  It looks like Samuel's giving birth.
[09:24.380 --> 09:24.860]  It's a boy.
[09:25.260 --> 09:26.140]  Yeah, there you go.
[09:27.200 --> 09:28.000]  Roger McDowell.
[09:28.120 --> 09:29.100]  Darren Dalton.
[09:29.240 --> 09:30.120]  Brooke Jacoby.
[09:30.340 --> 09:31.220]  Doug Rader.
[09:31.900 --> 09:34.940]  Oh, that's a nose of a champion right there.
[09:34.960 --> 09:35.560]  Rob Bob Uker look.
[09:35.880 --> 09:36.420]  Yeah, look at that.
[09:36.740 --> 09:37.140]  Champorino?
[09:37.620 --> 09:38.380]  Scott Champorino.
[09:38.460 --> 09:38.940]  We got to save that.
[09:39.080 --> 09:40.200]  Gary Templeton.
[09:40.480 --> 09:40.840]  Steve Lake.
[09:41.040 --> 09:42.600]  Brad Ornsberg.
[09:43.120 --> 09:43.720]  Baseball name.
[09:43.900 --> 09:45.000]  Yeah, that's definitely a baseball name.
[09:45.420 --> 09:47.420]  That's a Cal Ripken Jr. record breaker card.
[09:47.520 --> 09:48.260]  That's probably worth something.
[09:48.360 --> 09:48.960]  Bob McClure.
[09:49.040 --> 09:49.680]  I doubt it is.
[09:50.100 --> 09:52.620]  Cal Ripken Jr. cards have maintained some value for some reason.
[09:53.100 --> 09:55.280]  I think it's because of the record that no one will ever break.
[09:55.280 --> 09:56.960]  That could be partially it.
[09:58.060 --> 09:59.140]  No Zims yet.
[09:59.340 --> 09:59.820]  That's fine.
[09:59.940 --> 10:01.160]  We got to bounce around.
[10:01.580 --> 10:02.300]  That's okay, though.
[10:02.380 --> 10:03.120]  We got a lot left to do.
[10:03.220 --> 10:07.480]  Gavin, I wanted to bring back something that was a lot of fun last time we did.
[10:07.860 --> 10:10.360]  You know, we got some of these James Bond archives.
[10:10.480 --> 10:12.160]  You've got two autographs already.
[10:12.300 --> 10:12.620]  That's true.
[10:13.420 --> 10:14.800]  I think we were all pretty impressed.
[10:14.920 --> 10:16.660]  We got a lot of cool cue cards.
[10:17.220 --> 10:22.390]  But we also had one billion Magikarp Pog packs.
[10:23.080 --> 10:24.240]  We had a little dench pile.
[10:24.240 --> 10:25.180]  Yeah, we had a dench pile.
[10:25.260 --> 10:30.720]  Why don't you open that up, and we'll see a little reminisce on what most of the last episode was.
[10:30.800 --> 10:31.720]  What have you planted in this?
[10:31.840 --> 10:31.960]  Nothing.
[10:33.160 --> 10:34.300]  They're in the hundredth minute.
[10:36.740 --> 10:37.840]  Is it still 1-1?
[10:38.240 --> 10:38.980]  It's still 1-1.
[10:39.300 --> 10:40.960]  That's as exciting as an Austin FC game.
[10:43.220 --> 10:44.800]  We got some piercings.
[10:44.880 --> 10:46.620]  Oh, you got a gold pierce. Look at that.
[10:46.840 --> 10:47.800]  It's upside down.
[10:47.880 --> 10:48.520]  It looks terrible.
[10:48.940 --> 10:49.980]  I don't even know what that one is.
[10:50.280 --> 10:51.300]  These look terrible.
[10:51.360 --> 10:52.120]  They're so bad.
[10:52.140 --> 10:53.200]  These Pogs suck.
[10:53.200 --> 10:55.820]  No offense to anybody associated with this.
[10:55.840 --> 10:57.160]  Honestly, full offense to whoever made these.
[10:57.380 --> 10:58.440]  Look at these.
[10:58.800 --> 10:59.900]  Andrew, full offense.
[11:00.220 --> 11:11.640]  And if you aren't familiar with the rich backstory of the James Bond Pogs, we have these because I accidentally spent $50 on them.
[11:11.700 --> 11:13.340]  I thought I was buying cards.
[11:13.500 --> 11:16.440]  You split them across the episodes to make them worth it.
[11:16.460 --> 11:17.920]  Are you opening actual cards now?
[11:17.920 --> 11:19.220]  I'm going to open a James Bond pack.
[11:19.300 --> 11:19.780]  I like it.
[11:20.200 --> 11:21.600]  Hopefully we'll get lucky there for you.
[11:22.500 --> 11:24.600]  Andrew, do you think we're getting lucky here?
[11:24.980 --> 11:27.120]  I mean, that was a Denchless pack.
[11:27.300 --> 11:29.920]  No Zim, no Dench.
[11:30.320 --> 11:32.280]  We're going for Dench.
[11:33.680 --> 11:35.460]  Oh, Dench.
[11:36.120 --> 11:38.960]  Oh, that's cool.
[11:39.400 --> 11:40.360]  It's a UAP.
[11:41.300 --> 11:43.320]  Is that from Spider Love Me? I don't remember.
[11:44.760 --> 11:48.060]  I saw a Southwest Airlines pilot talking about this on CNN.
[11:48.280 --> 11:49.760]  That was unexplained. That's an alien.
[11:49.760 --> 11:51.340]  You saw a Southwest what?
[11:51.580 --> 11:52.260]  Just making stuff up.
[11:54.660 --> 11:55.440]  It's a UAP.
[11:55.980 --> 11:57.820]  All right, so we got one Dench. That's not bad.
[11:57.960 --> 11:59.380]  A little bit of Dench. Not a solo Dench.
[11:59.660 --> 12:02.060]  I want to go into uncharted, newer territory.
[12:02.220 --> 12:04.880]  Let's pop open. I want to see what's up with these.
[12:05.060 --> 12:05.840]  How are you doing today, Andrew?
[12:06.560 --> 12:06.940]  Good.
[12:07.120 --> 12:08.580]  It's weird, he looked at me when he said that.
[12:08.940 --> 12:11.780]  That was strange. He kind of looked to the right.
[12:12.760 --> 12:19.360]  So, I informed Andrew yesterday that Will Smith and Randy Quaid actually have a scene together.
[12:20.100 --> 12:21.080]  In Independence Day.
[12:21.160 --> 12:21.620]  Do they really?
[12:21.920 --> 12:22.800]  He was worried that they'd never met.
[12:23.220 --> 12:25.900]  Well, we proved that they'd met on a carpet somewhere, right?
[12:26.420 --> 12:29.600]  He picks Will Smith up from the desert and takes him to Area 51.
[12:29.700 --> 12:34.120]  Don't forget, when we pull a new pack, one pack goes into the sack pack.
[12:34.300 --> 12:34.740]  The pack sack.
[12:35.220 --> 12:35.980]  That's not what it says.
[12:36.760 --> 12:37.460]  It's a sack pack.
[12:37.940 --> 12:41.540]  We're not going to spend much time with the pack sack today because we're short on time.
[12:41.680 --> 12:43.160]  But yes, you feed the pack sack.
[12:43.340 --> 12:45.480]  I'm excited to get onto Twin Peaks in a sec.
[12:45.500 --> 12:46.480]  I'm excited to get onto Twin Peaks.
[12:46.480 --> 12:49.680]  I'm excited to get onto the basketball that's been sitting staring at me for a month.
[12:49.800 --> 12:51.020]  I'm really hoping for Leland.
[12:52.160 --> 12:57.800]  Geoff said that he's had these 12 packs that he's been itching to open and then was almost tempted into doing it last night.
[12:57.900 --> 13:02.060]  And it's like, why would anyone tempt you into that?
[13:02.580 --> 13:03.780]  Because my girlfriend's evil.
[13:03.900 --> 13:04.540]  Yeah, exactly.
[13:04.780 --> 13:08.180]  They were on the kitchen counter last night and I was like, I've been looking at these for a month.
[13:09.020 --> 13:10.400]  I'm so excited to open them tomorrow.
[13:10.480 --> 13:11.560]  And she goes, why don't you open one now?
[13:13.340 --> 13:15.760]  Why would I open one? A, there's no such thing as opening one.
[13:15.920 --> 13:16.960]  And B, how dare you?
[13:17.120 --> 13:18.920]  Could you imagine if you just opened one?
[13:19.220 --> 13:22.300]  Yes. No, I've never done one of anything in my life.
[13:23.680 --> 13:25.900]  That's why we're in the situation we're in now.
[13:27.280 --> 13:28.840]  We got number five.
[13:28.980 --> 13:30.220]  This is the first time I've ever seen these.
[13:30.460 --> 13:31.220]  Umbrella Academy.
[13:31.360 --> 13:31.620]  That's true.
[13:31.740 --> 13:32.400]  I'm pretty happy.
[13:33.540 --> 13:33.900]  Okay.
[13:34.180 --> 13:35.360]  And then we have...
[13:35.360 --> 13:36.560]  Oh, there's their dad.
[13:37.240 --> 13:38.700]  Turn your card sideways.
[13:38.780 --> 13:39.480]  Do you want to see them like this?
[13:39.920 --> 13:40.860]  So we can see them?
[13:40.860 --> 13:41.160]  Yeah.
[13:41.660 --> 13:44.320]  I feel like I look so weird displayed.
[13:44.820 --> 13:46.900]  It's a bunch of sideways dents before.
[13:47.020 --> 13:49.660]  We only see each other at weddings and funerals.
[13:50.440 --> 13:51.380]  What is this?
[13:51.480 --> 13:52.100]  Is this a show?
[13:52.120 --> 13:53.260]  Have you not seen the Umbrella Academy?
[13:53.380 --> 13:53.660]  No.
[13:54.200 --> 13:54.740]  What is it?
[13:54.800 --> 13:57.820]  It is a TV show on Netflix.
[13:58.180 --> 13:58.800]  It's huge.
[13:58.920 --> 13:59.480]  Two seasons.
[13:59.680 --> 14:00.160]  Is it new?
[14:00.440 --> 14:01.820]  Everything on Netflix has two seasons.
[14:01.820 --> 14:03.120]  It's got Elliot Page in it.
[14:03.440 --> 14:04.840]  They would be the biggest star in it.
[14:05.760 --> 14:06.380]  Jesus Christ.
[14:06.960 --> 14:10.120]  I was written by the brother of the guy from some band.
[14:10.820 --> 14:12.420]  Was that the My Chemical Romance show?
[14:12.620 --> 14:12.640]  Yeah.
[14:12.800 --> 14:13.700]  My Chemical Romance.
[14:13.920 --> 14:15.060]  There's another number five.
[14:15.160 --> 14:15.740]  The white violin.
[14:16.000 --> 14:16.900]  This must be from season one.
[14:17.300 --> 14:17.700]  Extraordinary.
[14:18.260 --> 14:19.500]  This must be from season one.
[14:19.500 --> 14:21.620]  That's when Ellen was still...
[14:21.620 --> 14:22.300]  Ellen Page, I think.
[14:22.380 --> 14:23.060]  It's not Elliot yet.
[14:23.240 --> 14:24.200]  If that was season one.
[14:24.680 --> 14:26.460]  And then the white violin again.
[14:26.940 --> 14:27.180]  What the fuck?
[14:27.340 --> 14:28.700]  Why does that guy look like that?
[14:28.820 --> 14:29.800]  He's the older brother.
[14:31.140 --> 14:32.800]  Do you want to know why he looks like that?
[14:33.700 --> 14:34.020]  Yeah.
[14:34.240 --> 14:34.640]  Give me that.
[14:34.840 --> 14:35.600]  He's half gorilla.
[14:36.160 --> 14:36.900]  I'm sorry.
[14:37.480 --> 14:37.700]  Yeah.
[14:37.760 --> 14:38.900]  Let me find a...
[14:38.900 --> 14:40.200]  He's half gorilla?
[14:40.420 --> 14:40.500]  Yeah.
[14:40.540 --> 14:41.780]  He's like fused with a monkey.
[14:42.100 --> 14:42.520]  Or a gorilla.
[14:42.820 --> 14:44.100]  So he's got like gorilla arms.
[14:44.160 --> 14:44.460]  What?
[14:44.660 --> 14:45.100]  Look at...
[14:45.100 --> 14:46.140]  Gavin, look at this.
[14:46.480 --> 14:47.000]  He didn't...
[14:47.000 --> 14:48.980]  You don't see him a lot in season one because he spent all...
[14:48.980 --> 14:50.120]  He was on the moon the whole time.
[14:50.300 --> 14:51.660]  What are you saying?
[14:52.000 --> 14:53.700]  Yeah, he spent season one on the moon.
[14:53.960 --> 14:55.060]  Andrew, is this all real?
[14:55.860 --> 14:56.660]  I have no idea.
[14:57.140 --> 14:58.420]  I'm waiting for an umbrella.
[14:58.680 --> 14:59.560]  Is there an umbrella card?
[14:59.600 --> 15:01.520]  How many umbrellas are in the Umbrella Academy?
[15:02.720 --> 15:04.340]  There's one for every kid, I think.
