[00:04.920 --> 00:06.720]  Previously, on F*** Face.
[03:55.250 --> 03:59.050]  of this item. Like it makes complete sense that it would be a limited amount of them. A huge
[03:59.050 --> 04:06.910]  physical cost that cost me, uh, overall about, about, about three weeks of, of, of, of pain.
[04:07.430 --> 04:14.510]  Cost me a tripod. Cost Gavin a tripod. Yeah. So it cost him some financial pain. So, uh,
[04:14.750 --> 04:18.670]  so what happens is we're not the ones that actually take the balls and put them up on the store.
[04:18.930 --> 04:24.330]  They have to go to our shipping company and then they have to like onboard them and put them into
[04:24.330 --> 04:30.150]  the, uh, into the inventory system. And then they have to be individually wrapped and all that stuff.
[04:30.250 --> 04:35.390]  And while that's going on, they have to be added into our web store via a backend. And this is
[04:35.390 --> 04:39.250]  something I used to do for the first seven or about the first eight years of the company,
[04:39.350 --> 04:44.890]  I ran the store by myself. So I understand how, how difficult and how much more work
[04:44.890 --> 04:49.250]  it is behind the scenes than you may realize. It sounds like you just hit a button and you go,
[04:49.510 --> 04:53.970]  but it's really not that simple. There's a lot of linking and branching and a lot of eyes that got
[04:53.970 --> 04:58.730]  to be dotted and T's that got to be crossed. And so we asked them to be put up at 10 a.m.
[04:59.010 --> 05:03.650]  The person who ended up putting them in was not the person we told. Information gets passed down.
[05:03.850 --> 05:07.290]  It was a bit of a game of telephone from time to time, you know, a little purple monkey dishwasher
[05:07.290 --> 05:12.190]  in there. What essentially happened was the process. It's not an exact process. It takes
[05:12.190 --> 05:16.870]  anywhere between 10 and 15 minutes to add them to all the places that they need to be and then
[05:16.870 --> 05:22.510]  publish it to the store. Uh, and so that they go live. So the person that does it, they typically
[05:22.510 --> 05:27.430]  start about 9 45. Uh, and cause you know, that gives them a good 15 minutes to work with. And
[05:27.430 --> 05:31.910]  then they just get it as close to, to, in this instance to 10 a.m. as possible. What happened
[05:31.910 --> 05:38.350]  in this instance is it just, the process went faster than normal. And so not realizing, uh,
[05:38.350 --> 05:44.290]  that we had a hard time, that department, uh, they just published them early. Right. Which is
[05:44.290 --> 05:47.870]  like, if you think about it, if you're just a person who's like, whose job is to do that,
[05:47.870 --> 05:50.350]  you're like, well, I'd put them out five minutes early. Then people have, you know,
[05:50.350 --> 05:53.650]  then they're just, they're waiting for you when you show up. I don't think they understood the
[05:53.650 --> 05:59.870]  demand. And so by about 9 50, uh, all of the balls had been sold out. So the people who showed
[05:59.870 --> 06:04.650]  up early were rewarded by getting the balls because they showed up early and were like spam and
[06:04.650 --> 06:09.010]  refresh. So those people were, were, uh, those early birds, they caught those worms. They got
[06:09.010 --> 06:12.870]  those little ball worms. Uh, and then the people who dutifully showed up at 10 a.m. When we told
[06:12.870 --> 06:16.730]  them to, we're like, what do you mean they're sold out? What the fuck? And they didn't get it.
[06:16.730 --> 06:24.050]  They were understandably justifiably upset as were we, we were upset because people were upset. We
[06:24.050 --> 06:30.010]  wanted to give everybody a fair shot at getting the balls. And we felt like, uh, through no
[06:30.010 --> 06:35.450]  intentional fault of anybody's own, uh, that we didn't deliver on that. And so we were gutted
[06:35.450 --> 06:41.310]  and frustrated as I know the e-com department that, uh, runs this on the back end, they were
[06:41.310 --> 06:45.670]  also disappointed. Now my solution to this going forward, and I have talked about this a little
[06:45.670 --> 06:50.230]  bit with, uh, actually at length with Eric, you, by the way, you guys want to see a producer producing
[06:50.230 --> 06:57.010]  in action. Eric was on the ball that day. He was all over this all day long. Uh, shout out and, and
[06:57.010 --> 07:01.890]  major kudos to Eric for doing a hell of a job trying to get to the bottom of this and get it
[07:01.890 --> 07:05.270]  all worked out and get figured out what happened and how to make sure it doesn't happen again.
[07:05.350 --> 07:11.650]  My solution would be just to never announce an exact time again because, uh, we fucked it up twice
[07:11.650 --> 07:16.790]  and I don't want to do, I don't want to do that again. No, no, here's, here's the thing. Here's
[07:16.790 --> 07:21.230]  the thing. When things like this happen, I don't really care why these things happen. It's, it's
[07:21.230 --> 07:24.870]  upsetting, but what are you going to do? Belabor the point, you know what I mean? All I want to
[07:24.870 --> 07:32.230]  know is are we capable of doing the thing that we initially set out to do going forward? So I had
[07:32.230 --> 07:38.110]  a lot of conversations with a lot of people in the e-com team and I was assured that going forward,
[07:38.110 --> 07:46.530]  when we have these down-to-the-minute drops, we can do them. I found out what the limitations are,
[07:46.730 --> 07:51.490]  I found out what the problems or what the hiccups would be, but I was assured that when we go,
[07:51.610 --> 07:56.890]  going forward, if we wanted to do this stuff for down-to-the-minute stuff, what happened this time
[07:56.890 --> 08:03.090]  won't happen again and we can do it to a precise minute the way that we want it.
[08:03.090 --> 08:07.410]  To me, it sounds like e-com went in for pleasantries. They went in early.
[08:08.650 --> 08:14.010]  And you know I'm not a fan of that. I, and hey, listen, I think there's a lot of people that feel
[08:14.010 --> 08:21.550]  like your stance on pleasantries is 100% validated by this whole ordeal. I saw, I saw a lot of that
[08:21.550 --> 08:25.630]  sentiment. As a fan of pleasantries, let me, there's a line of pleasantries. You can have
[08:25.630 --> 08:30.410]  too much pleasantries. They were too early on the pleasantries. You can't, you can't be 20 minutes
[08:30.410 --> 08:36.170]  early on the pleasantries. A five minute pleasantry? That's a different story. So, uh, I know that
[08:36.170 --> 08:40.190]  there's a lot of audience members out there who are frustrated. We are also frustrated. Eric has
[08:40.190 --> 08:44.470]  put a lot of work into making sure that the next time we do this, it'll work without a hitch. And
[08:44.470 --> 08:49.230]  I'll tell you right now, if we fuck it up a third time, I'm, I'm just going to eliminate the
[08:49.230 --> 08:55.130]  opportunity for us to release to the minute. I'm just like, it'll be out sometime on this day.
[08:55.630 --> 08:59.850]  Best of luck. Check, you know, like, well, I'll give you like, we'll give you like a window,
[09:00.030 --> 09:05.430]  like more, like, it'll be like when you have to get your internet fixed and you call AT&T or,
[09:05.530 --> 09:10.590]  or Spectrum or whoever you have in it with. And they go, yeah, we'll be there between 8am and
[09:10.590 --> 09:15.230]  noon. That'll be the new window. We'll be like, we're going to drop the balls. Why, why would we
[09:15.230 --> 09:23.350]  want to operate in the worst way? Because we can't operate in the accurate way. The way to fix this
[09:23.350 --> 09:30.390]  going forward is for us to operate like Spectrum internet. That's not a great comparable, but to
[09:30.390 --> 09:34.410]  Geoff's defense, I went through a phase where I was super into trying to collect like Mondo posters,
[09:34.410 --> 09:40.110]  like a long time ago, many years ago, and they do not put specific times out there. Like it'll
[09:40.110 --> 09:43.990]  release in this day. At least they didn't back then, but they would always put them into the
[09:43.990 --> 09:48.070]  system at around 10am, but they were never definitive. So I think there's, there's room
[09:48.070 --> 09:51.830]  for that. There's a, there's a history of companies doing that. I'm just saying, if we
[09:51.830 --> 09:57.070]  blow it again, if we're, if we, if we strike out, if we're over three on this, I think that we got
[09:57.070 --> 10:01.730]  to reevaluate. I'm willing to give it another shot. If we get three strikes on our baseballs.
[10:01.890 --> 10:06.570]  Yeah, but I'm absolutely willing to give it another shot. I appreciate the work that Eric
[10:06.570 --> 10:10.870]  did. I trust the e-comm team can get it right. I'm just saying, if we don't, we got to cut our
[10:10.870 --> 10:15.970]  losses. Totally. If it happens again, I won't talk about it. You guys can talk about it on the show.
[10:15.970 --> 10:21.330]  I won't talk about it on the show because I won't have anything that we could air that like,
[10:21.450 --> 10:26.870]  nothing that I would say would be usable. So like, I'm guaranteeing that it will not happen again.
[10:27.230 --> 10:33.150]  All right, there we go. So to that end, we want to do a make good. We want to make it up to the
[10:33.150 --> 10:40.130]  audience members who followed the letter of the law and showed up at 959 to wait for the clock
[10:40.130 --> 10:44.490]  to tick over to 10 and try to buy the balls and find out they were not there. I've already asked
[10:44.490 --> 10:51.050]  to buy us more balls. I'm prepared to go out and do it all over again. Now, my initial idea,
[10:51.370 --> 10:56.070]  my initial idea, and there's a counter argument to that. And I'd love to. And I think I think the
[10:56.070 --> 11:00.210]  counter argument is probably ultimately correct. But I'd like to at least hit with my initial idea
[11:00.210 --> 11:04.410]  was to mix it up a little bit to make it a little different, to share some of the burden on me.
[11:04.970 --> 11:10.950]  Maybe I hit 100, maybe Gavin hits 50, maybe Eric does 20. And then maybe we mail a couple to Andrew
[11:10.950 --> 11:14.950]  and he can do whatever weird shit Andrew does with stuff. And then we just kind of mix it all
[11:14.950 --> 11:19.890]  up. And then you're getting like the potential of maybe you get a Gavin ball in blue, you get an
[11:19.890 --> 11:23.610]  Eric ball in orange or a Geoff ball in black. Yeah, different paints for different people.
[11:24.410 --> 11:29.030]  Andrew's counterpoint was we can't make a new product that's different because that's just
[11:29.030 --> 11:33.070]  going to make the want the people who already bought the black hit balls want the new product
[11:33.070 --> 11:38.170]  as well. We should there should be parity between the product so that everybody gets the same
[11:39.030 --> 11:43.710]  potential ball. And I think as much as it pains me to say it, I think he's probably right.
[11:43.810 --> 11:48.910]  Man, this is deep. I think it's also a conversation that the audience could respond to,
[11:49.110 --> 11:53.870]  like in the comments of this, like, would they rather just do the exact same thing as like a
[11:53.870 --> 11:58.730]  pure make good so people who already have one don't feel obligated to buy this one? Or do you
[11:58.730 --> 12:04.250]  want would you prefer what Geoff just said of like us all having our own takes on the balls and then
[12:04.250 --> 12:07.730]  like a second release essentially that way with a larger volume of them?
[12:08.030 --> 12:12.110]  We'll let the audience decide. We'll kind of go by audience sentiment after this airs.
[12:12.330 --> 12:19.730]  Either way, we're going to, in some fashion, either create an identical product or a newer
[12:19.730 --> 12:25.190]  altered product and release another, I guess, two or three hundred balls out into the wild.
[12:25.350 --> 12:31.570]  So if you didn't get one, you'll be able to try again just because we want to make it up to you
[12:31.570 --> 12:40.090]  because there was a lot of anger out there in the world. And I get it. I get it. I want to make it
[12:40.090 --> 12:42.930]  up to every comment leaver and every regulation listener out there.
[12:43.050 --> 12:46.830]  Like when you get beat out for something, like if it drops on time, that's just how it goes.
[12:47.090 --> 12:51.550]  Like it sucks, but it's like you live with that. But like when the system fails, like when you
[12:51.550 --> 12:55.850]  feel like a bunch of bots bought it or whatever, like something went against it, that sucks. Like
[12:55.850 --> 13:00.690]  that's that's like an understandable frustration. So yeah, it sounds like we've been able to figure
[13:00.690 --> 13:06.950]  stuff out, hopefully, and we will we will do make it on this and depending on what the audience wants.
[13:07.110 --> 13:12.050]  I think just to say sincerest apologies. Absolutely. If you showed up and felt slighted, we are going to
[13:12.050 --> 13:15.910]  do our absolute damnedest to make it up to you. It was very us, though. It was very f***ed face.
[13:16.030 --> 13:22.830]  It was. Very f***ed face. But, you know, yeah. Yeah. We don't have to be so true to the letter of the show
[13:22.830 --> 13:29.650]  all the time. Andrew, you you wanted to see you wanted to roll into something.
[13:29.690 --> 13:33.850]  So speaking, I have a little like story to tell those that's very funny that happened to me
[13:33.850 --> 13:41.970]  recently. Speaking of like show expenses, I filed my taxes last week and typically whenever I have
[13:41.970 --> 13:46.590]  done things for this show, because it's work, but it's weird. It's a weird category thing.
[13:46.890 --> 13:50.230]  I've never really tried to claim what would be traditional work expenses.
[13:50.790 --> 13:57.190]  And so this is the first year I attempted to do so, including the porta potty. So I was like,
[13:57.550 --> 14:02.650]  how do I how do I submit this in like a way that makes sense? That's not going to be like
[14:02.650 --> 14:08.050]  highly questioned. So I thought, oh, fancy up the wording. And I called it production equipment.
[14:08.410 --> 14:13.690]  I listed the porta potty as production equipment on my form. I put the price amount down. I put
[14:13.690 --> 14:19.290]  the bingo wheel down as production equipment. And I put some comic books down when we're doing
[14:19.290 --> 14:25.250]  research, extensive research. I put all of the BTS sauce orders as production meals. I was trying
[14:25.250 --> 14:32.170]  to class up everything as much as possible. You should be expensing all this to the company,
[14:32.350 --> 14:35.390]  not to the government. Yeah, I don't know how any of this works. You're an employee.
[14:35.710 --> 14:43.210]  Talk to the producer. So I put all that in and I brought it to the person that does my taxes
[14:43.210 --> 14:47.730]  and I showed them the form and I'm like, so I got these, I got this production stuff.
[14:47.730 --> 14:53.190]  And they immediately said, they pointed at the porta potty and said, what is this? I said,
[14:53.210 --> 14:56.610]  what do you mean? It's they're like, no, like I understand it says production equipment.
[14:56.950 --> 15:02.770]  What was the equipment? And I had to say porta potty and the look of shock on their,
[15:02.930 --> 15:08.910]  like they were like, they said, they audibly said, what? And they look so confused. And I had
[15:08.910 --> 15:14.870]  them then explain what it was that it was a porta potty and why it was related to the show and that
[15:14.870 --> 15:19.310]  made these mugs and it was this whole thing. And then I realized, oh no, she's going to do this
[15:19.310 --> 15:24.490]  with all of them. So then she immediately pointed to the next one. What is this production equipment?
[15:24.690 --> 15:30.070]  And I had to just go bingo wheel, didn't question that one. And then we're able to move on. But the
[15:30.070 --> 15:35.430]  embarrassment of having to tell somebody porta potty. And there's just the shocked look on her
[15:35.430 --> 15:42.870]  face was very funny. Oh my God. So I'm, I'm almost certainly going to get audited. I'm excited for
[15:42.870 --> 15:47.830]  this process. And you could have just got reimbursed. I could have just got potentially.
[15:48.030 --> 15:52.290]  Yeah. I don't know how any of that stuff works, as I said, but we have a form, I think. Do we?
[15:52.370 --> 15:57.030]  Yeah. It's expense reports. It's called Eric. Yeah. I'll introduce you to the wonderful world
[15:57.030 --> 16:04.990]  of concur expense sheet reporting. Yeah. So they made those audible noises and then you're welcome
[16:04.990 --> 16:10.750]  man. Enjoy. Yeah. Well, some of it to be fair, like I don't, the porta potty was a weird thing
[16:10.750 --> 16:14.370]  where it was just something I wanted to do and I'd felt like it would be tough to get approval
[16:14.370 --> 16:20.130]  of because it's expensive. It was over a thousand dollars. Uh, so I just did it. Yeah. It just feels.
[16:21.990 --> 16:26.530]  Yeah. I don't know. Yeah. It's a lot of money for you. I mean, I mean, just so you're aware,
[16:26.630 --> 16:30.170]  there's no way I would have gotten approval for over a thousand dollars for a porta potty.
[16:30.410 --> 16:34.090]  Exactly. Like, like, like there's like, it's just, it just wouldn't have happened. Like
[16:34.090 --> 16:40.430]  it sold out on mugs though. Like it was a valuable, it was worth it from the 100% worth it.
[16:41.030 --> 16:46.550]  We sold 1000 Tiki mugs because of that porta potty. You bought it, right? Right. And you guys
[16:46.550 --> 16:51.070]  understand the order that these things happened in, right? Okay. Just making sure. Okay. We didn't
[16:51.070 --> 16:57.310]  sell the Tiki mugs before we did the porta potty. No, but it all worked out in the end. It was a
[16:57.310 --> 17:00.890]  clear thing. It was a great idea. I think it's impossible to deny that it was a great idea.
[17:01.410 --> 17:05.630]  What, what you're doing though, what we're doing is we're building a resume of success
[17:05.630 --> 17:11.590]  so that now when we go to, uh, I dunno, the finance department and say, Hey, we need to buy,
[17:11.770 --> 17:17.930]  you know, this thousand dollar piece of nonsense, but we promise it'll turn into content down the
[17:17.930 --> 17:23.710]  road. Uh, they'll go, Oh yeah, well you've proven that time and time again. So, uh, sign off.
[17:28.550 --> 17:32.010]  When you use the bathroom, you always close the door behind you, right? You don't want
[17:32.010 --> 17:35.990]  random passerby looking in on you. So why would you let people look in on you when you go online?
[17:36.390 --> 17:40.210]  Using the internet without ExpressVPN is like going to the bathroom and not closing the door.
[17:40.890 --> 17:44.310]  Did you know that your internet service provider knows every single website you visit?
[17:44.710 --> 17:48.510]  And what's worse is they can sell this information to ad companies and tech giants who will use your
[17:48.510 --> 17:53.470]  data to target you. ExpressVPN puts a stop to this. It creates a secure encrypted tunnel
[17:53.470 --> 17:57.570]  between your device and the internet so that your online activity can't be seen by anyone.
[17:57.570 --> 18:02.870]  I use ExpressVPN on all my devices. It works on everything, phones, laptops, even routers.
[18:03.350 --> 18:07.650]  So everyone who shares your wifi can still be protected even if they don't have ExpressVPN.
[18:08.490 --> 18:13.430]  ExpressVPN is a great service. I personally use it to look at libraries for other, uh,
[18:13.430 --> 18:17.650]  streaming services that I can't access. It just, it adds so much content. It's awesome.
[18:18.090 --> 18:22.010]  And the best part is using ExpressVPN is as easy as closing the bathroom door.
[18:22.230 --> 18:27.150]  You just fire up the app, click one button, and you're protected. ExpressVPN is the world's
[18:27.150 --> 18:32.390]  number one rated VPN by Mashable, The Verge, and countless others. So if you're like me and
[18:32.390 --> 18:37.630]  believe your online activity is your business, secure yourself by visiting expressvpn.com
[18:37.630 --> 18:45.910]  slash face today. Use my exclusive link, e-x-p-r-e-s-s-vpn.com slash face,
[18:46.110 --> 18:52.250]  and you can get an extra three months free. That's expressvpn.com slash face.
[18:52.830 --> 18:56.690]  This ad is brought to you by HelloFresh, America's number one meal kit.
[18:57.150 --> 19:01.170]  Get farm fresh seasonal produce and easy to make recipes delivered right to your door
[19:01.170 --> 19:05.230]  every week. Ingredients travel from the farm to your doorstep in under a week,
[19:05.290 --> 19:09.850]  so they always arrive fresh. All without a trip to the grocery store or farmer's market.
[19:10.510 --> 19:14.210]  It's all about convenience with HelloFresh. Not only do the ingredients come pre-portioned,
[19:14.390 --> 19:18.730]  so you're not overbuying or wasting food, but it's easier than ever to get filling meals on
[19:18.730 --> 19:22.830]  the table in a snap with options like family-friendly or quick and easy recipes.
[19:22.830 --> 19:28.050]  One of the many reasons why I love HelloFresh, you get the boxed stuff and the recipes are always
[19:28.050 --> 19:33.110]  easy and clear to understand. When I first started using HelloFresh, I didn't have much cooking
[19:33.110 --> 19:37.610]  experience. I had a few dishes I could make, but HelloFresh has really expanded what I've been
[19:37.610 --> 19:43.830]  able to make and really allowed me to enjoy the experience of cooking as a whole. It's awesome.
[19:44.050 --> 19:48.330]  It shows up. It's super easy. You have delicious food. I would highly recommend it. So go to
[19:48.330 --> 19:56.350]  hellofresh.com slash face 16 and use code face 16 for up to 16 free meals and three free gifts.
[19:56.710 --> 20:03.210]  That's hellofresh.com slash face 16 and use code face 16 for up to 16 free meals
[20:03.210 --> 20:10.430]  and three free gifts. Thank you. I have another thing I need to bring up quickly
[20:11.050 --> 20:13.690]  because I should have done this at the beginning of the show, but I'm an idiot.
[20:14.250 --> 20:18.670]  Last episode, Geoff, you came at me pretty aggressively at the end. You took some shots
[20:18.670 --> 20:26.530]  my way. You just fucking... I felt I told a good story and you're like, oh, what about you?
[20:26.630 --> 20:32.710]  You got any fucking content for this episode? So I came up with a few games, Geoff, and one of them
[20:34.670 --> 20:41.170]  is sort of time sensitive. Are we going to start off the next 100 episodes with you being mad at
[20:41.170 --> 20:46.230]  me? No, we're just going to conclude within this one because I did a thing. I came with the games,
[20:46.390 --> 20:51.650]  Geoff. This is game one. This is an important thing I should have mentioned earlier for my idea with
[20:51.650 --> 20:56.330]  it. Before you go any further, can I ask you a question? Absolutely. Did you mail something to
[20:56.330 --> 21:02.850]  me? No. Okay. Just making sure because I had a FedEx note on my door and if it was for the show,
[21:02.910 --> 21:08.930]  I didn't get it. Okay. No. But speaking of mailing stuff, so this ties in, we got a Bovril taste
[21:08.930 --> 21:16.010]  test potentially happening today. By the way, I've had Bovril. That's exciting. We can talk about
[21:16.010 --> 21:23.830]  that. I made popsicles. I have six popsicles. I made a tray. Three of them are good things.
[21:24.510 --> 21:30.050]  No, they're all different things. There's one Bovpop in that mix. Now I didn't put these together
[21:30.050 --> 21:35.910]  so I don't know which one is what. There's six of them. I will have five of them. Three of them are
[21:35.910 --> 21:41.330]  bad. Geoff, you can pick which ones I eat whenever you want to. If you say a number, one through six,
[21:41.690 --> 21:47.450]  I will then pull that one out. Front left is the first one. So front left and to the right of it is
[21:47.450 --> 21:54.250]  two. I'll go up from there. There's six flavors. The three good ones, seven up because that was
[21:54.250 --> 22:01.370]  the first soda chug I did. I used seven up. The second good popsicle is Coca-Cola, my cold beverage
[22:01.370 --> 22:07.870]  of choice. Third delicious popsicle, apple juice. A big apple guy. Love apple juice. Oh, hell yeah.
[22:08.330 --> 22:13.350]  Is it Cosmic Crisp juice? It's not. I wish it was. It'd be even better. The bad three,
[22:13.930 --> 22:22.790]  salad cream is one of them. The next bad one is Bovril, as you know about. And one of them
[22:22.790 --> 22:29.830]  is pancake batter. I was told... Oh, Jesus. I was told that one of these did not freeze at all
[22:29.830 --> 22:34.750]  and I am not excited about that one. So this is going to be sort of a Bovril taste test, but
[22:34.750 --> 22:40.470]  possibly in a true salad cream like fashion, you might not pick the Bovril one. I might
[22:40.470 --> 22:45.950]  completely avoid the Bovril. So you're going to do five. Yeah, we're going to do five. One of these
[22:45.950 --> 22:50.190]  I will not eat. You can pick. You just say a number one through six at any point in the show
[22:50.190 --> 22:55.450]  and then I will pull out. Eric has a good point. You should do them blind. Yeah, well, I don't know what
[22:55.450 --> 23:00.530]  they are already. They're already blind to me. Don't even look. What I'm saying is that, say,
[23:00.570 --> 23:05.430]  Geoff says three. OK, you pull out three, but you don't look like close your eyes. Don't look at
[23:05.430 --> 23:11.170]  what three is. Pull it out directly into your mouth because I think like don't smell it. Just
[23:11.170 --> 23:16.370]  go. No, that's fair. That's fair. So this will be your first time having Bovril and it's a frozen
[23:16.370 --> 23:21.130]  Bovpop potentially. Yeah, potentially. I don't know if that's the one that didn't freeze. Did
[23:21.130 --> 23:25.150]  you go and find Bovril yourself or did my Bovril finally show up? Your Bovril never arrived. That's
[23:25.150 --> 23:30.030]  what I'm saying. As far as packages go, I don't know. We should really check on that. I'm assuming
[23:30.030 --> 23:35.330]  Amazon delivered. They might be lost. They couldn't find my door. They're missing. So I have
[23:35.330 --> 23:41.790]  to go and buy my own Bovril over the weekend. Oh, it was easy to find. I had to go to three grocery
[23:41.790 --> 23:46.070]  stores, so I wouldn't say it's the easiest to find, but I was able to get it. But it existed in
[23:46.070 --> 23:50.330]  your in your town. Oh, it totally exists in my town. Yeah, it wasn't like every store had it,
[23:50.330 --> 23:55.330]  but yeah, it exists here. I was looking on Amazon for Bovril. There was like one seller and it was
[23:55.330 --> 24:00.550]  like next day prime delivery. And on the thing, it said imported from Canada. So I thought, oh,
[24:00.570 --> 24:05.610]  if I just turn around and put a Canadian address, maybe it'll be quicker. But I guess they like
[24:05.610 --> 24:11.330]  pre-imported from Canada, sat in the US. So I guess to send it back to Canada has been a real
[24:11.330 --> 24:16.490]  problem because that stuff's still not been delivered. That's incredible. Yeah, they're lost.
[24:16.490 --> 24:23.170]  Yeah, it just says, oh, it says delivered today. Really? Yeah. Oh, fuck. Do I have more Bovril
[24:23.170 --> 24:32.230]  in my mailbox? Oh, no. I hope I like it. Oh, fuck. I can't believe, Geoff, you had,
[24:32.590 --> 24:38.070]  you tried Bovril outside of proper f*** face canon. Well, what else am I going to do? I was,
[24:38.190 --> 24:43.550]  well, listen, have it. I was, it was given to me during, I went to a, all right, so
[24:44.750 --> 24:49.510]  well, let's do this first before we get into me. Well, this is Andrew's thing. You could tell a
[24:49.510 --> 24:52.950]  story and then in the middle of the story, say four, and then I just have to f***ing pull it out.
[24:53.050 --> 24:58.430]  Okay, got it. So, so I went to England, I went to the UK for a week. I spent like eight days over
[24:58.430 --> 25:02.430]  in London, in your neck of the woods, Gav. By the way, London says hi, they miss you. Hello.
[25:02.650 --> 25:05.950]  Uh, that's not, that's not true at all. Nobody, everybody I talked to in England,
[25:06.050 --> 25:09.870]  they'd never heard of you. I'm like, uh, do you want any messages for Gavin? And they're like,
[25:09.870 --> 25:17.650]  what, who? Uh, first off, Bovril, you made it sound like Bovril's everywhere in the UK.
[25:18.350 --> 25:25.490]  It took me six days before I finally encountered Bovril. That's going to Sainsbury's, Waitrose,
[25:26.570 --> 25:30.890]  uh, Tesco, all the different grocery stores. Talking to people at stores being like, do you
[25:30.890 --> 25:34.490]  guys, you know where I could find Bovril? And everybody going, why would, why would you want
[25:34.490 --> 25:39.290]  to find that? Did I say Bovril was everywhere? I said, I found it in a vending machine at a
[25:39.290 --> 25:44.470]  football game. I'm not out there buying it in the supermarket. It is, it's not readily available.
[25:44.670 --> 25:48.830]  And when I asked people for it, they all, all universally said, just get Vegemite. It's way
[25:48.830 --> 25:52.350]  better or just get Marmite. It's way better. And I'm like, yeah, but that's not what I want. I want
[25:52.350 --> 25:55.930]  Bovril. And they're like, no, you don't. And I had to like argue with people and they're like,
