[00:00.000 --> 00:00.440]  You ready to go?
[03:55.860 --> 03:57.420]  Oh, look, let me let me watch the feed.
[03:57.560 --> 03:59.500]  You fucking dick, Geoff.
[03:59.680 --> 04:01.820]  I don't want to watch the whole break show.
[04:02.040 --> 04:02.840]  You asshole.
[04:03.420 --> 04:04.220]  Oh, man.
[04:04.480 --> 04:06.940]  I love the break show, but I'm so sorry.
[04:10.740 --> 04:13.120]  Oh, what a dick.
[04:13.320 --> 04:14.420]  He knows what we're going to have to watch.
[04:14.660 --> 04:19.020]  He knows he's going to make us watch us fucking go through some Lion King cards.
[04:19.520 --> 04:21.620]  Look, we have some of the
[04:22.660 --> 04:24.060]  best commentary content.
[04:24.060 --> 04:24.860]  All right.
[04:24.880 --> 04:27.600]  No one comments on their own content as much as we do.
[04:28.560 --> 04:29.340]  It's true.
[04:30.020 --> 04:32.420]  Well, maybe we can have some fun facts about whatever they're.
[04:32.540 --> 04:33.020]  I don't even know.
[04:33.080 --> 04:34.400]  It's all American stuff, typically.
[04:35.960 --> 04:36.840]  Perot's VP.
[04:37.220 --> 04:38.660]  That's a detective, right?
[04:39.060 --> 04:40.440]  It's a card of billionaires.
[04:43.140 --> 04:44.680]  One nine and a half.
[04:45.360 --> 04:46.240]  Ninety two.
[04:47.160 --> 04:49.780]  Is it billionaire the type of card or is that person a billionaire?
[04:50.380 --> 04:51.320]  I don't know.
[04:51.360 --> 04:52.860]  Is Ross Perot a person?
[04:52.860 --> 04:54.580]  That's a person's name, right?
[04:54.960 --> 04:55.400]  I don't know.
[04:55.500 --> 04:56.820]  You know who Ross Perot is?
[04:57.280 --> 04:57.560]  No.
[04:58.600 --> 05:01.480]  I think that's Perot's VP selection.
[05:03.180 --> 05:03.580]  Oh, Hark.
[05:04.560 --> 05:05.260]  I don't.
[05:05.380 --> 05:06.020]  This is great.
[05:06.320 --> 05:09.280]  What a fucking qualified thing for you and I to talk about.
[05:09.420 --> 05:10.760]  U.S. political.
[05:10.940 --> 05:12.800]  Nothing like the 92 political race.
[05:14.280 --> 05:15.240]  I actually like that card.
[05:18.620 --> 05:20.040]  What do you wear that hat?
[05:20.760 --> 05:21.640]  I'd give it a go. Yeah.
[05:22.100 --> 05:26.100]  Yeah, I think that would at least constitute as a goofy hat and a sloppy joe string.
[05:26.900 --> 05:28.440]  The Electoral College.
[05:31.840 --> 05:36.000]  This I'm hoping for a gerrymandering card to pop up.
[05:36.240 --> 05:39.060]  Yeah, I'm looking for a half chad card.
[05:39.760 --> 05:42.620]  I think that was the thing, right, with the Al Gore election
[05:42.620 --> 05:45.140]  where it was like it wasn't fully hole punched or whatever.
[05:45.280 --> 05:46.260]  So they called it a half chad.
[05:46.420 --> 05:47.260]  Oh, the hanging chad?
[05:48.280 --> 05:49.540]  Hanging chad, yeah.
[05:50.680 --> 05:51.520]  Half chad.
[05:53.160 --> 05:54.940]  Didn't work out well for either of those.
[05:56.040 --> 05:56.480]  No.
[05:59.440 --> 06:01.100]  I don't know any of these people.
[06:01.920 --> 06:03.780]  That guy has NHL manager energy.
[06:05.640 --> 06:07.540]  Oh, Richard Nixon.
[06:07.800 --> 06:08.120]  Oh, we got to.
[06:08.260 --> 06:09.560]  Oh, dude, we got to fucking.
[06:09.900 --> 06:10.780]  The original gate.
[06:11.260 --> 06:11.780]  We got a.
[06:13.720 --> 06:14.360]  Is he?
[06:15.560 --> 06:16.760]  Watergate was a big one.
[06:16.860 --> 06:17.700]  Wait, it just says.
[06:17.700 --> 06:19.700]  What? Why is Magic Johnson?
[06:20.320 --> 06:21.360]  It doesn't say his name.
[06:22.320 --> 06:22.600]  What?
[06:25.060 --> 06:27.980]  It just says AIDS in a picture of Magic Johnson.
[06:29.160 --> 06:31.700]  Well, he's got that billionaire AIDS, Gavin.
[06:32.180 --> 06:33.320]  What the fuck's going on?
[06:33.900 --> 06:36.220]  I don't think he would have approved that card.
[06:36.780 --> 06:39.320]  Was it just a cultural pack or?
[06:40.200 --> 06:42.900]  That's also a great question of do you need approval for these things?
[06:42.980 --> 06:43.500]  Like, could you?
[06:43.840 --> 06:47.160]  I think if you took a major sports star and wrote AIDS on him
[06:47.160 --> 06:48.440]  and put it on a card, he would be.
[06:55.390 --> 07:00.110]  She looks like a librarian and like a soap opera TV show.
[07:00.910 --> 07:01.530]  That's true.
[07:01.770 --> 07:03.610]  Like some Gilmore Girls ass.
[07:03.990 --> 07:06.170]  She looks like everyone who told me to shut up as a kid.
[07:16.580 --> 07:17.820]  We have a cabinet.
[07:18.620 --> 07:20.240]  See, look, look the wide shot, Gavin.
[07:20.520 --> 07:21.020]  I'm blocked.
[07:21.340 --> 07:22.380]  Yeah, I'm getting squeezed.
[07:23.320 --> 07:24.860]  After I do the pack sack.
[07:25.060 --> 07:25.920]  But you're already there.
[07:26.460 --> 07:28.200]  Yeah, but I'm also on the other thing for some reason.
[07:28.920 --> 07:30.340]  Yeah, and it's like the R.T.
[07:30.400 --> 07:35.640]  podcast bit of Geoff, Geoff, Gavin or Gavin, Geoff, Eric and Gavin.
[07:35.840 --> 07:40.560]  We need to take the cardboard face off and put the balaclava on, I think.
[07:43.860 --> 07:47.660]  I keep looking at that that video of Geoff's
[07:47.660 --> 07:50.240]  getting his nose through that thing, and it kills me.
[07:50.580 --> 07:53.680]  I think I might find that funnier than any other person on the planet.
[07:53.820 --> 07:56.500]  I can't stop hilariously laughing.
[07:56.500 --> 07:58.020]  I found it pretty funny at the time.
[07:58.540 --> 08:01.320]  You did. And you I think you elevate the moment quite a bit.
[08:03.580 --> 08:04.760]  How was your weekend?
[08:06.200 --> 08:07.640]  We don't need to react to this.
[08:07.720 --> 08:08.820]  We could say, fuck you to Geoff.
[08:08.940 --> 08:10.540]  We can just do our own thing while this is playing.
[08:10.900 --> 08:12.420]  Why was your weekend dog shit? What happened?
[08:13.020 --> 08:13.900]  I was just editing.
[08:14.020 --> 08:15.640]  I was editing for like the whole time.
[08:16.640 --> 08:19.220]  Oh, the stuff you filmed on Friday or slow-mo stuff?
[08:19.580 --> 08:20.940]  The stuff, slow-mo.
[08:21.280 --> 08:23.140]  I haven't even started the stuff we filmed the other day.
[08:24.160 --> 08:25.260]  I'm excited to hear about it.
[08:25.260 --> 08:27.400]  It's good that we filmed four videos on Friday.
[08:27.680 --> 08:28.720]  Four supplementals.
[08:30.100 --> 08:30.960]  That's exciting.
[08:33.580 --> 08:38.420]  I, uh, I'm excited for when we record on Thursday,
[08:38.640 --> 08:41.320]  I'm assuming, because I've got some stories.
[08:41.980 --> 08:42.860]  Oh, some stuff's happened.
[08:43.440 --> 08:46.600]  Some stuff has happened in my life that is not not fun.
[08:46.720 --> 08:47.860]  But I think you'll laugh at it.
[08:48.160 --> 08:49.660]  Oh, definitely. I can't wait.
[08:50.440 --> 08:50.620]  What?
[08:50.840 --> 08:53.920]  I got a grade one hamstring injury.
[08:55.380 --> 08:58.780]  I'll let you try to figure out how between now and then you can make a guess
[08:58.780 --> 09:00.480]  as to how I accomplished my grade one.
[09:00.760 --> 09:02.500]  Well, you've clearly slipped on something in the bedroom.
[09:05.840 --> 09:09.880]  I will say I tweeted about it and I said, if anyone gets it right,
[09:09.900 --> 09:10.580]  I'll give them a prize.
[09:10.680 --> 09:15.700]  And so far, nobody has a few close guesses, but no one has gotten it exactly.
[09:16.480 --> 09:16.760]  Hmm.
[09:18.720 --> 09:19.100]  Hmm.
[09:20.880 --> 09:23.060]  What year of the animal were you born?
[09:23.060 --> 09:24.180]  Don't you have season tickets?
[09:24.480 --> 09:27.360]  That is a fucking...
[09:27.360 --> 09:30.980]  This is creepy that you asked me that question because it's part of what I was going to talk about.
[09:31.060 --> 09:32.080]  I am I'm a Leo.
[09:32.800 --> 09:33.620]  What about you?
[09:35.340 --> 09:36.140]  You're a Leo?
[09:36.940 --> 09:39.260]  Yeah. Or whatever that is.
[09:40.160 --> 09:41.360]  Dog? Am I a dog?
[09:41.700 --> 09:43.180]  Well, it's dependent on the year you were born.
[09:43.900 --> 09:45.320]  I'm 94. Let me look it up.
[09:45.740 --> 09:48.040]  I'm the dragon. I think I'm an earth dragon.
[09:48.460 --> 09:50.580]  That? Oh, you're a dragon?
[09:50.900 --> 09:52.880]  And it's dragon again this year, which means...
[09:52.880 --> 09:54.440]  It is. I think it's bad.
[09:55.600 --> 09:56.900]  No, for me, it is.
[09:57.520 --> 09:59.320]  That. Oh, you're you and I are enemies.
[10:01.400 --> 10:05.280]  What year was the year of 1994?
[10:07.960 --> 10:09.000]  Let me look it up.
[10:10.260 --> 10:12.140]  Dog. So I'm a dog.
[10:12.400 --> 10:13.280]  You're a dragon.
[10:13.940 --> 10:16.220]  My rival symbol is the dragon.
[10:16.560 --> 10:17.740]  You and I have beef.
[10:18.440 --> 10:22.420]  We're just like we're two wolves chasing each other around the moon or whatever.
[10:22.880 --> 10:25.700]  We are. But like months ago,
[10:26.360 --> 10:31.440]  I saw I found when I was scrolling on TikTok, this like ridiculous crypto bro
[10:31.440 --> 10:35.960]  who uses like astrology to to make crypto predictions
[10:35.960 --> 10:37.440]  and like just general things.
[10:37.600 --> 10:40.760]  And he did a breakdown on what it means for a dragon year.
[10:41.000 --> 10:44.900]  And he was like, if you're if you're a dog, you got to fucking watch out.
[10:45.000 --> 10:45.880]  It's your enemy's year.
[10:46.280 --> 10:47.420]  You got to watch these dragons.
[10:47.840 --> 10:49.380]  You're going to have a bad year.
[10:49.460 --> 10:50.840]  So you got to like try to stay out.
[10:50.840 --> 10:54.880]  And I don't believe any of that stuff, but I also fully believe all of it.
[10:55.880 --> 11:00.260]  So as soon as I hurt myself, the first thing I thought was fucking dragons.
[11:00.580 --> 11:02.220]  This is I got to I got to be careful.
[11:02.820 --> 11:03.840]  We're in the dragon year.
[11:03.940 --> 11:05.100]  This is going to be your pain for me.
[11:05.100 --> 11:06.180]  Potentially, I got to lay low.
[11:06.800 --> 11:08.160]  I can't believe you're a dragon.
[11:08.640 --> 11:10.060]  Yeah, you wouldn't you wouldn't look.
[11:10.220 --> 11:11.360]  You wouldn't know it to look at me. What?
[11:11.780 --> 11:13.540]  No, I don't know that phrase.
[11:13.600 --> 11:14.480]  You know any of these guys?
[11:15.760 --> 11:16.120]  No.
[11:18.780 --> 11:21.800]  You and I played cricket.
[11:21.940 --> 11:22.280]  Yeah, we did.
[11:23.200 --> 11:27.360]  Would you consider football as like that's also another
[11:27.900 --> 11:29.380]  I'd say European sport, right?
[11:29.420 --> 11:30.760]  What else do you this polo?
[11:31.000 --> 11:33.580]  I feel like polo is like a proper British thing.
[11:34.700 --> 11:35.100]  Golf.
[11:36.440 --> 11:38.480]  Just a normal golf, you think is British?
[11:38.760 --> 11:40.080]  Oh, it's Scottish, isn't it? Golf?
[11:40.860 --> 11:42.500]  I guess. Yeah, but I don't know.
[11:42.720 --> 11:45.080]  Invented in rugby, which is in England.
[11:46.880 --> 11:50.980]  I guess it's like you don't necessarily think of basketball as a Canadian sport,
[11:51.100 --> 11:52.020]  but it was made in Canada.
[11:52.360 --> 11:52.660]  Oh, really?
[11:52.740 --> 11:54.800]  I don't think necessarily where it was made.
[11:57.540 --> 11:59.620]  Details exactly like culturally where it's aligned.
[12:00.720 --> 12:04.020]  Like hockey, undeniably Canadian, but I would say basketball is American.
[12:05.660 --> 12:07.440]  Yeah, seems bigger in America.
[12:09.180 --> 12:13.160]  I was just trying to think of other British games that we could play that I could try to beat you at.
[12:13.680 --> 12:15.820]  I looked and they don't have a polo game.
[12:15.980 --> 12:16.880]  Which is shocking.
[12:17.200 --> 12:18.320]  Do they have a croquet game?
[12:21.300 --> 12:22.180]  I don't...
[12:23.100 --> 12:24.760]  Let me look it up.
[12:29.400 --> 12:31.680]  It's just mini golf croquet, essentially, right?
[12:31.760 --> 12:33.420]  Like there's no... Well, there's one on Steam.
[12:34.760 --> 12:37.360]  I don't think there's ever been a console croquet game.
[12:37.480 --> 12:37.840]  Oh!
[12:39.180 --> 12:40.540]  Oh, wait a second.
[12:43.160 --> 12:45.320]  It is on console. Does it have online multiplayer?
[12:47.640 --> 12:50.640]  Made by Top Secret Studios, which makes sense as to why.
[12:51.240 --> 12:52.040]  Well, you can't find it.
[12:52.500 --> 12:53.820]  Yeah, it's a secret thing.
[12:54.100 --> 12:57.000]  Oh, my God, Gavin, this this game.
[12:57.900 --> 12:59.300]  This looks like something.
[12:59.420 --> 13:02.680]  There's no way it's just local multiplayer.
[13:04.480 --> 13:07.100]  Damn. Well, maybe we'll look into this more.
[13:07.220 --> 13:09.400]  Maybe when there's an office day, you guys can play.
[13:10.720 --> 13:12.440]  You challenge somebody else to.
[13:13.280 --> 13:14.740]  The national game.
[13:20.640 --> 13:24.640]  Oh, Bedard.
[13:24.880 --> 13:27.440]  Do you know anything about Conor Bedard, Gavin?
[13:28.080 --> 13:28.280]  No.
[13:29.100 --> 13:34.680]  Conor Bedard is the hockey player that was drafted first overall in the most recent draft.
[13:34.840 --> 13:37.000]  And he is known as like an all star.
[13:37.260 --> 13:39.900]  He is he is supposed to be a generational talent.
[13:40.620 --> 13:44.960]  And he is part of my favorite drama story of 2023,
[13:45.640 --> 13:49.000]  where they brought in this this veteran player named Corey Perry
[13:49.520 --> 13:53.940]  that management said at the time he was brought in intended to be sort of like a
[13:53.940 --> 13:57.880]  a father figure for Bedard to guide him in his rookie season.
[13:58.100 --> 14:01.580]  Sort of sort of show him the ropes, you may say.
[14:01.900 --> 14:06.820]  And then suddenly in the middle of the season or early in the season, I guess
[14:07.600 --> 14:10.700]  he Corey, Corey Perry was released from the team.
[14:11.180 --> 14:15.520]  And the rumor that generated online instantly was that Corey Perry
[14:15.520 --> 14:19.820]  fucked Bedard's mom at a during the all moms trip
[14:19.820 --> 14:21.200]  when they were with the team.
[14:21.380 --> 14:23.560]  And that is why he was released by the team.
[14:23.800 --> 14:26.140]  It was a big story for a while.
[14:26.240 --> 14:29.300]  And people have denied that that's the case.
[14:29.300 --> 14:32.820]  But I continue to believe that he fucked Bedard's mom.
[14:32.960 --> 14:33.900]  I mean, you would hope so, right?
[14:34.520 --> 14:36.960]  You would. I mean, it would be so great if he did.
[14:37.760 --> 14:39.980]  Apparently it was something related with alcohol.
[14:40.120 --> 14:42.360]  I don't think the full story has ever truly come out.
[14:42.840 --> 14:46.580]  But he Corey Perry just got re-signed to a different team over this weekend.
[14:47.100 --> 14:48.840]  So he's back. He's back on the field.
[14:50.680 --> 14:51.760]  Or I guess ice.
[14:51.880 --> 14:54.320]  Nobody says there's not really a field in hockey, that was bad.
[14:55.580 --> 14:57.120]  Well, in field hockey, there's a field.
[14:57.720 --> 14:58.420]  That's true.
[14:58.820 --> 15:00.720]  Which I just I wonder if call hockey.
[15:00.720 --> 15:01.460]  And that's how that works.
[15:02.300 --> 15:03.820]  Oh, really? That's your default hockey?
[15:04.020 --> 15:05.280]  Yeah, hockey for me is like
[15:06.280 --> 15:09.440]  being cold on a school morning, whipping
[15:10.500 --> 15:12.100]  people's shins with wooden sticks.
[15:12.280 --> 15:15.900]  And every time two sticks hit, it vibrated my hands in the cold.
[15:16.220 --> 15:16.800]  It sucked.
[15:17.380 --> 15:19.780]  Wait, wait, they're doing the double fronts.
[15:21.700 --> 15:24.480]  Oh, is there an update on this or are we doing this?
[15:26.260 --> 15:27.760]  Or is he just showing off the double fronts?
[15:30.840 --> 15:32.760]  Oh, I think he's just showing off the double fronts.
[15:32.920 --> 15:34.080]  How are they together so well?
[15:35.480 --> 15:37.200]  It's I don't know.
[15:39.620 --> 15:43.940]  I love your idea of the inside out shirts as well.
[15:44.020 --> 15:47.740]  But there's an image on the backpack shirt on everything.
[15:48.220 --> 15:49.340]  It's too back.
[15:50.440 --> 15:52.100]  It's so dumb.
[15:55.140 --> 15:58.940]  The back design is always such a thrown together thing.
[15:58.940 --> 16:00.660]  Like there's so much little effort.
[16:01.280 --> 16:03.540]  Like the least effort is always put in the back design.
[16:03.700 --> 16:05.560]  The idea that it's double backs is so funny.
[16:06.120 --> 16:07.360]  Backpack would be great on a hoodie.
[16:09.040 --> 16:10.620]  Backpack would be really funny on a hoodie.
[16:14.400 --> 16:19.840]  I think it would be really funny if it was like.
[16:21.640 --> 16:25.500]  If it was like your guys' waxing face front and back,
[16:25.500 --> 16:28.300]  and then like maybe my mustache face on one of the inside,
[16:28.300 --> 16:33.160]  like just the most horrific, no matter what way you put it on, it's a nightmare.
[16:36.800 --> 16:39.280]  I guess people haven't seen the front front shirt.
[16:39.440 --> 16:40.500]  That doesn't look bad.
[16:40.620 --> 16:42.260]  He just looks like he works somewhere.
[16:43.140 --> 16:45.420]  Yeah, he does. He works at that bar.
[16:46.060 --> 16:48.340]  He looks like an NPC in a Hitman game.
[16:48.640 --> 16:51.940]  Yeah, like he's just a guy walking around that's doing like electrical stuff.
[16:52.140 --> 16:54.280]  He's the guy that you could just shove down a manhole
[16:54.280 --> 16:56.180]  and it wouldn't have any impact on the mission.
[16:56.700 --> 17:00.520]  Yeah, he is the guy you used to get the outfit to enter the area
[17:00.520 --> 17:02.320]  to first start the level.
[17:02.520 --> 17:05.000]  The poor bastard they've got leaning over a crate
[17:06.140 --> 17:07.840]  fucking around without any witnesses.
[17:08.260 --> 17:10.820]  Yeah, I was sold on it, but I never thought about that.
[17:10.860 --> 17:14.720]  But there are absolutely those guys in every level of Hitman.
[17:14.820 --> 17:19.060]  I wonder creatively, that must be so fun being like, OK, so who is this bastard?
[17:19.300 --> 17:21.980]  That's going to be the most kill.
[17:22.420 --> 17:25.280]  We should walk around each map and find the sorriest bastard.
[17:25.280 --> 17:27.120]  That's such a funny idea.
[17:28.640 --> 17:30.180]  Let's do that. We can compare.
[17:30.480 --> 17:34.120]  Maybe we like scout and show each other who we think and see if we agree
[17:34.120 --> 17:35.440]  on who the sorriest bastard is.
[17:35.520 --> 17:36.200]  We should do that.
[17:36.660 --> 17:37.640]  Oh, that's so funny.
[17:40.600 --> 17:41.620]  Does Xbox still...
[17:41.620 --> 17:44.080]  Remember when you could like snap in a different app?
[17:44.980 --> 17:46.060]  No, they got rid of that.
[17:46.200 --> 17:48.320]  They got rid of that a long time ago because no one used it.
[17:49.000 --> 17:50.400]  Well, I feel like people would have used it,
[17:50.440 --> 17:53.000]  but it turned the frame rate of the game down that you were playing.
[17:53.880 --> 17:55.800]  It also like wasn't big enough.
[17:56.220 --> 18:00.840]  Like it was a panel and you'd get like a postage stamp of the panel
[18:00.840 --> 18:02.560]  would be what your screen would be.
[18:02.600 --> 18:05.820]  It made no sense that it was the whole height of the screen
[18:05.820 --> 18:09.680]  when all you needed was like a PIP situation.
[18:10.400 --> 18:13.180]  Yeah, like if they could have made it adjustable, that would have been amazing.
[18:15.300 --> 18:16.240]  But why do you ask?
[18:16.700 --> 18:17.820]  You're just thinking like split screen?
[18:18.920 --> 18:21.860]  Yeah, like being able to look up stuff as a...
[18:23.300 --> 18:25.240]  As they pull stuff like who that woman was.
[18:27.400 --> 18:29.060]  Oh, for me, I see what you're saying.
[18:29.340 --> 18:31.060]  Yeah, no, that's that's long gone.
[18:32.300 --> 18:34.320]  It's weird the stuff they took out.
[18:36.880 --> 18:41.200]  Yeah, it's like the fact that the Kinect just doesn't work at all
[18:41.200 --> 18:43.200]  on modern consoles is such a strange thing.
[18:43.400 --> 18:45.860]  But that was never a good replacement for the voice thing,
[18:45.920 --> 18:48.740]  like being able to turn your Xbox on and off by talking.
[18:49.060 --> 18:49.940]  That was pretty good.
[18:50.840 --> 18:51.900]  I never used it,
[18:51.900 --> 18:54.620]  but I know a lot of people like you that loved it.
[18:55.820 --> 18:57.940]  You know what else they got rid of that they should have never
[18:58.580 --> 18:59.980]  got rid of speaking of voices?
[19:00.400 --> 19:04.740]  Do you remember on the original Xbox for Xbox Live,
[19:04.820 --> 19:09.060]  you could do voice masking that they had a built-in voice mask you could do?
[19:11.480 --> 19:12.180]  Could you really?
[19:12.660 --> 19:14.180]  Yeah, you don't remember that?
[19:14.520 --> 19:18.940]  It was part of the advertising for it of like where they don't know
[19:18.940 --> 19:20.780]  what the future will be, but they're trying to guess.
[19:20.780 --> 19:22.520]  And one of the angles was like,
[19:23.000 --> 19:25.640]  you could play games online and hide your identity
[19:25.640 --> 19:27.600]  so they don't even recognize your voice.
[19:27.700 --> 19:30.440]  And it was just the shittiest voice masker.
[19:30.760 --> 19:32.180]  It was like if you tried, it would be like,
[19:33.020 --> 19:35.620]  The robot, they're taking the flag!
[19:36.120 --> 19:37.860]  The flag, the flag is still there!
[19:38.220 --> 19:40.640]  Like it was just muffled and sounded like shit.
[19:42.320 --> 19:44.020]  I'll have to send it to you, a clip of.
[19:44.060 --> 19:46.440]  I'm sure there's someone's clipped what that thing said.
[19:46.520 --> 19:49.340]  It was like they're trying to do a Darth Vader thing and it sounded awful.
[19:52.910 --> 19:56.950]  We need to come up with a list of things that Xbox needs to bring back.
[19:58.310 --> 20:00.530]  We got two. We want the snap feature in.
[20:00.690 --> 20:02.390]  We need voice masking back.
[20:04.170 --> 20:05.090]  Snap feature.
