[00:10.890 --> 00:11.850]  And action!
[01:58.050 --> 02:01.330]  I think a childhood ad goes until you get a driver's license.
[02:01.830 --> 02:03.530]  Well, that's fucked for Gavin.
[02:03.530 --> 02:05.530]  I saw an ad yesterday that was...
[02:07.590 --> 02:10.650]  I'm sorry. Until the average person gets a driver's license.
[02:10.670 --> 02:12.330]  Gavin is still a child.
[02:13.170 --> 02:15.250]  I'm glad we all agree on that anyway.
[02:15.910 --> 02:17.630]  Let's figure out who goes first.
[02:18.890 --> 02:21.230]  Do you want to explain how we figure out who goes first?
[02:21.450 --> 02:23.330]  So we're randomizing. Oh, Gavin.
[02:23.750 --> 02:26.550]  Eric is currently typing names into a randomizer.
[02:27.350 --> 02:30.850]  And that will determine the list. It's a snake draft, everyone. It's a snake.
[02:30.850 --> 02:33.590]  How many randoms are we going to do?
[02:33.650 --> 02:34.830]  Last time we did a few.
[02:35.390 --> 02:36.750]  We did five last time.
[02:36.930 --> 02:37.890]  We should do at least five.
[02:38.410 --> 02:39.750]  Okay, five randoms.
[02:40.710 --> 02:42.350]  And four ads each, yeah?
[02:42.730 --> 02:42.930]  Yeah.
[02:43.670 --> 02:44.150]  Excellent.
[02:44.810 --> 02:45.130]  Perfect.
[02:45.910 --> 02:46.890]  Here's one random.
[02:48.570 --> 02:51.630]  It is Geoff, Nick, Eric, Andrew, Gavin.
[02:52.690 --> 02:53.510]  Second random.
[02:54.250 --> 02:56.630]  Nick, Gavin, Geoff, Eric, Andrew.
[02:56.830 --> 02:57.670]  I want to be in the back.
[02:57.670 --> 02:58.730]  I want to be five.
[02:59.270 --> 02:59.630]  Third random.
[03:00.390 --> 03:02.670]  Geoff, Gavin, Nick, Eric, Andrew.
[03:02.910 --> 03:03.850]  Oh, maintain.
[03:04.550 --> 03:04.890]  Fourth.
[03:05.190 --> 03:07.270]  Geoff, Gavin, Andrew, Eric, Nick.
[03:07.630 --> 03:09.090]  That only changed the last three.
[03:09.470 --> 03:11.270]  I will call this, this is classic order.
[03:12.210 --> 03:12.690]  Gagain?
[03:14.010 --> 03:14.970]  That's classic.
[03:15.410 --> 03:16.310]  Classic gagain.
[03:16.750 --> 03:19.970]  And now our fifth and final random.
[03:20.670 --> 03:21.430]  What if it's an egg?
[03:21.550 --> 03:22.110]  Back, back, back, back.
[03:22.110 --> 03:23.810]  Andrew, Geoff, Gavin, Eric, Nick.
[03:23.810 --> 03:24.910]  No, it's the opposite.
[03:24.910 --> 03:26.710]  Also, I've now won two of these in a row.
[03:27.510 --> 03:27.830]  Fuck.
[03:28.750 --> 03:29.390]  Damn, Andrew.
[03:29.690 --> 03:31.570]  Alright, well, the pressure's on you, buddy.
[03:31.730 --> 03:32.430]  Yeah, that, yeah.
[03:33.150 --> 03:34.150]  Well, you know what actually I do?
[03:34.210 --> 03:35.710]  I like I have the swing on the back end.
[03:36.330 --> 03:37.770]  I'm gonna, I'm gonna start it out.
[03:37.890 --> 03:38.830]  I think I got a banger.
[03:38.970 --> 03:40.530]  I think I got a strong first ad.
[03:40.990 --> 03:42.730]  And then it's gonna be quiet for a while.
[03:43.210 --> 03:46.090]  Oh, if you are, if you're listening to this, by the way,
[03:46.430 --> 03:51.650]  you can go on the F*** Face YouTube channel and we'll have all these ads posted along.
[03:51.730 --> 03:54.390]  So there'll be, in a video version, we'll have all these ads as well.
[03:54.390 --> 03:56.850]  Yeah, our drafts are typically better in video.
[03:57.590 --> 04:01.150]  So we're gonna post the actual ads that are in the video?
[04:01.290 --> 04:03.170]  Yeah, I'm not worried about it.
[04:03.170 --> 04:05.370]  I'm not worried about it because it's a commercial.
[04:05.630 --> 04:08.870]  I'm not worried about it either. Let's fucking do it, baby. That's awesome.
[04:09.210 --> 04:09.510]  Okay.
[04:10.990 --> 04:12.570]  Ask forgiveness later.
[04:12.770 --> 04:15.050]  Okay, so do I talk about it now or do I wait until later?
[04:15.090 --> 04:17.890]  Yeah, I would give a little intro for it and then Eric can press play.
[04:18.090 --> 04:23.970]  So this was a dairy farm ad that played continuously during my childhood.
[04:23.970 --> 04:29.970]  They attempted to try to make milk cooled to the kids in, like, late 90s, early 2000s.
[04:30.630 --> 04:35.390]  This is the milk wrap. Look out for a time-traveling Rocco Bote as one of the crew.
[04:35.990 --> 04:36.570]  Get ready.
[04:36.750 --> 04:37.590]  I'm excited. Okay.
[04:37.750 --> 04:38.270]  Here we go.
[04:38.350 --> 04:39.390]  Alright, here we go.
[04:41.510 --> 04:42.710]  Oh yeah, there he is.
[04:49.270 --> 04:49.670]  Wow.
[04:50.230 --> 04:50.870]  You know what you want.
[04:50.890 --> 04:51.490]  That's Rocco.
[04:51.750 --> 04:52.450]  Yeah, it is.
[05:00.030 --> 05:01.010]  They're chilling.
[05:05.390 --> 05:07.170]  Now this is on all the time.
[05:08.950 --> 05:10.210]  This is insane.
[05:10.670 --> 05:12.630]  So this is Letter Kimmy.
[05:13.210 --> 05:13.430]  Yeah.
[05:13.990 --> 05:14.730]  Kind of, yeah.
[05:14.910 --> 05:15.990]  Everybody keeps talking about.
[05:19.130 --> 05:21.530]  Boy, it just keeps going, huh?
[05:21.810 --> 05:22.370]  Yep.
[05:22.770 --> 05:23.850]  That's the whole thing.
[05:24.770 --> 05:27.530]  They really needed two verses to convey how cool it is.
[05:29.530 --> 05:30.410]  Jesus Christ.
[05:33.850 --> 05:34.290]  No.
[05:34.670 --> 05:35.890]  That guy's making out with a cow.
[05:36.950 --> 05:44.410]  I am lactose intolerant, so this was... I felt especially left out by how cool the milk was that I couldn't consume.
[05:44.830 --> 05:44.970]  Yep.
[05:45.410 --> 05:47.930]  I still... that song will get stuck in my head to this day.
[05:47.990 --> 05:52.470]  I will open the fridge and think straight through your bones from the farm to the fridge.
[05:52.470 --> 05:56.670]  I'm imagining the fridge light hitting you in the face and you just start nodding along.
[05:57.250 --> 05:58.130]  Yeah, absolutely.
[05:58.730 --> 06:01.570]  I like when the milk hit the pan as a part of the beat.
[06:02.030 --> 06:02.270]  Uh-huh.
[06:02.490 --> 06:04.050]  It's a key part of the experience.
[06:04.550 --> 06:08.850]  Man, I fear that you've set a high bar.
[06:10.050 --> 06:12.270]  My childhood wasn't nearly as interesting.
[06:12.710 --> 06:17.350]  I'll be honest, I cannot believe how this relates to my first pick. I'm so excited.
[06:18.770 --> 06:21.110]  Andrew, can I ask, was that a song you guys sang at school?
[06:21.790 --> 06:26.750]  Uh, no, you know, I don't think I ever heard it in school, but everybody heard that song probably 10,000 more times.
[06:26.990 --> 06:28.730]  Did you know all the lyrics when you were a kid?
[06:28.730 --> 06:28.930]  Yeah.
[06:28.990 --> 06:29.690]  Could you sing it to yourself?
[06:30.270 --> 06:31.330]  Uh-huh, 100%.
[06:31.330 --> 06:36.310]  Uh, that song was probably heard more than the national anthem if you grew up during the time I grew up.
[06:36.450 --> 06:39.530]  It's constant. Constantly sing that at.
[06:39.710 --> 06:40.990]  Did Roseanne ever sing it?
[06:42.650 --> 06:43.010]  Um...
[06:43.010 --> 06:45.810]  That's why I ran out of Canada for singing that, yeah.
[06:47.310 --> 06:52.730]  Well, good first pick. Next up, we have Geoff. You ready, Geoff?
[06:53.130 --> 06:54.830]  Yeah, let me give an intro, I guess.
[06:55.450 --> 07:03.690]  When I was a kid, this was a commercial that played on TV a lot, and I watched it a bunch, and I enjoyed it.
[07:03.790 --> 07:06.850]  If you were a kid when I was a kid, you did the same thing.
[07:07.290 --> 07:12.730]  It became a part of the cultural zeitgeist. All of mine, I think, have cultural zeitgeist ties to it.
[07:12.730 --> 07:16.450]  And it became spoofed on SNL and a lot of stuff.
[07:16.790 --> 07:20.830]  It's one of those commercials, they probably made four or five of them in the little series,
[07:21.010 --> 07:23.710]  and then it was spoofed for the next 15 years.
[07:24.570 --> 07:28.530]  There's no rapping, and I feel like it's going to be let down after Andrews. Here we go!
[07:30.650 --> 07:32.470]  It certainly is a big bun.
[07:32.650 --> 07:34.210]  It's a very big bun.
[07:34.350 --> 07:35.590]  Big fluffy bun.
[07:35.770 --> 07:38.110]  It's a very big fluffy... bun.
[07:39.010 --> 07:39.670]  Where's the beef?
[07:43.470 --> 07:44.410]  Where's the beef?
[07:49.970 --> 07:53.970]  Hey, where's the beef?
[07:55.710 --> 07:58.990]  You want something better? You're Wendy's kind of people.
[07:59.490 --> 08:00.130]  There you go.
[08:00.730 --> 08:02.310]  Clara Peller. Fantastic.
[08:02.930 --> 08:04.850]  That is the where's the beef lady.
[08:05.390 --> 08:08.690]  She became famous for that for the rest of her life.
[08:08.930 --> 08:11.410]  Did she wears the beef in other commercials?
[08:12.030 --> 08:13.910]  Oh, well, other Wendy's commercials, yeah.
[08:14.090 --> 08:17.090]  And then there were like spoofs, it was in sitcoms.
[08:17.790 --> 08:22.710]  Once where's the beef hit the market, it became a slogan that lasted 25 years.
[08:23.050 --> 08:26.370]  I like it when companies call out other companies by name.
[08:26.530 --> 08:28.530]  They shout on the Whopper and the Big Mac.
[08:28.870 --> 08:29.370]  Yeah, they did.
[08:31.410 --> 08:33.850]  Now when you say the rest of her life, did you mean two summers?
[08:33.850 --> 08:36.970]  For the next 18 months that she was alive.
[08:37.230 --> 08:39.390]  She was 104 when she recorded that.
[08:41.370 --> 08:43.650]  What year do you think she died, if you had to guess?
[08:46.330 --> 08:46.810]  1988.
[08:47.690 --> 08:49.670]  I'm going to guess she died in 1996.
[08:50.650 --> 08:51.130]  Gavin?
[08:52.870 --> 08:53.350]  97.
[08:54.030 --> 08:55.190]  No, no, summer of 98.
[08:55.530 --> 08:57.610]  Alright, bummer. That was almost...
[08:57.610 --> 08:58.210]  That's pretty good.
[08:58.550 --> 08:59.930]  87, so she got...
[09:01.150 --> 09:02.470]  Oh, fuck, she got three years.
[09:02.470 --> 09:04.430]  Yeah, she got three summers.
[09:04.950 --> 09:08.210]  I wonder if that campaign only ended because she ended.
[09:08.830 --> 09:09.230]  Probably.
[09:10.550 --> 09:12.730]  I never shared the planet with her.
[09:13.170 --> 09:13.350]  Nope.
[09:13.710 --> 09:14.730]  No, you never did.
[09:15.050 --> 09:16.290]  You think she ever found the beef?
[09:16.970 --> 09:17.310]  Oh, yeah.
[09:17.350 --> 09:18.570]  Yeah, every time she went to Wendy's she did.
[09:18.570 --> 09:19.530]  Well, she found it at Wendy's, yeah.
[09:19.550 --> 09:19.970]  Absolutely.
[09:21.050 --> 09:23.330]  Okay, cool. Next up we have Gavin.
[09:23.990 --> 09:26.950]  Okay, are you familiar with UAR?
[09:28.010 --> 09:28.490]  No.
[09:28.710 --> 09:29.090]  What?
[09:29.330 --> 09:29.690]  No.
[09:31.650 --> 09:32.250]  UAR.
[09:32.710 --> 09:33.490]  What is UAR?
[09:34.230 --> 09:35.930]  It's what farmers say, right?
[09:35.970 --> 09:40.150]  And are you also familiar with the song Go West by the Village People?
[09:40.890 --> 09:41.350]  Yes.
[09:41.610 --> 09:42.050]  Yes.
[09:42.250 --> 09:46.750]  Which I assume is a song about travelling west across the US.
[09:47.190 --> 09:54.570]  What they've done here is they've parodied it by advertising a rice pudding in a can called Ambrosia.
[09:54.570 --> 10:02.390]  And instead of going west across America, it's the West Country of England where farmers are known to say UAR.
[10:04.190 --> 10:09.490]  What is that? Are they Brummies? Are they Mancs? Like, what's their... how do you call those things?
[10:09.490 --> 10:11.830]  They're like from Dorset. They're from the West Country.
[10:12.210 --> 10:13.610]  So are they called like Dordors?
[10:14.250 --> 10:15.250]  They're Dordors, yeah.
[10:15.550 --> 10:15.930]  Yeah, okay.
[10:17.110 --> 10:20.570]  I like this because one of the lines is, if you like rice pud...
[10:23.700 --> 10:24.620]  Go ahead and play it.
[10:24.680 --> 10:25.600]  And here's your commercial.
[10:26.880 --> 10:31.690]  Oh wow.
[10:34.230 --> 10:34.830]  Man.
[10:39.400 --> 10:41.980]  There's something uncomfortable about this.
[10:44.000 --> 10:45.520]  What's up with his voice?
[11:04.250 --> 11:10.030]  UAR! It's Ambrosia! UAR! It's Ambrosia!
[11:10.450 --> 11:12.130]  It's 28 weeks later?
[11:15.710 --> 11:26.350]  I've had the image of a man sat on a cow saying UAR! It's Ambrosia! for at least 25 years. Burned into my mind.
[11:26.650 --> 11:29.450]  Apparently we can do a milk draft on Justin.
[11:30.210 --> 11:30.850]  Yeah, really!
[11:31.930 --> 11:35.870]  Because we had milk, it does a body good. I did not include that in my campaign.
[11:36.090 --> 11:37.870]  You didn't have UAR! It's Ambrosia?
[11:39.630 --> 11:45.190]  No, we had Michael Jordan with a jizz stache going, hey man, you can dunk me.
[11:45.430 --> 11:46.830]  That wasn't milk, that was rice pud.
[11:47.430 --> 11:51.230]  Yeah, and he said so. He said specifically rice pud.
[11:52.030 --> 11:53.530]  Very song centric so far.
[11:53.570 --> 11:54.450]  Yeah, I'm enjoying the parodies.
[11:55.450 --> 12:05.690]  Yeah, mine isn't really parody, but it is song centric as I pull this over here.
[12:06.210 --> 12:10.670]  Mine is one that I've heard a million times and has woken me up even more.
[12:12.030 --> 12:16.650]  This is my simple commercial and my first pick in this draft.
[12:17.290 --> 12:20.070]  Oh, I remember this!
[12:24.450 --> 12:27.130]  A world where music toys you.
[12:32.010 --> 12:34.290]  Experience pure worlds.
[12:34.510 --> 12:37.450]  The perfect soundtrack for your way of life.
[12:41.210 --> 12:42.550]  Direct from Europe.
[12:43.030 --> 12:44.310]  This multi-platinum collection...
[12:44.310 --> 12:45.810]  Oh, Crockett's theme!
[12:47.490 --> 12:50.990]  But be careful, it's scary. It's gonna get scary.
[12:52.250 --> 12:53.230]  It's gonna get scary.
[12:54.030 --> 12:54.790]  Oh, no!
[13:00.550 --> 13:04.230]  No other collection gives you the feeling of pure moods.
[13:05.890 --> 13:09.030]  To order Pure Moods, call the number on your screen.
[13:09.430 --> 13:11.710]  Can we order Pure Moods?
[13:12.390 --> 13:15.010]  Somebody call the number, we need to order Pure Moods.
[13:16.730 --> 13:19.550]  Goddamn, Eric, that took me back, man.
[13:19.550 --> 13:24.850]  So, Pure Moods, for me, is a...
[13:24.850 --> 13:31.690]  If you were falling asleep with the TV on, the beginning of that commercial...
[13:33.090 --> 13:36.130]  It wakes you up in a cold sweat.
[13:36.330 --> 13:38.070]  Every night, 2.15.
[13:38.830 --> 13:48.410]  I had the exact same ad in England, but maybe without as much Twin Peaks and with more Faithless, but it was the exact same style, maybe with a different name.
[13:48.410 --> 13:51.870]  But, yeah, that hit me right in the brainstem. That activated something.
[13:52.310 --> 13:54.690]  Yeah, that was a great one, Eric.
[13:54.970 --> 14:01.950]  It really makes me appreciate those CD commercials. I loved those, and that was just a really good one.
[14:02.070 --> 14:03.050]  Like Freedom Rock?
[14:03.310 --> 14:05.530]  I just think they're so fun.
[14:05.550 --> 14:10.690]  I like this because you need those adverts to know what the songs are called, because you'll never get it from hearing the song.
[14:11.530 --> 14:12.850]  Except for maybe India.
[14:14.290 --> 14:14.490]  Yep.
[14:14.490 --> 14:23.110]  Man, Eric, that's a commercial I had forgotten existed. The second you played it, I knew every line of it, and I've probably seen it 10,000 times. That's wild.
[14:24.450 --> 14:25.490]  100%. Absolutely.
[14:25.830 --> 14:26.410]  That's awesome.
[14:26.910 --> 14:29.670]  Okay, well, that's mine. And here is...
[14:29.670 --> 14:30.610]  Everybody's favorite Nick.
[14:30.890 --> 14:33.570]  The final first round pick is Nick.
[14:34.650 --> 14:35.690]  You freak.
[14:36.210 --> 14:36.410]  What?
[14:36.910 --> 14:39.530]  This is a great commercial. This commercial made me appraised.
[14:40.770 --> 14:42.310]  You've got to be kidding me.
[14:42.310 --> 14:45.030]  Yard work. But let's bring it back to milk.
[14:45.830 --> 14:46.210]  Okay.
[14:46.430 --> 14:51.530]  Drink your milk, kids. I don't want milk. Milk's for babies.
[14:52.390 --> 14:53.550]  Yeah, babies.
[14:54.110 --> 14:58.570]  Well, I happen to know that milk helps build strong bones. So drink up.
[14:59.350 --> 15:02.690]  Well, Mr. Miller told me he never drinks milk. Look at him.
[15:03.170 --> 15:03.470]  Yeah.
[15:04.750 --> 15:05.430]  Drink it.
[15:17.650 --> 15:18.890]  Oh, my God.
[15:19.110 --> 15:20.290]  It's so simple.
[15:20.570 --> 15:21.750]  It's such a good one.
[15:21.930 --> 15:23.190]  That's so great.
[15:24.370 --> 15:26.690]  I think I might have been traumatized as a kid, man.
[15:26.690 --> 15:27.730]  Was that actually on TV?
[15:28.870 --> 15:29.170]  Yeah.
[15:30.990 --> 15:32.450]  It's a cow milk commercial, man.
[15:32.450 --> 15:32.770]  All right.
[15:35.910 --> 15:37.310]  Milk farmers know what they're doing.
[15:37.610 --> 15:39.290]  I don't think I've ever seen that before.
[15:39.710 --> 15:40.370]  It's so good.
[15:42.550 --> 15:44.670]  It definitely gets the message across when you're a kid.
[15:44.810 --> 15:45.390]  That's for sure.
[15:45.650 --> 15:50.710]  I would be convinced I was going to die as someone who couldn't drink milk.
[15:50.850 --> 15:53.330]  I'd just be like, I'm fucked. I'm dead. It's over.
[15:54.570 --> 15:55.330]  What do you do?
[15:56.470 --> 15:58.330]  Well, that's a great...
[15:58.330 --> 16:02.610]  Our first round is very milk focused, but it's good. It's a good first round.
[16:03.210 --> 16:07.350]  And now we move on to our second round, and that'll be Nick.
[16:08.270 --> 16:08.850]  Well, hello again.
[16:08.850 --> 16:14.770]  So this one takes me back to a simpler time, as probably most of these will.
[16:15.030 --> 16:22.030]  But I'll always remember Super Smash Brothers, the game, because of this particular ad.
[16:22.630 --> 16:22.910]  Yep.
[16:24.470 --> 16:26.390]  Great one. Awesome pick.
[16:26.590 --> 16:27.310]  I love this one.
[16:27.970 --> 16:29.330]  Absolutely a great pick.
[16:30.650 --> 16:32.110]  How peaceful. How nice.
[16:32.810 --> 16:34.010]  Oh, God.
[16:36.130 --> 16:37.710]  Oh, my God.
[16:38.490 --> 16:40.990]  Nick is so good at drafts.
[16:40.990 --> 16:42.090]  Have you guys noticed that?
[16:42.810 --> 16:44.110]  Yeah. Thank you.
[16:44.470 --> 16:45.290]  I feel good about this one.
[16:47.350 --> 16:53.870]  I remember thinking about this commercial all the time when I was a kid.
[16:54.110 --> 16:56.630]  How much fun must that have been to film?
[16:57.150 --> 16:58.910]  It must have been the best, right?
[16:59.470 --> 17:04.130]  Like, that commercial is awesome. The song is such a great pick for it.
[17:04.350 --> 17:07.450]  Everyone fighting, it's great. That is a good one, dude.
[17:07.710 --> 17:09.190]  You think that was awesome to film?
[17:09.370 --> 17:12.110]  I guarantee you those actors couldn't breathe in those costumes.
[17:12.390 --> 17:14.070]  It was 104 degrees outside.
[17:14.290 --> 17:18.910]  They had to run up and down that hill 1,800 times, and they were miserable.
[17:19.790 --> 17:21.310]  Right, but I'm not considering that.
[17:21.430 --> 17:25.470]  I'm considering being behind the camera and watching Pikachu fly around at you.
[17:26.330 --> 17:26.970]  Yeah, I get you.
[17:27.210 --> 17:30.210]  Hey, Yoshi, could you go in harder with that gut shot on Donkey Kong?
[17:33.870 --> 17:35.690]  I'm just relieved Conor McGregor wasn't there.
[17:35.690 --> 17:37.810]  He would've never got a game. He would've died.
[17:38.350 --> 17:39.070]  Go to the hospital.
[17:41.030 --> 17:44.350]  Okay, cool. So I have the next pick, my second round.
[17:45.330 --> 17:46.390]  I'll put it here.
[17:46.910 --> 17:47.590]  Don't blow this.
[17:48.290 --> 17:52.410]  It's one that I've seen a million times. I know word for word.
[17:53.050 --> 17:57.890]  It was endless in my childhood, so I'm just gonna play it for you guys now.
[17:58.990 --> 18:01.310]  I cannot live another day without air conditioning.
[18:01.690 --> 18:02.810]  Tomorrow's gonna be hotter.
[18:03.130 --> 18:04.130]  Like yesterday.
[18:05.690 --> 18:07.490]  Yesterday you said you'd call Sears.
[18:07.650 --> 18:08.070]  I'll call today.
[18:08.350 --> 18:09.150]  You call now.
[18:09.590 --> 18:10.350]  I'll call now.
[18:10.710 --> 18:11.170]  Perfect.
[18:13.450 --> 18:19.610]  Why was this on Nickelodeon every commercial break when I was a kid?
[18:20.330 --> 18:21.110]  For who?
[18:21.590 --> 18:22.450]  Tell your parents you're hot.
[18:25.790 --> 18:28.670]  The end buttons it up. It tells a story.
[18:35.690 --> 18:39.950]  Sears offers fast emergency installation. A five-year warranty on parts and labor.
[18:40.150 --> 18:42.110]  Plus our satisfaction guarantee.
[18:42.470 --> 18:44.870]  And you know Sears will be there to back it up.
[18:45.230 --> 18:46.750]  Get 0% finance charge.
[18:46.770 --> 18:47.750]  Are you listening kids?
[18:47.910 --> 18:48.350]  No bills, no pay.
[18:49.330 --> 18:50.970]  Offer ends May 31st.
[18:51.050 --> 18:51.570]  So call now.
[18:51.570 --> 18:51.910]  Here it is.
[18:52.750 --> 18:54.470]  Now back to Metalocalypse.
[18:54.750 --> 18:55.830]  What's the paper say about tomorrow?
[18:56.290 --> 18:57.010]  Another scorcher.
[18:57.830 --> 18:58.070]  Cool.
[18:59.210 --> 18:59.690]  Yeah!
[19:00.970 --> 19:03.310]  It is... Nick, how many times have you seen that commercial?
[19:03.610 --> 19:04.930]  Oh, every day for...
[19:06.470 --> 19:07.570]  Oh, at least...
[19:07.570 --> 19:09.890]  That's so funny. Why would that be on Nickelodeon?
[19:09.910 --> 19:13.490]  I don't know. I've seen it so much.
[19:13.710 --> 19:16.030]  I've seen it parodied a million times.
[19:16.230 --> 19:16.910]  It's great.
[19:17.290 --> 19:18.030]  It's great.
[19:18.390 --> 19:19.290]  But that's my pick.
[19:19.490 --> 19:21.550]  So now we're back on to Gavin.
[19:22.090 --> 19:25.210]  This is probably my only pick that I assume everyone has seen.
[19:25.890 --> 19:31.050]  Are you aware of the original commercial for Xbox in Europe?
[19:31.390 --> 19:31.870]  Yes.
[19:32.010 --> 19:32.330]  Yes.
[19:32.790 --> 19:33.170]  Yes.
[19:33.270 --> 19:33.850]  All right.
[19:33.850 --> 19:35.450]  I knew you were going to pick this.
[19:47.900 --> 19:49.540]  Oh my God.
[19:57.120 --> 19:58.720]  Dude, this is insane.
[19:59.040 --> 20:00.600]  I don't know that I've ever seen this.
[20:00.600 --> 20:01.560]  You haven't seen this?
[20:06.470 --> 20:08.230]  Does he die?
[20:14.630 --> 20:15.110]  What?
[20:18.370 --> 20:20.190]  That's why you do your kegels.
[20:20.490 --> 20:21.430]  Hey, life's short, Eric.
[20:22.370 --> 20:24.050]  What the hell?
[20:25.650 --> 20:27.230]  And banned immediately.
[20:27.390 --> 20:30.510]  I think it was on TV for two weeks before I got a shitload of complaints.
[20:30.810 --> 20:31.990]  That sounds right.
[20:32.370 --> 20:34.030]  And then it was immediately taken off.
[20:34.350 --> 20:40.250]  But yeah, that was coinciding with the launch of the original Xbox in Europe.
[20:40.250 --> 20:42.070]  And I think it's phenomenal.
[20:42.350 --> 20:42.890]  Yeah.
[20:43.450 --> 20:44.490]  That's crazy.
[20:44.770 --> 20:46.730]  That is really something, man.
[20:47.630 --> 20:51.910]  It's like the shots of some guy going over the countryside of England.
[20:54.310 --> 20:57.050]  That was a hell of a pick, Gavin.
[20:57.230 --> 20:59.390]  I don't think I've never ever seen that.
[20:59.530 --> 21:00.650]  That was wild.
[21:01.110 --> 21:02.650]  What a fucking...
[21:02.650 --> 21:03.390]  When you...
[21:03.390 --> 21:04.870]  It was... a man died.
[21:05.430 --> 21:05.970]  A man died.
[21:06.630 --> 21:08.070]  I think they started strong.
[21:08.070 --> 21:11.130]  I think Xbox typically was never as cool as PlayStation.
[21:11.550 --> 21:12.810]  But I think that ad was cool.
[21:13.010 --> 21:15.150]  I think they were actually cool until it was banned.
[21:15.570 --> 21:19.050]  Did that ad like literally work on you when you were a kid?
[21:19.110 --> 21:20.430]  Where you're like, you know, life is short.
[21:20.510 --> 21:21.790]  I should play more video games.
[21:22.770 --> 21:24.810]  Well, I mean, I got an Xbox instead of a PlayStation.
[21:28.450 --> 21:33.730]  I like the idea of seeing that and then going to buy an Xbox and getting Blink's the Time Cat.
[21:33.730 --> 21:35.730]  The cost, the penalty of...
[21:38.530 --> 21:44.090]  What's sad is watching that now, I realize how far along the timeline of that guy flying over England I've actually progressed.
[21:45.570 --> 21:48.470]  That is quite worrying. Maybe I should play more Xbox.
[21:49.210 --> 21:51.030]  Good luck exploding a coffin.
[21:54.290 --> 21:57.730]  Because the 360 also had a banned ad in Europe.
[21:58.190 --> 22:02.070]  I think if you announce a new console, you've got to start with a banned ad.
[22:02.330 --> 22:03.390]  That's just how you do it.
[22:03.390 --> 22:03.970]  Smart.
[22:05.670 --> 22:08.770]  Okay, moving on to Geoff. Anything you want to say about yours, Geoff?
[22:09.410 --> 22:12.830]  This ad is actually from a little bit before I was born.
[22:13.190 --> 22:15.310]  It's from a series of ads that were very popular.
[22:15.550 --> 22:25.250]  I just couldn't find any specific ones from my childhood that weren't included in like an hour and a half long compilation where we'd have to watch 37 minutes in, you know?
[22:25.590 --> 22:26.570]  It just seemed like a pain in the ass.
[22:26.830 --> 22:29.950]  So I got what I think is the first one of this series.
[22:30.410 --> 22:32.770]  It may not mean anything to you, but it affected...
[22:32.770 --> 22:33.450]  I'll say this.
[22:34.170 --> 22:40.490]  Every child in America did this at the grocery store specifically because of this ad.
[22:40.970 --> 22:42.630]  My entire childhood I did it.
[22:42.770 --> 22:45.430]  And everybody I knew did it. We did it to be dickheads.
