[00:10.200 --> 00:11.160]  Can't hear anybody.
[02:04.820 --> 02:07.880]  And I just got to thinking, like, maybe that's true, maybe it's not, I don't know.
[02:08.300 --> 02:19.220]  But at some point pretty soon, like I don't know if you saw this, the other day, Ron DeSantis released a political ad where they AI'd Trump's voice saying shit that he didn't say.
[02:20.960 --> 02:26.340]  And there's just like no way to know whether it's true, like whether you're listening to somebody that's real or not at this point.
[02:26.420 --> 02:32.620]  So that, and you remember the other day, a couple months ago, when Jack showed us AI Eric saying eat the pencil or Eric Android the pencil or whatever?
[02:32.800 --> 02:34.900]  I would have bought, I would have bought it in a heartbeat.
[02:35.180 --> 02:42.960]  So my point being here is that I just want people to know as of, first off, as far as I know, every episode up to this point.
[02:43.000 --> 02:45.660]  And then from here on going forward, we're all humans.
[02:45.880 --> 02:47.380]  Well, here's what we have going for us.
[02:47.380 --> 02:55.800]  We could feed machine learning AI every single episode of F*** Face and there's no way it could ever know what Andrew's going to do next.
[02:56.820 --> 03:02.440]  Can I say, I also don't know what Andrew's going to do next because he just said in our chat, I'm rebooting.
[03:03.120 --> 03:07.080]  Oh, is he rebooting like he's doing an AI joke or he's physically rebooting his computer?
[03:08.420 --> 03:11.620]  Andrew's been weird today, man. We've been talking for a little while before the episode.
[03:11.800 --> 03:13.060]  I can't hear him. Is he speaking?
[03:13.060 --> 03:18.100]  He couldn't hear us before, then he could, and now he's rebooting.
[03:18.560 --> 03:20.360]  I haven't heard him say a single word.
[03:20.600 --> 03:21.840]  Well, you weren't here early.
[03:22.180 --> 03:23.720]  Yeah, he was saying words earlier. Don't worry.
[03:23.800 --> 03:24.920]  No, I just mean in the episode.
[03:26.240 --> 03:29.300]  Well, it's because he's rebooting. He can't talk and reboot at the same time.
[03:29.680 --> 03:33.760]  This is the worst episode we've made.
[03:35.320 --> 03:37.820]  Oh, that's a pretty low bar.
[03:39.260 --> 03:43.300]  Gavin, before the episode, Andrew just talked to me out of the blue.
[03:43.740 --> 03:45.740]  By the way, he hasn't talked to me in probably at least a week.
[03:46.000 --> 03:46.940]  Talked to me out of the blue.
[03:47.300 --> 03:49.380]  I texted you yesterday. What are you talking about?
[03:49.860 --> 03:52.080]  Where are you? Why do you sound like that?
[03:52.800 --> 03:54.000]  I'm on my phone.
[03:54.160 --> 03:54.400]  Are you inside of a Gerpler?
[03:55.020 --> 03:57.400]  I'm rebooting. Jesus Christ. Relax.
[03:57.520 --> 03:59.540]  Andrew's talking into a Gerpler on a string.
[03:59.780 --> 04:01.000]  Geoff, I texted you.
[04:04.280 --> 04:07.100]  This is what we get after Geoff says there's no AI in this episode.
[04:08.040 --> 04:09.320]  This is the sound we have.
[04:10.020 --> 04:10.960]  Well, what did he text you saying?
[04:11.620 --> 04:17.000]  He was being very conspicuous about asking if I thought this was a blindside episode, if it could be a blindside episode.
[04:17.520 --> 04:18.980]  I just gave him the warning.
[04:19.400 --> 04:20.800]  He sounded very blindside-y.
[04:21.020 --> 04:23.480]  And then the more he talked about it, the less I trusted him.
[04:23.540 --> 04:24.900]  And then the more he tried to convince me.
[04:25.100 --> 04:26.420]  And the less I trusted him.
[04:26.880 --> 04:28.820]  I just got out of the lab. I've been in the lab all morning.
[04:29.660 --> 04:30.600]  Oh, there he goes.
[04:32.680 --> 04:35.340]  This is... I don't even... Do we edit it?
[04:35.480 --> 04:36.900]  Like, what is this?
[04:37.540 --> 04:38.260]  What if...
[04:38.260 --> 04:39.700]  Here's a wild theory.
[04:40.200 --> 04:45.200]  I just declared that f***face is 100% human, non-AI.
[04:47.120 --> 04:51.900]  What if Andrew has been AI this entire time, and we just like...
[04:51.900 --> 04:54.640]  It's like the three laws of robotics in Isaac Asimov books.
[04:54.860 --> 04:56.540]  Like, we just broke one of the...
[04:56.540 --> 04:59.040]  Like, he now can't participate.
[04:59.040 --> 05:02.860]  And I just broke Andrew because he was never human to begin with.
[05:03.660 --> 05:05.060]  Huh. You might need a new disclaimer.
[05:05.640 --> 05:08.640]  You gave him like the Voight-Kampff test, and he just sort of like...
[05:08.640 --> 05:09.840]  He couldn't...
[05:09.840 --> 05:11.080]  He couldn't keep up.
[05:11.520 --> 05:13.780]  Yeah. Wow. This is...
[05:13.780 --> 05:15.600]  This is exactly like Blade Runner.
[05:15.880 --> 05:17.260]  I wanna... Unmute.
[05:17.920 --> 05:20.080]  It's just muted. Can you unmute me?
[05:20.560 --> 05:21.860]  Nick, can you...
[05:21.860 --> 05:23.400]  Uh... S***.
[05:23.880 --> 05:24.040]  Yeah.
[05:25.440 --> 05:26.840]  Now it's frozen.
[05:27.520 --> 05:29.720]  One of us was AI the entire time.
[05:31.720 --> 05:33.560]  Oh, Nick's muted him somehow?
[05:34.140 --> 05:35.860]  He's asking if you can unmute him.
[05:36.060 --> 05:37.440]  I thought that would be on him, though.
[05:37.680 --> 05:38.220]  Yeah, me too.
[05:38.680 --> 05:40.960]  Hey, Nick, can you brush Andrew's teeth while you're at it?
[05:42.320 --> 05:42.800]  He...
[05:42.800 --> 05:44.280]  He's not muted. No.
[05:44.840 --> 05:45.800]  What is happening?
[05:46.860 --> 05:47.660]  What is happening?
[05:48.040 --> 05:50.220]  Why are you asking... Oh, my God.
[05:51.920 --> 05:53.540]  Andrew wants to know what's happening.
[05:55.040 --> 05:55.540]  I'm...
[05:55.540 --> 05:56.920]  Gracie, it's not always like this.
[05:57.800 --> 05:59.120]  I don't believe that.
[06:01.140 --> 06:02.760]  Something tells me that's a lie.
[06:05.500 --> 06:07.920]  Is your mic working in anything else?
[06:08.100 --> 06:08.560]  He's gone.
[06:10.540 --> 06:11.540]  Reloading Discord.
[06:13.620 --> 06:15.340]  Andrew texted me. So close.
[06:16.060 --> 06:16.500]  That's good.
[06:16.800 --> 06:18.060]  He was just standing there and left again.
[06:18.060 --> 06:18.920]  He's back.
[06:19.080 --> 06:20.420]  He's unmuted.
[06:22.860 --> 06:24.080]  Andrew, please talk.
[06:24.660 --> 06:25.600]  I can see me talking.
[06:25.800 --> 06:26.940]  I wonder if the mic fell off the fridge.
[06:27.140 --> 06:28.100]  I can't hear you.
[06:30.860 --> 06:32.220]  We're going into deep lore.
[06:32.720 --> 06:33.120]  This is good.
[06:35.440 --> 06:36.820]  That was a Hail Mary.
[06:37.300 --> 06:38.800]  Come on, connect.
[06:40.840 --> 06:40.900]  Oh!
[06:41.940 --> 06:42.420]  Yes!
[06:43.860 --> 06:44.380]  Can you hear me?
[06:44.380 --> 06:45.080]  Yeah.
[06:45.520 --> 06:48.740]  Like he was never gone.
[06:49.400 --> 06:51.120]  Minute 20 of my recording.
[06:52.560 --> 06:56.300]  If you guys were here a little bit earlier, none of that would have happened.
[06:57.960 --> 07:01.020]  Five minutes, at least five minutes early, would you say, Nick?
[07:01.440 --> 07:03.040]  I looked at five minutes.
[07:04.200 --> 07:05.480]  What time was it?
[07:06.040 --> 07:06.480]  1255.
[07:07.180 --> 07:08.080]  No one was here.
[07:08.720 --> 07:11.580]  I swapped to a different tab to get my notes ready.
[07:12.100 --> 07:13.500]  And when I came back, everyone was here.
[07:13.500 --> 07:14.620]  I missed it.
[07:15.600 --> 07:18.560]  Yeah, I can't believe we did that to you.
[07:18.920 --> 07:21.620]  Are you saying you need us all to be five minutes early,
[07:21.820 --> 07:23.280]  otherwise you won't function correctly?
[07:23.920 --> 07:24.840]  No, so...
[07:24.840 --> 07:26.980]  Like if I don't arrive five minutes early to the restaurant,
[07:27.100 --> 07:29.000]  you'll just shit your pants the second I arrive and leave?
[07:29.260 --> 07:31.820]  What he's saying is we need to be earlier than five minutes.
[07:31.820 --> 07:33.580]  No, typically it's fine.
[07:34.300 --> 07:36.580]  What happened was I went into my settings
[07:36.580 --> 07:37.420]  on my computer,
[07:37.560 --> 07:40.460]  and it said you cannot access your audio settings.
[07:40.560 --> 07:41.640]  I thought, that's not good,
[07:41.640 --> 07:44.720]  because I'm defaulting to my speakers.
[07:45.260 --> 07:46.640]  But maybe in Discord,
[07:46.960 --> 07:48.920]  I can set it for my headphones.
[07:49.400 --> 07:50.080]  So I went into Discord,
[07:50.200 --> 07:51.100]  went into the audio settings,
[07:51.220 --> 07:54.180]  it said all good, your audio is being fed to your headphones,
[07:54.540 --> 07:56.580]  then that was clearly not the case
[07:56.580 --> 07:57.780]  when I went back to the tab
[07:57.780 --> 08:00.100]  and discovered that there were four people in here
[08:00.100 --> 08:01.460]  post 1255.
[08:02.160 --> 08:03.400]  And so I couldn't change it,
[08:03.420 --> 08:05.120]  because I couldn't change my audio output,
[08:05.380 --> 08:07.240]  and you guys are going through my computer speakers.
[08:07.620 --> 08:10.140]  Yeah, the chances of you actually recording the correct mic
[08:10.140 --> 08:12.220]  at this point is pretty slim, I think.
[08:12.680 --> 08:13.860]  No, I'm definitely, I'm all good.
[08:13.960 --> 08:16.180]  I'm looking at it in Audacity, I got the Scarlet Solo,
[08:16.340 --> 08:17.820]  everything's all set up, we're all fine.
[08:18.180 --> 08:20.100]  It was just that audio issue, we worked through it.
[08:20.520 --> 08:21.960]  Now we're here, how's everyone doing?
[08:22.440 --> 08:23.840]  Great, Gavin's been in the lab.
[08:24.080 --> 08:26.060]  Please tell me about being in the lab, I need to know.
[08:26.300 --> 08:28.000]  I've been itching for like 20 minutes.
[08:28.160 --> 08:29.360]  Please tell me about being in the lab.
[08:29.720 --> 08:30.820]  We also went to Vegas.
[08:31.280 --> 08:34.300]  You did go to Vegas! Yeah, I'm so sad I missed that.
[08:34.360 --> 08:35.780]  It was the big Bachelor part.
[08:35.880 --> 08:37.640]  Tell me about Vegas, what happened to Vegas.
[08:38.300 --> 08:40.720]  I don't know, I kind of want to know what's going on in the lab first.
[08:40.760 --> 08:41.820]  Tell me about the lab!
[08:41.940 --> 08:44.380]  Okay, I guess we're doing the lab first.
[08:44.880 --> 08:45.380]  Yeah, okay.
[08:45.780 --> 08:46.980]  Wait, is the episode starting now?
[08:48.040 --> 08:49.540]  It started a little bit ago.
[08:50.020 --> 08:51.320]  How far are we into this episode?
[08:51.320 --> 08:52.960]  TELL US ABOUT THE FUCKING LAB, DUDE!
[08:53.540 --> 08:56.120]  Sorry, man. Okay, so this is a
[08:56.120 --> 08:57.640]  Uniform creation from...
[09:02.130 --> 09:03.290]  I was in lab 2.
[09:03.310 --> 09:05.110]  You had 20 minutes of Andrew Fump!
[09:05.310 --> 09:07.610]  From the mind of Whoop Scoop.
[09:07.610 --> 09:09.590]  This is the official Whoop Scoop logo.
[09:10.470 --> 09:11.070]  Well, yeah.
[09:11.450 --> 09:13.570]  And what we're working on today, everyone, is
[09:13.570 --> 09:15.250]  Oh, my favorites folder.
[09:15.870 --> 09:17.330]  I thought you built that in the lab.
[09:17.410 --> 09:18.710]  I thought that was the creation.
[09:18.890 --> 09:21.510]  No, that would have been cooler. That was just on a wall somewhere.
[09:21.650 --> 09:22.230]  That was in Vegas.
[09:23.730 --> 09:26.650]  So, the plan was
[09:26.650 --> 09:29.730]  to create a glove that acts like a
[09:29.730 --> 09:30.710]  hand warmer
[09:31.330 --> 09:33.550]  so I can put my hand in the glove, activate
[09:33.550 --> 09:35.310]  it, and suddenly I've got a hot hand
[09:35.310 --> 09:36.990]  to carve through ice cream.
[09:37.730 --> 09:39.090]  So I thought, it's simple.
[09:39.390 --> 09:41.350]  It's getting a bunch of, you know, those liquid hand
[09:41.350 --> 09:43.430]  warmers and stuffing all of
[09:43.430 --> 09:45.070]  the liquid in a glove.
[09:45.510 --> 09:47.610]  Wrong! It immediately oxidizes
[09:47.610 --> 09:49.730]  with the air and solidifies.
[09:53.170 --> 09:55.390]  So I ended up looking like I had
[09:55.390 --> 09:57.450]  a bunch of chopped pineapple in a
[09:57.450 --> 09:58.450]  food glove.
[10:01.070 --> 10:02.250]  But don't worry!
[10:02.250 --> 10:03.810]  But don't worry,
[10:04.350 --> 10:04.830]  because
[10:05.750 --> 10:07.730]  you can boil that shit
[10:08.250 --> 10:10.190]  and I did it on a saucepan
[10:10.190 --> 10:12.110]  outside so I didn't gas my...
[10:12.110 --> 10:13.630]  By the way, I think I've poisoned myself.
[10:14.030 --> 10:15.010]  Anyway, moving on.
[10:15.690 --> 10:17.990]  I managed to reset the entire
[10:18.490 --> 10:20.190]  hand warmer back
[10:20.190 --> 10:21.950]  into its liquid form. And here it is.
[10:22.130 --> 10:23.850]  And you can see I've left in a little metal tab
[10:23.850 --> 10:26.170]  that you're supposed to squeeze to set it off
[10:26.170 --> 10:27.110]  being hot again.
[10:28.150 --> 10:29.230]  Now, slight problem.
[10:29.230 --> 10:31.310]  Well, I should say, next, I wanted to put
[10:31.310 --> 10:32.870]  the glove I was gonna wear
[10:32.870 --> 10:35.230]  inside that. But I couldn't figure out how
[10:35.230 --> 10:37.170]  to do that because it was too hot
[10:37.170 --> 10:38.850]  to put my actual hand in currently.
[10:39.170 --> 10:41.190]  So I created a
[10:41.190 --> 10:42.950]  dummy hand mold
[10:42.950 --> 10:45.130]  which I made out of a glove
[10:45.130 --> 10:47.250]  full of water. So that's standing in for my
[10:47.250 --> 10:49.490]  hand. Didn't realize,
[10:49.990 --> 10:51.150]  as you can see in that picture,
[10:51.270 --> 10:53.310]  there's some white ooze now coming out
[10:53.310 --> 10:53.990]  of the other one.
[10:55.630 --> 10:56.270]  It's leaking.
[10:56.270 --> 10:57.190]  It's leaking.
[10:57.490 --> 11:00.010]  It left a big stain on the couch
[11:00.010 --> 11:00.730]  I put it on.
[11:05.380 --> 11:06.640]  So I quickly had to
[11:06.640 --> 11:08.680]  deal with it. I opened it up. I was trying to stuff
[11:08.680 --> 11:10.500]  the water glove up the hand warmer
[11:10.500 --> 11:10.880]  glove.
[11:11.060 --> 11:13.800]  It looks like a hungry duck.
[11:15.580 --> 11:16.240]  It's like a
[11:16.240 --> 11:18.260]  rabid duck. It's foaming at the mouth.
[11:19.620 --> 11:20.620]  The thumb, by the way,
[11:20.680 --> 11:22.100]  is stuck underneath. I couldn't
[11:22.100 --> 11:24.480]  get access to the thumb. But I was
[11:24.480 --> 11:26.320]  hoping that when I stuffed the water glove in
[11:26.320 --> 11:28.360]  the warm glove, everything would be
[11:28.360 --> 11:29.300]  fine and go back to normal.
[11:29.740 --> 11:32.360]  So all the water in the heat warmer juice spilled
[11:32.360 --> 11:34.400]  all over the place and I ended up with
[11:34.400 --> 11:36.360]  a glove with a crumpled
[11:36.360 --> 11:38.500]  up other glove in the top of it
[11:38.500 --> 11:40.240]  while all the fingers
[11:40.240 --> 11:42.540]  are slowly turning back into the hard
[11:43.740 --> 11:44.260]  material.
[11:44.900 --> 11:46.280]  It's all going
[11:46.280 --> 11:48.340]  wrong and this is the
[11:48.340 --> 11:50.100]  stain that it left on my patio.
[11:52.000 --> 11:53.240]  So all in all,
[11:53.240 --> 11:55.000]  this ended about
[11:55.000 --> 11:57.240]  25 minutes ago, by the way. I burnt the shit out
[11:57.240 --> 11:59.260]  of myself. I inhaled a lot
[11:59.260 --> 12:01.080]  of fumes and
[12:01.080 --> 12:02.940]  hopefully I lost the
[12:02.940 --> 12:05.000]  double recording we have today. So I'd say
[12:05.700 --> 12:07.220]  incredibly unsuccessful day
[12:07.220 --> 12:08.560]  in the lab, but I think
[12:09.100 --> 12:11.200]  I've proved the concept. I just need to
[12:11.200 --> 12:13.220]  pour the liquid very
[12:13.220 --> 12:15.300]  quickly or sort of grind up the
[12:15.300 --> 12:17.220]  hard stuff and get the gloves
[12:17.220 --> 12:19.280]  settled before I go to the
[12:19.280 --> 12:21.160]  boil phase. And I think I can do that.
[12:21.160 --> 12:22.900]  Do you think
[12:22.900 --> 12:24.420]  maybe you need a
[12:25.260 --> 12:26.820]  tougher glove? It's possible.
[12:27.440 --> 12:29.100]  Yeah, do you remember the gloves you used to use
[12:29.100 --> 12:31.080]  to wash dishes back when you lived
[12:31.080 --> 12:32.920]  with me? Yeah. Those were like a heavier
[12:32.920 --> 12:34.980]  duty glove. Like some marigolds?
[12:35.080 --> 12:36.920]  Well, I wanted to see through them. I thought that'd be cool.
[12:37.120 --> 12:39.040]  But yeah, I couldn't use those. That's true, for sure.
[12:39.480 --> 12:41.020]  Yeah, it adds to the cosmetics.
[12:41.040 --> 12:43.080]  So what is the actual goal here? What is the
[12:43.080 --> 12:45.060]  end product? To be able
[12:45.060 --> 12:46.820]  to put my hand into the
[12:46.820 --> 12:48.620]  ice cream gloves. Okay.
[12:48.620 --> 12:50.780]  And activate the whoop scoop
[12:50.780 --> 12:52.480]  so that I can claw
[12:52.480 --> 12:54.640]  ice cream out of the tub with my hand
[12:54.640 --> 12:56.240]  into a bowl. Okay.
[12:56.700 --> 12:58.560]  And then I boil the glove afterwards.
[13:00.080 --> 13:00.640]  I think
[13:00.640 --> 13:02.240]  that's a brilliant idea. Yeah.
[13:02.720 --> 13:04.780]  I mean, it is an idea, for sure.
[13:05.200 --> 13:06.460]  Right. Have you considered
[13:06.460 --> 13:08.100]  a spoon for the ice cream?
[13:08.300 --> 13:10.620]  We've talked about this, dude! Ice cream sometimes is
[13:10.620 --> 13:12.540]  too cold for spoons, and we were talking about how we
[13:12.540 --> 13:14.480]  wanted a heated spoon, and then Gavin
[13:14.480 --> 13:16.720]  came up with the idea for the gloves. Yeah, that's fair.
[13:16.720 --> 13:18.160]  That's fair. I'm just...
[13:18.160 --> 13:20.760]  And it was following along the lines of the fruit gloves,
[13:20.960 --> 13:22.540]  which I don't think we ever got, but it
[13:22.960 --> 13:24.840]  inspired me to go forward with ice cream
[13:24.840 --> 13:26.720]  gloves. You know, I had a minor breakthrough
[13:26.720 --> 13:28.720]  in the fruit gloves the other day. Did you?
[13:29.520 --> 13:30.740]  Yeah, I need to get back to it, because
[13:30.740 --> 13:32.740]  I saw something that inspired me. Oh.
[13:33.440 --> 13:34.600]  Okay, so you don't want to say it now.
[13:34.680 --> 13:36.620]  This is lab work. No, no, no. I don't want to ruin it. Yeah.
[13:36.720 --> 13:38.620]  Let me get into the lab work on it. But I'll
[13:38.620 --> 13:40.780]  also be honest with you. I'm a little inspired by what
[13:40.780 --> 13:42.780]  Gavin's going through right now. Like, he's in the
[13:42.780 --> 13:44.420]  frustrating part of it, but it's like
[13:44.420 --> 13:46.500]  magic is happening in front of our eyes.
[13:47.320 --> 13:48.480]  He is learning how
[13:48.480 --> 13:50.400]  not to make them. We've now seen
[13:50.400 --> 13:52.300]  several attempts of how not to do it.
[13:52.360 --> 13:54.600]  You're narrowing it down. I'm learning.
[13:54.820 --> 13:56.220]  I've learned a lot in the last
[13:56.220 --> 13:58.420]  hour. You can't
[13:59.180 --> 14:00.540]  make an omelette without breaking
[14:00.540 --> 14:01.980]  a few gloves. We know that.
[14:02.280 --> 14:04.040]  Yeah, or a couch or the patio.
[14:05.040 --> 14:06.500]  Are you in trouble with Mag? Did she
[14:06.500 --> 14:08.480]  yell at you? Well, I'm pretty sure I can
[14:08.480 --> 14:10.400]  just boil it back to liquid.
[14:10.880 --> 14:11.460]  I don't know how to do it.
[14:16.120 --> 14:16.740]  You know,
[14:16.880 --> 14:18.460]  I'll let her know later, depending on
[14:18.460 --> 14:19.440]  how the clean up goes.
[14:20.660 --> 14:22.520]  She can't be mad at what she doesn't
[14:22.520 --> 14:23.060]  see, right?
[14:24.520 --> 14:26.600]  Just walk her around those parts of the house.
[14:29.000 --> 14:30.140]  That's like when I was a kid,
[14:30.500 --> 14:32.420]  I gave myself a rat tail one
[14:32.420 --> 14:34.380]  time, and my mom was
[14:34.380 --> 14:36.420]  not cool with me having one, but this is like the early
[14:36.420 --> 14:38.560]  80s, so I needed to have one, or
[14:38.560 --> 14:40.140]  otherwise I just couldn't go to school.
[14:41.180 --> 14:42.240]  And so, I didn't feel
[14:42.240 --> 14:44.280]  like a fucking dude. I was sitting in my bedroom one night,
[14:44.740 --> 14:46.420]  and I was watching Knight Rider,
[14:46.900 --> 14:48.500]  and fucking...
[14:48.500 --> 14:50.500]  David Hasselhoff was so cool.
[14:51.160 --> 14:52.520]  He was such a fucking badass,
[14:52.740 --> 14:54.480]  and he took no shit from nobody,
[14:54.700 --> 14:56.120]  and during a commercial break,
[14:56.220 --> 14:58.220]  I fucking psyched myself up, and I went into the
[14:58.220 --> 14:59.900]  bathroom, and I gave myself a rat tail,
[15:00.100 --> 15:02.380]  and then I immediately did not feel like a badass.
[15:02.480 --> 15:03.740]  I felt like I was going to get in trouble,
[15:04.080 --> 15:05.580]  and so I just didn't turn
[15:06.200 --> 15:08.540]  my back to my mom for four days
[15:08.540 --> 15:09.240]  before she caught me.
[15:10.620 --> 15:11.260]  She caught me
[15:11.260 --> 15:13.360]  on a Thursday. I did it on a
[15:13.360 --> 15:13.660]  Sunday.
[15:15.060 --> 15:17.240]  Anyway, it worked for me, and it'll probably work
[15:17.240 --> 15:18.200]  for you and Meg. Just walk her
[15:19.060 --> 15:20.380]  around the other side of the house, or whatever.
[15:20.980 --> 15:22.920]  What was the endgame on the rat tail?
[15:23.300 --> 15:25.260]  Did she ever find out? Yeah, she caught
[15:25.260 --> 15:27.300]  me, and I was... I actually... I don't know
[15:27.300 --> 15:28.940]  why I remember this so well. I was going
[15:28.940 --> 15:30.860]  into our pantry.
[15:31.320 --> 15:33.160]  Well, not pantry. It was like a cabinet. Going into our pantry
[15:33.160 --> 15:35.320]  because we had these Teddy Grahams that were
[15:35.320 --> 15:37.300]  Return of the Jedi-like Teddy Grahams
[15:37.300 --> 15:39.180]  that had just come out, and they were like little
[15:39.180 --> 15:41.360]  Ewok things, and I wanted some, and I
[15:41.360 --> 15:43.240]  was so fucking jazzed about them, because we had just
[15:43.240 --> 15:45.380]  gotten them, that I turned around, and my mom
[15:45.380 --> 15:47.080]  goes, what is that? And I was like, ah!
[15:47.260 --> 15:49.320]  Fuck! I didn't say fuck, because I'd have a
[15:49.320 --> 15:51.380]  triple in trouble. But I was like, ah!
[15:51.660 --> 15:53.420]  And then she was impressed that I got
[15:53.420 --> 15:55.380]  away with it for as long as I did. I think she made me cut
[15:55.380 --> 15:56.900]  it, but I didn't get in trouble.
[15:58.140 --> 15:59.320]  What does it say about
[15:59.320 --> 16:01.460]  me that my mom gave us
[16:01.460 --> 16:03.120]  rat tails in the early days?
[16:04.160 --> 16:05.260]  It just checks out.
[16:05.260 --> 16:07.420]  You're the rat cat. I think it says
[16:07.420 --> 16:08.500]  everything about you.
[16:09.160 --> 16:10.740]  I just really...
[16:10.740 --> 16:12.360]  That's some white trash stuff, man.
[16:13.340 --> 16:15.400]  I feel like your mom would have just tried to make you
[16:15.400 --> 16:17.280]  look like the kid in the Crossfire
[16:17.280 --> 16:19.240]  commercial. That would have been
[16:19.240 --> 16:21.380]  awesome. I would have loved to have been
[16:21.380 --> 16:22.720]  the kid in the Crossfire commercial.
[16:23.100 --> 16:24.520]  Oh man, that's awesome.
[16:25.160 --> 16:26.360]  Anyone else been in the lab this week?
[16:27.720 --> 16:29.420]  I've been in the lab. Should I do my lab
[16:29.420 --> 16:30.600]  stuff now? I want to hear about Vegas.
[16:32.160 --> 16:33.400]  Well, this is
[16:33.400 --> 16:35.180]  apparently the lab episode. Let's get into the lab.
[16:35.920 --> 16:37.500]  Do you want to get into the lab stuff?
[16:38.180 --> 16:39.120]  I think so.
[16:40.480 --> 16:41.280]  Okay, well...
[16:41.280 --> 16:43.480]  We can't go lab, Vegas, lab. We won't finish
[16:43.480 --> 16:45.480]  the episode. Let's go lab, lab, Vegas.
[16:46.100 --> 16:47.360]  Second of all, how far into
[16:47.360 --> 16:49.300]  this episode are we? What minute mark are we?
[16:49.320 --> 16:51.120]  I'm very disoriented. Probably right around
[16:51.120 --> 16:53.240]  10, I would think. I think we're probably
[16:53.240 --> 16:54.080]  closer to 15.
[16:55.460 --> 16:57.460]  Okay, we're 15 minutes
[16:57.460 --> 16:59.460]  in. So I went into the lab.
[17:00.000 --> 17:01.480]  Gavin and I shared each other
[17:01.480 --> 17:03.080]  a little lab tease earlier.
[17:04.320 --> 17:05.200]  I've wanted
[17:05.200 --> 17:07.180]  to do this for a while.
[17:07.860 --> 17:09.580]  This has been in lab development
[17:09.580 --> 17:10.940]  for a long time. R&D,
[17:11.460 --> 17:13.340]  as they say. I'm going to
[17:13.340 --> 17:15.380]  show you guys something and you're going to tell me
[17:15.380 --> 17:16.600]  what you see.
[17:17.420 --> 17:19.640]  Putting a photo in right now.
[17:20.340 --> 17:21.240]  What do you guys see?
[17:22.060 --> 17:23.260]  What are you looking at here?
[17:23.380 --> 17:25.400]  Use your eyes. Use your soul.
[17:25.540 --> 17:27.280]  What do you see? It's pool noodles.
[17:27.760 --> 17:29.320]  Pool noodles. You see pool noodles?
[17:30.820 --> 17:31.580]  What do you see,
[17:31.800 --> 17:32.900]  Geoff? I see
[17:34.040 --> 17:34.840]  rake sleeves.
[17:35.420 --> 17:37.240]  Rake sleeves? Yeah, I saw a TikTok
[17:37.240 --> 17:39.420]  where this dude sprayed WD-40 in those
[17:39.420 --> 17:41.380]  things and then you put it on your rake and then
[17:41.380 --> 17:42.940]  it's more comfortable to rake with.
[17:43.320 --> 17:45.040]  Oh, I see
[17:45.680 --> 17:47.320]  like a super
[17:47.320 --> 17:48.280]  sized fries.
[17:49.620 --> 17:50.880]  Super sized fries?
[17:51.460 --> 17:53.200]  Oh, I see. I see what you're saying. Okay, you're getting
[17:53.200 --> 17:54.640]  artistic. You're doing some interpretation.
[17:55.900 --> 17:57.320]  It's not the right direction.
[17:57.320 --> 17:59.400]  Oh shit! Is it sleep
[17:59.400 --> 18:01.240]  spaghetti? It's
[18:01.240 --> 18:02.740]  sleep spaghetti.
[18:03.040 --> 18:05.420]  Oh my god! You've been sleeping on
[18:05.420 --> 18:07.480]  it. Sleep spaghetti. I've been waiting
