[00:10.400 --> 00:11.460]  Alright, action.
[05:48.880 --> 05:53.220]  Geoff, when I'm near you, my heart beats two paces slower.
[05:54.080 --> 05:58.720]  You're not far off, but I just think... you know.
[06:00.040 --> 06:00.680]  007!
[06:02.620 --> 06:04.780]  That's what you sound like to him.
[06:05.320 --> 06:05.760]  Yeah.
[06:07.600 --> 06:10.640]  When he hears you talk, he hears that.
[06:12.160 --> 06:12.820]  That's fat.
[06:14.400 --> 06:18.920]  That's actually a good point of what you guys sound like in my head compared to what you sound like in reality.
[06:19.360 --> 06:21.120]  We're having fun in this brain.
[06:21.780 --> 06:29.020]  Yeah, any time Emily imitates me, I sound like I have fucking eight IQ points total across my whole body.
[06:30.300 --> 06:33.620]  It's the worst to be mocked by the people you love the most.
[06:35.180 --> 06:37.040]  Yet you do it constantly.
[06:37.820 --> 06:42.860]  Well, yeah, you gotta give a little to get a little. What are you talking about? I'm nice to you. Shut up.
[06:43.540 --> 06:46.280]  Shut up! I'm nice to you. Fuck off.
[06:46.780 --> 06:53.880]  I don't know why, but I was so feisty in that video. I just wanted to fuck with you the whole time.
[06:54.940 --> 07:00.880]  The beginning of the immortality video... you must demand the director's cut of our...
[07:00.880 --> 07:05.340]  Yeah, release the director's cut of the immortality trailer.
[07:06.600 --> 07:12.640]  It's a thing... Gavin, they just want us to record a thing that goes at the end of episode five to say, hey, we're doing a bonus video also.
[07:13.120 --> 07:14.900]  You've done five episodes of it?
[07:15.140 --> 07:21.560]  Dude, it's unbelievable. It's so good. It's so good. It's unbelievable.
[07:22.260 --> 07:24.360]  At the end of it, here's a teaser.
[07:24.360 --> 07:30.640]  So I just started doing it, and then Andrew just started yelling at us, and I didn't understand why at all.
[07:30.820 --> 07:36.060]  There was no need to be so upset. We did a great intro, and then his thing crashed, and then we just did it again.
[07:36.680 --> 07:42.320]  Eric said what we were talking about. I was like, I think that was a pretty good recording after we finished episode six.
[07:42.380 --> 07:46.560]  And he goes, the first 20 minutes of that were just really mean for no reason.
[07:52.700 --> 07:58.560]  Anyway, it was a really beautiful speech, and it warmed my heart, and it was very sweet, and I wanted to say thank you,
[07:58.620 --> 08:01.940]  because I don't remember if I got a chance to say thank you to your face at the wedding.
[08:02.340 --> 08:05.000]  So what better way to do it than on the internet on a podcast?
[08:05.660 --> 08:16.120]  Oh, I'm glad you liked it. As you know, I technically am a paid performer in my career, yet talking in front of people, I just can't do it.
[08:16.120 --> 08:20.020]  I don't know how people do that. It's not fun. I'm right there with you.
[08:20.020 --> 08:28.320]  Especially the more people who you know. It's so bad. I feel like I've freaked out less talking in front of thousands of people on RTX.
[08:29.020 --> 08:31.680]  But give me, you know, like 50 people who know me. Jesus.
[08:32.380 --> 08:35.820]  I actually thought after your best man speech...
[08:36.720 --> 08:37.440]  That's what I thought.
[08:37.840 --> 08:48.480]  I actually thought after your best man speech, I should start degrading my friendships now, so that I don't have to give a best man speech in the future.
[08:48.680 --> 08:56.360]  Like if I start doing a little less with the people around me, maybe I'll fly a little under the radar, and then I won't have to have the pressure of what Gavin just went through.
[08:56.600 --> 09:02.240]  Because I did that to you, and I pulled a grenade, and I just stuck it in your pocket, and I said, you know, and I said, figure this out.
[09:02.240 --> 09:07.540]  And then I watched you stress through the process for months, and I felt terrible all along the way.
[09:07.840 --> 09:11.840]  I actually offered, I thought at some point, like, maybe I should just offer to write it for him, and then he doesn't have to worry about it.
[09:11.860 --> 09:12.880]  He doesn't have to read it.
[09:13.280 --> 09:17.900]  Well, what was interesting is that it was scheduled pretty deep into the wedding.
[09:18.140 --> 09:22.220]  It was, well, the wedding was at like six, and best man speech was at nine.
[09:23.040 --> 09:31.540]  Yeah, there was all kinds of, well, they had to, um, the format had to get fucked with a little bit to make room for the drag performance.
[09:31.940 --> 09:35.500]  Because we were on, like, a window, so we had to alter stuff to fit that in.
[09:35.960 --> 09:36.480]  That makes sense.
[09:38.060 --> 09:40.540]  Uh, anyway, I had some observations from the wedding.
[09:40.800 --> 09:42.260]  I had one observation from the wedding.
[09:42.360 --> 09:48.180]  I thought, like, because, you know, they say that, uh, they say that, like, try to take it in, because your wedding's going to fly by.
[09:48.300 --> 09:50.360]  You're never going to talk to everybody you want to talk to.
[09:51.020 --> 09:53.000]  You're not even going to remember what the food tasted like.
[09:53.020 --> 09:54.040]  It's going to just be a blur.
[09:54.040 --> 10:01.560]  And so try to take stock, and try to take notes, and try to pay attention, so that's, you know, so that you can retain some of that joy.
[10:01.620 --> 10:02.760]  And it was definitely the case for me.
[10:02.840 --> 10:09.040]  Like, I felt like I barely saw Eric, or Gavin, uh, or even Millie, or Emily, for that matter.
[10:09.080 --> 10:10.560]  I barely saw my wife the whole time.
[10:10.820 --> 10:15.820]  But, so I took notes, and here is the sum total of my notes.
[10:15.920 --> 10:16.920]  Let me pull them up.
[10:20.080 --> 10:20.440]  Uh...
[10:20.440 --> 10:21.540]  Okay, here we go. Wedding.
[10:21.540 --> 10:23.520]  Nick is a big dancer.
[10:23.620 --> 10:24.240]  Oh no!
[10:24.640 --> 10:26.780]  Really? I heard otherwise.
[10:27.400 --> 10:27.560]  Dude, dude, dude.
[10:27.560 --> 10:28.220]  That's interesting.
[10:30.480 --> 10:32.240]  I don't know.
[10:32.820 --> 10:36.800]  Here's the thing. I think Nick is probably a medium dancer.
[10:37.260 --> 10:44.640]  I think Nick's wife is a big dancer, and by virtue of Nick being a very supportive husband, Nick was a big dancer.
[10:45.100 --> 10:50.540]  All I know is that Nick was on the dance floor the entire night.
[10:52.980 --> 10:55.720]  Dancing his ass off with the biggest grin.
[10:55.920 --> 10:58.060]  I didn't know Nick could smile that much.
[10:58.180 --> 11:01.520]  He was in his element dancing with his wife and having so much fun.
[11:01.580 --> 11:03.620]  It was joyous to watch.
[11:04.040 --> 11:08.840]  It was really fun. I'll tell you what really helped, Geoff, is the shoes that I had rent.
[11:08.960 --> 11:12.600]  They were rentals with the suit that I had, and they were really slick.
[11:12.920 --> 11:16.040]  So as long as I had the beat, I could just slide across the floor.
[11:17.620 --> 11:18.420]  Just effortlessly.
[11:19.160 --> 11:23.060]  Oh, man, you rented shoes for me? I appreciate that, Nick. Thank you so much.
[11:23.220 --> 11:28.100]  At one point, I walked up to Geoff, and he was saying, you're a big dancer, huh?
[11:28.200 --> 11:31.640]  And I was just talking to him about how much I love the wedding, and we appreciated everything.
[11:32.120 --> 11:36.900]  And it was like, you know that stage where you've had a couple of drinks, and you're like, I love you, man, it's good to see you.
[11:37.180 --> 11:38.560]  You got a great family here.
[11:38.660 --> 11:41.440]  And then he turned to me, and he goes, yeah, they're alright.
[11:44.560 --> 11:45.320]  Well, you know.
[11:45.800 --> 11:53.580]  I don't think I saw or noticed Nick's specific dance moves, but I imagine it, as you're talking about it now, I imagine it being very pointy.
[11:53.940 --> 11:54.820]  Like, finger-pointy.
[11:55.600 --> 11:59.340]  Did you whip out the index fingers, Nick, while you're dancing, or is that just in my imagination?
[11:59.740 --> 12:05.540]  I think it's more fist. Like, swinging in the air. It's more sliding on the shoes, for sure.
[12:06.100 --> 12:08.020]  I'll say this, he's a good dancer.
[12:08.020 --> 12:17.920]  Like, if there's like a video game version, or like a podcasting version of Dancing with the Stars, I would nominate Nick to be on the show.
[12:19.520 --> 12:22.480]  I didn't think I was a good dancer, so I appreciate the compliment, for one.
[12:22.540 --> 12:25.400]  And for two, please don't ever put me in there.
[12:29.980 --> 12:32.020]  Also, that was my only note from the wedding.
[12:34.920 --> 12:36.040]  That's all I wrote down.
[12:36.700 --> 12:41.960]  That's what I remember from the wedding, is that Nick was a good dancer.
[12:42.100 --> 12:46.420]  That whole thing about taking shit in, I thought I was doing that, turns out I wasn't.
[12:46.960 --> 12:50.020]  I feel like Andrew has more notes from your wedding, he wasn't even at the thing.
[12:50.760 --> 12:51.780]  Oh, I got a lot of notes.
[12:52.100 --> 12:57.520]  I do have one other note, and I feel like it's a little unfair to give this one.
[12:57.660 --> 12:59.360]  It's not from the wedding, I wrote it down the next day.
[12:59.820 --> 13:05.680]  There's a video going around, and I realize as I talk about it, I don't have it in front of me, so I'll have to get it to you guys.
[13:05.680 --> 13:12.400]  But there is a short video going around of a certain producer dancing on the dance floor.
[13:12.840 --> 13:14.960]  That has been, let me just say, has been making the rounds.
[13:15.840 --> 13:21.620]  I don't under- I mean, unless it's Gracie and she was suddenly there, it must be me.
[13:21.700 --> 13:23.480]  But I don't- I haven't seen the video.
[13:24.180 --> 13:27.900]  Oh, it's you, alright. You are also quite the dancer.
[13:28.280 --> 13:30.860]  I feel like Gooch Pooch gets down.
[13:31.100 --> 13:34.420]  I love dancing, and I love dancing at weddings. It's a lot of fun.
[13:34.420 --> 13:38.560]  For the life of me, I could not get drunk at your wedding.
[13:39.460 --> 13:43.480]  I remember you saying that. You were like, I'm sober. I'm so sober.
[13:43.820 --> 13:52.260]  I'm stone cold. Geoff, I had red wine, I had champagne, and I had probably seven tequila sodas.
[13:52.840 --> 13:53.240]  Nothing.
[13:53.780 --> 13:54.160]  Man.
[13:54.660 --> 13:55.100]  Nothing.
[13:55.660 --> 13:57.580]  I'm sorry to hear that.
[13:58.160 --> 14:01.440]  Let me tell you something, I was also sober at the wedding. I didn't drink either.
[14:01.440 --> 14:05.800]  Well, I mean, that's great. But there's a dichotomy here, and I hope you understand that.
[14:06.160 --> 14:11.180]  I'll tell you what's fucking- like, you- I found out I was in a good place with my alcoholism.
[14:12.040 --> 14:17.600]  Because for the last four months, all of that liquor has been in my spare bedroom. Just in boxes.
[14:18.240 --> 14:21.420]  Like, we had to buy it all ahead of time, and Emily got a good deal on it.
[14:21.520 --> 14:29.520]  And so there have just been, like, cases of vodka and tequila and shit and wine and champagne in my spare bedroom.
[14:29.520 --> 14:35.900]  And I didn't even think about it until just this moment, and I was like, oh shit, all that booze was in my house the whole time.
[14:36.600 --> 14:38.900]  Let me know, I'll help you get rid of it.
[14:39.260 --> 14:47.080]  I was in a different situation, where I was trying- because my speech was coming up in three hours, I was really pacing myself.
[14:47.500 --> 14:52.880]  So I was having wine, I was trying to get on the verge of tipsy, but I didn't want to be drunk for the talking.
[14:53.500 --> 14:57.560]  But then as soon as the speech was over, I thought, you know, now's the time I hit it.
[14:57.560 --> 15:01.400]  And I was hammered as soon as I walked through my front door.
[15:01.900 --> 15:06.660]  I did not get that drunk at the thing, but I was so drunk when I got home, like, it all caught up to me.
[15:07.460 --> 15:08.820]  Apparently in the car on the way home.
[15:09.180 --> 15:13.980]  This is how drunk you were. You were so drunk you agreed to get a tattoo at the wedding.
[15:14.040 --> 15:15.800]  We had a tattoo artist at the wedding giving tattoos.
[15:16.100 --> 15:17.360]  I wasn't actually that drunk for that.
[15:17.780 --> 15:21.800]  I couldn't believe that you were going to go through with it. You backed out very smartly, by the way.
[15:22.220 --> 15:28.160]  Well, I was just thinking about, like, will I be happy to have a tiny little envelope on my ankle when I wake up?
[15:28.240 --> 15:29.700]  And I thought, no, I don't think so.
[15:30.360 --> 15:35.660]  You said, you told me in the moment when you act like, because there was about an hour there where you were going to get the tattoo.
[15:35.980 --> 15:41.480]  Well, they, they, a bunch of, uh, but, you know, a bunch of terrible people signed me up to get one.
[15:41.480 --> 15:52.000]  And then because, because there was like not enough, yeah, Eric's small wife and, uh, Alyssa, uh, and some other people were very keen on me getting it.
[15:52.260 --> 15:56.540]  And then they signed me up. And then not only that, because there wasn't enough time for the tattoo people to get to me.
[15:56.880 --> 16:00.340]  They threw in a, hey, this guy's the best man. You need to bump him up the queue.
[16:03.000 --> 16:06.280]  I was talking about it with one of the brief moments I did have with you at the wedding.
[16:06.560 --> 16:08.760]  And you told me, I'm like, so why, what happened?
[16:08.760 --> 16:14.820]  And you decided not to get it. You backed out and you go, uh, you go, yeah, I was, I was standing in line and I was waiting and I was, I was getting stressed out.
[16:14.880 --> 16:17.680]  And I hope, I'm sorry, I don't, I can't do an impression of you like Andrew does.
[16:18.380 --> 16:20.440]  That sounded like you and 12 little roosters.
[16:21.020 --> 16:23.240]  It's a little Australian twang to that.
[16:23.600 --> 16:25.420]  And, uh, well, yeah, that's what, that's all I got.
[16:25.820 --> 16:30.180]  And, uh, and you go, and I just remembered, I don't have to do this.
[16:31.680 --> 16:34.420]  And I was like, no, you don't have to. And you were like, so I just did it.
[16:34.940 --> 16:36.060]  That was the best.
[16:36.060 --> 16:39.000]  Well, I was going to stress it out about it.
[16:39.060 --> 16:40.440]  Then you went like, oh, wait, I don't have to do this.
[16:40.500 --> 16:41.080]  And you just walked away.
[16:41.560 --> 16:45.080]  Well, I was going to get matching tattoos with, uh, with Jackie.
[16:46.400 --> 16:49.040]  Not my mom, Jackie, but Alfredo's partner.
[16:49.160 --> 16:55.820]  Cause I thought it'd be really funny if I just had my first and only matching or tattoo was matching with my friend's partner.
[16:56.460 --> 17:00.160]  Uh, well, my friend too, I guess I'm friends with Jackie, but it was just, it was funny.
[17:00.240 --> 17:03.980]  And then, uh, she just, she was very sane about it.
[17:03.980 --> 17:06.960]  Unlike Eric's small wife and Alyssa.
[17:08.040 --> 17:11.120]  I will say one of my favorite moments from the wedding.
[17:11.480 --> 17:14.300]  And I don't remember if we got a photo or not, but I think we should have, if we didn't.
[17:14.540 --> 17:20.280]  I turned around and I saw Gavin and Antonio and Bernie in a corner talking trucks.
[17:20.480 --> 17:21.640]  And I got so fucking happy.
[17:22.180 --> 17:24.580]  Cause I don't think Gavin and Antonio had ever met yet, you know?
[17:24.680 --> 17:25.980]  No, I was so excited to meet you.
[17:26.240 --> 17:28.040]  I think we got a picture of the truck crew too.
[17:28.360 --> 17:29.100]  Oh, that's so cool.
[17:29.160 --> 17:31.520]  I got to spend like five minutes just hanging out, talking trucks with y'all.
[17:31.580 --> 17:33.040]  And that was like the most fun.
[17:33.040 --> 17:34.300]  By the way, Gavin, play trucks tonight.
[17:34.820 --> 17:35.180]  Okay.
[17:35.720 --> 17:40.440]  Hey, the, the thing I really liked about your wedding was, uh, two things.
[17:40.600 --> 17:48.660]  There was a phone at the entrance where you pick it up and you leave a message for, uh, the bride and groom.
[17:48.760 --> 17:49.500]  I thought that was really nice.
[17:49.580 --> 17:53.660]  And I also liked that you had a lot of disposable cameras everywhere to take a bunch of pictures with.
[17:53.760 --> 17:54.620]  I thought that was a lot of fun.
[17:55.040 --> 17:56.200]  Oh, that's going to be a mess.
[17:56.540 --> 18:01.840]  Speaking of that, I, uh, I just picked those photos up today from the little photo map.
[18:01.840 --> 18:04.720]  Do you know how much it costs to get fucking film developed?
[18:05.220 --> 18:07.980]  There were 20, there were 20 little disposable cameras.
[18:08.080 --> 18:11.980]  Like, just like the little waterproof cameras you get, like, on your way to, like, to the beach or whatever.
[18:12.460 --> 18:15.960]  And, like, 36, rolls of 36. So, 20 rolls of 36 film.
[18:15.980 --> 18:17.760]  Or maybe, I think it was 12 or 20.
[18:17.980 --> 18:18.980]  It was over $400.
[18:20.140 --> 18:20.480]  Whoa!
[18:20.960 --> 18:21.220]  Whoa!
[18:22.360 --> 18:25.160]  Yeah, $400 just to get a bunch of 4x6 prints.
[18:25.440 --> 18:25.820]  How is that possible?
[18:25.820 --> 18:30.160]  Almost all of them are of, uh, my, uh, my nephew.
[18:30.660 --> 18:35.860]  Who, at the end of the night, picked up every camera that wasn't, that still had film on it and just took a selfie.
[18:36.280 --> 18:39.280]  So, I paid, like, $400 for a lot of pictures of a six-year-old.
[18:39.640 --> 18:40.360]  That's great.
[18:41.040 --> 18:44.040]  I was so sore after the wedding.
[18:44.480 --> 18:45.160]  You have any injuries?
[18:45.580 --> 18:46.580]  Yeah, what was it?
[18:46.960 --> 18:54.100]  Yeah, it was, I just had the, I feel like I always sprained my wrist from glow stick sword fighting with the...
[18:54.100 --> 18:55.260]  Oh, right, right, yeah.
[18:55.260 --> 18:56.200]  The ring bearer.
[18:56.320 --> 18:58.600]  There's a lot of good videos of you and the ring bearer going at it.
[18:59.160 --> 19:01.360]  The selfie-taking ring bearer.
[19:01.560 --> 19:01.760]  Yeah.
[19:03.340 --> 19:03.840]  That was fun.
[19:04.160 --> 19:08.340]  So, physical as well as, uh, just your ego being bruised of caving on the tattoo.
[19:09.420 --> 19:11.020]  I don't think I was out of bruised ego.
[19:11.200 --> 19:12.340]  I just thought, I don't want to...
[19:12.340 --> 19:13.980]  Or pride, I don't know what the word is.
[19:14.120 --> 19:21.480]  I just, it was just funny to see because he just, like, it never crossed his mind until that moment that he didn't have to get it.
[19:22.160 --> 19:22.800]  Like, it felt...
[19:22.800 --> 19:28.940]  Like, I could tell he thought it was an obligation that he had to go through with and then he just had the light bulb moment where he went like, oh, I have free will.
[19:29.260 --> 19:31.000]  And it was just so funny to see it happen.
[19:31.620 --> 19:33.160]  Were you the creative lead on the envelope?
[19:33.400 --> 19:34.700]  Why, why an envelope?
[19:34.940 --> 19:35.420]  Why was that?
[19:35.740 --> 19:36.900]  I just thought it was the funniest tattoo.
[19:37.040 --> 19:39.500]  Like, I think it's meant to be a love letter, but just like a piece of mail.
[19:39.900 --> 19:40.480]  Like a tiny...
[19:40.480 --> 19:44.220]  Yeah, I immediately, in my head, I'd go, you're a, he's a big, you've got mail guy.
[19:46.360 --> 19:47.320]  Loves you've got mail.
[19:48.860 --> 19:53.100]  But yeah, I mean, it was fun to fight the peer pressure of two tiny women.
[19:55.040 --> 19:55.740]  Sounds fun.
[19:56.040 --> 19:57.120]  I had a lot of fun.
[19:57.460 --> 19:58.700]  I was so sad.
[19:58.760 --> 19:59.500]  I couldn't make it.
[19:59.620 --> 20:01.780]  The day of, I looked at the itinerary.
[20:01.940 --> 20:04.620]  So I was in an email that I could see the schedule of everything.
[20:05.020 --> 20:08.000]  And I saw that Gavin had to do a best man speech.
[20:08.020 --> 20:11.000]  And that made me so happy knowing how uncomfortable he would be doing that.
[20:11.180 --> 20:15.800]  And that he also had to take care of the rings for a period of time.
[20:15.800 --> 20:18.600]  And I was like, oh, he's going to hate that job too.
[20:18.880 --> 20:21.020]  That is fantastic.
[20:21.480 --> 20:26.080]  So the next day, it's the first thing I texted Gavin was how did the speech go?
[20:26.280 --> 20:29.860]  And how miserable were you trying to make sure that these rings didn't go missing?
[20:30.700 --> 20:33.060]  I was surprised at how early I was given the rings.
[20:33.760 --> 20:35.560]  Because, oh, Andrew had a seat?
[20:35.980 --> 20:37.600]  Oh, I had a seat that was reserved?
[20:38.000 --> 20:38.320]  Yeah.
[20:38.960 --> 20:39.600]  Just in case.
[20:39.660 --> 20:44.320]  Well, I was going to be there so that everyone could strangle me to death and then I could come back.
[20:44.780 --> 20:47.300]  Only one of us could do it once a day.
[20:48.180 --> 20:53.960]  I will remember how much shit I was given by Andrew for forgetting to go to that dinner reservation with Geoff.
[20:56.080 --> 20:56.880]  It's fine.
[20:57.340 --> 20:58.900]  You know, what's funny is I don't remember that.
[20:59.620 --> 21:01.920]  Oh, maybe I got shit from Eric.
[21:03.640 --> 21:05.200]  Oh, that was definitely me. Yeah.
[21:06.180 --> 21:06.580]  Okay.
[21:07.660 --> 21:08.040]  Still.
[21:08.220 --> 21:08.800]  Oh, man.
[21:08.920 --> 21:09.620]  You had a seat?
[21:11.000 --> 21:12.300]  Well, yeah, there's a seat. I didn't know.
[21:13.320 --> 21:16.940]  Andrew, there will always be a seat for you at whatever table I'm at.
[21:17.480 --> 21:23.440]  I also, I feel like, was there any feeling that I could have been there? I feel like that could be a move. I could show up.
[21:23.600 --> 21:26.220]  I mean, I wouldn't have been surprised. I wouldn't have been surprised.
[21:26.320 --> 21:30.660]  I also wouldn't have been surprised to get a call from your mom on the wedding day and said,
[21:30.780 --> 21:35.300]  Hey, Andrew just wanted me to let you know that he never existed and he was all made up in a figment of your imagination.
[21:35.720 --> 21:38.400]  You know, like, I wouldn't, there'd be no surprises with you.
[21:39.900 --> 21:42.520]  Have we ever had proof that Andrew isn't his mom?
[21:43.820 --> 21:46.740]  What? I mean, if we, we've met him in person.
[21:47.380 --> 21:47.940]  That's true.
[21:48.340 --> 21:48.740]  Yeah.
[21:49.320 --> 21:51.800]  You went to pinballs with him, even though you don't remember.
[21:51.920 --> 21:52.760]  Well, he doesn't remember.
[21:53.040 --> 21:57.380]  But I'm more confused by the phrasing of the question. Are you asking if I'm my own mom?
[21:57.820 --> 22:04.620]  Like, am I, is this like a Mrs. Doubtfire that you're asking that, like, anything related to my mom is actually just me?
[22:04.620 --> 22:06.000]  Yeah, like, you know, your mom.
[22:06.740 --> 22:07.240]  Yeah, I do.
[22:07.240 --> 22:09.120]  Yeah, you're her, but you were never born.
