[00:05.080 --> 00:06.500]  Previously on F*** Face.
[02:05.680 --> 02:08.660]  and then going to that community meetup, I talked to a lot of people.
[02:09.280 --> 02:11.400]  Bovril, pretty universally not loved.
[02:11.780 --> 02:16.940]  But every single person to a fault loves salad cream and Branson pickle.
[02:17.220 --> 02:18.720]  Hell, you couldn't say enough good things about them.
[02:18.800 --> 02:21.000]  Yeah, they were very, very popular over there, apparently.
[02:21.220 --> 02:22.800]  I'm so glad I didn't go with Branson pickle.
[02:22.900 --> 02:25.240]  That was a consideration of one of the ice pop flavors.
[02:25.520 --> 02:27.560]  Frozen Branson pickle would be very interesting.
[02:27.960 --> 02:31.360]  I wasn't sure if I'd be able to freeze it with the texture of it
[02:31.360 --> 02:32.140]  and like the contents.
[02:32.180 --> 02:33.720]  I wasn't sure how that would equal out.
[02:33.860 --> 02:35.380]  But salad cream certainly didn't work.
[02:36.000 --> 02:39.580]  Well, I think we have some new recipes for the face cooks.
[02:39.660 --> 02:41.740]  Oh, Jesus Christ.
[02:42.120 --> 02:43.500]  Cookbook when we finally make it.
[02:43.540 --> 02:46.020]  So since we do you want to you want to ask your questions now,
[02:46.020 --> 02:48.980]  since it's fresh in your mind, another episode, another two guesses for you both.
[02:49.220 --> 02:50.680]  Yeah. Gavin, you go first.
[02:51.040 --> 02:52.720]  Was this person in fluke face?
[02:52.920 --> 02:54.740]  No. Oh, shit.
[02:55.540 --> 02:56.340]  Oh, God.
[02:56.700 --> 02:57.900]  You need to come up with like a list.
[02:58.440 --> 02:59.060]  Possible people.
[02:59.400 --> 03:01.020]  Do you have a question, Geoff, that you'd like to ask?
[03:01.060 --> 03:02.980]  Then maybe it will help Gavin with his guess.
[03:03.200 --> 03:04.740]  I can't. I'm struggling.
[03:04.740 --> 03:07.000]  I'm struggling to remember what we've already asked.
[03:07.080 --> 03:08.200]  I want to ask, but I'm scared.
[03:08.300 --> 03:09.000]  I've already asked.
[03:09.280 --> 03:12.180]  OK, if they're related to if they're like one of the online lawyers,
[03:12.300 --> 03:14.020]  if they're related to that whole segment.
[03:14.180 --> 03:17.920]  I don't I also don't remember if you've asked that, but I'll just say no, they're not.
[03:18.040 --> 03:18.680]  OK, OK.
[03:19.000 --> 03:22.360]  Oh, I might have to give another clue out with the rate we're currently going.
[03:22.460 --> 03:23.200]  Why don't you? Yeah.
[03:23.440 --> 03:24.540]  Why? You put me on the spot.
[03:24.580 --> 03:25.860]  I don't want to just give it away with a clue.
[03:25.920 --> 03:28.000]  I don't trust myself to not give a very.
[03:28.420 --> 03:31.900]  I will say, OK, so a previous question you had asked was,
[03:31.920 --> 03:33.680]  has anybody gotten this correct yet?
[03:33.680 --> 03:35.300]  There have been lots of comments about it.
[03:35.360 --> 03:36.480]  And I said not fully.
[03:36.860 --> 03:38.140]  That is no longer the case.
[03:38.600 --> 03:41.180]  One person has made a completely correct guess.
[03:41.720 --> 03:42.780]  As far as what this is.
[03:42.900 --> 03:44.240]  I have to sift through comments.
[03:44.660 --> 03:46.060]  So season two.
[03:48.140 --> 03:51.560]  Can I tell you my my the worst guess that anyone's made so far?
[03:51.980 --> 03:53.080]  Is it the one I made last?
[03:53.340 --> 03:54.680]  No, it's actually worse.
[03:54.940 --> 03:58.620]  This is I'd be impressed if you if you had a worse guess than this one.
[03:58.800 --> 04:02.080]  And this was done in a message that was very sweet.
[04:02.080 --> 04:03.200]  So it wasn't like a bit.
[04:03.480 --> 04:05.380]  They just they didn't have an awareness of this.
[04:05.460 --> 04:06.680]  And I didn't know how to reply to it.
[04:07.080 --> 04:09.420]  They guessed that the voice was Norm Macdonald.
[04:10.120 --> 04:11.300]  Wow. What?
[04:12.160 --> 04:16.860]  A, dead. B, exceptionally distinctive voice and cadence.
[04:17.200 --> 04:18.780]  Mm hmm. As a double layered.
[04:18.880 --> 04:20.380]  It's the worst guess by far.
[04:20.520 --> 04:23.400]  If I was able to get somebody who is dead to do the previously on.
[04:23.520 --> 04:27.820]  Could you imagine bringing somebody back to just do a previously on voice?
[04:28.120 --> 04:29.360]  That was why they came back.
[04:29.500 --> 04:30.540]  I mean, the previously on voice.
[04:30.540 --> 04:33.320]  The guy sounds like he's got a surfboard in his hands.
[04:33.640 --> 04:35.520]  And that's not what Norm Macdonald sounds like.
[04:35.840 --> 04:37.180]  No, no, it does not.
[04:37.260 --> 04:40.900]  But that's been my favorite of the worst guesses I've gotten by far.
[04:41.780 --> 04:43.420]  So that being said, do you have a guess, Geoff?
[04:43.640 --> 04:46.420]  Is it is it Billy Ripken?
[04:46.740 --> 04:48.680]  It's not. I wish there'd be a great one now.
[04:48.900 --> 04:50.700]  Yeah, I don't I know it's I know it's not.
[04:50.760 --> 04:51.500]  It's way too young.
[04:51.560 --> 04:52.540]  I just don't know what else to ask.
[04:52.740 --> 04:53.740]  Yeah, that's fair.
[04:53.860 --> 04:55.240]  Process of elimination. Totally.
[04:55.500 --> 04:59.100]  We should probably write down your questions and guesses throughout this.
[04:59.100 --> 05:01.920]  I also appreciate that you went with one that I think you already asked
[05:01.920 --> 05:05.700]  when Nick wrote out a much better guess that you just didn't use.
[05:05.940 --> 05:08.980]  Well, you were saying, oh, I wasn't looking at the at the discord.
[05:09.140 --> 05:10.700]  Let me see. Oh, yeah.
[05:11.060 --> 05:13.060]  Yeah, I think it sounds too young to be your barber.
[05:13.180 --> 05:14.300]  I considered that as well.
[05:14.580 --> 05:14.940]  Interesting.
[05:15.320 --> 05:16.660]  Because your barber is like a hundred and five.
[05:16.940 --> 05:17.880]  No, that was my old one.
[05:17.920 --> 05:18.620]  I got a new guy.
[05:19.020 --> 05:19.940]  New, much younger.
[05:20.340 --> 05:21.360]  I swapped swapped out.
[05:21.500 --> 05:22.600]  Gav, do you want to ask a question?
[05:22.800 --> 05:24.240]  You still are. You can still make a guess.
[05:24.540 --> 05:27.100]  Was it a delivery driver that you've had in the past?
[05:27.260 --> 05:27.760]  No, it's not.
[05:28.340 --> 05:29.780]  I thought you already guessed, too.
[05:29.960 --> 05:32.180]  That's how much these popsicles have taken out of me.
[05:32.280 --> 05:33.200]  No, I asked a question.
[05:33.540 --> 05:34.920]  I don't think he didn't make it.
[05:35.040 --> 05:37.060]  I'm still I'm still gathering from that.
[05:37.400 --> 05:38.840]  So Geoff went to the UK.
[05:38.980 --> 05:41.140]  What did you do, Gavin, since we last recorded?
[05:41.600 --> 05:43.300]  I was just here. You're just here.
[05:43.380 --> 05:43.960]  We played Halo.
[05:44.220 --> 05:45.020]  We did play Halo.
[05:45.600 --> 05:46.240]  It's very weird.
[05:46.780 --> 05:49.640]  Gavin brought up that it's because you were in the UK, Geoff,
[05:49.680 --> 05:52.860]  that it's the first time I think we've not recorded an episode
[05:52.860 --> 05:54.580]  because you were like it wasn't him.
[05:54.980 --> 05:57.740]  So him just being available for the week, it's a very strange thing.
[05:57.740 --> 05:59.680]  Like it's an odd rhythm to get out of.
[05:59.700 --> 06:00.780]  It's nice when we're weekly.
[06:01.080 --> 06:05.980]  Usually when Geoff's gone and I'm still here, I get pulled into off topic or something.
[06:06.480 --> 06:07.300]  But that didn't happen.
[06:07.460 --> 06:10.100]  I'm not sure Achievement Hunter knew that face was off.
[06:10.400 --> 06:14.460]  But yeah, I ended up just having a free period where I just played Halo with you.
[06:14.680 --> 06:15.660]  I was I did my taxes.
[06:16.020 --> 06:16.760]  We had an exciting.
[06:16.900 --> 06:17.720]  Well, you were away, Geoff.
[06:17.800 --> 06:18.740]  We had so much fun.
[06:19.080 --> 06:19.860]  Gavin did nothing.
[06:19.920 --> 06:21.060]  And I filed taxes.
[06:21.240 --> 06:23.160]  I was waiting for you to get home from your taxes.
[06:24.360 --> 06:26.240]  Yeah, it sounds like you guys really took advantages.
[06:27.220 --> 06:30.720]  I was very excited to see you texted me, Geoff.
[06:30.780 --> 06:31.900]  You were down watching the challenge.
[06:32.320 --> 06:34.960]  One of my favorite reality shows of all time.
[06:35.260 --> 06:36.260]  I'm a survivor.
[06:36.600 --> 06:38.700]  Yeah, I I started watching it.
[06:38.780 --> 06:39.740]  I don't remember why.
[06:39.820 --> 06:41.980]  I think we're just in the hotel room and bored and it was on.
[06:42.180 --> 06:43.340]  And I was like, fuck it.
[06:43.420 --> 06:44.220]  Let's give this a shot.
[06:44.280 --> 06:47.640]  And I've I honestly forgot about it until this moment.
[06:47.700 --> 06:50.920]  So thank you for reminding me that I need to finish watching that show
[06:50.920 --> 06:52.340]  because I was quite enjoying it.
[06:52.340 --> 06:56.760]  I found that the the challenges to the challenge, you know,
[06:56.820 --> 07:01.780]  I'll say half of the half of the enjoyment of reality TV for me
[07:01.780 --> 07:06.540]  is watching people just like just mishandle their lives.
[07:06.680 --> 07:11.900]  The other half of reality TV that I enjoy is watching games
[07:11.900 --> 07:15.840]  that people play, like the inventiveness, the creation of the games.
[07:15.840 --> 07:18.420]  It's why I love it's why I enjoy Big Brother.
[07:18.420 --> 07:20.440]  Sometimes it's obviously why I like Survivor.
[07:20.440 --> 07:23.420]  And the challenge has some really interesting,
[07:23.840 --> 07:27.220]  like legitimately physically demanding,
[07:27.900 --> 07:30.140]  maybe more so even than Survivor challenges.
[07:30.280 --> 07:31.920]  And I'm kind of fascinated by that.
[07:32.040 --> 07:33.840]  Like they are no joke, the challenges.
[07:34.160 --> 07:35.860]  Yeah, they they get ridiculous.
[07:36.120 --> 07:40.640]  And it's for me, it's a great mix of the social politics of Survivor,
[07:40.720 --> 07:43.220]  but from much dumber, trashier people.
[07:43.340 --> 07:47.560]  Yeah. And then all the same people like there's a guy on there named CT,
[07:47.980 --> 07:51.040]  who I think he did his first challenge when he was 27.
[07:51.300 --> 07:55.720]  He's 41 now, I want to say, and he's been on essentially every season.
[07:55.900 --> 07:59.800]  So it's like you have all this buildup of bullshit from like decades.
[08:00.120 --> 08:01.040]  That's also interesting.
[08:01.260 --> 08:05.860]  Like it is it is such a like a like you see people like the season I watch.
[08:05.960 --> 08:07.700]  There's somebody I recognize from Survivor on.
[08:07.780 --> 08:08.960]  So that was cool. Yes.
[08:09.120 --> 08:11.400]  And there was somebody from Big Brother who I didn't know.
[08:11.500 --> 08:15.020]  But it's cool to see the inner the interplay of different reality shows.
[08:15.020 --> 08:17.940]  But mostly there seems to be a core group of people
[08:18.860 --> 08:21.560]  who just live in this challenge.
[08:21.940 --> 08:23.240]  Yes. Universe.
[08:23.600 --> 08:26.760]  And it's their entire lives to the point where they're like they'll
[08:27.700 --> 08:28.500]  interesting dynamics.
[08:28.960 --> 08:31.420]  The first people that get voted out are people that are on the show
[08:31.420 --> 08:32.040]  for the first time.
[08:32.420 --> 08:37.180]  Like the worst thing you can do is be on your first season of that show.
[08:37.200 --> 08:38.880]  You were instantly gone.
[08:38.980 --> 08:41.680]  They're like, you got to pay your dues, got to take your lumps,
[08:41.760 --> 08:42.660]  get the fuck out of here.
[08:43.020 --> 08:43.720]  See you next year.
[08:43.720 --> 08:46.140]  And then it's like brutal.
[08:46.340 --> 08:47.140]  They don't even care.
[08:47.260 --> 08:48.840]  They're just like, yeah, it's your first time. Get the fuck out.
[08:49.020 --> 08:51.220]  And for other people, it's like a full time job.
[08:51.420 --> 08:52.540]  It's like their entire lives.
[08:52.680 --> 08:53.840]  Yeah, it's all they do.
[08:53.940 --> 08:56.100]  And it's it's just it's an absurd.
[08:56.720 --> 08:58.800]  There's so many great as it's progressed.
[08:58.880 --> 09:02.520]  It's gotten more into the physical side and it being really challenging.
[09:02.520 --> 09:06.000]  On the earlier seasons, it was just like a giant party
[09:06.000 --> 09:07.060]  where people were fucking up.
[09:07.320 --> 09:10.900]  They had to die all the vodka because people were smuggling them
[09:10.900 --> 09:13.580]  in their water bottles to do the challenges and just getting drunk
[09:13.580 --> 09:14.780]  like while they were competing.
[09:15.280 --> 09:18.480]  There'd be time where cast members would just like leave and go into the city
[09:18.480 --> 09:20.800]  and they'd have to shut down production for like four days
[09:20.800 --> 09:25.240]  because three of the contestants were just partying in Africa and they lost them.
[09:25.440 --> 09:30.320]  And it's now a much less fun show, but way more serious.
[09:30.440 --> 09:31.220]  It's just dumb.
[09:31.400 --> 09:33.260]  There's so much great pettiness to it.
[09:33.360 --> 09:34.920]  I think dumb is the great way to describe it.
[09:34.960 --> 09:38.380]  It's like if you're not familiar with that show, it's like all the
[09:38.380 --> 09:41.860]  the dumbest people on Temptation Island and Love Island,
[09:42.560 --> 09:46.460]  but who aggressively want to win a contest, a competition.
[09:46.880 --> 09:48.980]  Yes. Like the goal is not to find love.
[09:49.120 --> 09:52.280]  Love is like a byproduct of apparently getting drunk enough
[09:52.280 --> 09:54.000]  and being available in the night.
[09:54.380 --> 09:58.340]  But they legitimately want to win these physical competitions.
[09:58.660 --> 09:59.640]  So it's all it's like that.
[09:59.760 --> 10:00.340]  It's like that.
[10:00.720 --> 10:03.800]  It's like the dumbest, meatiest people going head to head.
[10:03.840 --> 10:04.680]  It's fucking great.
[10:04.820 --> 10:06.460]  I'm going to send you a post clip.
[10:06.460 --> 10:08.960]  One of, I think, the greatest edited videos of all time.
[10:09.120 --> 10:10.360]  I've shown this to Eric before.
[10:10.800 --> 10:14.100]  Somebody added together an argument between two CT,
[10:14.300 --> 10:16.200]  who I mentioned, and another regular named Wes.
[10:16.540 --> 10:18.580]  Watch this, Gavin. It's like 60 seconds long.
[10:18.860 --> 10:21.840]  I feel like this summarizes the energy of the show fully.
[10:22.360 --> 10:24.080]  It's a fantastic breakdown.
[10:24.320 --> 10:24.460]  All right.
[10:24.520 --> 10:25.660]  What do you say? Should we watch this right now?
[10:25.760 --> 10:26.400]  Yeah, let's play.
[10:26.840 --> 10:27.480]  Is this guy Hammett?
[10:27.740 --> 10:28.120]  Oh, yeah.
[10:31.120 --> 10:32.400]  This is what the show is.
[10:32.760 --> 10:34.060]  It's just aggressively screaming.
[10:36.500 --> 10:38.080]  All he does is smash heads.
[10:42.500 --> 10:45.700]  Is this as it is in the show, like how it was edited?
[10:46.220 --> 10:48.760]  No, this is somebody did this.
[10:49.220 --> 10:53.880]  It's unfortunately censored when you see it live, but just die, die, die.
[10:54.780 --> 10:56.420]  The timestamps are so funny.
[10:59.140 --> 11:01.080]  Man, I hope they ran that as a trailer.
[11:01.440 --> 11:06.200]  So a great thing about CT is he was banned for like six seasons
[11:06.200 --> 11:07.720]  because he kept fighting people.
[11:08.520 --> 11:10.420]  He fucked the guy up like they couldn't.
[11:10.560 --> 11:12.820]  It took like seven security guards to hold him back.
[11:12.960 --> 11:16.800]  And he just annihilated the tiniest guy on the cast.
[11:17.200 --> 11:17.860]  But he's back now.
[11:18.220 --> 11:19.480]  He's now a lovable character.
[11:19.760 --> 11:21.580]  Which one was CT in that?
[11:21.740 --> 11:23.540]  CT was the die, die, die guy.
[11:23.700 --> 11:24.380]  Die, die, die.
[11:24.440 --> 11:27.440]  The other guy is a bad guy on the season I'm watching.
[11:28.120 --> 11:29.580]  Yes. And he's always been a bad guy.
[11:29.740 --> 11:30.960]  He's been like a bad guy forever.
[11:31.080 --> 11:31.780]  One of my favorite.
[11:32.160 --> 11:33.460]  I mean, not to go too deep on the challenge.
[11:33.460 --> 11:37.320]  My favorite like petty dumb thing is there is this issue
[11:37.320 --> 11:40.980]  where a woman had a note left in her bed saying that
[11:40.980 --> 11:44.140]  I know you're just sleeping with him for his vote or something like that.
[11:44.300 --> 11:45.740]  And it caused all this drama.
[11:46.080 --> 11:49.240]  And then the notes started getting left out throughout the whole season.
[11:49.340 --> 11:50.720]  They're like, who the fuck is leaving notes?
[11:50.920 --> 11:53.860]  And like they're trying to they have they made everybody write down
[11:53.860 --> 11:55.960]  one of the messages to try to like match the writing.
[11:56.160 --> 11:59.000]  And then somebody revealed that him and his sister
[11:59.000 --> 12:00.820]  wrote all the notes before they came on.
[12:00.820 --> 12:02.300]  Like he had his sister write them.
[12:02.400 --> 12:03.320]  So it wouldn't match anybody.
[12:03.480 --> 12:07.420]  And they're just generic messages that he wanted to apply throughout the season.
[12:07.500 --> 12:09.520]  So like it wasn't aimed at anyone specific.
[12:09.660 --> 12:11.540]  He just had this bag of notes that he could deploy
[12:11.540 --> 12:14.040]  and it caused complete chaos in the house.
[12:14.340 --> 12:16.140]  It's fantastic. It's a great series.
[12:16.260 --> 12:18.080]  I would highly recommend anybody watch the challenge,
[12:18.260 --> 12:19.700]  especially the earlier seasons of it.
[12:19.960 --> 12:22.180]  The other night I watched Being John Malkovich,
[12:22.640 --> 12:24.220]  which I hadn't seen in a long time.
[12:24.280 --> 12:24.720]  Have you ever seen that?
[12:24.800 --> 12:26.580]  I've never seen it. I've always wanted to.
[12:26.700 --> 12:27.460]  I hear it's so good.
[12:27.600 --> 12:29.400]  It's I mean, it's weird. It's pretty good.
[12:29.400 --> 12:33.040]  I was watching it and I was like, this is so weird.
[12:33.220 --> 12:34.720]  I wonder how this...
[12:34.720 --> 12:38.020]  I wouldn't know what to do if I was hard of hearing right now,
[12:38.020 --> 12:43.660]  because there's a bit where basically one woman is in love with Cameron Diaz,
[12:43.820 --> 12:47.300]  but only when Cameron Diaz is inside John Malkovich.
[12:47.700 --> 12:50.560]  So they like meet up, but only when she's in Malkovich.
[12:50.760 --> 12:54.000]  And at one point they start having sex and like different people are talking,
[12:54.080 --> 12:57.640]  like you can hear Cameron Diaz and you can hear John Malkovich
[12:57.640 --> 12:58.640]  and you can hear the other woman.
[12:58.640 --> 13:00.440]  And I was like, what the hell is going on?
[13:00.440 --> 13:02.460]  What is what the subtitle is doing right now?
[13:02.640 --> 13:06.680]  And I just turned on the subtitles and I just laughed my ass off.
[13:08.740 --> 13:12.260]  And it says unzipping and then just both characters moaning.
[13:12.360 --> 13:13.320]  I was like, yeah, I mean,
[13:16.020 --> 13:19.080]  sure, it would be honestly the most confusing movie
[13:19.080 --> 13:20.960]  to watch without one of your senses.
[13:21.480 --> 13:23.620]  I recommend watching it, though, so it's weird as shit.
[13:23.840 --> 13:24.660]  I'll add it to my list.
[13:24.840 --> 13:26.900]  I need to watch The Long Kiss Goodnight.
[13:27.340 --> 13:28.480]  That's high on my queue now.
[13:28.480 --> 13:29.680]  That's a great movie.
[13:30.260 --> 13:32.660]  We were that terrible movie.
[13:32.820 --> 13:33.440]  That's a great movie.
[13:33.500 --> 13:37.360]  You talk about it's a what's her face and
[13:38.440 --> 13:39.820]  Samuel Jackson's in it, too, right?
[13:39.900 --> 13:41.520]  Yes. So I haven't seen it.
[13:41.640 --> 13:45.140]  Rennie Harlan is my favorite schlock director of all time.
[13:45.340 --> 13:47.940]  I don't think he's ever made a genuinely good movie,
[13:48.120 --> 13:51.080]  but he makes really fun, bad movies like consistently.
[13:51.160 --> 13:53.220]  Is it Gina Davis? Who's the?
[13:53.360 --> 13:54.600]  Yeah, I think that's right.
[13:54.700 --> 13:56.540]  Yeah, like a sleeper agent or something.
[13:56.540 --> 13:59.200]  And she doesn't realize she's like chopping up the vegetables
[13:59.200 --> 14:00.440]  and then she's like a fucking badass.
[14:00.560 --> 14:02.800]  She doesn't realize. Oh, that was a I saw that movie in the theater.
[14:02.880 --> 14:03.560]  I haven't seen it since.
[14:03.640 --> 14:06.280]  So maybe it doesn't hold up after 30 years, but I remember loving it.
[14:06.360 --> 14:07.260]  I'm excited to see it.
[14:07.600 --> 14:08.740]  Eric is live. Why are we?
[14:08.960 --> 14:10.200]  Should I click this?
[14:10.280 --> 14:12.160]  Oh, let's watch Eric. Watching Eric.
[14:13.480 --> 14:14.720]  I wanted to show you guys.
[14:14.840 --> 14:17.700]  I didn't want to put it in the chat, but I got the shirt.
[14:18.360 --> 14:20.980]  Are we good to go?
[14:21.140 --> 14:23.560]  Can I send? Can I send to that? Yes, yes.
[14:23.560 --> 14:24.480]  I think that's good.
[14:25.000 --> 14:27.560]  Yes, yes. OK, I just want to.
[14:27.800 --> 14:28.320]  Hell yeah.
[14:28.880 --> 14:31.540]  So just for people at home, just so you know, because we can't put it
[14:31.540 --> 14:32.800]  in, we can't put it in the chat.
[14:33.060 --> 14:34.800]  This is the anal passage shirt.
[14:34.960 --> 14:36.140]  That's a great point.
[14:36.360 --> 14:37.880]  That's a sneak. I believe.
[14:38.160 --> 14:42.260]  OK, cool. So I'll let them know to send it by the time you listen to this episode.
[14:42.360 --> 14:43.920]  I don't know if you can still get this shirt.
[14:43.980 --> 14:45.320]  You can try. I'm sure you can.
[14:45.740 --> 14:50.420]  But the anal passage shirt is was on sale and is now probably gone.
[14:50.540 --> 14:52.160]  So I hope you enjoyed. Fantastic.
[14:53.760 --> 14:56.360]  When are we? Is that going up tomorrow at noon?
[14:56.580 --> 14:57.400]  So when is it? Yeah, wait.
[14:57.560 --> 15:00.120]  People are only going to be able to buy it without before the podcast came.
[15:00.140 --> 15:00.980]  Yeah, I think there.
[15:01.540 --> 15:04.440]  Let me read you the description for the shirt, which I've lifted
[15:04.440 --> 15:06.100]  from the annual pass shirt.
[15:06.660 --> 15:10.620]  Theme parks are opening their gates in the scent of fresh chili dogs
[15:10.620 --> 15:11.760]  hangs in the air.
[15:12.260 --> 15:13.880]  It's anal passage season.
[15:14.000 --> 15:17.400]  And that means it's time to grab a new AP marquee
[15:17.400 --> 15:20.060]  tee to celebrate the most wonderful time of the year.
[15:20.300 --> 15:21.620]  Listen to episode one oh one.
[15:23.600 --> 15:24.480]  That's fantastic.
[15:24.680 --> 15:25.660]  That's fantastic.
[15:25.940 --> 15:28.320]  That's going to be a great little Easter egg for people to find it.
[15:28.560 --> 15:29.340]  Oh, yes.
[15:29.560 --> 15:33.240]  I was worried in between episodes that Jack would be genuinely mad at that one.
[15:33.460 --> 15:39.020]  Well, you said it's going to come out and release before he could react to it.
[15:39.180 --> 15:41.820]  Like it sounds like that shirt will be available tomorrow.
[15:42.720 --> 15:44.380]  Also, it doesn't matter, I guess.
[15:44.460 --> 15:48.840]  I released a fucking face shirt to him with his dumb bald head
[15:48.840 --> 15:52.440]  that was up for like four days and then told him he could get revenge
[15:52.440 --> 15:54.420]  on me whenever he wanted to and he's too lazy to do it.
[15:54.480 --> 15:55.400]  So I wouldn't worry too much.
[15:55.460 --> 15:58.020]  Even if he is mad, he's just going to stew in his own juices.
[15:58.140 --> 15:59.220]  He's not going to do anything about it.
[16:00.820 --> 16:04.020]  So so this will go on sale at the time of this recording.
[16:04.060 --> 16:05.000]  It'll go on sale tomorrow.
[16:05.100 --> 16:08.420]  At the time of you listening to this episode, it will have already been on sale
[16:08.420 --> 16:10.100]  and you can no longer get it, I assume.
[16:10.980 --> 16:12.080]  We assume. Yeah.
[16:12.220 --> 16:15.920]  Hey, if if we're on the subject of shirts, can I bring something up real quick?
[16:16.180 --> 16:19.320]  That, of course, me and Andrew were in the merch.
[16:19.480 --> 16:22.140]  We were in the merch meeting earlier today.
[16:22.440 --> 16:27.460]  And we got the numbers for the regulation listener and comment
[16:27.460 --> 16:30.000]  leaver shirts, and they didn't they did well.
[16:30.200 --> 16:32.540]  However, one did way better than the other.
[16:32.640 --> 16:37.480]  The regulation listener did like five times the numbers that content
[16:37.480 --> 16:39.280]  or that the comment leaver did.
[16:39.500 --> 16:43.360]  And I need people to really take a long, hard look at themselves
[16:43.360 --> 16:48.520]  if they're a regulation listener or a comment leaver, because I have a feeling
[16:48.520 --> 16:51.200]  there were a lot of people who bought regulation listener shirts
[16:51.200 --> 16:53.220]  who are truly comment leavers.
[16:53.620 --> 16:57.500]  I have absolute proof of this where it on the face Twitter account
[16:57.500 --> 17:00.580]  just as a joke to myself, like it was we tweeted.
[17:00.840 --> 17:01.960]  Are you a regulation listener?
[17:02.080 --> 17:02.940]  Are you a comment leaver?
[17:03.100 --> 17:06.040]  And a lot of people like the first five were all like, I'm right.
[17:06.080 --> 17:07.260]  I'm a regulation listener.
[17:07.420 --> 17:09.420]  It's like, I don't think you understand how this works.
[17:09.540 --> 17:11.300]  They don't. You need to buy the other shirt.
[17:11.620 --> 17:14.440]  If you go on the subreddit, it's like these people who like jump
[17:14.440 --> 17:15.260]  through these hoops on.
[17:15.700 --> 17:18.140]  Well, I'm leaving a comment here, but it's not on the show.
[17:18.520 --> 17:20.440]  So really, I'm a regulation listener.
[17:20.600 --> 17:23.300]  And it's like, no, you're leaving a comment on something from the show.
[17:24.320 --> 17:25.300]  You're a comment leaver.
[17:25.680 --> 17:26.420]  You've left a comment.
[17:26.660 --> 17:29.820]  The joy in my head of this entire premise is, you know, like
[17:29.820 --> 17:33.040]  if you're in an audience or whatever, it'd be like everybody who's a comment leaver
[17:33.040 --> 17:35.620]  say like there'd be like a big response.
[17:35.860 --> 17:38.900]  Everybody who's a regulation listener, just nothing.
[17:39.160 --> 17:40.320]  That's what's funny to me about it.
[17:40.380 --> 17:42.620]  Like there should be zero response.
[17:42.740 --> 17:44.400]  It should seem like an empty room.
