[00:04.900 --> 00:06.400]  Previously on F**kface.
[05:13.980 --> 05:15.080]  Not looking forward to it.
[05:16.220 --> 05:17.520]  Anyway, what's new with you guys?
[05:19.180 --> 05:23.620]  Is there any imagery that Geoff is making you think of Gavin?
[05:24.020 --> 05:25.140]  Right now, just when you look at him?
[05:25.880 --> 05:27.960]  Are there any vibes that you're getting from this?
[05:28.840 --> 05:32.500]  Something you would see on the ceiling of a cathedral.
[05:33.080 --> 05:35.620]  I don't know why. I'm getting real mermaid vibes from Geoff.
[05:35.620 --> 05:36.700]  That's why I lost it.
[05:36.780 --> 05:38.280]  It just feels very Geoff Mermaid.
[05:38.420 --> 05:40.120]  Something with the way the hands are.
[05:40.300 --> 05:43.340]  I wasn't expecting the hands up on the head.
[05:44.140 --> 05:46.100]  Keeping the arms out of the way of the ribs.
[05:46.900 --> 05:47.740]  Makes sense.
[05:47.880 --> 05:49.040]  But I just didn't consider it.
[05:49.180 --> 05:49.980]  I was caught off guard.
[05:50.440 --> 05:51.980]  Geoff's face clenched up.
[05:56.100 --> 05:57.760]  Neither of you have ever had a tattoo.
[05:58.860 --> 05:59.280]  No.
[06:00.120 --> 06:01.360]  I don't know what I would get.
[06:02.400 --> 06:04.020]  So where would you put the...
[06:04.020 --> 06:05.340]  Where was the pencil gonna go?
[06:06.180 --> 06:09.640]  The pencil is on my right calf.
[06:10.760 --> 06:13.680]  And then the Ian is on the inside of my foot.
[06:16.200 --> 06:18.240]  I'll probably just go ahead and get those two while we're here.
[06:18.640 --> 06:23.720]  So the number two, the one that was picked, is definitely in the worst place.
[06:24.300 --> 06:27.560]  Yeah, see, I was hoping that you guys would pick a different one and then I wouldn't have to get this one.
[06:27.620 --> 06:28.760]  Because this is the only bad one.
[06:28.760 --> 06:30.900]  The other two are a fucking... I could do it in my sleep.
[06:31.000 --> 06:31.620]  It's nothing.
[06:33.280 --> 06:35.760]  You're getting a tattoo you didn't want?
[06:36.960 --> 06:39.120]  No, I'm not saying I didn't get... I didn't want it.
[06:39.160 --> 06:40.040]  Obviously I want it.
[06:40.100 --> 06:43.320]  I just didn't necessarily want it right now.
[06:43.320 --> 06:44.040]  In this context.
[06:44.240 --> 06:49.700]  I mean, I want to be completely covered in tattoos, but I'm not because of...
[06:49.700 --> 06:50.560]  I don't know.
[06:51.040 --> 06:52.360]  It hurts and it's not fun.
[06:52.780 --> 06:54.540]  So you, you know...
[06:55.500 --> 06:56.840]  Do it sparingly.
[06:56.840 --> 06:58.400]  I'm so glad we went with two.
[06:58.600 --> 07:04.120]  I mean, the other visuals I can't imagine would be as good as being as caught off guard as we were.
[07:04.540 --> 07:05.140]  With that reveal.
[07:05.220 --> 07:07.400]  I guess I realized for the audience.
[07:08.640 --> 07:09.780]  One, two, and three are...
[07:09.780 --> 07:10.860]  Number one is a pencil.
[07:11.500 --> 07:12.660]  It's a number 16 pencil.
[07:13.500 --> 07:15.120]  With a bite taken out of it.
[07:15.520 --> 07:18.780]  Number two was Pedro and Don fighting.
[07:19.020 --> 07:21.440]  Right as Pedro's smushing Don's head.
[07:21.880 --> 07:22.700]  And then...
[07:22.700 --> 07:23.420]  Oh, fuck.
[07:24.160 --> 07:26.680]  You can hear the faint buzz of the tattoo.
[07:26.940 --> 07:28.440]  That was a good spot.
[07:28.880 --> 07:30.960]  And then tattoo number three is the Ian face.
[07:31.320 --> 07:33.240]  Looking up. Standardized nose.
[07:34.480 --> 07:35.200]  Oh, man.
[07:35.820 --> 07:36.420]  It's incredible.
[07:37.680 --> 07:40.020]  I feel... I'm glad I didn't even attempt.
[07:40.520 --> 07:42.680]  So I had two things in mind for this episode.
[07:43.100 --> 07:44.660]  One of them would antagonize Geoff.
[07:44.800 --> 07:45.820]  So I didn't want to do that.
[07:46.180 --> 07:47.920]  And the other one would antagonize the audience.
[07:48.040 --> 07:49.560]  Which also felt rude to do.
[07:50.160 --> 07:52.460]  On such a special episode 100.
[07:52.460 --> 07:54.420]  I just didn't want to annoy anybody.
[07:54.600 --> 07:55.980]  So I don't have anything planned.
[07:56.100 --> 07:58.880]  But I know, Gavin, you've had this amazing story.
[07:59.380 --> 08:01.200]  That we've been teasing for weeks.
[08:01.920 --> 08:03.380]  Well, you've been annoying the audience, Andrew.
[08:03.420 --> 08:04.420]  Since you didn't eat the pencil.
[08:04.680 --> 08:05.660]  So what's different now?
[08:05.820 --> 08:07.840]  Well, you can trust me.
[08:07.860 --> 08:08.860]  I can take it to other levels.
[08:09.040 --> 08:10.820]  We can go to some other places with it.
[08:10.880 --> 08:11.540]  I didn't want to.
[08:11.740 --> 08:13.240]  This is a celebratory episode.
[08:13.880 --> 08:14.680]  Geoff's getting a tattoo.
[08:14.880 --> 08:15.620]  It's good vibes.
[08:16.040 --> 08:16.840]  Good vibes?
[08:16.960 --> 08:20.280]  I want a new guest at the Previously On Voice.
[08:20.920 --> 08:21.260]  Oh, yeah.
[08:21.720 --> 08:23.280]  Let's do the Previously On Guests.
[08:23.520 --> 08:25.000]  Geoff, have you thought of a new guest?
[08:26.140 --> 08:26.940]  Is it...
[08:26.940 --> 08:27.480]  Go ahead.
[08:29.160 --> 08:30.580]  You're allowed to ask a question as well.
[08:30.640 --> 08:32.660]  You get a question and a guess.
[08:33.060 --> 08:33.520]  Oh, okay.
[08:33.900 --> 08:37.260]  Is it a public figure?
[08:39.200 --> 08:39.600]  No.
[08:40.460 --> 08:40.700]  Okay.
[08:41.480 --> 08:43.620]  Is it someone...
[08:43.620 --> 08:45.860]  Is it someone we've heard on the show before?
[08:46.000 --> 08:46.540]  Did I ask that?
[08:47.220 --> 08:48.500]  Someone you've heard on the show.
[08:48.520 --> 08:50.360]  Could you be a little bit more specific?
[08:50.880 --> 08:53.640]  Has their voice been in an episode of F*** Space?
[08:54.000 --> 08:54.300]  No.
[08:55.220 --> 08:55.820]  Oh, God.
[08:58.520 --> 09:00.460]  It's been very fun to see the guesses.
[09:00.860 --> 09:02.040]  There have been a lot of posts
[09:02.040 --> 09:04.140]  and different threads about who the voice could be.
[09:04.200 --> 09:05.380]  It's been very entertaining to follow.
[09:06.300 --> 09:07.100]  Is it...
[09:07.100 --> 09:08.800]  My guess will be it's somebody from
[09:09.380 --> 09:10.360]  My Hubby's Bagels.
[09:11.760 --> 09:13.160]  That's your guess?
[09:13.600 --> 09:14.240]  Your official guess?
[09:14.460 --> 09:15.460]  No, that is incorrect.
[09:16.200 --> 09:18.700]  Is it a descendant of the inventor
[09:18.700 --> 09:19.520]  of the buttplug?
[09:19.620 --> 09:20.780]  You don't get another question.
[09:22.780 --> 09:24.300]  Unless that's who you're guessing.
[09:24.560 --> 09:25.140]  That's my guess.
[09:25.920 --> 09:28.280]  I don't know the ancestry of the
[09:28.280 --> 09:30.420]  buttplug inventor, so I don't feel
[09:30.420 --> 09:31.920]  comfortable giving you an answer to that.
[09:32.040 --> 09:34.200]  I would assume no. I would be shocked
[09:34.200 --> 09:35.780]  if that was the case, but there have been
[09:35.780 --> 09:37.540]  weirder coincidences with this show.
[09:37.540 --> 09:39.360]  So I don't feel like I could fully
[09:39.360 --> 09:41.800]  rule it out. Highly unlikely.
[09:42.640 --> 09:43.460]  You guys have to go again
[09:43.460 --> 09:44.800]  next episode. We do.
[09:45.680 --> 09:48.040]  It's been crazy. Some of the guesses...
[09:48.040 --> 09:49.700]  I am seeing guesses from people
[09:49.700 --> 09:51.540]  that are way more creative than I could have
[09:51.540 --> 09:52.280]  ever come up with.
[09:52.800 --> 09:55.440]  Let me ask you this, not as an official question,
[09:55.540 --> 09:56.700]  but just as a conversation.
[09:57.200 --> 09:59.580]  Has a comment leaver got it right?
[10:00.160 --> 10:02.060]  Nobody has gotten it exactly right.
[10:02.600 --> 10:03.460]  That's interesting.
[10:03.740 --> 10:04.580]  That's interesting.
[10:05.920 --> 10:06.380]  There's been
[10:06.380 --> 10:08.400]  some people that I'm like, wow!
[10:08.720 --> 10:10.100]  I'm surprised you're that close.
[10:10.240 --> 10:12.740]  But yeah, there's not been a definitive correct
[10:12.740 --> 10:14.980]  guess. As of yet.
[10:15.340 --> 10:16.620]  At this rate, are we going to be
[10:16.620 --> 10:18.060]  all the way up to 200 before we get there?
[10:18.820 --> 10:20.740]  I feel like you guys asked some great questions
[10:20.740 --> 10:21.560]  and really narrowed it down.
[10:22.000 --> 10:23.340]  It's an unsolvable riddle.
[10:24.120 --> 10:26.300]  I'm going to need a running document, though,
[10:26.420 --> 10:28.580]  of everything we know before I make each guess.
[10:29.140 --> 10:30.680]  It's going to be hard to keep track of.
[10:31.120 --> 10:32.460]  I don't remember everybody
[10:32.460 --> 10:34.220]  you've guessed, never mind the questions.
[10:36.120 --> 10:38.100]  My favorite one, I think, is Nick.
[10:38.260 --> 10:39.960]  Some people thought it was Nick. Can you imagine
[10:39.960 --> 10:42.180]  how wild of a... just bad?
[10:42.560 --> 10:44.740]  It'd be such a lame reveal if it's just Nick.
[10:46.160 --> 10:46.640]  What's
[10:46.640 --> 10:47.360]  lame about Nick?
[10:49.120 --> 10:50.960]  There'd just be such a strange
[10:52.140 --> 10:52.620]  thing.
[10:52.800 --> 10:54.540]  And nothing against Nick. Nick is great.
[10:54.660 --> 10:56.860]  I love Nick. Nick's fantastic.
[10:57.620 --> 10:58.520]  But just teasing...
[10:59.180 --> 11:01.000]  It'd be like if I had you do the voice, Gavin.
[11:01.000 --> 11:02.960]  What a lame reveal that would be.
[11:03.260 --> 11:03.720]  Is it Gavin?
[11:04.500 --> 11:05.200]  Is it me?
[11:06.180 --> 11:07.020]  Is it you?
[11:10.820 --> 11:12.300]  That would be amazing if it was.
[11:12.400 --> 11:14.920]  Oh, sweet. My ribs are done. That was fucking fast.
[11:15.140 --> 11:16.400]  Already? Wow.
[11:17.240 --> 11:18.240]  Are you moving straight on?
[11:18.840 --> 11:20.380]  Yeah, might as well just do the rest of them, right?
[11:20.980 --> 11:22.020]  I mean, it's not
[11:22.460 --> 11:25.020]  impeding the progress of the podcast
[11:25.020 --> 11:25.620]  at all, is it?
[11:27.000 --> 11:28.080]  I don't think so.
[11:29.100 --> 11:30.160]  I don't even know
[11:30.160 --> 11:32.120]  if that question was for me, but I'm going to say no.
[11:32.200 --> 11:34.080]  This is great. I have an update
[11:34.080 --> 11:35.800]  from... we were talking about
[11:35.800 --> 11:38.020]  stuff not arriving for months. That was
[11:38.020 --> 11:40.280]  that West Elm conversation. Oh!
[11:40.280 --> 11:41.980]  I've been meaning to ask that. Yeah, did Geoff
[11:41.980 --> 11:44.020]  get the basket? Did you ever get your basket,
[11:44.160 --> 11:46.160]  Geoff? I did. The picnic basket?
[11:46.240 --> 11:48.500]  Yeah, we did get it. Okay. Oh, how was it?
[11:48.560 --> 11:49.900]  I haven't used it yet, but it's lovely.
[11:50.360 --> 11:51.820]  Great. It's as advertised.
[11:52.240 --> 11:54.080]  And I got the Dead by Daylight
[11:54.080 --> 11:55.120]  statue delivered.
[11:55.900 --> 11:57.280]  When? Last week
[11:57.280 --> 11:59.100]  after having placed the order in
[11:59.100 --> 12:01.400]  what was it? January 2020.
[12:01.840 --> 12:02.640]  Just arrived.
[12:03.200 --> 12:04.840]  And how is the Dead by Daylight statue?
[12:05.360 --> 12:06.940]  Uh, it's good. Light's up. It's nice.
[12:08.200 --> 12:08.920]  Eric asked,
[12:09.100 --> 12:10.660]  is that your crazy story? No.
[12:11.240 --> 12:12.300]  That's not the story.
[12:14.220 --> 12:15.100]  I don't...
[12:15.100 --> 12:17.220]  Geoff's just walking with the mic in his hand.
[12:18.220 --> 12:19.160]  Just in his box.
[12:20.120 --> 12:21.320]  I'm not in my box or something.
[12:21.580 --> 12:23.120]  I'm in the...
[12:23.500 --> 12:25.220]  He's wearing his smallest
[12:25.780 --> 12:27.420]  shorts just walking around
[12:27.420 --> 12:29.320]  his house carrying the microphone.
[12:29.600 --> 12:31.340]  This is so insane.
[12:31.600 --> 12:33.300]  These are the swim trunks I wear every day
[12:33.300 --> 12:34.260]  of my life in the summer.
[12:35.960 --> 12:36.680]  So 80s.
[12:38.440 --> 12:39.440]  What does that mean?
[12:40.740 --> 12:41.460]  What's wrong
[12:41.460 --> 12:43.220]  with the 80s? I grew up in the 80s. The 80s were
[12:43.220 --> 12:45.700]  fucking awesome. Yeah, you're like an 80s footballer.
[12:46.440 --> 12:47.360]  Thank you. I appreciate
[12:47.360 --> 12:48.380]  that. I'll take that as a compliment.
[12:48.740 --> 12:50.260]  How do you want me to sit for this one, Derek?
[12:52.940 --> 12:53.520]  I was
[12:54.000 --> 12:55.460]  trying to think of the thing
[12:55.460 --> 12:57.540]  that we had to be here
[12:57.540 --> 12:59.420]  at this specific time to record this episode
[12:59.420 --> 13:01.640]  because Geoff had booked something. I had no
[13:01.640 --> 13:03.380]  idea what it was. I did not expect this.
[13:03.880 --> 13:05.920]  No. Well, I'm glad. This is incredible.
[13:06.180 --> 13:06.980]  I was supposed to.
[13:08.560 --> 13:09.880]  Now this angle is terrible
[13:09.880 --> 13:10.720]  because it's like
[13:11.400 --> 13:12.560]  we're in bed with you.
[13:16.180 --> 13:17.420]  I don't enjoy this.
[13:17.940 --> 13:19.540]  It's a lot more fun the other way.
[13:19.540 --> 13:20.680]  With the big spoon.
[13:24.020 --> 13:25.720]  Why don't you tell your story, Gavin?
[13:26.840 --> 13:27.480]  Well, I got some
[13:27.480 --> 13:29.520]  visual aids for it, so if you can't see the screen,
[13:29.580 --> 13:30.600]  I'll wait for you to turn over.
[13:30.940 --> 13:32.760]  I can look over.
[13:33.500 --> 13:35.420]  Is there any update outside of the fact
[13:35.420 --> 13:36.120]  you got it?
[13:37.180 --> 13:39.140]  The statue? Yeah. Nope.
[13:39.620 --> 13:40.900]  I figured I'd let you know.
[13:41.360 --> 13:42.680]  That was quite a long time, though. It was like
[13:43.780 --> 13:44.900]  800 days or something?
[13:45.220 --> 13:47.620]  It was ridiculous. 800 days.
[13:48.100 --> 13:48.900]  It's pretty long.
[13:49.020 --> 13:51.100]  It's not even a thank me later set up.
[13:51.200 --> 13:53.640]  That was just the world. The world just did that to you.
[13:54.080 --> 13:55.160]  Don't even need that business.
[13:55.860 --> 13:57.500]  You should turn around and sell it on eBay
[13:57.500 --> 13:59.580]  for twice the cost and say that you...
[14:00.020 --> 14:01.640]  I'm sure there are other people out there that are waiting
[14:01.640 --> 14:03.100]  hundreds of days for their statues.
[14:03.620 --> 14:04.560]  Like you're gonna do with your fridge?
[14:05.040 --> 14:06.100]  Yeah, like I'm gonna do with the fridge.
[14:06.680 --> 14:07.860]  What did you call it? Profiteering?
[14:08.240 --> 14:10.320]  How many Bo Burnham vinyls do you have at this point? Three.
[14:10.960 --> 14:11.940]  Still have them? All three?
[14:13.760 --> 14:14.680]  Do you want one?
[14:15.380 --> 14:16.540]  I'm not opposed.
[14:16.780 --> 14:18.120]  I love that you have three.
[14:18.300 --> 14:20.620]  I assumed you would do something with it by this point.
[14:21.000 --> 14:23.120]  I've already sent you something different this week.
[14:23.180 --> 14:23.960]  Did... okay.
[14:24.380 --> 14:25.960]  Did it come through Amazon?
[14:26.940 --> 14:27.140]  Yeah.
[14:27.860 --> 14:29.100]  Oh boy.
[14:29.860 --> 14:31.380]  What happened? Did you reject it?
[14:31.920 --> 14:34.380]  Well, I got a call
[14:34.380 --> 14:35.440]  yesterday
[14:36.320 --> 14:38.040]  from someone that
[14:38.040 --> 14:40.600]  their call display was Ontario.
[14:40.900 --> 14:42.520]  Which I found very suspicious.
[14:42.520 --> 14:44.000]  It was just a region.
[14:44.680 --> 14:46.680]  And they called and they left a voicemail.
[14:47.000 --> 14:47.740]  It was hard to understand.
[14:47.820 --> 14:49.060]  It was breaking up and stuff.
[14:49.360 --> 14:50.900]  But they did say, I'm from Amazon.
[14:51.160 --> 14:52.560]  I'm trying to find where you live.
[14:53.000 --> 14:55.460]  And I thought, I didn't order anything from Amazon.
[14:55.780 --> 14:56.620]  This is suspicious.
[14:57.760 --> 14:59.260]  So I don't...
[14:59.260 --> 15:01.680]  Maybe check the status of that order?
[15:02.000 --> 15:02.580]  Oh shit.
[15:03.160 --> 15:03.920]  You should maybe see.
[15:04.320 --> 15:05.360]  Because I don't have it.
[15:05.660 --> 15:07.780]  But I definitely got called twice yesterday
[15:07.780 --> 15:10.160]  from somebody listed as Ontario.
[15:13.520 --> 15:15.880]  Well, I was sort of hoping it would arrive in time.
[15:17.120 --> 15:18.200]  Oh, it says shipped.
[15:18.820 --> 15:19.620]  That's what it says.
[15:20.320 --> 15:21.000]  So it might be unrelated.
[15:21.280 --> 15:23.640]  I did get to talk about something
[15:23.640 --> 15:24.900]  that will already be well out.
[15:25.000 --> 15:27.320]  I received the regulation listener
[15:27.320 --> 15:28.880]  and comment lever shirts.
[15:29.180 --> 15:31.580]  Oh, I haven't gotten those yet. I haven't either.
[15:31.880 --> 15:32.780]  Yeah, they're great.
[15:33.180 --> 15:35.040]  I mean, they're as designed.
[15:35.040 --> 15:37.720]  They're basic and they say what they should say on them.
[15:37.920 --> 15:39.000]  So maybe it's that.
[15:39.080 --> 15:40.620]  But that'd be wild if Amazon delivered that.
[15:40.680 --> 15:41.040]  I don't know.
[15:42.060 --> 15:45.080]  I'll keep my eyes open, though, for the Amazon package.
[15:45.640 --> 15:46.800]  We did a thing.
[15:47.240 --> 15:48.540]  Eric and I did a thing the other day.
[15:48.920 --> 15:49.320]  Yeah?
[15:49.780 --> 15:51.680]  We had a little bros night.
[15:52.180 --> 15:54.900]  Oh my god, I'm so glad we're going to talk about this.
[15:55.200 --> 15:56.760]  Oh yeah, how was bros night?
[15:57.220 --> 15:58.440]  Well, the film was amazing.
[15:58.760 --> 15:59.260]  Wasn't it, Eric?
[16:01.460 --> 16:02.680]  Ambulance might be
[16:02.680 --> 16:04.960]  the best movie I've ever seen
[16:04.960 --> 16:05.700]  in theatres.
[16:08.100 --> 16:08.660]  Absolutely
[16:10.360 --> 16:10.920]  unhinged
[16:10.920 --> 16:12.940]  film. I can't believe it exists
[16:12.940 --> 16:14.600]  and I had such a good time
[16:14.600 --> 16:16.660]  in this empty ass
[16:16.660 --> 16:17.140]  theatre.
[16:17.560 --> 16:20.540]  I loved it. I had such a good time.
[16:20.640 --> 16:22.720]  I genuinely believe that Michael Bay turns up
[16:22.720 --> 16:24.880]  on set and opens the case of lenses
[16:24.880 --> 16:26.820]  and takes the 18mm
[16:26.820 --> 16:28.840]  and the 35mm, but all the wide lenses
[16:28.840 --> 16:30.900]  and just throws them into the
[16:30.900 --> 16:32.760]  sea at the beginning of each filming day.
[16:33.340 --> 16:34.940]  Every single shot was like
[16:34.940 --> 16:36.820]  up Jake Gyllenhaal's nostrils
[16:36.820 --> 16:38.840]  or like in his eye. It's like
[16:38.840 --> 16:40.760]  the guy hates zooming out now.
[16:42.380 --> 16:43.040]  Is it
[16:43.040 --> 16:44.920]  a typical Michael Bay movie where the movie
[16:44.920 --> 16:46.920]  ends and then they surprise you with a whole other
[16:46.920 --> 16:47.660]  movie at the end?
[16:48.520 --> 16:50.640]  I missed the end, I'll be honest.
[16:50.780 --> 16:52.300]  I need to piss.
[16:53.140 --> 16:54.660]  No, it is
[16:54.660 --> 16:56.940]  I will say it is the
[16:56.940 --> 16:58.960]  most Michael Bay movie I think he's
[16:58.960 --> 17:00.980]  ever made in the way that it
[17:00.980 --> 17:02.840]  looks and feels and moves.
[17:02.960 --> 17:04.680]  It is like
[17:05.300 --> 17:07.180]  it's insane how crazy
[17:07.180 --> 17:08.300]  that movie is.
[17:08.840 --> 17:11.120]  Geoff, there is three minutes of exposition
[17:11.120 --> 17:12.580]  and then they are like
[17:12.580 --> 17:15.240]  off to the fucking races. And the exposition
[17:15.240 --> 17:16.920]  at the beginning is the funniest
[17:16.920 --> 17:19.240]  exposition you can do. It is
[17:19.240 --> 17:21.000]  my wife needs
[17:21.000 --> 17:23.120]  experimental surgery insurance
[17:23.120 --> 17:25.160]  provider and then they hang up on him
[17:25.160 --> 17:27.420]  and then he goes, time to go to work
[17:27.420 --> 17:28.960]  and it's insane.
[17:32.040 --> 17:33.460]  I hate getting up to
[17:33.460 --> 17:35.120]  piss, especially the first time I've seen a movie.
[17:35.400 --> 17:37.040]  But that movie was so freaking long
[17:37.040 --> 17:38.300]  and I accidentally
[17:40.200 --> 17:41.360]  misjudged how big
[17:41.360 --> 17:43.360]  a 32 ounce beer was
[17:44.200 --> 17:45.500]  and I ordered it on the counter.
[17:46.940 --> 17:47.500]  So by the
[17:47.500 --> 17:49.500]  end of it, I was writhing in my
[17:49.500 --> 17:51.140]  seat. I was like, this movie needs to end.
[17:51.300 --> 17:53.520]  We must be at the end. And then 20 minutes later
[17:53.520 --> 17:54.660]  I was like, oh God.
