[00:05.180 --> 00:06.480]  Previously on F*** Face.
[06:31.510 --> 06:32.830]  It would be terrible business.
[06:33.070 --> 06:36.970]  I will say I do think it legitimately pissed him off.
[06:36.990 --> 06:37.870]  Oh, absolutely.
[06:38.290 --> 06:39.630]  That's maybe the funniest part.
[06:39.690 --> 06:40.450]  What makes you say that?
[06:41.030 --> 06:46.230]  I can tell by his demeanor when we were together that he was he was certainly
[06:46.230 --> 06:51.330]  annoyed by it and and I think I think even more annoyed by how well it sold.
[06:51.830 --> 06:53.610]  How do we make it up to him?
[06:53.830 --> 06:54.870]  Why? I don't think we have to.
[06:55.110 --> 06:57.070]  I think I don't know.
[06:57.230 --> 06:58.630]  Maybe do we get him a gift basket?
[06:59.730 --> 07:01.030]  I don't think we have to.
[07:01.190 --> 07:02.610]  We can get him one of the shirts.
[07:02.850 --> 07:04.350]  Do you think that's a great idea?
[07:05.010 --> 07:09.390]  Maybe we could get him a special one that is like a unique color, like a one of one.
[07:09.390 --> 07:14.670]  Maybe we should put together a special face guilt basket that we send to people.
[07:16.170 --> 07:17.870]  And that's a great idea.
[07:20.290 --> 07:24.030]  Oh, we should come up with a standard selection of items that was a regulation
[07:24.030 --> 07:27.070]  basket. Yeah, we'll send it to the tuxedo.
[07:27.190 --> 07:28.070]  We'll send one to Jack.
[07:28.570 --> 07:29.990]  Oh, my God, we got to do that.
[07:30.710 --> 07:32.270]  What if we also promote him?
[07:32.950 --> 07:36.430]  What if we give him like a 10 day contract back to the big leagues and he could be
[07:36.430 --> 07:41.290]  minor league or he could be major league fan Jack on a 10 day expiring contract?
[07:45.850 --> 07:49.570]  Never mind. I'm going to do that to myself for now.
[07:50.710 --> 07:53.130]  I like that, Gavin, you're like, was he really mad?
[07:53.210 --> 07:57.850]  It's like, yeah, yeah, it's it's it's a joke based off of a thing he created.
[07:58.090 --> 08:01.390]  It's like something his number one interest, it seems like, of course,
[08:01.790 --> 08:04.510]  that would be something I'd be annoyed by, like it's not.
[08:05.130 --> 08:07.130]  Obviously, he would be upset by it.
[08:07.270 --> 08:10.850]  More people bought the shirt than listen to the podcast.
[08:13.830 --> 08:15.170]  That's. That's not true.
[08:16.590 --> 08:18.430]  No, we should be clear, that's not true.
[08:19.370 --> 08:20.350]  That's not true.
[08:20.750 --> 08:22.090]  It might be close, but it's not true.
[08:22.230 --> 08:24.930]  It's not true, but it's a really funny, mean thing to say.
[08:26.030 --> 08:27.790]  OK, I couldn't stop myself.
[08:27.870 --> 08:28.930]  It's obviously not true.
[08:29.210 --> 08:31.130]  It's not true. But I had to.
[08:31.250 --> 08:32.630]  Yeah, it had to come out.
[08:32.630 --> 08:35.090]  So I couldn't I couldn't swallow that poison.
[08:35.510 --> 08:39.250]  Oh, I feel like at this point we've we've got back at Jack not showing up
[08:39.250 --> 08:43.510]  to any of the break shit multiple times over at this point.
[08:43.830 --> 08:45.490]  Yeah. Yeah.
[08:45.850 --> 08:50.530]  Also, he said he wanted to go on that, but Eric didn't send him the calendar invite.
[08:50.950 --> 08:52.270]  Dude, that is.
[08:52.430 --> 08:55.690]  I talked to Geoff about that, like when we did this break shit yesterday.
[08:55.910 --> 08:58.510]  That fucking floored me.
[08:58.830 --> 09:02.290]  I was so like, I could not believe that he said that.
[09:02.290 --> 09:03.730]  And meant it like
[09:04.930 --> 09:09.870]  he was there when we were like going to record them.
[09:10.230 --> 09:12.490]  He was there and watch just set up.
[09:12.690 --> 09:15.350]  He hung out for like the better part of half an hour.
[09:15.470 --> 09:19.310]  And then it was getting on to Showtime and he went, well, see you later.
[09:19.770 --> 09:21.290]  I'm pretty sure we talked to him.
[09:21.610 --> 09:22.990]  Yes. About. Yes.
[09:23.610 --> 09:24.850]  It wasn't a secret.
[09:25.350 --> 09:28.030]  We told him over and over that we wanted him on.
[09:28.970 --> 09:30.510]  So like, no, I will.
[09:30.590 --> 09:31.830]  I won't stand for that.
[09:31.830 --> 09:32.990]  Like, that's ridiculous.
[09:33.290 --> 09:36.250]  He did this to himself and like everything else.
[09:36.350 --> 09:39.190]  He's done it to himself and only has himself to blame.
[09:39.690 --> 09:45.070]  I feel like he texted you that he was out or he texted Geoff in one of the first ones
[09:45.070 --> 09:47.930]  that like specifically there was a reach out by.
[09:48.030 --> 09:49.610]  Oh, my God. Like he was invited.
[09:49.830 --> 09:51.750]  He was on calendar invites for the first bunch.
[09:52.050 --> 09:52.950]  And that's what I like.
[09:53.010 --> 09:56.110]  He was like a last minute scratch from the first three of them, I think.
[09:56.410 --> 10:00.150]  I will. In defense of Jack, if you don't get a calendar invite,
[10:00.150 --> 10:03.550]  but you say your invite, it doesn't it's like a it feels like a 50.
[10:03.630 --> 10:05.230]  He's had he's had calendar invites.
[10:05.450 --> 10:08.290]  But if you have a calendar invite and you do not make it, then that is its own.
[10:08.630 --> 10:09.810]  I cannot. That's not defendable.
[10:10.050 --> 10:13.030]  What happens if you don't have a calendar invite, but you're there
[10:13.030 --> 10:16.970]  as everyone's setting up and about to go live with it and you know it's happening
[10:16.970 --> 10:19.030]  and you know, you haven't made the other one.
[10:19.130 --> 10:20.890]  So the invitation is still open.
[10:21.210 --> 10:24.370]  And people are saying shit like, it'd be cool to have you on today, man.
[10:24.830 --> 10:28.670]  Yeah. If somebody says to me, I'd like for you to be on this
[10:28.670 --> 10:31.530]  or it'd be really cool for you to be on this, then that goes out the window.
[10:31.830 --> 10:35.190]  If there's just an assumption of being welcome, then I'm kind of on his side.
[10:35.370 --> 10:37.710]  In that moment, the open invite doesn't.
[10:37.830 --> 10:39.150]  It's it's a tricky thing.
[10:39.530 --> 10:41.150]  It feels fake a lot of the time.
[10:41.530 --> 10:44.130]  I would be careful to get on not to get on Eric's bad side on this one.
[10:44.170 --> 10:47.010]  He's he's I don't I don't know what it would be.
[10:47.130 --> 10:49.730]  I don't understand how it would be tricky, Jack.
[10:49.810 --> 10:50.950]  We want you on this.
[10:50.990 --> 10:52.610]  And then that blew us off three.
[10:52.710 --> 10:55.230]  Hang on. And then he blew us off three times.
[10:55.230 --> 10:59.230]  And then we just kept doing these things and going like, would be cool if you came.
[10:59.410 --> 11:01.210]  And then he was there as we were setting up.
[11:01.270 --> 11:02.130]  I'll never forget that.
[11:02.330 --> 11:04.230]  We were there. He was there as we were setting up.
[11:04.330 --> 11:08.350]  And like, oh, is he I mean, really, it was he left.
[11:08.530 --> 11:09.410]  And me and Geoff just went.
[11:10.250 --> 11:11.470]  I mean, I didn't want to say anything.
[11:11.650 --> 11:13.670]  I had to see if he was going to stick around or not.
[11:13.750 --> 11:14.450]  And he just left.
[11:14.630 --> 11:16.850]  And it was like a solution for this. Yeah.
[11:17.290 --> 11:20.690]  The next break shit, we do it from wherever Jack is.
[11:22.810 --> 11:25.250]  Like a brakeshed flash mob.
[11:29.690 --> 11:30.970]  Table with wheels.
[11:31.910 --> 11:32.890]  Behind him.
[11:33.210 --> 11:36.890]  Are they going to let us open baseball cards at Universal Studios?
[11:37.130 --> 11:38.090]  Are they going to be OK with that?
[11:40.530 --> 11:42.410]  Doing rips on a roller coaster.
[11:42.770 --> 11:44.470]  Oh, my God. Somebody write this down.
[11:44.550 --> 11:45.350]  We'll forget about that.
[11:45.890 --> 11:47.770]  Oh, that's a great idea.
[11:49.950 --> 11:57.570]  Anyway, thanks to the comment leavers and the regulation listeners, both of you, for buying that shirt and being in on that joke.
[11:57.750 --> 12:04.810]  It was a phenomenal turnout. I love this listener base more than any I've ever been a part of, I think.
[12:05.510 --> 12:13.090]  I totally agree. I completely agree. I think that we've all cultivated quite a little community together, us and them.
[12:13.690 --> 12:17.990]  Speaking of, you know, it's funny. I have my tendrils everywhere in the company.
[12:18.230 --> 12:22.790]  And so I keep up on the comments and how all the different content is doing, and I read a lot.
[12:23.270 --> 12:30.790]  And I'm seeing comment leaver and regulation listener, as a preface, all over the place, outside of our face world now.
[12:30.930 --> 12:35.370]  I'm seeing like, hey guys, comment leaver here. I guess I'm a comment leaver now. I used to be a regulation listener.
[12:35.370 --> 12:41.430]  Anyway, I really like the new episode of RWBY, and it's just like, it has no ties to the **** base at this point.
[12:42.030 --> 12:43.710]  Which is very gratifying.
[12:44.610 --> 12:49.810]  If I read somewhere, I'm a big RWBY guy, I'll be very happy. Like, that'll be the cherry on top.
[12:51.430 --> 12:55.750]  Anyway, it's become a part of the vernacular, I guess is what I'm trying to say, which I really appreciate.
[12:56.290 --> 12:58.190]  Yeah, that's awesome. It's so funny.
[12:58.910 --> 13:06.450]  Hey, I spent some time... Eric mentioned we did a break shit yesterday. We did like a mini break shit, just he and I.
[13:08.810 --> 13:14.190]  Which, by the way, everybody else is invited to. We're gonna try to get the cadence up to doing it weekly.
[13:14.350 --> 13:18.150]  And we figure we'll do like three smaller ones that are just he and I, or me and somebody else.
[13:18.310 --> 13:21.650]  And then the big monthly one with the full cast and the soundboard and everything.
[13:23.090 --> 13:24.390]  Is that okay with you, Gavin?
[13:24.850 --> 13:28.670]  Well, yeah, Andrew and I were on Halo and we were trying to decide whether we were invited to that.
[13:29.810 --> 13:32.490]  Yeah, Emily was having the same confusion as well.
[13:32.750 --> 13:35.750]  Yeah, everybody's invited. I think we were just trying to pull something like...
[13:35.750 --> 13:39.710]  It was 60 minutes, it was in and out real fast. It was like a half the set setup.
[13:40.530 --> 13:45.330]  It was more just to try to get like... Not everyone has to be like a major production.
[13:45.710 --> 13:48.450]  But anyway, and then over the weekend, I spent some time with Eric.
[13:48.450 --> 13:52.190]  We went swimming together. Or whether we went to Barton Springs together.
[13:52.890 --> 13:57.610]  Also with 10-day expiring contract Major League Fan Jack was there as well.
[13:58.010 --> 14:01.550]  And I learned something about Eric. And I was gonna see what you guys think.
[14:02.090 --> 14:04.190]  You guys know Eric, our producer, Eric Badour, right?
[14:04.570 --> 14:05.010]  Yeah.
[14:05.450 --> 14:07.930]  Yeah. That last part was a burp. That was not part of his name.
[14:08.770 --> 14:12.650]  Would you guess him to be a water guy or not a water guy?
[14:13.110 --> 14:16.790]  Hmm. Well, he's from California.
[14:18.630 --> 14:19.590]  Southern California.
[14:20.410 --> 14:24.530]  But it has water on it. So I would say he's not a water guy.
[14:25.110 --> 14:30.930]  So you think because he's from San Diego, surrounded by water, he's not a water guy.
[14:31.470 --> 14:31.670]  Yeah.
[14:32.170 --> 14:38.550]  I'm trying to figure out if rats like water. And then making a choice based upon that information.
[14:38.690 --> 14:43.890]  I'm gonna say rats are not water guys. So I'm gonna agree with Gavin. Eric's not a water guy.
[14:43.890 --> 14:49.950]  I would have pegged Eric as a water guy through and through for a lot of reasons.
[14:51.470 --> 14:53.750]  Pretty much everybody who has a mustache is a water guy.
[14:54.710 --> 14:57.930]  He's got water guy glasses. He's from San Diego.
[14:58.490 --> 14:59.470]  Always in shorts.
[15:00.130 --> 15:07.890]  He's super into wrestling. And I feel like most people that are into wrestling are into shit like four wheelers and jet skis and fun stuff like that.
[15:07.890 --> 15:14.730]  I feel like if you like wrestling, you like water. You're like Kenny Powers likes water, you like water.
[15:15.350 --> 15:20.390]  And for all these reasons and the whole San Diego of it all, I just assumed he was a water guy.
[15:20.650 --> 15:23.030]  Went to Barton Springs. Not a water guy.
[15:23.410 --> 15:24.950]  Now what does that mean exactly?
[15:25.290 --> 15:27.890]  Well, that's the thing. It's not that I'm...
[15:27.890 --> 15:34.350]  I'm not a water guy like, hey, let's jump in this really deep water and then just tread water for a long time.
[15:34.350 --> 15:37.730]  Which is what we did for a long time.
[15:37.930 --> 15:41.670]  I mean, like the water was cold and it was nine feet deep and I just kept kicking.
[15:43.250 --> 15:51.450]  When I think of going to the water or going to the beach, I like being near the water with a drink in my hand.
[15:51.690 --> 15:57.510]  And then Sublime is playing from a radio or a cover band not too far away.
[15:58.010 --> 16:01.430]  That is my ideal water scenario.
[16:01.750 --> 16:04.030]  So I'm like a near water guy.
[16:04.030 --> 16:07.430]  I'm just not necessarily... yeah, I don't like being in...
[16:07.430 --> 16:11.650]  Yeah, I just don't think I've ever been in water and gone like, ah, the right temperature.
[16:11.910 --> 16:14.590]  It's always very cold.
[16:14.990 --> 16:16.610]  And I don't like... it's tough.
[16:16.830 --> 16:19.570]  When I saw him yesterday, so we went on Sunday.
[16:19.830 --> 16:22.650]  We were all celebrating Mother's Day together, Jack and Eric and I.
[16:23.470 --> 16:24.330]  By going swimming.
[16:24.970 --> 16:26.210]  With our significant others.
[16:27.850 --> 16:31.250]  And anyway, when I saw him on Wednesday to do the break shit, he goes,
[16:31.250 --> 16:38.350]  You know what it's like when you're in the water and you can't touch the bottom and you dip down and you touch the bottom and the bottom is slimy?
[16:39.210 --> 16:40.630]  And you wonder, what is that?
[16:40.730 --> 16:41.570]  And I'm like, yeah, I guess.
[16:41.630 --> 16:44.250]  And he's like, I haven't stopped thinking about that for four days.
[16:44.530 --> 16:45.130]  Yeah, yes.
[16:45.310 --> 16:47.910]  Yeah, like the weeds and algae and all that stuff in there.
[16:48.290 --> 16:53.630]  I didn't realize how deep nine feet is until you jump in and go all the way to the bottom.
[16:53.630 --> 16:54.770]  And then it's slimy.
[16:54.910 --> 16:58.390]  And then you have to kick as hard as you can all the way up.
[16:58.390 --> 17:00.850]  And you just go like, oh, I'm never going to forget this.
[17:00.850 --> 17:01.830]  Probably as long as I live.
[17:02.250 --> 17:12.430]  I think the scariest thing to me about water that's around, like if you're in water and it's like 10 or 11 feet deep, it's just the same as it being 450 feet deep.
[17:12.730 --> 17:14.670]  It's the same level of fear.
[17:15.130 --> 17:16.750]  Absolutely agree with you.
[17:16.870 --> 17:20.590]  A hundred percent. Nine feet might as well be the Mariana Trench.
[17:20.850 --> 17:23.510]  It's all bad and I don't like it.
[17:24.250 --> 17:25.710]  Why is the depth intimidating?
[17:26.210 --> 17:30.850]  Because what's down there and also what touched me and also how do I get out of it?
[17:30.970 --> 17:33.910]  I don't and it's something could grab me at any moment.
[17:34.030 --> 17:36.190]  What the freshwater sharks?
[17:36.350 --> 17:36.910]  I don't know.
[17:37.250 --> 17:41.570]  I guess I don't I don't associate depth with those feelings or concerns.
[17:41.790 --> 17:43.190]  That is my number one concern.
[17:43.270 --> 17:47.430]  And like the ocean, what a fucking shark eats me or whatever ridiculous thought.
[17:47.530 --> 17:49.730]  But depth never comes into play.
[17:49.730 --> 17:52.690]  So that makes me question.
[17:52.950 --> 17:57.610]  Andrew, would you consider yourself a water guy, not a water guy or a near water guy?
[17:57.910 --> 17:59.890]  I am, I think, the biggest water guy.
[17:59.990 --> 18:02.110]  But I think there's different classes of water guy.
[18:02.210 --> 18:04.090]  Am I a water sports guy?
[18:04.210 --> 18:05.830]  No, I'm not a water sports guy.
[18:06.030 --> 18:07.330]  Love being in the water.
[18:07.630 --> 18:09.050]  Love being around the water.
[18:09.150 --> 18:09.710]  You love your knots?
[18:10.310 --> 18:10.850]  Don't I?
[18:11.810 --> 18:12.590]  Terrible knots.
[18:12.910 --> 18:14.270]  But I do not.
[18:14.650 --> 18:15.530]  I'm not going to ride.
[18:15.710 --> 18:18.450]  I'm not going to ride a jet ski type thing that doesn't appeal to me.
[18:18.450 --> 18:21.850]  I mean, I'm willing to, but that's not a thing I'm excited about.
[18:22.050 --> 18:26.750]  I think the only vehicle classification I'd say I get maybe excited about on the water is a kayak.
[18:27.150 --> 18:27.910]  A kayak guy.
[18:28.490 --> 18:29.170]  Love a good kayak.
[18:29.390 --> 18:34.210]  But outside of that, I'd say I'm generally an in the water guy would be my highest water ranking.
[18:34.550 --> 18:36.250]  I think that makes total sense.
[18:36.470 --> 18:39.570]  Okay, Nick, I'd like to ask you as well.
[18:39.710 --> 18:40.750]  Would you consider yourself a...
[18:40.750 --> 18:41.630]  Nick, I gotta be honest.
[18:41.770 --> 18:43.110]  You look like a big water guy to me.
[18:43.290 --> 18:44.450]  You seem like a huge water guy.
[18:44.630 --> 18:45.130]  Love water.
[18:45.350 --> 18:45.890]  I thought so.
[18:45.950 --> 18:47.170]  Big water guy. Absolutely.
[18:47.170 --> 18:49.110]  Don't get enough of it because, you know, Texas.
[18:49.570 --> 18:51.030]  Yeah, yeah, yeah.
[18:51.290 --> 18:53.810]  Well, at least I'm not losing my mind then.
[18:53.930 --> 18:55.130]  I have a question for Eric then.
[18:55.490 --> 18:56.910]  Eric, are you a hot tub guy?
[18:57.070 --> 18:58.470]  Is this a temperature issue mainly?
[18:59.070 --> 19:02.410]  Would you hop in a hot tub at every available opportunity?
[19:02.930 --> 19:06.110]  I don't know about every available opportunity, but like I have...
[19:06.110 --> 19:08.030]  I like spending time in a hot tub.
[19:08.150 --> 19:11.850]  Again, I like being near the water.
[19:11.850 --> 19:23.430]  So it... the same thing holds where if there's a hot tub and I have a drink in my hand and Sublime is on a radio or there is a cover band playing Sublime, I'm thrilled.
[19:23.690 --> 19:26.910]  I don't have to be in the water to be having a good time.
[19:27.110 --> 19:29.190]  But you wouldn't go in a nine foot deep hot tub?
[19:29.470 --> 19:32.050]  That sounds so... can you imagine?
[19:32.530 --> 19:33.550]  Oh my god.
[19:33.750 --> 19:35.390]  That's the scariest fucking thing.
[19:35.450 --> 19:37.430]  That's just all... that's like a hole.
[19:37.650 --> 19:40.450]  It's just four feet wide but nine feet down.
[19:40.450 --> 19:42.230]  Air and come up in the drown tube.
[19:42.270 --> 19:43.790]  Oh my god.
[19:44.110 --> 19:46.550]  Well, there's one way down and no ways up.
[19:47.190 --> 19:51.650]  That's like a giant stock pot from fucking... like when you see Bugs Bunny characters cooking each other.
[19:52.230 --> 19:52.750]  God damn.
[19:54.130 --> 19:57.390]  Gavin, water guy, near the water guy, not a water guy?
[19:57.790 --> 19:58.750]  Yeah, I love the water guy.
[20:00.090 --> 20:01.750]  Love the water guy?
[20:02.170 --> 20:03.390]  Big Kevin Costner fan.
[20:03.710 --> 20:03.990]  Love him.
[20:04.370 --> 20:04.870]  What a guy.
[20:05.070 --> 20:08.130]  I would say once I'm acclimatized, I can't get enough of it.
[20:08.130 --> 20:11.970]  Especially in the ocean, like being in the sea, getting pelted by the waves.
[20:12.610 --> 20:14.350]  Can we get a love the water guy shirt now?
[20:14.490 --> 20:17.650]  Yeah, I'm just imagining the water boy but it's the water guy.
[20:18.050 --> 20:25.250]  We have a tendency, even when we're joking, like I saw a bunch of people that are like, I would like a shirt haver shirt please or a shirt wearer shirt please.
[20:25.590 --> 20:31.370]  We gotta not beat that shit into the ground because I would be definitely tempted to dumb shirt my way into the poor house.
[20:31.370 --> 20:37.110]  You know what, Meg said she would absolutely buy a shirt haver slash shirt buy a shirt.
[20:37.390 --> 20:41.350]  I think shirt haver is something we probably should do.
[20:41.550 --> 20:43.310]  What if we put it on a koozie?
[20:44.210 --> 20:45.110]  I guess...
[20:45.110 --> 20:46.010]  Why?
[20:47.510 --> 20:49.770]  Why can't we just put it on a shirt?
[20:50.410 --> 20:51.050]  We can do that too.
[20:52.210 --> 20:52.950]  We can do that too.
[20:53.510 --> 20:56.550]  You want a koozie to say shirt haver?
[20:58.050 --> 20:59.170]  No, hang on.
[20:59.370 --> 21:02.670]  Typically when I have a koozie, I don't have a shirt on.
[21:02.930 --> 21:06.330]  I'm drinking near the water and there's no shirt.
[21:09.410 --> 21:11.390]  I'm just trying really hard to make koozies happen.
