[00:09.760 --> 00:10.680]  I
[07:52.280 --> 07:54.320]  fucking pocket. I turn off like the always
[07:54.320 --> 07:56.580]  listing part but I think it's on in general
[07:57.100 --> 07:58.300]  Well I'm a Siri user
[07:58.300 --> 08:00.400]  again now because it's the only way I can get CarPlay to work
[08:00.400 --> 08:01.880]  but I want my two years back
[08:01.880 --> 08:04.000]  I can't believe that nothing on Google
[08:04.000 --> 08:06.140]  came up with that. That's crazy. Nothing
[08:06.140 --> 08:08.200]  and I never got that error message before
[08:08.200 --> 08:09.840]  Yeah that's also very weird
[08:10.740 --> 08:11.220]  but
[08:12.000 --> 08:14.160]  regardless it's my fault and I should have
[08:14.160 --> 08:15.840]  tried that. I should have thought of that
[08:15.840 --> 08:17.760]  I wouldn't have thought of that
[08:18.360 --> 08:20.020]  Yeah they seem so disconnected
[08:20.020 --> 08:22.140]  I wouldn't make the assumption that those two would
[08:22.140 --> 08:24.240]  be synced. Years 46
[08:24.240 --> 08:26.260]  to 48 of my life were lesser
[08:26.260 --> 08:28.120]  than they should have been and I'm a little
[08:28.120 --> 08:30.300]  pissed off about it. But I'm only mad at me
[08:30.300 --> 08:32.120]  It wasn't anything to do
[08:32.120 --> 08:33.560]  with the massive pandemic
[08:33.560 --> 08:36.440]  it was the fact that CarPlay didn't work
[08:36.440 --> 08:37.760]  Listen, I've already
[08:37.760 --> 08:39.780]  accounted for the pandemic
[08:39.780 --> 08:42.040]  and I've figured that out. This is new information
[08:42.040 --> 08:44.220]  that I'm dealing with. This is a new disappointment
[08:45.100 --> 08:45.580]  Ugh
[08:46.940 --> 08:48.040]  And Gracie said
[08:48.040 --> 08:49.940]  she would have asked Siri how to solve the problem
[08:51.400 --> 08:52.380]  That would have worked
[08:52.380 --> 08:54.340]  I talked about the caviar phone
[08:54.960 --> 08:55.860]  last episode
[08:55.860 --> 08:57.520]  the idea of the caviar phone
[08:58.020 --> 09:00.640]  I have bought a caviar phone
[09:00.640 --> 09:03.120]  The problem is
[09:03.120 --> 09:04.920]  it's not my caviar phone
[09:04.920 --> 09:06.800]  my normal phone just doesn't
[09:06.800 --> 09:08.300]  work. It's broken
[09:08.640 --> 09:10.600]  Do not
[09:10.600 --> 09:12.540]  buy refurbished phones
[09:12.540 --> 09:14.300]  is a lesson I've had to realize
[09:14.720 --> 09:16.720]  I have a Google
[09:16.720 --> 09:18.860]  Pixel graveyard at my desk
[09:18.860 --> 09:20.840]  I am finding pixels I didn't
[09:20.840 --> 09:22.840]  know I had. This is my fourth
[09:22.840 --> 09:24.880]  Pixel. I've gone through four Google
[09:24.880 --> 09:26.740]  Pixels in probably three years
[09:26.740 --> 09:28.740]  each one breaking in a different way
[09:28.740 --> 09:30.280]  The most recent one
[09:30.280 --> 09:31.400]  similar to Geoff's
[09:31.400 --> 09:33.860]  it just doesn't connect to my mobile network
[09:33.860 --> 09:35.680]  It just will not connect no matter what I do
[09:35.680 --> 09:37.460]  I factory reset it
[09:37.460 --> 09:39.600]  I've tried to reboot in safe mode
[09:39.600 --> 09:40.940]  I've done all these things
[09:40.940 --> 09:43.320]  Googling and it just seems to be a bug
[09:43.320 --> 09:45.600]  where they're like yeah they updated the security at one point
[09:45.600 --> 09:47.800]  and now sometimes it just doesn't connect for people
[09:47.800 --> 09:48.480]  with certain phones
[09:48.480 --> 09:49.820]  So it used to?
[09:50.160 --> 09:51.180]  It used to I guess
[09:51.180 --> 09:54.940]  but this one has had this problem since I bought it refurbished
[09:54.940 --> 09:56.940]  but when I would reboot it
[09:56.940 --> 09:58.960]  it would work and then last night
[09:58.960 --> 10:01.180]  it just stopped working entirely
[10:01.180 --> 10:03.540]  it just will not sync no matter what I do
[10:03.540 --> 10:05.340]  Are you sure it's not locked to a different
[10:05.340 --> 10:06.620]  network? Positive
[10:06.620 --> 10:09.100]  I went through the whole process to make sure it's unlocked
[10:09.100 --> 10:09.900]  and all that stuff
[10:09.900 --> 10:12.080]  It just will not connect
[10:12.080 --> 10:15.140]  and it seems to be a common problem that there isn't really
[10:15.140 --> 10:17.120]  a specific fix for outside
[10:17.120 --> 10:18.640]  of like replacing the motherboard
[10:19.140 --> 10:21.040]  which is more complicated than
[10:21.040 --> 10:21.640]  I want to do
[10:21.640 --> 10:23.740]  I don't want to take it in because it's a
[10:23.740 --> 10:25.920]  refurbished, like it's a piece of shit essentially
[10:25.920 --> 10:28.080]  but I'm done with refurbished phones
[10:28.080 --> 10:29.700]  and I've now ended up with a
[10:29.700 --> 10:30.580]  caviar phone
[10:32.140 --> 10:32.940]  for myself
[10:33.420 --> 10:35.620]  which is, I actually don't own it yet
[10:35.620 --> 10:36.920]  I shouldn't say I own one yet
[10:36.920 --> 10:39.600]  I went to buy it and I put in my
[10:39.600 --> 10:41.300]  information and it said great
[10:42.580 --> 10:43.780]  my bank then
[10:43.780 --> 10:45.680]  sent a notification saying through the
[10:45.680 --> 10:47.840]  website we have texted your phone
[10:47.840 --> 10:49.540]  to confirm that you want to go through this
[10:49.540 --> 10:51.220]  So I am unable
[10:52.200 --> 10:53.560]  I'm unable to do
[10:53.560 --> 10:55.500]  I think I'm just done with Google in general
[10:55.500 --> 10:57.740]  I hate Google so much
[10:57.740 --> 10:59.100]  I was trying to recover
[10:59.640 --> 11:01.140]  complete aside, an email
[11:01.640 --> 11:03.380]  I knew the password to the account
[11:03.380 --> 11:06.180]  You got like another level of angry mid-sentence
[11:06.180 --> 11:07.780]  I'm not mad, I'm just thinking about
[11:07.780 --> 11:08.800]  my Google issues recently
[11:08.800 --> 11:11.740]  I set up an email
[11:11.740 --> 11:13.380]  for my mom in like 2016
[11:14.080 --> 11:15.820]  and there was an issue with it
[11:15.820 --> 11:16.980]  and she couldn't get into her Pinterest
[11:16.980 --> 11:19.280]  and so I said I'd try to
[11:19.280 --> 11:21.280]  figure it out for her and I went through it
[11:21.280 --> 11:23.200]  I determined what the password is
[11:23.200 --> 11:25.160]  I have the recovery email sent
[11:25.160 --> 11:27.120]  to my alternate email so I was getting
[11:27.120 --> 11:28.280]  like hey this is you emails
[11:28.280 --> 11:31.160]  the only problem is the phone it was
[11:31.160 --> 11:32.920]  connected to was her landline
[11:32.920 --> 11:35.220]  that doesn't exist anymore, it's long gone
[11:35.220 --> 11:36.380]  it was a landline number
[11:36.960 --> 11:39.140]  so I'd go to that and I'd say well I don't
[11:39.140 --> 11:41.180]  have this number and they'd say well go fuck yourself
[11:41.180 --> 11:43.260]  we need that. Why is it not
[11:43.260 --> 11:45.440]  enough for me to know the password to the account
[11:45.440 --> 11:47.440]  have the alternate email
[11:47.440 --> 11:49.760]  I have every piece, they're just like you don't have
[11:49.760 --> 11:51.460]  all four of what you need
[11:51.460 --> 11:53.660]  having the password for the account and the alternate
[11:53.660 --> 11:55.780]  what's the point of having an alternate email
[11:55.780 --> 11:57.020]  on it? I hate Google
[11:57.520 --> 11:59.600]  I don't even have a caviar phone yet I'm gonna have to
[11:59.600 --> 12:01.660]  fucking go to 7-Eleven to try to
[12:01.660 --> 12:03.600]  buy a phone, it's a nightmare, I'm living in
[12:03.600 --> 12:05.520]  phone hell. Can you imagine
[12:05.520 --> 12:07.480]  explaining that problem to your
[12:07.480 --> 12:09.700]  grandfather in like 1955?
[12:11.960 --> 12:13.660]  It was tough to explain
[12:13.660 --> 12:15.060]  to my mom in 2023
[12:16.720 --> 12:17.800]  this is what
[12:17.800 --> 12:19.640]  passes for problems in our future
[12:19.640 --> 12:21.880]  you'd be explaining to him all the things
[12:21.880 --> 12:23.880]  that aren't invented yet that you need
[12:23.880 --> 12:25.080]  to use a telephone
[12:26.300 --> 12:27.540]  to use a telephone
[12:28.500 --> 12:29.740]  and he's like hey just go
[12:29.740 --> 12:31.560]  down to the fucking
[12:31.560 --> 12:33.700]  Ma Bell and just rent a new phone
[12:33.700 --> 12:35.880]  what are you talking about? They come in three
[12:35.880 --> 12:36.340]  colors
[12:38.520 --> 12:39.880]  also while you were telling that
[12:39.880 --> 12:41.840]  hilarious story Andrew, I googled
[12:41.840 --> 12:44.240]  caviar phone just for the hell of it and it exists
[12:44.240 --> 12:46.380]  what? yeah those look awesome
[12:46.380 --> 12:48.200]  sublime luxury samsung
[12:48.200 --> 12:48.700]  galaxy
[12:49.860 --> 12:51.940]  is it like a rebranded samsung
[12:51.940 --> 12:53.420]  by caviar? it looks like it
[12:55.060 --> 12:55.860]  that is
[12:55.860 --> 12:58.240]  deluxe, I can't wait for you to get one of those
[12:58.240 --> 12:59.820]  nah I don't think they're gonna have that
[12:59.820 --> 13:01.220]  at the corner store but I'll let you know
[13:01.220 --> 13:03.960]  I'll text you in 6 days when I'm
[13:03.960 --> 13:05.960]  able to activate this thing
[13:05.960 --> 13:07.380]  and do all that shit, oh it's a nightmare
[13:07.960 --> 13:09.780]  so what broke on the phone that
[13:09.780 --> 13:10.820]  the pixel that I sent you?
[13:11.200 --> 13:14.180]  I dropped it on the bed
[13:14.180 --> 13:15.620]  and the screen
[13:15.620 --> 13:16.580]  turned off
[13:16.580 --> 13:19.360]  and that's different to the one that you
[13:19.980 --> 13:20.540]  bit
[13:20.540 --> 13:23.200]  I think that damaged the integrity
[13:23.200 --> 13:24.600]  I think that was the same phone
[13:24.600 --> 13:26.840]  I think that weakened the screen integrity
[13:26.840 --> 13:30.240]  and then I like dropped it face first
[13:30.240 --> 13:31.760]  on a soft
[13:31.760 --> 13:33.980]  bed and the screen just went out
[13:33.980 --> 13:36.200]  it was like barely holding on I guess
[13:36.200 --> 13:37.800]  then the one after that
[13:38.900 --> 13:39.800]  was a
[13:39.800 --> 13:41.440]  I think that was on me
[13:41.440 --> 13:43.100]  I think I dropped it in the tub
[13:43.100 --> 13:44.580]  that was a tub issue
[13:44.580 --> 13:47.660]  the third one, the screen
[13:47.660 --> 13:49.340]  also just randomly died
[13:49.340 --> 13:51.940]  and the fourth one will not
[13:51.940 --> 13:53.800]  connect to my network no matter what I do
[13:54.480 --> 13:55.440]  it's pointless
[13:55.840 --> 13:57.660]  as currently, here's the issue too
[13:57.660 --> 13:59.920]  when I set it up, when I factory
[13:59.920 --> 14:01.960]  reset it, I don't know my gmail
[14:01.960 --> 14:03.600]  password and with my gmail history
[14:03.600 --> 14:05.920]  I'm scared to like, an easy way to
[14:05.920 --> 14:08.160]  figure it out is you sign out and then if it's
[14:08.160 --> 14:10.340]  saved in your computer, it'll autofill
[14:10.340 --> 14:11.960]  and then you can click show password
[14:11.960 --> 14:13.940]  I'm scared to do it because I bet you
[14:13.940 --> 14:16.040]  if I do sign out, it will ask to like
[14:16.040 --> 14:18.040]  text my phone to confirm that
[14:18.040 --> 14:20.340]  and I'll just go through that cycle again, so I can't do that
[14:20.340 --> 14:22.120]  so I just, my phone currently
[14:22.120 --> 14:23.740]  is essentially just an alarm clock
[14:23.740 --> 14:26.000]  the only functionality I have on it
[14:26.000 --> 14:27.880]  I know you don't want other people's old phones anymore
[14:27.880 --> 14:29.940]  but if it helps, I have an iPhone 13
[14:29.940 --> 14:32.100]  here that as of yesterday connects
[14:32.100 --> 14:33.700]  to CarPlay, that's a pretty cool feature
[14:33.700 --> 14:35.820]  well that's pretty cool, also I'm willing to join
[14:35.820 --> 14:37.360]  the villain side now, I know you guys
[14:37.800 --> 14:39.760]  tick on my bubbles, the videos
[14:39.760 --> 14:41.980]  that won't process correctly, me being the Android
[14:41.980 --> 14:43.620]  guy in the text chats, I
[14:43.620 --> 14:46.000]  this is the closest I've been to joining the other
[14:46.000 --> 14:48.280]  side. Well my biggest issue is that I can't
[14:48.280 --> 14:49.540]  I don't have any signal
[14:49.540 --> 14:51.880]  and it takes me like 17
[14:51.880 --> 14:53.780]  attempts to send you one picture and then
[14:53.780 --> 14:55.720]  I'm pretty sure you get them 17 times
[14:55.720 --> 14:57.580]  even though it says message not sent
[14:57.580 --> 14:59.900]  well you did recently send me a
[14:59.900 --> 15:01.820]  three ha ha ha ha but
[15:01.820 --> 15:03.820]  it went through twice so I counted that as a six
[15:03.820 --> 15:04.280]  oh
[15:06.020 --> 15:08.220]  I did that as a good, I boosted
[15:08.220 --> 15:09.800]  myself, I gave myself a little bump
[15:09.800 --> 15:11.480]  in the ranks of how funny what I sent you was
[15:14.320 --> 15:15.820]  wow a three
[15:15.820 --> 15:17.540]  ha's huh? Oh
[15:17.540 --> 15:19.740]  six actually, well before
[15:19.740 --> 15:21.900]  yeah, were you afraid you were having
[15:21.900 --> 15:23.960]  an off day there or something? No a three ha
[15:23.960 --> 15:25.540]  is like fine, I'm okay with a three ha
[15:25.540 --> 15:27.960]  that's good. That's a pretty fucking bare minimum
[15:27.960 --> 15:29.860]  I think. Well you're very
[15:29.860 --> 15:32.380]  you're generous with your ha's, you're like a ten ha guy
[15:33.200 --> 15:33.840]  you can
[15:33.840 --> 15:35.720]  send eight ha's and it's a base hit
[15:35.720 --> 15:37.660]  you get a two or a three ha from me
[15:37.660 --> 15:40.120]  that's... I did not
[15:40.120 --> 15:42.120]  yeah no you're right it's a different scale
[15:42.120 --> 15:43.720]  for you but for Gavin a three ha's
[15:43.720 --> 15:46.140]  that was funny. I think I've noticed with Eric
[15:46.140 --> 15:48.000]  I think Eric's more of a lol guy
[15:48.000 --> 15:50.220]  I made a conscious effort
[15:50.220 --> 15:51.820]  last year that I
[15:52.380 --> 15:54.000]  ha ha ha is a
[15:54.000 --> 15:55.880]  good response sometimes when something I find
[15:55.880 --> 15:57.640]  genuinely funny. LOL
[15:57.640 --> 15:59.660]  has a great
[15:59.660 --> 16:01.680]  condescending tone to it that
[16:01.680 --> 16:03.700]  I have really adopted and
[16:03.700 --> 16:05.800]  since last year I've been hanging on
[16:05.800 --> 16:07.560]  to it so I've been an LOL
[16:07.560 --> 16:09.800]  all lowercase LOL guy
[16:09.800 --> 16:11.840]  for a little while now. Oh I don't know what that
[16:11.840 --> 16:13.900]  says about me and my messages to you. No I think it's good
[16:13.900 --> 16:15.560]  because they're funny but at the same time
[16:15.560 --> 16:17.820]  I want you to read it and go is that a little
[16:17.820 --> 16:19.280]  bit condescending? And
[16:19.840 --> 16:20.200]  maybe
[16:21.480 --> 16:23.840]  this is what I think of when I hear LOL
[16:23.840 --> 16:26.080]  now. Oh LOL surprise
[16:26.080 --> 16:28.320]  I don't know what those are. What is that?
[16:29.160 --> 16:30.260]  I've seen them all over the
[16:30.260 --> 16:31.160]  place but I don't know.
[16:32.560 --> 16:34.200]  Emily's sister's kids are really into
[16:34.200 --> 16:36.260]  them so I see them opened up a lot at
[16:36.260 --> 16:37.160]  Christmases and birthdays.
[16:38.300 --> 16:40.120]  Is it like a... Hold on
[16:40.120 --> 16:42.200]  Gracie said there's a freaky scandal with
[16:42.200 --> 16:44.360]  those dolls. Somebody get Gracie a microphone
[16:44.360 --> 16:46.200]  god damn it. We're already on it
[16:46.200 --> 16:48.100]  um well yeah
[16:48.100 --> 16:50.320]  Gracie jump off mute. Sorry if this part
[16:50.320 --> 16:52.160]  sounds bad but yeah. Okay well I don't
[16:52.160 --> 16:54.240]  have a mic but if you dip the
[16:54.240 --> 16:56.300]  dolls in cold water their clothes come off and they're
[16:56.300 --> 16:58.300]  wearing like bondage. Is
[16:58.300 --> 16:59.100]  that true though?
[17:00.020 --> 17:02.300]  I will show you a picture. I had to do my entire project
[17:02.300 --> 17:04.120]  on it. Is that the LOL surprises?
[17:08.000 --> 17:08.440]  LOL
[17:08.440 --> 17:08.820]  LOL
[17:08.820 --> 17:10.340]  Surprise! S&M
[17:10.340 --> 17:11.060]  um
[17:13.140 --> 17:14.600]  That's wild. Yeah I didn't
