[00:07.530 --> 00:08.250]  We're live!
[05:27.490 --> 05:30.490]  Oh, wow. So like, oh, I kind of did the very first one of the Kuna.
[05:30.590 --> 05:31.490]  Yeah, yeah, yeah, yeah, yeah.
[05:31.490 --> 05:32.590]  They'd make it a one of one.
[05:32.750 --> 05:36.030]  They were going to put this big thing on it that says first print.
[05:36.070 --> 05:36.450]  Yeah. Right.
[05:36.830 --> 05:38.170]  And there's nothing different about the card.
[05:38.230 --> 05:39.650]  It's not laminated. It's the first one.
[05:40.190 --> 05:41.330]  And they made those.
[05:41.570 --> 05:45.490]  But they forgot to put the first print symbol on the front.
[05:45.490 --> 05:48.890]  So people are just getting base cards that say one of one on the back
[05:48.890 --> 05:50.030]  and they don't know what to do with them
[05:50.750 --> 05:52.730]  because they completely drop the ball on it.
[05:52.750 --> 05:56.310]  So and most people don't think to look at the back of their regular space card.
[05:56.410 --> 05:57.770]  So there's probably hundreds out there.
[05:58.010 --> 05:59.910]  Well, there can only be a couple of hundred, right?
[05:59.910 --> 06:01.330]  Because only 400 cards in the set or whatever.
[06:01.510 --> 06:04.870]  But there's most of them will probably never be seen when it's nobody.
[06:05.530 --> 06:07.590]  When it's everybody's job, it's nobody's job.
[06:08.410 --> 06:10.290]  When somebody goes, dude, isn't this a cool idea?
[06:10.330 --> 06:11.730]  And then no one's in charge of it.
[06:11.730 --> 06:15.410]  You get one of one on the back of some Ronald Jr. cards.
[06:15.530 --> 06:16.430]  Yeah, they're just base.
[06:16.790 --> 06:19.470]  So then you once you open and then you flip it over and just check.
[06:19.550 --> 06:21.230]  I have to do an extra check on the back.
[06:21.590 --> 06:22.550]  That sucks.
[06:22.770 --> 06:23.510]  It's kind of annoying.
[06:24.490 --> 06:25.790]  But what did we get last time?
[06:25.850 --> 06:27.850]  And then all this other stuff that we have that we're before we get to that.
[06:27.890 --> 06:30.250]  You know, I was going to say we have this old Topps magazine
[06:30.250 --> 06:32.110]  that somebody sent into us from 1992.
[06:32.570 --> 06:34.850]  I loved I think we all loved Martin Maguire back then.
[06:35.950 --> 06:37.510]  And I never opened it up yet.
[06:37.550 --> 06:39.670]  And then I just opened it up today and realized there's cards in it.
[06:39.670 --> 06:42.270]  Speaking of that, there's my Larry Bird rookie that I upgraded.
[06:43.150 --> 06:48.270]  We got Mike Messina, Barry Larkin, Juan Gonzalez,
[06:48.410 --> 06:50.150]  who we have an auto baseball club.
[06:50.510 --> 06:51.870]  And then Dion, Neon Dion.
[06:52.890 --> 06:54.690]  Neon Dion, he had so many nicknames.
[06:54.970 --> 06:55.830]  Yeah, primetime, baby.
[06:56.390 --> 07:00.690]  Roberto Alomar, Fred the Crime Dog McGriff, Doug Drabeck and George Brett.
[07:01.030 --> 07:01.910]  Cool. That's cool.
[07:02.170 --> 07:02.830]  Love you, Crime Dog.
[07:03.010 --> 07:04.250]  Boys of Summer, Books of Summer.
[07:04.610 --> 07:05.730]  All right. So let's set that aside.
[07:05.810 --> 07:06.190]  I thought that was awesome.
[07:06.430 --> 07:07.270]  OK, what's next?
[07:07.270 --> 07:10.330]  What's next is last week we opened up or two weeks ago.
[07:10.490 --> 07:11.810]  We opened up a bunch of stuff.
[07:11.990 --> 07:13.750]  There wasn't really anything interesting to talk about,
[07:13.890 --> 07:16.150]  but I did think this one would be worth revisiting.
[07:16.270 --> 07:19.810]  OK, if you remember, we opened up a blind video game box.
[07:19.810 --> 07:21.170]  Oh, that's right. Yeah. NES box.
[07:21.250 --> 07:22.010]  And we got Mega Man.
[07:22.150 --> 07:23.290]  That wasn't graded, though.
[07:23.290 --> 07:25.070]  It's not graded or anything, but I looked it up.
[07:25.130 --> 07:26.350]  It sells for about 100 bucks.
[07:27.130 --> 07:28.050]  Mega Man? Yeah.
[07:28.150 --> 07:31.610]  Eighty to one hundred dollars in this exact condition.
[07:31.710 --> 07:35.250]  Really? Without if it had if it was graded,
[07:35.250 --> 07:37.850]  if it had the it was unopened, it had the box.
[07:37.970 --> 07:39.790]  It'd be like multiple thousands.
[07:40.030 --> 07:44.050]  I have a friend who runs all the social for a thing called Cheap Ass Gamer.
[07:44.150 --> 07:45.950]  It's all like that. That stuff from my friend Jared.
[07:46.230 --> 07:49.650]  And he does that. He collects games like in box, like
[07:49.650 --> 07:52.710]  and he tells me about the difference in like this one has packaging.
[07:52.810 --> 07:54.110]  This one has the instruction booklet.
[07:54.290 --> 07:55.390]  This one doesn't have any of that stuff.
[07:55.390 --> 07:58.110]  And like the amount varies wildly.
[07:58.170 --> 08:01.090]  And people collecting that stuff, dude, that is so fucking crazy.
[08:01.210 --> 08:02.270]  Yeah, that's wild.
[08:02.270 --> 08:06.370]  If you have look at your old physical media, just take a look at it.
[08:06.530 --> 08:08.550]  Physical media is taken off as a collectible.
[08:08.650 --> 08:10.870]  And it's only going to become more sought after, I think,
[08:11.030 --> 08:13.470]  as we get further and further away from the need for it.
[08:13.510 --> 08:16.290]  I have a I think a retail copy with instruction book
[08:16.290 --> 08:19.370]  and everything of Marvel versus Capcom 2 for PlayStation 2.
[08:19.610 --> 08:21.030]  And that's apparently worth pretty good money.
[08:21.230 --> 08:23.910]  What happened? You got which one's this?
[08:23.930 --> 08:25.370]  It's the monster. It's Suli.
[08:25.650 --> 08:27.130]  Suli. I've never seen monsters.
[08:27.390 --> 08:29.290]  Really? Here you go.
[08:29.370 --> 08:29.930]  That's for you.
[08:30.370 --> 08:31.470]  But they work at a business.
[08:31.470 --> 08:32.330]  They're incorporated.
[08:32.450 --> 08:34.010]  I know. Oh, that movie's good.
[08:34.070 --> 08:34.930]  We should watch it. Sure.
[08:35.650 --> 08:36.490]  Sully's a cool one.
[08:36.690 --> 08:38.790]  That's John Goodman, right? He's a cutie cuff.
[08:38.830 --> 08:40.710]  Yeah, let's see.
[08:41.910 --> 08:42.850]  Gracie, Monsters, Inc.
[08:44.750 --> 08:45.770]  What? Oh, love.
[08:45.850 --> 08:46.770]  I thought you said no.
[08:46.950 --> 08:48.370]  And I'm like, whoa, all right.
[08:48.570 --> 08:50.330]  Fingers crossed we get him later.
[08:50.330 --> 08:52.390]  Demo Emery, Demo Emery, Demo Emery.
[08:52.450 --> 08:54.170]  Ah, it's Rafiki.
[08:55.490 --> 08:57.230]  You're getting close to having your whole set, though.
[08:57.710 --> 08:58.730]  Yeah. Except for the one you want.
[08:58.950 --> 08:59.310]  I know.
[08:59.870 --> 09:01.110]  Well, maybe next week.
[09:01.110 --> 09:02.930]  These are what you got me for Valentine's Day.
[09:03.390 --> 09:05.330]  Yeah, she held on to them, though, but I'm here.
[09:05.950 --> 09:07.730]  That's fun. I bought her more than...
[09:07.730 --> 09:09.950]  If you say so, I don't...
[09:09.950 --> 09:10.890]  I bought her other things, too.
[09:10.890 --> 09:11.250]  That's fine.
[09:11.990 --> 09:13.370]  Okay, let's go through some mail.
[09:13.530 --> 09:13.850]  Let's see what we got.
[09:13.910 --> 09:15.010]  You're not gonna show your other things?
[09:15.190 --> 09:15.970]  Oh, yeah, sorry.
[09:16.650 --> 09:18.650]  So in my personal life, I still open cards, right?
[09:18.670 --> 09:19.490]  I don't do it all on here.
[09:19.590 --> 09:20.150]  It's true, I've seen it.
[09:20.910 --> 09:22.390]  And I got a couple of interesting things.
[09:22.490 --> 09:23.330]  First off, I wanted to show,
[09:23.410 --> 09:24.630]  we're not gonna open them up this week,
[09:26.070 --> 09:28.290]  but you remember last year when we had the Monopoly cards?
[09:28.310 --> 09:29.070]  Yeah. The Prison Monopoly
[09:29.070 --> 09:29.710]  I was excited about?
[09:29.790 --> 09:30.410]  They came out again.
[09:30.410 --> 09:35.330]  So I was able to get a couple of boxes off of Target.com.
[09:35.670 --> 09:36.770]  I opened two at home.
[09:36.830 --> 09:37.770]  I have three here for us.
[09:37.790 --> 09:38.510]  I opened two at home,
[09:38.650 --> 09:42.670]  and I got this sweet Jason Tatum Purple Wave Parallel.
[09:42.690 --> 09:43.370]  But I just wanted to show you,
[09:43.450 --> 09:44.810]  they're pretty cool-looking cards this year,
[09:44.890 --> 09:46.470]  so we'll get into them.
[09:46.990 --> 09:48.730]  The Wimby Rookie would be insane.
[09:49.190 --> 09:52.150]  Speaking of insane, I've been opening up
[09:52.150 --> 09:54.430]  some Prism NBA at my house,
[09:54.630 --> 09:56.170]  and I pulled this guy,
[09:56.290 --> 09:58.690]  which is a Green Prism Wimby Rookie.
[09:58.870 --> 09:59.310]  Jesus!
[09:59.310 --> 10:05.150]  This guy, Raw, is going for about $200 to $250.
[10:06.850 --> 10:08.770]  Which is pretty good,
[10:09.210 --> 10:12.570]  but pales in comparison to this motherfucker I pulled,
[10:12.950 --> 10:16.150]  which is a Silver Prism Victor Wiminyama Raw,
[10:16.570 --> 10:18.650]  which is going for about $900.
[10:19.070 --> 10:19.430]  Whoa!
[10:21.450 --> 10:24.610]  Every single sale has gone for between $800 and $900,
[10:24.830 --> 10:25.810]  and there have been a lot of sales.
[10:26.230 --> 10:28.170]  So I don't know that that'll maintain,
[10:28.170 --> 10:31.030]  but what we're gonna do is send this off tomorrow
[10:31.030 --> 10:31.790]  to get graded.
[10:31.850 --> 10:32.510]  Are you gonna get it graded?
[10:32.530 --> 10:33.450]  I'm gonna try to sell this card,
[10:33.470 --> 10:35.390]  because graded, it's going for about $3,000.
[10:36.530 --> 10:40.890]  So what a savvy collector will do in a situation like this
[10:40.890 --> 10:42.790]  is if they get the card early,
[10:43.090 --> 10:45.450]  they'll get it out the door during the hype.
[10:45.910 --> 10:47.830]  His card will tank at some point.
[10:48.070 --> 10:50.670]  He'll have an injury or a bad season.
[10:51.110 --> 10:51.710]  It'll go back down.
[10:51.830 --> 10:55.010]  Maybe the graded PSA 10 is $3,000 now.
[10:55.090 --> 10:57.570]  Maybe it goes down to $2,500, $2,200,
[10:57.570 --> 10:59.370]  and then you re-buy it back later,
[10:59.470 --> 11:01.270]  because this will maintain a tremendous amount of value
[11:01.550 --> 11:03.550]  if he stays healthy for most of his career.
[11:03.570 --> 11:06.350]  But the point is to send it now, to get it graded now.
[11:06.430 --> 11:08.030]  So if you were gonna sell it, you would sell it now.
[11:08.110 --> 11:09.810]  Yeah, I'll rush delivery, do the whole thing,
[11:09.890 --> 11:10.750]  get it out the door fast.
[11:10.910 --> 11:12.470]  What a cool-ass pull.
[11:12.770 --> 11:13.210]  That's a good one, man.
[11:13.210 --> 11:14.010]  That's an insane pull.
[11:14.230 --> 11:15.250]  So almost $1,000 worth.
[11:15.250 --> 11:15.970]  Imagine if it was on the show.
[11:16.410 --> 11:16.930]  One of the...
[11:16.930 --> 11:17.350]  Sorry.
[11:18.730 --> 11:19.170]  That's okay.
[11:19.270 --> 11:20.050]  We have some mail to get to.
[11:20.050 --> 11:21.670]  We have some mail to get to.
[11:21.730 --> 11:23.410]  I realized I forgot the pack sack again.
[11:23.510 --> 11:24.350]  I know where he is.
[11:24.390 --> 11:24.870]  That's okay.
[11:24.990 --> 11:25.870]  Story of my life, huh?
[11:25.970 --> 11:26.190]  Yeah.
[11:27.530 --> 11:29.810]  This letter is written to you
[11:29.810 --> 11:31.910]  on the back of a Red Baron box.
[11:31.910 --> 11:32.970]  Oh my God.
[11:33.210 --> 11:36.250]  Are you garbage if you send a letter on a pizza box?
[11:36.490 --> 11:37.050]  That's a yes.
[11:37.450 --> 11:40.150]  Hello, Geoff, Emily, Eric, and the Break Show crew,
[11:40.290 --> 11:41.010]  also Andrew and Gavin.
[11:41.770 --> 11:43.610]  I've been watching RT for so long,
[11:43.670 --> 11:47.530]  but Fuckface has reignited my love for you guys.
[11:47.650 --> 11:49.750]  The Break Show is a beacon of joy each week,
[11:49.790 --> 11:51.730]  and I love all the wacky cards you open.
[11:52.010 --> 11:53.890]  Here's a bunch of random packs I found
[11:53.890 --> 11:55.350]  at a store in Halloweentown.
[11:55.350 --> 11:56.390]  Maybe they're haunted.
[11:57.170 --> 11:58.910]  Anyways, best of luck and congratulations
[11:58.910 --> 12:00.950]  on getting married, just you and I,
[12:01.090 --> 12:03.390]  and not dying, Eric, congratulations.
[12:03.630 --> 12:03.850]  Come on.
[12:04.550 --> 12:05.590]  Sincerely, Daniel from Morgan.
[12:05.870 --> 12:07.070]  Come on, it was one curse.
[12:07.250 --> 12:08.730]  It was one simple curse.
[12:09.110 --> 12:10.890]  They got a little green army man, which is awesome.
[12:11.110 --> 12:12.170]  So you got some cool cards.
[12:12.490 --> 12:13.650]  There are a few in here.
[12:13.990 --> 12:15.250]  I think feed most of them to the pack sack.
[12:15.410 --> 12:16.030]  I think that one's cool.
[12:16.030 --> 12:17.670]  Nightmare for Christmas, dino cards.
[12:17.670 --> 12:19.230]  Yeah, I think this next one is one
[12:19.230 --> 12:20.090]  that you'll probably want to open.
[12:20.230 --> 12:20.830]  Mega Man stand.
[12:20.830 --> 12:21.910]  Yeah, that feels like one you want to open.
[12:22.990 --> 12:26.270]  Antique cars of Panini, Eclipse, San Diego Zoo.
[12:26.790 --> 12:28.030]  That's a cool one.
[12:29.590 --> 12:30.550]  Madagascar, Independence Day.
[12:30.630 --> 12:31.570]  I didn't even know they had cards.
[12:34.990 --> 12:36.070]  And MM2 cards?
[12:36.150 --> 12:36.750]  That's Marilyn Monroe.
[12:36.910 --> 12:38.470]  Wait, no, what's that name?
[12:39.370 --> 12:40.010]  Marilyn Monroe.
[12:40.290 --> 12:41.170]  Oh yeah, Marilyn Monroe cards.
[12:41.210 --> 12:41.530]  Neat.
[12:42.370 --> 12:43.570]  Well, we'll feed the pack sack with some of them.
[12:43.610 --> 12:44.090]  What do you want to open?
[12:44.290 --> 12:44.950]  Let's open up these two.
[12:45.010 --> 12:46.870]  American Man stand and dinosaurs right now.
[12:46.990 --> 12:49.910]  And then we'll throw those in the pack sack.
[12:50.250 --> 12:51.010]  This is a different pack sack,
[12:51.010 --> 12:51.710]  but I think it's trash.
[12:51.910 --> 12:52.650]  Yeah, it's a trash sack.
[12:52.730 --> 12:52.910]  What?
[12:53.550 --> 12:53.790]  Yeah.
[12:54.170 --> 12:54.850]  Okay, what do we got?
[12:54.930 --> 12:56.930]  We got, ooh, Hong Kong show.
[12:57.810 --> 12:58.170]  Okay.
[12:58.730 --> 12:59.090]  What?
[12:59.610 --> 13:01.050]  Oh, I'm going to hold off on that one
[13:01.050 --> 13:02.430]  because Emily loves them.
[13:02.650 --> 13:03.490]  Ooh, that's cool.
[13:04.690 --> 13:05.890]  Here's Brian Highland.
[13:05.910 --> 13:07.350]  I don't know who Brian Highland is, do y'all?
[13:07.430 --> 13:07.850]  What do you think?
[13:07.910 --> 13:08.170]  Mike.
[13:15.110 --> 13:16.750]  He recorded 22 charts.
[13:16.970 --> 13:17.950]  I guess he's just a solo dude.
[13:18.290 --> 13:20.890]  Oh, he wrote Itsy Bitsy Teeny Weeny
[13:20.890 --> 13:22.150]  Yellow Polka Dot Bikini.
[13:22.330 --> 13:23.350]  Or at least he recorded it.
[13:23.450 --> 13:23.910]  Itsy Bitsy Teeny Weeny.
[13:24.030 --> 13:26.390]  I mean, that's, Mike's like screaming it in there, so.
[13:26.450 --> 13:26.690]  Yeah, he is.
[13:27.330 --> 13:28.530]  Mary Wells.
[13:29.170 --> 13:30.510]  Ooh, Johnny Rivers.
[13:31.550 --> 13:33.510]  The Sign Off Salute.
[13:35.810 --> 13:36.610]  Bill Doggett.
[13:36.790 --> 13:36.930]  Okay.
[13:37.490 --> 13:38.850]  The Special Offer.
[13:39.090 --> 13:39.490]  Nice.
[13:39.690 --> 13:40.050]  Nice.
[13:40.210 --> 13:40.970]  Classic Series One.
[13:41.010 --> 13:41.710]  We got a bunch of those.
[13:41.890 --> 13:44.490]  And then, Emily's favorite band.
[13:45.310 --> 13:46.110]  Sex Symbol.
[13:46.290 --> 13:46.490]  Yeah.
[13:46.710 --> 13:47.570]  We'll see why in a second.
[13:47.590 --> 13:47.810]  Okay.
[13:47.990 --> 13:48.670]  Loves them to death.
[13:48.670 --> 13:49.030]  Let's see.
[13:49.030 --> 13:49.930]  Mick Fleetwood.
[13:50.470 --> 13:50.890]  Yeah!
[13:53.520 --> 13:54.120]  Let's look.
[13:54.220 --> 13:54.880]  There you go.
[13:55.360 --> 13:55.380]  Yay!
[13:55.740 --> 13:58.120]  That's a sup if I've ever seen one.
[13:58.160 --> 14:02.980]  He looks like the guy from...
[14:02.980 --> 14:03.480]  Fleetwood Mac?
[14:05.720 --> 14:06.140]  Man.
[14:06.260 --> 14:07.640]  He looks like a really talented musician.
[14:08.080 --> 14:10.400]  He looks like the butler from Rocky Horror Picture Show.
[14:10.480 --> 14:10.900]  Yes!
[14:11.140 --> 14:11.820]  Yes, he does.
[14:12.000 --> 14:13.020]  Time is fleeting.
[14:13.620 --> 14:14.180]  That's a great call.
[14:14.700 --> 14:16.100]  Will you open this one for me?
[14:16.160 --> 14:16.580]  Dino cards.
[14:16.660 --> 14:17.740]  Oh, you wanna open the Marilyn Monroe?
[14:18.000 --> 14:19.420]  Yeah, I'll open it after the dino cards.
[14:19.420 --> 14:21.040]  This says it might have gold in it.
[14:21.120 --> 14:24.100]  Oh, she didn't even care about the dinosaurs.
[14:24.320 --> 14:25.000]  And we wouldn't...
[14:25.000 --> 14:26.880]  She didn't even care about the Comptosaurus?
[14:28.160 --> 14:29.240]  He's from the late Jurassic.
[14:29.340 --> 14:30.980]  He's 145 million years old.
[14:31.260 --> 14:33.120]  He doesn't look a day over 135 million.
[14:33.140 --> 14:35.080]  We saw that TikTok of the dinosaurs running.
[14:35.600 --> 14:36.040]  Oh, yeah.
[14:36.040 --> 14:36.660]  Which ones are faster.
[14:36.840 --> 14:36.980]  That's cool.
[14:37.080 --> 14:37.440]  That's crazy.
[14:37.800 --> 14:38.880]  Some of them dinosaurs are fast.
[14:39.080 --> 14:39.980]  Doesn't it look like he has hands?
[14:40.500 --> 14:40.860]  Iguanodon.
[14:41.240 --> 14:42.500]  It does look like he has hands.
[14:42.880 --> 14:43.980]  But they're like little mittens.
[14:44.220 --> 14:44.320]  Yeah.
[14:46.360 --> 14:46.720]  Leptoceratops.
[14:47.080 --> 14:47.440]  Wow.
[14:47.440 --> 14:49.640]  We got Lesothosaurus.
[14:49.940 --> 14:50.380]  That's you.
[14:53.080 --> 14:53.720]  That's Eric.
[14:53.960 --> 14:54.580]  That's Emily.
[14:54.820 --> 14:55.900]  That's Emily.
[14:58.640 --> 14:59.280]  Saltosaurus.
[14:59.660 --> 15:00.080]  That's me.
[15:02.220 --> 15:02.860]  Sauropelta.
[15:03.200 --> 15:04.720]  That's a cool one.
[15:05.660 --> 15:06.300]  Megalosaurus.
[15:06.700 --> 15:07.340]  Oh, wow.
[15:07.480 --> 15:08.120]  He's...
[15:08.120 --> 15:09.060]  Whoa, look at him.
[15:12.720 --> 15:13.360]  Euplocephalus.
[15:13.480 --> 15:15.160]  That's Eric and Gavin.
[15:15.260 --> 15:15.660]  That's really...
[15:15.660 --> 15:16.200]  Yeah, definitely.
[15:16.200 --> 15:17.260]  That's how we hang out.
[15:17.380 --> 15:17.580]  Yeah.
[15:18.100 --> 15:20.200]  And then, Chasmosaurus.
[15:20.740 --> 15:21.100]  Chasmosaurus.
[15:21.320 --> 15:21.380]  Yeah.
[15:21.660 --> 15:22.700]  That's Andrew.
[15:22.780 --> 15:25.020]  You have to think about how far apart
[15:25.020 --> 15:27.120]  all these dinosaurs were in like time, too.
[15:27.300 --> 15:28.520]  Where it's like 145 million.
[15:28.800 --> 15:29.940]  Oh, only 120 million.
[15:30.040 --> 15:31.680]  And it's like, there's 25 million years.
