[00:10.570 --> 00:12.050]  B-U-S-T-I-N?
[01:30.170 --> 01:30.970]  Is that worth it?
[01:31.370 --> 01:31.650]  Yeah.
[01:31.810 --> 01:32.030]  Cool.
[01:32.030 --> 01:33.190]  It was worth it to me.
[01:33.270 --> 01:33.550]  Great.
[01:34.070 --> 01:37.650]  Welcome to another episode of the Face Breaks Shit.
[01:38.310 --> 01:42.750]  With me as always, Eric. With me as often as I can get her, Emily.
[01:43.250 --> 01:45.490]  And not present today are the other two.
[01:46.050 --> 01:48.170]  But that's okay. They're busy doing other things that they do.
[01:50.290 --> 01:51.250]  Emily's so good at that.
[01:53.090 --> 01:54.430]  Definitely better than Gavin was.
[01:54.690 --> 01:57.550]  No offense to Gavin, but he put a Gavin amount of effort into being the soundboard.
[01:57.750 --> 02:00.970]  I'm not good at it, but I can admit it. I don't know if Gavin would admit that he...
[02:00.970 --> 02:03.370]  No. Never in a million years would he.
[02:04.650 --> 02:08.970]  So today we are going to have a pretty standard show. We're going to go for an hour.
[02:09.490 --> 02:10.210]  It's a quick one.
[02:10.210 --> 02:15.770]  It's a quick one. I curated this list, this box of different packs we're going to open up, hopefully.
[02:16.230 --> 02:20.430]  In addition to some of this other stuff we have out here, of course we've got the pack sack.
[02:21.370 --> 02:22.030]  Pack sack.
[02:23.050 --> 02:26.810]  And we are starting to accumulate a ridiculous amount of mail.
[02:26.810 --> 02:29.450]  So we're going to open a little bit of mail first, and then...
[02:29.450 --> 02:30.950]  We're not even going to come close to scratching the surface.
[02:31.230 --> 02:33.650]  I'm thinking, Eric, once we get this on a weekly cadence...
[02:33.650 --> 02:36.090]  That's the other thing, too. We're really trying to get this show weekly.
[02:36.210 --> 02:39.390]  And you might say, then just do it every week.
[02:39.810 --> 02:41.290]  If only it were that simple.
[02:41.730 --> 02:42.790]  But we're getting there.
[02:43.010 --> 02:43.530]  We're so close.
[02:43.630 --> 02:45.650]  We're so close. And before long it'll be...
[02:45.650 --> 02:47.230]  Oh, I can't say that's...
[02:47.230 --> 02:48.890]  Bad people took that...
[02:48.890 --> 02:50.310]  You can't thumbs up anymore.
[02:50.470 --> 02:51.890]  Are you okay?
[02:52.170 --> 02:53.370]  You can't okay symbol anymore.
[02:53.590 --> 02:54.610]  Just give a thumbs up.
[02:54.610 --> 02:55.110]  Yeah, thumbs up.
[02:55.670 --> 02:56.910]  There you go.
[02:57.890 --> 02:58.250]  Wow.
[02:59.070 --> 03:01.990]  Well, I looked up and realized I was doing like a white power thing.
[03:02.550 --> 03:04.290]  And I wasn't intending to.
[03:04.690 --> 03:05.310]  Stop talking.
[03:05.950 --> 03:09.070]  They took the okay sign from us.
[03:10.650 --> 03:11.350]  It's terrible.
[03:11.650 --> 03:12.550]  I agree. We should take it back.
[03:14.590 --> 03:17.310]  Anyway, when we do it weekly, I think one of the weeks...
[03:17.310 --> 03:19.770]  We'll just have a week where all we do is open up mail.
[03:20.030 --> 03:20.570]  Because there's so much of it.
[03:20.610 --> 03:21.670]  But let's open up some right now.
[03:21.730 --> 03:24.250]  Do you want to open the box of mail first?
[03:24.250 --> 03:24.950]  The one in the back?
[03:25.130 --> 03:25.730]  The one that's back there?
[03:25.910 --> 03:27.890]  I think that's the most interesting one.
[03:28.990 --> 03:30.390]  Very crazy that we got this.
[03:30.390 --> 03:30.770]  It's fucking heavy.
[03:31.070 --> 03:31.230]  Yeah.
[03:32.750 --> 03:34.250]  Very crazy that we got this.
[03:34.670 --> 03:35.010]  No, pass.
[03:35.010 --> 03:35.390]  No, you're good.
[03:35.450 --> 03:35.790]  Okay.
[03:36.470 --> 03:38.630]  This is from someone.
[03:39.030 --> 03:39.390]  Uh-huh.
[03:42.310 --> 03:42.750]  Okay.
[03:43.490 --> 03:44.690]  This is great for us.
[03:46.070 --> 03:46.770]  There we go.
[03:47.370 --> 03:49.610]  This is from...
[03:49.610 --> 03:50.390]  Hi, Geoff!
[03:50.910 --> 03:52.310]  Long time regulation listener.
[03:52.430 --> 03:52.730]  First time...
[03:52.730 --> 03:53.510]  Oh, it's a novel.
[03:53.790 --> 03:55.070]  This is from...
[03:55.070 --> 03:56.230]  I'll read it later.
[03:56.410 --> 03:57.290]  It's at the bottom on the front.
[03:57.670 --> 03:58.770]  This is from...
[03:58.770 --> 03:59.690]  Dude, it's Nick.
[04:01.190 --> 04:02.250]  Nick is from Georgia.
[04:02.570 --> 04:02.730]  Uh-huh.
[04:03.670 --> 04:04.970]  Oh, he sent some nice stuff.
[04:05.690 --> 04:06.870]  We might be able to get two extra tickets.
[04:07.070 --> 04:08.210]  Anyway, Nick is from Georgia.
[04:08.310 --> 04:13.970]  And Nick sent us a care package full of Savannah banana gear.
[04:14.670 --> 04:15.370]  If you're not a...
[04:15.370 --> 04:17.590]  If you don't know about the Savannah bananas, you should.
[04:17.650 --> 04:19.010]  Because they are the future of baseball.
[04:19.130 --> 04:19.330]  Yeah.
[04:19.890 --> 04:21.630]  They made baseball fun again.
[04:21.690 --> 04:22.310]  Yeah, it's cool.
[04:22.310 --> 04:23.330]  Their games are...
[04:24.070 --> 04:25.570]  All two hours are shorter.
[04:26.810 --> 04:27.830]  They do dances.
[04:28.490 --> 04:29.290]  A lot of stuff.
[04:29.310 --> 04:30.110]  A lot of TikToks.
[04:30.210 --> 04:31.170]  You know what they don't do?
[04:31.430 --> 04:32.650]  Performance enhancing drugs.
[04:32.850 --> 04:34.970]  Like some people in baseball.
[04:35.530 --> 04:35.790]  Some people have worms.
[04:36.070 --> 04:38.190]  And they have to take drugs for worms.
[04:38.990 --> 04:39.830]  Oh, that's cool.
[04:40.650 --> 04:41.190]  That's awesome.
[04:41.350 --> 04:42.370]  It's more than just a knob.
[04:42.730 --> 04:43.330]  That's really interesting.
[04:43.370 --> 04:44.130]  Yeah, that's the whole bat.
[04:44.290 --> 04:44.930]  They sent us the whole bat.
[04:45.070 --> 04:46.870]  Interesting they went with the whole bat.
[04:46.910 --> 04:47.430]  Not just the knob.
[04:47.650 --> 04:48.210]  It's weird.
[04:48.750 --> 04:50.350]  It has the logo on it and everything.
[04:50.610 --> 04:51.130]  Oh, here we go.
[04:51.130 --> 04:52.530]  Savannah Bananas Baseball.
[04:52.550 --> 04:52.970]  Very cool.
[04:52.970 --> 04:54.270]  That's very cool.
[04:54.450 --> 04:54.850]  I like it.
[04:55.030 --> 04:55.890]  Love it.
[04:56.110 --> 04:57.110]  And then...
[04:58.230 --> 04:59.190]  Fan first.
[04:59.570 --> 05:01.470]  Based on the true story of the Savannah Bananas.
[05:01.910 --> 05:03.650]  Probably by the dude that created it.
[05:03.690 --> 05:04.210]  Interesting guy.
[05:04.630 --> 05:05.090]  Interesting guy.
[05:07.090 --> 05:07.870]  Jesse Cole.
[05:08.530 --> 05:09.690]  Wears a lot of yellow.
[05:10.550 --> 05:11.550]  But it works for him.
[05:11.550 --> 05:12.690]  It's the banana thing, I think.
[05:13.210 --> 05:14.130]  I'll read that.
[05:14.310 --> 05:15.150]  Oh, there's a sticker.
[05:15.370 --> 05:16.470]  Multi-use decal.
[05:16.830 --> 05:18.630]  That'll definitely make its way on the set.
[05:19.510 --> 05:19.970]  And then...
[05:19.970 --> 05:21.190]  We're not done.
[05:21.570 --> 05:24.350]  Here's Go Bananas by Emily Cole.
[05:24.650 --> 05:26.910]  It's a kid's book about bananas.
[05:27.050 --> 05:28.470]  It could be a book for some adults.
[05:28.810 --> 05:29.750]  Yeah, some adults.
[05:30.690 --> 05:31.890]  We got ourselves a...
[05:31.890 --> 05:32.510]  Oh, nice.
[05:36.490 --> 05:37.550]  Well, you can see it.
[05:37.630 --> 05:38.050]  You'll get there.
[05:38.110 --> 05:38.970]  There's a...
[05:38.970 --> 05:39.690]  You'll get it.
[05:39.830 --> 05:41.590]  There's a...
[05:41.590 --> 05:42.090]  Pint glass?
[05:42.110 --> 05:42.670]  Pint glass.
[05:42.690 --> 05:43.870]  It's a pint glass.
[05:43.990 --> 05:46.190]  It says Savannah Bananas on it.
[05:47.490 --> 05:48.450]  And then...
[05:48.450 --> 05:49.190]  We're getting down to the wire.
[05:49.190 --> 05:51.570]  And last but not least...
[05:51.570 --> 05:56.930]  A four-pack of split banana cream soda.
[05:57.070 --> 05:58.670]  Wow, you should open one and have it.
[05:58.830 --> 05:59.670]  Is there booze in it?
[05:59.990 --> 06:01.390]  I think it's just cream soda.
[06:01.590 --> 06:02.290]  Oh, then I can have one.
[06:02.530 --> 06:03.430]  Here, we can check.
[06:03.510 --> 06:04.870]  Let me check before you do that.
[06:04.950 --> 06:05.490]  Do you want some ice?
[06:06.190 --> 06:06.610]  I don't have any.
[06:06.630 --> 06:06.890]  Nah.
[06:07.770 --> 06:08.170]  No.
[06:09.630 --> 06:11.250]  No, this is just 12 fluid ounces.
[06:12.230 --> 06:12.990]  No alcohol.
[06:13.050 --> 06:13.710]  A banana soda.
[06:14.310 --> 06:14.710]  Caramelized.
[06:14.830 --> 06:15.850]  Pure cane sugar.
[06:16.330 --> 06:17.390]  Purified carbonated water.
[06:17.550 --> 06:17.690]  Ready?
[06:17.690 --> 06:17.770]  Ready?
[06:17.930 --> 06:18.410]  Lemon juice.
[06:18.890 --> 06:21.290]  Two-fold natural vanilla extract.
[06:21.950 --> 06:22.110]  Yeah.
[06:22.350 --> 06:22.530]  Yeah.
[06:22.730 --> 06:24.510]  Are you okay with drinking sodium benzonate?
[06:25.430 --> 06:26.150]  Uh, I...
[06:26.150 --> 06:26.550]  Yeah, dude.
[06:26.550 --> 06:26.990]  Okay, cool.
[06:26.990 --> 06:28.330]  Then let's get after it.
[06:28.350 --> 06:29.870]  I actually have a sodium benzonate deficiency.
[06:30.030 --> 06:30.490]  So I have to.
[06:30.510 --> 06:30.570]  Oh, hell yeah.
[06:30.830 --> 06:31.670]  Sometimes I'm...
[06:31.670 --> 06:33.570]  I'm crazy!
[06:35.050 --> 06:35.650]  How's it smell?
[06:35.810 --> 06:36.290]  Smells good.
[06:36.970 --> 06:40.370]  I feel like the way you smelled and leaned back was like, I don't like cream soda.
[06:40.610 --> 06:41.170]  I don't.
[06:41.390 --> 06:42.110]  I don't like cream soda.
[06:42.710 --> 06:43.590]  I like banana cream.
[06:43.810 --> 06:44.430]  But I do like banana.
[06:44.790 --> 06:45.990]  It smells like a banana cream pie.
[06:46.570 --> 06:47.010]  Chug it.
[06:48.410 --> 06:49.490]  You don't have to chug it.
[06:49.730 --> 06:51.510]  Oh, that's good.
[06:52.150 --> 06:52.790]  That's not bad.
[06:53.330 --> 06:55.410]  I don't think I can drink a whole one, but I can sip on it.
[06:55.530 --> 06:56.030]  It's a sipper.
[06:56.350 --> 06:56.570]  Okay.
[06:56.750 --> 06:57.390]  It's a sipper.
[06:57.510 --> 06:58.190]  It's a dessert.
[06:59.510 --> 07:01.750]  The regular Coke Zero, that's dinner.
[07:01.890 --> 07:02.470]  This is the main course.
[07:02.610 --> 07:02.650]  Yeah.
[07:03.390 --> 07:04.250]  This is the app.
[07:04.450 --> 07:04.770]  Terrible.
[07:05.850 --> 07:06.470]  It's juice.
[07:06.770 --> 07:06.870]  Yeah.
[07:07.210 --> 07:07.710]  This is juice.
[07:08.970 --> 07:09.690]  Next piece of mail.
[07:10.250 --> 07:10.730]  There you go.
[07:11.150 --> 07:12.530]  There you go.
[07:13.270 --> 07:13.850]  You got it.
[07:13.890 --> 07:14.130]  Come on.
[07:14.130 --> 07:14.890]  All right.
[07:14.890 --> 07:18.370]  This is from Donald Donald.
[07:18.590 --> 07:19.130]  All right.
[07:19.150 --> 07:19.830]  Big Don.
[07:20.110 --> 07:20.350]  Let's see.
[07:20.530 --> 07:21.210]  Rip it.
[07:21.350 --> 07:21.710]  All right.
[07:21.730 --> 07:21.970]  Cool.
[07:22.050 --> 07:23.510]  Oh, that might have been part of...
[07:24.450 --> 07:24.890]  Yeah.
[07:27.710 --> 07:28.150]  Apologies.
[07:28.610 --> 07:29.130]  Let's see what we got.
[07:29.550 --> 07:30.330]  Thanks for shopping.
[07:30.690 --> 07:31.390]  My eBay store.
[07:31.610 --> 07:32.330]  I appreciate the patrons.
[07:32.510 --> 07:32.810]  Okay.
[07:33.110 --> 07:34.370]  Hello, Geoff and gang.
[07:34.510 --> 07:38.550]  Enjoy the new card in the Zimmer zone from Ben K.
[07:39.170 --> 07:39.530]  All right.
[07:39.750 --> 07:40.850]  What'd you get us, Ben?
[07:42.750 --> 07:45.230]  Oh, Donald is in the retired U.S. Navy.
[07:47.390 --> 07:48.950]  You don't need to read anymore.
[07:49.170 --> 07:49.430]  Okay.
[07:49.790 --> 07:50.490]  It's tough.
[07:50.930 --> 07:51.830]  All right.
[07:51.870 --> 07:52.250]  Throw it down.
[07:52.350 --> 07:52.550]  Let's see.
[07:52.730 --> 07:52.770]  Here we go.
[07:52.910 --> 07:55.610]  We got a little Don Zimmer to add to the collection.
[07:55.710 --> 07:56.330]  All right.
[07:56.970 --> 08:00.430]  When we build the Don Pedro project, that will be a part of it.
[08:00.530 --> 08:01.070]  It's a good green.
[08:01.110 --> 08:02.290]  Thank you so much, Ben.
[08:02.370 --> 08:05.210]  It's a reproduction of a...
[08:05.210 --> 08:06.190]  Oh, I can't tell.
[08:07.310 --> 08:08.390]  1953 card, maybe?
[08:08.510 --> 08:08.850]  Nice.
[08:08.990 --> 08:09.370]  It's gorgeous.
[08:09.370 --> 08:10.890]  Although, his rookie year was 55.
[08:11.010 --> 08:11.570]  I looked it up yesterday.
[08:11.710 --> 08:12.050]  Oh, really?
[08:12.190 --> 08:12.970]  Maybe it's back then.
[08:13.310 --> 08:13.750]  Yeah.
[08:14.410 --> 08:15.310]  Let's open up one more.
[08:15.390 --> 08:15.850]  One more mail.
[08:17.750 --> 08:18.530]  It'll be this one.
[08:18.910 --> 08:20.610]  This one's to Fuckface.
[08:20.670 --> 08:21.130]  That's us.
[08:21.290 --> 08:21.430]  Yeah.
[08:23.170 --> 08:24.050]  It's from...
[08:24.050 --> 08:24.890]  Also from Texas.
[08:25.550 --> 08:27.250]  They have a drawing of his wedding.
[08:27.850 --> 08:28.130]  Almost.
[08:29.970 --> 08:31.030]  Wait, what's the date today?
[08:31.670 --> 08:32.810]  Today is August...
[08:32.810 --> 08:33.390]  17th?
[08:33.510 --> 08:36.350]  Yesterday was Don and Gene's anniversary.
[08:36.670 --> 08:37.110]  Wow!
[08:37.110 --> 08:37.910]  We didn't even celebrate.
[08:38.570 --> 08:38.630]  Congratulations!
[08:40.210 --> 08:42.110]  They got married August 16th, 1951.
[08:42.790 --> 08:42.970]  Wow.
[08:42.970 --> 08:45.050]  They truly had a romance for the ages.
[08:45.150 --> 08:45.570]  Absolutely.
[08:45.570 --> 08:47.010]  It withstood the test of time.
[08:47.190 --> 08:48.190]  They were married at home.
[08:48.190 --> 08:48.530]  Oh.
[08:48.830 --> 08:49.270]  Really?
[08:49.510 --> 08:49.690]  Yeah.
[08:49.990 --> 08:50.670]  That's cool.
[08:50.930 --> 08:51.270]  Somewhere in New York.
[08:51.470 --> 08:53.350]  This is very cool, actually.
[08:53.550 --> 08:53.990]  What do we got?
[08:54.690 --> 08:58.930]  What we appear to have is a bunch of Kaiju Big Battle trading cards.
[08:58.990 --> 08:59.810]  Kaiju Big Battle.
[09:00.010 --> 09:00.470]  Big fan.
[09:00.810 --> 09:02.110]  I don't think I have a sticker on here.
[09:02.290 --> 09:03.090]  It's on my coffee thing.
[09:03.410 --> 09:05.070]  Kaiju Big Battle is professional wrestling.
[09:05.410 --> 09:07.250]  Yeah, it said, wanted to send you these packs.
[09:07.390 --> 09:09.730]  Kaiju Big Battle cards, because I'm sure it's a wrestling group.
[09:09.950 --> 09:10.330]  It is.
[09:10.370 --> 09:11.470]  Are known to our little rat.
[09:11.670 --> 09:12.050]  Mm-hmm.
[09:12.110 --> 09:12.390]  That's you.
[09:13.170 --> 09:14.610]  They are a group of wrestlers from Boston.
[09:15.910 --> 09:17.170]  Yeah, that's from Blair.
[09:17.330 --> 09:17.910]  Thank you, Blair.
[09:18.050 --> 09:19.330]  I have a friend who used to wrestle there.
[09:19.750 --> 09:20.650]  Do they have cards in there?
[09:20.670 --> 09:21.130]  They do.
[09:21.230 --> 09:21.590]  Probably not.
[09:21.730 --> 09:22.430]  They do.
[09:24.050 --> 09:29.370]  It's like a wrestling ring, and they'll set up, like, cities made of cardboard and stuff,
[09:29.410 --> 09:33.610]  and then everyone comes out, and they're, like, big monsters, and, like, they slam all
[09:33.610 --> 09:34.430]  over, like, the cities and stuff.
[09:34.430 --> 09:34.970]  It's really cool.
[09:35.050 --> 09:36.430]  I had a friend who used to work with them.
[09:36.610 --> 09:37.050]  Oh, really?
[09:37.150 --> 09:37.930]  Yeah, his name was Nick.
[09:38.090 --> 09:38.470]  That's cool.
[09:38.610 --> 09:39.190]  Back in the day.
[09:39.210 --> 09:39.830]  I don't know if he still does.
[09:39.950 --> 09:41.250]  It's just cool.
[09:41.350 --> 09:42.010]  It's good stuff.
[09:42.250 --> 09:43.530]  It was a fun idea.
[09:44.050 --> 09:44.770]  So let's see what we got.
[09:45.250 --> 09:46.890]  First off, I'm gonna put one of these in the pack sack.
[09:47.010 --> 09:47.470]  Yeah, nice.
[09:47.550 --> 09:48.870]  Maybe Dr. Cube is in here.
[09:49.110 --> 09:49.690]  Is that your friend?
[09:49.930 --> 09:50.210]  No.
[09:50.350 --> 09:50.930]  Is that your favorite?
[09:51.370 --> 09:52.510]  No, he's just, like, the guy.
[09:53.090 --> 09:53.550]  Who's your favorite?
[09:54.010 --> 09:55.030]  I don't think I have a favorite.
[09:55.350 --> 09:55.970]  Two-core.
[09:56.410 --> 09:56.690]  Okay.
[09:57.250 --> 09:57.690]  Pretty cool.
[09:57.870 --> 09:58.310]  That's pretty scary.
[09:58.750 --> 09:58.770]  Like a toucan.
[09:58.930 --> 09:59.150]  Yeah.
[09:59.630 --> 10:00.870]  Yeah, he's, like, a mean toucan.
[10:00.870 --> 10:03.070]  Got a Kung Fu Chicken Noodle.
[10:03.490 --> 10:03.850]  Nice.
[10:04.950 --> 10:05.670]  We got...
[10:05.670 --> 10:06.190]  Don Zimmerfill.
[10:06.510 --> 10:08.530]  Tad Bradley, Hawaiian paddler.
[10:11.830 --> 10:12.550]  Oh, here we go.
[10:12.950 --> 10:14.030]  Here's the Hellmonkey.
[10:14.290 --> 10:14.550]  Yeah!
[10:15.170 --> 10:15.970]  That's pretty cool.
[10:16.250 --> 10:17.830]  Michael, can we zoom in on Hellmonkey anymore?
[10:17.990 --> 10:18.750]  Look at that.
[10:20.010 --> 10:20.370]  Shroomatango.
[10:20.650 --> 10:20.950]  Wow!
[10:22.130 --> 10:22.670]  That looks great.
[10:22.750 --> 10:23.910]  You know, when we...
[10:23.910 --> 10:24.370]  Thank you, Michael.
[10:24.610 --> 10:25.930]  We would do events from time to time.
[10:26.270 --> 10:27.190]  Sometimes they would be there.
[10:27.710 --> 10:29.110]  Comic-Con is where we saw them all the time.
[10:29.210 --> 10:29.490]  Oh, really?
[10:29.490 --> 10:29.710]  Yeah.
[10:30.530 --> 10:31.490]  And then KidDeviler.
[10:32.390 --> 10:33.350]  Yo, these are cool.
[10:33.470 --> 10:33.490]  That's a sticker.
[10:33.490 --> 10:34.130]  These are very cool.
[10:34.210 --> 10:34.830]  These are awesome.
[10:35.050 --> 10:38.810]  I think the last time I saw these guys live was at an Xbox launch event or something.
[10:39.250 --> 10:40.170]  I'm gonna tell my buddy about this.
[10:40.210 --> 10:42.430]  He used to be on the street team, like, years ago.
[10:42.610 --> 10:42.790]  Really?
[10:42.810 --> 10:44.190]  He had an old Dr. Cube sticker.
[10:44.310 --> 10:45.110]  He's gonna be really stoked.
[10:46.530 --> 10:48.210]  We go to a lot of pro wrestling in Austin.
[10:48.910 --> 10:49.790]  It's a good wrestling town.
[10:50.330 --> 10:50.550]  Austin?
[10:51.050 --> 10:52.150]  I didn't know that about Austin.
[10:52.210 --> 10:52.990]  Great wrestling town.
[10:53.270 --> 10:53.530]  Huh.
[10:53.750 --> 10:54.490]  Home of Dusty Rhodes.
[10:55.630 --> 10:56.530]  Austin is from...
[10:56.530 --> 10:57.350]  Is where Dusty Rhodes is from?
[10:57.370 --> 10:57.550]  Yeah, yeah, yeah.
[10:57.550 --> 10:58.150]  The American Dream?
[10:58.310 --> 10:58.690]  Mm-hmm.
[10:59.570 --> 11:00.290]  Shroomatango again.
[11:00.390 --> 11:00.830]  Shroomatango again.
[11:00.830 --> 11:01.350]  Wow, he's everywhere.
[11:01.650 --> 11:02.390]  Everybody's looking to trade.
[11:02.490 --> 11:03.430]  I got doubles of Shroomatango.
[11:03.950 --> 11:05.390]  Metal Wing Black.
[11:05.530 --> 11:05.910]  Awesome.
[11:06.790 --> 11:07.190]  Shrooms.
[11:07.370 --> 11:09.370]  Oh, we got another Kung Fu Chicken Noodle.
[11:09.650 --> 11:09.870]  Okay.
[11:10.470 --> 11:11.110]  We got a...
[11:11.110 --> 11:11.670]  Oh, this is my favorite.
[11:12.010 --> 11:12.290]  Gee!
[11:16.890 --> 11:17.770]  And then...
[11:17.770 --> 11:18.450]  Ew.
[11:18.950 --> 11:19.750]  Gommie Mom.
[11:20.050 --> 11:20.390]  Ew.
[11:20.790 --> 11:22.290]  And then here's a sticker for...
[11:22.290 --> 11:23.510]  Oh, this is for you, Eric.
[11:23.990 --> 11:24.690]  It's Dr. Cube.
[11:24.950 --> 11:25.350]  Oh!
[11:25.350 --> 11:26.210]  Dr. Cube!
[11:26.790 --> 11:27.530]  Give that right to me right now.
[11:27.530 --> 11:28.110]  Oh, wow.
[11:28.110 --> 11:28.910]  Thank you.
[11:30.430 --> 11:31.490]  That's awesome.
[11:31.870 --> 11:33.870]  Let's set these aside for now.
[11:34.010 --> 11:35.050]  I'm putting Dr. Cube on my laptop.
[11:35.430 --> 11:35.770]  We got...
[11:35.770 --> 11:38.010]  Oh, we got a collection of Zims.
[11:38.550 --> 11:39.570]  There's that Zimmer.
[11:40.110 --> 11:43.910]  There's this awesome Red Sox Zimmer manager card.
[11:44.410 --> 11:45.530]  Here is...
[11:46.970 --> 11:47.510]  Tops.
[11:48.530 --> 11:49.430]  I've never seen this one before.
[11:49.510 --> 11:50.970]  I'm not sure what set this is from.
[11:51.610 --> 11:52.470]  Pretty sweet.
[11:53.110 --> 11:56.830]  Ooh, here's an old Cincinnati Reds Zimmer card.
[11:56.830 --> 11:57.150]  Nice.
[11:57.210 --> 11:59.430]  We got a bunch of Zims.
[12:00.150 --> 12:00.770]  Intentional Zims.
[12:00.950 --> 12:01.350]  I like it.
[12:02.590 --> 12:04.250]  I've never seen this Zimmer before either.
[12:04.410 --> 12:05.050]  There's that one.
[12:06.910 --> 12:07.270]  Here's...
[12:07.270 --> 12:09.470]  Boy, this guy was a wellspring of Zimmers.
[12:11.090 --> 12:13.690]  Here's another Zim I've never seen.
[12:14.050 --> 12:14.930]  That's a good squat.
[12:15.450 --> 12:15.910]  It is.
[12:17.410 --> 12:18.390]  He's got a good squat.
[12:18.530 --> 12:20.330]  Well, he was not the tallest dude, so he had...
[12:20.910 --> 12:23.550]  He didn't have a long way to go all the way to the ground, you know?
[12:24.710 --> 12:25.890]  1955 World Series champion...
[12:25.890 --> 12:27.570]  Oh, all right.
[12:27.790 --> 12:28.470]  That's pretty cool.
[12:28.610 --> 12:29.070]  Ooh, that's a good one.
[12:29.150 --> 12:30.930]  And then, this is one of my favorite Zimmer cards.
[12:30.930 --> 12:32.570]  Oh, the Padre Zimmer.
[12:32.890 --> 12:33.070]  Padre Zimmer.
[12:33.250 --> 12:33.910]  There he is.
[12:34.050 --> 12:35.910]  Do you think Zimmer ever took performance-enhancing drugs?
[12:36.170 --> 12:36.530]  Absolutely.
[12:36.950 --> 12:37.830]  A la Fernando Tatis?
[12:38.070 --> 12:38.970]  Yes, definitely.
[12:40.030 --> 12:41.910]  Do you think he put his dip in both cheeks?
[12:42.910 --> 12:43.990]  I bet he just...
[12:43.990 --> 12:46.870]  I bet he took a mouthful and then just chewed the whole time.
[12:47.030 --> 12:47.170]  Yeah.
[12:48.210 --> 12:51.010]  Yeah, he's like a skull guy and he just sort of like goes for it.
[12:52.590 --> 12:53.310]  That made...
[12:53.310 --> 12:55.870]  That made my stomach turn thinking about eating a lot of things.
[12:55.870 --> 12:56.110]  Dang it.
[12:57.450 --> 12:58.750]  Let's open one more mail.
[12:58.750 --> 12:59.170]  You're gonna do more mail?
[12:59.290 --> 13:00.170]  I'm gonna do one more mail.
[13:00.250 --> 13:00.770]  Oh my gosh.
[13:01.050 --> 13:01.750]  It's gonna be this one.
[13:01.830 --> 13:02.070]  Okay.
[13:02.230 --> 13:03.190]  This one's from Audrey.
[13:03.390 --> 13:04.110]  Okay, Audrey.
[13:04.630 --> 13:05.270]  I'm ripping.
[13:05.550 --> 13:06.250]  I like it.
[13:06.710 --> 13:08.690]  It's scary as shit.
[13:09.890 --> 13:10.550]  That's what I do.
[13:10.730 --> 13:10.970]  Yep.
[13:11.490 --> 13:11.810]  All right.
[13:12.310 --> 13:13.670]  Here's a lovely note from Audrey.
[13:13.870 --> 13:15.190]  Read on stream or don't.
[13:15.350 --> 13:16.130]  It's your show.
[13:16.290 --> 13:16.430]  Or don't.
[13:16.550 --> 13:19.250]  Dude, that's the best way to start a letter ever.
[13:19.290 --> 13:19.770]  Yes, it is.
[13:19.930 --> 13:21.130]  Hey, Face Crew.
[13:21.290 --> 13:24.850]  As a big fan of the podcast and baseball, I wanted to send some cards to commemorate
[13:24.850 --> 13:26.730]  the greatest baseball pranks of all time.
[13:27.090 --> 13:27.270]  What?
