[00:10.030 --> 00:11.330]  How's that asshole feeling?
[10:40.240 --> 10:45.120]  Season two dash two. Uh, anyway gav. I just wanted to let you know if you notice anything, uh
[10:45.120 --> 10:50.840]  Being a little off people are a little prickly today for some reason and I just wanted to since you got in a little late
[10:50.840 --> 10:54.380]  Uh, I wanted to make sure you were aware of that just like our gooches will be in like a month
[10:54.380 --> 10:54.920]  a
[10:56.820 --> 10:59.040]  Month that's optimistic. Oh, man
[10:59.620 --> 10:59.940]  uh
[11:00.480 --> 11:04.860]  Dude, i'm so ready to get my asshole waxed. I I don't even I can't even tell you
[11:04.860 --> 11:09.480]  No, you're not. I can't even tell you i'm so ready. I'm so ready. Do it to me right now. Do it to me right now
[11:10.760 --> 11:12.100]  Wax my asshole right now
[11:12.820 --> 11:17.700]  I just don't even know what to say to that. Yeah, I don't know. I don't it's really yeah, I mean really
[11:18.500 --> 11:21.660]  I guess I mean I would say it's a bluff, but I just don't even know what to do
[11:21.660 --> 11:26.060]  There's something fearful about a man yelling wax my ass right now to himself
[11:27.620 --> 11:29.160]  I'm just i'm intimidated
[11:30.020 --> 11:34.520]  Oh, hold on. Let me pull up my notes for today. Uh, okay. Here's my notes for today. Okay
[11:35.400 --> 11:39.780]  That was it. I don't have any what do you guys I have a note. I have a question for you, Geoff
[11:40.200 --> 11:42.060]  Okay, I think i've been thinking about this
[11:42.060 --> 11:48.100]  We were yeah filming something and it was immortality which is going to come out soon, which i'm very excited about
[11:48.100 --> 11:52.060]  And I talked about that you have to view like the game world
[11:52.060 --> 11:55.120]  As our world like it's a shared history
[11:55.120 --> 12:02.620]  And then you said that you view all fiction through that lens already like that's just how you interpret stuff
[12:02.620 --> 12:09.300]  You consume unless i'm told otherwise by the author or uh, pretty quickly. I assume anything
[12:10.060 --> 12:12.980]  that i'm reading exists in my timeline, so
[12:13.660 --> 12:20.200]  My question is does that mean you inject yourself into every story that would fall under that category
[12:20.200 --> 12:22.960]  Like you're not part of the story, but you're in that world
[12:23.640 --> 12:27.700]  I guess in some sense. Yes, that uh, that would that that tracks. Yeah
[12:27.700 --> 12:32.960]  It's just such a weird thing to like watch. I don't know like entourage would be like yeah
[12:32.960 --> 12:37.000]  I'm in this universe. I could I could show up right behind vinny chase at any moment
[12:37.460 --> 12:42.180]  Unfortunately, i've never seen an episode of entourage. So I don't know you're not missing anything at this about that one
[12:42.180 --> 12:43.740]  but uh, but like
[12:44.480 --> 12:49.740]  Do have I ever thought like watching lost could I end up on the island? Yeah, of course
[12:51.420 --> 12:52.820]  I love that
[12:53.360 --> 12:59.820]  Yeah, isn't that why we watch stuff to be to get invested in stories? No, no, not for myself
[13:00.420 --> 13:05.040]  I I'm, I like the escapism but a part of escapism is that i'm not there
[13:05.700 --> 13:06.180]  Yeah
[13:06.760 --> 13:08.560]  I can appreciate it on that level too
[13:08.560 --> 13:13.960]  But man, I I love that I love to think about like how I would interact with a world or
[13:15.600 --> 13:16.320]  Yeah, absolutely
[13:16.820 --> 13:21.180]  Those are two different things because I agree with that like thinking about how I'd interact with the world is funny
[13:21.180 --> 13:25.860]  The way that you're setting it up to me is hilarious of like watching lost being like oh
[13:25.860 --> 13:29.520]  I wonder if i'm gonna show up this season. Will I be there? I could be there
[13:29.960 --> 13:32.980]  No, i'm not wondering if I got cast in lost and didn't know about it
[13:32.980 --> 13:36.720]  Unfortunately, I do I do know about it because i'm me I didn't get cast in lost
[13:36.720 --> 13:41.520]  But i'm just saying like if you're watching lost you never and the plane crashes or whatever and you never think like oh
[13:41.520 --> 13:44.180]  I fly to australia sometimes hope I don't end up on that island
[13:44.180 --> 13:48.440]  You've never just thought about that before like like it exists in our world right now
[13:48.440 --> 13:55.480]  No, because it takes place during our time. I've never worried about crashing onto the lost island. Can I just be honest with you?
[13:55.900 --> 14:00.300]  Yes, please. I I I honestly and please don't take this the wrong way. I feel really sorry for you
[14:00.880 --> 14:05.540]  No, that's fair. That's fine. I I feel like I get a I feel like I get a much more
[14:06.460 --> 14:07.340]  Fun and
[14:08.360 --> 14:14.380]  Explorative, uh relationship with content if I I feel like there's a whole angle I get to enjoy that you don't and that just seems
[14:14.380 --> 14:16.920]  Sad to me. No, I appreciate it. That's very fair
[14:16.920 --> 14:23.740]  Yeah, I mean, I definitely think that I I put myself in certain situations in just like little thoughts, but I I don't feel like i'm
[14:24.460 --> 14:27.780]  Constantly there. I don't watch the sopranos and think oh man
[14:27.780 --> 14:33.280]  Tony soprano might whack me like that's it's a show that i'm watching and yeah, you live in canada
[14:33.280 --> 14:34.220]  What would he be doing up there?
[14:35.540 --> 14:40.800]  That's a great point. That is the biggest hole. That is the biggest hole in that happening. Yeah, I got there
[14:41.400 --> 14:47.480]  I mean you've been to new jersey jeff. I lived in new jersey for yeah. Yeah. I mean that's uh, it's pretty dangerous
[14:47.480 --> 14:49.440]  Tony sopranos might whack you
[14:49.920 --> 14:52.540]  Uh, I was never worried about getting whacked by the character
[14:52.540 --> 15:00.720]  but if you're asking if when I lived in new jersey, I didn't think constantly about the mafia and construction dudes and dudes and like
[15:00.720 --> 15:04.800]  that whole world, of course I did every time you drive by and you see like, uh,
[15:04.800 --> 15:09.280]  You see like a landfill and somebody dumping stuff. You're like, uh, but there's bodies in that. I mean like
[15:09.840 --> 15:13.200]  That's what living in new jersey is right, but I don't think that's what he's asking you
[15:13.200 --> 15:16.100]  I think he's asking about specifically tony soprano the tv show
[15:16.700 --> 15:22.040]  In the same way that you were concerned about no i'm never no, I wasn't worried about tony soprano
[15:22.040 --> 15:29.400]  You can't act like that's a ridiculous question when you just said you've never thought about crashing onto the lost island. It's the same thing
[15:31.380 --> 15:31.900]  I
[15:31.900 --> 15:33.320]  Guess the exact same
[15:33.320 --> 15:34.700]  I guess yeah, sure
[15:34.700 --> 15:37.000]  I feel like the lost island is a little more
[15:37.000 --> 15:40.260]  I feel like the lost island is a little more of a fantastic playground
[15:40.260 --> 15:46.420]  Whereas, uh, the sopranos was sort of a rooted in reality crime drama, you know, that's true
[15:46.420 --> 15:48.840]  I feel like there's there's like there's less room for
[15:49.440 --> 15:55.220]  Experimental play in your brain when a show is that uh believable and grounded in reality
[15:55.220 --> 15:57.640]  Whereas lost is a made-up island
[15:58.240 --> 15:59.900]  In the middle of the ocean that has
[16:00.520 --> 16:01.700]  Magic things happen to it
[16:01.700 --> 16:04.260]  So it does it seems a little less weird for me to
[16:04.260 --> 16:09.320]  Have a daydream where I end up on the island and and and get to experience the smoke monster or whatever
[16:09.320 --> 16:10.200]  That seems a little more
[16:10.200 --> 16:14.760]  I feel like I feel like it's I don't know more excusable because I don't think any of it's inexcusable
[16:14.760 --> 16:16.740]  but I feel like it makes a little more sense for me to
[16:17.180 --> 16:23.080]  For my mind to fit to play in that world than it would for me to be worried about big pussy killing me when i'm not
[16:23.080 --> 16:27.620]  Looking at gavin. Were you ever were you ever excited to hang out with? Mr. Bean or what?
[16:27.640 --> 16:28.600]  He met him
[16:30.920 --> 16:32.940]  I didn't think it would ever happen. Um
[16:33.420 --> 16:37.020]  I still think it won't but it would be amazing imagine hanging out with Mr. Bean
[16:37.420 --> 16:40.980]  You met him at the grocery store. I mean he wasn't he wasn't in character
[16:41.960 --> 16:45.480]  Oh, I see. So you met Rowan Atkinson. I met Rowan Atkinson
[16:45.480 --> 16:48.460]  And he was with his kid and he was just being a normal dad
[16:49.500 --> 16:51.600]  Oh, he wasn't going to there and then
[16:51.600 --> 16:57.620]  I feel like i'm being made fun of but I really don't know why
[16:57.640 --> 17:01.000]  Because I don't know what I think you're very defensive today. Geoff
[17:01.400 --> 17:07.140]  I mean this and the asshole waxing thing. I think you're on guard. I don't think you're as waxed as you think you are
[17:07.140 --> 17:12.500]  I mean play back the pleasantries. I got attacked walking in. Oh, not at all. We're playing back
[17:12.500 --> 17:14.560]  I did I got attacked Gavin because
[17:14.940 --> 17:19.920]  I said, uh, oh, yeah, they were talking about the asshole waxing and Andrew asked how my asshole was and I said it's fine
[17:19.920 --> 17:23.680]  Why and I thought he meant the spicy food that I had to eat on extra life
[17:23.680 --> 17:27.460]  Because I did have like, you know, I had spicy food ass for a day. Yeah
[17:27.780 --> 17:30.720]  Uh, and he was like no is it about the waxing and I was like, oh, yeah
[17:30.720 --> 17:33.180]  I guess we can't do that this week for some reason and then I thought about for a second
[17:33.180 --> 17:38.540]  I said, oh, I guess i'm the reason and then eric jumped on me for not recognizing that I was the reason faster
[17:40.000 --> 17:43.160]  He he's like you drove around the block before you accepted responsibility
[17:43.700 --> 17:48.140]  Even though I accepted responsibility and it's like you shot the gun
[17:48.140 --> 17:52.540]  Went around the block and then went I should get in front of that thing, I guess
[17:53.440 --> 17:58.020]  It's how late was Gavin to this podcast four minutes i'll be back in four minutes
[17:58.880 --> 17:59.700]  Oh my god
[18:00.400 --> 18:06.820]  Are you guys good with gross shit? Yeah, because i'm not good with it and someone uh put on
[18:07.780 --> 18:12.280]  Put on the subreddit that when I was talking about how cool it'd be to have a dog with a handle
[18:12.280 --> 18:16.420]  And they posted this video of a horse. I didn't look at it. Did you look at it?
[18:16.680 --> 18:17.720]  No, I was too grossed out
[18:17.720 --> 18:22.360]  apparently a horse just has like a hole straight through it and I was wondering if anyone could tell me more about it without
[18:23.120 --> 18:28.440]  Yeah, without me having to look I can't do that either. I can't look at it. I have to like hide it
[18:28.440 --> 18:32.040]  I have to how do I hide this thing? I can't look at this fucking horse. It's okay
[18:32.040 --> 18:36.100]  So for the audience, it's some sort of illness this horse has I think but it's got a hole
[18:36.900 --> 18:39.340]  Right through its neck like you can see all the way through
[18:39.720 --> 18:41.500]  And I just don't know how the horse is alive
[18:41.500 --> 18:46.100]  Like is all of its important stuff going around the hole? How was it born with a hole? It's crazy
[18:46.540 --> 18:47.700]  It's kind of got a handle
[18:48.380 --> 18:51.420]  Didn't they think in ghostbusters that you could drill a hole through your head?
[18:52.780 --> 18:53.140]  uh
[18:53.140 --> 18:58.340]  I'm, pretty sure that was a in ghostbusters. I'm pretty sure that that was a one of the like this the jokes that they'd
[18:58.740 --> 19:03.340]  uh, Egon had convinced himself that he could drill a you could drill a hole through the side of your head and then
[19:03.340 --> 19:04.300]  they were like
[19:04.300 --> 19:07.580]  They referenced it as if something that they'd stopped him from doing in the past
[19:08.200 --> 19:11.040]  And then that was also what that movie pie was about you are right
[19:11.040 --> 19:13.300]  That is I just looked it up and that is a joke in
[19:14.000 --> 19:19.660]  That is a joke in ghostbusters. I don't remember that at all. How weird I don't want to look at this horse anymore
[19:19.660 --> 19:21.900]  I hate make this go away. Can you delete the horse?
[19:22.360 --> 19:23.700]  Yeah, thank you
[19:24.240 --> 19:27.160]  I don't like just you guys said you were great with gross stuff. So I just thought
[19:27.860 --> 19:30.100]  Maybe did anyone say that they were great with gross stuff?
[19:30.860 --> 19:35.360]  Uh, he's in his four minute. Oh, he really left. Oh, he's gone. Oh, I thought maybe he would step out
[19:35.360 --> 19:39.620]  Okay, I see. He doesn't want to work one minute harder than Gavin does so
[19:40.600 --> 19:43.820]  I mean if it's easy I can continue working four minutes after we end
[19:44.460 --> 19:46.860]  No, I dude i'm just happy to have you when you're here
[19:50.500 --> 19:50.980]  I
[19:50.980 --> 19:52.980]  So it just sounded so backhanded
[19:53.500 --> 19:59.340]  It wasn't I had a I had a money making dream and I don't know whether it's it might actually be a good idea
[19:59.340 --> 19:59.900]  In real life
[20:00.540 --> 20:04.440]  Oh, let's hear it in the in the dream. Uh, I had a box
[20:04.960 --> 20:10.740]  And I just kept posting pictures of this box and I kept posting that elon musk really wants what's inside the box
[20:11.740 --> 20:17.000]  Hoping that he would eventually he would get the attention i'd get his attention and he would actually buy the box off me
[20:17.540 --> 20:18.200]  this is
[20:18.980 --> 20:25.420]  This is the smartest idea in the world. This is so fucking smart gavin. This is and I kept just making videos be like
[20:25.980 --> 20:30.440]  Uh, trust me elon musk really wants what's inside this box
[20:32.780 --> 20:34.980]  And uh, yeah, maybe it's worth doing in real life
[20:35.560 --> 20:40.720]  What's in the box? Do you think it's just a usb drive? It's just really something that he wants
[20:40.740 --> 20:42.920]  Okay, trust me
[20:42.920 --> 20:44.660]  I trust you
[20:45.160 --> 20:47.920]  But I think you're gonna have to build the box and put something in it
[20:48.440 --> 20:48.900]  Yeah
[20:49.420 --> 20:52.240]  In your dream. Did you you didn't know what was in the box, right?
[20:52.840 --> 21:00.040]  I think I I knew but I don't I didn't actually know right your dream like you dream you knew but you didn't know. Yeah
[21:00.660 --> 21:01.320]  Yeah, yeah
[21:02.520 --> 21:08.300]  I wonder if uh, I wonder if if it is worth it to make a
[21:08.300 --> 21:11.040]  A musk box and then while we're at it make a bezos box
[21:11.460 --> 21:15.760]  And then we could you could plot them against each other like bezos really wants the musk box
[21:15.760 --> 21:17.720]  And then let's be like, I don't want this to be my box
[21:18.680 --> 21:25.100]  Yeah, I just put up it i'll be like on ebay. Look elon musk really wants what's in this box, but I'll sell it to anyone
[21:27.140 --> 21:31.460]  Do you have to create the hype first you're like this is the box that elon musk wants
[21:31.460 --> 21:33.700]  He wants what's in this so bad
[21:33.700 --> 21:38.940]  Geoff bezos now wants this box because elon wants it so bad and then you say
[21:38.940 --> 21:42.560]  And I will be putting it on sale on ebay like a week later. I think that's
[21:42.960 --> 21:48.900]  This is really good. This is really good. I'm liking this a lot. I do too. It worked out well in the dream
[21:49.520 --> 21:54.980]  What was the I guess like the end of the like what happened at like the end? Did you get very rich?
[21:55.500 --> 21:59.420]  No, I don't think I ever made the sale, but it was just getting really out of hand and it was and everyone was talking
[21:59.420 --> 21:59.900]  about it
[22:01.720 --> 22:02.080]  I
[22:02.080 --> 22:05.160]  Think it was heading that way. It sounds less like a dream and more like a prophecy
[22:05.160 --> 22:07.360]  I think this is something that you need to do
[22:07.800 --> 22:12.120]  Deja vu all over again. We got to get this box. I'm interested in this box
[22:12.540 --> 22:14.360]  Yeah, i'll sell it to you
[22:14.360 --> 22:17.080]  Well, here's the thing. I don't know. I don't know if I want it
[22:17.080 --> 22:22.140]  I'm, just you know, I hear a lot of people talking about the box. So i'm very interested in what's going on
[22:22.140 --> 22:23.340]  You know what's happening?
[22:24.420 --> 22:25.340]  I have a box
[22:26.760 --> 22:29.480]  Elon musk really wants what's inside it. Really?
[22:30.100 --> 22:30.440]  Yeah
[22:30.860 --> 22:31.780]  Is it tungsten?
[22:34.220 --> 22:34.560]  What?
[22:35.360 --> 22:36.460]  Is it tungsten? Is it really heavy?
[22:37.820 --> 22:38.160]  Gold?
[22:39.380 --> 22:40.580]  Silver? What's in the box?
[22:41.740 --> 22:44.740]  See it's intriguing. There you go. I'm very intrigued
[22:44.740 --> 22:49.520]  What's the way? Brad Pitt over there wants to know what's in the box. If you want instead of selling it to uh
[22:49.880 --> 22:51.300]  Elon musk i'll sell it to you Andrew
[22:51.760 --> 22:54.840]  How much? How much do you want for it? I mean, how much do you want to pay for it?
[22:56.600 --> 22:58.080]  I need to get better at this negotiation
[23:01.520 --> 23:03.580]  I'll send you another order of mcdonald's for your box
[23:04.260 --> 23:04.820]  Oh, yeah
[23:05.660 --> 23:10.780]  That's all you got to pay to get the box was mcdonald's unless someone wants to give me more for it
[23:11.300 --> 23:11.940]  Going once
[23:12.400 --> 23:16.660]  No, that's fine going twice. I mean, I think I think you're just selling it too early
[23:16.660 --> 23:19.960]  I think you have to like really get it on the open. I thought you were gonna put it on sold
[23:19.960 --> 23:22.600]  Yeah, that's a good point. Uh void void sale
[23:23.280 --> 23:23.600]  What?
