[00:14.960 --> 00:15.880]  Well, here we are.
[17:45.810 --> 17:46.890]  Gavin, it's, like, inedible.
[17:47.130 --> 17:48.250]  I got way more onion that time.
[17:48.370 --> 17:49.070]  The pickled onion.
[17:49.570 --> 17:50.690]  It keeps going!
[17:52.390 --> 17:53.130]  It's pizza day.
[17:54.170 --> 17:55.770]  It's pizza day. He's gotta go.
[17:58.770 --> 18:00.330]  Who knows when I'll have this shot again.
[18:00.330 --> 18:01.670]  Dude, the crust is good.
[18:02.870 --> 18:03.970]  That's good crust.
[18:04.630 --> 18:05.490]  I told you.
[18:06.690 --> 18:07.670]  With the Branst...
[18:08.070 --> 18:10.050]  This is almost edible.
[18:11.590 --> 18:12.490]  No, it's
[18:12.490 --> 18:12.910]  not.
[18:16.050 --> 18:18.330]  These are flavors I don't think I've ever, like,
[18:18.330 --> 18:20.410]  really had. I don't like how Branston pickle
[18:20.410 --> 18:21.230]  can be
[18:22.050 --> 18:24.150]  crunchy and soft at the same time.
[18:27.550 --> 18:27.970]  Ugh.
[18:28.610 --> 18:29.410]  You love it.
[18:29.490 --> 18:30.550]  He's just going to town.
[18:31.810 --> 18:32.470]  Just like
[18:33.070 --> 18:34.390]  his mom used to make.
[18:37.810 --> 18:39.010]  Gavin's looking for paper towels.
[18:39.110 --> 18:40.770]  He's doing a great job. And if you want to bring
[18:40.770 --> 18:43.130]  a few of us some, that might be pretty cool.
[18:44.910 --> 18:46.650]  Oh, thank you. My man.
[18:46.910 --> 18:47.710]  The stuffed crust is good.
[18:48.650 --> 18:50.110]  No! Yeah, it's good.
[18:50.730 --> 18:52.450]  I gotta say, the crust is great.
[18:52.450 --> 18:54.590]  You enjoy the Branston pickle crust?
[18:54.770 --> 18:55.490]  I do, yeah.
[18:56.130 --> 18:56.770]  That works for me.
[18:57.990 --> 18:59.170]  There's a problem in the middle.
[19:00.170 --> 19:01.030]  Here's the deal.
[19:02.550 --> 19:03.650]  I feel like
[19:04.770 --> 19:06.450]  we may have a little bit more
[19:06.450 --> 19:08.410]  of refining work to do, or maybe
[19:08.410 --> 19:10.530]  not. Maybe we just, we can
[19:11.090 --> 19:12.410]  through context clues
[19:12.410 --> 19:13.610]  from making this first one.
[19:14.710 --> 19:18.430]  Hey, we just found out that none of our
[19:18.430 --> 19:19.670]  video was recording.
[19:20.330 --> 19:21.330]  Not any of it?
[19:21.790 --> 19:23.030]  No, I don't think so.
[19:24.150 --> 19:25.450]  I just got that one right now.
[19:26.270 --> 19:27.310]  The audio's good.
[19:28.490 --> 19:29.810]  Oh, I stopped when you
[19:29.810 --> 19:31.450]  served me. I think it...
[19:33.590 --> 19:35.170]  Oh, I think we've got some of it.
[19:35.590 --> 19:37.010]  We've got none of us eating my pizza.
[19:37.350 --> 19:38.070]  Oh, no.
[19:40.490 --> 19:41.410]  Should we film that?
[19:43.690 --> 19:45.350]  It's like two clips. Okay.
[19:46.890 --> 19:47.850]  A pick-up of
[19:47.850 --> 19:48.710]  eating my pizza.
[19:50.650 --> 19:51.110]  Emily's
[19:51.810 --> 19:52.990]  just like me.
[19:53.430 --> 19:54.850]  We're both professional film people.
[19:54.850 --> 19:55.630]  Hey, you want to eat some of mine?
[19:58.270 --> 19:59.210]  Oh, yeah, we need footage of that.
[20:01.110 --> 20:01.870]  Let's explain.
[20:02.290 --> 20:03.250]  Eric loves an intro.
[20:03.610 --> 20:05.550]  Let's explain what happened. There was a problem
[20:05.550 --> 20:07.710]  with the filming, and we lost
[20:07.710 --> 20:09.310]  all of us eating Gavin's
[20:09.850 --> 20:10.530]  disgusting pizza.
[20:11.750 --> 20:12.650]  Let's eat it again.
[20:13.390 --> 20:15.570]  Now I will say, lost is a strong word
[20:15.570 --> 20:17.730]  when we never had it to begin with.
[20:18.510 --> 20:19.510]  Lost implies
[20:19.510 --> 20:21.570]  it was something we had, and we got.
[20:21.870 --> 20:23.170]  Yeah, get that egg on there.
[20:25.090 --> 20:27.650]  I would say get that bite and then get the crust
[20:27.650 --> 20:28.010]  as well.
[20:32.250 --> 20:33.130]  Come on!
[20:33.770 --> 20:34.790]  It's not that bad.
[20:36.730 --> 20:37.650]  I like 18
[20:37.650 --> 20:39.270]  flavors I've never had all at once.
[20:41.450 --> 20:42.470]  Oh, yes.
[20:43.590 --> 20:44.010]  Yes!
[20:45.330 --> 20:47.130]  Nick's a fucking freak for this shit.
[20:47.310 --> 20:50.610]  Oh, yeah, Eric, get the bite in the front with the egg.
[20:52.510 --> 20:53.650]  It's why... listen.
[20:54.970 --> 20:56.310]  Oh, I didn't get that flavor at first.
[20:59.010 --> 21:00.550]  Honestly, every bite I've had of it
[21:00.550 --> 21:01.430]  is completely different.
[21:03.810 --> 21:05.570]  I really might be sick.
[21:06.050 --> 21:07.850]  Every bite is a snowflake, Eric.
[21:08.390 --> 21:09.930]  Why'd you do this? On purpose.
[21:10.710 --> 21:12.490]  Oh, maybe you should get it on camera too.
[21:12.670 --> 21:14.450]  Oh! Emily should have some!
[21:15.770 --> 21:18.090]  Mine would be good because it doesn't have egg in it.
[21:18.190 --> 21:20.390]  Yeah, the egg is the problem.
[21:21.830 --> 21:23.230]  I mean, I got a little piece of egg for you if you want.
[21:23.250 --> 21:24.870]  No, no, no. I don't like eggs.
[21:24.890 --> 21:27.490]  It's pretty crispy from about 18 minutes of boiling.
[21:33.950 --> 21:36.570]  This is like sweet onion and pizza sauce.
[21:36.690 --> 21:37.590]  You got some...
[21:37.590 --> 21:37.770]  Henry!
[21:38.970 --> 21:40.110]  I have a drinking problem.
[21:41.990 --> 21:43.790]  So you like the plowman's pizza.
[21:43.910 --> 21:44.790]  Yeah, do you want to get some crust?
[21:44.970 --> 21:46.910]  Yeah, I think I've heard the crust is the best part.
[21:48.570 --> 21:49.670]  I hope you don't get the bite
[21:49.670 --> 21:50.730]  that Nick did a second ago.
[21:50.790 --> 21:51.630]  It's the char.
[21:54.010 --> 21:55.270]  And get the front. Get the egg.
[21:55.670 --> 21:56.330]  Go, go, go!
[21:56.850 --> 21:57.630]  Eric, get the egg!
[21:58.090 --> 21:59.290]  Egg! Egg! Egg!
[22:01.230 --> 22:02.250]  It's old food, Eric.
[22:02.250 --> 22:02.570]  Egg!
[22:08.470 --> 22:10.550]  He literally almost threw up down the pizza.
[22:12.150 --> 22:13.990]  So if you're just watching the video,
[22:15.230 --> 22:16.270]  if you're just watching the video,
[22:16.550 --> 22:18.690]  we do have audio of all of the
[22:18.690 --> 22:19.910]  original bite-eatings.
[22:19.990 --> 22:21.850]  So go back and listen to that. It's the full picture.
[22:22.850 --> 22:24.430]  Eric, are you really not going to go for the egg bite?
[22:24.590 --> 22:25.570]  I really don't know whether I can.
[22:26.250 --> 22:27.070]  I think you can.
[22:27.610 --> 22:29.090]  It's like egg chutney.
[22:29.090 --> 22:30.330]  You got it. You got it. Come on, man.
[22:30.830 --> 22:33.050]  What are you doing?
[22:34.090 --> 22:35.010]  How do you know?
[22:35.150 --> 22:36.470]  Just remember, it's old food.
[22:36.830 --> 22:37.490]  You like eggs.
[22:37.670 --> 22:39.850]  You like pizza.
[22:40.730 --> 22:41.810]  You probably like chutney.
[22:41.910 --> 22:43.070]  You bought all these ingredients.
[22:43.330 --> 22:45.810]  I think looking at it is making it worse.
[22:45.930 --> 22:48.870]  Don't look at it. Just close your eyes and go to town.
[22:51.110 --> 22:52.530]  Oh, it dripped on all the wires.
[22:53.730 --> 22:54.730]  Pick a lily drop.
[22:54.890 --> 22:55.690]  That's a Nick problem.
[22:56.450 --> 22:57.930]  Eric carries this. This is his problem.
[22:59.550 --> 23:01.730]  Go on, my son. It's making it worse.
[23:02.750 --> 23:03.630]  Down the hatch.
[23:04.690 --> 23:05.430]  Got this.
[23:05.710 --> 23:07.270]  Big boy. Brave boy. Big brave boy.
[23:08.410 --> 23:09.950]  Look how strong you are.
[23:10.050 --> 23:11.530]  Look at those strong fingers.
[23:11.790 --> 23:13.770]  Look how brave you are.
[23:14.270 --> 23:15.350]  Big, strong, brave guy.
[23:17.790 --> 23:19.410]  What would Fernando Tatis do?
[23:21.250 --> 23:21.730]  Steroids.
[23:21.990 --> 23:22.250]  Yeah.
[23:25.690 --> 23:27.130]  It just tastes like egg.
[23:28.430 --> 23:28.870]  Yum.
[23:30.390 --> 23:31.450]  Everybody likes eggs.
[23:38.010 --> 23:39.930]  It's like when I try to tell my kid something is good.
[23:40.350 --> 23:41.030]  I like it.
[23:46.750 --> 23:48.370]  That's the face the lady made
[23:48.370 --> 23:49.750]  when I proposed to Emily in front of her.
[23:51.970 --> 23:52.410]  Yeah.
[23:53.350 --> 23:53.790]  Yeah.
[23:54.510 --> 23:55.490]  I told them,
[23:55.510 --> 23:57.650]  you haven't heard it, but I told them that nobody
[23:57.650 --> 23:59.330]  there was into us getting married.
[23:59.330 --> 23:59.630]  No.
[23:59.910 --> 24:03.710]  It was fun when we have this major life moment and get back on a tour
[24:04.410 --> 24:05.770]  and just sit there.
[24:06.270 --> 24:07.670]  Just like no one gives a shit.
[24:07.830 --> 24:09.030]  Congratulations, by the way.
[24:11.130 --> 24:11.610]  This fucking
[24:11.610 --> 24:12.870]  sucks. Wow.
[24:13.770 --> 24:15.910]  I mean, it definitely wasn't good, but I would...
[24:15.910 --> 24:17.210]  I mean, I ate most of my...
[24:17.210 --> 24:19.390]  Right! These are all flavors that you know.
[24:21.910 --> 24:23.630]  I've never had that kind of pickled onion
[24:23.630 --> 24:25.210]  or that chutney, but...
[24:26.050 --> 24:27.170]  Is it the worst pizza
[24:27.170 --> 24:27.910]  you've ever had, Eric?
[24:30.410 --> 24:30.850]  Yeah.
[24:31.490 --> 24:32.870]  I mean, like legitimately,
[24:33.450 --> 24:34.370]  like legitimately,
[24:35.130 --> 24:37.310]  I'm trying to think of a pizza I've had that's worse.
[24:39.150 --> 24:40.570]  And there's never been a pizza
[24:41.130 --> 24:43.150]  that almost made me throw up while
[24:43.150 --> 24:43.930]  taking a bite.
[24:43.930 --> 24:45.370]  Like, you've never been...
[24:45.370 --> 24:48.210]  You've never eaten a piece of pizza before that turned you off of pizza.
[24:48.470 --> 24:48.870]  Yeah.
[24:49.250 --> 24:52.190]  I mean, I'm eating a different pizza to get the flavor of this pizza
[24:52.190 --> 24:52.630]  out of my mouth.
[24:52.950 --> 24:55.870]  Watching you move that pizza closer to your mouth and then you gagging
[24:55.870 --> 24:56.370]  and burping.
[24:57.210 --> 24:59.050]  Vile! Vile! Vile!
[24:59.970 --> 25:00.850]  I hate it.
[25:02.070 --> 25:03.230]  Okay, so I think rates...
[25:03.230 --> 25:03.750]  Like, scoring.
[25:05.970 --> 25:07.710]  What would we rate Eric's one?
[25:08.330 --> 25:09.750]  Yeah, what would you rate my tiny pizza?
[25:09.870 --> 25:12.190]  I'd give your tiny pizza an 8.75.
[25:12.190 --> 25:14.250]  Okay. Gavin?
[25:14.530 --> 25:15.830]  Uh, probably 6.5.
[25:16.170 --> 25:16.870]  6.5.
[25:18.710 --> 25:19.670]  That's insane!
[25:20.650 --> 25:22.310]  Andrew, I can't wait
[25:22.310 --> 25:24.370]  for Gavin to rate his own pizza.
[25:24.590 --> 25:26.250]  Let's be fair, it was a very simple pizza.
[25:26.570 --> 25:28.350]  It wasn't very adventurous, so you're losing marks there.
[25:28.730 --> 25:30.290]  I don't want adventure when
[25:30.290 --> 25:32.610]  I eat a pizza. I just want it to taste good.
[25:32.710 --> 25:34.470]  Oh! Hey, we have a special
[25:34.470 --> 25:35.430]  guest who just walked in.
[25:37.030 --> 25:38.070]  Oh, she won't.
[25:38.950 --> 25:40.390]  My small wife is here.
[25:41.850 --> 25:42.370]  Um...
[25:42.370 --> 25:43.950]  Eric made a small pizza for you.
[25:43.970 --> 25:46.310]  Okay, so here's the thing. This is regular
[25:46.310 --> 25:47.910]  small pepperoni pizza stuff crust.
[25:48.330 --> 25:50.470]  Totally fine. No, no. It's 100% regular.
[25:50.610 --> 25:52.190]  It's normal. It is regular pizza.
[25:52.770 --> 25:54.490]  Then Geoff made a pepperoni that was also
[25:54.490 --> 25:54.770]  normal.
[25:56.750 --> 25:57.990]  Gavin made a pizza
[25:58.830 --> 25:59.870]  with chutney
[26:00.530 --> 26:02.050]  and hard-boiled eggs.
[26:02.830 --> 26:03.510]  And ham.
[26:04.810 --> 26:05.850]  Pickled onions.
[26:06.890 --> 26:07.670]  Branston pickle.
[26:07.670 --> 26:09.010]  Pick a lily.
[26:09.330 --> 26:10.250]  Or was it for the bit?
[26:11.570 --> 26:14.110]  Yeah, it's still... well...
[26:14.110 --> 26:14.970]  It was for the bit.
[26:16.190 --> 26:17.650]  Gavin rated my pizza
[26:17.650 --> 26:19.010]  a 6.5.
[26:20.970 --> 26:22.150]  I'd give my pizza
[26:22.150 --> 26:23.790]  at least a 7.
[26:24.190 --> 26:24.830]  It is a...
[26:25.610 --> 26:27.750]  It's a solid pep. It's just, you know...
[26:27.750 --> 26:28.890]  8.75.
[26:29.110 --> 26:30.870]  Then how about Geoff's pizza?
[26:32.390 --> 26:33.530]  Geoff's was a bit more
[26:33.530 --> 26:35.750]  doughy and cold, so I'd say 6.
[26:35.750 --> 26:37.330]  I'd give mine a 7.9.
[26:37.610 --> 26:39.630]  I'd give yours a 7.
[26:39.770 --> 26:41.590]  I think it's a pepperoni pizza.
[26:41.870 --> 26:43.390]  Nick, what's your score on both of those?
[26:43.630 --> 26:45.290]  7 on the little one, 8 on the...
[26:45.290 --> 26:47.910]  And now it's time for Gavin's pizza.
[26:48.490 --> 26:49.570]  Well, it's a 2, isn't it?
[26:49.610 --> 26:50.110]  Let's be fair.
[26:51.010 --> 26:51.890]  It's not good.
[26:53.670 --> 26:56.190]  But the flavors, I think...
[26:56.190 --> 26:57.570]  Every bite was different.
[26:59.230 --> 26:59.730]  It's the
[26:59.730 --> 27:00.430]  English cheddar.
[27:02.650 --> 27:03.570]  The cheese
[27:03.570 --> 27:05.190]  is so strong.
[27:05.330 --> 27:05.850]  It's very strong.
[27:06.370 --> 27:09.590]  But then everything stands up to the strong cheese.
[27:10.050 --> 27:11.290]  So it's just a fight.
[27:11.490 --> 27:13.650]  The cheese basically stands up in the middle
[27:13.650 --> 27:15.650]  of the field, fronting on whoever...
[27:15.650 --> 27:16.950]  And then the branch of pickles is like,
[27:17.130 --> 27:18.490]  I'll match you, you son.
[27:18.730 --> 27:20.690]  And then everyone else just squares up to it,
[27:20.750 --> 27:22.130]  and all the flavors match.
[27:22.250 --> 27:24.370]  Except for the pickle onion, I couldn't get on board with that.
[27:26.350 --> 27:27.150]  It's absolutely...
[27:27.150 --> 27:28.250]  I mean, 2 I think is...
[27:28.250 --> 27:30.070]  I guess I'll give it a 1.
[27:30.070 --> 27:31.810]  If it was cooked better
[27:31.810 --> 27:33.450]  and not burned, I could have eaten the whole thing.
[27:33.750 --> 27:35.590]  It's a 10 on originality.
[27:35.950 --> 27:37.510]  It's a 10 on creativity.
[27:37.770 --> 27:39.890]  It's a negative 200 on every
[27:39.890 --> 27:41.410]  other thing there.
[27:41.630 --> 27:42.570]  So your rating is?
[27:43.830 --> 27:44.710]  2.7.
[27:45.410 --> 27:46.310]  Higher than mine?
[27:48.490 --> 27:49.530]  I'd give it a 3.
[27:49.990 --> 27:50.530]  Thanks, Nick.
[27:51.370 --> 27:52.290]  Thanks, I appreciate that.
[27:53.390 --> 27:54.370]  Emily, what do you think?
[27:55.730 --> 27:56.910]  Well, that's not a number.
[27:58.030 --> 27:59.070]  I think...
[27:59.790 --> 28:00.310]  2?
[28:00.830 --> 28:02.270]  Okay, 2. Appreciate it.
[28:02.330 --> 28:03.270]  I don't think it's a pizza.
[28:04.350 --> 28:05.710]  I mean, it looks like a pizza.
[28:06.030 --> 28:08.930]  I feel like it's a chutney on bread.
[28:09.670 --> 28:11.190]  Like, that's just an appetizer.
[28:11.370 --> 28:12.850]  Barbara, just based on the
[28:13.470 --> 28:13.990]  look...
[28:13.990 --> 28:16.150]  Do you hate yourself?
[28:16.750 --> 28:18.110]  Um, yeah.
[28:19.730 --> 28:20.950]  But not as much as how
[28:20.950 --> 28:21.630]  that turned out.
[28:24.380 --> 28:24.900]  2.
[28:24.900 --> 28:25.560]  2.
[28:26.460 --> 28:27.760]  And what was your rank?
[28:28.000 --> 28:28.380]  1.
[28:29.060 --> 28:30.800]  We should call it the Plowman's 2.
[28:32.120 --> 28:34.140]  I will change my score to 2 for that.
[28:34.500 --> 28:34.920]  Absolutely.
[28:35.680 --> 28:37.980]  That's what's gonna be the recipe. The Plowman's number 2.
[28:38.180 --> 28:38.980]  Oh, man.
[28:39.660 --> 28:41.800]  Yeah, I think I would probably do it again without
[28:41.800 --> 28:44.400]  the pickled onion, and without the piccadilly.
[28:44.560 --> 28:45.540]  Okay, so hang on.
[28:46.120 --> 28:47.100]  Shut the fuck up.
[28:47.180 --> 28:48.600]  What are you talking about?
[28:48.920 --> 28:51.500]  The Branson pickle was the whole point.
[28:51.500 --> 28:53.900]  No, pickled onion is different than Branson pickle.
[28:53.960 --> 28:55.740]  Even though Branson pickle is pickled onion.
[28:55.800 --> 28:56.440]  I'm talking about the pickled onion in the jar.
[28:56.840 --> 28:58.100]  The yellow stuff.
[28:58.940 --> 29:00.620]  He had two different kinds of pickled onion.
[29:00.880 --> 29:01.940]  He liked one.
[29:02.060 --> 29:04.820]  You didn't have any of that, because I only did that on half the pizza.
[29:05.540 --> 29:07.820]  You had the best version of that pizza.
[29:08.540 --> 29:09.840]  The one bite with the egg
[29:09.840 --> 29:11.080]  just tasted like egg,
[29:11.320 --> 29:13.180]  but it was so wet and firm.
[29:13.580 --> 29:15.320]  The cheese was so strong.
[29:15.360 --> 29:16.520]  Oh, but the crust was phenomenal.
[29:16.760 --> 29:19.040]  You had the side of the pizza that he's on board with.
[29:19.040 --> 29:19.220]  Yeah.
[29:21.840 --> 29:23.380]  Yeah, if I made it again,
[29:23.540 --> 29:25.160]  no piccadilly, none of that yellow
[29:25.160 --> 29:27.460]  floppy pickle, and the rest was phenomenal.
[29:28.660 --> 29:29.060]  Phenomenal?
[29:29.440 --> 29:31.040]  But it just needed to be cooked.
[29:31.280 --> 29:32.580]  It needed to be not raw and hot.
[29:33.440 --> 29:35.720]  It was hot floppy bread with burnt bits.
[29:35.840 --> 29:37.000]  It like gave me a headache.
[29:37.420 --> 29:38.840]  I don't feel good.
[29:38.900 --> 29:39.840]  That's all the carcinogens.
[29:40.060 --> 29:41.960]  I feel bad.
[29:42.460 --> 29:45.900]  We didn't even talk about when that chunk of wood fell on Gavin's pizza.
[29:46.060 --> 29:48.260]  We had to separate it from the pizza.
[29:48.260 --> 29:49.580]  You dropped wood on my pizza?
[29:50.360 --> 29:51.420]  Just like that.
[29:51.720 --> 29:52.840]  Big ass hunk of charcoal.
[30:00.870 --> 30:01.310]  Um...
[30:01.310 --> 30:02.510]  Okay, so it wasn't a win.
[30:06.940 --> 30:08.540]  But I've learned a lot.
[30:09.060 --> 30:10.180]  Oh yeah? Yeah.
[30:10.360 --> 30:12.220]  You gotta start somewhere.
[30:13.140 --> 30:15.300]  Andrew, how would you rate all these from looks? Did you do that already?
[30:15.920 --> 30:17.660]  Uh, yeah, from looks, I would say that
[30:17.660 --> 30:20.060]  Gavin, yours was a one.
[30:20.760 --> 30:21.900]  Actually, I maybe
[30:21.900 --> 30:24.120]  I don't know if I could imagine a pizza that
[30:24.120 --> 30:26.160]  looked worse, to be honest. It's tough to
[30:26.160 --> 30:27.860]  scale. At least it was a slow.
[30:28.320 --> 30:30.220]  But I can't imagine a worse looking one.
[30:30.220 --> 30:32.240]  Here's the thing, Gavin, your pizza
[30:32.240 --> 30:34.120]  looked like if
[30:34.120 --> 30:36.000]  a children's TV show was
[30:36.000 --> 30:37.880]  trying to show a disgusting pizza,
[30:38.360 --> 30:40.200]  it would have cut up hard-boiled
[30:40.200 --> 30:41.860]  eggs and chutney.
[30:42.260 --> 30:43.840]  Like, it would have those things and it would
[30:43.840 --> 30:46.120]  it would be somebody pulling like the lid
[30:46.120 --> 30:47.720]  off the pizza and the camera would go
[30:47.720 --> 30:48.420]  BOOM!
[30:50.320 --> 30:51.920]  If Nickelodeon made Fear Factor,
[30:52.260 --> 30:53.320]  that would be a challenge.
[30:53.600 --> 30:55.760]  It looks like your pizza is something
[30:55.760 --> 30:57.020]  Mark Summers made kids
[30:58.060 --> 30:58.940]  put together
[31:00.340 --> 31:02.040]  to avoid the slime.
[31:02.200 --> 31:03.440]  And they're eating, oh, this is
[31:03.440 --> 31:04.820]  wild. This is awful.
[31:05.580 --> 31:07.780]  Hey, how would you rate Geoff's pizza
[31:07.780 --> 31:08.520]  just based on looks?
[31:09.180 --> 31:11.880]  Yeah, I'd say yours and Geoff's have to be a seven.
[31:12.200 --> 31:13.820]  Just as a minimum. Like, it seemed like it was
[31:13.820 --> 31:15.860]  cooked, it's pepperoni, there's nothing too fancy
[31:15.860 --> 31:17.860]  about it. It seems like kind of a basic dough.
[31:18.000 --> 31:19.780]  Like, it's fine. It's solid. It's a solid pizza.
[31:19.940 --> 31:21.800]  I will say, I think we made those just
[31:21.800 --> 31:22.980]  to have something to eat.
[31:24.540 --> 31:24.980]  Yeah.
[31:26.280 --> 31:27.360]  That's how it feels.
[31:27.600 --> 31:29.760]  The real star of the show was Gavin's
[31:29.760 --> 31:30.600]  Plowman's number two.
[31:31.720 --> 31:33.160]  What a star it was.
[31:33.380 --> 31:35.440]  You ever seen a star fall that fast?
[31:37.740 --> 31:38.840]  It was a real crash and burn.
[31:40.540 --> 31:41.420]  So, um...
[31:41.420 --> 31:42.280]  Proud of you.
[31:43.260 --> 31:44.520]  I'm proud of all of us.
[31:44.940 --> 31:46.460]  We all made a pizza today.
[31:46.520 --> 31:48.620]  That's awesome. Geoff's one
[31:48.620 --> 31:50.220]  and only time using that pizza oven.
[31:50.540 --> 31:51.020]  So far.
[31:52.020 --> 31:53.820]  Are you open to using it more?
[31:54.480 --> 31:56.200]  Well, we were talking about it today, Andrew.
[31:56.580 --> 31:58.360]  It's barely been four years that
[31:58.360 --> 32:00.240]  I've lived here. And we finally
[32:00.240 --> 32:02.380]  broke the seal. So, any day now.
[32:02.560 --> 32:04.360]  It's barely been four
[32:04.360 --> 32:06.240]  years getting around to
[32:06.240 --> 32:08.020]  use that big thing in my
[32:08.020 --> 32:09.940]  backyard that takes up so much space.
[32:09.940 --> 32:11.920]  Is anyone having like a bubbly feeling
[32:11.920 --> 32:14.020]  in their tummy? No, because I only ate
[32:14.020 --> 32:15.120]  like two bites of that.
[32:16.240 --> 32:17.960]  Bubbly feeling. Yeah, just like a little bit
[32:17.960 --> 32:19.660]  of a unsettled
[32:20.680 --> 32:21.880]  sort of raw egg.
[32:22.220 --> 32:22.440]  Sort of.
[32:23.480 --> 32:25.740]  Well, I guess we should wrap up our pizza day.
[32:27.060 --> 32:28.520]  I keep smelling it.
[32:28.620 --> 32:29.680]  Yeah, it's not a good smell.
[32:30.000 --> 32:31.300]  It's not a good smell.
[32:31.360 --> 32:32.380]  It just stinks.
[32:32.720 --> 32:34.000]  It stinks.
[32:36.420 --> 32:38.160]  If you half all the ingredients,
[32:38.160 --> 32:39.940]  can you tell us what the pizza stinks of?
[32:41.080 --> 32:42.060]  Onion. It's a sweet
[32:42.060 --> 32:43.520]  onion smell, mostly.
[32:44.320 --> 32:46.080]  It's the Vidalia onion. That's the thing I'm
[32:46.080 --> 32:47.600]  taking out, so that's fine. But then,
[32:48.160 --> 32:50.100]  egg. But then just
[32:50.100 --> 32:51.560]  simply, egg.
[32:52.360 --> 32:54.020]  Like, it's so sweet
[32:54.020 --> 32:55.940]  and then it smells like an
[32:55.940 --> 32:57.780]  egg. Think about
[32:57.780 --> 33:00.080]  this, Gavin. I used seven
[33:00.080 --> 33:01.900]  months expired dough and
[33:01.900 --> 33:04.220]  cooked it in a waffle iron and I would have scored
[33:04.220 --> 33:05.120]  higher than that. Oh, absolutely.
[33:05.120 --> 33:07.380]  Andrew, Andrew, just based on looks
[33:07.380 --> 33:08.880]  for yours, a hundred percent.
[33:09.240 --> 33:10.940]  Your tiny little cute
[33:10.940 --> 33:12.960]  handheld pizza. Your bagel bite is adorable.
[33:13.120 --> 33:14.760]  Those are adorable. Good work.
[33:15.140 --> 33:16.580]  Good work. I wanna
[33:17.020 --> 33:18.960]  sell stuffy versions of it to kids.
[33:19.520 --> 33:21.220]  You can sleep with your little bagel bite
[33:21.220 --> 33:22.600]  pizza puff.
[33:23.140 --> 33:25.140]  Okay, we should wrap up our pizza day
[33:25.140 --> 33:27.220]  so Gavin can go, I mean, have a
[33:27.220 --> 33:29.260]  bubbly tummy. I'm gonna go and have an afternoon.
[33:33.640 --> 33:34.360]  Really something.
[33:35.940 --> 33:36.700]  If you wanna
[33:36.700 --> 33:38.040]  watch this, you can.
[33:38.340 --> 33:40.100]  I mean, we'll have the uninterrupted video
[33:40.100 --> 33:41.720]  except for somebody interrupted it.
[33:42.140 --> 33:44.160]  But it'll just go to like, you know, the logo
[33:44.160 --> 33:45.900]  and then it'll come on back
[33:45.900 --> 33:47.380]  to when we're going
[33:48.080 --> 33:49.960]  and resetting. And there's also a video
[33:49.960 --> 33:52.140]  of us making them. There is. There's a video
[33:52.140 --> 33:54.000]  of us making, it might be at the beginning of this thing
[33:54.000 --> 33:55.600]  but not the audio. I don't know. We'll see.
[33:56.260 --> 33:57.820]  Maybe we'll Pulp Fiction it
[33:57.820 --> 33:59.160]  and who knows where it'll appear. Yeah, it'll
[33:59.720 --> 34:01.280]  be right there in the middle. It's a non-linear piece
[34:01.280 --> 34:01.600]  of video.
[34:03.120 --> 34:04.560]  A successful office day?
[34:05.100 --> 34:06.000]  Oh, it's a great office day. Yeah.
[34:06.900 --> 34:09.340]  Two for two. We're getting a lot done.
[34:09.500 --> 34:11.120]  We watched the monkey movie
[34:11.120 --> 34:13.080]  and now it feels like uncorked.
[34:13.160 --> 34:14.820]  Like we're ready to go. Yeah. Every day.
[34:15.000 --> 34:17.260]  Yeah. Thanks for joining us, Andrew.
[34:18.500 --> 34:19.180]  Thank you.
[34:19.840 --> 34:20.600]  For making such
[34:21.260 --> 34:22.820]  incredible pizzas, Eric and Geoff.
[34:22.920 --> 34:24.480]  And for whatever you made, Gavin.
[34:24.940 --> 34:26.380]  I appreciate looking at it.
[34:26.380 --> 34:27.800]  Man, Gavin, catching a lot of heat.
[34:28.140 --> 34:30.020]  The English cheddar is just so much.
[34:32.600 --> 34:33.860]  Gavin's caught all the heat.
[34:34.460 --> 34:36.000]  Gavin's pizza caught on fire.
[34:36.480 --> 34:37.280]  It caught char.
[34:38.140 --> 34:40.240]  Gavin kept going, I've been sabotaged.
[34:40.820 --> 34:41.720]  I was sabotaged.
[34:42.040 --> 34:44.420]  And then the only part of the pizza that was any good
[34:44.420 --> 34:46.200]  the only part of your pizza that was any good
[34:46.200 --> 34:48.120]  was the crust. I had to bite through the ash
[34:48.120 --> 34:48.980]  to get to the good bit.
[34:50.700 --> 34:52.340]  I thought I knocked
[34:52.340 --> 34:53.100]  most of that off.
[34:53.920 --> 34:55.460]  With the word that you dropped on it?
[34:57.440 --> 34:58.520]  Well, that'll do it.
[34:59.180 --> 35:00.620]  Follow us at Face Jam-
[35:00.620 --> 35:02.600]  Fuck. Sorry.
[35:03.880 --> 35:04.980]  It's a natural habit
[35:04.980 --> 35:06.160]  with this amount of gross food.
[35:06.540 --> 35:08.980]  Honestly, this is how I feel after most
[35:08.980 --> 35:11.040]  Face Jam episodes where you're just like, this is shit.
[35:11.040 --> 35:13.040]  You've got two default intros. One has a gut full of
[35:13.040 --> 35:14.480]  nasty food and you just went to that one.
[35:14.780 --> 35:16.860]  Follow us at F*** Face Pod
[35:16.860 --> 35:18.880]  on Twitter and on Instagram.
