[00:15.410 --> 00:23.210]  Hello and welcome to episode two of the Face Q&A show. Thank you so much for joining me.
[11:10.230 --> 11:19.670]  And I thought that that was really beautiful. And I liked that a lot. And it kind of echoed some of the things I'd felt recently doing that weird discord puzzle thing I did.
[11:19.670 --> 11:27.670]  So I became fascinated in this idea of like, I would love to somehow do a fatty pork like puzzle with the community in some way.
[11:27.990 --> 11:36.430]  So I was really fixated on that. And then the day after I watched the movie that that family member passed away was sort of unexpected.
[11:37.030 --> 11:46.270]  And so I really was struggling with that. And there's feels weird to say there's sort of a funny story on that day that I won't get into now.
[11:46.270 --> 11:51.750]  I guess if someone wants to know about it, they could ask about it. But I really went into like just trying to as a distraction.
[11:51.910 --> 11:58.550]  What can I do? Like what is I want to do a fatty pork? Then later that week, a few days after that.
[11:58.730 --> 12:05.570]  And this is largely why Raymond Samir happened. Austin, Texas, got hit by a snowstorm. It was like a blizzard.
[12:07.850 --> 12:14.370]  And of all things, a snowstorm. And it was like a serious thing. People didn't have power for like a week.
[12:14.370 --> 12:21.410]  I want to say houses were being damaged. Water lines were. It was just chaos. It was a terrible time, apparently, for people in the city.
[12:22.810 --> 12:30.250]  And it was, I think, the day before an episode was going to go out. I learned that we weren't going to be able to upload on Wednesday.
[12:30.390 --> 12:34.330]  And it'd be the first time since we started our show that we wouldn't have an upload for that day.
[12:34.810 --> 12:42.530]  And this is, I don't know, it's going to sound arrogant in some way or like self-important when it's not at all intended to be.
[12:42.530 --> 12:50.670]  I hear so often from people that our show, it has been a constant during this really difficult time.
[12:50.850 --> 12:56.370]  And I've heard people say a lot that it means something to me to know that on Wednesday I have a new f*** face.
[12:56.870 --> 13:02.210]  That there's going to be something that I can enjoy that will help or create laughter in my life, at least.
[13:02.290 --> 13:09.590]  And how meaningful that is to them. So it's important to me that we always have something on that day.
[13:10.070 --> 13:17.190]  So when I heard that, I kind of immediately went into this scramble mode of, f***, like I'd love if possible, because I still have power.
[13:17.290 --> 13:20.750]  Everything is normal to me. I have no issue. It's just like a regular day.
[13:21.870 --> 13:27.810]  Is there something I can do that would give some piece of content on Wednesday?
[13:27.950 --> 13:29.910]  It can't be long because it's going to be unedited.
[13:30.250 --> 13:35.250]  And also, like, it can't be expansive or large because that's not f*** face.
[13:35.310 --> 13:37.770]  At that point, f*** face is what everybody brings to it.
[13:37.770 --> 13:43.810]  And so I thought, what is something I could do that's brief that would hopefully be something that the audience enjoyed?
[13:45.330 --> 13:51.710]  And so I was like, well, f***, I could do... you can't really confirm a name.
[13:51.810 --> 13:56.650]  Like, I couldn't think of a way in which someone could, without a doubt, confirm that my name is Andrew Payton.
[13:56.850 --> 13:59.750]  I thought I could do that. And that can maybe be a fatty pork thing.
[13:59.810 --> 14:06.050]  And I kind of rushed through this thought process of I could create things both ways of like what my name actually is.
[14:06.050 --> 14:09.790]  And so I kind of rushed into it at that point and I recorded what I recorded.
[14:10.430 --> 14:13.650]  I released it and I was terrified when I did it.
[14:13.690 --> 14:18.750]  It was like this strangely stressful thing that is completely mine for putting on.
[14:18.830 --> 14:22.710]  But it was I was worried about. I don't know. I meant the best.
[14:22.810 --> 14:27.110]  It was it was done with the best intentions and I didn't I didn't fully consider it.
[14:27.130 --> 14:33.090]  It was very sudden. So then it released and I saw some of the negative sides of it.
[14:33.090 --> 14:40.830]  I felt really guilty for the people that like embraced me and championed me for for like revealing that as a thing when it wasn't an honest reveal.
[14:41.430 --> 14:46.370]  I felt guilt about that and I felt like I had betrayed these people in a way.
[14:46.570 --> 14:56.430]  I felt really bad about that. And then there were also just some general discussions of like the phrasing around what it means to go by a name in which you weren't given at birth.
[14:56.430 --> 15:04.610]  And like some of the the the tone of those discussions were not at all what I intended or that I'd ever hoped for.
[15:04.650 --> 15:12.710]  Like, I never want anyone to feel uncomfortable. And and some of the like the declarations of claiming that is somehow betrayal when it isn't or like a lie in some way.
[15:12.850 --> 15:20.530]  A deception sucked. And I didn't I didn't want that. I was just trying to create something brief.
[15:20.530 --> 15:34.950]  And that was sort of inspired by this fatty pork idea. And then the other layer that sucked as well is there are people that really dug in and they found the obituary for that relative of mine who passed away.
[15:34.950 --> 15:49.850]  And they would send it to me as like, hey, I figured it out. Like, this is proof that you're this name and not this name. And that at that time really sucked and made made that aspect of it harder.
[15:50.250 --> 15:57.490]  And those are bad people who did that. It's just it's so it's so easy to get lost in something like that, like a bit of that type.
[15:58.930 --> 16:10.770]  Yeah. So I don't I didn't hold anything against them. I understood why. But it's just it sucked. And I didn't really want to. Very quickly after it came out, I didn't really want to pursue it in any way.
[16:10.790 --> 16:20.830]  And that's why there's never really been any advancement from it outside of the episode. We talk about it. And if you listen to that episode, I'm very reluctant and don't really want to talk about it.
[16:20.830 --> 16:31.310]  But it was something we had to do because of what I had set up. But that is the story of Raymond. So I don't think I'm missing anything. I guess if you have any specific questions about it, feel free to ask.
[16:31.910 --> 16:41.110]  I hope that was interesting. And with that being said, we should actually move into the Q&A part of this show, which is the purpose of it.
[16:41.110 --> 16:54.050]  Also, if you want to ask a question, I should just say you can call me at 512-487-7977. That is 512-487-7977. That is a number for Austin, Texas.
[16:55.130 --> 17:06.870]  I also tweet when I'm taking calls. So if you want to try to have a conversation with me, that would be the time to do that. Otherwise, if you just want to leave a question, feel free to phone that number anytime you like.
[17:06.870 --> 17:20.610]  And with that, let's get to our questions. First questions. First questions. I'm great at speaking. What kind of music are you into? This is sort of a difficult question for me to answer.
[17:20.910 --> 17:29.890]  I feel like it's super generic for people to be like, I like all music. And it's like they don't actually. That's a sort of insane statement to make because of how wide ranging music is.
[17:29.890 --> 17:44.430]  But music is a thing that I avoided largely, which also sounds weird. It's a void in a sense of my knowledge as far as entertainment goes. I played so many video games and I've seen so many movies. I really invested all of my entertainment time in that way.
[17:44.530 --> 17:57.990]  And only recently have I gotten more into music. I really like rock and pop and rap and indie rock and jazz and some country. But I'm very selective with my country, I'd say, generally speaking.
[17:58.470 --> 18:05.930]  Maybe I'll just make a playlist on Spotify or something of some songs I like. And if you want to listen to it, you're welcome to do so.
[18:06.710 --> 18:18.150]  Okay, next question. I should have written these down better. Annabelle asks, is this number real? This number is real. And it's one of my favorite things when people call it not knowing that it's real.
[18:18.150 --> 18:34.050]  I had a call recently, and I don't know, maybe we'll release this in some way. But this person called the number clearly just based on the fact that they got a shirt, a child kicker shirt. And the joy that they had to learn that it actually was a real number and it went somewhere was incredible.
[18:34.050 --> 18:56.170]  Like they at first were just shocked that they're leaving a message for this number. And they were like, this is the greatest. And then somehow decided that this number might not be associated with the podcast, that we just throw some random number on a shirt, which is, I guess, a fair assumption for our show. But he then tried to explain what the podcast was and convince them that they should listen to it, which is incredible.
[18:56.650 --> 19:16.270]  So this is, in fact, a real number, but it is such a treat to hear people make that realization. What's your favorite holiday treats? Holiday treats. I feel like is eggnog a treat? Not that I've ever had it, but I feel like when I hear holiday, for some reason, my brain kind of associates month of December.
[19:17.210 --> 19:41.670]  But but really, when I think of specific technically holiday treats, I think more Thanksgiving. So I'd say like pumpkin pie is a great holiday treat, even though you could have that year round. But to me, it's like very much a Thanksgiving staple. And cranberry sauce, I think, is highly underrated. I wish cranberry sauce is just year round. It's one of my favorite things. I love best part of Thanksgiving by far.
[19:42.870 --> 20:06.650]  Olivia wants to know if I have any stories about orcas. I don't have any stories about orcas. Unfortunately, I wish I did. It sounded like you really have a passion or enthusiasm for orcas. I'd love to know if you have a story. I did, however, do some research and I looked up some orca facts, which I found interesting. And one of them, this blew my fucking mind. Apparently, orcas aren't whales, they're dolphins.
[20:07.450 --> 20:31.010]  Nobody told me this. They're apparently the largest type or species breed. One of those words is correct of dolphins. That was crazy. That's crazy to learn. They also are like the most widespread mammal outside of only humans, as far as like the amount of area they cover. There's so many different climates, or at least there are more climates than any other animal outside of humans.
[20:31.010 --> 20:41.590]  So those are some some orca facts. I hope I hope those were interesting to you. And as I said, I'd love to hear if you have a story or any what your favorite orca fact is.
[20:42.810 --> 21:03.730]  Person from Virginia asked, Do I have any Halo 2 lasso tips? I do. I have two tips. One, and this is probably not useful to you because I'm assuming you started it. But if you haven't, make sure you start it solo, because if you go in with co-op, it skips over the tutorial level. And that fucking sucks because then you're screwed. You have to do it all over again, like literally from the beginning to the end.
[21:04.190 --> 21:23.710]  You will get fucked over if you do that. If you go in with a co-op partner, at least when I did it, maybe they fixed that. But that was certainly the case when I played it. My second Halo 2 lasso tip is there are some phenomenal guides on YouTube for lasso runs, but there are also some really well done legendary Halo 2 speed running guides.
[21:23.710 --> 21:48.790]  And I found that there were times where I found the lasso guide more useful, and then I would find the speed running technique for an area to be more useful in bypassing things. So I would look at both things if you're going to do any research for this. Analyze both speed running and lasso specific guides and try to find techniques that fit the best for you. Because for me, it was like it was a constant kind of flipping of going back and forth.
[21:48.790 --> 22:13.250]  A Boston Bruin fan wants to know if I'm a Vancouver Canucks fan. I am, unfortunately. They're not easy to be a fan of. Things have been better recently since the firing of Jim Benning and Travis Green. I don't think people probably really care about listening to me talk about the Vancouver Canucks, but there are aspects of their team that I think are so fucking crazy.
[22:13.250 --> 22:29.430]  The history of like the last 10 years, the events with like the Luwango trade and just how the owners have operated in some ways is fucking wild. So maybe I'll talk about that at some point if somebody cares, but I'm going to move on from that question.
[22:29.430 --> 22:57.830]  Going to Morgan in Athens, Ohio, wants to thank us for making the show and for the friendship atmosphere we have during it. Thank you, Morgan in Athens, Ohio, for listening and supporting and allowing us to have that space and doing so. That space has meant so much to me. And it's almost like therapeutic now where for a comedy show, you'd think like you'd want to go in with like a really good mindset or like positive in some way.
[22:57.830 --> 23:23.630]  And there are times where I'll just speak for myself. I have recorded being pretty down, you know, struggling with kind of some things in my personal life. And it has been so helpful to just have that space. Like when I'm going through a difficult thing, knowing that I'm going to get an hour to play with some of my closest friends and just have fun and laugh has been invaluable over these last almost, I guess, two years at this point.
[23:24.850 --> 23:47.090]  So thank you for supporting us and allowing us to continue to make this really stupid show. I guess, what? How long have I been recording for? We want to try to make these. Oh, 25, 25 minutes. I should try to wrap this up. What's one more? One more question that I have. What's my favorite type of corn?
[23:50.590 --> 24:11.630]  That's a tough one. I don't like cream corn. Corn on the cob feels like such a generic answer. I feel like popcorn is the elite corn. It's probably the best corn. I don't care for the band corn. I think popcorn. But I think there's an argument you can make for possibly corn puffs or corn flakes. Less so flakes. Corn pops though. Pretty good.
[24:12.270 --> 24:39.230]  I feel bad. I have so many more questions. I guess I'll tackle these maybe next show. I'll just make it super specific on Q&A stuff so I could get through all of them. If you left a question, I didn't answer it. I will do my best to do so next episode. Once again, thank you so much for listening. It really means a lot to us that you all continue to support our show and allow us to make it and do the dumb shit that we do. So thank you so much. I hope you have a wonderful day.
