[00:05.160 --> 00:06.580]  Previously on F*** Face.
[01:45.550 --> 01:48.370]  So you picked the time to update your computer.
[01:48.450 --> 01:50.690]  I realized, well, I still haven't restarted it.
[01:50.750 --> 01:53.850]  And I thought I can't wait like six weeks without restarting it.
[01:54.030 --> 01:57.250]  So I just went for it about two fifty five.
[01:57.330 --> 02:00.630]  But it was oh, I should have started two fifty four. Yeah.
[02:01.410 --> 02:03.110]  Well, your computer finished updating.
[02:03.390 --> 02:04.750]  Yeah. Holy fuck.
[02:04.750 --> 02:08.870]  Takes me like six hours to like export one of these files.
[02:08.990 --> 02:10.470]  I was like, there's no way he's going to make it.
[02:10.590 --> 02:11.950]  I hate so much.
[02:12.050 --> 02:13.990]  We've been doing this for almost two years.
[02:14.150 --> 02:18.230]  And you still have the state, the same piece of shit steam train coal computer.
[02:20.370 --> 02:21.770]  I'd love a new computer.
[02:21.890 --> 02:23.630]  Get one then, we'll get you one.
[02:24.230 --> 02:25.110]  That sounds great.
[02:26.510 --> 02:27.310]  Sounds fantastic.
[02:27.750 --> 02:28.950]  I don't know how to organize that.
[02:29.090 --> 02:30.530]  Someone must organize that. That sounds great.
[02:30.650 --> 02:31.930]  Eric, get the credit card.
[02:33.210 --> 02:35.790]  Yeah, OK. Yeah, I'll get the credit card for the show.
[02:37.890 --> 02:39.530]  Oh, Henry's starting off early today, too.
[02:39.570 --> 02:40.490]  He's also excited.
[02:40.790 --> 02:41.390]  Can I ask my question?
[02:41.450 --> 02:44.510]  Because I feel like we're going to drift away and it's it's only it's really tied.
[02:44.650 --> 02:45.510]  It's tied to the intro.
[02:45.630 --> 02:51.070]  OK, I do a specific part of why did we stop numbering the episodes of the show?
[02:51.310 --> 02:53.870]  What we didn't. I this is episode 97.
[02:54.070 --> 02:55.190]  I just said it. No, I know.
[02:55.210 --> 03:00.570]  But if you look at it on podcast apps, we number up to 43, I think.
[03:00.570 --> 03:01.910]  And then the numbers stop.
[03:01.950 --> 03:03.450]  I thought we didn't number at first.
[03:03.630 --> 03:05.190]  And I was campaigning for the numbers.
[03:05.290 --> 03:06.230]  And then the numbers came in.
[03:06.270 --> 03:07.550]  Are you saying the numbers have gone again?
[03:07.970 --> 03:09.730]  Oh, the numbers have been gone since 43.
[03:09.930 --> 03:13.010]  From what I could tell. No, I'm pretty sure.
[03:13.310 --> 03:15.590]  I was looking at least on Google podcast and their app.
[03:15.730 --> 03:18.790]  We go to 43. And it's just it's just the name.
[03:18.930 --> 03:20.890]  Who's in charge of that? Nick or Eric?
[03:21.110 --> 03:22.410]  I don't know. Yeah, Nick.
[03:23.030 --> 03:24.270]  Yeah, Nick's in charge of that.
[03:24.270 --> 03:27.970]  Ha ha ha ha ha ha ha ha ha ha.
[03:28.950 --> 03:30.890]  Nick just typed Jesus, what?
[03:31.930 --> 03:33.250]  I'm just like, why?
[03:34.070 --> 03:35.410]  I was just curious if there's a reason.
[03:35.410 --> 03:39.890]  I also I'm looking at them, they're numbered on Apple.
[03:40.290 --> 03:41.930]  So I don't want to tell you.
[03:42.430 --> 03:43.250]  They're not numbered on YouTube.
[03:43.870 --> 03:45.910]  Let me look at let me let me pull up my I don't want to.
[03:46.070 --> 03:46.610]  I could be wrong.
[03:46.710 --> 03:47.610]  I mean, I'm looking at the number.
[03:48.530 --> 03:50.610]  So face. Yeah, the numbered on Apple.
[03:50.610 --> 03:54.190]  On Google, on the Google podcast, which was... okay.
[03:54.710 --> 03:56.290]  They're not here, that's why.
[03:56.350 --> 03:58.590]  Today I found out Google has a podcast thing.
[03:58.990 --> 03:59.510]  Yeah, me too.
[04:00.870 --> 04:02.350]  I thought it was just Apple and Spotify.
[04:03.370 --> 04:06.050]  We're in the process of the animated thing.
[04:06.270 --> 04:09.790]  And I've been trying to source what episodes came from where.
[04:10.550 --> 04:13.510]  And it's a nightmare beyond 43, but I'll switch to Apple.
[04:13.750 --> 04:14.430]  I'll make it a lot easier.
[04:14.770 --> 04:16.570]  We came up with a name for it. Have we announced the name?
[04:16.950 --> 04:17.750]  I don't think we have.
[04:17.750 --> 04:21.470]  I don't even think we've announced that we're doing an animated series.
[04:21.830 --> 04:26.190]  I don't think we've gotten past early tests in animatics.
[04:26.410 --> 04:30.310]  I don't think that we've proven that it's even going to be a viable thing.
[04:30.770 --> 04:31.830]  Oh, okay. Whatever, Mike.
[04:32.730 --> 04:35.950]  Well, why don't you go ahead and name it so people can ask for it when it never shows up.
[04:36.110 --> 04:38.670]  Maybe it should be announced in a nice trailer or something.
[04:39.010 --> 04:40.790]  Ah, we've already announced this.
[04:40.930 --> 04:42.710]  We've already talked about it on the show.
[04:42.710 --> 04:45.650]  In the most f*** face way ever.
[04:46.590 --> 04:48.790]  We've announced it on the show now.
[04:49.190 --> 04:52.250]  And now you're going, hmm, maybe we should announce it a different way.
[04:52.450 --> 04:53.270]  That's not going to happen.
[04:53.970 --> 04:56.050]  We've announced it like a week ago.
[04:56.490 --> 04:58.470]  It's already come out, us talking about it.
[04:58.590 --> 05:03.910]  I feel like two weeks ago, I think it's, as Nick said, I think I talked about it already.
[05:04.010 --> 05:05.770]  I think I asked in the episode, can I talk about it?
[05:05.790 --> 05:06.350]  You're like, yeah.
[05:06.590 --> 05:08.150]  That was like a month ago, wasn't it?
[05:08.170 --> 05:09.930]  It was quite a while ago.
[05:09.930 --> 05:13.290]  So Gavin, you've been keeping everybody in suspense for a month.
[05:13.410 --> 05:15.430]  You came up with the name. Why don't you say what it is?
[05:15.930 --> 05:17.470]  I would say it was in collaboration with Eric.
[05:17.610 --> 05:22.070]  But we've decided on F*** Face Regulation Animation.
[05:29.020 --> 05:29.740]  It's a great name.
[05:30.080 --> 05:31.800]  Yeah, that's a fantastic name. I absolutely love it.
[05:31.920 --> 05:33.380]  Didn't want to take any credit away from Eric.
[05:33.480 --> 05:35.600]  Didn't realize it was a combo naming.
[05:36.200 --> 05:37.680]  Well, he's inspired me.
[05:37.940 --> 05:38.980]  Congratulations to both of you.
[05:39.900 --> 05:40.920]  I think it's a great name.
[05:40.920 --> 05:42.680]  I'm all about it.
[05:42.920 --> 05:49.140]  We cannot use the word, when appropriate, you cannot overuse the word regulation.
[05:49.660 --> 05:50.900]  It's a regulation word.
[05:51.860 --> 05:53.780]  It's a great word. It's a great regulation word.
[05:54.480 --> 05:57.940]  What's the regulation amount of regulations per episode?
[05:59.280 --> 06:02.560]  I mean, it's purely conversationally dependent, you know?
[06:02.820 --> 06:03.060]  Yeah.
[06:04.040 --> 06:08.480]  There might be episodes where the word's not appropriate at all.
[06:08.720 --> 06:10.760]  Although I would find that hard to believe.
[06:10.760 --> 06:11.560]  That's fair.
[06:11.960 --> 06:14.520]  Hey, so we got three big things to talk about today.
[06:14.520 --> 06:16.240]  And I want to make sure we get through all of them.
[06:16.860 --> 06:19.160]  One, I know everybody remembers...
[06:19.160 --> 06:21.860]  Well, first off, there was a beanhole.
[06:22.060 --> 06:23.420]  We need to discuss that.
[06:23.540 --> 06:26.740]  I'm so excited. I've been actively avoiding any infection.
[06:26.900 --> 06:27.700]  It's so busy.
[06:28.340 --> 06:30.700]  The beanhole saga has been completed.
[06:31.000 --> 06:32.820]  And I saw there was some confusion.
[06:33.040 --> 06:33.900]  I think a lot...
[06:33.900 --> 06:35.920]  Now, of course, I'm talking to the audience from three weeks ago,
[06:36.020 --> 06:37.160]  because we're recording in advance.
[06:37.160 --> 06:39.520]  But a lot of people were looking for that little video teaser
[06:39.520 --> 06:41.180]  that we watched in the episode.
[06:41.400 --> 06:44.220]  We only released some images of it,
[06:44.260 --> 06:45.680]  because we want to cut a full video together.
[06:45.960 --> 06:46.920]  It's probably out by now.
[06:48.180 --> 06:50.880]  But now, three weeks later, you'll understand why we didn't do it.
[06:50.960 --> 06:53.760]  And stop complaining that it's not on the Instagram.
[06:54.380 --> 06:57.940]  So we got the completed beanhole saga.
[06:58.560 --> 07:05.500]  We have Geoff signing 350 baseballs.
[07:07.160 --> 07:11.580]  And, of course, this is the unveiling of all of our cup ideas
[07:11.580 --> 07:13.460]  that we were going to agree to come back with.
[07:13.840 --> 07:18.260]  As somebody who has actively avoided the beanhole and the signing thing,
[07:18.660 --> 07:20.480]  the fact that you described it as you...
[07:20.480 --> 07:24.820]  I believe it's the first time you've described it as you signing the baseballs
[07:24.820 --> 07:27.440]  and not hitting the baseballs, which has me worried.
[07:28.000 --> 07:28.400]  Okay.
[07:28.900 --> 07:30.220]  Well, I'll tell you what.
[07:31.060 --> 07:33.440]  Of those three things, I'll let y'all pick.
[07:33.520 --> 07:34.600]  What do we want to talk about first?
[07:34.600 --> 07:37.780]  Well, baseball is something I've been working on all morning.
[07:37.960 --> 07:39.200]  A little clip for you, Andrew.
[07:40.660 --> 07:41.980]  Let's build up to that, then.
[07:42.000 --> 07:43.620]  You don't have any clips of beanhole, do you?
[07:44.440 --> 07:46.460]  Why are we building? What are we building for?
[07:47.860 --> 07:51.420]  I think we should show Andrew the video.
[07:52.120 --> 07:52.980]  I want to see the video.
[07:53.140 --> 07:55.640]  Okay, well, before we do that, Andrew...
[07:55.640 --> 07:56.760]  What are you doing?
[07:56.900 --> 07:57.860]  No, no, this is part of it.
[07:58.440 --> 08:00.360]  Andrew, before we do that, let me ask you a question.
[08:00.360 --> 08:07.280]  You know, the premise of this, if you're new to f***face, if you're not deep into the lore of nothing,
[08:08.760 --> 08:13.520]  then what was proposed was that I signed a baseball bat backwards,
[08:14.240 --> 08:16.680]  well, burned my signature into a baseball bat backwards,
[08:16.880 --> 08:20.300]  dipped it in paint, and was going to autograph 350 baseballs
[08:20.300 --> 08:25.560]  by having them shot at me via a pitching machine and then me hitting them.
[08:26.700 --> 08:29.300]  Andrew, let me ask you, how do you think that went?
[08:29.900 --> 08:33.020]  Oh, horrible. It was never going to work. It's a disastrous idea.
[08:33.380 --> 08:34.940]  It would just fail miserably.
[08:35.120 --> 08:37.840]  Where do you think the breakdown was? Was it my ability to hit a ball?
[08:37.980 --> 08:39.620]  Was it my decrepit age?
[08:39.880 --> 08:40.780]  No, I think...
[08:40.780 --> 08:43.340]  Was it just a flawed concept from the start?
[08:44.060 --> 08:46.160]  Oh, it's a flawed concept from the start.
[08:46.500 --> 08:48.440]  The bat would never... that's not how bats work.
[08:48.580 --> 08:51.680]  It would never... what you did makes no difference to anything.
[08:51.840 --> 08:53.800]  It just would be smeared paint on a ball.
[08:54.140 --> 08:56.680]  It would do nothing. Your signature would not be legible.
[08:56.900 --> 08:58.200]  We've known this from the start.
[08:58.200 --> 08:59.860]  This is not a surprise.
[08:59.980 --> 09:04.880]  So you think that the signature didn't work, but I probably was really good at hitting a baseball then?
[09:05.260 --> 09:10.540]  I think you're capable of hitting a baseball. I don't think you're going to hit 350 in an afternoon.
[09:10.800 --> 09:12.800]  How many do you think I could have hit in an afternoon?
[09:13.940 --> 09:18.800]  I bet you hit... I would put the line at like 30 at most.
[09:19.420 --> 09:20.200]  Well, I'll say this.
[09:20.240 --> 09:21.620]  Why don't we refer to exhibit A?
[09:22.140 --> 09:23.300]  Yeah, okay, here we go.
[09:23.400 --> 09:23.800]  Oh!
[09:24.300 --> 09:24.500]  Ready?
[09:24.500 --> 09:28.760]  Okay, Geoff is in baseball gear. He's lining up, he's at the plate.
[09:28.900 --> 09:31.120]  Okay, alright. I'm going to count down.
[09:31.620 --> 09:32.660]  No, go ahead Andrew, go ahead.
[09:33.000 --> 09:36.620]  It just looks like you've pined hard your bat the entire way.
[09:36.740 --> 09:38.440]  That doesn't look at all like a thing.
[09:38.560 --> 09:40.880]  I've dipped it in a bucket of black house paint.
[09:41.640 --> 09:42.120]  What?
[09:42.340 --> 09:43.400]  Really thick house paint.
[09:43.800 --> 09:54.140]  I've got Larry Bird socks on, my oldest Vans, a baseball uniform, I've got a Don Zimmer shirt on under, and my kind lady kitty hat.
[09:54.600 --> 09:55.500]  Gavin's playing catcher.
[09:55.500 --> 09:56.420]  This is not going to sound...
[09:56.420 --> 10:01.440]  That's Nick. By the way, Nick is there. Nick and Eric and Gavin were all present.
[10:02.680 --> 10:03.120]  And...
[10:03.120 --> 10:05.320]  This is super fan check, made an appearance.
[10:05.760 --> 10:06.080]  Eventually.
[10:06.240 --> 10:11.240]  Oh, that's great. This is going to sound like it's an insult, and I don't mean it to be, Geoff.
[10:12.200 --> 10:21.060]  This is a very strange photo, because from like the hips up, it looks like somebody who knows baseball, but from the hips down, it looks so out of its place.
[10:21.840 --> 10:25.860]  Nothing about your footing, or the way you're standing, it looks like you're very uncomfortable.
[10:26.200 --> 10:27.380]  But waist up looks great.
[10:27.500 --> 10:34.800]  I will tell you this, I am a little uncomfortable, because there are... that is a... it's just holes. Holes in the ground. I'm trying to stand around.
[10:35.980 --> 10:41.640]  You can see my back foot is... my heel of my back foot is like three inches lower than the top of my foot.
[10:41.900 --> 10:42.940]  I have a question for Gavin.
[10:43.160 --> 10:50.560]  Before you saw this paint, and you have been visualizing this process in your mind, what color did you always see being used?
[10:51.060 --> 10:54.840]  I'm curious if you had one. I had a very consistent in my head what this would look like.
[10:55.320 --> 10:59.480]  I was... I think I was expecting something a bit more fluorescent, like orange or something.
[11:00.040 --> 11:03.280]  I was thinking red. In my head, it was always red paint that you'd be using.
[11:03.500 --> 11:06.540]  I'm pretty sure it was anything other than black for me.
[11:07.800 --> 11:13.540]  Well, let me say this about the paint. Eric bought the paint, I didn't choose the color, but the color's fine. I thought it was okay.
[11:13.940 --> 11:18.960]  I can't believe anybody thought anything other than black one of the colors for this show.
[11:18.960 --> 11:23.180]  Yeah, it makes total sense, Eric. I just wasn't visualizing that at all.
[11:23.500 --> 11:28.680]  Yeah, just my visualization has always been red. And like Gavin said, I don't know why, it's just where my brain has always been.
[11:29.620 --> 11:35.460]  Well, do you guys want to see the... Gavin sent me this and said play it for everyone. I have not watched this.
[11:35.920 --> 11:36.920]  Oh, I'm so excited.
[11:37.640 --> 11:38.620]  It's about a minute long.
[11:39.080 --> 11:39.920]  Oh, okay.
[11:40.320 --> 11:40.960]  Right, here we go.
[11:41.000 --> 11:43.060]  Will this be on Instagram?
[11:43.460 --> 11:45.860]  I'm going to make a full episode for this, but something will be there.
[11:46.580 --> 11:46.940]  Okay.
[11:47.260 --> 11:48.100]  Okay, here we go.
[11:53.160 --> 11:54.980]  Nothing's even happened, I'm already happy.
[11:56.520 --> 11:57.760]  Oh, Jesus.
[11:59.380 --> 12:00.580]  Oh, no.
[12:01.180 --> 12:01.980]  Oh, no.
[12:02.860 --> 12:03.980]  Oh, no.
[12:09.400 --> 12:11.360]  Okay, this is like a baseball.
[12:13.200 --> 12:15.460]  Did you swing three fifty times?
[12:16.600 --> 12:18.660]  How long did it take?
[12:19.660 --> 12:23.560]  This has to be the same, this is the same shot we're seeing over and over again.
[12:23.820 --> 12:25.060]  Are these all different attempts?
[12:26.060 --> 12:26.520]  No!
[12:34.340 --> 12:37.160]  I've never seen anyone be so bad at anything.
[12:37.880 --> 12:39.960]  Oh, he got one. He hit it.
[12:40.820 --> 12:42.520]  We're going to sell one baseball.
[12:42.840 --> 12:43.760]  This is what I've learned.
[12:45.320 --> 12:46.880]  I see what you've done there, Gavin.
[12:52.540 --> 12:53.680]  What do you mean, Geoff?
[12:54.240 --> 12:56.100]  No, nothing, go right ahead, continue on.
[13:02.490 --> 13:03.610]  I thought that was great.
[13:04.130 --> 13:04.810]  That was cool.
[13:04.830 --> 13:05.710]  That was fantastic.
[13:08.270 --> 13:10.570]  Why don't you tell them what else happened?
[13:13.610 --> 13:15.550]  Geoff, I've prepared a second video.
[13:16.070 --> 13:16.730]  Okay, thank you.
[13:18.650 --> 13:19.090]  Okay.
[13:19.390 --> 13:20.730]  God, this better be a real video.
[13:22.690 --> 13:25.130]  It's going to be a minute, I have to download it.
[13:27.690 --> 13:29.310]  And it's two gigs!
[13:31.530 --> 13:33.250]  Why didn't he send me both?
[13:35.650 --> 13:39.690]  Geoff, I thought you looked great taking all those swings there, bud.
[13:40.150 --> 13:40.630]  Thanks, man.
[13:43.170 --> 13:45.690]  Hang on, about halfway, almost there.
[13:46.130 --> 13:49.030]  I don't... I was laughing hard.
[13:49.170 --> 13:50.450]  I was kind of making fun of you.
[13:50.450 --> 13:54.710]  In your defense, it's impossible to look good missing at a baseball swing.
[13:54.850 --> 13:55.570]  It's not your fault.
[13:56.830 --> 13:58.910]  There's no way to look cool during that.
[13:59.650 --> 14:03.150]  So for those who haven't seen it and are only listening,
[14:03.410 --> 14:08.410]  I cut together every single Geoff swing and miss that I could find
[14:08.410 --> 14:09.610]  and put it as one.
[14:10.090 --> 14:12.690]  Honestly, so many of them look like they're repeat shots,
[14:12.830 --> 14:14.450]  but they're all completely different.
[14:14.930 --> 14:17.690]  To the point where the bat is swinging around in one shot
[14:17.690 --> 14:19.930]  and then it cuts to the next shot and it's swinging the other way.
[14:19.930 --> 14:21.430]  It kind of looks like a little helicopter.
[14:23.770 --> 14:26.230]  How many swings and... Some of those were foul tips,
[14:26.350 --> 14:28.130]  but how many swings and misses would you say there were?
[14:29.050 --> 14:30.350]  I need to do the full count.
[14:30.610 --> 14:33.690]  I'll be able to get that when I've finished the full thing.
[14:34.310 --> 14:35.510]  Well, if those are just the misses,
[14:35.750 --> 14:38.230]  I feel like you have greatly exceeded my expectations.
[14:38.610 --> 14:40.430]  Are you ready for this second video?
[14:41.050 --> 14:42.270]  I am so ready for this thing.
[14:42.350 --> 14:42.690]  I certainly am.
[14:43.010 --> 14:44.350]  I'm hoping I'm going to see some dinks.
[14:44.810 --> 14:47.590]  Geoff, you don't want to watch that first video one more time just in case?
[14:47.670 --> 14:48.530]  I'm good, I'm good.
[14:48.530 --> 14:50.450]  That first video was very funny.
[14:50.890 --> 14:53.010]  Would you have been mad if that was the only video I watched?
[14:53.050 --> 14:55.030]  I might have been a little bummed, yeah.
[14:57.310 --> 15:01.370]  Alright, this is a way less funny, way more surprising video.
[15:05.190 --> 15:06.790]  This is the first ball.
[15:07.030 --> 15:08.550]  The very first pitch.
[15:17.300 --> 15:19.580]  Oh, that was great, Geoff. Great contact.
[15:21.340 --> 15:22.460]  You hit a home run?
[15:22.640 --> 15:23.240]  Yeah, yeah.
[15:29.200 --> 15:29.640]  Wow!
[15:30.120 --> 15:30.560]  Dude!
[15:30.720 --> 15:31.840]  You're just dinging them.
[15:35.300 --> 15:39.580]  I feel like this is contributing to the problems of the other video.
[15:41.300 --> 15:42.580]  You're going full power.
[15:44.040 --> 15:45.700]  Like, look at this. There's no cut here.
[15:45.780 --> 15:46.640]  Well, wait.
[15:47.460 --> 15:48.240]  So this is...
[15:48.240 --> 15:48.980]  That was a home run.
[15:51.760 --> 15:53.700]  There was people just giving up.
[15:54.980 --> 15:56.160]  Every once in a while, I'm not lying.
[15:57.320 --> 15:59.800]  Dude, Geoff, like, it's the strangest thing.
[15:59.980 --> 16:01.860]  He has the least graceful form.
[16:02.360 --> 16:05.760]  Nothing about the swing looks impressive, but it's just flying.
[16:07.860 --> 16:09.260]  Another back-to-back.
[16:10.800 --> 16:11.680]  So I have a question.
[16:12.800 --> 16:14.980]  It's just, this is still, this is long, this is...
[16:16.060 --> 16:16.640]  I apologize.
[16:16.960 --> 16:18.500]  You hit some good, you hit some good swipes.
[16:25.080 --> 16:25.560]  Good contact.
[16:28.940 --> 16:30.680]  Wow, this is, you hit a lot of balls.
[16:31.740 --> 16:38.480]  We got to the point where we had people just standing outside of the field at the back.
[16:38.900 --> 16:41.140]  Because most of them were going into the trees.
[16:42.020 --> 16:44.260]  I was going to say, we need to sell these.
[16:44.940 --> 16:49.280]  Like, the backdrop looks like it just goes nowhere, like off a cliff.
[16:49.400 --> 16:51.300]  Yeah, we lost so many.
[16:55.140 --> 16:57.680]  Is it, so what is the backdrop of this place?
[16:57.840 --> 17:00.780]  Is it, is it, as it appears, did it just like, is it hillside?
[17:00.900 --> 17:03.160]  Yeah, it's like a hillside, kind of like canyon almost.
[17:03.540 --> 17:05.900]  It just goes down into like brush and bramble.
[17:06.460 --> 17:07.040]  Look at that.
[17:12.560 --> 17:13.800]  Oh my god.
[17:14.560 --> 17:16.680]  And this is Geoff looking for the balls.
[17:17.780 --> 17:24.940]  The biggest problem we had on the day is that I hit too many home runs too far,
[17:25.040 --> 17:27.080]  and we lost probably 20 balls.
[17:27.500 --> 17:30.300]  I, next time I'm in Austin, I want to try to find one.
[17:30.360 --> 17:30.600]  Okay.
[17:30.700 --> 17:32.280]  I want to go there, I want to see if I can get one.
[17:32.420 --> 17:37.480]  I would guess, you saw me miss about 40 swings out of, I'll be honest with you,
[17:37.660 --> 17:41.120]  I didn't hit 350 balls, I hit 250, and I stopped.
[17:41.260 --> 17:43.580]  Wow! That's way better than I thought.
[17:43.740 --> 17:46.220]  250 proved to be, that was my limit.
[17:46.580 --> 17:55.380]  Of the 250, I would say I connected, I fully connected on probably 70% of them on the first time, first try.
[17:56.060 --> 17:56.400]  Wow.
[17:56.400 --> 18:01.860]  You saw every time I missed in the first video, I would say, I would guess I probably hit 50 home runs.
[18:02.780 --> 18:09.500]  And we decided that we would box up a ball if he swinged, or swung and missed, but not if he didn't swing.
[18:09.740 --> 18:12.640]  So, he either hit it or he swung and missed, and that's what we're selling.
[18:13.080 --> 18:14.900]  So we're only selling the ones he missed?
[18:14.980 --> 18:18.740]  Yeah, like if he didn't go for the swing, we just put it back into the rotation to pitch again.
[18:19.040 --> 18:21.480]  Hang on. Hang on. Hang on.
[18:21.480 --> 18:22.660]  The wording of that is weird.
[18:22.660 --> 18:31.420]  If, if Geoff swung the bat at the ball, that ball is being sold, whether it was connected with or not.
[18:31.580 --> 18:32.920]  Okay, understood.
[18:33.320 --> 18:39.760]  We, I hit every ball eventually. The ones that we swung and missed, we, we went, we, we, I hit again.
[18:40.380 --> 18:40.720]  Back through the rotation.
[18:40.720 --> 18:49.520]  Okay, so, that is all answered. Is there a photo of what a signature looks like with this, this bat paint idea?
[18:49.520 --> 18:52.700]  I'd like to see what a ball after being hit appeared like.
[18:54.140 --> 18:56.140]  Uh, I don't have one. Do you guys?
[18:56.720 --> 19:00.140]  Hang on, if you give me a second, I think that I can send you a picture.
[19:00.920 --> 19:03.460]  Okay, I'm, I'm leaving the stream. I'll go back to the chat.
[19:03.460 --> 19:07.380]  No, no, you know what? I can, I can slack it. It's gonna be easier if I slack it to you guys.
[19:07.480 --> 19:09.320]  Okay, I'm just looking to slack.
[19:09.580 --> 19:15.260]  Because that is, the other layer of this, like beyond you being able to hit, I'm very impressed, Geoff, that you hit as many as you did.
[19:15.940 --> 19:16.580]  That's amazing.
[19:17.480 --> 19:19.920]  I'm curious what the signature actually looks like.
[19:20.420 --> 19:23.280]  Uh, it looks like, well, I guess Eric will show you.
[19:23.460 --> 19:28.580]  It looks pretty much like what you expect it to look like. I've sent the pictures now.
[19:29.340 --> 19:29.780]  Oh.
[19:31.160 --> 19:34.180]  Yes. It's just black smudges, which is great.
[19:34.440 --> 19:36.100]  Awesome. Awesome.
[19:36.600 --> 19:38.660]  So, what I, there was, Geoff's official signature.
[19:38.880 --> 19:40.020]  What did you do to the bat?
[19:41.460 --> 19:42.500]  What did I do to it?
[19:42.880 --> 19:43.200]  Yeah.
[19:43.900 --> 19:44.380]  What do you mean?
[19:44.380 --> 19:48.120]  Like, what was the work you did on the bat that was meant to end up on the ball?
[19:48.740 --> 19:53.820]  Oh, I burned my name into it so that, there was one ball we found that had a G on it.
[19:55.860 --> 20:01.880]  One of the early, one of the early balls had an actual G on it. Somebody will get it. It'll be theirs.
[20:02.120 --> 20:06.200]  But we worked out afterwards that you've burned into the bat.
[20:06.520 --> 20:06.740]  Yes.
[20:06.860 --> 20:10.880]  So the only way it could be a G is if it was an inverse G.
[20:10.880 --> 20:15.000]  No, I burned it in backwards on the bat so that it would be correct on the ball.
[20:15.140 --> 20:18.380]  No, but it's sunken into the bat. It's not sticking out from the bat.
[20:18.380 --> 20:29.900]  Yeah, but the, what we, what I was doing early on is I was dipping it and then I was, I was wiping down the barrel so that the only paint that was on the bat was in the reservoirs of the G of my name.
[20:30.100 --> 20:40.380]  Hey, Andrew, when you, when you looked at that bat and you said, boy, it looks like you rubbed pine tar all over that thing, did it look like the only paint on that bat were in the reservoirs of the signature?
[20:40.380 --> 20:43.220]  Well, that, that's because that went out the window very quickly.
[20:44.140 --> 20:48.920]  That, but for the, but that wouldn't, it worked with the first, like, four balls.
[20:49.800 --> 20:56.980]  And then I, then I was just, then I was just trying to sling as much paint on them as possible, and I thought it looked way cooler to have a big black smudge than anything else.
[20:57.780 --> 21:06.420]  I know, like, the, the MLB has changed their pine tar rules over time. I don't think there was ever a time in which that amount of pine tar would be acceptable for the coverage of the bat.
[21:06.500 --> 21:09.640]  Like, it was, it was bottom to top, just coated.
[21:09.640 --> 21:10.900]  Yeah, it looked like Trey Turner, right?
[21:12.640 --> 21:12.960]  Uh...
[21:12.960 --> 21:17.740]  Dude, I was hoping that Gavin was going to accuse you of corking the bat when he was asking about...
[21:17.740 --> 21:19.460]  He doesn't know what corking the bat is.
[21:19.480 --> 21:21.740]  Yeah, I don't, I don't know what that means, Andrew, I'm sorry.
[21:22.240 --> 21:22.620]  Not Trey Turner.
[21:22.620 --> 21:23.000]  That's a gag.
