[00:15.100 --> 00:15.440]  I
[02:05.660 --> 02:10.400]  What what wait, is it a full loaf of bread that you're trying to do how much bread is in this bag?
[02:10.860 --> 02:13.020]  I'm just I'm not using the bread bit
[02:13.520 --> 02:14.500]  Using the bag
[02:15.740 --> 02:21.340]  What do you mean what is it just an empty bag? No, it's got like the nubs on the end. You've just fucking
[02:22.100 --> 02:25.820]  Wait, that's what I'm asking. I'm asking how much of the loaf is in the bag
[02:25.820 --> 02:27.600]  Why does it matter?
[02:28.200 --> 02:29.480]  Because it's a weight
[02:30.140 --> 02:34.620]  Neck, it's a weight differential for the bag and the maneuverability of it
[02:34.620 --> 02:38.480]  It's a full loaf. You don't have the same maneuverability in the bag. I've done this before
[02:38.480 --> 02:43.420]  Have you done this Geoff? Have you tried this? Yes. Okay. Well, I didn't know that. Okay
[02:44.100 --> 02:50.640]  Oh, I don't even remember that but I the bagels work because there was a less volume I'd say in the bag itself
[02:50.640 --> 02:55.280]  It allowed more manipulation and flattening of the bag to get it through this blows
[02:56.100 --> 02:56.540]  Yes
[02:57.360 --> 03:05.000]  Listen, it's a prototype. It's early. It's it's version one things that we solved a it's pretty it's very aesthetic
[03:05.000 --> 03:09.120]  So got a it's a it's a it's a beautiful sky blue. It's got cool
[03:09.800 --> 03:14.460]  Date on it says our name. That's cool. Nailed it out of the park first try right there. Got it
[03:14.460 --> 03:20.300]  It's got a magnet on it sticks to metal stuff. Boom nailed that feels sturdy
[03:21.220 --> 03:23.240]  Nailed it doesn't bend
[03:24.280 --> 03:25.560]  Absolutely nailed that
[03:25.560 --> 03:31.040]  Unfortunately, that's where it starts to fall apart turns out should have bent a little bit. No worries
[03:31.040 --> 03:37.360]  We'll work on that for revision to what you have right now though in version one is a great commemorative blip
[03:38.120 --> 03:43.620]  Much like when people buy commemorative spoons and thimbles, they don't really use them to sew and eat soup
[03:43.620 --> 03:46.960]  They hang them on the wall. God my mouth has I just fucking this
[03:48.660 --> 03:52.740]  You're struggling yeah, it's just like I feel like my mouth's full of saliva all the time
[03:53.240 --> 03:57.560]  okay, so I I ripped the bag and the man the magnet flew off and um,
[03:58.240 --> 03:59.540]  Megan's gonna I've just got the
[04:01.200 --> 04:02.540]  The blue bit it's tough
[04:03.880 --> 04:06.620]  I'm gonna put on a chain and wear it. I think that's how I'm gonna use it
[04:06.620 --> 04:07.000]  well
[04:07.000 --> 04:11.100]  I think what you could do honestly you put it on a chain and then you have like a
[04:11.100 --> 04:15.920]  Singular bagel in a bag and you run that through the hole and then you have the bag supporting the bag
[04:15.920 --> 04:22.320]  So it's like a double chain situation. That would be the luck have like one slice of bread in a bag being held up by your chain
[04:23.360 --> 04:29.620]  Just in case you never know when you could use a slice or a bag man. I wonder how many of these we bought
[04:29.620 --> 04:33.260]  I have no idea how many the store have people buying it. I don't know
[04:33.260 --> 04:35.540]  Yeah, I mean they probably are
[04:36.440 --> 04:39.920]  They're definitely out by the time people hear this but not not when we're recording this
[04:40.760 --> 04:43.200]  Can I can I give an important update?
[04:43.260 --> 04:47.000]  I meant to give last time that is brought it is genuine the joy doesn't end
[04:47.000 --> 04:49.400]  It just keeps on going with the whole Jake tunes
[04:49.900 --> 04:51.340]  Tums thing. Yeah
[04:51.340 --> 04:57.760]  So I recorded a thing and I need to like edit it down and chop it a little bit of him learning because after we
[04:57.760 --> 05:04.120]  Recorded I talked to him in a group and he he learned that he's been saying Tums wrong his entire life
[05:04.120 --> 05:05.520]  And he was not happy about it
[05:05.520 --> 05:11.380]  And it was a big discussion of like we are sacrificing the fact that we can hear him say tombs
[05:11.380 --> 05:13.880]  And it is fucking hilarious every time he says it
[05:14.760 --> 05:21.860]  So there's sort of a sense of loss the fact that we had lost tombs, I'm not exaggerating the exact same night
[05:21.860 --> 05:27.720]  He was we're talking. He's like, you know, what's funny is I don't even typically use like Tom's that type of thing
[05:27.720 --> 05:33.740]  I'm more like I'm in the Rolaids camp, you know Rolaids like the watch and there was a pause
[05:34.540 --> 05:42.320]  Long silent pause and they're like, excuse me. He said Rolaids like the watch and we're like does that on the packaging?
[05:42.320 --> 05:47.000]  Did you come up with that? And he said no, this is a Jake original for you
[05:47.000 --> 05:52.760]  And he genuinely we lost Tums and tombs. Jake thinks Rolexes are called Rolaids
[05:52.760 --> 05:56.680]  And it's been the new thing that has taken the last week
[05:56.680 --> 06:00.220]  He went to a wedding and I was like, oh you see anybody open any gifts?
[06:00.340 --> 06:04.380]  He's like nah, I didn't see it. I was like, oh, so you didn't see anyone get a Rolaid and he said nope
[06:04.380 --> 06:10.380]  Didn't see it. I was like does your dad have a Rolaid Jake? He's like, I don't know. He might I'm not sure
[06:10.380 --> 06:17.860]  He genuinely thinks this so it's just an endless treasure cove of of words that are slightly wrong
[06:17.860 --> 06:23.480]  I mean at least with tombs you could have just misread the word. Yeah. How do you get Rolaid?
[06:23.800 --> 06:26.800]  I have no idea and I'm not he's not doing a bit
[06:26.800 --> 06:31.640]  He just genuinely thinks that Rolaids is Rolex and it's great
[06:31.640 --> 06:37.560]  It's been getting him and it's so much easier to prompt him to do the Rolaid Rolex thing. It's fantastic
[06:38.080 --> 06:40.140]  Gavin disposed to the photo that
[06:40.140 --> 06:47.540]  Looks ridiculous. That looks good. I think that looks good. I like that. I think that's I think that's going on
[06:47.540 --> 06:54.260]  That's fashion right there. I'm a chain guy. What is the thing on your is that the skateboard from Tony Hawk ride?
[06:54.420 --> 06:56.240]  What is that thing on your floor?
[06:56.500 --> 07:02.800]  Is that a foot bench? No, it's just something to stand on like a little rocker when the desk is in stand mode
[07:03.620 --> 07:08.220]  Well, you have a thing you have a thing to stand on when it you're standing for your desk
[07:08.720 --> 07:12.760]  Yeah, I just came with a desk. I don't know why I don't know if it's good for you or anything
[07:12.760 --> 07:16.920]  Oh, I just stand on it and it's like a balance. I don't know.
[07:17.500 --> 07:22.860]  I feel like that defeats the purpose of the standing. I'm still standing. I'm just standing on something. That's not the floor
[07:22.860 --> 07:23.360]  Yeah
[07:23.360 --> 07:28.480]  But I feel like the whole thing of you stand because you don't want to sit and you're like avoiding a mechanism
[07:28.480 --> 07:32.780]  It would defeat the purpose of the standing desk if I raised it as high as it could go and then sat in a
[07:32.780 --> 07:36.220]  lifeguard chair, I think that'd be pointless, but I think this is still funny.
[07:36.760 --> 07:41.980]  You're just getting a good view. You're making sure nobody's sneaking up on you. No snake is gonna get you in the lifeguard chair.
[07:44.760 --> 07:46.940]  That's a real throwback. It is.
[07:47.520 --> 07:53.120]  Are you gonna wear that? Like is that is this genuinely part of your wardrobe now? Can people- I mean, I'm wearing it now
[07:53.120 --> 07:58.840]  I don't know how long it'll stay on. I typically find it really annoying to wear jewelry. Even a watch is annoying
[07:59.520 --> 08:05.140]  What is there any exception to your jewelry? I mean, I'd wear a Rolaid, but that's about it. Yeah, Rolaid?
[08:05.660 --> 08:11.160]  I looked, I googled to see if there's maybe a like a commitment of Rolaid's watch or something. They never made that. It doesn't matter.
[08:11.960 --> 08:15.720]  Tragic. Oh, I'd love to to get Jake a Rolaid's watch
[08:16.220 --> 08:23.080]  Did you see what Papa John's did? Eric and Gavin? I was gonna say. I'm so used to talking like dumb food shit with Eric
[08:23.080 --> 08:28.020]  I instinctually said somebody sent this to me right before we recorded
[08:28.020 --> 08:32.500]  It's a fucking monstrosity. Maybe you'll defend it. I
[08:32.500 --> 08:35.600]  fucking hate it. Papa John's is doing a
[08:36.420 --> 08:40.340]  Branston pickling cheese stuffed crust. No. In the US?
[08:40.960 --> 08:48.300]  No, I'm assuming this is in Europe. In the fucking US? You think in the US? You think they're fucking brave enough to do that in the US?
[08:49.240 --> 08:58.000]  Also, I need to clarify. Is Papa John's in Europe or is it just coincidentally another pizza chain named Papa John's that has nothing to do
[08:58.020 --> 09:01.280]  After Dennis the Menace, I don't know what to believe. Is that the same logo?
[09:03.340 --> 09:09.020]  Not really. Dude, Branston's been around for a hundred years, look. Has it? Well, it says it's
[09:09.780 --> 09:16.460]  1922. Fucking gross. It's terrible. Is it to celebrate the hundredth of a century of Branston Pickle?
[09:17.800 --> 09:24.220]  I love the idea that Papa John was the one. It's like we need to... I need to eat this. That sounds
[09:24.980 --> 09:30.360]  Absolutely phenomenal. I would... Horrible. Wow, Papa John's is
[09:31.020 --> 09:38.480]  everywhere. That doesn't surprise me. Isn't... Is Shaq Papa John now? Because Papa John sucked and got kicked out of Papa John's.
[09:38.680 --> 09:43.740]  Yeah, I think he's on the board or something, right? He's like a bunch of chain restaurants, I believe, of theirs.
[09:44.060 --> 09:45.280]  Yeah, he's a
[09:45.840 --> 09:52.740]  Savvy businessman, Shaquille O'Neal. I've never looked at a crust and thought this needs pickle. Like it's just such a terrible...
[09:52.740 --> 09:59.260]  But it's not pickle. It's fucking onion, right? No, it's... Isn't it pickle? I mean, I've... It's pickle.
[09:59.420 --> 10:02.900]  It's like mainly pickled onion. Well, I mean, you read the ingredients. It was like a bunch of different stuff.
[10:03.180 --> 10:05.200]  I don't even remember. I just remember not liking it.
[10:05.680 --> 10:08.180]  Oh, I think we should get... We should try and get you some of that and I want some too.
[10:08.720 --> 10:12.100]  How are... I don't think there's any way to get it. I assume it's only in Europe.
[10:12.220 --> 10:16.000]  Well, let's Google. I mean pizza travels well, but I don't know if it travels that well.
[10:17.320 --> 10:19.060]  We'd need someone to just take it on a plane.
[10:21.400 --> 10:26.860]  Illegally smuggled... You know, like in movies where like they tape the drugs or the money to them for like walking across.
[10:27.140 --> 10:32.320]  It's just pizza boxes. Yeah, where is that available? They also make Branson pickled cheese sticks.
[10:32.700 --> 10:39.020]  Oh, I'm just imagining somebody walking through the airport looking like a fucking Roblox character with like the boxes on each corner of them.
[10:39.120 --> 10:45.340]  Just a big blocky trying to be stealthy. What's this? Limited edition cheese sticks? Oh, it's the same thing.
[10:45.580 --> 10:47.080]  Yeah, it looks like it's only in the UK.
[10:48.340 --> 10:54.780]  Yeah, it's terrible. I'm gonna have to make a trip. Yeah, terrible. Anyone want to come? No, well, no.
[10:55.440 --> 11:02.380]  I thought for any reason, no. The answer is no. You will not set foot in the United Kingdom until...
[11:02.380 --> 11:10.280]  Until after November. There's an order. There's a wait list. I didn't go to Vegas. That was all. I was just kidding. That was a joke.
[11:10.280 --> 11:19.220]  I'm not in Vegas right now. Remember that? I was gonna be in Vegas. That was a whole, big whole hee-haw. Just kidding.
[11:19.560 --> 11:25.800]  Oh, man. I can't believe you wouldn't go to England with me. I would after November. I think that's pretty clear.
[11:26.160 --> 11:35.760]  So if an opportunity came up... After the Branson pickled cheese... Once it's long gone, I'll gladly, gladly do an England trip with you.
[11:35.760 --> 11:42.840]  I just don't want to set foot... Well, I don't want to be in the same place that there is a pickled crust. Sounds dangerous.
[11:43.180 --> 11:51.320]  We could make... How do you make a... Yeah, we could make this. No, we can't. No, we can't. No, we can't. We can't and we don't want to. We could.
[11:51.500 --> 12:00.120]  We could... It's possible. How would we make this? Have you ever made a crust in your life? No, I assume it's just rolling cheese into it, right?
[12:00.120 --> 12:09.980]  Yeah. Okay. Folding some cheese in? I guarantee you we could make this and it'd be perfect for Face Cooks the Food, the cookbook that we have never made.
[12:10.540 --> 12:19.360]  That's true. I think what we'll need is someone in England, if this is still on, someone just to rip the crust open and just give me a reference photo and then I'll try and make it.
[12:19.660 --> 12:25.740]  That's a great idea. I'd love to see that. I want to see your interpretation of it. And then I would go to Austin to eat it.
[12:25.740 --> 12:32.260]  Well, oh my God, Gavin. Gavin, this is the pizza you can cook in my pizza oven in my backyard so I can demo it.
[12:32.280 --> 12:39.020]  Is it? Oh, it's the circle. Oh my God, thank Christ. This weekend, Emily was like, is Gavin going to make a fucking pizza or what?
[12:39.040 --> 12:44.820]  And I was like, I don't know. I don't think so. And she goes, I'm paying to have this thing torn down, like tomorrow.
[12:44.820 --> 12:53.540]  No, keep it up until we make that pizza. Alright, so that's it. After you make the Branson pickle stuffed crust pizza, we're ripping that thing down so we can put a pool in.
[12:53.540 --> 12:58.560]  I just like the idea of pulling the pizza out and then the sledgehammers immediately start working.
[13:02.940 --> 13:08.180]  Oh, that's perfect. I think you should keep that. But I'm not gonna though. But that's perfect, dude. That's super exciting.
[13:08.560 --> 13:16.920]  In three years, I've made zero pizzas. Since we had the discussion in my backyard of you making a pizza in that thing, we've made zero pizzas.
[13:16.920 --> 13:25.460]  It clearly doesn't get used. However, this is a perfect way to use it. I could not be more excited.
[13:25.900 --> 13:32.800]  I would argue that you can go to a place to swim. You can't go to a place to make a pizza. I think the pizza oven is significantly more valuable.
[13:33.220 --> 13:42.740]  An authentic pizza oven experience? Obviously, people have ovens. Ovens can work, but I'm saying an authentic pizza oven experience? You can't just walk up and use that.
[13:43.140 --> 13:51.000]  I mean, I could just go to... there's like five wood-fired oven pizza restaurants like five blocks from me.
[13:51.280 --> 13:56.720]  Yeah, but you're not using them. What's it in the way of though? What's it in the way of? It takes up a lot of fucking space.
[13:57.160 --> 14:03.360]  But what are you gonna put there? Like a chair? You got chairs. I'm gonna put a pool there. Right there where the pizza thing is?
[14:03.560 --> 14:07.920]  Part of it, yeah, but the pool will cut into it a little bit. Yeah, probably. I would rework the shape of the pool.
[14:08.420 --> 14:16.400]  Also, we fucking tried to dig in your backyard before. We know what it's like. You're not gonna dig a pool there. You're gonna get three feet. There's no fucking way.
[14:16.520 --> 14:22.280]  I like that Andrew throws himself in this. We tried to dig a hole. Look, we are not gonna be digging a pool hole.
[14:23.120 --> 14:28.780]  A dude with a crane is gonna dig and a fucking earth mover is gonna be digging the pool hole. It's not gonna be us with shovels out there.
[14:28.900 --> 14:34.080]  You're gonna get a four-foot pool and one foot of it will be below ground. The rest will be sticking out. That's all it's gonna be.
[14:34.080 --> 14:44.260]  Yep. Also, if you get a fucking crane to dig up your yard, you better fucking try to cook beans in that hole. You better make a real goddamn hole with that bean.
[14:44.440 --> 14:51.420]  I don't want any goddamn excuses. A gavel with a hammer. Also, I don't think we ever released that video. I don't know if we ever will.
[14:51.580 --> 14:56.340]  But what a fucking... maybe my favorite video that has ever come out of this show. That and baseballs.
[14:56.580 --> 15:00.280]  What's that? The bean hole? Yeah, I don't think the bean hole video ever got released. I could be wrong.
[15:00.280 --> 15:08.400]  Are you serious? No, it's never come out. I put them in the folder like two months ago. Really? I was like, hey, I've got these videos done. Let me know if you want any changes.
[15:08.620 --> 15:13.660]  Wait, because the full baseball video never came out either. Yeah, it did. Did you do that as well? Oh, no, it didn't.
[15:13.720 --> 15:19.280]  Why do I do this work? Wait, they're available? I've been waiting. I've been waiting for you to be done. Yeah, me too. I didn't know they were done.
[15:19.280 --> 15:28.020]  I put it in the slack ages ago. I've never seen any of them. I'd love to. Gavin's overkill achievement came out and then before that it was Geoff at the plate reel and then Geoff at the plate.
[15:28.020 --> 15:34.120]  I wear my dick off on those. I'm so excited to see them. You didn't tell anyone. Yeah, this is going to be really exciting. Where can we find them?
[15:34.240 --> 15:41.400]  I thought they were out. Are you serious? I put them in the slack, you idiots. Why did you put them in the slack? There's no way you put them in the slack.
[15:42.460 --> 15:51.460]  How did we not... I don't remember you saying these are done. Like, I don't remember this at all. I went to the Google Drive folder and I was like, oh, this one needs music. Anyone got any notes?
[15:51.800 --> 15:57.140]  No, I didn't. What are you talking about? When did that happen? Is that you saying this is done or...
[15:57.140 --> 16:09.900]  Yeah, like, watch the thing. I've edited it. Where is it? I'd love to see it. You're a fool. You're a bunch of fools. I don't... if it was just me... Shut up. Get three different edits out the door in the same week. No one's even watching.
[16:10.240 --> 16:21.800]  I'll be honest. I was under the impression you just got too busy to deal with it. You had slow-mo guy stuff and that you just, like, forgot about it. And I was like, it's not a big deal. Like, we already got content out of it. So I was like, it's not a big deal.
[16:21.800 --> 16:38.560]  Now it's a really odd amount of time. I wish you would've... You wish I would've what? Put it in the Slack? I don't know that you did. I really don't... Scroll up! Where? To where? Maybe it was when I... maybe it was one of the times I quit. There it is! Eric, where'd you get that?
[16:38.820 --> 16:47.360]  Well, I searched. You said any notes on baseballs. I think it should probably have some background music. And then you didn't. And then that was... and then that was it.
[16:47.360 --> 17:07.000]  Sorry, do I need to do more than that? I said, does anyone have any notes on baseballs? Silence! And then nothing. Why did I bother? Right, but I didn't know it was done. What do you want from me? I'm very excited to watch this. I want you to say this is done. When was that posted? Like, May 3rd. Oh, God!
[17:08.160 --> 17:27.140]  This is a weird... Now, I know you're annoyed and you have every right to be, but we all missed it because we thought we were being courteous to you. This was missed with the best intent. I thought you were just super busy. I thought you were super busy and that you just hadn't got around to it. And I wasn't gonna be like, where the fuck are these videos that you said you would do? Like, I was just...
[17:27.720 --> 17:54.740]  So, no one's bugging me about it because you think I'm busy. I've already posted them and I'm thinking, oh, I guess nobody... I guess they've gone off or nobody had any notes. We're being respectful of your time. I will say I can't find... I'm looking and I can't find the beanhole one completed, but I don't know if that was completed or not. Again, if it was done... Is that not in the same folder? I just have the direct link to the video. I don't have the link to the folder. Yeah, it's just a link to a baseball. That might be on you.
[17:54.740 --> 17:57.600]  That one might be on me. I mean, they're both in there.
[17:58.440 --> 18:02.060]  Okay, but again, I don't have... I'm not sure... Like, I don't have the folder.
[18:03.040 --> 18:14.560]  Okay, so I messed up that one. I assumed I didn't find it. I assumed I linked to the folder. I just linked to one video in the folder. So, okay, I'll take the blame for beanhole not coming out.
[18:14.660 --> 18:18.920]  Oh, man, it's done too. It's right next to the other one. From May 3rd.
[18:19.280 --> 18:23.980]  When does this come out? What day does this come out? Because we can upload these when this airs.
[18:23.980 --> 18:25.520]  I'm excited. Can I see beanhole?
[18:25.840 --> 18:30.660]  This comes out the week of the 6th. So, July 6th.
[18:30.660 --> 18:38.160]  So, July 6th, this will become public on our YouTube channel. These will be posted. These have just been in the fuckface vault unknowingly.
[18:38.780 --> 18:44.040]  We're opening the fuckface vault to bring you incredible content.
[18:44.640 --> 18:51.560]  This podcast is such a piece of shit. We need money and people, and it doesn't work without it.
[18:52.000 --> 18:57.360]  Here's what I'll say. No one from the audience has asked about these videos, so they may not even want them.
[18:57.500 --> 19:04.920]  I feel like I haven't seen anything about them. I just assumed they came out and everyone was like, oh, okay.
[19:05.180 --> 19:09.120]  How do I see the beanhole? Yeah, where's the beanhole video?
[19:09.280 --> 19:11.000]  I'm not logged in. I'll have to send you the link.
[19:11.000 --> 19:16.360]  I can't back out of this video and up the tree or anything.
[19:16.360 --> 19:18.220]  It's just asking me how else I want to open this.
[19:19.620 --> 19:25.600]  I'm taking the blame on beanhole, but I did put baseballs up over two months ago.
[19:25.600 --> 19:27.200]  But you put baseballs up unfinished.
[19:28.300 --> 19:31.180]  It's done. I just wanted to know if you think I should have music on it or not.
[19:31.280 --> 19:36.560]  But I didn't know it was done. You're asking for notes. We didn't give notes, but you didn't say, okay, never mind then. It's done.
[19:37.140 --> 19:42.100]  I have to say, I need notes. By the way, it's done. What do you mean?
[19:42.480 --> 19:48.200]  What do I mean? You asked for notes and then didn't say anything else about it ever, so I didn't know it was done.
[19:48.200 --> 19:50.720]  If someone asks for notes, I'll say something immediately after.
[19:54.200 --> 20:00.380]  Gavin, we gave you a month to let us know it was done, and you just never kind of got back around to it, man.
[20:00.900 --> 20:05.300]  I want it on the record, Gavin. I'm on your side on this. I'm with you. I just missed it.
[20:05.640 --> 20:06.840]  Everyone ignored me.
[20:07.520 --> 20:10.860]  I didn't know it was there. I somehow missed that message.
[20:11.160 --> 20:16.480]  I don't want to be on either side, but I will say I think that Eric brings up a point.
[20:16.480 --> 20:21.540]  If you present it as, does this need background music, it probably does. Do you think you could throw some in?
[20:21.800 --> 20:22.600]  It sounds like it's not done.
[20:23.220 --> 20:24.840]  Can you paste what I wrote, Eric?
[20:26.960 --> 20:33.480]  Yes, it is right here. This is from Wednesday, May the 4th.
[20:34.860 --> 20:37.940]  Can you bleep the f*** faces too while you're at it?
[20:38.220 --> 20:41.540]  Oh, so it's not done?
[20:41.800 --> 20:42.900]  Yeah, it doesn't seem like it's done.
[20:45.300 --> 20:49.000]  Gavin posted a link to the Google Drive where Baseballs lives.
[20:49.840 --> 20:58.080]  Any notes on Baseballs? I think it should probably have some background music, and I still need to bleep the f*** faces.
[20:59.480 --> 21:01.420]  There's no indication that this is complete.
[21:02.340 --> 21:07.540]  I'm just doing finishing touches stuff. Any notes before I exploit for the final time?
[21:07.940 --> 21:11.380]  So we don't have the final export, is what you're telling me.
[21:11.380 --> 21:15.800]  Why would you give notes on the one that's being uploaded?
[21:16.240 --> 21:19.980]  I'm just saying we don't have it.
[21:21.520 --> 21:23.360]  So where's the final version?
[21:23.640 --> 21:24.560]  Yeah, because I don't have that.
[21:25.140 --> 21:27.880]  How do we get access to the final version?
[21:28.440 --> 21:30.940]  I'm sorry, I thought this was a collaborative process.
[21:31.160 --> 21:37.360]  I thought that if you wanted changes or if suddenly Geoff was like, oh, it shouldn't be this long, I thought I'd probably still cut it down.
[21:37.360 --> 21:44.760]  Before I waste time timing it to music, bleeping words that aren't gonna be in it, I thought maybe that was a good time to get some feedback.
[21:45.140 --> 21:47.340]  I apologize, I was clearly wrong.
[21:47.880 --> 21:54.540]  Let's literally just sit there in silence for six weeks, and I'll just shove both thumbs up my arse. How about that?
[21:56.740 --> 22:00.540]  I genuinely am so sad I didn't see that. I'm really sorry I missed it.
[22:00.540 --> 22:07.500]  I would have given any note, I would have given so many notes, I would have been the notiest note person of all time if I saw that video.
[22:07.860 --> 22:08.940]  I'm so sad I missed it.
[22:08.960 --> 22:16.340]  And I'll be honest, it's a very Geoff move to look at a video that's been uploaded and be like, wow, why is that 16 minutes? It should have been four.
[22:16.720 --> 22:20.160]  I will say, I absolutely agree with you on that, yes.
[22:21.100 --> 22:22.140]  What, that I have standards?
[22:22.780 --> 22:28.560]  You have standards after it's done. You don't have time before it's done.
[22:31.200 --> 22:35.600]  Listen, I very rarely have time to give notes.
[22:36.880 --> 22:38.360]  And I trust you guys.
[22:38.720 --> 22:40.480]  Until after where you're more than happy to.
[22:40.520 --> 22:42.660]  What are you talking about? When am I doing that?
[22:42.940 --> 22:46.060]  We need to factor in how contentious baseballs was for a time.
[22:46.200 --> 22:50.340]  Geoff almost quit this podcast because we posted a video of him missing baseballs.
[22:50.640 --> 22:51.520]  It was very close.
[22:52.500 --> 22:57.560]  Yeah, at least even though this one didn't come out, the other three about baseballs came out.
[22:59.100 --> 23:04.940]  I'll be honest with you, Gav. It totally sounds like we dropped the ball on responding to you in all seriousness.
[23:05.400 --> 23:09.240]  We should have either said, no, it's good to go. Go for it. Or I don't have time. I'm not going to watch this.
[23:09.520 --> 23:14.220]  I can't be bothered. Export it or whatever response. You got no response. So that is on us.
[23:14.400 --> 23:20.200]  But in our defense, I will say there were 3000 fucking baseball videos all at once.
[23:20.200 --> 23:22.360]  And I just missed this one, but I saw all the other ones.
[23:22.640 --> 23:25.400]  The one that took like seven hours to edit.
[23:25.660 --> 23:26.540]  I'm so sorry.
[23:26.540 --> 23:29.740]  That's all right. That's all right. And to be honest, I don't know why I thought it would have went up.
[23:29.840 --> 23:31.020]  I clearly hadn't bleeped.
[23:32.820 --> 23:36.420]  Honestly, just the silence of it. I just thought, oh, something's happened with it.
[23:36.620 --> 23:39.660]  I thought there's no way it just sat there in the slack unattended.
[23:40.040 --> 23:42.640]  I'm so glad we decided to record two of these today.
[23:42.980 --> 23:44.740]  Like how long this could have went.
[23:44.880 --> 23:49.800]  I'm so excited to watch the beanhole video. I cannot wait.
[23:50.220 --> 23:52.660]  Yeah, I've never seen it. I can't wait to get the link to it.
[23:53.080 --> 23:55.940]  Yeah, I would say a little a little peer behind the veil for the audience.
[23:56.080 --> 24:02.480]  There was a discussion where we recorded 109 and 110 back to back today because Eric and I have to go out of town for VidCon next week.
[24:03.720 --> 24:08.100]  And so there was some discussion about whether we had enough material for a second episode today.
[24:08.360 --> 24:10.200]  And I think we were all kind of on the fence on it.
[24:10.400 --> 24:16.160]  If we had decided not to do this, it might have been another six months before we found out about these videos.
[24:18.200 --> 24:19.000]  Thank God.
[24:20.080 --> 24:27.200]  When we did the second, like the next set of baseballs, it probably would have come up again of like, oh, it's too bad that we never got that video.
[24:27.400 --> 24:29.520]  This could be weeks from now.
[24:29.800 --> 24:30.500]  Yeah, yeah, yeah.
[24:30.560 --> 24:34.340]  Talking about the immense pizza oven follow up to a video that didn't come out.
[24:36.200 --> 24:39.720]  That's true. Nobody's ever seen the... well, audience, I apologize.
[24:39.960 --> 24:44.200]  In one of the videos, we have a whole conversation about how Gavin's going to cook a pizza in my pizza oven.
[24:45.000 --> 24:45.900]  I guess you haven't seen that.
[24:45.900 --> 24:49.740]  You need to save part of your destroyed pizza oven for the museum.
[24:50.620 --> 24:54.580]  Because it's part of the lore. If it cooks the pizza, you gotta save a chunk of it.
[24:54.640 --> 24:55.780]  Yeah, absolutely. I'll do that.
[24:56.460 --> 24:57.160]  It's a pizza wall.
[24:57.620 --> 24:58.640]  Gavin, how are you doing, man?
[24:59.080 --> 25:04.520]  I just remember how busy April and May were. I'm trying to squeeze those in for no reason.
[25:04.860 --> 25:08.800]  Hey, real fast, Gavin, real fast. Can I ask you a question?
[25:09.460 --> 25:10.780]  Which socks are you wearing today?
[25:11.320 --> 25:12.200]  What color?
[25:13.880 --> 25:15.200]  I'm wearing the old style.
[25:19.740 --> 25:21.120]  That is funny.
[25:22.720 --> 25:28.440]  That's actually... I'm not even mad. I'm not even mad because it became content on this one.
[25:28.680 --> 25:30.360]  But that is mind-blowing.
[25:31.240 --> 25:32.960]  Do you know why it happened, honestly?
[25:33.280 --> 25:38.140]  It wasn't like it was sent to one person. There's like ten people in that Slack.
[25:38.140 --> 25:42.800]  It happened because we have so many things going on all the time.
[25:43.200 --> 25:49.100]  Face is just like... it's just like a minefield of bits that we're dancing around.
