[00:13.210 --> 00:15.090]  Yeah! That's okay.
[02:24.810 --> 02:27.230]  everything here facing that way, so that way it's all
[02:27.230 --> 02:27.970]  the right side up.
[02:29.270 --> 02:29.630]  Oh, cool!
[02:31.950 --> 02:33.630]  These were only $1 each?
[02:33.790 --> 02:34.690]  Yeah, these were $1 each.
[02:34.830 --> 02:37.090]  That's what $19.99 is worth.
[02:37.710 --> 02:38.850]  Historically. Not a buck.
[02:38.950 --> 02:39.370]  That's cool.
[02:40.070 --> 02:42.870]  So you said $19.99 and you said $19.81.
[02:43.110 --> 02:44.650]  And these say $19.91 on them.
[02:44.770 --> 02:47.230]  I'm pretty sure I've just been saying $19.91 this entire time.
[02:47.330 --> 02:48.810]  Is that what you're pretty sure of?
[02:48.830 --> 02:50.130]  I'm pretty sure, unless I'm having a stroke.
[02:50.430 --> 02:51.990]  You might be having a stroke.
[02:52.950 --> 02:55.590]  $19.91 is the year we're going for.
[02:55.590 --> 02:56.810]  Don Zimmer manager card.
[02:57.410 --> 02:58.710]  Typically we have a full setup.
[02:58.970 --> 03:00.870]  You can see we've got Zim right there.
[03:00.950 --> 03:01.750]  We've got the Zim Bears.
[03:02.570 --> 03:04.850]  We've got the baseball bat that I hit.
[03:05.070 --> 03:06.450]  I crushed all those home runs with.
[03:07.230 --> 03:08.990]  Some socks. Of course, two left socks.
[03:09.350 --> 03:12.190]  But not the full display, because this is a bit of a mini-show.
[03:12.310 --> 03:12.990]  And I don't want to set it up.
[03:13.270 --> 03:15.190]  So, to that end,
[03:15.290 --> 03:17.550]  I'd still want to support Zimmer.
[03:17.890 --> 03:19.490]  So I brought some
[03:19.490 --> 03:21.670]  home Zimmer cards that we can...
[03:21.670 --> 03:22.150]  Wow, really?
[03:22.150 --> 03:24.930]  Yeah, to hopefully juice the magic a little bit.
[03:24.970 --> 03:26.130]  How do you think this works?
[03:26.590 --> 03:27.450]  Just out of curiosity.
[03:27.690 --> 03:30.130]  Hang on, are you putting these as decoration
[03:30.130 --> 03:31.010]  just for us?
[03:31.470 --> 03:33.450]  Yeah, just so that we...
[03:33.450 --> 03:36.070]  I mean, if there's a wide or something,
[03:36.190 --> 03:36.770]  they can be shown.
[03:37.230 --> 03:40.710]  I just want to hear.
[03:40.850 --> 03:41.550]  I'll come through here
[03:41.550 --> 03:42.550]  with some different Zimmer.
[03:43.410 --> 03:44.490]  There's some good Zims.
[03:45.490 --> 03:46.970]  So we've surrounded...
[03:46.970 --> 03:48.310]  I kind of like this.
[03:48.310 --> 03:49.610]  So what you've done
[03:49.610 --> 03:50.830]  is surrounded
[03:51.990 --> 03:53.390]  all of these packs
[03:53.390 --> 03:55.110]  with different Zims
[03:55.110 --> 03:58.150]  to hopefully entice a Zim
[03:58.150 --> 03:58.910]  to come out.
[03:59.230 --> 04:01.250]  Oh my god, we have a wide. Can you believe it?
[04:01.270 --> 04:02.910]  Look, here's two PSA-rated right there.
[04:03.450 --> 04:04.370]  Wow, really?
[04:05.550 --> 04:07.750]  You have two PSA-rated Dons.
[04:08.050 --> 04:09.590]  Yeah, baby, they're both sevens.
[04:09.850 --> 04:10.970]  It's hard to get much higher than that.
[04:11.550 --> 04:12.930]  Unless you want to spend money.
[04:15.050 --> 04:16.210]  Let's just get right to it.
[04:16.210 --> 04:17.150]  Let's get tight on the shot.
[04:17.250 --> 04:20.150]  With the power of Zim, let's open these packs
[04:20.150 --> 04:21.110]  and see if we pull a Zim.
[04:22.590 --> 04:23.430]  Okay, here we go.
[04:23.670 --> 04:24.290]  This is exciting.
[04:25.430 --> 04:26.870]  You can be watching this on Twitch.
[04:27.050 --> 04:28.690]  You can be watching this on the Rooster Teeth site.
[04:28.850 --> 04:29.910]  We're on Twitch now. That's exciting.
[04:30.290 --> 04:32.210]  Is this our first time Twitch-ing?
[04:34.030 --> 04:35.310]  Twitch-ing? Nope.
[04:36.130 --> 04:36.890]  Had it right the first time.
[04:37.150 --> 04:39.970]  Harold Baines, when he played for the A's.
[04:40.450 --> 04:41.830]  Oh, this is for you right here.
[04:42.130 --> 04:43.250]  All-time great hitter.
[04:43.250 --> 04:44.210]  Tony Nguyen.
[04:44.210 --> 04:47.410]  The greatest to ever do it.
[04:47.710 --> 04:48.730]  Rick Aguilera.
[04:49.470 --> 04:51.050]  Oh, here we have a 1990
[04:51.830 --> 04:53.410]  Kevin Moss record-breaker.
[04:53.590 --> 04:53.810]  Beautiful.
[04:54.190 --> 04:56.290]  And then nobody remembered Kevin Moss ever again.
[04:57.130 --> 04:58.290]  This is Jim Eisenreich.
[04:58.610 --> 05:00.170]  Here is Jim...
[05:01.190 --> 05:02.490]  Oh, here's Jose Mesa.
[05:03.770 --> 05:04.850]  You like the Orioles.
[05:05.690 --> 05:06.950]  Rick Parker. He's a giant.
[05:07.030 --> 05:08.290]  You love the Giants. Oh, here we go.
[05:08.330 --> 05:08.890]  Bip Roberts.
[05:08.890 --> 05:10.630]  Hey! Big Bip.
[05:11.050 --> 05:11.650]  J. Bell.
[05:12.610 --> 05:13.710]  It's hard to read these upside down.
[05:14.030 --> 05:14.970]  Pete Harnish.
[05:16.370 --> 05:17.210]  Edgar Diaz.
[05:19.270 --> 05:20.110]  Tom Gordon.
[05:20.370 --> 05:21.050]  You're doing great.
[05:21.930 --> 05:22.770]  Willie Blair.
[05:23.830 --> 05:25.370]  And then Greg Swindell.
[05:26.530 --> 05:27.630]  So far, no Zim.
[05:28.470 --> 05:29.650]  We have three more chances.
[05:29.790 --> 05:30.850]  We have plenty of Zims left.
[05:33.570 --> 05:35.290]  This is good. I feel good about this, though.
[05:35.430 --> 05:36.650]  Well, it's because I brought the Zims out.
[05:36.650 --> 05:38.630]  Yeah, which I do appreciate.
[05:38.830 --> 05:40.650]  You've really set the stage.
[05:41.610 --> 05:42.550]  Yeah, you've made this happen.
[05:43.430 --> 05:43.990]  Alright, here we go.
[05:44.130 --> 05:45.770]  Oh, Danny Tartable. I love Danny Tartable.
[05:45.990 --> 05:47.370]  That's a great name, too.
[05:47.530 --> 05:48.810]  It's a great baseball name.
[05:50.050 --> 05:50.850]  Milt Thompson.
[05:53.410 --> 05:54.710]  Whoa! That's a good one.
[05:54.950 --> 05:55.750]  We'll just put that over there.
[05:55.970 --> 05:57.370]  He's doing like a Matrix move.
[05:57.590 --> 06:00.170]  Oh, there we go. That's a Matrix shot.
[06:00.250 --> 06:00.950]  Yeah, that's pretty cool.
[06:01.570 --> 06:05.110]  Tim Belcher. We'll make that a new Chase Matrix shot.
[06:05.670 --> 06:06.590]  Oh, here we go.
[06:06.670 --> 06:08.190]  All-time great giant, Gary Carter.
[06:10.070 --> 06:11.110]  Damon Berryhill.
[06:11.810 --> 06:13.550]  Ooh, back when the Royals had a cool logo.
[06:13.690 --> 06:14.850]  Kurt Stilwell.
[06:16.230 --> 06:17.270]  Hubie Brooks.
[06:17.990 --> 06:18.750]  For the Dodgers.
[06:19.130 --> 06:20.330]  Ooh, Don Paul.
[06:21.950 --> 06:24.590]  Oh, Carlton Fisk.
[06:25.350 --> 06:26.750]  Ooh, here's Mark Davis.
[06:27.190 --> 06:28.930]  You're excited about all these cards.
[06:29.050 --> 06:29.630]  None of them are Zims.
[06:30.150 --> 06:31.090]  Dave Clark.
[06:31.090 --> 06:33.050]  Ken Patterson.
[06:33.670 --> 06:35.130]  The John Russell.
[06:35.670 --> 06:37.470]  Looking like he's smuggling a sausage in his pants.
[06:38.070 --> 06:39.110]  Bill Kruger.
[06:39.910 --> 06:41.330]  And then Geoff Robinson.
[06:42.090 --> 06:43.170]  Okay, no Zims.
[06:44.310 --> 06:44.910]  Nothing...
[06:44.910 --> 06:46.030]  We got a Matrix shot.
[06:46.810 --> 06:50.030]  I'm a big fan of that Matrix shot.
[06:50.130 --> 06:51.050]  That's awesome.
[06:52.130 --> 06:54.230]  He's really getting out of the way of Agent Smith.
[06:55.150 --> 06:56.090]  Ricky Henderson.
[06:56.810 --> 06:58.010]  Everybody loves Ricky Henderson.
[06:58.010 --> 06:58.970]  Including Ricky Henderson.
[06:59.450 --> 07:00.770]  Maybe mostly Ricky Henderson.
[07:02.130 --> 07:03.790]  Daryl Akerfeld.
[07:04.090 --> 07:05.390]  Dwight Smith climbing the wall.
[07:06.010 --> 07:08.110]  Rick Ruchel.
[07:09.910 --> 07:11.230]  Mike Lavella.
[07:11.810 --> 07:13.030]  Dave Parker.
[07:15.570 --> 07:17.250]  Gary Pettis.
[07:17.950 --> 07:19.390]  Bruce Ruffin.
[07:19.850 --> 07:21.550]  Scott Champerino.
[07:21.910 --> 07:23.030]  That's a good baseball name.
[07:24.930 --> 07:26.170]  Gary Templeton.
[07:26.170 --> 07:26.470]  Hey!
[07:27.610 --> 07:28.610]  Look at Templeton.
[07:29.230 --> 07:31.470]  Not only do we not have a Zimmer, we don't have anything.
[07:31.810 --> 07:33.630]  Nothing real strong here.
[07:33.670 --> 07:35.490]  No managers. Brad Ornsberg.
[07:36.010 --> 07:36.450]  Here we go.
[07:37.490 --> 07:38.510]  Cal Rookin Jr.
[07:39.370 --> 07:41.150]  What's the record that he broke?
[07:41.250 --> 07:43.250]  He probably got played forever and nobody cared.
[07:44.430 --> 07:45.310]  Cal Rookin Jr.
[07:45.390 --> 07:47.230]  On July 28, 1990
[07:47.230 --> 07:49.830]  has his flawless streak of 95
[07:49.830 --> 07:51.750]  consecutive games at shortstop.
[07:52.050 --> 07:53.970]  The former mark of 88 games
[07:53.970 --> 07:55.190]  was set by...
[07:56.750 --> 07:58.050]  Bob McClure.
[07:58.330 --> 07:59.190]  And then Kurt Wilkerson.
[07:59.290 --> 07:59.850]  Last pack.
[08:00.550 --> 08:01.990]  No Zims.
[08:02.390 --> 08:03.030]  No managers.
[08:03.370 --> 08:06.590]  Which is equally troubling.
[08:09.710 --> 08:11.350]  Baseball is a top-down sport.
[08:11.710 --> 08:13.270]  You need to be celebrating the managers.
[08:13.730 --> 08:15.850]  So they can inspire the...
[08:15.850 --> 08:17.830]  They're like the producers
[08:17.830 --> 08:18.810]  of baseball.
[08:19.910 --> 08:21.190]  David Wells.
[08:21.190 --> 08:21.850]  Oh!
[08:22.790 --> 08:23.610]  All right, Boomer.
[08:24.890 --> 08:26.090]  Paul Molitor.
[08:26.950 --> 08:28.110]  He was always very good, but boring.
[08:28.610 --> 08:29.630]  John Shelby.
[08:30.590 --> 08:31.710]  Ramon Martinez.
[08:33.410 --> 08:34.610]  Bob Walk.
[08:35.090 --> 08:36.250]  Kevin Elster.
[08:36.350 --> 08:36.630]  Here we go.
[08:38.910 --> 08:40.110]  Art Howe.
[08:40.590 --> 08:41.610]  Geoff Kunkel.
[08:42.330 --> 08:43.610]  That's a good baseball name.
[08:45.270 --> 08:46.470]  Geoff Kunkel.
[08:47.110 --> 08:48.310]  It's all in how you say it.
[08:48.310 --> 08:49.470]  Wes Chamberlain.
[08:49.810 --> 08:51.250]  John Blaski.
[08:51.910 --> 08:53.110]  Wally Whitehurst.
[08:53.610 --> 08:54.970]  Chris Nabholz.
[08:55.990 --> 08:57.150]  What's his name?
[08:57.530 --> 08:58.070]  Nabholz.
[09:02.210 --> 09:03.570]  Geoff Weirden.
[09:04.030 --> 09:04.790]  Tim Costco.
[09:05.510 --> 09:07.530]  No, it's Costa.
[09:07.750 --> 09:08.570]  Oh, man.
[09:09.210 --> 09:13.010]  I wanted it to be Tim Costco so bad.
[09:13.250 --> 09:14.570]  If my name was Tim Costco,
[09:14.690 --> 09:16.450]  I would change my name to Tim Costo.
[09:16.450 --> 09:18.310]  It just feels like
[09:18.310 --> 09:19.410]  we could have
[09:20.350 --> 09:21.690]  started a pile of
[09:22.990 --> 09:23.910]  store guys.
[09:24.230 --> 09:25.390]  We can put it in there.
[09:26.850 --> 09:27.810]  It's not Costco.
[09:28.970 --> 09:29.530]  It's tough.
[09:31.050 --> 09:32.470]  Let's do something a little
[09:32.470 --> 09:34.490]  more current. I'll tell you what.
[09:35.210 --> 09:36.490]  We'll do this pack of
[09:36.490 --> 09:38.370]  Mosaic, and I'll do a little show-and-tell with you, Eric.
[09:38.390 --> 09:38.950]  I'm excited.
[09:39.190 --> 09:42.510]  I opened one pack at home yesterday.
[09:42.590 --> 09:44.110]  Is that a treat for you?
[09:44.110 --> 09:44.890]  Is that why you do that?
[09:45.130 --> 09:47.930]  I bought the stuff for work, which I'm going to open.
[09:48.150 --> 09:49.870]  Because I don't want to sit and look at
[09:49.870 --> 09:51.830]  baseball cards for 24 hours
[09:51.830 --> 09:53.450]  in my house unopened,
[09:53.590 --> 09:56.310]  I buy a couple just to...
[09:56.310 --> 09:56.910]  It's a treat.
[09:57.410 --> 09:58.590]  You can have one as a treat.
[09:58.690 --> 10:00.950]  It's like opening a present on Christmas Eve.
[10:01.970 --> 10:03.370]  But you bought it.
[10:03.470 --> 10:05.650]  I bought it for myself. Here's the present I got.
[10:05.970 --> 10:07.210]  I'll show you what's interesting about this.
[10:07.470 --> 10:09.610]  This is a Devin Vassell Fast Break rookie card.
[10:09.610 --> 10:10.870]  Is that auto on card?
[10:11.610 --> 10:12.730]  No, it's a sticker.
[10:12.930 --> 10:15.270]  Not a numbered card or anything, but it is a rookie auto.
[10:15.530 --> 10:16.510]  And it is a parallel.
[10:16.830 --> 10:17.530]  And it's really nice.
[10:18.230 --> 10:20.610]  Saw something about this card I've never seen
[10:20.610 --> 10:23.170]  in the, I don't know, 35 years
[10:23.170 --> 10:24.130]  I've bought baseball cards.
[10:25.870 --> 10:27.170]  Came with a
[10:27.170 --> 10:28.790]  sticky note on the back of it that says
[10:28.790 --> 10:30.370]  number 8. I left it on.
[10:30.630 --> 10:32.990]  I guess maybe
[10:32.990 --> 10:34.950]  they're like signed in
[10:34.950 --> 10:36.650]  piles and they put the sticky notes on them.
[10:36.730 --> 10:38.330]  And somehow it made it through
[10:38.330 --> 10:40.270]  it made it through all the cue
[10:40.270 --> 10:42.310]  quality assurance, it got put back into the rotation
[10:42.710 --> 10:44.450]  then it got inserted into the pack
[10:44.450 --> 10:46.070]  with this post-it note on it.
[10:46.070 --> 10:48.370]  That's really cool. Yeah, so I'm going to leave it on forever.
[10:48.390 --> 10:50.110]  Oh yeah, absolutely. That's a good one.
[10:50.250 --> 10:51.950]  Yeah, I wonder who wrote number 8.
[10:52.010 --> 10:54.670]  I don't know, because honestly, they did it really poorly.
[10:54.850 --> 10:55.890]  Yeah, it's not the best number 8.
[10:56.230 --> 10:58.270]  I mean, the number 8 is just kind of like two
[10:58.270 --> 11:00.330]  circles, and it seems like they just went way
[11:00.330 --> 11:01.310]  too far with them. Yeah.
[11:01.930 --> 11:03.570]  They were definitely over-enthusiastic.
[11:03.810 --> 11:05.950]  It was more attention than an 8 needed.
[11:05.950 --> 11:07.650]  Anyway, it's a good card.
[11:07.810 --> 11:08.410]  It's pretty cool. Yeah.
[11:09.170 --> 11:11.930]  But way cooler, I bet you've never pulled a card
[11:11.930 --> 11:12.750]  with a post-it note. No.
[11:13.170 --> 11:14.270]  Out of the pack. Never.
[11:15.950 --> 11:18.090]  So you bought one of these
[11:18.090 --> 11:19.530]  mosaics. How many cards are in this pack?
[11:20.230 --> 11:22.030]  There's going to be 8 cards
[11:22.030 --> 11:24.370]  in this pack. I paid $26.95.
[11:24.830 --> 11:25.890]  Got my money's worth
[11:25.890 --> 11:27.330]  in post-it notes alone.
[11:27.790 --> 11:29.450]  We talked about this before,
[11:30.390 --> 11:31.390]  me and the crew.
[11:31.790 --> 11:33.890]  It feels like the more money you
[11:33.890 --> 11:35.910]  pay for a pack, the less cards
[11:35.910 --> 11:37.990]  there are in the pack, and then
[11:37.990 --> 11:40.270]  it's just like, oh, this was $450.
[11:40.790 --> 11:42.130]  It's 11 cards.
[11:42.450 --> 11:44.030]  Collecting cards is a financial
[11:44.030 --> 11:44.770]  race to the bottom.
[11:46.810 --> 11:47.830]  Larry Nance Jr.
[11:48.310 --> 11:49.490]  Awesome. Okay.
[11:49.870 --> 11:51.990]  I wish... I hope he figures
[11:51.990 --> 11:53.710]  it out. Zion Williamson.
[11:53.790 --> 11:55.790]  I think...
[11:55.790 --> 11:58.030]  A lot of funny stuff
[11:58.030 --> 11:59.090]  been said about Zion this year.
[11:59.330 --> 12:01.910]  Sports media has really had a ball.
[12:01.910 --> 12:03.830]  No pun intended.
[12:04.330 --> 12:05.430]  Just hope he gets healthy.
[12:05.930 --> 12:08.050]  Big fan of Zion. Can't wait to see him.
[12:08.210 --> 12:09.390]  Hopefully next year. Al Horford!
[12:10.070 --> 12:12.170]  Hey! Celtics
[12:12.170 --> 12:13.670]  MVP Al Horford.
[12:13.830 --> 12:15.390]  Oh my god!
[12:15.670 --> 12:17.910]  Doing it for all us 35-year-olds.
[12:18.190 --> 12:19.390]  Thank you, Big Al.
[12:19.670 --> 12:21.230]  Showing up, showing out.
[12:21.670 --> 12:23.690]  Tearing it up for whatever fucking reason.
[12:23.730 --> 12:25.870]  No one else can do it. Because Giannis
[12:25.870 --> 12:26.670]  looked at him wrong.
[12:28.190 --> 12:30.010]  Giannis Antetokounmpo looked at him wrong
[12:30.010 --> 12:31.990]  and Al said, okay, I'm going to dunk
[12:31.990 --> 12:34.050]  on you, I'm going to hit you in the face, I'm going to destroy
[12:34.050 --> 12:35.530]  you. 35!
[12:36.110 --> 12:38.310]  Al Horford's children are probably
[12:38.310 --> 12:39.290]  driving age.
[12:40.070 --> 12:40.470]  And...
[12:42.470 --> 12:42.870]  And...
[12:43.470 --> 12:45.870]  He just had a game where he went off.
[12:47.270 --> 12:47.810]  That's true.
[12:47.910 --> 12:49.890]  He saved our season. Absolutely.
[12:49.970 --> 12:52.010]  At least for one more night. Eric Pascal.
[12:52.670 --> 12:53.930]  He is no longer with
[12:53.930 --> 12:56.450]  Golden State. Jason Tatum.
[12:56.530 --> 12:56.930]  Hey!
[12:56.930 --> 12:59.150]  We call him in my house.
[12:59.270 --> 13:01.090]  Great, good. Oh, cool!
[13:01.390 --> 13:02.550]  Look at that. National Pride
[13:02.550 --> 13:04.850]  LaMelo Ball year two card. That's nice.
[13:05.710 --> 13:06.490]  Kawhi Leonard.
[13:06.770 --> 13:08.810]  He was the most dominant player
[13:08.810 --> 13:10.070]  in baseball. They called him the Claw.
[13:11.790 --> 13:13.430]  Feels like it's been about six years
[13:13.430 --> 13:15.070]  since he went to the Flippers.
[13:15.330 --> 13:16.530]  Apple man eats apples, man.
[13:16.690 --> 13:17.490]  Apple man eats apples.
[13:18.010 --> 13:19.170]  I can't get enough of that.
[13:21.050 --> 13:22.650]  Do you ever just watch
[13:22.650 --> 13:24.350]  compilations of Kawhi Leonard laughing?
[13:24.350 --> 13:25.490]  It's awesome.
[13:26.250 --> 13:27.670]  He's not human.
[13:27.930 --> 13:29.470]  People just tell him a joke and he goes
[13:30.610 --> 13:32.190]  It's perfect. He's bizarre, man.
[13:32.590 --> 13:33.930]  Phenomenal basketball player.
[13:34.030 --> 13:35.250]  If he were ever to be healthy again.
[13:35.790 --> 13:38.110]  SGA montage card. Shai Gildas-Alexander.
[13:38.210 --> 13:39.950]  He's a very good player over there
[13:39.950 --> 13:42.310]  in the Presti-led Oklahoma City Thunder.
[13:42.430 --> 13:43.690]  Doing great things over there.
[13:44.630 --> 13:45.210]  You know,
[13:45.950 --> 13:47.290]  a lot of fun to talk about.
[13:47.450 --> 13:50.410]  Not $26 worth of cards, per se.
[13:50.590 --> 13:51.710]  Can I show something real quick?
[13:51.710 --> 13:53.530]  I got some cards sent to me by
[13:54.670 --> 13:55.870]  Joel, a friend
[13:55.870 --> 13:56.670]  of the show.
[13:57.190 --> 13:59.210]  He's a Padres.
[13:59.630 --> 14:01.910]  Well, he collects a lot of cards. I said, I'm a Padres fan.
[14:01.970 --> 14:02.990]  He said, I'll send you some stuff.
[14:03.090 --> 14:05.010]  There's a tweet where that happened.
[14:05.450 --> 14:07.770]  There's me replying. Which we found out is Eric's favorite
[14:07.770 --> 14:09.650]  thing in the world. To receive a letter
[14:09.650 --> 14:11.470]  in the mail that's just a printed out tweet.
[14:11.610 --> 14:13.550]  It's really exciting. So I got some cards.
[14:13.790 --> 14:15.650]  They're just Padres cards. I just want to open
[14:15.650 --> 14:17.550]  these quickly, see what they are, because I know
[14:17.550 --> 14:19.170]  they're all Padres. So, let's see.
[14:19.170 --> 14:20.450]  Here is...
[14:20.450 --> 14:22.390]  Ooh, I like this. Tony Gwynn.
[14:22.650 --> 14:23.690]  That's a good looking one, man.
[14:24.590 --> 14:27.050]  And then here's a Tony Gwynn.
[14:29.170 --> 14:30.190]  And then here's
[14:30.190 --> 14:31.290]  the worst Padre.
[14:32.810 --> 14:33.750]  He's now a red.
[14:33.910 --> 14:35.110]  You see what's weird about all these?
[14:35.210 --> 14:36.450]  These are all Panini cards.
[14:36.970 --> 14:38.010]  They're all very nice.
[14:38.810 --> 14:41.170]  They don't have the MLB license, so you're not seeing
[14:41.850 --> 14:42.970]  his logo. Oh, you're right!
[14:43.130 --> 14:44.350]  It's just colors and stuff.
[14:45.910 --> 14:46.710]  Manny Machado.
[14:46.710 --> 14:47.950]  Great looking.
[14:48.230 --> 14:50.770]  This is insane. Now that you pointed that out,
[14:51.290 --> 14:52.370]  it's all I can see.
[14:52.850 --> 14:54.650]  Austin Hedges. He's with the Guardians
[14:54.650 --> 14:55.710]  now. No longer a Padre.
[14:56.250 --> 14:58.710]  Mackenzie Gore. He is a prospect
[14:58.710 --> 15:00.690]  that finally turned out. He's a starter for the San Diego
[15:00.690 --> 15:01.610]  Padres. Guys, awesome.
[15:02.370 --> 15:04.850]  Franchise Feats. Tony Gwynn.
[15:04.910 --> 15:06.210]  Looking great. Love that.
[15:07.110 --> 15:08.650]  Here's a Donruss Diamond Kings.
[15:09.650 --> 15:10.870]  Fernando Tatis Jr.
[15:12.010 --> 15:12.490]  Here's
[15:12.490 --> 15:14.470]  Chris Paddock. He plays for,
[15:14.470 --> 15:16.150]  I think, the Twins now.
[15:16.230 --> 15:18.110]  Nice. And then,
[15:18.430 --> 15:19.030]  here is
[15:20.810 --> 15:22.010]  Manuel Margot
[15:22.010 --> 15:23.810]  of, I think,
[15:24.010 --> 15:25.830]  he plays for Tampa Bay.
[15:26.430 --> 15:28.070]  Got another card here that says,
[15:28.550 --> 15:30.570]  this guy isn't a Padre, but he did
[15:30.570 --> 15:32.490]  get caught jerking it in a parking
[15:32.490 --> 15:34.230]  lot in his car, and I figured
[15:34.230 --> 15:36.110]  you'd want a piece of that history.
[15:36.710 --> 15:38.770]  It's Reese McGuire.
[15:44.940 --> 15:45.460]  That's...
[15:45.460 --> 15:47.620]  And it's autographed.
[15:47.820 --> 15:49.200]  Oh, I don't want to touch it!
[15:49.620 --> 15:51.240]  That's the
[15:51.240 --> 15:53.240]  same hand that touched his dick in a
[15:53.240 --> 15:55.100]  parking lot. That's awesome. This one
[15:55.100 --> 15:57.140]  simply said open last, so we're going to see what it is.
[15:58.520 --> 15:59.160]  That's like
[15:59.160 --> 16:01.280]  legend. That's Hall of Fame right there.
[16:01.940 --> 16:03.020]  This is a
[16:03.020 --> 16:04.620]  Fernando Tatis Jr. card
[16:06.040 --> 16:06.560]  that...
[16:07.340 --> 16:09.200]  That's a Tatis Jr. rookie
[16:09.200 --> 16:10.660]  card, dude. Yes, it is.
[16:11.660 --> 16:12.460]  No way!
[16:13.640 --> 16:14.720]  Hey, you thought there
[16:14.720 --> 16:15.240]  was no hope.
[16:16.540 --> 16:18.580]  Oh, shit, we did get a Zimmer! We got
[16:18.580 --> 16:20.640]  a Zimmer! Oh, man, who
[16:20.640 --> 16:22.480]  sent that to us? This is Joel. Joel,
[16:22.580 --> 16:24.780]  you're fucking awesome, Joel. Thank you.
[16:24.920 --> 16:25.180]  At
[16:26.960 --> 16:28.660]  joelar underscore bear one.
[16:28.780 --> 16:30.640]  Thank you, Joel. Dude, I'm going to
[16:30.640 --> 16:32.620]  look your Tatis rookie up. Dude, wow!
[16:32.780 --> 16:34.760]  These are awesome. We got a Zim also?
[16:35.060 --> 16:35.920]  Holy cow!
[16:36.560 --> 16:38.360]  What is this? 410?
[16:39.100 --> 16:39.980]  Man, wow!
[16:40.120 --> 16:42.180]  We're going to have a look at that. That's a great looking
