[00:31.180 --> 00:33.060]  Because we've stacked tables!
[03:48.580 --> 03:49.660]  There you go.
[03:51.120 --> 03:52.000]  Now, Gracie.
[03:52.140 --> 03:55.260]  You are going to hold the tape measure and operate the bottom one.
[03:55.520 --> 03:56.980]  Nick, you're going to operate the middle one.
[03:57.240 --> 03:57.940]  Do we have a clipboard?
[03:57.960 --> 03:59.740]  Did anybody write the number down?
[04:00.640 --> 04:01.380]  Two inches.
[04:02.920 --> 04:04.220]  Two inches in three seconds.
[04:04.880 --> 04:07.120]  So we need to go six in three seconds.
[04:07.320 --> 04:07.500]  Yeah.
[04:07.920 --> 04:09.360]  Okay, ready?
[04:10.300 --> 04:12.900]  In three, two, one...
[04:12.900 --> 04:13.680]  Go!
[04:15.180 --> 04:16.240]  Oh, this rules.
[04:16.580 --> 04:18.000]  I'm not moving at all.
[04:18.840 --> 04:20.060]  I wonder if it's too heavy.
[04:20.360 --> 04:21.360]  Mine did not move at all.
[04:21.540 --> 04:22.440]  This is what Gracie said.
[04:22.520 --> 04:23.640]  Anyway, what's the measurement?
[04:25.160 --> 04:27.260]  It's 74 and a quarter.
[04:28.320 --> 04:29.540]  Which is how many inches?
[04:30.700 --> 04:31.860]  68 and a quarter.
[04:33.240 --> 04:34.900]  That was two deaths.
[04:36.100 --> 04:36.880]  Double the speed.
[04:37.060 --> 04:37.640]  Double the speed.
[04:37.880 --> 04:38.740]  We did it!
[04:38.740 --> 04:39.580]  Gracie's thoughts?
[04:40.860 --> 04:41.840]  I get it now.
[04:43.060 --> 04:44.320]  Alright, let's bring him down.
[04:50.800 --> 04:51.800]  You guys!
[04:53.740 --> 04:55.080]  Bring him down.
[04:55.820 --> 04:57.180]  Bring him down safely.
[04:57.380 --> 04:58.740]  Okay, we did it.
[04:59.800 --> 05:00.960]  It's coming home, boys.
[05:01.640 --> 05:02.620]  If you're a desk company
[05:02.620 --> 05:05.260]  who thinks you can do three desks,
[05:05.460 --> 05:06.700]  if you think your motors have it,
[05:06.700 --> 05:07.760]  get in touch
[05:08.800 --> 05:09.760]  at eric...
[05:11.920 --> 05:13.060]  What is it?
[05:13.640 --> 05:14.060]  bits at
[05:14.860 --> 05:15.780]  andrewsemailaddress.net
[05:15.780 --> 05:16.760]  What is it?
[05:18.300 --> 05:20.180]  Fuck these bits, it's...
[05:20.680 --> 05:21.840]  at show.com
[05:23.600 --> 05:25.360]  And we'll take the desks
[05:25.360 --> 05:26.460]  and we'll do it again with three.
[05:27.720 --> 05:28.560]  We should do it with ten.
[05:28.860 --> 05:30.480]  Let's do it with ten. Send ten desks.
[05:30.680 --> 05:32.880]  There's a ten desk company out there, right?
[05:33.060 --> 05:34.520]  A company that's so fucking
[05:36.380 --> 05:36.860]  sure
[05:36.860 --> 05:38.660]  of their desk quality.
[05:38.900 --> 05:40.600]  I have used desks where
[05:40.600 --> 05:42.120]  each leg has its own motor.
[05:42.280 --> 05:43.880]  Instead of this two motor bollocks.
[05:45.420 --> 05:46.320]  Four motors per
[05:46.320 --> 05:48.100]  desk. One per leg.
[05:49.320 --> 05:49.800]  Alright.
[05:50.620 --> 05:51.360]  Final thoughts?
[05:51.960 --> 05:53.880]  I mean, my theory was still right that these weren't gonna fall.
[05:55.540 --> 05:56.020]  Now...
[05:56.020 --> 05:57.400]  Are you gonna flip down?
[05:57.720 --> 05:59.940]  Yeah, I think I should go for some sort of dismount.
[05:59.980 --> 06:00.900]  No, I think we should just cut.
[06:00.900 --> 06:01.560]  Like a somersault?
[06:01.580 --> 06:04.380]  Do you want this for the trial?
[06:04.900 --> 06:06.320]  Or do we need this for the deposition?
[06:06.480 --> 06:08.140]  Alright, everyone wave bye.
