[00:00.500 --> 00:01.140]  We're back.
[01:32.240 --> 01:33.280]  Let's do this.
[01:33.760 --> 01:33.980]  We have to kill him first.
[01:35.280 --> 01:35.740]  Coin!
[01:37.080 --> 01:38.200]  Gotta have it.
[01:38.700 --> 01:39.540]  Where's the start?
[01:39.920 --> 01:40.960]  Oh, this looks terrible.
[01:41.280 --> 01:42.480]  Down, bottom left. Bottom left.
[01:44.940 --> 01:46.240]  Oh, that's gonna be interesting.
[01:46.540 --> 01:46.940]  You know what?
[01:48.240 --> 01:49.260]  Feeling good about it.
[01:49.380 --> 01:51.420]  You know what? One last chance. Jump right there.
[01:52.840 --> 01:53.560]  Oh, shit!
[01:53.560 --> 01:53.780]  Oh, my God!
[01:54.080 --> 01:54.280]  Oh, fuck!
[01:54.380 --> 01:56.160]  Oh, fuck me!
[01:56.320 --> 01:56.980]  This moves!
[01:57.080 --> 01:57.420]  No, Andrew.
[01:58.600 --> 01:59.480]  Everything moves.
[02:01.640 --> 02:04.040]  Guys, I got a little excited.
[02:04.340 --> 02:05.820]  Andrew, don't touch me.
[02:07.620 --> 02:10.660]  Andrew, you have to get him out of there. He has the coin.
[02:11.220 --> 02:12.020]  I'm trying to stop him.
[02:12.720 --> 02:13.380]  I got it!
[02:13.540 --> 02:14.740]  Oh, he got it and he's floating.
[02:15.140 --> 02:16.260]  No, he didn't!
[02:17.980 --> 02:18.940]  Oh, my God!
[02:19.240 --> 02:20.860]  Oh, my God, you're still alive.
[02:21.460 --> 02:22.760]  You're still alive.
[02:23.440 --> 02:24.620]  You're a sheep now?
[02:25.080 --> 02:27.200]  I like the legs. I like the narrow legs.
[02:27.200 --> 02:28.860]  I like the legs.
[02:29.220 --> 02:31.260]  I like how squished you get, like a little cloud.
[02:31.540 --> 02:32.520]  Look at me, I'm a little cloud.
[02:32.860 --> 02:36.840]  I like that Andrew picks the character with the most delicate ankles.
[02:39.020 --> 02:40.120]  It's definitely true.
[02:41.020 --> 02:42.140]  Nice, what a win!
[02:44.500 --> 02:44.660]  Yeah!
[02:45.340 --> 02:47.020]  That's fine. Yeah, pick on the new guy. That's fine.
[02:53.770 --> 02:55.750]  How do I want to do this?
[02:55.770 --> 02:58.250]  What does the door do? Oh, I guess it just opens and you fall through.
[02:58.250 --> 02:58.850]  It opens and closes.
[02:59.790 --> 03:01.970]  Oh, my God, that fan.
[03:02.650 --> 03:04.470]  Oh, that's going to be a problem.
[03:07.230 --> 03:09.090]  I forgot which character I was for a minute.
[03:09.710 --> 03:10.050]  That was terrifying.
[03:10.170 --> 03:11.570]  Let's go. Get off me. Nick, get off me.
[03:11.770 --> 03:12.170]  Nick, let's go.
[03:13.270 --> 03:14.510]  That fucking door!
[03:14.770 --> 03:15.210]  What the fuck?
[03:16.810 --> 03:18.410]  Oh, I jumped off of you somehow.
[03:19.030 --> 03:19.550]  Get him!
[03:20.190 --> 03:20.410]  Oh!
[03:21.030 --> 03:21.430]  Dammit.
[03:22.930 --> 03:23.430]  Uh-oh.
[03:23.430 --> 03:23.450]  Oh!
[03:27.510 --> 03:28.810]  Lock it in, Nick.
[03:28.910 --> 03:29.570]  Oh, the dancing monkey.
[03:29.930 --> 03:30.850]  Look at him go.
[03:31.270 --> 03:32.150]  Look at him go.
[03:34.110 --> 03:37.530]  And then what's the dancing monkey's plan?
[03:38.770 --> 03:40.710]  Get dancing now, you fucking idiot.
[03:42.130 --> 03:45.450]  Oh, my God. A lot of points.
[03:46.410 --> 03:49.030]  I didn't know that a black hole could be attached to goo.
[03:49.630 --> 03:50.150]  It can, indeed.
[03:52.070 --> 03:53.910]  You can goo almost anything.
[03:54.550 --> 03:55.510]  It's true.
[03:59.500 --> 04:00.800]  What are we feeling here?
[04:00.880 --> 04:01.600]  What are we feeling?
[04:02.720 --> 04:03.260]  There we go.
[04:03.560 --> 04:04.680]  What the...
[04:04.680 --> 04:06.060]  It's just a death trap.
[04:06.460 --> 04:06.820]  Oh, no.
[04:07.100 --> 04:07.460]  Let's go next.
[04:07.900 --> 04:08.360]  Oh, shit.
[04:08.840 --> 04:09.320]  Nick!
[04:09.800 --> 04:10.280]  Nick!
[04:10.520 --> 04:10.920]  Oh, God.
[04:11.280 --> 04:11.520]  No!
[04:12.020 --> 04:13.800]  You stomped on my head!
[04:15.480 --> 04:16.760]  Oh, no! My head!
[04:18.140 --> 04:18.620]  Nick!
[04:20.180 --> 04:21.460]  I turned into a Sasquatch.
[04:21.460 --> 04:24.220]  I got too excited!
[04:25.940 --> 04:27.100]  Oh, that's bullshit.
[04:27.240 --> 04:28.040]  That arrow hit you.
[04:28.140 --> 04:30.060]  Are you fucking kidding me?
[04:32.240 --> 04:33.880]  We need to stop him.
[04:33.980 --> 04:35.640]  We need to flip to Gavin again.
[04:36.280 --> 04:37.760]  Flip to Gavin.
[04:39.060 --> 04:39.600]  Well...
[04:40.720 --> 04:42.160]  For God's sake, Nick.
[04:42.320 --> 04:42.840]  Pick one.
[04:47.920 --> 04:49.720]  This is a sticky coin.
[04:51.460 --> 04:52.440]  Oh, no way.
[04:53.720 --> 04:54.980]  What am I feeling here?
[04:55.000 --> 04:56.200]  I want to see what I can do.
[04:56.500 --> 05:00.030]  Oh, God.
[05:00.270 --> 05:01.530]  That's going to be problematic.
[05:01.850 --> 05:02.890]  Oh, Lord.
[05:03.370 --> 05:04.050]  Okay, Nick, let's go.
[05:04.370 --> 05:05.490]  Nick! Fuck off!
[05:05.750 --> 05:06.010]  No!
[05:06.990 --> 05:07.510]  Nick!
[05:08.450 --> 05:08.970]  Eric!
[05:10.610 --> 05:11.130]  Okay.
[05:11.930 --> 05:12.830]  Steal his coin!
[05:15.530 --> 05:16.050]  Eric.
[05:16.330 --> 05:17.370]  How did you avoid that?
[05:17.670 --> 05:19.390]  I'm dancing all the way to hell.
[05:19.390 --> 05:22.170]  It's like the dancing blocked the arrow.
[05:22.170 --> 05:23.690]  Yeah, I'm pretty powerful.
[05:23.750 --> 05:24.530]  The stick!
[05:27.530 --> 05:29.050]  I got gummed up!
[05:29.790 --> 05:30.530]  Gavin, don't!
[05:30.730 --> 05:31.150]  Gavin, don't!
[05:31.270 --> 05:32.170]  How am I going to...
[05:32.850 --> 05:33.510]  How am I...
[05:34.590 --> 05:35.490]  When do I...
[05:35.490 --> 05:36.390]  Get him, get him, get him!
[05:36.810 --> 05:37.090]  When do I...
[05:37.090 --> 05:38.010]  Gavin!
[05:38.910 --> 05:39.310]  No!
[05:43.410 --> 05:44.330]  Oh, wow.
[05:46.110 --> 05:46.370]  Gavin...
[05:48.490 --> 05:50.350]  You needed a whole new page.
[05:51.230 --> 05:52.150]  Holy shit.
[05:52.170 --> 05:56.150]  I'm just shooting you in the dick over and over again.
[05:56.150 --> 05:57.170]  It's going shmi mode, so...
[05:57.770 --> 05:59.610]  Gavin's like, yeah, he stabbed me in the dick,
[05:59.690 --> 06:02.470]  but for one frame, I had the largest cock in the world.
[06:05.310 --> 06:07.310]  Keep it going. I want to go right into the next one. Let's go.
[06:10.070 --> 06:10.410]  Iceberg.
[06:11.110 --> 06:11.450]  Iceberg.
[06:12.230 --> 06:13.550]  I wonder which will win.
[06:14.170 --> 06:14.470]  Wowie.
[06:14.650 --> 06:15.750]  How did you get over here?
[06:16.250 --> 06:18.110]  Have you guys watched Our Flag Means Death?
[06:18.810 --> 06:19.150]  Yeah.
[06:19.390 --> 06:21.150]  Dude, I just got into it. It's really good.
[06:21.150 --> 06:22.410]  Dude, it's really good.
[06:22.430 --> 06:24.290]  Really good. I'm almost done with season one.
[06:25.570 --> 06:28.130]  I haven't watched the second season, but the first season was really enjoyable.
[06:28.330 --> 06:28.790]  So funny.
[06:30.510 --> 06:31.690]  Where does the starfish go?
[06:33.070 --> 06:34.170]  Oh, start at the top left.
[06:38.080 --> 06:39.220]  This looks heinous.
[06:39.920 --> 06:40.780]  Yeah, I don't like this.
[06:41.540 --> 06:43.380]  For this one, the ship piece will move.
[06:44.460 --> 06:45.200]  Oh my god.
[06:47.180 --> 06:48.500]  We have to ride it to the end.
[06:49.540 --> 06:52.480]  Now, is that a solid wall of ice in front of you, or can you go through that?
[06:52.480 --> 06:52.740]  Nope.
[06:53.060 --> 06:53.640]  No, we go through it.
[06:53.720 --> 06:54.940]  That was terrifying.
[06:55.160 --> 06:57.180]  But it can still drop ice on you, right?
[06:58.940 --> 07:01.540]  Wait, I want to get the thing up there.
[07:02.260 --> 07:03.020]  No points.
[07:04.100 --> 07:08.180]  Well, we learned how the level works, because now you go through the ice. I get it now.
[07:08.760 --> 07:10.240]  There are things that drop...
[07:11.080 --> 07:12.960]  Damn it! I just want to...
[07:12.960 --> 07:13.200]  Alright.
[07:13.340 --> 07:13.800]  Nick, pick something.
[07:21.520 --> 07:21.980]  You know what?
[07:23.360 --> 07:24.480]  I'm going to make things difficult.
[07:27.400 --> 07:28.360]  Oh, that's a good one.
[07:28.660 --> 07:29.320]  Alright, Nick, let's go.
[07:30.400 --> 07:30.700]  Nick!
[07:33.140 --> 07:33.820]  Nick, okay, Nick.
[07:34.540 --> 07:35.820]  No, Nick, don't touch me.
[07:35.960 --> 07:36.580]  Nick, don't touch me.
[07:36.680 --> 07:36.900]  Nick!
[07:36.980 --> 07:37.320]  Don't touch me.
[07:38.100 --> 07:38.400]  No!
[07:39.020 --> 07:39.420]  Don't touch me!
[07:40.160 --> 07:40.760]  Holy shit!
[07:41.860 --> 07:43.500]  Oh, you saved me! I think you saved my life!
[07:44.520 --> 07:44.820]  Yes!
[07:45.160 --> 07:46.140]  Oh, 10 points!
[07:47.540 --> 07:49.000]  I didn't know that was there!
[07:49.640 --> 07:51.140]  First points of the day, boys!
[07:51.740 --> 07:52.540]  Give me the trap!
[07:54.020 --> 07:55.120]  Well, you're on the board, Eric.
[07:56.100 --> 07:57.060]  Yeah, baby!
[07:57.220 --> 07:57.620]  Oh, I learned.
[07:57.800 --> 07:58.800]  I thought I was home free!
[07:59.420 --> 08:01.100]  Oh shit, I think we both got that.
[08:02.920 --> 08:03.240]  Oh.
[08:03.880 --> 08:04.720]  Oh, damn it!
[08:06.300 --> 08:07.000]  You know what?
[08:09.760 --> 08:10.640]  Oh my god.
[08:11.480 --> 08:12.300]  No rest for the weary.
[08:12.660 --> 08:13.640]  I want this.
[08:13.900 --> 08:16.520]  I'm out of here.
[08:17.020 --> 08:17.200]  Oh!
[08:17.640 --> 08:18.140]  You fools!
[08:18.680 --> 08:19.280]  You fools!
[08:22.540 --> 08:23.020]  Well...
[08:23.020 --> 08:23.320]  Whoops!
[08:23.320 --> 08:23.940]  Oh!
[08:26.420 --> 08:26.940]  Oh!
[08:27.180 --> 08:27.540]  Oh!
[08:27.720 --> 08:29.660]  That is almost incredible!
[08:31.660 --> 08:32.760]  Oh my god!
[08:33.320 --> 08:34.620]  I just want the secret!
[08:34.740 --> 08:35.480]  I want a hat!
[08:35.580 --> 08:36.820]  I want to unlock a hat!
[08:38.540 --> 08:39.840]  No hats for you!
[08:40.780 --> 08:41.480]  Damn it!
[08:41.540 --> 08:42.580]  What's the fire hydrant do?
[08:43.240 --> 08:44.020]  It squirts blood.
[08:44.680 --> 08:45.420]  Okay, yes.
[08:45.560 --> 08:45.860]  Thanks, man.
[08:47.780 --> 08:48.520]  I'm here!
[08:52.420 --> 08:54.780]  This is going to be such a mess.
[08:54.940 --> 08:55.740]  I can't wait.
[08:58.140 --> 08:58.660]  Oh!
[08:59.500 --> 09:00.940]  Guys, stop pushing me!
[09:03.360 --> 09:04.620]  Oh, frickin' hell!
[09:05.880 --> 09:06.380]  Got him.
[09:07.440 --> 09:07.960]  No!
[09:10.320 --> 09:12.140]  Oh, Gab, you're home free, bud.
[09:13.040 --> 09:14.720]  How did you survive that, Eric?
[09:15.500 --> 09:16.440]  That's incredible.
[09:19.260 --> 09:20.660]  Eric unlocked a hat!
[09:20.660 --> 09:21.420]  I got goggles!
[09:21.420 --> 09:22.620]  This is goggles for Nick!
[09:23.500 --> 09:24.060]  Why?
[09:25.560 --> 09:26.120]  What?
[09:26.920 --> 09:27.860]  Thanks, man.
[09:28.840 --> 09:33.620]  That was very helpful.
[09:33.860 --> 09:34.780]  Nick, you're fuckin' dead.
[09:35.140 --> 09:36.180]  Nick, you're fuckin' dead.
[09:36.620 --> 09:41.460]  That was so good.
[09:42.120 --> 09:43.300]  What the fuck?
[09:44.360 --> 09:46.680]  Hey, I like an omnipresent threat.
[09:46.760 --> 09:47.760]  Congratulations, Nick.
[09:48.580 --> 09:49.180]  Thank you.
[09:49.360 --> 09:51.860]  I'm stoked to have glasses for a lizard.
[09:52.000 --> 09:52.380]  Shut up!
[09:52.880 --> 09:53.720]  Shut up!
[09:57.480 --> 09:58.160]  Oh, shit.
[09:58.580 --> 09:58.940]  Oh, shit!
[10:01.420 --> 10:03.160]  How do we feel about being on top of this?
[10:05.280 --> 10:06.280]  What the fuck?
[10:06.600 --> 10:07.880]  Oh, how did that not hit you?
[10:08.360 --> 10:09.140]  Oh, my God.
[10:09.640 --> 10:10.960]  Alright, Gavin, what's the plan?
[10:11.500 --> 10:12.040]  Oh, God!
[10:12.220 --> 10:13.540]  It's like an icicle thing.
[10:17.200 --> 10:17.760]  Damn it.
[10:18.040 --> 10:18.600]  Oh, man.
[10:18.660 --> 10:19.840]  How am I in second place?
[10:22.300 --> 10:23.280]  Oh, I wanted that.
[10:24.880 --> 10:26.320]  What does the dynamite do?
[10:26.620 --> 10:27.580]  It destroys stuff.
[10:27.780 --> 10:29.740]  Yeah, shut the fuck up.
[10:36.320 --> 10:37.120]  Stupid fucking...
[10:37.120 --> 10:38.000]  Where are we going next, car?
[10:38.180 --> 10:38.480]  Oh, cool.
[10:42.980 --> 10:43.540]  Whoops.
[10:44.740 --> 10:45.640]  Oh, shit!
[10:45.940 --> 10:46.280]  Black hole!
[10:46.580 --> 10:46.800]  Black hole!
[10:48.760 --> 10:50.520]  Alright, Andrew, you got this.
[10:51.140 --> 10:51.580]  No!
[10:51.840 --> 10:52.680]  Slams, done.
[10:53.460 --> 10:53.560]  Oh, so dead!
[10:53.560 --> 10:56.040]  And he's just getting beat to fucking shit.
[10:56.420 --> 10:56.720]  I'm annihilated.
[10:57.660 --> 10:59.220]  Alright, Gavin, you got this.
[10:59.620 --> 11:00.400]  I need the boat back.
[11:01.740 --> 11:02.800]  Let's go, boat!
[11:04.660 --> 11:05.240]  Take me away!
[11:05.980 --> 11:06.420]  You're low.
[11:08.480 --> 11:09.280]  Is that the way to do it?
[11:09.960 --> 11:10.440]  I don't know.
[11:13.340 --> 11:14.900]  So far, so good.
[11:15.700 --> 11:17.060]  Now, what's the plan?
[11:18.680 --> 11:19.800]  Oh, my God.
[11:20.560 --> 11:22.600]  Oh, what a jump!
[11:27.440 --> 11:30.240]  Gavin is the ultimate chicken horse.
[11:32.000 --> 11:34.680]  Gavin, that was incredible.
[11:35.460 --> 11:36.800]  Congratulations, Gav.
[11:37.880 --> 11:39.100]  You deserve chicken.
[11:39.940 --> 11:40.580]  That's awesome.
[11:40.680 --> 11:42.460]  I'm so glad Nick got some goggles.
[11:42.680 --> 11:44.120]  That's so cool for him.
[11:44.300 --> 11:44.880]  Hey, I'm happy.
[11:45.580 --> 11:46.300]  I'm pretty stoked.
[11:47.020 --> 11:47.660]  Thanks, man.
[11:50.240 --> 11:51.660]  Ah, jungle temple's good.
[11:52.320 --> 11:52.800]  Yeah?
[11:52.980 --> 11:53.960]  Okay, let's do it.
[11:55.420 --> 11:56.760]  I don't have anything.
[11:56.940 --> 11:57.620]  I want a hat.
[11:58.220 --> 11:59.460]  Eric, wear Nick's goggles.
[12:00.180 --> 12:00.920]  I can't!
[12:01.160 --> 12:03.480]  I bet volcano is good, too.
[12:04.240 --> 12:06.600]  If I could lend them to you, I would, but I can't, so...
[12:06.800 --> 12:07.520]  Fuck you guys.
[12:07.580 --> 12:08.200]  We're on a windmill.
[12:09.340 --> 12:10.400]  We probably will.
[12:11.260 --> 12:15.000]  So, this one has a permanent built-in coin.
[12:15.820 --> 12:16.320]  Oh, wow.
[12:16.740 --> 12:17.100]  Okay.
[12:18.580 --> 12:19.620]  Always available.
[12:22.480 --> 12:22.800]  Oh.
[12:30.150 --> 12:31.470]  We're building for the future.
[12:33.650 --> 12:34.870]  No, that's not gonna work.
[12:41.340 --> 12:42.660]  Andrew's going for the coin.
[12:44.720 --> 12:45.580]  How do I punch him?
[12:46.020 --> 12:47.160]  What is this?
[12:47.480 --> 12:48.860]  Andrew, learn what the coin does.
[12:54.040 --> 12:54.840]  Jesus Christ.
[12:55.000 --> 12:55.400]  Oh, wow.
[12:57.240 --> 12:58.980]  I almost fucked that up.
[13:00.140 --> 13:00.680]  Give him Gavin.
[13:02.320 --> 13:03.860]  Andrew dancing in the spikes.
[13:03.880 --> 13:05.500]  That was so Indiana Jones of you.
[13:05.560 --> 13:06.340]  That was very cool.
[13:06.620 --> 13:07.260]  Yeah, that was really cool.
[13:07.420 --> 13:07.500]  Wow.
[13:10.000 --> 13:12.400]  Did you guys see they announced an Indiana Jones video game?
[13:12.880 --> 13:13.320]  Yeah.
[13:14.060 --> 13:15.260]  I played it when I was a kid.
[13:15.460 --> 13:16.860]  I played the Infernal Machine.
[13:18.200 --> 13:19.080]  Oh, yeah.
[13:21.420 --> 13:22.600]  Have spiders in it.
[13:22.660 --> 13:23.680]  Let's get the shit out of it.
[13:26.080 --> 13:27.240]  Nick, you're crazy.
[13:28.040 --> 13:29.200]  No, we got it.
[13:30.160 --> 13:30.920]  Got him.
[13:32.040 --> 13:32.760]  Got him.
[13:33.000 --> 13:33.440]  No!
[13:33.720 --> 13:35.040]  Fucking got him all the way.
[13:35.360 --> 13:36.300]  Got him all the way.
[13:36.400 --> 13:37.040]  Just immediate.
[13:37.380 --> 13:38.540]  Just immediate.
[13:39.400 --> 13:40.980]  Just like, what's the plan, bud?
[13:40.980 --> 13:43.980]  I hate that it's zoomed in because I'm not going to be able to see it.
[13:44.920 --> 13:46.300]  It keeps zooming in, too.
[13:49.380 --> 13:51.780]  I guess you don't have to worry about the boulder, huh?
[13:52.060 --> 13:52.440]  Yeah, you're good.
[13:54.700 --> 13:55.920]  No winners, no points.
[13:57.840 --> 13:58.800]  Oh, it sucked.
[14:01.880 --> 14:03.200]  Oh, it didn't. Let me grab it.
[14:07.210 --> 14:07.590]  Oh.
[14:08.310 --> 14:09.730]  Yeah, I'm thinking. I'm thinking.
[14:11.310 --> 14:12.610]  Oh, you're going insane.
[14:17.390 --> 14:18.030]  Hmm.
[14:18.390 --> 14:18.890]  Hmm.
[14:18.930 --> 14:20.490]  Oh, now we're talking.
[14:20.490 --> 14:21.670]  We'll get back.
[14:21.870 --> 14:22.490]  That's awesome.
[14:23.730 --> 14:24.550]  No, let me free!
[14:25.290 --> 14:25.930]  No!
[14:26.790 --> 14:27.430]  Eric!
[14:27.730 --> 14:28.990]  You murderer!
[14:29.590 --> 14:30.930]  I tried to get over it.
[14:31.370 --> 14:32.590]  Guys, what happened?
[14:33.910 --> 14:35.710]  I tried to get over it.
[14:36.170 --> 14:37.150]  You're a monster.
[14:37.890 --> 14:39.490]  You're a monster.
[14:40.930 --> 14:41.570]  Okay.
[14:41.570 --> 14:42.190]  Oh, man.
[14:42.230 --> 14:43.550]  This is going to be impossible.
[14:43.950 --> 14:45.450]  No, no, you got this. You got this.
[14:46.230 --> 14:46.890]  Oh, it's going to be great.
[14:47.070 --> 14:47.670]  You just have to be quick.
[14:47.750 --> 14:49.350]  Yeah, just drop it in, grab it, and go.
[14:50.130 --> 14:50.730]  Smash and grab.
[14:51.110 --> 14:51.690]  Okay, well.
[14:51.810 --> 14:52.130]  I can't get in.
[14:52.490 --> 14:53.150]  Well, smash and grab.
[14:53.550 --> 14:54.030]  Smash and grab.
[14:55.050 --> 14:55.830]  There you go.
[14:56.030 --> 14:56.490]  Smash and grab.
[15:01.570 --> 15:02.390]  Smash and grab.
[15:02.670 --> 15:06.310]  Oh, dear.
[15:07.010 --> 15:07.670]  Jesus Christ.
[15:08.030 --> 15:10.730]  I think we got three fans coming right up.
[15:11.230 --> 15:11.670]  No.
[15:17.460 --> 15:18.360]  Oh, no.
[15:19.420 --> 15:20.460]  No, I don't want it.
[15:21.140 --> 15:22.400]  None of us wanted it.
[15:23.080 --> 15:23.520]  No!
[15:25.420 --> 15:26.300]  Way to go, Gavin.
[15:28.660 --> 15:29.100]  Bullshit.
[15:29.780 --> 15:30.960]  I took that right in the chops.
[15:34.140 --> 15:34.980]  I think, no!
[15:35.180 --> 15:35.360]  Yes!
[15:36.400 --> 15:37.580]  Good recovery, Eric.
[15:40.100 --> 15:40.980]  I panicked!
[15:41.260 --> 15:41.880]  I panicked!
[15:42.120 --> 15:42.540]  I panicked.
[15:44.080 --> 15:45.960]  Andrew's body was in the way.
[15:47.420 --> 15:50.620]  Because of the collision, I couldn't get footing and jump.
[15:52.220 --> 15:57.720]  You can push the bodies, but because we're in line, there's a bit of lag to it.
[15:59.340 --> 16:00.460]  Fuck this.
[16:02.990 --> 16:04.310]  Oh, my punch club.
[16:04.350 --> 16:05.570]  Yes, your punching bag.
[16:06.030 --> 16:07.090]  Thank God we're free.
[16:08.570 --> 16:10.790]  I got to be able to get to the beginning.
[16:17.060 --> 16:17.980]  Where are you going to put it?
[16:18.780 --> 16:20.280]  What is the plan here, bud?
[16:20.900 --> 16:21.840]  Oh, my God.
[16:22.740 --> 16:24.620]  You're a fucking nutcase.
[16:25.520 --> 16:26.660]  It's fine, just go around.
[16:27.180 --> 16:31.120]  Oh, my God, Gavin.
[16:31.320 --> 16:32.040]  That was terrifying.
[16:33.960 --> 16:34.980]  We're really doing this?
[16:36.400 --> 16:37.100]  I'm going for it.
[16:37.120 --> 16:38.560]  Oh, I can't believe that happened.
[16:39.720 --> 16:40.340]  I need a win.
[16:40.560 --> 16:42.280]  Yeah, I was going to say, I just needed the points.
[16:44.540 --> 16:45.640]  Now Gavin has to die.
[16:45.640 --> 16:46.640]  Gavin, you have to get the little coin.
[16:47.580 --> 16:48.500]  How do I get that coin?
[16:50.140 --> 16:50.920]  How do I get off this?
[16:50.920 --> 16:52.120]  How do I move from here?
[16:52.200 --> 16:53.000]  Come on, Andrew, you got it.
[16:53.080 --> 16:53.940]  I don't think I can do this.
[16:53.940 --> 16:54.740]  Andrew, okay, here you go.
[16:54.780 --> 16:55.480]  Here you go, Andrew, ready?
[16:55.720 --> 16:56.500]  Here you go, ready?
[16:57.040 --> 16:57.640]  Here you go.
[16:58.500 --> 16:59.160]  And here you go.
[16:59.160 --> 16:59.340]  Fuck.
[17:01.380 --> 17:02.180]  Andrew, there you go.
[17:02.180 --> 17:02.640]  Oh, he's got it.
[17:02.940 --> 17:03.400]  He's got it.
[17:03.460 --> 17:04.440]  No, no, no.
[17:05.600 --> 17:07.580]  Oh, no, now Gavin's going to wait it out.
[17:09.320 --> 17:11.140]  All right, let's see about that coin.
[17:12.280 --> 17:13.920]  All right, Gavin, now you can go get it.
[17:13.980 --> 17:14.600]  Now here you go.
[17:14.920 --> 17:15.420]  There you go.
[17:15.700 --> 17:16.220]  There you go.
[17:16.660 --> 17:17.560]  Ah, damn it.
[17:18.180 --> 17:19.300]  I didn't respawn.
[17:19.680 --> 17:21.160]  Zoom in even closer.
[17:21.520 --> 17:22.040]  Get the other one.
[17:22.300 --> 17:22.980]  Get both, get both.
[17:24.700 --> 17:25.380]  I don't think I can.
[17:25.400 --> 17:26.740]  I'm holding B, why won't you give up?
[17:29.260 --> 17:32.460]  Okay, just got to get off this fricking fan.
[17:32.560 --> 17:33.740]  Just got to get off the fan there.
[17:34.040 --> 17:34.900]  Just get off the fan.
[17:36.160 --> 17:36.520]  Wow.
[17:37.440 --> 17:41.740]  Die, die, die, die, die, die, die, die, die, die, die, die, die, die, die.
[17:42.280 --> 17:42.940]  Nice and easy.
[17:43.460 --> 17:43.860]  Bullshit.
[17:44.140 --> 17:44.700]  Easy does it.
[17:45.020 --> 17:45.200]  Wow.
[17:47.540 --> 17:48.560]  You son of a bitch.
[17:49.080 --> 17:49.160]  Congratulations, Gavin.
[17:49.160 --> 17:49.300]  Underdog.
[17:50.140 --> 17:50.940]  Here we go.
[17:52.460 --> 17:54.240]  All right, got to stop that shit from happening again.
[17:54.520 --> 17:54.760]  No!
[17:54.960 --> 17:55.140]  Fuck!
[18:06.260 --> 18:08.420]  Trying to think of all the places I've seen Gavin hang out.
[18:12.320 --> 18:13.120]  The library.
[18:16.200 --> 18:17.160]  Oh, that's good.
[18:17.360 --> 18:19.240]  Oh, wow, that's doable-gettable.
[18:20.100 --> 18:20.720]  Let's go, Andrew.
[18:21.220 --> 18:22.220]  Gavin, come on, let's go.
[18:22.220 --> 18:22.600]  Get off my ass.
[18:22.740 --> 18:23.560]  I don't trust any of y'all.
[18:27.180 --> 18:28.300]  Oh, Eric with the coin.
[18:29.600 --> 18:30.220]  I've got you.
[18:30.500 --> 18:31.480]  Holy lived.
[18:31.520 --> 18:32.600]  I'm not going to be able to make it back up.
