[00:01.400 --> 00:02.300]  We're rolling!
[03:42.000 --> 03:42.540]  I'm coming.
[03:42.740 --> 03:43.960]  I just gotta get off this fucking thing.
[03:44.180 --> 03:44.480]  Ready?
[03:47.120 --> 03:47.720]  Got it.
[03:49.080 --> 03:50.260]  They're gonna get it. Let's go up.
[03:53.900 --> 03:55.940]  You guys have to get out of there.
[03:56.180 --> 03:57.880]  You guys have to get out of there.
[03:58.360 --> 03:59.000]  You get out of there.
[03:59.180 --> 04:00.160]  Oh, there we go. Nice.
[04:00.500 --> 04:02.280]  We didn't have to get out of there at all.
[04:04.020 --> 04:04.500]  Still met.
[04:05.380 --> 04:06.960]  Guys, thanks for watching Pico Part 2.
[04:07.060 --> 04:08.940]  We're really excited to be playing this with you today.
[04:08.940 --> 04:10.260]  Are you excited to see it?
[04:10.360 --> 04:12.220]  We'll see you in just a second. Let's go to the next level.
[04:12.640 --> 04:14.660]  That would have pissed me off so bad.
[04:15.960 --> 04:17.460]  Nick, I had plenty of time.
[04:18.060 --> 04:18.620]  Oh, God.
[04:19.980 --> 04:21.040]  Are you my son?
[04:25.580 --> 04:28.040]  What's this challenge going to be?
[04:29.540 --> 04:30.240]  Oh, my God.
[04:30.440 --> 04:32.640]  Five. That's us.
[04:33.140 --> 04:33.800]  We're five.
[04:34.500 --> 04:35.020]  Where are we going?
[04:35.020 --> 04:35.760]  I don't know.
[04:36.820 --> 04:37.900]  Keep going.
[04:38.080 --> 04:38.840]  Nobody jump.
[04:40.460 --> 04:41.540]  Hang on.
[04:42.800 --> 04:43.720]  Okay, let's go.
[04:44.240 --> 04:44.480]  No!
[04:45.920 --> 04:47.620]  Wow, that's not a lot of time.
[04:49.480 --> 04:50.560]  Start working.
[04:52.420 --> 04:54.620]  I'm gonna jump and make my way over
[04:54.620 --> 04:56.000]  and move the thing.
[04:56.160 --> 04:57.440]  Everyone can just come in behind me.
[04:58.000 --> 04:59.040]  Go now.
[04:59.040 --> 05:00.100]  Okay.
[05:02.560 --> 05:04.600]  Oh, there's no key.
[05:05.000 --> 05:06.060]  What about the key?
[05:06.600 --> 05:09.500]  We gotta go left?
[05:10.180 --> 05:10.800]  I guess so.
[05:11.000 --> 05:11.420]  Do we?
[05:12.200 --> 05:13.600]  Is there enough time?
[05:15.020 --> 05:16.680]  Oh, my God.
[05:17.200 --> 05:18.580]  It's a time button.
[05:19.160 --> 05:20.220]  Oh, no.
[05:22.620 --> 05:23.640]  Jump up.
[05:24.140 --> 05:28.600]  Orange, orange, orange.
[05:28.600 --> 05:30.000]  Orange, orange.
[05:30.400 --> 05:32.200]  Orange, orange.
[05:33.080 --> 05:33.540]  Orange.
[05:34.840 --> 05:36.720]  I'm trying to help everybody get up.
[05:36.740 --> 05:37.160]  You did.
[05:39.380 --> 05:39.560]  What?
[05:39.980 --> 05:42.340]  What am I supposed to do with this?
[05:43.160 --> 05:44.120]  Use it to climb up.
[05:45.060 --> 05:46.580]  Use it to climb up.
[05:46.580 --> 05:47.760]  But we need two people.
[05:49.380 --> 05:50.000]  No, you don't.
[05:50.280 --> 05:51.740]  Yes, we use it.
[05:51.840 --> 05:52.260]  No, stop.
[05:52.600 --> 05:53.160]  Get up there.
[05:53.160 --> 05:54.480]  Get up there.
[05:54.800 --> 05:55.140]  Push me.
[05:56.420 --> 05:57.840]  Get the key.
[05:58.060 --> 05:58.760]  Get on me.
[06:01.740 --> 06:03.160]  This went badly.
[06:04.120 --> 06:04.720]  We're alright.
[06:06.700 --> 06:07.580]  Jump up and go.
[06:08.480 --> 06:11.220]  Well, you pushed me.
[06:11.420 --> 06:11.940]  Are you?
[06:13.840 --> 06:15.720]  Push with your legs.
[06:15.940 --> 06:17.500]  Are you the dumbest man alive?
[06:17.600 --> 06:19.240]  Push with them legs.
[06:20.000 --> 06:20.660]  Is this a bit?
[06:20.660 --> 06:23.180]  Are you the dumbest man alive?
[06:23.380 --> 06:24.020]  We didn't have time.
[06:25.480 --> 06:26.620]  Orange, red, go up.
[06:27.240 --> 06:28.300]  Alright, we'll do two.
[06:28.380 --> 06:29.260]  Blue with me.
[06:31.000 --> 06:31.360]  Coming.
[06:33.160 --> 06:33.500]  Hey, orange.
[06:34.160 --> 06:34.960]  Orange, please.
[06:42.540 --> 06:43.480]  Jump on me.
[06:44.240 --> 06:44.600]  There you go.
[06:45.380 --> 06:48.360]  Oh, I see. I hadn't done that yet.
[06:48.920 --> 06:49.820]  We'll have to go again.
[06:52.220 --> 06:53.420]  It was on the lower levels.
[06:54.100 --> 06:57.840]  We can get a fourth person up there.
[06:59.640 --> 07:00.760]  No, I don't think so.
[07:00.820 --> 07:01.580]  No, I don't think so.
[07:01.740 --> 07:03.400]  I don't think we can do it. Maybe we restart.
[07:04.200 --> 07:05.180]  No, we can't on this one.
[07:05.280 --> 07:08.280]  We don't necessarily have to use that block.
[07:10.040 --> 07:11.600]  You don't have to do anything with that block.
[07:11.760 --> 07:12.340]  You just jump it.
[07:12.420 --> 07:14.120]  You don't have to move it.
[07:14.780 --> 07:17.800]  I think you need to drop it so the second person can jump up there.
[07:18.040 --> 07:19.640]  We can just get more people up there.
[07:19.640 --> 07:20.580]  We don't need it.
[07:21.860 --> 07:22.560]  There we go.
[07:23.180 --> 07:24.160]  Purple, get out of the way.
[07:26.100 --> 07:27.320]  Both jump on my head.
[07:27.800 --> 07:29.160]  There you go.
[07:29.620 --> 07:30.820]  Purple on top.
[07:32.280 --> 07:32.900]  There you go.
[07:33.540 --> 07:34.480]  I got you. Me and you.
[07:36.200 --> 07:37.680]  I got it. I'm coming up.
[07:40.260 --> 07:41.140]  Okay, everyone...
[07:41.140 --> 07:42.360]  Let me get up here.
[07:43.320 --> 07:45.100]  We have so much time.
[07:45.440 --> 07:46.900]  Okay, so you guys line up.
[07:46.900 --> 07:49.480]  I'm gonna jump on top and push.
[07:50.080 --> 07:50.740]  Here I come.
[07:51.520 --> 07:52.420]  Okay, let's go.
[07:53.420 --> 07:55.020]  We have so much time for this baby level.
[07:55.320 --> 07:56.680]  Yeah, we're pushing it all the way to the wall.
[07:56.820 --> 07:57.860]  Don't stop until we hit the wall.
[07:57.960 --> 07:59.340]  We're just gonna go straight to the wall.
[08:00.580 --> 08:01.460]  Who stopped?
[08:01.940 --> 08:02.860]  Somebody did stop.
[08:04.100 --> 08:05.220]  Andrew needs to get up.
[08:06.260 --> 08:08.740]  That's what the one block is for.
[08:09.180 --> 08:11.220]  Yeah, we're gonna need that one block.
[08:11.800 --> 08:14.100]  I'm still leaving, so it just looks like Andrew's the runner.
[08:14.100 --> 08:16.200]  Andrew fucking blew it.
[08:18.880 --> 08:20.100]  Are you okay, Andrew?
[08:22.940 --> 08:23.820]  Andrew's muted.
[08:24.900 --> 08:25.160]  Oh.
[08:26.200 --> 08:26.580]  I was dead.
[08:32.220 --> 08:34.800]  Okay, we're gonna jump on purple.
[08:34.800 --> 08:35.240]  Jump on me.
[08:35.580 --> 08:36.020]  There you go.
[08:38.500 --> 08:39.820]  Come push me.
[08:40.160 --> 08:41.900]  Come blue. Anybody. Come on, Christ.
[08:42.360 --> 08:43.460]  We got time.
[08:43.460 --> 08:45.200]  I'm just waiting to get Erica.
[08:45.560 --> 08:47.020]  I need one person up here.
[08:47.100 --> 08:48.540]  Somebody else push the block out.
[08:49.240 --> 08:50.880]  Oh, you morons.
[08:51.560 --> 08:53.060]  Why did you leave?
[08:53.940 --> 08:55.040]  Alright, chill out.
[08:55.600 --> 08:56.480]  Get out from that.
[08:57.660 --> 08:57.840]  Okay.
[08:58.680 --> 08:59.820]  And then how do we get it?
[09:00.240 --> 09:01.040]  All the time in the world.
[09:01.380 --> 09:04.800]  Okay, so the key's up here.
[09:05.300 --> 09:06.660]  Alright, all the time in the world, guys.
[09:07.080 --> 09:08.240]  Hey, guys.
[09:08.620 --> 09:09.600]  All the time in the world.
[09:09.600 --> 09:10.540]  God.
[09:11.040 --> 09:12.680]  If I put the O by the 2,
[09:12.800 --> 09:14.120]  maybe we'll get 20 new seconds.
[09:14.960 --> 09:17.760]  Gav, I'm adding that to our gear's deaths.
[09:17.920 --> 09:18.360]  That's you.
[09:21.500 --> 09:24.040]  That was a real fucking rabbit move
[09:24.040 --> 09:24.740]  right there, buddy.
[09:25.540 --> 09:27.100]  Not an intentional rabbit move.
[09:28.480 --> 09:28.960]  No?
[09:29.460 --> 09:31.060]  I didn't call it a weasel move.
[09:31.120 --> 09:32.040]  I called it a rabbit move.
[09:34.600 --> 09:35.360]  Go for it.
[09:36.080 --> 09:36.720]  I'm stuck.
[09:36.720 --> 09:38.040]  Go up above me if you can, Geoff.
[09:38.220 --> 09:38.600]  Oh, sorry.
[09:39.500 --> 09:39.860]  Gavin!
[09:42.820 --> 09:43.880]  Does anybody want to come over?
[09:44.300 --> 09:45.200]  Gavin, are you okay?
[09:45.600 --> 09:47.320]  He's gotta get up there, hasn't he? What do you mean?
[09:47.420 --> 09:48.740]  Why does everyone keep saying that?
[09:50.740 --> 09:51.440]  There you go.
[09:52.440 --> 09:54.400]  Get the key. Okay, now push the block
[09:54.400 --> 09:55.020]  all the way up.
[09:55.860 --> 09:58.160]  I think he needs to drop onto his head.
[09:58.740 --> 10:00.240]  There you go.
[10:01.260 --> 10:01.800]  There you go.
[10:02.820 --> 10:03.720]  Alright, we're all pushing.
[10:06.000 --> 10:07.300]  Gavin, you need to be on top
[10:07.300 --> 10:08.980]  and... well, you're fine.
[10:09.040 --> 10:09.880]  I've got a block on my head.
[10:10.300 --> 10:10.880]  It's okay.
[10:11.360 --> 10:12.480]  Go until it hits the wall.
[10:14.100 --> 10:14.940]  Now go, Gavin.
[10:16.820 --> 10:17.560]  There we go.
[10:19.160 --> 10:19.480]  Go!
[10:20.320 --> 10:21.500]  Key man, please!
[10:21.580 --> 10:22.360]  Get out of the way, Gavin.
[10:23.420 --> 10:24.400]  What do you mean, get out of the way?
[10:24.660 --> 10:26.620]  You were standing in the way of the block!
[10:27.560 --> 10:29.740]  What do you mean,
[10:29.880 --> 10:30.540]  what do you mean?
[10:30.540 --> 10:32.840]  I can't get over there, what are you talking about?
[10:33.120 --> 10:34.700]  Just, fuck it, everyone's
[10:34.700 --> 10:36.460]  going, you're just standing there.
[10:37.180 --> 10:38.060]  Motoking97 says,
[10:38.240 --> 10:40.080]  Gavin's gonna give me a stroke.
[10:40.280 --> 10:42.380]  Oh, how do we suck each other up?
[10:42.960 --> 10:44.260]  What? Oh, shit.
[10:44.520 --> 10:45.920]  Sorry. You got suckers, dawg.
[10:46.020 --> 10:48.000]  Andrew wasn't playing. I just fell.
[10:48.120 --> 10:49.080]  I just fell to the side.
[10:51.980 --> 10:52.420]  I'm...
[10:52.420 --> 10:53.460]  Go up, go up!
[10:54.680 --> 10:56.540]  I'm not quite sure...
[10:58.160 --> 10:59.540]  No, you gotta...
[11:00.280 --> 11:01.640]  We should probably start up and come down.
[11:01.640 --> 11:02.980]  Jump up in the air, Purple, and I'll pull you.
[11:03.260 --> 11:05.560]  Oh, thank you. Someone needs to come up the top with me.
[11:06.340 --> 11:06.700]  Cool.
[11:06.920 --> 11:09.020]  Well, hang on, hang on. Andrew.
[11:09.900 --> 11:10.800]  Suck him up, Gavin.
[11:11.640 --> 11:13.040]  Jump on me and then get those.
[11:13.360 --> 11:15.220]  I think that's the way to do this.
[11:15.700 --> 11:17.220]  Keep going, keep going.
[11:19.940 --> 11:21.460]  Okay, Orange, can you get us up?
[11:21.480 --> 11:23.340]  I can't, I can't. I'm stuck.
[11:23.980 --> 11:25.240]  There we go, there we go.
[11:25.240 --> 11:26.640]  Thank you. Can you get Orange?
[11:27.260 --> 11:29.540]  We're like a freaking oil machine.
[11:29.720 --> 11:30.300]  There you go.
[11:30.340 --> 11:33.180]  There you go, on top.
[11:33.660 --> 11:34.340]  Get on me.
[11:34.460 --> 11:36.220]  I don't know if we can make it that far.
[11:37.220 --> 11:39.140]  Orange, jump. Oh, boy.
[11:40.360 --> 11:41.320]  Eric, stop.
[11:42.040 --> 11:43.280]  We gotta go right.
[11:43.300 --> 11:44.220]  Somebody's gotta pull me.
[11:44.680 --> 11:46.620]  We're gonna have to start over.
[11:46.880 --> 11:49.580]  I think we're gonna have to stick together
[11:50.160 --> 11:54.400]  because we can't go all the way left and all the way right.
[11:55.220 --> 11:56.800]  Okay, Gavin and I will stick to the top.
[11:57.140 --> 11:58.040]  Yeah, we have the top.
[11:58.840 --> 12:00.060]  Stop sucking my ass.
[12:00.320 --> 12:00.880]  There you go.
[12:01.420 --> 12:03.660]  You want to use me to jump? Okay.
[12:04.160 --> 12:05.280]  There we go.
[12:06.200 --> 12:07.120]  Jump on each other.
[12:09.040 --> 12:10.640]  Andrew, I'm gonna drop you down there.
[12:10.960 --> 12:12.480]  If he wants to get on me.
[12:13.400 --> 12:13.480]  Alright.
[12:14.160 --> 12:16.660]  Then are we gonna have to mail each other through the slots?
[12:17.320 --> 12:18.220]  Yeah, I think so.
[12:20.420 --> 12:21.460]  And then get red.
[12:22.160 --> 12:23.180]  I'm gonna go down here.
[12:23.620 --> 12:23.980]  Oops.
[12:29.460 --> 12:30.560]  And then get me.
[12:30.840 --> 12:31.600]  Thank you.
[12:32.200 --> 12:33.360]  Okay, let's do the same thing.
[12:33.640 --> 12:34.880]  Geoff, me and you down here.
[12:36.660 --> 12:37.020]  Good.
[12:39.800 --> 12:41.200]  And then we have to get in a suck stack.
[12:41.640 --> 12:43.600]  Yeah, where's the key?
[12:43.700 --> 12:44.100]  There it is.
[12:45.900 --> 12:46.780]  There we go.
[12:47.120 --> 12:48.660]  Somebody come up here and get me.
[12:48.660 --> 12:49.540]  Suck me up, please.
[12:49.780 --> 12:51.140]  I got you, Nick.
[12:52.420 --> 12:53.580]  Jump up there.
[12:55.140 --> 12:56.100]  Geoff, turn around.
[12:57.060 --> 12:57.460]  I'm sucking.
[12:58.440 --> 13:00.740]  Hang on, hang on.
[13:00.740 --> 13:01.280]  Uh-oh.
[13:01.660 --> 13:03.440]  Go, go, go, go!
[13:04.960 --> 13:05.520]  Yeah!
[13:06.420 --> 13:07.540]  Baby star!
[13:08.760 --> 13:09.800]  Andrew, are you okay?
[13:10.280 --> 13:10.760]  I'm great.
[13:12.000 --> 13:13.980]  People are saying, can we hear Andrew?
[13:14.120 --> 13:15.160]  He's not talking.
[13:15.160 --> 13:16.440]  I'm doing great.
[13:16.620 --> 13:17.660]  He's locked in.
[13:17.920 --> 13:19.700]  I was focused in, I had nothing to do.
[13:20.320 --> 13:21.220]  Oh, no!
[13:21.560 --> 13:22.460]  It's this one.
[13:24.880 --> 13:27.140]  I've got everyone, let's go!
[13:28.100 --> 13:29.000]  Way to go, next shot.
[13:29.240 --> 13:29.960]  You got it?
[13:30.360 --> 13:30.760]  Yeah!
[13:33.840 --> 13:34.920]  Somebody shoot blue.
[13:35.100 --> 13:35.260]  Oh, right.
[13:36.140 --> 13:37.860]  Well, we have to get everybody else out of the holes.
[13:38.660 --> 13:38.880]  Stop.
[13:39.960 --> 13:40.700]  I'll shoot him.
[13:40.700 --> 13:41.180]  There you go.
[13:42.940 --> 13:43.360]  Alright.
[13:44.440 --> 13:45.700]  I'm going to send you through, Gavin.
[13:47.100 --> 13:47.900]  There I am!
[13:48.480 --> 13:49.020]  Oh, no!
[13:50.460 --> 13:51.540]  You're going to have to shoot him through.
[13:51.900 --> 13:54.320]  Alright, here we go.
[13:55.460 --> 13:55.880]  Watch out.
[13:56.020 --> 13:57.280]  There you go.
[13:58.300 --> 13:58.720]  Nope.
[14:01.320 --> 14:01.740]  Nope.
[14:02.240 --> 14:02.500]  Almost.
[14:05.300 --> 14:07.200]  If red can shoot someone through,
[14:08.020 --> 14:08.920]  it's going to make it a lot...
[14:08.920 --> 14:09.380]  Almost.
[14:11.120 --> 14:12.400]  There you go.
[14:12.520 --> 14:13.700]  And now it's easier to shoot red.
[14:16.120 --> 14:16.680]  Okay.
[14:16.920 --> 14:17.700]  So, stop jumping.
[14:18.140 --> 14:18.580]  Thank you.
[14:21.260 --> 14:22.440]  Oh, my God!
[14:22.980 --> 14:23.260]  What?
[14:24.160 --> 14:25.160]  I got this.
[14:26.260 --> 14:26.700]  Okay.
[14:28.800 --> 14:29.260]  Shit!
[14:41.400 --> 14:42.520]  Who's got me?
[14:43.340 --> 14:43.640]  Oh!
[14:44.020 --> 14:44.660]  Oh!
[14:45.040 --> 14:47.280]  Oh, I'm in green.
[14:47.800 --> 14:48.640]  I'm out.
[14:50.560 --> 14:52.740]  We should all get sucked up there.
[14:53.380 --> 14:54.020]  Whatever.
[14:54.380 --> 14:55.820]  Everyone needs to get sucked up.
[14:56.400 --> 14:56.740]  Hey!
[14:56.740 --> 14:57.620]  There we go.
[14:57.640 --> 15:00.100]  Hey, what's up, audience? Good to see everybody.
[15:00.200 --> 15:02.360]  Thanks for tuning in on Friday.
[15:02.660 --> 15:03.320]  The best time...
[15:03.320 --> 15:07.080]  The best time of the week.
[15:07.080 --> 15:08.300]  Get off him, Gavin!
[15:08.600 --> 15:09.300]  Get off me!
[15:10.220 --> 15:10.880]  There you go.
[15:11.440 --> 15:15.240]  Do you want to stand on me to pull the...
[15:15.240 --> 15:15.620]  There you go.
[15:16.540 --> 15:17.800]  It's just morons.
[15:18.120 --> 15:18.620]  There we go.
[15:22.640 --> 15:23.380]  There you go.
[15:23.380 --> 15:25.360]  Nice. Thank you so much.
[15:25.620 --> 15:26.500]  Yeah, no problem.
[15:27.080 --> 15:27.880]  Being sarcastic.
[15:29.300 --> 15:31.740]  Oh, I made it.
[15:31.760 --> 15:32.680]  Get out of the way.
[15:32.980 --> 15:33.820]  Thank you.
[15:35.820 --> 15:37.100]  Hang on, Gavin. Don't shoot.
[15:38.240 --> 15:39.640]  God damn it!
[15:42.940 --> 15:43.880]  Help me, thank you.
[15:44.920 --> 15:47.420]  Blue, get me. Orange, get blue.
[15:47.720 --> 15:48.980]  Okay, so that didn't...
[15:48.980 --> 15:50.520]  Immediately, never mind.
[15:56.140 --> 15:56.980]  God damn...
[15:59.940 --> 16:00.800]  Red, get orange.
[16:01.260 --> 16:02.520]  Yeah, now red, get orange.
[16:02.740 --> 16:03.240]  Red, get orange.
[16:04.380 --> 16:05.800]  Now blue, get red.
[16:06.820 --> 16:07.320]  Now, yeah.
[16:09.160 --> 16:10.000]  Time it.
[16:10.560 --> 16:11.840]  No, don't shoot from there.
[16:11.940 --> 16:13.420]  Shoot from so close that we can't come out.
[16:13.720 --> 16:14.800]  That's actually a really good idea.
[16:15.400 --> 16:16.280]  Blue, go left.
[16:16.280 --> 16:17.500]  What are you doing? Holy...
[16:18.120 --> 16:18.980]  Why would you...
[16:18.980 --> 16:21.080]  Why would you shoot that way?
[16:21.540 --> 16:23.360]  I forgot that I had orange.
[16:25.860 --> 16:27.460]  Why did you...
[16:27.460 --> 16:28.420]  We weren't doing anything.
[16:28.900 --> 16:31.900]  We had five seconds, Nick.
[16:32.760 --> 16:34.280]  What are you talking about?
[16:34.660 --> 16:35.480]  Plenty of time.
[16:36.520 --> 16:37.120]  Thank you.
[16:40.000 --> 16:41.220]  Somebody get blue.
[16:42.020 --> 16:42.640]  Somebody hop on.
[16:42.640 --> 16:44.160]  Okay, I got it.
[16:44.160 --> 16:45.420]  Fuck, it's about right.
[16:48.500 --> 16:49.760]  Oh, you gotta be kidding me.
[16:50.040 --> 16:51.700]  Oh, Jesus. Great shot.
[16:52.000 --> 16:53.140]  Here, get on me.
[16:53.420 --> 16:53.780]  Why?
[16:55.700 --> 16:57.160]  Okay, here, shoot me.
[16:58.600 --> 16:59.200]  Thank you.
[17:00.040 --> 17:01.900]  And then purple, get blue.
[17:02.200 --> 17:03.300]  That's it. There you go.
[17:04.600 --> 17:05.160]  Yes!
[17:05.460 --> 17:06.000]  Phenomenal.
[17:06.480 --> 17:10.900]  Okay, so now we need someone to get purple.
[17:10.900 --> 17:11.360]  Yes!
[17:13.000 --> 17:14.140]  Earlier and you got it.
[17:15.200 --> 17:16.300]  Go, go, go.
[17:16.760 --> 17:17.740]  Holy shit.
[17:18.440 --> 17:21.380]  We had 45 seconds left.
[17:21.480 --> 17:22.220]  Are you kidding me?
[17:22.560 --> 17:23.540]  Wow, what teamwork.
[17:24.260 --> 17:25.900]  That might be a world record.
[17:27.080 --> 17:28.620]  Honestly, that was pretty incredible.
[17:28.920 --> 17:30.060]  Pika Park done quickly.
[17:31.000 --> 17:31.560]  What was the achievement?
[17:33.000 --> 17:33.860]  Do level five.
[17:35.040 --> 17:36.400]  Oh, shit, just like that.
[17:36.620 --> 17:37.360]  Let's do it, boys.
[17:39.420 --> 17:40.200]  Oh, God.
[17:41.320 --> 17:43.400]  Thank you to everyone watching
[17:44.580 --> 17:46.400]  and coming through on a Friday.
[17:46.460 --> 17:47.540]  Oh, God, am I dead?
[17:48.260 --> 17:50.040]  No, no, you just...
[17:50.040 --> 17:51.840]  Ah, you shot, it's friendly fire.
[17:52.080 --> 17:52.780]  Yeah, so there is friendly...
[17:52.780 --> 17:54.460]  That's what I was testing to see if there's friendly fire.
[17:54.540 --> 17:55.500]  Hey, thanks for doing that, man.
[17:55.580 --> 17:56.360]  Well, yeah, I was testing.
[17:56.380 --> 17:59.120]  So everyone just kind of like stay in your quadrant, I guess.
[17:59.400 --> 18:00.720]  Gavin, what do you want from me?
[18:00.720 --> 18:01.420]  I'm way up top.
[18:01.480 --> 18:02.620]  I'm all the way at the bottom.
[18:02.620 --> 18:05.000]  Nobody just go all the way down until you can't.
[18:05.120 --> 18:05.800]  Everyone... Oh, God.
[18:06.220 --> 18:06.920]  Orange, orange.
[18:07.020 --> 18:09.020]  Orange is the only one not shooting it.
[18:11.180 --> 18:11.900]  Red, red.
[18:12.660 --> 18:14.420]  Focus on a hole, you don't have to clear the whole thing.
[18:14.500 --> 18:15.940]  Focus on a hole, focus on a hole.
[18:16.100 --> 18:16.860]  Who fucking killed me?
[18:17.240 --> 18:18.520]  Me, because you're right at the front.
[18:19.280 --> 18:21.460]  We don't have to clear every color, just make a path.
[18:21.980 --> 18:23.840]  We don't have to clear every color, just make a path.
[18:23.840 --> 18:25.260]  Make a path, make a path.
[18:25.720 --> 18:29.140]  Oh, Nick's in hell.
