[00:00.000 --> 00:00.780]  It's an Xbox.
[02:49.740 --> 02:53.020]  You cannot buy a new car, consumer car, in manual.
[02:53.580 --> 02:54.160]  That's crazy.
[02:54.520 --> 02:55.220]  At least not in the States.
[02:56.880 --> 02:58.740]  Do people get seasick playing this game?
[02:59.100 --> 02:59.540]  Oh, yeah.
[02:59.940 --> 03:01.940]  I'm just watching it.
[03:02.060 --> 03:04.120]  I started getting a little like, oh, I need to look at something.
[03:05.060 --> 03:06.240]  Oh, why did you say that?
[03:07.780 --> 03:08.600]  Yeah, where is it?
[03:09.020 --> 03:09.500]  It's in my hand.
[03:09.860 --> 03:10.580]  I don't know where you are, though.
[03:10.620 --> 03:11.420]  Oh, I'm above you.
[03:12.260 --> 03:12.900]  Oh, wow.
[03:13.020 --> 03:13.600]  That's neat.
[03:14.520 --> 03:16.920]  Are you just eating a fish?
[03:17.340 --> 03:17.960]  It's gone.
[03:18.440 --> 03:19.340]  Can you see my fish scales?
[03:20.340 --> 03:22.380]  Here, check this out.
[03:23.880 --> 03:25.780]  I can put on a little sailor chest disguise.
[03:26.500 --> 03:28.060]  And then they're like, oh, you're a chest?
[03:28.220 --> 03:29.520]  Oh, shit.
[03:29.600 --> 03:32.160]  Can I pick you up as a chest?
[03:32.180 --> 03:33.000]  No, I don't think so.
[03:33.080 --> 03:34.340]  Watch this.
[03:35.360 --> 03:36.000]  I can go in.
[03:37.520 --> 03:39.620]  Stop bumping me. I'm getting bumped.
[03:39.620 --> 03:40.980]  No one's touching you.
[03:41.340 --> 03:43.020]  When I go to pick him up, it gets him out.
[03:44.320 --> 03:46.100]  When you go to pick him up, it gets him out of it.
[03:46.280 --> 03:46.560]  Okay.
[03:47.220 --> 03:47.580]  Stop!
[03:49.120 --> 03:49.920]  Never mind.
[03:51.180 --> 03:54.180]  We got a bunch of fucking Rodney Mullins on this boat.
[03:54.520 --> 03:55.780]  It's trick city.
[03:58.680 --> 04:01.420]  Andrew doesn't like to share his tricks, so...
[04:01.420 --> 04:02.420]  I was trying!
[04:02.860 --> 04:03.540]  Oh, man.
[04:04.260 --> 04:06.420]  Hey, Microsoft, if you're gonna pay us for this video,
[04:06.540 --> 04:08.180]  can you give me some animals?
[04:08.180 --> 04:09.760]  Can I have pets? Can I have a pig?
[04:10.100 --> 04:11.740]  I want a pig. I want the cinnamon pig.
[04:12.040 --> 04:16.020]  And I want the mocha marmoset.
[04:16.440 --> 04:17.700]  And a million dollars.
[04:17.800 --> 04:19.360]  And a million dollars.
[04:19.480 --> 04:20.760]  Not in-game currency.
[04:20.980 --> 04:21.580]  U.S. currency.
[04:21.840 --> 04:23.960]  And a billion sky miles.
[04:24.600 --> 04:26.020]  Or euros. I'll take it in euro.
[04:27.280 --> 04:28.380]  Is that the dinner bell?
[04:30.980 --> 04:31.860]  Soup's on!
[04:35.140 --> 04:37.080]  Alright, so what are we doing in this...
[04:37.080 --> 04:39.620]  We're headed to the skull of the sky!
[04:39.940 --> 04:40.680]  The what?
[04:41.280 --> 04:42.580]  Oh, it's over there!
[04:43.280 --> 04:43.740]  In the sky?
[04:43.920 --> 04:45.520]  In the sky. Okay.
[04:46.320 --> 04:49.440]  We're heading there, and then we're gonna have to fight a bunch of guys.
[04:49.640 --> 04:51.020]  Are you playing Happy Birthday?
[04:52.000 --> 04:52.640]  I believe so.
[04:53.040 --> 04:54.720]  Probably. Let me see.
[04:54.840 --> 04:57.300]  What if I do...
[04:57.300 --> 04:57.540]  This one.
[04:57.600 --> 04:57.860]  Ow!
[04:58.220 --> 05:02.400]  Are we playing the same song?
[05:03.480 --> 05:05.740]  Yeah, it automatically syncs.
[05:05.740 --> 05:06.280]  Cool.
[05:07.520 --> 05:08.960]  Get a banjo in here.
[05:09.100 --> 05:10.500]  Nothing better than when you get everybody going.
[05:11.560 --> 05:13.600]  Oh, Andrew has like a ghost instrument.
[05:14.600 --> 05:16.060]  It's making me dizzy.
[05:16.320 --> 05:16.720]  Like the sea.
[05:17.600 --> 05:21.200]  Okay. Nick decided to...
[05:21.200 --> 05:23.160]  Nick decided to copy Geoff.
[05:23.740 --> 05:24.160]  Oh, that's okay.
[05:24.220 --> 05:25.040]  God dang it!
[05:25.520 --> 05:26.420]  This isn't a draft.
[05:27.260 --> 05:29.300]  I'm playing that. You're copying me.
[05:30.980 --> 05:32.780]  There are so many instruments, aren't there?
[05:33.280 --> 05:34.180]  I'll be on vocals.
[05:35.920 --> 05:36.440]  Okay.
[05:36.680 --> 05:38.460]  Going to the barnacle store!
[05:39.320 --> 05:41.700]  Got a bunch of barnacles at the barnacle store!
[05:42.800 --> 05:44.240]  Now you're both on...
[05:45.360 --> 05:47.040]  Living a sea wave dream!
[05:47.780 --> 05:48.940]  Got the feel of the fish!
[05:49.200 --> 05:50.260]  Through the veins!
[06:00.500 --> 06:02.040]  That was pretty cool.
[06:03.100 --> 06:04.620]  See, I got mine. It looks like a parrot.
[06:04.620 --> 06:05.500]  See that, Nick?
[06:06.220 --> 06:07.260]  Oh, wow! I love it!
[06:08.320 --> 06:10.260]  Say something to me in parrot.
[06:10.320 --> 06:10.720]  Okay, ready?
[06:14.540 --> 06:16.140]  Is that good? Did it come through loud and clear?
[06:16.860 --> 06:18.220]  No, it cut out, but that's fine.
[06:19.600 --> 06:20.200]  Ooh, drink!
[06:20.400 --> 06:22.380]  I'm drinking ale? Or what's happening?
[06:23.120 --> 06:24.520]  Hey, have you seen mine? Take a look at this.
[06:24.580 --> 06:25.620]  Oh, that's pretty cool.
[06:27.520 --> 06:28.540]  It already makes the noise.
[06:30.100 --> 06:30.940]  I'm going to make my own.
[06:31.460 --> 06:32.380]  Okay, so what happens...
[06:32.380 --> 06:34.080]  Hey, can I ask you guys a question?
[06:34.380 --> 06:34.960]  Yeah, sure.
[06:35.180 --> 06:37.220]  Have you guys ever considered not drinking?
[06:39.120 --> 06:40.420]  Just a thought.
[06:42.360 --> 06:44.480]  Geoff watching us do it while holding a parrot.
[06:44.620 --> 06:44.880]  Get him!
[06:45.180 --> 06:45.460]  Get him!
[06:49.260 --> 06:50.140]  Stop it!
[06:51.460 --> 06:52.660]  You've got a problem!
[06:52.960 --> 06:53.980]  You guys ever consider not drinking?
[06:53.980 --> 06:55.040]  Am I drunk?
[06:55.800 --> 06:56.660]  Yeah, you're drunk.
[06:57.720 --> 07:00.480]  I'm like trying to walk around and I'm like, dude, what the fuck?
[07:01.220 --> 07:02.560]  How's it helping your seasickness?
[07:02.700 --> 07:04.860]  No, it's not good. I'm like 2015 Geoff. This is bad.
[07:05.560 --> 07:06.700]  I was always seasick.
[07:08.180 --> 07:09.460]  Guys, I'm seasick today.
[07:10.300 --> 07:11.540]  I don't know if I can play GTA.
[07:11.720 --> 07:12.520]  I'm really seasick.
[07:14.340 --> 07:16.140]  Got caught some seasick at lunch.
[07:21.320 --> 07:27.060]  I'm going to have to go lay down in the conference room.
[07:28.540 --> 07:29.180]  Oh, shit!
[07:29.940 --> 07:30.760]  Oh, fuck me.
[07:31.520 --> 07:36.840]  God, this is making... I can't...
[07:36.840 --> 07:38.260]  Dude, I don't know if I can play this fucking game.
[07:38.520 --> 07:40.400]  I don't really get seasick.
[07:40.520 --> 07:42.560]  I've been deep sea fishing. I don't really get seasick.
[07:43.920 --> 07:45.700]  It's funny because we played it last week
[07:45.700 --> 07:46.740]  for like an hour and a half.
[07:46.820 --> 07:47.520]  You didn't get sick at all.
[07:47.700 --> 07:48.640]  No, I don't know what...
[07:50.280 --> 07:51.500]  Where's my parrot?
[07:53.540 --> 07:54.100]  What parrot?
[07:54.820 --> 07:55.600]  Do you have my parrot?
[07:56.340 --> 07:56.520]  No.
[07:57.420 --> 07:58.880]  You can hang out with him. That's fine.
[07:59.560 --> 08:01.540]  Is this the parrot that Andrew shot?
[08:01.660 --> 08:02.780]  No, Nick, don't do it.
[08:02.860 --> 08:02.980]  No!
[08:04.880 --> 08:08.540]  Oh, he discovered new layouting.
[08:09.640 --> 08:11.100]  You know, you can get in...
[08:11.100 --> 08:12.340]  We can put you in the cannon, Nick.
[08:12.400 --> 08:12.820]  That'd be fun.
[08:13.800 --> 08:15.000]  Whose bird is this?
[08:16.840 --> 08:17.500]  That might be...
[08:18.280 --> 08:20.180]  Oh, that's my favorite game show.
[08:20.520 --> 08:22.340]  Whose bird is this?
[08:24.100 --> 08:26.520]  This bird is missing all its feathers.
[08:27.920 --> 08:29.160]  This bird's a lizard.
[08:29.700 --> 08:30.240]  He's the...
[08:31.660 --> 08:33.320]  He's the A.A. macaw.
[08:33.600 --> 08:34.780]  He comes in to...
[08:37.000 --> 08:39.900]  He shows up in Seafarer's final piece
[08:39.900 --> 08:41.580]  to let them know that there's another way.
[08:42.040 --> 08:43.760]  I fell off the boat, so...
[08:43.760 --> 08:44.160]  Geoff!
[08:45.100 --> 08:46.860]  You fell off the boat?
[08:47.860 --> 08:49.080]  Alright, I'll catch the mermaid.
[08:49.680 --> 08:51.680]  What? Catch the mermaid.
[08:51.680 --> 08:52.740]  There she is.
[08:53.160 --> 08:55.580]  If you get far away from a boat, a mermaid spawns,
[08:55.600 --> 08:57.200]  and you can use them to go back to the boat.
[08:58.060 --> 09:00.720]  Man, I'm a lot more forgiving in this realm.
[09:01.040 --> 09:03.000]  Hey, we're coming up on the skull island.
[09:03.320 --> 09:03.780]  Okay, cool.
[09:03.960 --> 09:05.920]  I'll make sure a parrot is ready to get loaded
[09:05.920 --> 09:06.760]  and shot out of a cannon.
[09:07.560 --> 09:07.900]  Excellent.
[09:09.460 --> 09:10.640]  Oh, my God, guys.
[09:10.880 --> 09:11.540]  This is...
[09:13.040 --> 09:13.940]  Stormy seas, huh?
[09:14.060 --> 09:15.360]  It's okay, we're almost off the ship.
[09:15.400 --> 09:17.480]  Goddamn, I don't know why it's making me so seasick.
[09:17.480 --> 09:19.360]  Oh, wow, look, a skull got glowy eyes.
[09:19.440 --> 09:19.880]  That was cool.
[09:20.500 --> 09:23.840]  If you think this is making you seasick, wait till we play griffball later.
[09:24.060 --> 09:24.680]  Oh, no.
[09:26.200 --> 09:28.120]  There's nothing on, like, these little islands?
[09:29.160 --> 09:29.900]  Uh, there probably is.
[09:30.000 --> 09:31.060]  There's missions to each one of them.
[09:31.200 --> 09:33.580]  Yeah, absolutely, but we're just going to a specific thing.
[09:34.480 --> 09:35.480]  Half of this game...
[09:35.480 --> 09:37.740]  We're doing a specific thing, but half of this game is getting a mission
[09:37.740 --> 09:40.080]  and then staring at the map, trying to figure out
[09:40.080 --> 09:40.660]  where the fuck it is.
[09:40.680 --> 09:43.300]  You son of a bitch! You just turned the shit out of us!
[09:43.780 --> 09:44.240]  Who did that?
[09:44.240 --> 09:46.280]  Yeah, Geoff, what are you doing?
[09:46.780 --> 09:49.420]  Ahoy! Some stuff coming up on the side, boys.
[09:50.040 --> 09:51.460]  Oh, we could do, like, a cool...
[09:51.460 --> 09:51.600]  Oh!
[09:53.220 --> 09:53.980]  Do I...
[09:53.980 --> 09:55.120]  Oh, you dropped it!
[09:55.300 --> 09:56.600]  What am I supposed to do?
[09:57.840 --> 10:00.840]  You pull it up and then you hop off the harpoon
[10:00.840 --> 10:01.880]  and push X on it.
[10:02.080 --> 10:04.420]  Oh, that wasn't how we did it when we had all the treasure.
[10:05.180 --> 10:05.580]  No.
[10:06.000 --> 10:07.900]  The treasure just gets loaded onto the boat.
[10:08.220 --> 10:10.840]  Right, so you can see why I thought that maybe it would act the same.
[10:11.340 --> 10:11.620]  Absolutely.
[10:11.620 --> 10:13.660]  Yeah, here we go. Coming in.
[10:14.480 --> 10:15.780]  I don't think anybody's judging you.
[10:15.840 --> 10:17.220]  The island. Skull Island.
[10:19.800 --> 10:20.880]  We're not judging you.
[10:20.940 --> 10:23.000]  We just acknowledge that you have a problem.
[10:24.560 --> 10:25.400]  I don't have a problem.
[10:25.480 --> 10:26.500]  I can stop anytime.
[10:26.880 --> 10:27.220]  It's not a problem.
[10:27.240 --> 10:30.540]  At the end of the day, we just care about you.
[10:30.700 --> 10:32.140]  Where did Bill W. go?
[10:32.380 --> 10:34.020]  There's a cannonball!
[10:35.360 --> 10:36.020]  Look out!
[10:36.400 --> 10:38.140]  Ah! What the hell was that?
[10:38.540 --> 10:39.000]  We're hit!
[10:40.260 --> 10:41.280]  What's going on?
[10:41.620 --> 10:42.980]  Why are we getting hit?
[10:43.380 --> 10:45.540]  The AI. They're shooting at us.
[10:46.060 --> 10:46.660]  Yeah, they are.
[10:47.240 --> 10:48.600]  See you guys later. I'm going downstairs.
[10:49.480 --> 10:50.040]  Me too!
[10:52.160 --> 10:53.160]  Wait, what the hell?
[10:53.800 --> 10:55.620]  There's no... Oh my god, we don't have any cannonballs
[10:55.620 --> 10:56.200]  loaded up.
[10:56.800 --> 10:59.140]  We don't have any wood loaded up either.
[10:59.400 --> 11:00.520]  We got holes. I got wood.
[11:00.940 --> 11:02.240]  We got holes. I got wood.
[11:03.040 --> 11:03.720]  Yeah, baby.
[11:05.380 --> 11:07.020]  Sorry, I got scare excited.
[11:07.020 --> 11:07.860]  Nick's got worms.
[11:10.000 --> 11:11.460]  Worms? I got worms.
[11:13.280 --> 11:15.140]  I need to watch Dumb and Dumber again.
[11:15.760 --> 11:18.020]  Feel free to hop off the boat and start attacking skeletons.
[11:19.000 --> 11:19.500]  Sounds good.
[11:21.080 --> 11:21.800]  You got it.
[11:22.980 --> 11:24.620]  What should I attack skeletons with?
[11:25.340 --> 11:26.460]  Guns and swords.
[11:28.180 --> 11:29.940]  Are we going there or to the
[11:29.940 --> 11:31.120]  big tall lookout building?
[11:31.660 --> 11:32.660]  Just anywhere on the island.
[11:33.160 --> 11:34.180]  You got it!
[11:34.180 --> 11:35.800]  You wish you did. That was me, baby.
[11:36.320 --> 11:37.700]  You wish you did. That was me, baby.
[11:39.020 --> 11:40.620]  I wish I did. It wasn't me, baby.
[11:41.300 --> 11:42.340]  Avast ye sea dogs.
[11:43.200 --> 11:45.340]  I need some food. Anybody see any food? Uh oh.
[11:49.480 --> 11:50.020]  Die, prick!
[11:51.260 --> 11:52.640]  Yeah! Wow, the hold button
[11:52.640 --> 11:54.040]  really takes a long time, doesn't it?
[11:55.880 --> 11:56.200]  Hold?
[11:56.240 --> 11:58.960]  The hold button? Yeah, like if you hold the...
[11:58.960 --> 11:59.480]  Hold?
[12:00.360 --> 12:02.240]  It's like trying to sell a car. I'm Carvana.
[12:02.240 --> 12:03.720]  You're married to Dax Shepard.
[12:03.960 --> 12:04.400]  Hold?
[12:06.680 --> 12:08.060]  Got some skeletons near me.
[12:08.760 --> 12:10.680]  Can I only swim for like a certain amount of time?
[12:10.780 --> 12:11.500]  Or how does it work?
[12:12.720 --> 12:14.420]  You can swim as long as you want.
[12:15.040 --> 12:15.160]  Okay.
[12:16.080 --> 12:17.900]  Give a limited time underwater.
[12:18.480 --> 12:21.140]  Ah, much like real life.
[12:22.860 --> 12:24.640]  Swim all you want, just remember to be
[12:24.640 --> 12:25.160]  above water.
[12:27.100 --> 12:28.440]  Almost too long that time.
[12:28.440 --> 12:30.000]  Nom nom nom.
[12:30.360 --> 12:32.320]  Nom nom nom.
[12:33.060 --> 12:34.560]  There are coconuts in here.
[12:34.720 --> 12:35.920]  Delicious coconuts.
[12:36.200 --> 12:38.680]  Oh, they're in the fort. They're spawning in the fort.
[12:38.860 --> 12:40.400]  They're spawning in the fort. Don't worry.
[12:40.520 --> 12:42.340]  I'm a straight up assassin.
[12:42.840 --> 12:43.920]  Oh, that's pretty cool actually.
[12:46.900 --> 12:48.580]  Ho ho ho! Yo ho.
[12:53.380 --> 12:54.220]  Oh, hello.
[12:55.200 --> 12:55.980]  Where'd you come from?
[12:56.100 --> 12:57.120]  Where the fuck am I?
[12:58.000 --> 12:58.940]  Oh, Nick!
[12:59.360 --> 13:00.800]  What are they doing?
[13:02.780 --> 13:04.380]  Somebody pick me up.
[13:04.460 --> 13:08.200]  I have no idea what killed me.
[13:09.440 --> 13:09.920]  No.
[13:10.600 --> 13:13.680]  You shot the TNT and it caused a chain of explosions.
[13:14.100 --> 13:14.740]  Oh, are you guys down?
[13:15.680 --> 13:16.520]  Yeah, we're all down.
[13:17.880 --> 13:20.040]  I just tried to recover Nick and he was gone.
[13:20.440 --> 13:21.780]  Goodbye, my friend.
[13:21.960 --> 13:23.040]  Thanks for nothing, Nick.
[13:23.880 --> 13:25.180]  Nick, you've got a problem.
[13:26.700 --> 13:27.160]  Listen,
[13:27.400 --> 13:30.020]  I can quit anytime I want.
[13:30.640 --> 13:31.160]  You can't.
[13:31.200 --> 13:32.860]  We should put Nick in the brig after this.
[13:33.360 --> 13:35.540]  No! Nick's got a murder problem.
[13:35.800 --> 13:36.520]  There we go. No!
[13:37.440 --> 13:39.980]  I didn't know that you can't be that close.
[13:41.480 --> 13:42.640]  Are you dead? Yeah.
[13:43.720 --> 13:44.900]  How do I get through the door?
[13:45.500 --> 13:47.700]  You can hold Y to respawn, Eric.
[13:48.140 --> 13:49.560]  Yeah. That's the trick.
[13:50.580 --> 13:51.340]  Walking through doors?
[13:52.260 --> 13:53.140]  Holding Y to respawn.
[13:53.720 --> 13:54.540]  Hey, what's up, guys?
[13:56.160 --> 13:57.780]  Oh, wow. It takes a while
[13:57.780 --> 13:58.740]  for that door to open, huh?
[13:59.480 --> 13:59.820]  It sure does.
[14:01.140 --> 14:02.580]  That's the annoying part about dying.
[14:04.540 --> 14:05.260]  Gold skeletons.
[14:06.480 --> 14:07.840]  I didn't know that TNT
[14:07.840 --> 14:08.780]  had that big of a range.
[14:09.360 --> 14:11.560]  Hey, I did the exact same thing you did, Nick.
[14:11.980 --> 14:13.080]  Okay, sweet. Hey, listen.
[14:13.460 --> 14:14.440]  All is forgiven to me.
[14:15.960 --> 14:17.280]  I'm sorry. What?
[14:18.440 --> 14:19.000]  All is forgiven.
[14:20.040 --> 14:21.260]  Nick is all forgiven.
[14:21.260 --> 14:23.200]  Alright, guys. Everyone forgives me.
[14:23.300 --> 14:25.800]  You're welcome. I'm here to help.
[14:26.660 --> 14:28.100]  You're welcome, guys.
[14:28.540 --> 14:29.600]  Everyone forgives me.
[14:29.760 --> 14:31.820]  I've been forgiven. Just FYI.
[14:33.400 --> 14:33.960]  Ow!
[14:34.040 --> 14:35.340]  What the hell was that?
[14:35.440 --> 14:37.000]  I just want to let everyone know I am forgiven.
[14:37.780 --> 14:38.500]  I'm on fire.
[14:39.400 --> 14:40.160]  That blew up.
[14:40.640 --> 14:41.180]  That wasn't me.
[14:45.260 --> 14:47.180]  Andrew's being deceptively quiet.
[14:47.180 --> 14:47.600]  Ah!
[14:49.500 --> 14:50.460]  Little fire.
[14:51.100 --> 14:53.180]  Who did that? Was that Andrew?
[14:53.480 --> 14:54.020]  Yeah, it sounds like Andrew.
[14:55.340 --> 14:55.680]  Ah!
[14:56.380 --> 14:56.860]  Ah!
[14:59.060 --> 15:00.380]  Oh my God!
[15:01.040 --> 15:02.460]  It just came out of nowhere!
[15:03.960 --> 15:05.620]  Get back! Get away!
[15:06.540 --> 15:07.000]  Die, prick!
[15:08.060 --> 15:09.360]  Are you down? Are you okay, Andrew?
[15:09.480 --> 15:10.060]  I'm good. I'm good.
[15:10.520 --> 15:12.740]  Need to eat some food.
[15:14.000 --> 15:14.460]  There we go.
[15:14.920 --> 15:16.100]  Ammo pouches everywhere.
[15:16.340 --> 15:18.080]  Really? Where? On the ground.
[15:18.460 --> 15:19.280]  You said everywhere.
[15:20.120 --> 15:21.700]  Ammo box over here as well.
[15:22.120 --> 15:23.860]  God damn it, Nick. You scare me.
[15:25.800 --> 15:26.840]  I'm a scary bastard.
[15:28.300 --> 15:31.180]  So what are we doing here?
[15:31.360 --> 15:32.920]  So we gotta fight wave after wave
[15:32.920 --> 15:34.960]  and then a boss will show up and once we kill him
[15:34.960 --> 15:36.220]  he'll give us a key
[15:36.800 --> 15:39.240]  to open a loot lock.
[15:39.660 --> 15:40.340]  So if there's
[15:41.000 --> 15:42.660]  ammo pouches, just pick them up?
[15:42.660 --> 15:44.600]  Yeah. Just pick them up.
[15:45.200 --> 15:46.480]  As long as you need ammo.
[15:46.720 --> 15:48.120]  If you don't need ammo, don't pick them up.
[15:48.700 --> 15:51.180]  Explosive crate! Explosive crate skeleton
[15:51.180 --> 15:52.420]  coming in! Hi, Geoff.
[15:52.840 --> 15:53.200]  Shoot it.
[15:55.120 --> 15:57.000]  Me and Geoff are at the top. We're very tall.
[15:57.460 --> 15:58.300]  Yeah, I'm super tall.
[15:59.940 --> 16:00.860]  A lot of people are short.
[16:00.940 --> 16:01.480]  Not me and Geoff.
[16:02.240 --> 16:04.880]  They have blunderbusses! Holy hell!
[16:07.040 --> 16:07.980]  Avast, EC dogs!
[16:09.700 --> 16:10.460]  He shot me point-
[16:11.800 --> 16:12.820]  Who did that?
[16:13.040 --> 16:14.640]  Andrew! It wasn't me!
[16:15.320 --> 16:16.280]  Who shot that?
[16:17.060 --> 16:18.920]  Who did that? It wasn't me. I didn't shoot anything.
[16:19.180 --> 16:19.920]  Are you guys down?
[16:20.700 --> 16:21.080]  Yes.
[16:22.560 --> 16:24.160]  I'm coming, I'm coming, I'm coming, I'm coming.
[16:25.240 --> 16:25.960]  We're fading!
[16:27.260 --> 16:28.780]  Right when I got to you!
[16:28.960 --> 16:29.380]  Come on!
[16:30.500 --> 16:32.680]  Are you up at the top? I'm at the top.
[16:32.740 --> 16:33.520]  Pick me up. Shit.
[16:33.900 --> 16:35.480]  I'm about halfway up.
[16:37.300 --> 16:37.540]  There you go.
[16:37.540 --> 16:39.840]  Otherwise I gotta go to the ferryman and wait for the slow door.
[16:40.540 --> 16:42.540]  Reviving, reviving, reviving, reviving.
[16:42.880 --> 16:44.020]  Halfway. Three quarters.
[16:44.100 --> 16:45.100]  All the way! You're back!
[16:45.200 --> 16:48.180]  Let me out! Let me out of here!
[16:48.840 --> 16:49.680]  I'm hungry.
[16:50.000 --> 16:50.980]  Give me some foods.
[16:51.900 --> 16:52.540]  You hungry, boy?
[16:53.480 --> 16:56.140]  I'll take all these coconuts.
[16:56.740 --> 16:58.060]  Are you Coco Coconut?
[16:59.200 --> 16:59.980]  That's my father.
[17:00.440 --> 17:02.080]  Are there more skeletons or what happened?
[17:02.840 --> 17:03.700]  We have to wait for another wave.
[17:04.520 --> 17:06.580]  How do I get enough money for a month?
[17:09.460 --> 17:10.080]  Where are they?
[17:10.740 --> 17:11.980]  Oh shit, they're down here, Nick.
[17:12.240 --> 17:13.380]  I want the mocha monkey.
