[00:00.000 --> 00:00.880]  We should be live.
[01:22.080 --> 01:23.040]  What about...
[01:23.040 --> 01:23.800]  What about now?
[01:24.560 --> 01:26.000]  Somebody else said no audio.
[01:26.800 --> 01:29.020]  Do we have video, at least, is all we heard.
[01:30.100 --> 01:31.240]  Oh, wait, somebody said...
[01:31.240 --> 01:32.100]  Oh, wait, they're talking?
[01:32.580 --> 01:34.060]  And then said you guys are too loud.
[01:34.440 --> 01:35.040]  I hate this.
[01:35.760 --> 01:37.160]  The audio is too loud.
[01:38.100 --> 01:38.660]  So low.
[01:39.340 --> 01:40.580]  Goddammit, I can't tell.
[01:41.040 --> 01:41.860]  What about now?
[01:42.460 --> 01:45.240]  Uh, I hear Geoff, but everyone else is so quiet.
[01:45.460 --> 01:46.120]  No mic audio.
[01:46.420 --> 01:47.400]  Way too damn...
[01:47.400 --> 01:48.060]  Okay, hold on a second.
[01:48.160 --> 01:48.740]  No voice.
[01:48.980 --> 01:49.500]  No voice.
[01:49.620 --> 01:51.680]  Andrew, scan your head.
[01:51.820 --> 01:53.060]  Literally no audio.
[01:53.440 --> 01:55.740]  Game audio means nothing if you can't hear them.
[01:55.740 --> 01:57.320]  Geoff is very faint.
[01:57.580 --> 01:58.500]  What about this?
[01:59.380 --> 02:00.400]  What are you doing?
[02:01.260 --> 02:01.900]  I'm trying...
[02:02.580 --> 02:05.940]  Listen, this was bound to happen.
[02:07.000 --> 02:08.160]  This is a warning.
[02:08.460 --> 02:10.320]  Are you actually adjusting us on the stream?
[02:11.080 --> 02:13.800]  I'm adjusting in Discord.
[02:14.500 --> 02:14.740]  Okay.
[02:15.140 --> 02:18.100]  But you're not adjusting OBS?
[02:18.920 --> 02:20.260]  Well, I'm trying to...
[02:20.260 --> 02:21.840]  Listen, I'm getting there, Gavin.
[02:22.200 --> 02:23.660]  He's getting there, one at a time.
[02:23.720 --> 02:24.440]  I'm trying.
[02:25.060 --> 02:26.920]  Yeah, but you're adjusting us on Discord.
[02:27.500 --> 02:29.820]  I'm now adjusting on OBS, okay?
[02:29.940 --> 02:30.760]  I'm in OBS.
[02:31.160 --> 02:31.360]  Alright.
[02:31.520 --> 02:32.180]  What do you want?
[02:32.940 --> 02:33.740]  I'm sliding.
[02:34.420 --> 02:35.320]  I can be heard now.
[02:35.600 --> 02:37.660]  Now you can hear my bitching towards Andrew.
[02:38.620 --> 02:41.500]  Uh, the person who vocalized, they didn't know what they were doing.
[02:41.580 --> 02:43.480]  And maybe the two guys that have streamed before.
[02:43.740 --> 02:44.160]  We got it, boys.
[02:44.420 --> 02:45.320]  It looks like we're good.
[02:45.400 --> 02:46.060]  Hey, awesome.
[02:46.220 --> 02:48.360]  Alright, everybody stop chatting now.
[02:48.800 --> 02:49.820]  Video games are a mistake.
[02:50.540 --> 02:51.920]  Why did we make video games?
[02:51.920 --> 02:54.640]  We used to just be an audio podcast.
[02:56.200 --> 02:57.400]  Why did video games exist?
[02:57.620 --> 03:00.480]  Why can I put in an invite code, but not make a lobby?
[03:01.300 --> 03:02.520]  Connecting to a lobby.
[03:03.860 --> 03:05.100]  Oh, look at this.
[03:05.920 --> 03:07.500]  They say there's no Andrew now.
[03:07.740 --> 03:08.600]  I don't believe you.
[03:08.640 --> 03:10.040]  How is there no me?
[03:10.900 --> 03:11.980]  Can you guys hear Eric?
[03:12.040 --> 03:12.440]  Eric, go.
[03:12.820 --> 03:13.860]  I can't see the video.
[03:14.940 --> 03:16.080]  Okay, now Nick, you go.
[03:17.440 --> 03:18.660]  Alright, can you guys hear Eric and Nick?
[03:19.980 --> 03:20.940]  I don't think you're helping.
[03:20.940 --> 03:21.500]  How do I...
[03:23.340 --> 03:24.320]  What is missing?
[03:25.020 --> 03:25.940]  Here, let me...
[03:28.640 --> 03:29.660]  How do I...
[03:29.660 --> 03:30.600]  I'm sorry, what did you say?
[03:31.020 --> 03:31.320]  Okay.
[03:31.540 --> 03:32.820]  Oh my god, this is a nightmare.
[03:33.140 --> 03:33.440]  Okay.
[03:34.060 --> 03:35.440]  Do you know my sources so I can...
[03:35.440 --> 03:37.240]  Why are we the same spider?
[03:38.140 --> 03:40.200]  You picked this exact layout of spider?
[03:40.400 --> 03:41.960]  Oh my god!
[03:42.280 --> 03:43.700]  Did we both make...
[03:43.700 --> 03:45.020]  Are we spider twins?
[03:45.780 --> 03:46.260]  Dude!
[03:46.840 --> 03:47.980]  Oh my god!
[03:47.980 --> 03:51.940]  God, are you fucking kidding me?
[03:52.840 --> 03:56.560]  I absolutely picked my spider hat and body.
[03:56.660 --> 03:57.740]  Oh Gavin.
[03:58.280 --> 04:00.540]  I took my time, I looked through every single thing.
[04:00.580 --> 04:02.120]  I thought I'm definitely putting the cone on.
[04:02.260 --> 04:03.240]  I like this color scheme.
[04:03.600 --> 04:04.520]  Bam, we're twins.
[04:05.260 --> 04:07.280]  We are 100% twins.
[04:08.160 --> 04:09.300]  I hate everything.
[04:09.700 --> 04:11.280]  How do I move sources?
[04:11.620 --> 04:13.280]  You're streaming a black screen.
[04:13.760 --> 04:14.740]  I know!
[04:15.120 --> 04:16.700]  I'm trying to fix it!
[04:16.700 --> 04:18.220]  What do you think I'm doing?
[04:19.260 --> 04:20.400]  You don't think I know?
[04:20.800 --> 04:21.280]  I know!
[04:21.900 --> 04:24.000]  The audience doesn't see that we're twins.
[04:24.480 --> 04:27.100]  Who cares? I'm trying to get there.
[04:27.520 --> 04:28.940]  How do I move sources?
[04:29.400 --> 04:34.120]  I got a scene where the video works and a scene where the audio works.
[04:34.340 --> 04:36.340]  You're not allowed to be in charge of stuff.
[04:37.120 --> 04:38.600]  I said this yesterday!
[04:38.880 --> 04:39.680]  He did, he did.
[04:39.700 --> 04:40.900]  I vocalized this!
[04:41.120 --> 04:43.040]  You and I did not step up to the plate.
[04:43.040 --> 04:43.900]  You didn't say shit!
[04:44.620 --> 04:46.460]  You're not allowed to be in charge of stuff either.
[04:46.560 --> 04:49.420]  I'm saying from now on, we only stream when Nick's here.
[04:50.900 --> 04:51.300]  No!
[04:52.180 --> 04:53.400]  That doesn't work!
[04:53.640 --> 04:54.840]  He's never fucking here!
[04:56.280 --> 04:58.060]  He's eating hamburgers with those other assholes.
[04:59.360 --> 04:59.920]  Oh, there's video!
[05:00.940 --> 05:01.740]  Yeah, I know!
[05:02.640 --> 05:05.000]  I'm trying to move it.
[05:05.120 --> 05:06.980]  I'm trying to move it to the different one.
[05:07.900 --> 05:09.440]  Wait, wait, wait, wait, wait, wait.
[05:09.560 --> 05:10.460]  I think I know how to do this.
[05:10.940 --> 05:12.240]  Oh my God, perfect.
[05:12.440 --> 05:13.380]  Oh my God, loud again.
[05:13.380 --> 05:14.240]  Perfect, perfect.
[05:14.240 --> 05:14.620]  Are we good?
[05:15.020 --> 05:16.480]  Game is so loud.
[05:16.700 --> 05:17.060]  Better.
[05:17.340 --> 05:17.520]  I'm true.
[05:18.000 --> 05:18.640]  I think we're good.
[05:18.860 --> 05:20.080]  I know this is awful!
[05:20.200 --> 05:20.600]  It's good.
[05:20.640 --> 05:21.120]  I'm aware!
[05:21.440 --> 05:22.940]  Andrew, it's good, it's good, it's good.
[05:23.020 --> 05:23.780]  We're good, it's good.
[05:23.780 --> 05:24.700]  I'm doing my goddamn best!
[05:24.720 --> 05:25.240]  It's good, we're good.
[05:25.260 --> 05:26.640]  How do we have a hype train?
[05:27.200 --> 05:28.600]  How is this a hype train?
[05:28.800 --> 05:29.540]  I don't know.
[05:29.840 --> 05:30.820]  We're going to hell!
[05:31.100 --> 05:32.380]  I don't even know what that is.
[05:32.740 --> 05:34.960]  How do we refund everyone and derail the train?
[05:35.240 --> 05:36.780]  We don't deserve the hype.
[05:38.400 --> 05:40.280]  Hey, somebody said...
[05:40.280 --> 05:41.260]  I think we have...
[05:41.260 --> 05:42.980]  Full blown something or other.
[05:43.120 --> 05:44.620]  I'm not sure what disease it was.
[05:44.820 --> 05:45.980]  How can you not hear me?
[05:46.000 --> 05:46.960]  Andrew, you're the fucking best.
[05:47.420 --> 05:48.680]  So, you got a compliment, Andrew.
[05:48.800 --> 05:49.640]  Mic up more.
[05:50.140 --> 05:53.920]  Gavin is the king of just fucking trying to poke holes in boats.
[05:54.240 --> 05:55.840]  I want to make sure we could use this.
[05:55.840 --> 06:00.480]  He's got nothing to cover the boat holes, but he's loving trying to put holes in that boat.
[06:01.380 --> 06:04.980]  We're out in the middle of the sea and Gavin's just putting holes in it saying,
[06:05.480 --> 06:07.620]  Hey, what are we going to do about this hole?
[06:08.000 --> 06:10.640]  How is checking that there's no holes making a hole?
[06:12.100 --> 06:13.560]  Maybe ask about...
[06:13.560 --> 06:14.440]  It's just...
[06:14.440 --> 06:16.020]  The boat is at sea.
[06:16.340 --> 06:18.720]  The time to ask about holes was before we left.
[06:19.060 --> 06:20.180]  I don't even know what we're playing.
[06:20.680 --> 06:21.500]  I'm dead, I think.
[06:22.480 --> 06:23.360]  I think I'm dead.
[06:23.440 --> 06:24.300]  I think whoever's alive...
[06:24.300 --> 06:24.780]  Who's alive?
[06:25.000 --> 06:25.620]  I'm alive.
[06:26.180 --> 06:27.920]  What game type did you want to play?
[06:29.100 --> 06:29.980]  We're doing...
[06:29.980 --> 06:30.620]  This is fine.
[06:31.740 --> 06:34.040]  The problem is you guys both picked the same spider.
[06:34.380 --> 06:35.160]  So I don't know who's who.
[06:35.760 --> 06:36.700]  I'm Geoff and he's Gavin.
[06:39.180 --> 06:41.020]  I don't think it's a problem at all.
[06:41.140 --> 06:42.180]  I think it's a...
[06:42.180 --> 06:44.040]  I think it says a lot about us.
[06:44.340 --> 06:46.720]  Oh, I keep getting killed by bananas or something.
[06:47.720 --> 06:49.740]  I'm trying to grab this club.
[06:50.900 --> 06:51.740]  Does this club work?
[06:51.760 --> 06:53.300]  Oh, fucking get rekt.
[06:53.360 --> 06:54.780]  I just double kill.
[06:56.780 --> 06:57.220]  Overkill.
[06:58.220 --> 06:59.220]  That was triple kill.
[07:01.480 --> 07:02.360]  I respawned.
[07:02.400 --> 07:03.220]  Okay, right bumper.
[07:03.620 --> 07:05.840]  Use right bumper to grab the weapon.
[07:09.500 --> 07:11.540]  So this is like horde mode, I think.
[07:11.620 --> 07:13.120]  I think we're just trying to get as far as we can.
[07:13.700 --> 07:14.400]  Have you not played this game?
[07:14.400 --> 07:15.080]  What the fuck?
[07:15.220 --> 07:15.400]  Kill me.
[07:15.500 --> 07:15.780]  No.
[07:17.380 --> 07:18.340]  Why'd you pick it?
[07:19.200 --> 07:22.460]  Because it's a single cam game that we haven't played.
[07:22.840 --> 07:25.020]  That's not the only requirement for streaming.
[07:25.020 --> 07:28.560]  We need to make sure it's a game we can play on stream, son.
[07:33.640 --> 07:34.440]  Another hole.
[07:34.820 --> 07:36.260]  Another hole in the boat.
[07:36.700 --> 07:38.780]  The boat's taking other holes from Gavin.
[07:41.380 --> 07:43.860]  Just look at a game and see if it's a single screen.
[07:43.940 --> 07:46.260]  It's not even really a single screen because it zooms in.
[07:48.440 --> 07:49.240]  Where's mister...
[07:49.240 --> 07:51.000]  Hey, remember yesterday, Geoff, when I said,
[07:51.000 --> 07:53.520]  Hey, maybe one of you guys should do this.
[07:53.580 --> 07:55.140]  And Gavin said nothing.
[07:55.680 --> 07:57.600]  All of a sudden, he's got a million ideas.
[07:57.900 --> 07:59.100]  He's got a zillion points.
[07:59.940 --> 08:01.380]  As soon as we go live,
[08:01.760 --> 08:03.360]  Mr. Ideas shows up.
[08:03.700 --> 08:04.480]  Ideas free.
[08:04.760 --> 08:05.720]  Free of ideas.
[08:06.180 --> 08:07.140]  I love that we're in an era...
[08:07.140 --> 08:07.880]  Don't even need to pay him.
[08:08.100 --> 08:12.760]  A regulation era where Nick and Eric do not like each other
[08:12.760 --> 08:14.860]  and you and Gavin do not like each other.
[08:14.960 --> 08:15.880]  And I'm just cool with everybody.
[08:15.900 --> 08:16.720]  I love Gavin.
[08:16.940 --> 08:17.880]  I love Gavin.
[08:18.020 --> 08:19.320]  You can love somebody and not like him.
[08:19.360 --> 08:19.760]  Trust me.
[08:19.760 --> 08:21.220]  No, I like Gavin a lot.
[08:21.600 --> 08:22.680]  I'm the Gavin guy.
[08:24.060 --> 08:24.780]  I suggest...
[08:24.780 --> 08:26.260]  Where are all these suggestions yesterday?
[08:28.660 --> 08:30.760]  Look, Andrew, Gavin didn't want to host this.
[08:30.840 --> 08:31.680]  Look at what you're going through.
[08:31.780 --> 08:32.940]  You think he wants to volunteer for that?
[08:33.520 --> 08:34.980]  I wasn't there for this conversation.
[08:35.160 --> 08:35.580]  I was there...
[08:35.580 --> 08:36.160]  Yes, you were.
[08:36.520 --> 08:37.960]  You were 100% there.
[08:38.000 --> 08:38.280]  You were there.
[08:38.820 --> 08:40.660]  He picked this on Slack.
[08:40.900 --> 08:42.560]  Originally, this was going to be Sea of Thieves.
[08:43.480 --> 08:43.760]  That's true.
[08:43.960 --> 08:44.500]  We're going to play...
[08:44.500 --> 08:44.960]  No.
[08:45.240 --> 08:46.620]  We're going to play Olympics, I think.
[08:47.100 --> 08:47.200]  Yeah.
[08:47.200 --> 08:49.420]  It went from Sea of Thieves to Olympics.
[08:49.840 --> 08:51.220]  And then I said...
[08:51.780 --> 08:56.120]  I said it would be better if we waited until we had an even number of players for Olympics.
[08:56.380 --> 08:59.960]  Because some of the games, like basketball, require even teams.
[09:01.440 --> 09:03.360]  And then I said I'd suggest something.
[09:03.720 --> 09:04.900]  And I suggested this.
[09:05.020 --> 09:06.420]  And everyone did thumbs up.
[09:07.400 --> 09:07.780]  It's true.
[09:08.240 --> 09:09.020]  This is all proved.
[09:09.480 --> 09:09.880]  I'm dead.
[09:09.960 --> 09:10.420]  This is vetted.
[09:10.980 --> 09:14.180]  You know, it's real confusing with Gavin and I being the same bunch of guys.
[09:14.200 --> 09:15.400]  It really is.
[09:17.800 --> 09:20.380]  Not even Nick with a name burn would fix that.
[09:21.240 --> 09:22.860]  If you return to lobby, I'll change.
[09:23.720 --> 09:24.460]  Or vice versa.
[09:24.640 --> 09:25.000]  I don't care.
[09:26.160 --> 09:26.820]  Return to lobby.
[09:28.120 --> 09:29.500]  Absolutely wrecked myself there.
[09:29.740 --> 09:30.460]  Thinking I was you.
[09:31.600 --> 09:33.500]  Return to lobby or did that just put me in a lobby?
[09:34.400 --> 09:35.260]  I'm not in a lobby.
[09:35.600 --> 09:36.140]  I'm not in a lobby.
[09:36.960 --> 09:37.520]  Return to lobby.
[09:38.080 --> 09:38.580]  I'm in a lobby.
[09:39.160 --> 09:40.340]  I'm going to go change my hat, okay?
[09:41.100 --> 09:42.240]  Gavin, let's not both.
[09:43.620 --> 09:44.020]  Here.
[09:47.200 --> 09:47.440]  Oh!
[09:53.150 --> 09:54.850]  You want increased voice audio?
[09:54.950 --> 09:56.470]  The audio is all the way up.
[09:59.150 --> 09:59.550]  Okay.
[10:00.030 --> 10:02.350]  Is there a versus where we just burk each other?
[10:03.110 --> 10:03.830]  Yeah, I think there is.
[10:04.310 --> 10:04.630]  Yeah, yeah, yeah.
[10:04.670 --> 10:05.610]  Let's do that.
[10:07.270 --> 10:08.690]  Geoff, did you change or shall I change?
[10:09.010 --> 10:09.490]  I changed.
[10:09.950 --> 10:10.130]  Okay.
[10:11.610 --> 10:13.630]  I can't believe we were the same spider.
[10:13.850 --> 10:14.910]  It's crazy.
[10:15.130 --> 10:15.750]  That is pretty...
[10:15.750 --> 10:16.330]  How many options?
[10:16.470 --> 10:17.830]  Is there like a ton in this game?
[10:17.830 --> 10:20.590]  Not a ton, but it's probably like at least a one in ten chance.
[10:21.050 --> 10:24.730]  Okay, do we want casual, standard, only blades, or one shot?
[10:26.890 --> 10:27.890]  Casual, standard.
[10:29.770 --> 10:30.570]  Those are two.
[10:30.810 --> 10:31.530]  Standard first.
[10:31.770 --> 10:32.250]  Let's do standard.
[10:32.450 --> 10:33.590]  Standard first, okay.
[10:36.610 --> 10:37.990]  We need at least two players.
[10:43.460 --> 10:44.060]  Send me out.
[10:45.060 --> 10:46.120]  Got in.
[10:46.420 --> 10:47.380]  I'm just listening.
[10:47.520 --> 10:52.800]  I'm just watching the audience fight over whether the audio is in fact good or is not in fact good.
[10:53.800 --> 10:57.500]  There could be non-Xbox network users.
[11:01.480 --> 11:01.780]  All right.
[11:02.580 --> 11:02.900]  There we go.
[11:05.780 --> 11:08.080]  Oh, Geoff's a yellow and green.
[11:08.560 --> 11:09.780]  Yeah, I'm a lime guy now.
[11:11.140 --> 11:13.560]  It's a brat summer spider.
[11:14.080 --> 11:14.460]  That's right.
[11:14.460 --> 11:15.160]  I'm a brat.
[11:15.320 --> 11:15.860]  I'm brat.
[11:16.520 --> 11:16.980]  Little brat?
[11:17.580 --> 11:17.760]  Yeah.
[11:19.180 --> 11:19.480]  Dang.
[11:20.780 --> 11:21.460]  Dang-a-bert.
[11:22.500 --> 11:23.980]  Oh, I'm gonna get you guys real good.
[11:24.000 --> 11:24.380]  Okay.
[11:24.840 --> 11:25.660]  Oh, shit!
[11:25.960 --> 11:26.320]  Oh, God!
[11:26.960 --> 11:28.020]  Oh, the blue launches.
[11:29.440 --> 11:30.160]  Give me this.
[11:31.080 --> 11:31.680]  I want this.
[11:31.900 --> 11:32.660]  How do I turn this on?
[11:32.740 --> 11:32.840]  Oh, no.
[11:33.100 --> 11:35.320]  Oh, I threw it.
[11:35.420 --> 11:35.800]  What a fool.
[11:36.000 --> 11:37.580]  Oh, shit, I just threw it at myself.
[11:39.680 --> 11:40.960]  Oh, I got a sword.
[11:42.040 --> 11:42.920]  Get, get away.
[11:43.300 --> 11:44.080]  Get, get away.
[11:44.460 --> 11:45.500]  I'm coming for you.
[11:45.500 --> 11:47.360]  Oh, I got you.
[11:47.620 --> 11:48.420]  Sliced and diced.
[11:48.780 --> 11:49.800]  I was trying to go like this.
[11:50.180 --> 11:50.960]  I can go, oh.
[11:52.180 --> 11:52.660]  Shackle.
[11:53.920 --> 11:54.400]  Okay.
[11:56.800 --> 11:57.840]  Oh, oh.
[11:59.780 --> 12:00.260]  Oh.
[12:01.640 --> 12:02.640]  Oh, you got a gun?
[12:03.000 --> 12:03.720]  You both have guns.
[12:03.960 --> 12:04.180]  I threw it.
[12:04.360 --> 12:05.300]  Why do I throw it?
[12:06.080 --> 12:07.200]  Oh, shit, I'm dead.
[12:07.760 --> 12:09.600]  Yeah, I fucking blew you up.
[12:09.640 --> 12:11.100]  Point-blank range is brutal.
[12:12.600 --> 12:13.760]  How do you fire it?
[12:14.460 --> 12:15.380]  I'm not going to tell you.
[12:15.460 --> 12:15.960]  Oh, shit.
[12:16.400 --> 12:16.960]  Right trigger.
[12:17.240 --> 12:17.640]  Right trigger.
[12:18.220 --> 12:18.660]  Oh!
[12:25.130 --> 12:26.950]  I guess I was pointed at the ground.
[12:31.850 --> 12:33.310]  I guess you were.
[12:35.250 --> 12:36.030]  Oh, fuck.
[12:36.830 --> 12:37.710]  Holy dick.
[12:38.670 --> 12:38.890]  Oh.
[12:40.030 --> 12:40.470]  Slice.
[12:40.690 --> 12:42.570]  What does the time thing do?
[12:43.210 --> 12:43.810]  Oh, it's a grenade.
[12:44.010 --> 12:44.570]  Come in, Geoff.
[12:44.650 --> 12:45.550]  Come in, Geoff, son.
[12:45.710 --> 12:46.790]  Oh, my God.
[12:50.410 --> 12:51.130]  Did I win?
[12:51.450 --> 12:51.750]  I won.
[12:52.010 --> 12:52.810]  Yeah, you got that one.
[12:52.970 --> 12:53.030]  I think you may have won.
[12:53.070 --> 12:53.630]  The bigger spinner.
[12:56.790 --> 12:57.670]  Oh, shit.
[12:57.890 --> 12:58.170]  Okay.
[13:00.070 --> 13:01.910]  Oh, God, it's a bullshooter.
[13:02.350 --> 13:03.370]  I can make balls.
[13:03.950 --> 13:04.610]  Oh, get away.
[13:05.190 --> 13:06.150]  Oh, I don't want your balls.
[13:06.490 --> 13:07.310]  Wait, did I die?
[13:08.130 --> 13:12.050]  Oh, the backwards force from the shotgun blast blew me into the lava.
[13:12.570 --> 13:13.510]  Oh, that's really funny.
[13:13.710 --> 13:14.310]  Oh, shit.
[13:14.770 --> 13:15.290]  I just jumped.
[13:15.850 --> 13:17.550]  It is quite easy to off yourself.
[13:17.550 --> 13:18.290]  Woo!
[13:18.710 --> 13:18.990]  Woo!
[13:20.450 --> 13:21.330]  I went flying.
[13:22.750 --> 13:23.230]  Okay.
[13:23.610 --> 13:24.550]  Oh, I got to get...
[13:25.110 --> 13:25.530]  Oh, God.
[13:25.570 --> 13:26.070]  What are you doing to me?
[13:26.250 --> 13:26.830]  What are you doing to me?
[13:27.010 --> 13:27.530]  Get away.
[13:27.750 --> 13:29.190]  Oh, I don't know.
[13:29.390 --> 13:30.150]  What's happening?
[13:30.590 --> 13:32.350]  The freaking laser thing got me.
[13:32.710 --> 13:32.950]  What?
[13:32.950 --> 13:33.990]  The whole thing collapsed.
[13:35.590 --> 13:36.890]  Oh, I unlocked the hat.
[13:37.170 --> 13:38.590]  I unlocked the sheriff hat.
[13:38.950 --> 13:39.810]  So did I.
[13:40.070 --> 13:40.870]  Oh, got to draw.
[13:41.150 --> 13:41.310]  Whoops.
[13:41.710 --> 13:42.050]  That's funny.
[13:45.630 --> 13:45.890]  Okay.
[13:46.850 --> 13:47.650]  Oh, God.
[13:48.450 --> 13:51.370]  I need to hold on to the ground.
[13:52.930 --> 13:53.330]  Well.
[13:54.570 --> 13:55.910]  Watch out for that, fucker.
[13:56.550 --> 13:57.350]  Oh, no.
[13:58.630 --> 13:59.510]  Did you get me?
[14:00.810 --> 14:01.830]  I think you got me.
[14:04.150 --> 14:04.950]  Come at me, sons.
[14:05.930 --> 14:07.410]  I'm throwing a grenade at you.
[14:07.610 --> 14:08.050]  Oh, no.
[14:08.310 --> 14:10.110]  Oh, that was a pretty good lob, actually.
[14:10.250 --> 14:10.690]  Is this a grenade?
[14:11.970 --> 14:12.450]  Oh.
[14:14.590 --> 14:15.230]  Oh, no.
[14:16.830 --> 14:18.310]  How do I cook it?
[14:19.290 --> 14:19.970]  I don't know.
[14:20.510 --> 14:22.210]  Can I attack you with my limbs?
[14:22.530 --> 14:23.810]  No, Geoff, you suck.
[14:25.690 --> 14:26.650]  Oh, no.
[14:26.850 --> 14:27.170]  Get away.
[14:27.310 --> 14:27.550]  Get away.
[14:27.750 --> 14:28.230]  No.
[14:30.950 --> 14:32.070]  Get away from me.
[14:32.690 --> 14:33.470]  I'm a...
[14:33.470 --> 14:34.090]  Oh, no.
[14:34.810 --> 14:36.950]  Oh, my thumbstick flew off.
[14:37.030 --> 14:37.510]  Oh, shit.
[14:37.510 --> 14:37.570]  Oh, shit.
[14:40.050 --> 14:42.370]  We got one, two, three, as far as points go.
[14:42.410 --> 14:42.930]  I like this.
[14:43.570 --> 14:44.430]  I can't tell.
[14:44.570 --> 14:46.090]  Some people say the audio sounds great.
[14:46.150 --> 14:48.490]  Some people say the game audio is way too loud.
[14:49.390 --> 14:49.690]  Interesting.
[14:51.450 --> 14:51.710]  Oops.
[14:52.170 --> 14:53.450]  Come over here and I'll slice you in half.
[14:53.950 --> 14:54.510]  How about...
[14:55.950 --> 14:56.270]  Shit.
[14:57.630 --> 14:58.950]  Let's thread the needle through there.
[15:00.130 --> 15:02.390]  Yes, we will still be doing Sloppy Joes later.
[15:02.490 --> 15:03.110]  Nick will be here.
[15:03.490 --> 15:04.010]  It will be cool.
[15:06.410 --> 15:07.430]  Have no fear.
[15:07.590 --> 15:08.770]  Sloppy Joes will be...
[15:08.770 --> 15:09.530]  Oh, is that a nuke?
[15:09.590 --> 15:10.030]  What is that?
[15:10.250 --> 15:10.850]  Oh, I don't want it.
[15:10.870 --> 15:11.490]  I don't want it anymore.
[15:11.710 --> 15:12.170]  Get off me.
[15:12.310 --> 15:13.170]  Oh, you got to throw it.
[15:14.270 --> 15:15.770]  It looks like a nuke.
[15:19.130 --> 15:20.010]  Oh, shit.
[15:22.310 --> 15:24.690]  You armed it and just went into the lava.
[15:27.430 --> 15:30.870]  You essentially hit a nuclear power plant with a nuclear bomb.
[15:32.090 --> 15:32.850]  Oh, no.
[15:32.850 --> 15:34.890]  Oh, I threw it again.
[15:35.330 --> 15:36.970]  Oh, I fucking detonated on myself.
[15:37.130 --> 15:38.090]  All over myself.
[15:38.210 --> 15:39.950]  Just covered myself in me.
[15:42.030 --> 15:42.950]  Somebody says...
[15:42.950 --> 15:43.570]  Oh, I'm not going to bother.
[15:44.370 --> 15:44.750]  Get away.
[15:44.950 --> 15:45.050]  Get away.
[15:45.430 --> 15:46.190]  Not going to bother.
[15:47.890 --> 15:48.610]  Fuck me.
[15:49.110 --> 15:51.110]  I got double-ended thing.
[15:54.470 --> 15:55.850]  I battered it away.
[15:57.290 --> 15:57.990]  Where's Geoff?
[15:58.730 --> 15:59.770]  I died a while ago.
[15:59.810 --> 16:00.730]  Oh, I didn't know you're dead.
[16:03.690 --> 16:06.890]  Chances are, if we're playing a game, I'm dead.
[16:09.390 --> 16:10.230]  How do you throw?
[16:10.630 --> 16:11.430]  Oh, shit, like that.
[16:11.510 --> 16:12.750]  I think you just got to let go, right?
[16:12.870 --> 16:13.850]  You let go of the...
