[00:02.580 --> 00:04.380]  It's Summer Games Fest!
[02:30.960 --> 02:33.800]  The guy's the creator of the Game Awards.
[02:34.640 --> 02:36.100]  Yay, he's here.
[02:36.480 --> 02:38.620]  Look at him, he created... oh, why would you think...
[02:38.620 --> 02:40.500]  Here's the thing about wearing a suit.
[02:41.600 --> 02:42.500]  Go all the way.
[02:43.160 --> 02:44.860]  Wear the shoes that go with the suit.
[02:45.040 --> 02:46.740]  That looks awful.
[02:47.180 --> 02:48.120]  That looks awful.
[02:48.240 --> 02:48.840]  That's like abysmal.
[02:49.780 --> 02:50.880]  Oh, the shirt underneath.
[02:51.700 --> 02:52.140]  God.
[02:52.480 --> 02:54.980]  I was going to say I disagree and then I realized I don't care.
[02:55.480 --> 02:55.920]  Terrible.
[02:56.180 --> 02:57.260]  Love the way that dude spells his name.
[02:57.440 --> 02:58.080]  Absolute love.
[02:59.440 --> 03:04.200]  He is dressed in the most GDC-ass looking outfit, dude.
[03:04.420 --> 03:06.960]  That is... oh, is that a t-shirt underneath a sports coat?
[03:07.180 --> 03:08.560]  Yeah, GDC time.
[03:09.560 --> 03:12.860]  There must have been a time in the past when we interacted at some point,
[03:12.920 --> 03:16.980]  because I noticed that we're friends on Facebook last year when I had to log into Facebook or something.
[03:16.980 --> 03:17.660]  You and Geoff Keighley?
[03:17.680 --> 03:18.860]  I have no idea why.
[03:20.060 --> 03:21.000]  That's pretty cool.
[03:21.640 --> 03:23.280]  I assume it's a Geoff alliance.
[03:23.920 --> 03:25.860]  Could be. Could just be a Geoff club thing.
[03:26.000 --> 03:26.160]  Yeah.
[03:28.700 --> 03:30.060]  Schindler's Fist, another gifted sub.
[03:30.380 --> 03:30.540]  Wow.
[03:30.720 --> 03:31.160]  Thank you.
[03:31.680 --> 03:32.360]  Thank you.
[03:34.140 --> 03:36.800]  Also, best bet 24 with 25 gifted.
[03:37.100 --> 03:38.660]  I'm not going to spend the whole time calling these out.
[03:38.680 --> 03:39.640]  I just want to let you guys know.
[03:39.760 --> 03:40.240]  That's pretty incredible.
[03:40.580 --> 03:41.740]  Yeah, that is incredible.
[03:42.100 --> 03:43.540]  Do you guys hear about these dinosaurs?
[03:43.880 --> 03:44.780]  They're fucking crazy.
[03:45.320 --> 03:46.760]  Somebody said, are we going to 601 today?
[03:46.860 --> 03:48.280]  We're going the whole distance, baby.
[03:48.280 --> 03:49.080]  Thank you so much.
[03:49.080 --> 03:49.840]  Thanks, Keighley.
[03:50.880 --> 03:51.800]  All 13 of you.
[03:56.700 --> 03:58.320]  Yeah, repo!
[04:02.320 --> 04:04.000]  How many of these have we played?
[04:04.500 --> 04:05.780]  Schedule 1, we have not.
[04:05.960 --> 04:07.300]  Monster Hunter's right there, baby.
[04:08.740 --> 04:11.400]  Inzoys and Kingdom Come are the only ones we've ever played, I guess.
[04:11.740 --> 04:12.680]  And Civ, yeah.
[04:13.280 --> 04:14.420]  Oh, we played Monster Hunter.
[04:14.420 --> 04:15.700]  Have we played Schedule 1?
[04:16.620 --> 04:17.680]  No, I don't think so.
[04:17.680 --> 04:18.780]  Uh-uh.
[04:19.840 --> 04:20.960]  Did we play Oblivion?
[04:22.180 --> 04:23.300]  Not for content.
[04:23.660 --> 04:25.260]  Oh, you know, we haven't played that for content.
[04:25.620 --> 04:26.220]  That's a good point.
[04:27.840 --> 04:29.460]  Civ 7? Do we need another?
[04:30.640 --> 04:31.080]  Dude...
[04:31.740 --> 04:32.940]  I don't get it.
[04:33.380 --> 04:34.840]  I didn't like Civ 6.
[04:36.020 --> 04:37.140]  What about 1 through 5?
[04:37.860 --> 04:38.740]  I liked 4.
[04:40.300 --> 04:41.560]  I liked Civ Rev.
[04:41.680 --> 04:42.460]  That was my favorite Civ.
[04:44.120 --> 04:45.540]  I don't even know what that is.
[04:45.560 --> 04:45.980]  Is it good?
[04:46.820 --> 04:47.760]  What, Civ Rev?
[04:48.120 --> 04:48.360]  Yeah.
[04:49.640 --> 04:50.520]  Civilization Revolutions?
[04:50.780 --> 04:51.220]  Yeah.
[04:51.660 --> 04:52.540]  You never played that one?
[04:53.460 --> 04:55.080]  I've never played any Civilization game.
[04:55.380 --> 04:56.100]  Oh, okay.
[04:56.240 --> 04:58.900]  I'm not smart enough to play a Civilization game.
[04:59.240 --> 05:00.220]  Oh, you'd be surprised.
[05:00.520 --> 05:01.040]  It's a board game.
[05:01.320 --> 05:02.200]  Andrew can play it.
[05:02.200 --> 05:03.060]  I stand by what I said.
[05:10.140 --> 05:11.900]  Did you like Split Fiction, Andrew?
[05:12.680 --> 05:12.900]  Yeah.
[05:13.140 --> 05:14.100]  It's fun.
[05:15.980 --> 05:17.880]  I hate when people have to say shit.
[05:18.600 --> 05:19.240]  It's great.
[05:19.900 --> 05:21.860]  Did Gavin finish it with you or did you just find someone else?
[05:21.940 --> 05:23.860]  No, I played separately.
[05:23.980 --> 05:25.780]  But Gavin and I did the first few levels.
[05:26.460 --> 05:27.000]  And that was fun.
[05:28.520 --> 05:29.640]  Do you think you'll continue it?
[05:30.600 --> 05:31.280]  I'd like to.
[05:31.700 --> 05:33.860]  If he ever returns to the country.
[05:36.660 --> 05:38.680]  So, this isn't an award show.
[05:38.780 --> 05:40.320]  It's just showing trailers, right?
[05:40.440 --> 05:40.780]  Yes.
[05:41.140 --> 05:41.720]  Okay, good.
[05:41.880 --> 05:42.580]  This is no awards.
[05:44.060 --> 05:46.060]  Maybe we'll get an Elf cameo.
[05:46.240 --> 05:48.080]  Once again, Geoff Keighley loves Elf.
[05:48.740 --> 05:49.980]  The cat-eating alien.
[05:50.940 --> 05:52.680]  Geoff Keighley loves Elf?
[05:53.300 --> 05:55.240]  Thanks for explaining who Elf is.
[05:55.440 --> 05:57.900]  Well, because there's Elf and there's Alf and there's Alfie.
[05:58.020 --> 05:59.140]  There's a lot of different Elfs.
[05:59.720 --> 06:01.220]  The youngest person here.
[06:01.300 --> 06:02.360]  Hey, you guys know about Elf?
[06:04.180 --> 06:06.040]  When he first said it, I heard Elf.
[06:06.120 --> 06:07.800]  So, to be fair, it did help me.
[06:08.080 --> 06:08.940]  No, I heard Elf.
[06:09.060 --> 06:10.640]  Thanks for all the subs, Midnight Toots.
[06:10.840 --> 06:11.820]  You fart the best.
[06:12.600 --> 06:14.520]  Yeah, Midnight Toots, that rules.
[06:15.120 --> 06:17.420]  Wow, Nick is really... Nick's fucking hyped up today.
[06:17.840 --> 06:18.500]  Markiplier's here.
[06:19.020 --> 06:20.440]  He ate a Waffle House earlier today.
[06:20.560 --> 06:21.780]  Hell yeah. And he's fishing.
[06:22.320 --> 06:24.640]  What life... what life does this guy live?
[06:25.020 --> 06:27.360]  Geoff, that might be the thing murdering things outside your house.
[06:27.500 --> 06:27.860]  Yep.
[06:28.020 --> 06:28.540]  What is this?
[06:29.840 --> 06:31.500]  This looks too scary. I don't like it.
[06:32.540 --> 06:33.120]  Okay, never mind.
[06:34.100 --> 06:36.020]  Oh, is this...
[06:37.900 --> 06:40.940]  It looked like the merchant from Resident Evil.
[06:40.940 --> 06:45.360]  Yeah, I was going to say it's kind of like Dark Souls Resident Evil kind of feel so far.
[06:45.420 --> 06:45.640]  Whoa!
[06:46.540 --> 06:48.780]  This is... yeah, these are all cat-eating aliens.
[06:50.060 --> 06:55.830]  Oh, the predator high-five.
[06:56.710 --> 06:57.090]  Hell yeah.
[06:57.250 --> 06:57.850]  Oh, snap!
[06:57.850 --> 06:58.670]  Oh my god.
[06:59.050 --> 06:59.410]  Oh!
[07:01.970 --> 07:03.250]  Cousin Willy, no!
[07:03.670 --> 07:04.290]  That's awesome.
[07:04.790 --> 07:08.870]  I thought this was going to be like another Souls-like game where it's like, here's some rolling combat, whatever.
[07:09.130 --> 07:11.370]  Whatever this is rocks so fucking hard.
[07:11.370 --> 07:13.150]  This is awesome.
[07:13.350 --> 07:15.190]  This is a video game right here.
[07:15.330 --> 07:16.210]  This rules.
[07:16.430 --> 07:17.830]  This is stabbing, stomping content.
[07:18.030 --> 07:18.610]  Oh my god.
[07:18.710 --> 07:19.750]  Oh my god!
[07:22.230 --> 07:23.870]  This and... oh my... dude.
[07:24.290 --> 07:27.430]  Video games might be fun again.
[07:27.630 --> 07:27.910]  Oh my god.
[07:27.910 --> 07:28.570]  New games are good.
[07:29.450 --> 07:29.930]  Wow.
[07:30.430 --> 07:31.270]  This rocks.
[07:32.890 --> 07:34.570]  I bet you this has a great title.
[07:35.110 --> 07:35.730]  A snail!
[07:36.130 --> 07:36.850]  Oh shit.
[07:37.250 --> 07:37.870]  Gavin's nightmare.
[07:39.570 --> 07:40.690]  He's finally got me.
[07:45.060 --> 07:46.400]  Is this the new Halo game?
[07:50.800 --> 07:53.780]  I would love it if it just said Halo Wars 3 at the end.
[07:56.420 --> 07:58.180]  Where did we go wrong is the tagline.
[08:00.020 --> 08:01.180]  Jesus, this is...
[08:02.540 --> 08:03.760]  Oh my god!
[08:04.020 --> 08:06.000]  Mortal Shell 2!
[08:06.540 --> 08:07.440]  There was a first one?
[08:07.560 --> 08:09.120]  Was Mortal Shell 1 any good, guys?
[08:09.440 --> 08:10.100]  I have no idea.
[08:10.180 --> 08:10.720]  I've never heard of it.
[08:10.780 --> 08:11.400]  I've never heard of it.
[08:14.180 --> 08:16.120]  I'm gonna look it up now.
[08:16.220 --> 08:17.100]  Yeah, no kidding.
[08:19.400 --> 08:20.780]  Mortal Shell is Souls-like.
[08:21.120 --> 08:21.300]  Cool.
[08:21.720 --> 08:23.080]  Yeah, it certainly seemed to be.
[08:26.020 --> 08:27.140]  Risky Reels?
[08:28.960 --> 08:29.200]  Fortnite!
[08:29.560 --> 08:29.860]  Fortnite!
[08:30.240 --> 08:30.580]  Fortnite!
[08:31.520 --> 08:33.240]  I'm doing the... I'm doing the dance.
[08:33.760 --> 08:33.940]  Fortnite!
[08:34.460 --> 08:35.000]  Can't see it.
[08:35.280 --> 08:36.400]  About to announce Benson Boonskin.
[08:38.380 --> 08:40.040]  He only moves in backflips.
[08:40.420 --> 08:40.980]  Oh!
[08:44.980 --> 08:45.560]  Alright.
[08:45.860 --> 08:47.040]  What if...
[08:47.040 --> 08:47.740]  Video in that?
[08:48.060 --> 08:48.140]  Yeah.
[08:50.180 --> 08:53.580]  You see that Destiny is adding a Star Wars campaign?
[08:54.340 --> 08:54.540]  Really?
[08:56.040 --> 08:57.200]  So Destiny...
[08:58.440 --> 09:01.840]  So then Destiny and Fortnite are in the same universe?
[09:02.500 --> 09:06.960]  I think Destiny is doing a weird thing where they're taking all of the imagery from Star Wars
[09:06.960 --> 09:10.840]  and it is a Star Wars affiliated thing, but in world it's not Star Wars.
[09:11.380 --> 09:13.480]  It's just things that look like Star Wars.
[09:14.680 --> 09:16.520]  This appears to be Star Wars.
[09:16.880 --> 09:21.580]  I'll only play this if I can get the Sabrina Carpenter skin and sabotage the Death Star that way.
[09:26.250 --> 09:26.730]  What?
[09:27.690 --> 09:28.170]  I don't know.
[09:28.850 --> 09:29.330]  Jonesy.
[09:29.690 --> 09:30.770]  I don't know who Jonesy is.
[09:31.490 --> 09:32.870]  He was in Rogue One.
[09:35.630 --> 09:37.710]  Well, he's definitely not out of it then.
[09:38.370 --> 09:39.230]  If he was.
[09:40.930 --> 09:41.550]  Cliffy B.
[09:48.790 --> 09:49.810]  This is taking a while.
[09:49.810 --> 09:52.210]  Wow! Andrew, who could have seen this coming?
[09:52.610 --> 09:53.050]  Nobody.
[09:54.430 --> 09:57.110]  Do you know these guys are friends? Did you know that?
[09:57.150 --> 10:00.910]  They're friends and Hideo Kojima hates that everyone's applauding.
[10:01.170 --> 10:02.490]  Because it means he's failing as an artist.
[10:03.490 --> 10:05.090]  Are the Mega64 guys with him?
[10:05.350 --> 10:06.050]  Yeah, no kidding.
[10:07.490 --> 10:09.390]  Kojima's touching all of Garrett's tattoos and going,
[10:09.490 --> 10:10.930]  Oh, cool. So cool.
[10:15.470 --> 10:17.250]  Didn't we have that guy out to RTX once?
[10:17.550 --> 10:17.870]  Yes.
[10:18.990 --> 10:19.350]  Probably.
[10:19.990 --> 10:20.330]  That was cool.
[10:20.710 --> 10:24.210]  He was the special guest of RTX Australia and I thought that was fucking crazy.
[10:25.430 --> 10:26.050]  That's awesome.
[10:26.410 --> 10:27.210]  He was? Really?
[10:27.530 --> 10:31.590]  Yeah, I remember we got in trouble because we threw a Frisbee and it went into his little green room area.
[10:32.490 --> 10:33.570]  And they were like, stop!
[10:37.050 --> 10:38.190]  Maybe I should preface that by saying,
[10:40.010 --> 10:40.910]  it went into his green room area.
[10:40.910 --> 10:42.470]  It went into his green room area again.
[10:43.150 --> 10:43.950]  Oh, I see.
[10:44.050 --> 10:45.790]  Yeah, yeah, yeah, yeah, yeah, yeah.
[10:46.490 --> 10:48.270]  You gotta be specific about that, I think.
[10:50.630 --> 10:53.910]  You didn't realize it was a big deal until you played a future Kojima game
[10:53.910 --> 10:57.830]  and there's a section all about assholes who keep throwing Frisbees into the main character's face.
[10:58.550 --> 11:02.310]  Is that one of those things where you all peel away and point at the one person who threw it last?
[11:02.430 --> 11:02.950]  Yeah, absolutely.
[11:03.610 --> 11:04.050]  Caleb?
[11:05.870 --> 11:06.310]  Gavin?
[11:06.730 --> 11:08.170]  I was gonna say, it looks like Gavin.
[11:08.730 --> 11:10.950]  Oh, it does look like, it smells like Gavin.
[11:11.470 --> 11:15.590]  It's like if you took Gavin's nose and then grew a different person out of it.
[11:17.090 --> 11:18.950]  Is this the newest Strand-type game?
[11:19.550 --> 11:19.710]  Yeah.
[11:21.050 --> 11:26.710]  I started the first one and I watched like a 30-minute cutscene and then stopped playing.
[11:26.990 --> 11:31.390]  I liked it, but that's a very fair criticism.
[11:32.030 --> 11:33.190]  I just need to pick it up again.
[11:33.190 --> 11:34.050]  Mm.
[11:35.730 --> 11:37.330]  Great looking monster energy cans.
[11:38.590 --> 11:39.470]  Nice plant.
[11:40.790 --> 11:41.970]  Ooh, pack of smokes.
[11:42.590 --> 11:47.450]  I thought for a second he was putting his seatbelt on, which seemed really weird to be doing inside of an office.
[11:49.090 --> 11:49.570]  Buckle up!
[11:50.490 --> 11:52.770]  Why did this guy think he could smoke inside an office?
[11:52.990 --> 11:53.670]  In 2025.
[11:54.270 --> 11:55.690]  In what looks like a doctor's office.
[11:59.670 --> 12:01.910]  Do you think this is gonna be a 30-minute cutscene?
[12:02.430 --> 12:02.710]  Yeah.
[12:04.450 --> 12:09.250]  It will be as long as Kojima wants it to be because it's Geoff Keighley and he just went,
[12:09.410 --> 12:10.770]  yeah, yeah, no, it's fine, it's fine, it's fine, it's fine, it's fine.
[12:10.970 --> 12:11.890]  Cut some of these other games.
[12:12.670 --> 12:13.870]  I run a slow-mo channel.
[12:17.030 --> 12:18.210]  Is this Australia?
[12:23.410 --> 12:23.550]  What?
[12:32.960 --> 12:34.820]  Ooh, oh my Morgz, thanks for the subs.
[12:35.180 --> 12:35.640]  Oh my.
[12:35.680 --> 12:36.100]  Thank you.
[12:36.160 --> 12:37.340]  Oh my, oh my.
[12:38.140 --> 12:39.260]  Oh my.
[12:39.260 --> 12:42.340]  Happy affiliate anniversary. Is that us? Is this our affiliate anniversary? Hell yeah.
[12:43.480 --> 12:44.040]  Cool.
[12:45.420 --> 12:46.620]  Use the emotes.
[12:58.880 --> 13:00.000]  Oh shit.
[13:01.180 --> 13:02.540]  They're in the same fraternity.
[13:03.120 --> 13:03.340]  Yeah.
[13:03.540 --> 13:04.500]  They're both Scientologists.
[13:04.860 --> 13:07.380]  Like the worst skull and bones shit you've ever seen.
[13:08.420 --> 13:10.740]  He's like, you and Kappa Phappa too?
[13:12.300 --> 13:13.380]  Kappa Phappa.
[13:13.380 --> 13:15.520]  I'm waiting for the remaster of Kappa Phappa too.
[13:20.110 --> 13:21.110]  What's going on?
[13:21.730 --> 13:22.750]  He remembers now?
[13:23.770 --> 13:27.750]  What's going on is the subtitle of every Kojima game.
[13:28.070 --> 13:28.450]  Yeah.
[13:29.850 --> 13:34.330]  That's very important for people who are really into this type of game.
[13:34.410 --> 13:35.150]  And that's great.
[13:37.900 --> 13:43.710]  I unfortunately am very excited to play Metal Gear Delta or whatever, the 3 remake from Konami.
[13:43.710 --> 13:44.470]  Oh dude, hell yeah.
[13:44.470 --> 13:46.570]  It sucks, but it's going to be so good.
[13:47.710 --> 13:53.570]  I don't know, playing these two guys in an office having a therapy session seems pretty cool.
[13:53.850 --> 13:56.730]  Playing these two guys in an office.
[13:59.030 --> 14:00.010]  Oh man.
[14:04.890 --> 14:07.210]  I'm going to have to hear about this from Rocko like crazy.
[14:08.590 --> 14:09.290]  Oh, is he a big fan?
[14:09.610 --> 14:10.150]  God, yeah.
[14:22.510 --> 14:25.550]  Happy Pride Month to you too, Noah Gray.
[14:25.890 --> 14:26.450]  Nova Gray.
[14:31.150 --> 14:32.170]  Hell yeah.
[14:36.210 --> 14:37.170]  Top that.
[14:45.410 --> 14:47.670]  We can't fast forward, Wyclen, this is live.
[15:05.690 --> 15:06.810]  Where's Geoff Keighley from?
[15:08.590 --> 15:09.410]  I think he's Canadian.
[15:09.910 --> 15:10.450]  Is he Canadian?
[15:10.690 --> 15:11.210]  I think so.
[15:11.210 --> 15:14.210]  The way he keeps saying tomorrow is...
[15:15.430 --> 15:17.610]  Any opportunity for Andrew to claim someone.
[15:17.770 --> 15:18.970]  Yeah, pretty much.
[15:21.030 --> 15:24.190]  Andrew, do you say adults or adults?
[15:25.170 --> 15:27.530]  Oh my god, he's Canadian, you're right.
[15:28.710 --> 15:30.130]  Do you say adult?
[15:30.450 --> 15:31.410]  I think so.
[15:32.290 --> 15:33.670]  He grew up in Toronto.
[15:34.230 --> 15:38.730]  Yeah, I think it's... you get more east. That's where the accent really starts kicking.
[15:40.030 --> 15:41.890]  Where is this occurring?
[15:42.670 --> 15:44.210]  I would imagine San Francisco.
[15:50.750 --> 15:51.910]  She's from that thing.
[15:53.750 --> 15:54.190]  GameSpot?
[15:55.390 --> 15:55.550]  Yeah.
[16:00.950 --> 16:03.210]  It's so cool. Video game journalism is awesome.
[16:04.110 --> 16:08.150]  You just kind of do it until they put you on something else and then you don't have to do it anymore.
[16:08.150 --> 16:08.890]  It's awesome.
[16:08.930 --> 16:10.030]  It's just a stepping stone.
[16:12.130 --> 16:19.370]  Hello Summer Games Fest is so much better than I watch Netflix's To Doom and them constantly saying hello to doom.
[16:26.190 --> 16:28.530]  Is he going to do an interesting accent?
[16:30.510 --> 16:30.950]  Yep.
[16:32.870 --> 16:33.150]  Wizard.
[16:43.560 --> 16:45.220]  Is this Tom Hardy?
[16:45.660 --> 16:46.380]  Is he the knight?
[16:47.280 --> 16:48.680]  No, he's just the narrator.
[16:48.980 --> 16:50.140]  He was the tree, I think.
[16:50.620 --> 16:51.380]  Yeah, he's the tree.
[16:51.480 --> 16:52.700]  He was supposed to be Sam Fisher.
[16:54.720 --> 16:55.400]  Is he really?
[16:55.740 --> 16:56.380]  Is that right?
[16:56.880 --> 17:03.160]  They announced a Tom Hardy-led Sam Fisher movie in 2015 that got cancelled in 2021.
[17:09.060 --> 17:12.240]  People always drop into their knees when they're watching their house burn.
[17:14.500 --> 17:16.400]  What are you supposed to do? Sit down?
[17:17.160 --> 17:18.320]  I mean, I get it.
[17:18.340 --> 17:20.080]  All your chairs are on fire.
[17:20.620 --> 17:22.400]  My wife did that when I broke her old car.
[17:23.400 --> 17:25.720]  Your wife did that when you broke her car?
[17:26.140 --> 17:29.580]  Yeah, remember when I drove into it with the U-Haul? The giant U-Haul?
[17:30.620 --> 17:32.980]  And she dropped to her knees in the Costco parking lot?
[17:33.000 --> 17:33.440]  Yeah, she was like, no!
[17:39.290 --> 17:40.150]  For Honor 2.
[17:44.640 --> 17:46.980]  Boy, this looks like it's going to be complicated.
[17:48.200 --> 17:52.320]  See, I look at this and go, oh, this is just Dynasty Warriors in a different setting.
[17:52.900 --> 18:00.000]  But, like, I want it to be Dynasty Warriors where I'm the guy and everyone, like, I go insane on everyone.
[18:00.240 --> 18:02.600]  But I have a feeling it's like, you still have to control your army.
[18:03.400 --> 18:04.400]  It's like, I don't want to do that.
[18:04.600 --> 18:05.260]  I just want to be a guy.
[18:05.740 --> 18:06.980]  I want every game to be Doom.
[18:07.880 --> 18:10.420]  And what plans do you guys have for the weekend?
[18:10.520 --> 18:12.060]  Mark the Frog's getting Mexican food.
[18:12.060 --> 18:16.640]  I love Mark the Frog so much.
[18:17.240 --> 18:21.500]  He's going to Repticon in Tampa and getting Mexican food.
[18:24.980 --> 18:27.580]  Is Repticon a reptile convention?
[18:28.160 --> 18:29.020]  I would assume so.
[18:31.400 --> 18:34.040]  God, I love this guy so much.
[18:34.160 --> 18:36.260]  And he only does it text-to-speech.
[18:36.700 --> 18:37.920]  He talks into his phone.
[18:38.140 --> 18:38.260]  I know.
[18:38.260 --> 18:39.000]  Everything that you read.
[18:39.020 --> 18:39.740]  Look, Nick!
[18:39.760 --> 18:40.660]  He's fishing right now.
[18:41.460 --> 18:42.700]  You were right!
[18:44.140 --> 18:45.500]  These are really well-liked games.
[18:48.730 --> 18:50.170]  Is that kind of a skateboard?
[18:52.230 --> 18:53.870]  If it's got wheels, he'll race it.
[18:54.670 --> 19:00.470]  This is a pretty cool game to announce right when Mario Kart comes out.
[19:01.030 --> 19:03.210]  We'll probably play this instead of Mario Kart.
[19:04.090 --> 19:05.550]  Andrew won't let us play Mario Kart.
[19:06.030 --> 19:07.290]  Who the hell is that?
[19:07.510 --> 19:10.050]  Green Hedgehog. That's actually my Hedgehog.
[19:10.170 --> 19:11.010]  Oh, fuck yeah.
[19:12.110 --> 19:13.970]  Do we need all these Hedgehogs?
[19:14.030 --> 19:15.110]  I guess we do for the roster.
[19:15.210 --> 19:15.770]  Oh, hey!
[19:17.650 --> 19:18.650]  That's wild.
[19:19.330 --> 19:21.790]  If you don't have a healthy population, they'll go extinct.
[19:22.170 --> 19:22.730]  What?
[19:23.650 --> 19:24.530]  Hell yeah!
[19:24.850 --> 19:26.250]  Are you...?
[19:26.250 --> 19:29.850]  Was that the dude from that game I played?
[19:30.270 --> 19:30.710]  Yakuza.
[19:31.350 --> 19:32.470]  Yeah, Yakuza.
[19:33.450 --> 19:36.350]  They're really doing Mario Kart with Sonic.
[19:36.870 --> 19:38.750]  It's like a Sega Sonic thing.
[19:39.290 --> 19:41.050]  Didn't they do that with Dreamcast before?
[19:41.050 --> 19:42.250]  I don't know.
[19:42.350 --> 19:43.390]  I don't remember.
[19:43.870 --> 19:45.330]  Hey, it's Amy! Everybody's favorite.
[19:48.440 --> 19:50.860]  Do they have Vector in this? Is Vector in this?
[19:51.360 --> 19:53.520]  Is Charmy the bee in this?
[19:54.120 --> 19:55.320]  Crossworlds. Very cool.
[19:56.760 --> 19:59.440]  Coming in September, but that is not all.
[20:00.060 --> 20:05.560]  We'd like to introduce the man behind the creation of everyone's favorite blue Hedgehog, Takashi Iizuka.
[20:06.080 --> 20:08.440]  Oh. It should have just been Sonic the Hedgehog.
[20:08.840 --> 20:09.440]  Thank you, Dave.
[20:10.160 --> 20:11.120]  James Marsden?
[20:11.120 --> 20:15.380]  I would love this dude to be like, well, it's been a rough few years for Sonic.
[20:17.460 --> 20:20.680]  Can you believe we keep getting Jim Carrey to come back?
[20:21.120 --> 20:22.180]  Fucking crazy.
[20:23.400 --> 20:25.460]  The best news about Sonic was the movies.
[20:26.000 --> 20:27.700]  Oh, they should just put Jim Carrey in this game.
[20:27.920 --> 20:30.080]  Not even as a character, just Jim Carrey.
[20:32.620 --> 20:37.980]  Okay, he's making fun of Mario, taking shots.
