[00:00.700 --> 00:01.660]  Tombstone Tally.
[02:06.400 --> 02:08.360]  Whack the fuck out of this groundskeeper.
[02:08.560 --> 02:09.580]  How did you get a shovel?
[02:10.180 --> 02:10.900]  You can't just.
[02:11.140 --> 02:12.440]  I know. No, no, no.
[02:13.320 --> 02:15.380]  What's funny is the first time I swung at you, Eric,
[02:15.440 --> 02:18.680]  the groundskeeper swung at me and he saved your life like frame perfectly.
[02:19.340 --> 02:20.280]  Oh, my God.
[02:20.540 --> 02:21.840]  Their last words were this sucks.
[02:22.340 --> 02:24.080]  Oh, falling piano. Did I have that?
[02:25.880 --> 02:27.140]  We're getting out of here.
[02:27.180 --> 02:28.300]  Get away from me.
[02:28.460 --> 02:28.880]  No.
[02:36.230 --> 02:40.310]  Let's play tennis with Eric.
[02:41.970 --> 02:43.450]  I'm trying to win bingo.
[02:43.630 --> 02:44.590]  Stay away from me.
[02:44.630 --> 02:46.570]  Oh shit, it's the groundskeeper.
[02:47.070 --> 02:49.690]  So one of the options I saw was
[02:50.850 --> 02:53.290]  shovels are infinite, so you never have to find another one.
[02:53.530 --> 02:54.010]  We can just keep.
[02:54.530 --> 02:56.050]  Oh, there's one over here.
[02:56.050 --> 02:59.350]  That is a dying, trying to high five on a jet ski.
[02:59.830 --> 03:01.970]  Slipped while shaving in the yard.
[03:04.710 --> 03:06.730]  Dude, this game is awesome.
[03:06.970 --> 03:09.770]  Fell off a stack of standing desks to there.
[03:11.010 --> 03:12.610]  Did you all see this one?
[03:12.810 --> 03:16.250]  Good. Was was strangled by a supposed friend.
[03:16.670 --> 03:18.370]  This is so cool again.
[03:19.410 --> 03:20.490]  You'll never get me, son.
[03:22.150 --> 03:23.490]  I'm going to hide behind this man.
[03:23.930 --> 03:24.890]  Sounds good. Oh, God.
[03:27.270 --> 03:28.870]  How do I hold up a red rag?
[03:31.370 --> 03:32.730]  How am I not find it?
[03:33.390 --> 03:36.750]  Oh, yeah, I'm swinging on this one.
[03:36.870 --> 03:38.110]  Ain't too many hot dogs.
[03:39.510 --> 03:41.690]  Pulled a perfect heist hit by the getaway car.
[03:42.790 --> 03:45.510]  Oh, I got one. I got one.
[03:45.890 --> 03:46.850]  What'd you get? Yeah.
[03:47.370 --> 03:49.550]  A rip. Oh, nice.
[03:52.330 --> 03:56.390]  Hey, Eric, built and built and killed by their time machine.
[03:56.450 --> 03:59.650]  That invented it.
[03:59.670 --> 04:01.050]  It's coming for us.
[04:02.910 --> 04:05.210]  The grasskeeper just whacked him.
[04:05.750 --> 04:11.290]  This this is so you have to like be so fast and like, OK, look at these things.
[04:11.290 --> 04:12.850]  Oh, is that on my list? Oh, this is so great.
[04:13.210 --> 04:15.570]  Yeah, I'm really struggling to take in what's on my card.
[04:15.990 --> 04:18.070]  Poisoned by a bad pastrami sandwich.
[04:18.530 --> 04:19.210]  Oh, that's great.
[04:19.750 --> 04:20.970]  Geoff, look out behind you.
[04:21.010 --> 04:21.750]  Oh, shit.
[04:22.590 --> 04:23.590]  Oh, that was good.
[04:24.010 --> 04:26.230]  You said Geoff, but I didn't move.
[04:30.270 --> 04:31.910]  Can you hit the groundskeeper back?
[04:32.950 --> 04:33.570]  I don't know.
[04:33.850 --> 04:35.410]  Ah, he's on me.
[04:36.410 --> 04:37.210]  Oh, I hit him.
[04:37.530 --> 04:38.630]  No, I defended myself.
[04:38.950 --> 04:40.550]  I got another one. I got another one.
[04:43.230 --> 04:46.210]  I kind of wish I could keep my thing open and walk.
[04:46.530 --> 04:48.170]  I know, makes it a little more complicated.
[04:48.790 --> 04:50.710]  Caught fire on the dance floor.
[04:51.410 --> 04:51.950]  Helen died.
[04:52.670 --> 04:55.190]  Died fighting, born before sliced bread.
[04:57.550 --> 04:59.210]  Where are you guys?
[04:59.370 --> 05:01.170]  I'm still in like this first graveyard.
[05:03.190 --> 05:05.490]  Flipped one too many coins and lost.
[05:05.870 --> 05:06.350]  Oh, my God.
[05:06.910 --> 05:08.490]  Attacked by a swan.
[05:10.730 --> 05:14.050]  Suffered root, suffered too many root canals and kicked the bucket.
[05:16.590 --> 05:18.270]  Oh, God damn it.
[05:18.270 --> 05:19.230]  Me grave.
[05:19.550 --> 05:20.850]  Just got rattled.
[05:22.350 --> 05:23.230]  What's up, Gavin?
[05:23.570 --> 05:24.450]  How many have you found, Gavin?
[05:24.830 --> 05:26.090]  This person's alive still?
[05:26.350 --> 05:26.970]  Found two.
[05:27.310 --> 05:28.830]  Oh, faked their own death.
[05:30.570 --> 05:32.090]  It just says, till present.
[05:32.970 --> 05:34.030]  I haven't found any yet.
[05:34.890 --> 05:37.610]  I'm also, it's hard to pay attention.
[05:38.250 --> 05:40.210]  Who the fuck is hitting me?
[05:40.470 --> 05:42.030]  Oh, it's Eric, you piece of shit.
[05:42.390 --> 05:42.910]  Ow!
[05:44.170 --> 05:44.610]  Jesus.
[05:45.590 --> 05:47.150]  I just keep whacking Andrew.
[05:48.830 --> 05:49.870]  Yeah, I got three.
[05:49.890 --> 05:50.430]  Dude, there's too many.
[05:51.830 --> 05:55.170]  I keep, I fucking found so many that aren't me.
[05:55.270 --> 05:56.270]  I hit the groundskeeper.
[05:56.890 --> 05:57.490]  Fuck you.
[05:57.550 --> 05:58.090]  No, Andrew.
[06:01.290 --> 06:05.170]  It's so funny to be looking at a grave and to see someone sailing through the air in the background.
[06:07.590 --> 06:09.670]  Man, where are all my deads?
[06:10.690 --> 06:12.010]  Oh, oh, oh.
[06:12.790 --> 06:14.110]  That's one? Oh, shit.
[06:14.670 --> 06:15.350]  I got it!
[06:15.690 --> 06:16.770]  Oh, Eric, hold up your card again.
[06:17.490 --> 06:20.270]  Wow, I can see your card, that's so good.
[06:20.550 --> 06:21.790]  Damn, that's cool.
[06:22.090 --> 06:22.830]  You got loads.
[06:23.810 --> 06:24.710]  I'm finding them.
[06:25.830 --> 06:27.310]  Oh, man, they're all over the woods, though.
[06:28.730 --> 06:29.330]  Uh-oh.
[06:30.030 --> 06:31.090]  I did see that one somewhere.
[06:33.070 --> 06:33.450]  Hey.
[06:35.070 --> 06:36.390]  You don't have a shovel, do you?
[06:36.770 --> 06:37.310]  What's going on?
[06:38.890 --> 06:40.170]  You can take it out.
[06:42.130 --> 06:44.230]  Dude, this game's not bad.
[06:44.230 --> 06:44.770]  Oh, Gavin, look!
[06:45.230 --> 06:45.810]  This is fantastic.
[06:46.630 --> 06:47.890]  This is really cool.
[06:49.350 --> 06:51.090]  I'm trying to read, dude!
[06:51.650 --> 06:53.650]  Where are these other gravestones, man?
[06:53.870 --> 06:54.790]  No, no, no!
[06:55.390 --> 06:55.610]  No!
[06:56.110 --> 06:56.990]  Oh, what's over here?
[06:59.650 --> 07:00.510]  Can't fire.
[07:04.340 --> 07:04.840]  Oh, shit.
[07:05.240 --> 07:07.180]  The AI of this groundskeeper is pretty advanced.
[07:07.360 --> 07:09.280]  He just hopped a stone.
[07:10.260 --> 07:11.020]  He stone-hopped?
[07:11.740 --> 07:12.220]  Yeah.
[07:13.180 --> 07:14.740]  Gotta watch out for stone-hoppers.
[07:16.960 --> 07:18.640]  Oh, I heard you fucking swing!
[07:19.020 --> 07:19.880]  I heard a swing!
[07:22.420 --> 07:24.300]  Oh, shit, he got me on the backswing.
[07:25.100 --> 07:25.840]  Oh, balls.
[07:27.080 --> 07:30.040]  Beaten by the British Jackal with a cricket bat.
[07:34.540 --> 07:38.500]  How did you do that?
[07:39.400 --> 07:40.060]  Hop up here?
[07:40.900 --> 07:41.080]  Yeah.
[07:41.080 --> 07:41.620]  Parkour?
[07:44.080 --> 07:44.500]  Parkour?
[07:46.220 --> 07:47.320]  Okay, where's all the good
[07:49.200 --> 07:50.280]  frickin' tombstones?
[07:50.780 --> 07:51.940]  The good ones?
[07:52.240 --> 07:53.680]  I'm having so much trouble finding any.
[07:53.780 --> 07:54.760]  Oh, shit. Okay.
[07:59.360 --> 08:00.320]  I'll get you right back, son.
[08:00.600 --> 08:01.640]  How about just died enough?
[08:01.940 --> 08:03.860]  How about just died enough?
[08:04.700 --> 08:04.880]  What?
[08:05.760 --> 08:06.300]  Gavin!
[08:13.050 --> 08:14.950]  Alright, how about this? I'll jump into you
[08:14.950 --> 08:16.590]  and you hit me like I'm a bull.
[08:17.070 --> 08:18.130]  Alright, here we go. Ready?
[08:26.520 --> 08:28.720]  How many groundskeepers are there? Just the one?
[08:29.040 --> 08:30.900]  I think it's just the one, but he follows us.
[08:30.940 --> 08:32.780]  Is it? How am I getting hit so much?
[08:34.240 --> 08:35.240]  He's good at finding you.
[08:35.900 --> 08:37.140]  I didn't even see where you went, Nick.
[08:38.360 --> 08:40.700]  I landed over by these, uh...
[08:40.700 --> 08:41.320]  Oh, rip.
[08:43.680 --> 08:46.800]  Is it like, he's programmed it so that if I join
[08:46.800 --> 08:48.680]  none of my shit is on a tombstone?
[08:49.580 --> 08:51.140]  Andrew's one square away.
[08:51.200 --> 08:52.720]  Guys, Andrew's about to win.
[08:52.860 --> 08:54.480]  Eric has had it for longer.
[08:54.920 --> 08:56.360]  I haven't found one yet.
[08:56.360 --> 08:56.900]  What does that matter?
[08:58.580 --> 09:02.020]  No, there's more than one groundskeeper.
[09:03.200 --> 09:04.580]  Oh, he's not invincible.
[09:06.320 --> 09:07.320]  You killed him?
[09:07.620 --> 09:08.140]  I hit him.
[09:08.300 --> 09:09.860]  Yeah, I knocked the shit out of him a few times.
[09:10.340 --> 09:12.180]  He shakes it off.
[09:12.980 --> 09:13.140]  Yeah.
[09:13.880 --> 09:15.280]  Momentary time to anvil.
[09:15.520 --> 09:16.260]  Death by lava.
[09:16.920 --> 09:17.320]  Ligma.
[09:18.920 --> 09:19.860]  Ligma ball!
[09:20.180 --> 09:22.360]  Died in a shootout with the boys of Dumpty.
[09:24.580 --> 09:26.580]  That jacket was to die for.
[09:27.900 --> 09:28.940]  This is...
[09:28.940 --> 09:30.800]  This has got some lore in it.
[09:31.240 --> 09:31.760]  Yeah!
[09:33.320 --> 09:33.840]  Shit!
[09:34.180 --> 09:34.680]  Bingo!
[09:37.040 --> 09:39.420]  I want to know, I want to see how many of the ones...
[09:39.420 --> 09:39.820]  Oh, damn it!
[09:39.820 --> 09:41.600]  Look at that, I didn't see anything.
[09:41.880 --> 09:44.420]  How did you not see anything? They're all over the place.
[09:44.600 --> 09:45.000]  I don't know.
[09:45.120 --> 09:48.400]  I don't see any of mine circled on anybody else's.
[09:48.720 --> 09:49.420]  Let me see.
[09:49.460 --> 09:51.540]  I'm looking at Gavin's.
[09:52.280 --> 09:52.660]  Poisoned.
[09:52.740 --> 09:54.040]  Died fighting.
[09:56.060 --> 09:57.220]  Death by choking.
[09:59.500 --> 10:00.740]  Candles on the grave.
[10:01.120 --> 10:02.540]  There were definitely candles on graves.
[10:03.560 --> 10:04.520]  Died laughing.
[10:04.520 --> 10:06.800]  Could have seen Star Wars in the theater
[10:06.800 --> 10:08.660]  as people that were alive in the 70s
[10:08.660 --> 10:09.900]  through the 90s.
[10:11.100 --> 10:12.500]  Crushed by an object.
[10:13.620 --> 10:14.460]  Name alliteration
[10:14.460 --> 10:15.680]  is just two letters.
[10:16.660 --> 10:18.980]  Killed by a friend, there were so many of those.
[10:19.240 --> 10:20.940]  Has a quote, there are a bunch of those.
[10:22.300 --> 10:23.580]  Alright, I know how to play now.
[10:24.460 --> 10:25.800]  I know how to play now.
[10:28.500 --> 10:30.420]  Do you want to turn on infinite shovels?
[10:31.120 --> 10:32.080]  No, I don't want...
[10:32.080 --> 10:33.860]  No, no, no, don't do infinite shovels.
[10:34.020 --> 10:35.160]  It's going to be bad.
[10:35.720 --> 10:36.080]  Yeah.
[10:37.260 --> 10:40.480]  Oh boy, that's going to be fucking crazy.
[10:40.900 --> 10:41.900]  This is going to be nuts.
[10:43.020 --> 10:44.280]  This is going to be nuts.
[10:45.040 --> 10:46.080]  Do you guys know how to play now?
[10:46.600 --> 10:46.820]  Yes.
[10:47.700 --> 10:49.440]  I just kept looking at the cause of death
[10:49.440 --> 10:51.000]  and trying to see stuff on my...
[10:51.000 --> 10:51.460]  Yeah, same.
[10:53.580 --> 10:55.580]  I also don't know when Star Wars came out.
[10:55.580 --> 10:57.580]  Uh-oh.
[11:00.140 --> 11:01.020]  Uh-oh.
[11:04.020 --> 11:05.440]  You guys saying I couldn't find a single one
[11:05.440 --> 11:07.000]  is just like, what are you talking about?
[11:08.480 --> 11:09.360]  Uh, yeah.
[11:10.420 --> 11:10.780]  No!
[11:13.100 --> 11:13.540]  What?
[11:16.540 --> 11:17.640]  Get the fuck out of here.
[11:17.820 --> 11:18.720]  No, you ain't...
[11:18.720 --> 11:19.040]  No!
[11:20.700 --> 11:21.220]  No!
[11:23.380 --> 11:23.900]  No!
[11:23.900 --> 11:25.440]  Oh, I got an achievement for that.
[11:26.300 --> 11:26.820]  Ooh.
[11:28.760 --> 11:30.280]  I was expecting it to say
[11:30.280 --> 11:32.440]  could have seen Star Wars on the tombstone.
[11:37.720 --> 11:38.240]  Motherfucker.
[11:41.530 --> 11:42.490]  I got one.
[11:50.880 --> 11:52.520]  Hit by a soapbox car.
[12:10.200 --> 12:11.780]  See you later, man.
[12:20.430 --> 12:27.370]  Ah, bitch.
[12:29.640 --> 12:30.450]  Ah, bitch.
[12:31.910 --> 12:32.950]  I'm in trouble.
[12:34.410 --> 12:35.630]  Oh, you hit me too far now.
[12:36.430 --> 12:37.130]  Oh, you're screwed.
[12:39.150 --> 12:40.930]  We hit each other.
[12:41.010 --> 12:43.150]  We hit each other so hard.
[12:44.730 --> 12:45.670]  Oh, man.
[12:48.790 --> 12:49.730]  How's everybody doing?
[12:50.050 --> 12:50.390]  Baited.
[12:50.550 --> 12:51.330]  I got three of them.
[12:51.390 --> 12:51.810]  I'm doing great.
[12:59.500 --> 13:01.140]  Did you just cross one off?
[13:01.540 --> 13:01.700]  Yep.
[13:02.960 --> 13:05.100]  How is Nick going to run away?
[13:05.560 --> 13:07.560]  Because he hasn't been fucking around with the shovels.
[13:08.360 --> 13:09.580]  What? What are you talking about?
[13:09.760 --> 13:10.760]  Alright, let's go find Nick.
[13:11.100 --> 13:11.500]  Where is he?
[13:13.040 --> 13:14.360]  Nick's about to get jumped.
[13:15.740 --> 13:17.640]  You'll never find me.
[13:18.880 --> 13:19.980]  I found him.
[13:21.820 --> 13:22.980]  What's up?
[13:22.980 --> 13:24.440]  He doesn't even have a shovel.
[13:25.220 --> 13:26.460]  I told you.
[13:27.180 --> 13:27.900]  I'm trying.
[13:28.500 --> 13:30.920]  Oh, my God.
[13:31.200 --> 13:32.480]  I just saw him fly.
[13:33.780 --> 13:34.220]  Get up.
[13:34.660 --> 13:35.180]  No.
[13:36.220 --> 13:37.860]  Oh, Geoffy.
[13:39.450 --> 13:40.820]  Don't touch me, Gavin.
[13:42.240 --> 13:43.280]  Oh, no.
[13:44.420 --> 13:45.460]  Where's Geoff?
[13:45.460 --> 13:47.500]  He's right here.
[13:47.560 --> 13:48.480]  Where's here?
[13:50.020 --> 13:51.000]  Got him.
[13:51.400 --> 13:52.820]  You've helped me. Thank you.
[13:52.840 --> 13:54.620]  No. I helped him.
[13:54.900 --> 13:56.240]  He's on the other side of the wall.
[13:59.640 --> 14:00.240]  No.
[14:01.700 --> 14:02.300]  No.
[14:02.900 --> 14:04.800]  I'm trying to win. Stop.
[14:05.140 --> 14:05.720]  I'm trying to win.
[14:06.160 --> 14:09.360]  I want to win the game.
[14:10.500 --> 14:11.280]  Groundskeeper got me.
[14:12.260 --> 14:12.680]  No.
[14:12.680 --> 14:14.120]  I'm still trying to win.
[14:15.040 --> 14:16.680]  You're affecting my ability
[14:16.680 --> 14:17.240]  to win.
[14:19.540 --> 14:20.280]  Negatively.
[14:21.300 --> 14:22.820]  This is affecting me negatively.
[14:23.800 --> 14:24.720]  I'm feeling
[14:24.720 --> 14:25.560]  very bullied.
[14:27.280 --> 14:27.840]  Oh.
[14:31.800 --> 14:32.540]  Graves.
[14:32.820 --> 14:33.160]  Baited.
[14:35.480 --> 14:36.220]  Anderson.
[14:37.860 --> 14:38.600]  Henson.
[14:39.540 --> 14:40.080]  Doyle.
[14:40.900 --> 14:42.500]  Fletcher. I need a job.
[14:42.500 --> 14:43.520]  My last name.
[14:44.700 --> 14:46.940]  I'm all in on shovels.
[14:46.940 --> 14:47.280]  Cooper.
[14:48.300 --> 14:48.680]  Morse.
[14:50.180 --> 14:50.480]  Argh.
[14:52.580 --> 14:53.960]  Oh, my God.
[14:54.340 --> 14:55.300]  I'm getting...
[14:55.300 --> 14:57.860]  He just two-ferred us.
[14:59.600 --> 15:00.220]  Oh, man.
[15:00.240 --> 15:02.000]  This shit got real, real fast.
[15:08.390 --> 15:09.150]  Collier.
[15:09.590 --> 15:11.830]  Merritt. Mann. Clark.
[15:12.650 --> 15:13.130]  Waller.
[15:13.410 --> 15:13.890]  Argh.
[15:16.710 --> 15:17.850]  He followed me.
[15:18.230 --> 15:19.790]  This motherfucker followed me.
[15:20.670 --> 15:21.690]  It's like postal 2.
[15:24.290 --> 15:25.270]  Gardner. Oh, Gardner.
[15:26.390 --> 15:27.130]  This is it. This is it.
[15:27.510 --> 15:27.970]  Yes.
[15:29.810 --> 15:32.050]  No. One more game.
[15:32.190 --> 15:33.750]  One more game right now.
[15:33.770 --> 15:34.990]  We got it. Now, here's the thing.
[15:35.370 --> 15:36.570]  We got to play Blackout.
[15:37.090 --> 15:38.070]  Let's play Blackout.
[15:38.070 --> 15:40.350]  We have to play Blackout.
[15:41.410 --> 15:43.970]  I don't know about...
[15:43.970 --> 15:46.390]  Oh, boy. Are we doing infinite shovels and Blackout?
[15:46.590 --> 15:46.870]  Yes.
[15:48.250 --> 15:49.910]  Graveyard Knight? Awesome.
[15:51.170 --> 15:52.670]  Oh, it's so dark.
[15:56.610 --> 15:58.370]  There might be a ghost
[15:58.370 --> 15:59.230]  with a shovel.
[16:02.030 --> 16:04.030]  This is... What a cool game.
[16:04.430 --> 16:08.050]  What a really fun game.
[16:08.550 --> 16:10.270]  This game would be perfect if they just...
[16:10.270 --> 16:10.490]  Argh.
[16:10.730 --> 16:13.830]  What a cool game.
[16:14.050 --> 16:15.270]  He's on me.
[16:17.310 --> 16:17.670]  No.
[16:18.590 --> 16:18.950]  No.
[16:20.870 --> 16:22.650]  I was on a jump, too.
[16:22.870 --> 16:23.510]  Oh, my God.
[16:23.990 --> 16:24.930]  Andrew, did you get one off the...
[16:24.930 --> 16:26.230]  What was that?
[16:31.030 --> 16:32.610]  I heard you swing, but I got it.
[16:32.710 --> 16:33.970]  I got it before you could get me.
[16:34.790 --> 16:35.150]  No.
[16:37.310 --> 16:38.330]  You know what? I got it, too.
[16:39.190 --> 16:39.810]  That's fine.
[16:40.110 --> 16:40.930]  Get me away from there.
[16:44.810 --> 16:46.530]  I just need to concentrate
[16:46.530 --> 16:47.350]  on my sheet.
[16:48.070 --> 16:49.410]  We all have to.
[16:50.790 --> 16:52.390]  Fell, fell, fell, fell.
[16:52.710 --> 16:53.590]  Fell, fell, fell, fell.
[16:55.530 --> 16:57.170]  Choked on a pencil.
[17:00.410 --> 17:01.210]  It's pretty good.
[17:01.690 --> 17:02.710]  Time machine.
[17:03.690 --> 17:05.410]  You could argue that that was a friend.
[17:06.310 --> 17:07.110]  You could...
[17:07.110 --> 17:08.570]  Okay, go ahead and argue with the game.
[17:10.010 --> 17:11.650]  You piece of shit, Nick.
[17:11.830 --> 17:13.070]  Just leave me alone.
[17:13.770 --> 17:14.850]  Well, you came near me.
[17:15.070 --> 17:15.830]  I was threatened.
[17:17.130 --> 17:18.350]  I don't even have a shovel.
[17:19.370 --> 17:20.750]  I was like a curled up snake.
[17:21.010 --> 17:23.310]  It just sounds like there's a clock going off constantly.
[17:24.370 --> 17:24.770]  Bong.
[17:32.780 --> 17:33.900]  Last name is a job
[17:33.900 --> 17:34.620]  is such a good one.
[17:35.300 --> 17:36.780]  It's great. That's how I won last time.
[17:36.780 --> 17:37.980]  Oh.
[17:38.760 --> 17:40.320]  Just running from grave to grave.
[17:40.820 --> 17:41.160]  Reading.
[17:42.340 --> 17:44.960]  Every day, probably.
[17:49.520 --> 17:55.100]  Oh, that's bullshit.
[17:55.700 --> 17:56.740]  That is absolute
[17:56.740 --> 17:57.240]  bullshit.
[17:58.120 --> 18:00.300]  I got told no
[18:00.300 --> 18:02.540]  for hit by an Olympic javelin
[18:02.540 --> 18:04.040]  for death by sports equipment.
[18:04.860 --> 18:06.100]  Ooh, that's tough.
[18:06.160 --> 18:07.980]  Oh, that's equipment.
[18:10.760 --> 18:12.500]  Death by network executives.
[18:15.120 --> 18:16.240]  Oh, can that be animals?
[18:16.420 --> 18:17.080]  That's rooster teeth.
[18:17.620 --> 18:19.740]  Oh, guys.
[18:19.920 --> 18:22.300]  That doesn't count by death by animal.
[18:23.140 --> 18:27.410]  Sorry, Geoff.
[18:27.510 --> 18:29.030]  You were about to get hit by the groundskeeper.
[18:29.290 --> 18:30.310]  Oh, I appreciate it, man.
[18:36.120 --> 18:36.540]  Oops.
[18:39.540 --> 18:41.340]  I know Andrew is locked in
[18:41.340 --> 18:42.880]  because he's not saying shit.
[18:42.900 --> 18:44.880]  I'm just looking. I'm reading.
[18:45.180 --> 18:46.860]  Yeah, yeah, he's still locked in.
[18:47.180 --> 18:48.920]  Oh, fuck. The microwave mafia?
[18:49.880 --> 18:50.780]  Oh, boy.
[18:51.520 --> 18:52.120]  Okay.
[18:53.760 --> 18:54.020]  Shit.
[18:55.160 --> 18:56.460]  Oh, there's a map.
[18:58.000 --> 18:58.800]  Is there?
[18:59.560 --> 19:00.040]  No.
[19:00.520 --> 19:01.180]  What button is that?
[19:01.720 --> 19:02.320]  Escape.
[19:04.460 --> 19:05.980]  What button is that on the controller?
[19:06.920 --> 19:08.280]  You're playing on a controller.
[19:08.800 --> 19:09.540]  Are you not?
[19:10.140 --> 19:10.460]  No.
[19:10.660 --> 19:11.580]  That's crazy.
[19:17.410 --> 19:18.530]  Maybe back?
[19:20.250 --> 19:22.490]  Oh, it's just start.
[19:26.320 --> 19:27.760]  Oh, we can see where everyone is.
[19:27.800 --> 19:28.320]  That's cool.
[19:29.360 --> 19:30.240]  Get out of here.
[19:31.860 --> 19:34.000]  Oh, I just sent a groundskeeper to his address.
[19:34.380 --> 19:37.100]  No, I just knocked him away from me.
[19:38.300 --> 19:39.300]  Not well enough.
[19:42.880 --> 19:43.980]  Animal, animal, animal.
[19:44.220 --> 19:47.220]  Are we going for blackout in this one?
[19:47.360 --> 19:48.020]  Yeah, it's blackout.
[19:53.640 --> 19:54.440]  Goddamn you.
[19:57.880 --> 19:59.040]  Alright, is this a crime?
[20:01.820 --> 20:02.700]  Shootout is not a crime.
[20:03.640 --> 20:04.380]  I love, dude.
[20:05.460 --> 20:07.160]  Their last words, this sucks,
[20:07.340 --> 20:08.320]  is fucking awesome.
[20:08.680 --> 20:10.440]  This game is so cool. This is really fun.
[20:11.400 --> 20:11.940]  Don't!
[20:13.440 --> 20:14.700]  They're really deep on the lore here.
[20:14.900 --> 20:16.580]  Big time lore game.
[20:17.520 --> 20:18.960]  Disconnected from server.
[20:19.360 --> 20:19.940]  Oh no!
[20:21.500 --> 20:22.580]  You lose.
[20:22.780 --> 20:24.540]  That's so sad that you lost.
[20:30.960 --> 20:33.000]  Do you think you can rejoin?
[20:33.740 --> 20:34.320]  I'm going to try.
[20:36.180 --> 20:37.320]  When was sliced bread again?
[20:38.100 --> 20:38.600]  Ah!
[20:42.120 --> 20:44.000]  I was drawing a circle
[20:44.000 --> 20:46.000]  as I was going through the air.
[20:47.540 --> 20:48.220]  Did it work?
[20:48.340 --> 20:49.100]  Did you actually get it?
[20:49.320 --> 20:50.420]  You twat!
[20:56.130 --> 20:56.570]  Uh oh.
[20:57.010 --> 20:57.930]  Oh no, I'm reading!
[21:01.990 --> 21:03.630]  Oh no, I'm reading.
[21:12.810 --> 21:15.310]  We need multiple things on gravestones, by the way.
[21:15.890 --> 21:17.930]  I thought it was one per.
[21:18.330 --> 21:19.070]  That's what I thought too.
[21:19.510 --> 21:20.810]  On blackout it's multiple.
[21:21.430 --> 21:22.930]  It told me one per.
[21:23.710 --> 21:24.790]  On blackout it did?
[21:24.850 --> 21:26.370]  No, it must have been on the last one.
[21:26.590 --> 21:27.770]  So I haven't been trying to do it.
[21:32.570 --> 21:34.090]  Can you not rejoin, Geoff?
[21:34.710 --> 21:36.270]  No, my game just keeps crashing.
[21:36.950 --> 21:37.430]  Oh really?
[21:38.870 --> 21:40.690]  You've followed me for so long!
[21:43.470 --> 21:44.870]  Slipped on salad cream.
[21:46.870 --> 21:47.790]  That's an animal.
[21:55.300 --> 21:56.420]  Oh, there's graves over here.
[21:56.420 --> 21:58.000]  Man, this game is fun when you read properly.
[22:02.060 --> 22:04.540]  I mean, where are you sending me?
