[00:00.000 --> 00:01.140]  Let's set sail.
[01:32.040 --> 01:32.780]  I'm in a barrel.
[01:35.580 --> 01:37.780]  Oh, Andrew, you've already...
[01:37.780 --> 01:38.940]  The British Jackals.
[01:41.020 --> 01:41.980]  I take the damage.
[01:43.540 --> 01:44.720]  Well, what the hell was that?
[01:45.800 --> 01:46.120]  Ow.
[01:46.280 --> 01:47.400]  Oh, it's a monkey in a thing.
[01:47.740 --> 01:48.280]  Where there's a monkey?
[01:49.080 --> 01:49.560]  There's a way.
[01:49.640 --> 01:50.060]  Yeah, it's a dead.
[01:50.160 --> 01:51.240]  It's a skeleton monkey in that.
[01:51.400 --> 01:52.020]  I don't care about that.
[01:52.100 --> 01:52.860]  I don't see a regular monkey.
[01:52.880 --> 01:54.120]  I can put a monkey on the boat.
[01:54.120 --> 01:55.860]  Oh, cool. Unstable connection.
[01:56.000 --> 01:57.440]  That's monkey on the car.
[01:58.720 --> 02:00.360]  Hey, what is it to grab the ladder?
[02:00.600 --> 02:01.000]  X.
[02:01.180 --> 02:01.780]  X, I think.
[02:04.340 --> 02:05.360]  We go. It is X.
[02:05.540 --> 02:06.500]  We're going to get it.
[02:06.580 --> 02:06.720]  OK.
[02:08.060 --> 02:09.620]  Take this food, please.
[02:10.320 --> 02:11.480]  How do I take?
[02:11.920 --> 02:12.780]  Hey, hold X.
[02:13.040 --> 02:14.520]  Oh my God, it's Louie.
[02:15.340 --> 02:16.620]  I forgot about Louie.
[02:16.700 --> 02:17.300]  This is pretty cool.
[02:17.380 --> 02:18.160]  He just hangs out, huh?
[02:18.540 --> 02:20.020]  Just hangs out, does whatever you want.
[02:20.840 --> 02:23.120]  Yeah, Louie is in a video
[02:23.120 --> 02:24.420]  that will never come out.
[02:24.560 --> 02:25.020]  That's right.
[02:25.300 --> 02:25.920]  Oh, that's right.
[02:26.520 --> 02:29.540]  We did a whole bunch of this game that no one's ever going to see.
[02:30.420 --> 02:31.680]  Oh, no, I put Louie away.
[02:31.740 --> 02:32.580]  How do I bring Louie back?
[02:34.180 --> 02:34.700]  I got him.
[02:35.580 --> 02:37.240]  Oh, I fell off the boat.
[02:40.160 --> 02:41.400]  Louie will remember you.
[02:41.580 --> 02:41.740]  Is the game in?
[02:45.100 --> 02:47.740]  I walked the plank, but I didn't mean to.
[02:48.120 --> 02:50.260]  What's our what high seas adventure are we up to?
[02:51.260 --> 02:52.580]  Let's first raise anchor
[02:52.580 --> 02:55.660]  and then we can kind of look around, see if there's any in-world events we can do.
[02:56.820 --> 02:58.460]  OK, are you raising the anchor?
[02:58.900 --> 02:59.660]  I sure am.
[02:59.780 --> 03:00.300]  Do you need help?
[03:01.040 --> 03:02.560]  I'd be great. Thank you.
[03:02.980 --> 03:03.520]  All right, cool.
[03:04.100 --> 03:05.400]  This is good. You guys are doing great. Keep going.
[03:06.040 --> 03:07.060]  Why aren't we going much faster?
[03:08.560 --> 03:10.160]  Me and Louie, me and Louie are watching.
[03:10.260 --> 03:10.980]  You guys are doing great.
[03:13.060 --> 03:14.140]  He's clapping for you.
[03:14.240 --> 03:14.800]  You're having fun.
[03:15.160 --> 03:16.620]  Well, we got this is going to be a really good video.
[03:16.780 --> 03:19.800]  It just says unstable connection in the upper left hand corner of my screen
[03:19.800 --> 03:20.800]  the entire time.
[03:21.740 --> 03:22.920]  That's really good stuff.
[03:23.480 --> 03:26.000]  Captain Briggsie has a that's how it felt like for me to play Call of Duty.
[03:26.080 --> 03:28.960]  Captain Briggsie has a rousing adventure for us.
[03:29.000 --> 03:30.940]  The hunt for the skull of the siren song.
[03:31.040 --> 03:31.800]  Oh, you say no to that?
[03:32.060 --> 03:33.260]  Yeah, I'm saying no to that.
[03:33.400 --> 03:36.260]  Rousing is not how I'd describe that adventure personally.
[03:36.640 --> 03:37.040]  Oh, yeah.
[03:37.440 --> 03:39.320]  Would you describe it as 30 times?
[03:39.700 --> 03:42.200]  Oh, 30 times or like 20.
[03:42.520 --> 03:43.340]  I did a lot.
[03:43.840 --> 03:44.660]  There's a rat.
[03:45.080 --> 03:46.200]  There's a rat down here.
[03:46.340 --> 03:47.820]  Can Louie eat the rat or something?
[03:48.220 --> 03:49.220]  Oh, they just hang out.
[03:49.340 --> 03:50.220]  They're just talking about you.
[03:50.220 --> 03:52.800]  Is there an achievement to do it 20 times?
[03:53.380 --> 03:53.400]  Yeah.
[03:54.440 --> 03:54.920]  Why?
[03:56.100 --> 03:57.280]  You should ask them.
[03:58.720 --> 04:00.860]  Do this specific achievement 20 times.
[04:01.260 --> 04:02.120]  Oh, did we take off?
[04:02.840 --> 04:03.420]  Yeah, we're moving.
[04:04.200 --> 04:04.760]  Oh, that's fun.
[04:05.200 --> 04:05.820]  Is anybody driving?
[04:08.480 --> 04:09.440]  Let's go right.
[04:09.840 --> 04:12.140]  Let's go to that that vortex looking thing.
[04:12.660 --> 04:13.560]  What vortex thing?
[04:13.720 --> 04:14.460]  Oh, that thing.
[04:15.760 --> 04:18.520]  It's a lot of sails, getting the sails going.
[04:18.940 --> 04:19.920]  Oh, I did that up here.
[04:19.920 --> 04:21.400]  I did it. That was great.
[04:21.860 --> 04:24.280]  I can't see shit with the sails all the way down.
[04:24.380 --> 04:25.720]  Somebody else needs to be shorter.
[04:26.400 --> 04:27.080]  You got it.
[04:28.600 --> 04:29.520]  All right, here we go, boys.
[04:29.680 --> 04:30.840]  I'm going to get that wind.
[04:31.540 --> 04:32.180]  OK, where are we going?
[04:32.540 --> 04:33.240]  Here we go.
[04:33.560 --> 04:36.520]  Anyone wants to go to that shimmering spiral thing?
[04:36.700 --> 04:37.480]  You want to go to the shimmering thing?
[04:38.080 --> 04:40.660]  Could you go northwest from where we're currently at?
[04:41.180 --> 04:41.980]  Yeah, I'm going. I'm going.
[04:42.060 --> 04:43.580]  I'm going left. I'm holding left.
[04:43.680 --> 04:44.480]  I'm keep going left.
[04:44.600 --> 04:45.800]  I don't like what am I supposed to?
[04:45.880 --> 04:47.360]  What am I doing that's not right here?
[04:48.140 --> 04:48.960]  How's that for you?
[04:48.960 --> 04:51.000]  Oh, it just takes a really long time.
[04:51.120 --> 04:51.720]  Oh, there we go.
[04:51.820 --> 04:52.600]  Jesus Christ.
[04:54.240 --> 04:56.020]  Yeah, but like you just keep fucking turning the thing
[04:56.020 --> 04:57.280]  before it starts doing anything.
[04:57.580 --> 04:58.820]  Can you see a little bit better now?
[05:00.060 --> 05:02.960]  I mean, I'm just I'm just I'm watching the compass.
[05:03.100 --> 05:04.140]  I'm trying to go left or right.
[05:04.980 --> 05:06.840]  I'm trying. I'm going all the way left.
[05:07.260 --> 05:08.140]  Yeah, it's all good.
[05:08.340 --> 05:10.000]  I'm going to go up and get a good view of our death.
[05:10.720 --> 05:11.980]  I'm going to make Louie bite you guys.
[05:12.080 --> 05:12.660]  This is fucked up.
[05:12.720 --> 05:14.180]  I'm going to go ahead and get some wooden planks.
[05:14.480 --> 05:16.260]  Wow, Louie would never betray me.
[05:16.740 --> 05:18.300]  This crow's nest is so high.
[05:19.140 --> 05:20.260]  That's kind of the point.
[05:21.660 --> 05:22.820]  Oh, a crow.
[05:25.480 --> 05:27.520]  But yeah, to win.
[05:27.760 --> 05:31.540]  So there's like there's like no there's like no nuance or subtlety to like this boat.
[05:31.640 --> 05:34.080]  You just got to crank it all the way left forever, all the way right forever.
[05:34.300 --> 05:34.800]  And that's it.
[05:35.920 --> 05:36.880]  You just described sailing.
[05:37.420 --> 05:38.900]  Yeah, sailing fucking sucks.
[05:39.320 --> 05:41.080]  Oh, that's why we invented cars.
[05:41.420 --> 05:42.280]  God, no kidding.
[05:42.460 --> 05:43.360]  Can we play a car game?
[05:45.200 --> 05:47.440]  Because sailing across land would be even dumber.
[05:47.440 --> 05:49.640]  So what shimmering thing am I going to?
[05:49.760 --> 05:51.040]  The thing on the left is a bunch of rocks.
[05:51.400 --> 05:52.720]  Just pass the thing shooting at us.
[05:53.080 --> 05:54.580]  Oh, oh, I didn't know it was shooting at us.
[05:54.580 --> 05:56.080]  I'm sorry. I didn't know it was doing that.
[05:56.520 --> 05:59.460]  That's OK. If you just steer a little, little further right, we'll be fine.
[05:59.760 --> 06:01.340]  You think you think we can get all the way around it?
[06:01.520 --> 06:02.100]  Right. Yeah.
[06:02.160 --> 06:02.880]  Oh, just go straight.
[06:03.060 --> 06:03.660]  Perfect. Yeah.
[06:03.660 --> 06:05.000]  If you can line us up straight now.
[06:05.420 --> 06:06.280]  What are the odds of getting hit?
[06:06.500 --> 06:09.440]  Oh, oh, well, we just got hit.
[06:10.180 --> 06:11.100]  Pretty high, apparently.
[06:11.840 --> 06:12.820]  Guys, you're taking on water.
[06:12.920 --> 06:13.480]  Come on. We are.
[06:14.700 --> 06:18.300]  Oh, oh, just watch Nick fall from the crows.
[06:18.420 --> 06:19.660]  Nick, Nick is the crow.
[06:20.160 --> 06:21.660]  Oh, as the crow falls.
[06:23.540 --> 06:25.580]  As the crow falls.
[06:26.140 --> 06:28.700]  I don't see us taking on any water down here.
[06:28.880 --> 06:29.140]  No? OK.
[06:31.120 --> 06:32.420]  Your ship is taking on water.
[06:32.520 --> 06:34.660]  Use a plank of wood to repair the hole before you sink.
[06:34.700 --> 06:35.300]  That's all it says.
[06:35.620 --> 06:36.520]  Definitely taking on water.
[06:36.660 --> 06:36.820]  OK.
[06:38.260 --> 06:40.140]  We're we're heading straight on.
[06:41.980 --> 06:42.920]  Once again, I'm not.
[06:42.920 --> 06:43.680]  Oh, there's a hole.
[06:43.980 --> 06:44.940]  Sea in this hole.
[06:45.200 --> 06:46.060]  Is it a bottomless sea?
[06:46.340 --> 06:47.040]  Yeah, it was up top.
[06:47.500 --> 06:48.580]  OK, and up top hole.
[06:48.700 --> 06:49.740]  I don't I don't know about that.
[06:49.980 --> 06:51.620]  Yeah, but how is it taking on water if it's up top?
[06:51.960 --> 06:52.900]  Yeah, it doesn't make no sense.
[06:53.040 --> 06:53.900]  No, there's water.
[06:54.000 --> 06:55.100]  There's water all over the place, man.
[06:55.360 --> 06:56.640]  Any damage here? No.
[06:58.220 --> 06:59.040]  Like it here.
[06:59.240 --> 07:00.800]  Potentially, it's taken on air.
[07:01.880 --> 07:03.140]  Boat's taking on air right now.
[07:03.500 --> 07:04.600]  Yeah, the boat's taking on too much air.
[07:04.660 --> 07:05.240]  Can we fix that?
[07:06.680 --> 07:07.000]  Airboat?
[07:08.440 --> 07:09.240]  You want me to drop the anchor?
[07:09.920 --> 07:10.220]  No.
[07:11.120 --> 07:11.620]  Because I'll do it.
[07:12.380 --> 07:13.860]  I don't doubt it.
[07:14.480 --> 07:16.820]  Although right now, don't even think about it.
[07:19.460 --> 07:20.940]  We're still heading straight on for that thing.
[07:21.000 --> 07:21.720]  Yeah, we're doing good.
[07:23.520 --> 07:26.560]  We can tilt the sails again to catch wind so we go faster.
[07:27.200 --> 07:28.020]  I'm into that.
[07:29.380 --> 07:31.260]  I'm glad Andrew's finally playing this game with us.
[07:31.400 --> 07:32.820]  He decided that we're good enough now.
[07:32.860 --> 07:34.360]  Yeah, I don't know why he held off for so long.
[07:34.700 --> 07:35.560]  Yeah, I appreciate it.
[07:35.840 --> 07:39.440]  I was beginning to wonder if it was a dream that was never going to become a reality for me.
[07:39.760 --> 07:40.600]  I love this game.
[07:41.720 --> 07:42.780]  Just not with us.
[07:43.100 --> 07:44.860]  Yeah, I love this game with us.
[07:47.540 --> 07:51.040]  I think you like this game so much that we annoy you in it.
[07:52.160 --> 07:53.200]  No, not at all.
[07:53.460 --> 07:54.120]  He hesitated.
[07:55.020 --> 07:55.900]  Yeah, he took too long.
[07:55.920 --> 07:58.260]  Oh, it's because I was trying to like make sure the sails were level.
[07:58.840 --> 07:59.380]  Oh, OK.
[07:59.560 --> 08:00.980]  Or maybe he needs to reboot his computer.
[08:01.080 --> 08:02.540]  Maybe because he likes this game so much.
[08:02.580 --> 08:03.800]  If I want to be real annoying, I get him.
[08:04.040 --> 08:04.700]  Buh, buh, buh, buh, buh.
[08:05.480 --> 08:06.460]  Oh, you guys.
[08:06.980 --> 08:07.880]  Oh, is it feeding time?
[08:08.460 --> 08:09.120]  It's feeding time.
[08:09.460 --> 08:11.260]  It's feeding time.
[08:11.260 --> 08:12.820]  The little Caesars is here.
[08:13.640 --> 08:14.540]  Feed the pigs.
[08:15.440 --> 08:15.840]  Caesars?
[08:16.500 --> 08:18.980]  You know, it looked a lot closer when we were back there.
[08:19.220 --> 08:20.060]  Yeah, that can happen.
[08:20.440 --> 08:21.660]  You can be deceptive that way.
[08:22.840 --> 08:26.840]  I think I think the idea of sailing the ocean in a ship this size
[08:26.840 --> 08:28.860]  freaks me the hell out.
[08:29.160 --> 08:29.940]  Really? Oh, really?
[08:30.120 --> 08:30.620]  Oh, yeah.
[08:31.060 --> 08:31.820]  I'm with you.
[08:32.000 --> 08:33.480]  It just it's it doesn't bother me at all.
[08:34.260 --> 08:36.300]  It makes you feel so insignificant.
[08:36.580 --> 08:37.340]  Like it's crazy.
[08:38.100 --> 08:40.580]  And if I die, no one will ever know.
[08:41.260 --> 08:42.360]  Yeah, they'll never find you.
[08:42.860 --> 08:43.940]  You just die out here and that's it.
[08:44.080 --> 08:44.380]  That's it.
[08:44.560 --> 08:45.380]  Happens all the time.
[08:45.560 --> 08:47.400]  You're just as insignificant on land.
[08:48.100 --> 08:50.440]  Yeah, but on land, I like the scope of it.
[08:50.540 --> 08:56.580]  I can like handle like in my brain in like the ocean is like vast and endless.
[08:56.940 --> 08:57.960]  Well, think of it this way.
[08:57.980 --> 08:59.920]  When you're in the ocean, you're still on land.
[09:00.000 --> 09:01.100]  You're just way above it.
[09:01.820 --> 09:04.140]  Right. It's like flying, which Nick is also afraid of.
[09:04.280 --> 09:05.640]  You're in the sky of the water.
[09:06.680 --> 09:07.760]  No, it's not the flying.
[09:07.940 --> 09:09.980]  It's the it's the enclosed space.
[09:11.460 --> 09:12.220]  Okay, you will.
[09:12.300 --> 09:14.160]  You're definitely not enclosed on a plane.
[09:14.420 --> 09:14.900]  Open around here.
[09:15.400 --> 09:16.180]  Oh, we're not talking about planes.
[09:16.260 --> 09:16.860]  We're talking about boats.
[09:17.820 --> 09:19.500]  Eric said, I'm also scared of flying.
[09:20.120 --> 09:20.660]  Oh, are you?
[09:21.140 --> 09:23.320]  No, I just have anxiety about flying.
[09:24.240 --> 09:25.380]  Sounds like a different thing.
[09:25.980 --> 09:28.080]  No, I'm not scared.
[09:28.220 --> 09:29.040]  I just don't want to do it.
[09:29.100 --> 09:29.600]  I don't like it.
[09:29.760 --> 09:33.480]  And it's not a problem until I'm on the plane.
[09:33.480 --> 09:35.080]  And then suddenly it's like, oh, the door's closed.
[09:35.140 --> 09:35.860]  Oh, it's tight in here.
[09:36.040 --> 09:38.660]  Oh, well, man, I just watched fucking.
[09:38.980 --> 09:39.760]  Nope, I don't want to hear it.
[09:39.760 --> 09:40.220]  I don't know.
[09:41.700 --> 09:42.220]  Hold on.
[09:42.260 --> 09:43.080]  Let me take my headphones off.
[09:43.120 --> 09:43.580]  You tell them.
[09:43.740 --> 09:44.100]  Yeah, that's fine.
[09:44.100 --> 09:45.900]  We only have to fly really soon.
[09:46.100 --> 09:48.040]  So yeah, definitely do this to him.
[09:48.120 --> 09:48.300]  Great.
[09:48.500 --> 09:49.020]  I'm not doing anything.
[09:49.180 --> 09:49.740]  I'm not doing anything.
[09:49.980 --> 09:50.200]  Okay.
[09:51.340 --> 09:54.500]  I just watched all five final destinations to get ready for.
[09:54.580 --> 09:54.920]  Oh, okay.
[09:54.940 --> 09:55.320]  That's fine.
[09:55.420 --> 09:55.760]  Yeah, that's fine.
[09:55.860 --> 09:56.260]  Yeah.
[09:57.820 --> 10:03.160]  Online, they set the record for oldest stunt woman to do a full burn, full body burn.
[10:03.280 --> 10:04.120]  Whoa, 71.
[10:04.940 --> 10:05.740]  Wow, really?
[10:05.980 --> 10:06.260]  Wow.
[10:06.440 --> 10:07.640]  Yeah, that's pretty cool.
[10:07.960 --> 10:08.640]  That is pretty cool.
[10:08.640 --> 10:10.040]  Now, fire also scared.
[10:13.200 --> 10:15.520]  Nick is scared of old ladies.
[10:16.740 --> 10:23.820]  Well, after the experience at Palo Duro Canyon, after they leave milf age, then it's just sort of like he doesn't like that anymore.
[10:23.860 --> 10:25.940]  When they transition from milf to gilf.
[10:26.080 --> 10:27.400]  Yeah, I'm out of here.
[10:28.040 --> 10:33.040]  I became scared of old ladies when two of them kind of hugged the monkey in a weird way.
[10:33.040 --> 10:38.520]  Oh, man, when we were going out to Colorado and they just want to get a picture with the monkey and they were loving the monkey.
[10:38.520 --> 10:41.220]  Do you remember the Gabriel song, hug the monkey?
[10:43.200 --> 10:44.160]  Yeah, absolutely.
[10:44.480 --> 10:45.740]  How close are we?
[10:46.780 --> 10:48.400]  I mean, it's getting bigger and closer.
[10:49.660 --> 10:50.960]  Getting closer every day.
[10:52.900 --> 10:54.820]  A little bit closer.
[10:55.020 --> 10:57.360]  Let me pull out my spyglass and look.
[10:57.840 --> 11:02.420]  It's not fun to like steer this ship, but at the same time, like it's probably not fun just waiting.
[11:02.680 --> 11:03.580]  You just kind of wait.
[11:04.100 --> 11:09.300]  That while you do repairs and stuff and play music, look through the spyglass.
[11:09.460 --> 11:11.300]  I just see you guys like jumping around.
[11:11.580 --> 11:13.740]  That's all. No one else is doing anything is for jumping.
[11:15.820 --> 11:17.180]  We're testing floorboards.
[11:17.560 --> 11:18.700]  Make sure they're solid again.
[11:19.380 --> 11:20.420]  Guys, we're getting pretty close.
[11:21.620 --> 11:23.500]  I'd say before long, we'll be there.
[11:24.320 --> 11:25.280]  Oh, I see him.
[11:25.400 --> 11:27.860]  I'm supervising Eric ships coming up.
[11:27.980 --> 11:28.440]  Doing good.
[11:29.040 --> 11:30.520]  I got two of them.
[11:30.660 --> 11:31.200]  Go ships.
[11:31.300 --> 11:31.840]  Do we have any?
[11:32.420 --> 11:32.740]  Ghost.
[11:33.260 --> 11:33.880]  Do we have any?
[11:34.540 --> 11:35.520]  What do we need to do?
[11:36.060 --> 11:37.960]  Wait, what am I supposed to do?
[11:38.000 --> 11:39.360]  I'm just driving straight to it, right?
[11:40.000 --> 11:40.820]  They're off to the side.
[11:40.900 --> 11:42.340]  They may not be able to engage us in time.
[11:42.440 --> 11:43.120]  You drive to it.
[11:43.200 --> 11:44.460]  Eric, I can take the wheel if you want.
[11:44.520 --> 11:45.160]  You can do shooting.
[11:45.640 --> 11:46.100]  Yeah, sure.
[11:46.240 --> 11:46.760]  That sounds fine.
[11:47.260 --> 11:47.920]  It's all yours.
[11:48.300 --> 11:49.660]  You remember that Carrie Underwood song?
[11:49.720 --> 11:50.420]  Eric, take the wheel.
[11:50.920 --> 11:52.220]  Yeah, that's pretty.
[11:52.240 --> 11:55.100]  Should I be on the should I be on the bow or the stern here?
[11:57.000 --> 11:57.800]  Wherever you want.
[11:57.900 --> 11:58.160]  Really?
[11:58.240 --> 11:58.980]  It doesn't really matter.
[11:59.880 --> 12:02.420]  It'll depend when we're fighting more than currently.
[12:04.240 --> 12:05.340]  Oh, there are go ships.
[12:07.500 --> 12:08.340]  Load the cannons.
[12:08.740 --> 12:08.900]  Yeah.
[12:09.080 --> 12:10.080]  Is this the thing we wanted?
[12:10.300 --> 12:10.740]  Load them.
[12:10.880 --> 12:11.020]  Yep.
[12:12.200 --> 12:12.840]  Use cannon.
[12:12.980 --> 12:13.520]  Use cannon.
[12:13.720 --> 12:14.200]  Is there a button?
[12:14.280 --> 12:15.880]  Is there like a different button to load cannon or?
[12:17.020 --> 12:17.740]  Yeah, cannonballs.
[12:17.900 --> 12:18.580]  It's in the second.
[12:19.160 --> 12:20.080]  Go down the stairs.
[12:20.600 --> 12:23.040]  Oh, so you do have the red crates.
[12:23.320 --> 12:23.760]  Don't worry.
[12:23.940 --> 12:25.300]  I think we're fully loaded now.
[12:25.420 --> 12:26.140]  Yeah, we're all loaded.
[12:26.800 --> 12:27.520]  But you'll want ammo.
[12:27.740 --> 12:27.880]  Yeah.
[12:28.200 --> 12:28.360]  Okay.
[12:28.360 --> 12:28.960]  Yes.
[12:29.000 --> 12:30.200]  If you just hang on to those, we can.
[12:30.460 --> 12:30.800]  Got him.
[12:31.160 --> 12:31.960]  Here we go, guys.
[12:32.340 --> 12:33.020]  Here they come.
[12:33.260 --> 12:33.920]  Oh shit.
[12:34.540 --> 12:36.320]  There's only on the left five of them.
[12:36.940 --> 12:37.800]  They're all over.
[12:39.580 --> 12:41.600]  One go straight ahead.
[12:41.620 --> 12:42.340]  What's the right?
[12:42.800 --> 12:44.280]  Yeah, I see that straight ahead.
[12:44.360 --> 12:45.000]  This is crazy.
[12:45.740 --> 12:46.620]  What's the harpoon do?
[12:46.800 --> 12:47.980]  Let's fuck worry about the harpoon.
[12:48.580 --> 12:54.760]  No, it you can get loot with it in the water or you can like grab stuff and pull or rescue people out of the water and stuff.
[12:55.060 --> 12:57.480]  Yeah, let's go ahead and kill these guys.
[12:57.480 --> 12:58.560]  I'm all right up.
[12:59.340 --> 13:02.260]  Here we go on the left coming up.
[13:06.050 --> 13:06.450]  Bitch.
[13:09.530 --> 13:11.630]  I'm pressing the button like a dipshit.
[13:11.730 --> 13:12.590]  You gotta hold it.
[13:12.910 --> 13:13.330]  You hold it.
[13:14.670 --> 13:15.470]  Right trigger.
[13:15.750 --> 13:16.990]  Oh, I didn't know that.
[13:17.050 --> 13:20.790]  Got it.
[13:20.950 --> 13:21.210]  Okay.
[13:22.930 --> 13:24.030]  Oh, where's wood?
[13:24.150 --> 13:24.970]  I need some wood.
[13:25.490 --> 13:26.870]  Oh, how we doing downstairs?
[13:27.010 --> 13:27.850]  We doing that bad downstairs?
[13:27.930 --> 13:28.270]  I'll come down.
[13:28.330 --> 13:28.650]  I got wood.
[13:29.490 --> 13:30.890]  We the mass took a hit.
[13:31.290 --> 13:32.530]  Okay, coming up on the right.
[13:32.610 --> 13:33.290]  I see it.
[13:33.470 --> 13:34.390]  I'm gonna write cannons.
[13:34.630 --> 13:36.130]  Okay, what y'all can y'all fire?
[13:36.290 --> 13:36.850]  I'll do repairs.
[13:36.950 --> 13:38.350]  Oh, it's firing downstairs.
[13:39.070 --> 13:39.510]  All right.
[13:39.550 --> 13:39.850]  Don't worry.
[13:39.890 --> 13:40.350]  I got it.
[13:40.390 --> 13:41.030]  I got it.
[13:41.130 --> 13:41.910]  Fucking ghost.
[13:44.270 --> 13:44.990]  Too much.
[13:45.990 --> 13:47.990]  All right, are we taking on any more water?
[13:48.050 --> 13:49.210]  We are we are we are we are.
[13:49.290 --> 13:50.950]  Okay, let's reload these cannons.
[13:51.150 --> 13:52.510]  If we can do it down here now.
[13:52.510 --> 13:52.990]  How we doing?
[13:53.070 --> 13:53.990]  We're looking good.
[13:54.290 --> 13:55.290]  If you guys look fire.
[13:56.070 --> 13:57.030]  Okay, fire fire.
[13:57.650 --> 13:58.690]  Oh, what do we do with the fire?
[13:59.350 --> 14:01.510]  There's a water bucket downstairs.
[14:01.690 --> 14:02.830]  You can scoop from it.
[14:04.170 --> 14:07.450]  So right trigger to scoop and then left trigger to yeah, if
[14:07.450 --> 14:09.770]  you want to feel free to use all the water in the bottom of
[14:09.770 --> 14:10.010]  the ship.
[14:10.070 --> 14:10.470]  Oh, no, man.
[14:10.510 --> 14:10.870]  I got it out.
[14:13.570 --> 14:13.930]  Nice.
[14:14.410 --> 14:15.450]  We blew that guy away.
[14:17.750 --> 14:18.990]  Do we take that boat out?
[14:19.050 --> 14:19.710]  Is it fucking done?
[14:19.810 --> 14:19.990]  Yep.
[14:20.130 --> 14:20.770]  It's that's awesome.
[14:21.210 --> 14:22.090]  Only takes two shots.
[14:22.210 --> 14:23.290]  Case for the right.
[14:26.790 --> 14:27.670]  I just missed him.
[14:29.730 --> 14:30.630]  Pretty far away.
[14:30.730 --> 14:31.030]  I got it.
[14:31.410 --> 14:32.670]  Yeah, excited.
[14:33.830 --> 14:34.950]  That's probably too far.
[14:36.170 --> 14:36.830]  Oh, yep.
[14:36.930 --> 14:37.270]  Sure is.
[14:38.170 --> 14:38.450]  Wait.
[14:38.930 --> 14:39.530]  Oh, wait.
[14:39.570 --> 14:41.430]  I can stand back here and load cannonballs for you guys.
[14:41.930 --> 14:42.170]  Yep.
[14:42.490 --> 14:43.250]  That's crazy.
[14:43.510 --> 14:44.030]  How about here?
[14:45.330 --> 14:46.270]  Here loading cannonball.
[14:46.590 --> 14:48.210]  Close and coming back.
[14:48.510 --> 14:48.830]  Geoff, you loaded.
[14:49.230 --> 14:49.610]  Thank you.
[14:52.850 --> 14:53.730]  Loading cannonball.
[14:54.750 --> 14:55.750]  Geoff, you should wait.
[14:56.230 --> 14:56.550]  Yeah.
[14:56.690 --> 14:57.470]  What do we get a bit closer?
[14:59.370 --> 15:01.050]  Okay, we got one coming up on our right.
[15:01.170 --> 15:02.030]  We should be able to get it.
