[00:03.080 --> 00:04.040]  What happened?!
[03:29.700 --> 03:32.220]  It just looks so good when you're right into the pillar.
[03:33.280 --> 03:33.680]  Well...
[03:33.680 --> 03:34.660]  I went as long as I could.
[03:34.780 --> 03:36.020]  You did what you could.
[03:37.620 --> 03:39.180]  The helicopter is gonna be the problem.
[03:41.160 --> 03:42.660]  Maybe I shouldn't have shot the cops.
[03:44.540 --> 03:46.060]  You know, I don't think that hurt.
[03:46.860 --> 03:47.860]  I think that was indifference.
[03:48.120 --> 03:48.520]  You know what?
[03:49.000 --> 03:49.860]  I think it was about the same.
[03:50.080 --> 03:50.640]  No bad ideas.
[03:54.140 --> 03:56.080]  Go through the fucking hills.
[03:56.360 --> 03:57.240]  Alright, Team Tape, let's go.
[03:58.000 --> 03:59.480]  Yeah, we gotta climb something, right?
[03:59.760 --> 04:00.380]  We climb this?
[04:01.200 --> 04:03.280]  Is there like a tunnel we could drive under?
[04:03.340 --> 04:07.040]  What is the best way to get rid of this helicopter?
[04:07.360 --> 04:08.320]  Let's go, Team Tape, Gavin.
[04:08.440 --> 04:08.800]  We got this.
[04:08.920 --> 04:10.580]  Team Tape, I have begun operation.
[04:10.580 --> 04:11.420]  What's your team name, guys?
[04:14.340 --> 04:15.060]  Team Ideas.
[04:15.080 --> 04:16.740]  We're Team Ideas.
[04:16.920 --> 04:18.360]  No bad ideas.
[04:18.780 --> 04:22.040]  Gavin, I don't think this is where we're supposed to go.
[04:22.140 --> 04:23.420]  Oh, no, we have to go up here.
[04:23.500 --> 04:24.860]  We have to control this thing, huh?
[04:25.020 --> 04:26.400]  And grab the car?
[04:27.440 --> 04:28.360]  I don't know.
[04:28.540 --> 04:31.400]  I feel like if we're gonna start killing people, it's better to have the high ground.
[04:31.680 --> 04:33.640]  Yeah, I don't think we're supposed to kill people yet, though.
[04:33.760 --> 04:34.440]  I think we're supposed to...
[04:34.440 --> 04:36.840]  That's what I learned from Obi-Wan.
[04:37.600 --> 04:38.020]  I don't know.
[04:41.610 --> 04:43.610]  Go to the container.
[04:44.750 --> 04:45.590]  Jesus Christ.
[04:45.710 --> 04:48.690]  Should we just jump, or should we shoot first?
[04:49.030 --> 04:49.790]  I don't know.
[04:51.170 --> 04:52.210]  Just one sec.
[04:52.610 --> 04:53.050]  What are you doing?
[04:55.690 --> 04:58.730]  I would say take him out with the silenced weapon, because I don't have anything like that.
[05:00.570 --> 05:01.310]  All my shit's allowed.
[05:02.410 --> 05:04.250]  I don't think I can aim that far down.
[05:04.250 --> 05:04.670]  You wanna get in?
[05:05.450 --> 05:06.470]  Oh, here we go.
[05:07.730 --> 05:09.510]  Alright, so I can just plug this guy's head.
[05:09.610 --> 05:10.270]  I think.
[05:10.930 --> 05:12.250]  Ready, set, go!
[05:12.590 --> 05:13.430]  Hit the other one.
[05:15.170 --> 05:16.150]  I can't aim that far down.
[05:16.530 --> 05:18.870]  I think maybe that's the end of us.
[05:20.210 --> 05:22.710]  I think we just gotta go down there and do it.
[05:23.270 --> 05:23.890]  Let's go!
[05:27.350 --> 05:28.710]  Ow! Shit!
[05:29.810 --> 05:30.150]  How'd we do?
[05:30.190 --> 05:32.010]  No bad ideas.
[05:32.650 --> 05:33.470]  No bad ideas.
[05:33.970 --> 05:34.890]  Should we block?
[05:35.370 --> 05:36.610]  This might be a bad idea.
[05:38.950 --> 05:39.910]  No bad ideas.
[05:39.910 --> 05:41.430]  What the fuck do you have?
[05:43.090 --> 05:45.010]  You just had like a...
[05:45.010 --> 05:46.690]  Just like a laser gallon gun.
[05:46.710 --> 05:47.590]  Yeah, that was sick.
[05:48.110 --> 05:49.010]  Who's driving? You?
[05:49.090 --> 05:49.770]  Me, I guess.
[05:50.270 --> 05:50.750]  Where?
[05:53.030 --> 05:54.290]  Oh my God!
[05:56.550 --> 05:57.770]  Alright, take it to the drop point.
[05:58.130 --> 05:59.830]  Sweet, good job.
[06:00.310 --> 06:00.990]  Oh no.
[06:01.600 --> 06:02.990]  No bad ideas.
[06:02.990 --> 06:03.650]  Turn this thing around.
[06:05.090 --> 06:06.690]  Police station, we're close.
[06:06.890 --> 06:08.750]  I've been playing way too much GTA 4.
[06:08.870 --> 06:09.810]  This feels so different.
[06:11.750 --> 06:13.450]  Good different? Bad different?
[06:13.850 --> 06:14.870]  Weird different.
[06:15.530 --> 06:17.690]  I think you're coming around on GTA 4 physics.
[06:17.770 --> 06:18.210]  I don't know about that.
[06:18.430 --> 06:19.750]  Oh my God!
[06:25.360 --> 06:25.860]  Yeah!
[06:26.440 --> 06:28.240]  Around here and then take a little left.
[06:28.760 --> 06:30.600]  I don't know why we're getting XP.
[06:30.600 --> 06:32.640]  Oh, because we're killing people.
[06:33.500 --> 06:34.180]  Got it.
[06:34.460 --> 06:36.260]  Enjoy the experience.
[06:39.440 --> 06:40.240]  Oh no.
[06:40.700 --> 06:42.180]  Oh my God, we're stuck.
[06:42.800 --> 06:43.280]  We're stuck.
[06:45.300 --> 06:46.480]  There's nowhere to go.
[06:47.320 --> 06:48.780]  What do you mean there's nowhere to go?
[06:48.800 --> 06:49.420]  How about the road?
[06:50.160 --> 06:52.340]  You see the way I'm going left and right?
[06:53.020 --> 06:54.080]  I'm going round and round.
[06:57.680 --> 06:59.840]  I don't want to rush you, Nick.
[06:59.840 --> 07:03.240]  But if we can get there as soon as possible so we checkpoint, I'm hoping.
[07:04.340 --> 07:06.280]  So if they die, it doesn't fuck us.
[07:06.480 --> 07:06.900]  You know what?
[07:07.020 --> 07:07.560]  It's a great idea.
[07:07.900 --> 07:08.820]  You're worried about us dying.
[07:09.660 --> 07:10.380]  We're not going to die.
[07:10.440 --> 07:11.000]  Sure are.
[07:11.100 --> 07:13.860]  We're going to get there way before you.
[07:15.020 --> 07:16.980]  We haven't even gotten to the police station yet.
[07:17.020 --> 07:18.320]  I also don't know where we're going.
[07:18.540 --> 07:19.140]  I'm just driving.
[07:20.560 --> 07:21.980]  Should I not be shooting them?
[07:22.080 --> 07:23.480]  I don't know.
[07:24.080 --> 07:25.300]  They're trying to kill us a little bit.
[07:25.300 --> 07:27.060]  We're way ahead of them.
[07:29.020 --> 07:29.660]  Alright.
[07:33.680 --> 07:36.520]  That's such a specific thing to get stuck in.
[07:38.100 --> 07:40.460]  It's all designed to trap cars.
[07:40.780 --> 07:42.420]  Is there a pay-in spray?
[07:42.580 --> 07:43.800]  What the fuck it's called?
[07:44.500 --> 07:45.800]  Uh, no.
[07:50.020 --> 07:52.380]  You think they might notice
[07:52.380 --> 07:54.100]  that there's something maybe irregular
[07:54.100 --> 07:55.300]  about this cop car?
[07:56.140 --> 07:58.100]  I couldn't possibly know what you're talking about.
[07:58.960 --> 08:00.100]  Gavin, this is bad.
[08:00.660 --> 08:01.840]  Gavin, this is bad.
[08:02.380 --> 08:03.260]  Gavin, this is bad.
[08:03.760 --> 08:04.740]  You've got to lose the fuzz.
[08:07.800 --> 08:09.140]  I think as long as these guys
[08:09.140 --> 08:10.400]  are coming after us to try to kill us,
[08:10.460 --> 08:11.380]  the cops are going to keep coming.
[08:13.220 --> 08:13.540]  Okay.
[08:13.620 --> 08:14.420]  Especially with you shooting.
[08:15.000 --> 08:15.600]  I'll stop shooting.
[08:17.700 --> 08:18.660]  Maybe they're gone.
[08:18.860 --> 08:19.220]  Oh, cool.
[08:19.220 --> 08:21.020]  Just take a weird pause.
[08:21.440 --> 08:22.180]  Go somewhere weird.
[08:24.020 --> 08:25.080]  Keep it low.
[08:25.420 --> 08:25.780]  Nice.
[08:27.400 --> 08:28.160]  We're almost there.
[08:30.040 --> 08:30.960]  I wonder if it'll just say,
[08:31.120 --> 08:31.840]  now wait for them.
[08:33.420 --> 08:35.180]  I think we'll be up.
[08:35.420 --> 08:36.980]  I think this is supposed to happen simultaneously.
[08:38.040 --> 08:38.240]  Okay.
[08:45.640 --> 08:46.420]  Good job.
[08:47.220 --> 08:47.700]  Inconspicuous.
[08:48.180 --> 08:49.560]  Steal the prison bus schedule.
[08:51.420 --> 08:52.960]  Yeah, how do I...
[08:53.660 --> 08:55.400]  Hold the left bumper and then down.
[08:56.720 --> 08:57.720]  Gavin, it's so tense.
[08:58.920 --> 08:59.880]  It's so tense.
[09:03.120 --> 09:03.860]  This is way better.
[09:03.860 --> 09:04.180]  Yes!
[09:08.900 --> 09:10.040]  Goddamn, that was crazy.
[09:10.420 --> 09:12.180]  Now you just got to get out of the LA river.
[09:12.280 --> 09:13.880]  How the fuck do I get out of here?
[09:15.400 --> 09:16.340]  Let's get back in the car.
[09:16.840 --> 09:17.680]  Is there an out?
[09:18.500 --> 09:18.820]  Yeah.
[09:19.860 --> 09:21.320]  You have to keep...
[09:23.000 --> 09:23.440]  looking.
[09:25.440 --> 09:26.580]  That's your advice.
[09:26.900 --> 09:28.000]  That's your advice.
[09:28.240 --> 09:30.720]  Why don't you come up that much steeper angle
[09:30.720 --> 09:31.920]  and get a wangle around.
[09:32.200 --> 09:32.820]  You think so?
[09:35.300 --> 09:36.100]  Uh oh.
[09:36.160 --> 09:37.220]  Yeah, you just go straight up there.
[09:37.500 --> 09:38.000]  We're swimming.
[09:39.540 --> 09:40.200]  I think that...
[09:40.200 --> 09:42.040]  I don't know that we can go up.
[09:42.980 --> 09:43.720]  There we go.
[09:45.520 --> 09:46.260]  There you go.
[09:48.520 --> 09:51.140]  Team NBI is crushing y'all.
[09:51.640 --> 09:53.840]  You think you're crushing Team Tape? Get real.
[09:54.140 --> 09:56.180]  Oh, Team Tape is way behind.
[09:56.300 --> 09:57.180]  This is Team Tape, baby.
[09:57.500 --> 09:58.980]  This is like second hand tape.
[10:00.140 --> 10:01.600]  You ain't sticky or nothing.
[10:02.120 --> 10:04.080]  I'm already thinking about merch for Team Tape.
[10:04.420 --> 10:04.520]  Yeah.
[10:05.920 --> 10:07.080]  We don't even have a store.
[10:09.160 --> 10:09.580]  Oh, alright.
[10:09.660 --> 10:11.920]  We got this. No bad ideas. Notepad. Bam.
[10:12.060 --> 10:13.460]  No bad ideas.
[10:14.500 --> 10:15.940]  Is about to wrap this up.
[10:16.000 --> 10:16.840]  We're just going to be waiting.
[10:17.820 --> 10:19.080]  Waiting for this tape to stick.
[10:20.000 --> 10:21.540]  Team Tape have seen some shit.
[10:23.420 --> 10:24.140]  Three stars.
[10:24.900 --> 10:25.620]  Paramilitary groups.
[10:26.360 --> 10:27.800]  White car out of nowhere.
[10:32.240 --> 10:33.660]  And all we had was a pistol
[10:33.660 --> 10:34.540]  to deal with it.
[10:36.200 --> 10:36.780]  Right, Andrew?
[10:37.740 --> 10:39.200]  Destroy the police cruiser.
[10:39.340 --> 10:40.560]  I was going to say kill them, but don't kill them.
[10:40.780 --> 10:42.480]  We're just going to get back in the situation we were in.
[10:42.860 --> 10:43.840]  And I don't want to hear it from them.
[10:44.380 --> 10:46.480]  I'm not going to mention anything bad that you do, Eric,
[10:46.520 --> 10:50.100]  because I want the other team to think Team Tape just has it all down.
[10:50.580 --> 10:52.840]  Thanks, man. I appreciate it.
[10:52.900 --> 10:53.780]  This is going swimmingly.
[10:54.180 --> 10:55.860]  Well done on a tremendous setup.
[10:56.100 --> 10:57.140]  Thanks, bud.
[11:00.620 --> 11:02.160]  Andrew, you want to trail out this way, Nick?
[11:02.460 --> 11:02.680]  Yeah.
[11:05.320 --> 11:06.680]  Hey, you think I should be walking
[11:06.680 --> 11:08.500]  the opposite of the way I'm pouring this?
[11:09.800 --> 11:10.860]  I would say so.
[11:11.000 --> 11:11.680]  Probably a good idea.
[11:12.760 --> 11:12.980]  Okay.
[11:14.340 --> 11:15.020]  You ready?
[11:15.520 --> 11:17.560]  Yeah. Are we shooting it or what?
[11:18.200 --> 11:18.680]  Yep.
[11:20.520 --> 11:22.300]  What do you think they're doing, Gavin?
[11:23.080 --> 11:23.740]  Got it.
[11:24.040 --> 11:25.260]  I have no idea.
[11:25.380 --> 11:27.320]  We got Ghost Rider.
[11:28.260 --> 11:30.280]  Oh, we got the Ghost Rider thing.
[11:30.380 --> 11:31.640]  Oh, we should have put our initials.
[11:31.940 --> 11:32.420]  NBA.
[11:33.220 --> 11:33.680]  NBA.
[11:36.300 --> 11:39.720]  Eric, I think the next time Team Tape rides again,
[11:40.040 --> 11:41.460]  we should just stand around
[11:41.460 --> 11:42.920]  and pretend like we're doing the mission.
[11:43.280 --> 11:43.640]  I agree.
[11:44.280 --> 11:45.040]  I'm with you.
[11:45.040 --> 11:46.880]  You want to drive or should I?
[11:48.320 --> 11:49.320]  No one's driving.
[11:49.340 --> 11:50.140]  No bad ideas, man.
[11:52.280 --> 11:53.480]  It sucks.
[11:54.460 --> 11:54.860]  No idea.
[11:55.560 --> 11:56.240]  No ideas.
[11:57.880 --> 11:59.160]  That's my spin-off.
[11:59.460 --> 12:00.320]  That's just me.
[12:01.040 --> 12:02.420]  That's me by myself.
[12:05.520 --> 12:07.380]  So Nick just brings bad?
[12:07.880 --> 12:08.480]  Yeah.
[12:09.080 --> 12:09.820]  Wait, no!
[12:10.340 --> 12:14.080]  But combined, it completely flips
[12:14.080 --> 12:14.920]  into a positive.
[12:16.020 --> 12:17.240]  Individually, we suck.
[12:18.640 --> 12:19.680]  Individually, disaster.
[12:20.080 --> 12:21.420]  No ideas and bad.
[12:21.820 --> 12:23.180]  But no bad ideas?
[12:24.000 --> 12:25.720]  We're killing it. Geniuses.
[12:26.020 --> 12:26.420]  Hell yeah.
[12:28.140 --> 12:29.460]  We're already done with the movie?
[12:29.580 --> 12:30.240]  We're just flying in?
[12:30.300 --> 12:31.140]  What are you guys doing?
[12:31.480 --> 12:32.860]  Still ditching the cops?
[12:33.440 --> 12:38.100]  We actually dropped off the car about five minutes ago.
[12:38.400 --> 12:39.920]  We're hanging out.
[12:40.040 --> 12:41.340]  Gavin's actually trying to hit all the buttons
[12:41.340 --> 12:43.300]  to do a backflip in the game.
[12:43.920 --> 12:46.240]  Gavin's hitting all the buttons, Nick's hitting all the walls.
[12:46.700 --> 12:48.600]  Listen, we got stuff going on over here, too.
[12:48.880 --> 12:50.200]  That was more backflips than Alyssa.
[12:51.500 --> 12:52.660]  I wouldn't know!
[12:54.580 --> 12:55.380]  You sound upset.
[12:56.680 --> 12:57.040]  What?
[12:59.800 --> 13:02.240]  Is that a pool reference, Gavin?
[13:02.680 --> 13:03.460]  Talking about swimming?
[13:04.580 --> 13:04.820]  You know.
[13:06.180 --> 13:07.940]  Okay, wait, so now what?
[13:08.120 --> 13:09.200]  So now we're just hanging out.
[13:10.220 --> 13:12.300]  Now it says, uh, help the other team
[13:12.300 --> 13:13.260]  with their duties.
[13:13.560 --> 13:16.160]  We already did our stuff and now it's telling us
[13:16.160 --> 13:17.960]  no bad ideas.
[13:18.360 --> 13:19.860]  Alright, I'll just circle back
[13:19.860 --> 13:20.860]  now that we're done waiting.
[13:22.520 --> 13:23.340]  They've, you know,
[13:23.580 --> 13:26.260]  they gave us eight jobs to do
[13:26.260 --> 13:27.700]  because of, uh...
[13:27.700 --> 13:29.300]  God, dude, there's so far.
[13:29.640 --> 13:31.720]  I mean, there's a checkpoint
[13:31.720 --> 13:33.600]  if you want to use it, or a waypoint.
[13:33.940 --> 13:34.740]  Handfuls of feet.
[13:35.880 --> 13:37.500]  I'm just gonna look for a plane.
[13:37.500 --> 13:39.260]  Did you say handfuls of feet?
[13:40.000 --> 13:40.440]  Yep.
[13:42.860 --> 13:43.720]  Handfuls of feet.
[13:43.920 --> 13:45.320]  Feet by the handfills.
[13:47.440 --> 13:47.960]  Handfills?
[13:48.620 --> 13:48.940]  Are we done?
[13:49.420 --> 13:50.300]  A feet?
[13:51.300 --> 13:53.780]  A feet! There are enough feet
[13:53.780 --> 13:55.060]  that you can hold in your hands.
[13:55.480 --> 13:56.620]  There's so few feet.
[13:56.900 --> 13:57.740]  Two feet!
[13:59.600 --> 14:00.660]  By the handful.
[14:01.000 --> 14:02.720]  By the handful he's sucking toes.
[14:03.180 --> 14:05.040]  No, that's Nick when he's by himself.
[14:05.800 --> 14:06.880]  Oh, that's bad.
[14:07.060 --> 14:08.100]  There's no plane?
[14:08.840 --> 14:09.340]  There's no plane.
[14:11.140 --> 14:12.100]  We did it.
[14:12.680 --> 14:13.220]  No!
[14:16.260 --> 14:16.800]  No!
[14:17.280 --> 14:18.120]  That's wrong.
[14:18.300 --> 14:19.780]  That is wrong.
[14:20.480 --> 14:22.320]  Platinum, Eric, gold, Gavin.
[14:23.180 --> 14:24.240]  That's wrong.
[14:25.640 --> 14:27.240]  Team tape, top of the podium.
[14:27.880 --> 14:28.460]  That's what I'm saying.
[14:29.800 --> 14:30.340]  Please.
[14:30.900 --> 14:33.100]  Get your team tape shirt now at our store.
[14:33.100 --> 14:34.120]  Level 12!
[14:35.100 --> 14:37.320]  If it weren't for some adhesive, you'd just be a bunch of scrubs.
[14:39.720 --> 14:42.100]  Okay, we gotta break Rakowski out of
[14:42.100 --> 14:43.000]  Bolingbroke.
[14:43.400 --> 14:45.760]  Ground team takes the transport bus, poses as guards
[14:45.760 --> 14:47.920]  and inmate, and goes into the prison to get him out.
[14:48.720 --> 14:49.840]  Demolitions takes care
[14:49.840 --> 14:51.580]  of the inbound transport bus.
[14:51.980 --> 14:53.500]  Pilot collects them in the plane.
[14:53.640 --> 14:53.880]  Love it.
[14:55.840 --> 14:57.120]  Good luck, tape.
[14:58.420 --> 14:59.380]  Good luck.
[14:59.700 --> 15:01.060]  We're looking swish.
[15:01.060 --> 15:02.380]  Yeah, this is good.
[15:05.180 --> 15:07.860]  Alright, Gavin, me and you.
[15:09.540 --> 15:12.500]  Let me test out my gun first.
[15:13.740 --> 15:14.740]  Holy shit!
[15:14.900 --> 15:16.040]  Okay, that's pretty cool.
[15:19.500 --> 15:20.360]  Let's do it, bud.
[15:21.680 --> 15:22.280]  You animals!
[15:22.680 --> 15:23.480]  What are you doing?
[15:25.760 --> 15:27.140]  What are you doing?
[15:27.180 --> 15:27.800]  Fuck that bike.
[15:27.800 --> 15:28.960]  No bad ideas.
[15:33.340 --> 15:36.460]  I love horses, let's go.
[15:36.820 --> 15:38.220]  Just bad people, you know what I'm saying?
[15:39.160 --> 15:40.580]  No, no bad ideas.
[15:40.780 --> 15:41.660]  Not no bad people.
[15:43.620 --> 15:48.280]  Oh, we have to climb a rooftop
[15:49.100 --> 15:49.580]  ladder.
[15:52.080 --> 15:54.400]  I'm treating this like it's the Halo 2 speedrun
[15:54.400 --> 15:55.260]  between Gavin and I.
[15:55.580 --> 15:57.880]  Oh, Gavin's locked in too.
[15:58.420 --> 16:00.080]  I'm doing Formula 1 lines.
[16:00.180 --> 16:00.800]  I'm taking shortcuts.
[16:05.000 --> 16:06.380]  I'm attempting shortcuts.
[16:06.640 --> 16:08.040]  That was an awesome shortcut, Gavin.
[16:08.840 --> 16:10.080]  That was an awesome shortcut.
[16:10.560 --> 16:10.860]  Team tape.
[16:11.620 --> 16:12.660]  Team tape.
[16:13.680 --> 16:15.660]  We made some serious ground.
[16:16.600 --> 16:18.700]  When we flew over that...
[16:18.700 --> 16:19.120]  Team tape.
[16:19.560 --> 16:21.800]  When we went straight over the fence and the pool
[16:21.800 --> 16:23.200]  and landed on the road on the other side.
[16:24.820 --> 16:27.200]  I mean, we're doing better than y'all are,
[16:27.200 --> 16:28.180]  but that did sound cool.
[16:28.940 --> 16:30.660]  That's what I'm saying, because it was cool.
[16:31.320 --> 16:31.860]  Team tape.
[16:33.000 --> 16:36.020]  Alright, we need some sniper rifles here.
[16:36.920 --> 16:37.640]  Yeah, I'm
[16:38.500 --> 16:39.300]  sniping position.
[16:40.320 --> 16:41.900]  Okay, I'm gonna get to my vantage point.
[16:42.420 --> 16:43.420]  Yeah, you gotta get over here.
[16:44.080 --> 16:46.020]  Alright, so we...
[16:46.020 --> 16:47.060]  Did we make it?
[16:50.320 --> 16:51.660]  Wait for the prosecutors to arrive.
[16:51.660 --> 16:54.220]  Forward and back on the D-pad to zoom in if your sniper can.
[16:54.540 --> 16:55.080]  Thank you.
[16:57.860 --> 16:58.500]  Alright.
[17:01.660 --> 17:03.040]  Think this might be them?
[17:04.260 --> 17:05.800]  Uh, hold on.
[17:06.340 --> 17:07.840]  Let's synchronize our shots.
[17:07.960 --> 17:09.080]  Do you want the top guy or the other guy?
[17:09.080 --> 17:10.020]  I got the left guy.
[17:10.880 --> 17:11.520]  Ready?
[17:14.460 --> 17:15.740]  3, 2,
[17:16.060 --> 17:17.100]  1, go.
[17:18.360 --> 17:19.000]  Beautiful.
[17:19.400 --> 17:20.380]  Nicely done.
[17:20.980 --> 17:22.920]  I don't see guys.
[17:24.260 --> 17:25.740]  I saw that.
[17:26.760 --> 17:27.520]  Oh shit.
[17:27.660 --> 17:29.340]  Get in the armored car.
[17:31.440 --> 17:31.840]  Fuck.
[17:32.140 --> 17:32.640]  Oh shit.
[17:33.560 --> 17:34.040]  I'm alright.
[17:35.940 --> 17:36.960]  I see a guy.
[17:37.340 --> 17:38.020]  I'm in the car.
[17:40.500 --> 17:41.300]  What happened?
[17:41.640 --> 17:42.300]  Alright, get in quick.
[17:44.000 --> 17:45.880]  Oh shit, they're swarming it.
[17:45.920 --> 17:47.260]  So we're just gonna plow through them, alright?
[17:47.820 --> 17:48.920]  Should we move up, Gavin?
[17:50.280 --> 17:51.900]  Uh, we could, yeah.
[17:52.300 --> 17:53.520]  See if we can just drive over it.
[17:54.400 --> 17:56.380]  I bet we'll have to get out, but maybe.
[17:57.180 --> 17:58.100]  I'm just trying to see if there's...
[17:58.100 --> 18:00.000]  I just don't see anyone else on this.
[18:01.360 --> 18:02.000]  Oh shit.
[18:03.680 --> 18:04.140]  It's right here.
[18:04.360 --> 18:04.700]  It's right here.
[18:05.740 --> 18:06.260]  Alright, get in.
[18:08.480 --> 18:09.220]  Let's get out of here.
[18:10.260 --> 18:11.760]  Go, go, go, go, go.
[18:12.820 --> 18:13.140]  Yeehaw!
[18:13.460 --> 18:14.120]  Oh, not that way.
[18:15.700 --> 18:15.920]  Hello.
[18:18.220 --> 18:19.840]  I don't see any mofos.
[18:20.360 --> 18:21.780]  I think they're all on the other side.
[18:21.780 --> 18:23.040]  Alright, the chopper's gonna be a problem.
[18:23.800 --> 18:25.780]  Here, I'll work on him.
[18:27.380 --> 18:28.220]  Alright, that worked.
