[00:00.000 --> 00:01.800]  Andrew's singing the song.
[02:15.280 --> 02:16.500]  This is great.
[02:17.400 --> 02:18.480]  And Jumbo Crazy Eyes.
[02:18.620 --> 02:20.860]  Dude, everyone's here. 5 gifted, my goodness.
[02:20.860 --> 02:21.860]  Why?
[02:22.280 --> 02:25.020]  That's a level 9 hype train in one go.
[02:25.080 --> 02:26.740]  Damn, even Cecilia?
[02:27.580 --> 02:27.860]  Wow.
[02:29.260 --> 02:30.340]  Gavin, you ever been to Cecilia?
[02:31.340 --> 02:31.820]  Nope.
[02:32.560 --> 02:33.020]  Nice.
[02:33.960 --> 02:34.340]  Okay.
[02:37.220 --> 02:39.020]  Sent us Meg, thanks for the 5 gifted subs.
[02:39.240 --> 02:39.960]  You ever been to 1904?
[02:40.280 --> 02:40.720]  Megma.
[02:41.680 --> 02:42.300]  No.
[02:44.180 --> 02:44.620]  Nah, it's open.
[02:45.060 --> 02:45.400]  No.
[02:51.350 --> 02:53.390]  It's a bright match.
[02:54.530 --> 02:55.950]  Maybe it's just really, really dark there.
[02:56.830 --> 02:57.230]  Yeah.
[03:00.850 --> 03:03.210]  Does it make sense for them to have Italian accents?
[03:04.670 --> 03:05.110]  In Italy?
[03:06.890 --> 03:07.290]  Yeah, right.
[03:07.370 --> 03:09.390]  But, like, you would think they're not speaking English, right?
[03:10.530 --> 03:11.810]  Oh, yeah, probably not.
[03:12.110 --> 03:14.510]  Maybe they're practicing their English because maybe they're thinking about moving.
[03:15.170 --> 03:18.390]  This whole game, we have to imagine they're practicing their English.
[03:18.550 --> 03:18.750]  Yeah.
[03:19.790 --> 03:20.830]  I like that a lot.
[03:21.830 --> 03:23.510]  Have you ever lit a match using your face?
[03:24.670 --> 03:26.170]  I feel like I don't see that anymore.
[03:26.990 --> 03:29.710]  I grew up in an era of safety matches where you can't really do that.
[03:29.870 --> 03:30.070]  Yeah.
[03:31.110 --> 03:34.370]  What part of your face do you think you would use to light a match?
[03:35.250 --> 03:36.610]  Just under the chin, probably?
[03:36.910 --> 03:38.090]  Yeah, it's gotta be.
[03:38.470 --> 03:41.230]  Where the grain is, like, against me.
[03:43.410 --> 03:44.290]  Cranium Overload?
[03:45.010 --> 03:46.310]  Thanks for the 5 gifted subs.
[03:47.450 --> 03:50.870]  This is gonna be Jane Austen's Mafia instead of Anything Serious.
[03:56.090 --> 03:58.770]  This was the spot. Check under that rubble.
[04:01.750 --> 04:02.710]  I'm checking.
[04:03.330 --> 04:05.830]  This is the manual labor of the video game.
[04:06.390 --> 04:07.670]  Well, that was Roadcraft.
[04:07.870 --> 04:10.070]  Hey, at least in Roadcraft, I got a winch.
[04:16.270 --> 04:18.570]  I wonder what year the winch was invented.
[04:19.970 --> 04:21.270]  Maybe that's what he's holding.
[04:21.810 --> 04:25.330]  What do you think, like, 1700s?
[04:28.170 --> 04:28.530]  1400s?
[04:28.690 --> 04:31.030]  Guys, I don't want to interrupt, but Hounds just gifted 10 subs.
[04:31.750 --> 04:32.710]  There's only one way to find out.
[04:32.770 --> 04:34.210]  Thank you so much, thank you so much.
[04:35.250 --> 04:39.490]  Audience, we're gonna have to rely on you.
[04:39.590 --> 04:46.350]  I saw one comment the other day from somebody that said they're sick of me looking stuff up during podcasts and recordings,
[04:46.450 --> 04:48.750]  so I'm not gonna do it ever again, so now I'm gonna rely on the audience.
[04:49.350 --> 04:50.230]  What did you look up?
[04:50.710 --> 04:51.410]  I don't know.
[04:52.070 --> 04:52.810]  It was just one comment.
[04:53.150 --> 04:54.910]  I was like, alright, fuck you, I'm never gonna do it again then.
[04:55.070 --> 04:56.170]  You saw one comment?
[04:56.610 --> 04:57.650]  Oh yeah, that's how it works.
[04:58.010 --> 04:59.070]  That's why I try not to see any comments.
[04:59.910 --> 05:01.870]  Winch invented 700 BC.
[05:02.370 --> 05:02.590]  Wow.
[05:03.010 --> 05:04.610]  Thank you, 700 BC, appreciate it.
[05:04.830 --> 05:05.430]  That's Enzo.
[05:05.990 --> 05:07.010]  That's the Enzo pig.
[05:08.170 --> 05:09.790]  When was the electric winch invented?
[05:12.430 --> 05:15.030]  He's no longer a child putting away his childish things.
[05:16.250 --> 05:17.370]  Only pig in Sicily.
[05:17.550 --> 05:18.850]  I've had it since I was brought here.
[05:19.230 --> 05:19.590]  Enzo.
[05:25.110 --> 05:26.570]  Is this what it's like in Sicily?
[05:28.510 --> 05:29.310]  I think so.
[05:31.950 --> 05:34.310]  Gavin, you've never been there, so you wouldn't know, but what do you think?
[05:36.230 --> 05:37.050]  About this cave?
[05:37.670 --> 05:38.030]  Yeah.
[05:39.550 --> 05:40.090]  Nice, isn't it?
[05:41.410 --> 05:42.830]  I mean, it's a pretty good cave.
[05:44.050 --> 05:44.670]  Lots of headroom?
[05:45.130 --> 05:45.990]  Lots of space.
[05:46.090 --> 05:47.490]  There is, there's a lot of headroom.
[05:48.210 --> 05:51.330]  Pink Floyd hemorrhoid with the gifted as well as crucified donkey.
[05:55.350 --> 05:57.450]  And Cade Wolfe as well, thank you so much.
[05:57.610 --> 05:58.330]  Oh man.
[06:04.850 --> 06:07.370]  This has got me in the mood for Assassin's Creed, I think.
[06:07.690 --> 06:11.250]  I was about to say that this feels very Assassin's Creed so far.
[06:12.770 --> 06:13.950]  You think it's just the accents?
[06:14.830 --> 06:15.030]  Yeah.
[06:15.030 --> 06:16.330]  I don't, but I...
[06:20.970 --> 06:24.370]  My kid just finished Odyssey, and I gotta say, that was like a really good game.
[06:24.510 --> 06:24.770]  Oh yeah.
[06:25.790 --> 06:26.750]  I played Odyssey, I liked it.
[06:27.530 --> 06:28.090]  A lot.
[06:28.770 --> 06:31.650]  It's one of the biggest maps I've ever seen in my life.
[06:31.990 --> 06:34.310]  They've been, she and her boyfriend have been playing it all summer.
[06:34.490 --> 06:36.130]  They just wrapped last night.
[06:36.310 --> 06:36.790]  He used the summer.
[06:37.750 --> 06:43.970]  My favorite thing to do in that game was to find cult members that were way beyond my level and just kick them into the sea.
[06:46.310 --> 06:47.890]  Get that out the door.
[06:48.230 --> 06:49.350]  This guy likes kicking too.
[06:49.590 --> 06:50.950]  I can't.
[06:52.050 --> 06:52.530]  What?
[06:53.090 --> 06:54.170]  What's his anchor integrity?
[06:55.130 --> 06:59.570]  It's at least zero, and I think his life integrity is about to be zero also.
[06:59.730 --> 07:02.710]  There is no God there. Not down here.
[07:04.830 --> 07:10.750]  Think you've played a game and then realized you were completely wrong and you haven't played it, and all of your memories of playing it are false?
[07:11.930 --> 07:12.290]  No.
[07:12.950 --> 07:13.290]  What?
[07:13.290 --> 07:13.530]  No.
[07:14.770 --> 07:15.130]  What do you have?
[07:15.130 --> 07:26.770]  I started playing Borderlands 3 together last night, and I could have sworn I played and beat Borderlands 3 when it came out, but I had never seen one second of that game before.
[07:26.950 --> 07:30.630]  It's like, it's like so not memorable. Like it's not, you know.
[07:31.270 --> 07:32.290]  No, I get it.
[07:33.490 --> 07:36.090]  I don't think I've ever played it. I think I was just wrong.
[07:36.930 --> 07:38.430]  I could have sworn I played it.
[07:39.510 --> 07:47.130]  I could see that with that game, though. It feels like a game that you could convince yourself you played, because it's not all that different from any of the other Borderlands.
[07:47.810 --> 07:51.310]  I feel like I play games twice and they're completely different each time, though.
[07:51.530 --> 07:54.770]  Like the second time I played Cyberpunk, I liked it way more than the first.
[07:54.890 --> 07:55.350]  Oh, really?
[07:56.510 --> 07:56.750]  Yeah.
[07:56.930 --> 07:57.450]  Oh, interesting.
[07:58.430 --> 08:01.570]  Also, playing Hitman with the map has been pretty life-changing.
[08:09.590 --> 08:12.910]  Oh, the beginning of games sucks.
[08:13.350 --> 08:16.630]  I think that melee video you're talking about, the gobble, is Borderlands 2.
[08:18.990 --> 08:20.550]  Sorry, just answering a question in the chat.
[08:21.290 --> 08:24.870]  I think I'll probably play every Borderlands game that is like a shooter.
[08:25.150 --> 08:29.910]  Like when they did like the spin-off, like, yeah, this is like a Telltale game. It's like, that's like not my thing.
[08:30.090 --> 08:34.630]  Dude, that being said, that Telltale game was maybe the best Telltale game.
[08:35.690 --> 08:36.350]  The first season.
[08:36.350 --> 08:38.910]  It was so good.
[08:38.930 --> 08:39.810]  I don't know anyone.
[08:40.690 --> 08:43.270]  Have you played the second one? You'd be the first person then.
[08:43.470 --> 08:46.910]  I think I played it when it came out, but I have no memory of it. I was thinking it was decent.
[08:48.330 --> 08:52.110]  I love that this was another Borderlands 3 situation you've never played.
[08:52.130 --> 08:52.690]  I've never played it.
[08:55.070 --> 08:59.170]  I really, really, really liked the Borderlands. It was a little Vaughn and all that, yeah.
[09:01.790 --> 09:07.190]  God, look at the lighting on this.
[09:07.770 --> 09:08.970]  This is a good looking game, man.
[09:10.210 --> 09:10.870]  It's beautiful.
[09:13.050 --> 09:15.770]  I think this is just how games look now though, right? Like...
[09:15.770 --> 09:16.030]  Sure.
[09:16.730 --> 09:19.570]  Whoa, he's going to Santa Barbara? Cool.
[09:24.550 --> 09:26.270]  Can I sprint? Do I have a sprint button?
[09:27.890 --> 09:28.670]  Too sandy.
[09:31.370 --> 09:34.510]  With no shoes on? No thanks. Nick's really missing out.
[09:34.890 --> 09:37.730]  Yeah, he's going fucking crazy right now.
[09:39.490 --> 09:43.210]  That's probably why he didn't show up today. He knew he wouldn't be able to control himself.
[09:44.230 --> 09:46.030]  There might be some MILFs in this village though.
[09:46.590 --> 09:48.710]  Is that a shrine? Did I pass the shrine?
[09:48.830 --> 09:50.230]  Of course you did! Pay attention!
[09:51.770 --> 09:53.030]  I mean, you're walking away from the marker.
[09:53.350 --> 09:55.530]  Yes, but there's a white marker over here on the left.
[09:56.270 --> 09:57.750]  I was so focused on the other marker.
[09:57.970 --> 09:59.670]  He was staring at the feet, Nick style.
[10:03.270 --> 10:05.450]  Heard there might be MILFs, he started looking around.
[10:06.390 --> 10:06.810]  MILFs?
[10:08.250 --> 10:09.230]  Where are they?
[10:10.550 --> 10:11.290]  There's one!
[10:11.470 --> 10:13.730]  Yeah, there's one MILF, ten MILFs.
[10:14.770 --> 10:16.410]  When it's an action, I don't think that works.
[10:16.850 --> 10:20.930]  I thought it was a murder of MILFs.
[10:26.540 --> 10:28.800]  Hey Natsu, what do we have today?
[10:29.480 --> 10:30.080]  You're too late.
[10:31.080 --> 10:32.280]  What MILFs do you even stand for?
[10:32.300 --> 10:35.100]  Not my problem. Want to complain? Take it to Spadaro.
[10:35.960 --> 10:41.840]  Somebody jiggered the bomb and said, if you can get through the snow opening of Red Dead Redemption 2, you can get through the start of any game.
[10:42.080 --> 10:46.160]  I couldn't get through the snow. That's what did it to me.
[10:46.280 --> 10:49.000]  You should have. The game's incredible once you get past that part.
[10:49.740 --> 10:50.680]  Even that part's pretty good.
[10:50.680 --> 10:59.220]  So, they speak Italian sometimes and they speak in Italian accents the whole time.
[11:00.660 --> 11:01.480]  But it's English.
[11:01.480 --> 11:02.140]  Yeah, they're multilingual.
[11:04.440 --> 11:08.800]  I mean, what would you prefer? Just a bunch of copies? Or like, a foreign language?
[11:09.700 --> 11:14.760]  No, I think it would just be like, the accents are just throwing me so much. It just doesn't make sense to me.
[11:16.340 --> 11:19.920]  Do you have a favorite handling of that in media?
[11:19.920 --> 11:26.300]  I really like how they handle it in the hunt for Red October, where they slowly zoom into the mouth and then zoom out.
[11:26.680 --> 11:27.560]  That was great.
[11:29.740 --> 11:35.440]  But then it kind of took me out of it, because I just assumed that Sean Connery just refused to speak any foreign language.
[11:36.120 --> 11:40.100]  Did you ever see the Antonio Banderas movie, The 13th Warrior?
[11:40.720 --> 11:41.000]  No.
[11:41.760 --> 11:48.140]  They did a cool thing there where he's like a guy who gets kidnapped by a bunch of Vikings or some shit, and there's a language barrier.
[11:48.140 --> 11:51.100]  So any time they speak, you can't understand what the fuck they're saying.
[11:51.460 --> 11:56.940]  And then he's like sitting around the fire, and every once in a while you'll hear an English word, and he'll perk up and he'll look.
[11:57.060 --> 12:01.080]  And it's like him learning their language around the fire at night.
[12:01.260 --> 12:06.700]  And then it transitions in over a montage to them suddenly being able to understand them, and then everybody just speaks English.
[12:06.880 --> 12:08.300]  That's very cool.
[12:09.980 --> 12:14.540]  I was hoping that would happen for me in Donkey Kong, but I could never understand what the elders were saying.
[12:14.540 --> 12:21.520]  That's what I'm saying. The language there doesn't make any sense. That game doesn't make any sense of that stuff. It's wacky.
[12:24.260 --> 12:29.060]  She speaks English, everyone else speaks ape, and then she sings in ape. It's very strange.
[12:30.540 --> 12:32.480]  I don't think the language is ape, though.
[12:33.260 --> 12:34.640]  What language do you think it is?
[12:36.600 --> 12:38.800]  Just like... underground language.
[12:39.440 --> 12:42.280]  Okay, that's fine. Yeah, underground language is fine.
[12:42.960 --> 12:45.300]  Because everyone above would be...
[12:45.300 --> 12:47.580]  Like Sleestack language? Thank you, Braxtorman.
[12:48.020 --> 12:48.980]  Yeah, as above, so below.
[12:49.280 --> 12:49.960]  Thank you, Brax.
[12:51.040 --> 12:52.400]  Keep your heart, Sleestacks.
[13:08.700 --> 13:11.980]  That was fucking great. That was really, really good.
[13:11.980 --> 13:13.020]  Very funny, Gavin.
[13:13.060 --> 13:14.060]  That was awesome, man.
[13:15.020 --> 13:15.940]  Oh, Christ.
[13:19.620 --> 13:20.480]  That's a lot of bread.
[13:21.760 --> 13:24.200]  Gotta get that bread. Bread box.
[13:24.800 --> 13:27.640]  So when they say bigger than a bread box, that's what they mean, I guess.
[13:27.860 --> 13:30.020]  Yep, yep. That's the bread box.
[13:36.200 --> 13:37.560]  It's Stephen Sethson.
[13:38.620 --> 13:40.260]  Gavin with his annual joke.
[13:47.960 --> 13:49.880]  We'll take the old rest of the year off here.
[13:50.340 --> 13:53.120]  That was an old joke. That was an old bit we used to do with Jack.
[13:53.320 --> 13:55.760]  Like on the rare occasion he'd make us laugh and he'd be like,
[13:55.820 --> 13:57.160]  Alright, well that's it. I'll see you guys for the year.
[13:57.580 --> 13:58.700]  And I'll see you guys next year.
[13:58.760 --> 14:01.220]  But he was serious with it. He didn't try again until next year.
[14:05.940 --> 14:08.280]  Rotting Skellington, thank you very much for the sub.
[14:09.080 --> 14:10.000]  Really appreciate it.
[14:10.280 --> 14:11.060]  Rotting Skellington.
[14:17.540 --> 14:20.880]  Nah, it should be fine. Just hand him bread or whatever.
[14:21.040 --> 14:22.480]  Yeah, you just pay off your debt.
[14:22.480 --> 14:22.780]  Yeah.
[14:31.840 --> 14:33.860]  So this is how the Mafia started?
[14:34.200 --> 14:35.020]  Yeah, yeah, yeah.
[14:37.020 --> 14:41.160]  They don't tell you about how much walking there was in early Mafia.
[14:41.780 --> 14:43.800]  Where do you think the 10,000 steps thing came from?
[14:44.480 --> 14:46.020]  The bullshit Al Capone made up.
[14:46.020 --> 14:46.360]  Yeah.
[14:57.180 --> 15:00.940]  It'd be a power move to pay your debts off to somebody who is just laying in bed.
[15:02.820 --> 15:04.900]  Walk up to them just laying out.
[15:05.440 --> 15:07.120]  Hey, Eric, I got a question for you here.
[15:07.160 --> 15:14.000]  He said, have you talked about how you already released the skateboard guillotine and then talked around it for an entire podcast?
[15:16.280 --> 15:18.360]  You can ask Gavin about it if you want.
[15:19.300 --> 15:23.620]  We shot the skateboard sandwich crash literally right after that podcast.
[15:24.900 --> 15:26.540]  Like 10 minutes after the podcast.
[15:26.620 --> 15:30.040]  It was because Andrew suggested we added it to that video.
[15:30.220 --> 15:34.780]  Yeah, we did.
[15:35.720 --> 15:42.740]  It was a spur of the moment thing, which allowed us to utilize the full power of having an office for once. It was very cool.
[15:43.760 --> 15:46.900]  It was a quick turnaround, like it came out the day after we filmed it.
[15:47.060 --> 15:52.800]  But yeah, it did mean that us trying not to say it in the episode made little sense.
[15:52.800 --> 15:54.760]  Made it just spoiled a little bit.
[15:54.940 --> 16:00.680]  But we thought that the idea of flattening a sandwich with the guillotine was funny enough to do it.
[16:02.040 --> 16:06.300]  And I did enjoy Nick immediately eating it.
[16:13.160 --> 16:15.220]  Nick, do you want to try to flatten the sandwich now?
[16:15.460 --> 16:16.380]  No, I'm just going to eat this one.
[16:16.380 --> 16:23.800]  When he takes a bite and he looks at the camera and says, oh, so flat. That's the funniest thing you've ever done.
[16:26.780 --> 16:28.640]  Has Gavin figured out how to use a calendar yet?
[16:28.980 --> 16:34.580]  No, I did try on a different browser and a different account and it did the same thing.
[16:34.720 --> 16:35.620]  What about a different computer?
[16:36.720 --> 16:38.480]  Can you try it while we're in the office?
[16:39.060 --> 16:39.740]  Yeah, I'll do that.
[16:39.740 --> 16:40.140]  Okay.
[16:42.700 --> 16:45.060]  So did these guys not pay off their debt or they did?
[16:45.160 --> 16:47.920]  Because they just came in here, laid down and now we're getting up and leaving.
[16:48.720 --> 16:49.900]  And they left the bread.
[16:50.260 --> 16:51.420]  No, the bread.
[16:51.620 --> 16:52.280]  It's on the bed.
[16:52.960 --> 16:53.560]  No, the bed.
[17:01.960 --> 17:05.020]  There you go. Thanks for the sub, VeryGoodGames.
[17:11.200 --> 17:13.780]  Who is wasting my fucking time?
[17:17.320 --> 17:19.660]  Federico's crew has not returned from the new deposit.
[17:20.240 --> 17:21.220]  Something's not right.
[17:22.280 --> 17:23.440]  So sorry to hear that.
[17:24.120 --> 17:25.780]  I'll remember to say a prayer for them.
[17:26.400 --> 17:28.080]  I don't think he's...
[17:30.340 --> 17:31.980]  Somebody asked why we're not streaming...
[17:34.220 --> 17:38.280]  Somebody asked why we're not streaming Battlefield 6 right now because there's no mafia in Battlefield 6.
[17:38.440 --> 17:38.600]  It's true.
[17:39.740 --> 17:41.380]  Until the mafia is in it, we can't play it.
[17:42.500 --> 17:44.740]  I think there's a demo out maybe or the beta's out.
[17:48.420 --> 17:51.160]  Is Battlefield good? I don't think I've played any Battlefield games.
[17:53.120 --> 17:54.540]  The last few haven't.
[17:55.040 --> 17:56.560]  I thought the last one was real good.
[17:56.700 --> 18:00.020]  They do big map battles very well.
[18:01.540 --> 18:04.560]  I think you can ride a tank and then get into a jet.
[18:04.740 --> 18:06.540]  I think that's all I really know about those games.
[18:07.360 --> 18:12.340]  I think the last one I had the most fun in was probably Bad Company 2, whenever that came out.
[18:12.480 --> 18:13.100]  That's a perfect game.
[18:14.180 --> 18:20.440]  But I got really into the most recent Battlefield with Burndog and Antonio and it won me over after a while.
[18:20.520 --> 18:20.960]  It's real good.
[18:21.320 --> 18:23.780]  Do you think you and the truck boys will play some 6?
[18:24.280 --> 18:24.640]  Absolutely.
[18:26.560 --> 18:27.160]  Do you want to play?
[18:30.300 --> 18:32.380]  Let's play Sea of Thieves. Let's play whatever.
[18:33.080 --> 18:34.120]  Are you going to call more trucks?
[18:35.580 --> 18:36.220]  Gun trucks.
[18:40.880 --> 18:43.120]  We spent a lot of time in this fucking cave.
[18:43.900 --> 18:44.780]  Don't worry, we're back.
[18:45.480 --> 18:47.940]  It's like if the beginning of Starfield was the whole game.
[18:50.400 --> 18:58.140]  I think a big problem in media that I have right now is that everything has to give me a prologue and nothing can get to the point.
[18:58.140 --> 19:04.880]  It's like I don't really care about this. I care about what we're doing and this isn't what we're doing.
[19:05.640 --> 19:10.060]  Every game is just walking for the first 45 minutes.
[19:10.220 --> 19:13.240]  That's why I like Donkey Kong so much because you just start smashing straight away.
[19:13.240 --> 19:20.660]  Boy, you just start and it felt like... I felt like I was doing something wrong in Donkey Kong because I went there's no way this is what it's supposed to be and it is and it's great.
[19:22.360 --> 19:23.320]  You finished Donkey Kong yet?
[19:23.680 --> 19:26.940]  No, I think I'm very close. I think I'm right near the end.
[19:27.600 --> 19:30.140]  I'm on rehearsals.
[19:32.820 --> 19:36.480]  Yeah, I got... I'm done with the story, got all the bananas.
[19:37.040 --> 19:37.440]  Nice.
[19:37.900 --> 19:39.000]  Got every banana?
[19:39.580 --> 19:39.780]  Yep.
[19:40.340 --> 19:41.260]  Holy shit.
[19:43.060 --> 19:44.580]  I think Jordan Spears did that in Odyssey.
[19:44.920 --> 19:46.400]  I think Jordan Spears just did that.
[19:47.080 --> 19:48.500]  What are you going to do with all those bananas?
[19:49.980 --> 19:52.480]  I guess buy more bananas.
[19:52.880 --> 20:01.880]  Like, there's a cap. You can just endlessly buy bananas and if you collect all the 777, it's still not enough to fully upgrade all your skill points.
[20:02.040 --> 20:02.200]  Oh, wow.
[20:02.840 --> 20:04.820]  I might be buying.
[20:05.440 --> 20:07.620]  Do you need like that little chip tone guy to give you the...
[20:08.580 --> 20:09.060]  Yeah.
[20:09.480 --> 20:10.520]  The infinite amount of bananas?
[20:10.980 --> 20:13.120]  Yeah, you need like over a hundred from him.
[20:13.820 --> 20:14.540]  Wow, really?
[20:15.960 --> 20:21.020]  Yeah, but they're not... they don't count as far as like what they consider to be all the bananas.
[20:21.800 --> 20:24.500]  They don't go to your total number, but they go to your skills?
[20:25.680 --> 20:26.080]  Yeah.
[20:26.640 --> 20:27.240]  Thank you, Epsilon.
[20:28.460 --> 20:34.500]  They have like a banana thing that says like 700 out of... like 777 out of 777, but then you can just go above that.
[20:35.120 --> 20:35.360]  Wow.
[20:37.460 --> 20:39.800]  Yeah, I feel like I bought some extra moons in Odyssey.
[20:41.440 --> 20:44.120]  Guys, this is the deepest mine. It's about to get real exciting.
[20:45.260 --> 20:48.300]  I think we could go deeper. Donkey Kong would make it so much deeper than this.
[20:48.760 --> 20:49.900]  Donkey Kong wouldn't stop.
[20:50.900 --> 20:54.180]  That was a very fast fall. Holy shit.
[20:54.400 --> 20:56.500]  That wouldn't scare Donkey Kong and he would dig deeper.
[20:57.820 --> 20:59.420]  And then he would get mad and start digging up.
[21:00.520 --> 21:01.560]  Powerfully he'd dig up.
[21:03.500 --> 21:10.380]  I think if he's going to find... I think maybe the ancient sword of Mafia and when he touches it, he'll be imbued with Mafia.
[21:14.150 --> 21:16.990]  The ancient sword of Mafia.
[21:17.530 --> 21:20.530]  Now imagine a Graboid shoots out of the wall right now.
[21:20.670 --> 21:22.130]  That's what I'm talking about, dude. Yeah.
[21:29.850 --> 21:32.010]  Jim Lovell died.
[21:36.930 --> 21:37.470]  97.
[21:37.470 --> 21:37.770]  97.
[21:41.690 --> 21:49.270]  Obviously, I'm a big fan of Jim, but for those of us who don't know, like Eric, who's Jim Lovell?
[21:50.550 --> 21:51.550]  Apollo 13 astronaut.
[21:52.330 --> 21:53.010]  That's right.
[21:53.870 --> 21:54.910]  That's right.
[22:00.910 --> 22:02.150]  Tom Hanks in the movie.
[22:12.270 --> 22:13.850]  Oh, no. The game started.
[22:17.410 --> 22:20.090]  Something's finally happening in the game. Run away from it.
[22:20.550 --> 22:23.610]  If the game started with this sequence, would we be mad? I think this would be better.
[22:23.850 --> 22:24.910]  I think this would be way better.
[22:29.430 --> 22:35.230]  And then while they're squeezing through, they could just throw some dialogue that's like, remember when we were in a room and we all ate bread? Yeah.
[22:35.950 --> 22:37.030]  That was crazy, right?
[22:37.190 --> 22:38.330]  All right. Anyway, let's go up this ladder.
[22:38.330 --> 22:40.590]  Hey, remember that shrine? All right, let's keep running.
[22:57.260 --> 23:01.280]  Errol has beef with the beginning of games. That sounds like a new show. Errol has beef.
[23:02.980 --> 23:06.240]  I do have beef. I think so many games are just pants.
[23:07.820 --> 23:11.740]  Hit him with an E-bomb, Errol.
[23:14.000 --> 23:19.440]  There's that tweet where that guy said, back in the day, if you had a TV show called Surf Dracula,
[23:19.440 --> 23:22.740]  you'd see that guy surfing every week in New Adventures.
[23:23.020 --> 23:28.660]  But in the streaming era, the entire first season is going to be a long-ass flashback about how he got his surfboard
[23:28.660 --> 23:30.980]  until you finally see him surf in the five-minute finale.
[23:31.860 --> 23:37.200]  And that is truly the state we're in.
[23:42.300 --> 23:45.460]  That's maybe the best point I've heard made this year.
[23:46.480 --> 23:47.480]  It's definitely like...
[23:48.000 --> 23:52.340]  Eight episodes of waiting for Dracula to surf. Absolutely cliffhanger.
[23:52.960 --> 23:53.500]  Point of the year.
[23:53.960 --> 23:55.260]  Back in two and a half years.
[23:56.440 --> 23:58.860]  That's why Superman kind of gets right to it.
[24:03.720 --> 24:08.780]  Yeah, well, it's because people don't know how to tell a story in 90 minutes,
[24:08.900 --> 24:10.820]  so when you give them nine episodes, they make it worse.
[24:15.460 --> 24:20.340]  Oh my God! Is... Did you... Are... Are we still... Is this the same thing?
[24:21.300 --> 24:21.940]  What do you mean?
[24:22.120 --> 24:22.380]  He died.
[24:22.740 --> 24:23.260]  Did you die?
[24:23.440 --> 24:27.440]  No, I didn't die. I, like, broke... Like, the thing broke. I fell over, and then I... I kept going.
[24:28.300 --> 24:28.460]  Oh.
[24:29.060 --> 24:30.420]  Oh, so this is...
[24:30.420 --> 24:31.080]  So this is the same thing.
[24:31.080 --> 24:32.200]  This is the same sequence.
[24:32.780 --> 24:33.580]  Okay, thank you.
[24:35.560 --> 24:37.820]  Crazy. It's crazy that you did it again.
[24:38.780 --> 24:39.380]  Minkia!
[24:40.160 --> 24:40.760]  Demoni!
[24:41.440 --> 24:43.240]  Forget it! We need to go!
[24:44.780 --> 24:46.060]  He's gonna die!
