[00:00.000 --> 00:00.840]  That's a big logo.
[01:05.380 --> 01:07.880]  in a pinch. How does everything sound?
[01:07.980 --> 01:09.820]  What needs to be louder? What needs to be quieter?
[01:09.920 --> 01:11.460]  I can make some adjustments right now.
[01:11.480 --> 01:13.760]  For about three minutes and then he's not going to
[01:13.760 --> 01:15.300]  listen to anything you say from here on out. Yep.
[01:15.620 --> 01:18.140]  Absolutely. Game audio too loud? It turned it way down, baby.
[01:19.840 --> 01:20.200]  Now
[01:20.200 --> 01:22.340]  we should be good. I hope that's a problem.
[01:22.500 --> 01:24.260]  You can hear Geoff talking at this level.
[01:24.260 --> 01:25.960]  You guys are probably happy with that.
[01:26.140 --> 01:27.760]  And Gavin, he's going to talk about Gavin level.
[01:28.180 --> 01:29.060]  Yeah, about his level.
[01:29.320 --> 01:30.400]  What are you eating?
[01:31.940 --> 01:32.380]  Nothing.
[01:34.060 --> 01:34.500]  Okay.
[01:36.180 --> 01:38.100]  Are you eating teriyaki chicken?
[01:39.300 --> 01:39.520]  Okay.
[01:39.680 --> 01:40.860]  Yeah, that was my last bite of chicken.
[01:43.240 --> 01:44.380]  That was your last bite?
[01:44.720 --> 01:45.320]  Finished at 401.
[01:46.540 --> 01:48.200]  401? An hour
[01:48.200 --> 01:49.860]  away from the perfect time? Yep.
[01:50.560 --> 01:52.420]  Dang. I had a whatchamacallit
[01:52.420 --> 01:53.740]  bar to get ready for this
[01:54.440 --> 01:56.000]  live stream and I got to be honest,
[01:56.040 --> 01:57.800]  not as good as I remembered it.
[01:57.840 --> 02:00.340]  Oh, no? No. Doesn't hold up. That sucks.
[02:00.560 --> 02:01.340]  Yeah, I was bummed. Dang.
[02:02.140 --> 02:02.340]  Okay.
[02:04.240 --> 02:05.960]  It said Eric's the quietest
[02:05.960 --> 02:08.200]  and now I've turned my stuff up
[02:08.200 --> 02:10.020]  so now you have to wait about 30 seconds before
[02:10.020 --> 02:10.920]  anyone says anything.
[02:11.200 --> 02:14.040]  You know that it's time to move on when people
[02:14.040 --> 02:16.200]  start making jokes about the audio. Eric's
[02:16.200 --> 02:17.500]  too quiet. Okay, cool. I fixed it.
[02:17.820 --> 02:19.920]  Gracie's too quiet. Andrew's too quiet. Okay, that means
[02:19.920 --> 02:21.240]  it's time to play the game.
[02:21.800 --> 02:23.460]  Alright, here we go. Gavin, start us off.
[02:24.060 --> 02:25.420]  Where do we want to go? Wherever.
[02:25.880 --> 02:26.860]  In the backrooms.
[02:27.420 --> 02:29.580]  What? Where are you guys?
[02:30.400 --> 02:31.580]  Party host starting game.
[02:31.840 --> 02:33.180]  Which one did you go to?
[02:33.420 --> 02:35.300]  Just hop on a level and it'll vote. It'll just pick.
[02:35.800 --> 02:37.520]  Yeah, but I want to play the level you want to play, dude.
[02:37.560 --> 02:38.740]  Yeah, I want to play where you want to play.
[02:38.840 --> 02:40.840]  I'm up on a nuclear plant.
[02:41.240 --> 02:43.540]  Nuclear plant it is. I don't know if I can get up there.
[02:43.940 --> 02:44.800]  It's a long way. Uh oh.
[02:46.560 --> 02:47.180]  Okay, I made it.
[02:47.180 --> 02:48.820]  Okay, we made it. I made it.
[02:48.820 --> 02:51.500]  Close enough. Have you played this one before, Gavin?
[02:52.240 --> 02:53.220]  Yeah, but I'm hoping...
[02:53.220 --> 02:55.420]  Oh, nice crown. I'm hoping that in that box
[02:55.420 --> 02:58.160]  there is an unlock for another level.
[02:58.480 --> 02:59.340]  Oh, that'd be nice.
[02:59.400 --> 02:59.640]  Good idea.
[03:00.840 --> 03:01.620]  Okay, we're starting.
[03:02.180 --> 03:04.180]  I'm going to go...
[03:05.640 --> 03:06.340]  Okay.
[03:08.220 --> 03:09.960]  Oh, this goes up. Interesting.
[03:10.220 --> 03:10.700]  Easy peasy.
[03:12.900 --> 03:13.460]  Yeah, way to go, Geoff.
[03:14.160 --> 03:15.400]  Oh, what happened to Geoff?
[03:16.040 --> 03:17.100]  He got crushed.
[03:17.580 --> 03:18.500]  God damn it.
[03:18.900 --> 03:19.880]  Oh, a hippo. What?
[03:20.720 --> 03:22.800]  A hippo? You can play as a hippo?
[03:22.900 --> 03:24.460]  Did I know that? That's cool.
[03:24.820 --> 03:25.960]  Did I know that?
[03:28.020 --> 03:29.400]  Somebody's getting points in this one.
[03:30.020 --> 03:30.760]  It's me, baby.
[03:31.820 --> 03:32.700]  Big dance.
[03:32.880 --> 03:34.360]  Did I get first? Yes.
[03:35.420 --> 03:37.240]  Good. You're welcome.
[03:37.860 --> 03:39.540]  After this one, I'll turn on bunsing.
[03:40.920 --> 03:42.600]  Oh, bunsing's off.
[03:50.500 --> 03:51.140]  Oh, shit.
[03:52.440 --> 03:54.400]  Oh, no. Uh-oh.
[03:54.900 --> 03:55.400]  Oh, no.
[03:56.100 --> 03:57.100]  Oh, boy, that was close.
[03:58.180 --> 03:58.580]  Goodness.
[03:59.120 --> 04:00.860]  Tricked him. Oh, damn, I thought I tricked him.
[04:02.560 --> 04:03.600]  Race for first.
[04:04.180 --> 04:05.180]  What? Bye, losers.
[04:06.320 --> 04:07.320]  Geoff, stop him.
[04:07.840 --> 04:09.020]  Oh, no points.
[04:09.740 --> 04:10.140]  Raccoon.
[04:11.120 --> 04:12.900]  I don't know what happened. I almost fell.
[04:15.120 --> 04:16.020]  That would be terrible.
[04:16.660 --> 04:18.260]  There we go. Raccoon wins, baby.
[04:18.260 --> 04:21.140]  I don't think I've ever seen them play with just three people.
[04:21.280 --> 04:22.580]  I don't think I have either.
[04:23.100 --> 04:26.060]  I played with Michael on his own once.
[04:26.360 --> 04:26.620]  Damn it.
[04:26.660 --> 04:27.080]  How was that?
[04:28.020 --> 04:30.060]  It was the very first chicken horse video we did.
[04:30.160 --> 04:31.820]  I think it was the plate house. It was fine.
[04:33.900 --> 04:35.140]  A little bit of plate hole.
[04:36.200 --> 04:36.800]  Plate hole?
[04:37.460 --> 04:37.900]  Plate hole.
[04:37.900 --> 04:39.140]  How come you guys don't do that anymore?
[04:42.560 --> 04:45.020]  When does this company become the other company?
[04:45.160 --> 04:46.140]  Put all company together.
[04:47.320 --> 04:49.720]  I really liked when you guys would do plate house together.
[04:50.280 --> 04:51.840]  You didn't like it when we started it.
[04:52.300 --> 04:53.160]  No, I didn't.
[04:53.440 --> 04:54.500]  Did you die?
[04:54.600 --> 04:55.140]  I fell again.
[04:56.700 --> 04:58.460]  Why didn't you like it when they started it?
[04:58.560 --> 04:59.440]  We had to fight for it.
[05:00.120 --> 05:02.020]  I don't remember. I had a reason, I'm sure.
[05:02.460 --> 05:05.600]  It was because it was replacing Rage Quit for every other week.
[05:05.960 --> 05:07.200]  Oh, that's what it was.
[05:08.940 --> 05:11.060]  We did it so that Michael didn't want to die.
[05:11.740 --> 05:13.100]  Yeah, he hated doing Rage Quit.
[05:14.580 --> 05:15.280]  Is that right?
[05:15.280 --> 05:17.840]  He hated doing that thing that he created to get his foot in the door.
[05:19.140 --> 05:21.620]  Yeah, I think that's kind of how the company ended up going, man.
[05:21.620 --> 05:22.480]  Just in general.
[05:24.860 --> 05:27.100]  I think what you're describing is most of it.
[05:27.220 --> 05:27.460]  Yeah.
[05:30.180 --> 05:31.180]  I'm getting devious.
[05:31.980 --> 05:33.540]  I'm getting deceptive.
[05:36.900 --> 05:38.840]  How ugly is this here?
[05:39.420 --> 05:40.020]  Pretty ugly.
[05:40.120 --> 05:40.720]  Normal ugly.
[05:41.480 --> 05:41.880]  Oops.
[05:42.020 --> 05:44.360]  Hold on.
[05:46.980 --> 05:48.760]  Raise your monyehas.
[05:49.520 --> 05:50.260]  Why did I fall?
[05:51.460 --> 05:53.560]  Dude, that rocked. That was cool.
[05:54.020 --> 05:55.340]  I did it again.
[05:56.420 --> 05:57.460]  Come on, Gavin. Hurry up.
[05:58.280 --> 05:58.600]  Whoops.
[05:58.960 --> 06:00.040]  I forgot all the shit was up here.
[06:00.120 --> 06:02.340]  I magooed through that by accident.
[06:07.820 --> 06:09.960]  Meg Hunter of Artemis wants to know
[06:09.960 --> 06:11.240]  how long we've been streaming for.
[06:11.240 --> 06:13.140]  I think the first time I streamed
[06:13.140 --> 06:14.440]  was with Jack.
[06:15.840 --> 06:19.160]  We're on hour 61
[06:20.160 --> 06:21.180]  of our
[06:21.180 --> 06:22.640]  non-stop sub stream.
[06:22.760 --> 06:24.320]  Thank you so much.
[06:24.980 --> 06:26.800]  Can't stop, won't stop.
[06:27.000 --> 06:28.760]  It was just in TV when we started.
[06:29.400 --> 06:29.600]  Yeah.
[06:33.040 --> 06:34.040]  Easy as that.
[06:34.660 --> 06:35.960]  Thanks everyone gifting subs.
[06:36.080 --> 06:38.480]  Thanks everyone who's in the chat watching us on this Friday.
[06:38.480 --> 06:40.620]  Yeah, we'd really love to be here on a Friday.
[06:41.020 --> 06:41.680]  Oh no.
[06:42.140 --> 06:43.380]  Some of us more than others.
[06:44.000 --> 06:45.840]  My contraption nearly got you.
[06:45.940 --> 06:47.360]  Your contraption?
[06:47.660 --> 06:48.880]  My devious contraption.
[06:49.140 --> 06:52.860]  You can't have 501 Friday without the rest of Friday.
[06:53.240 --> 06:53.680]  I love it.
[06:54.240 --> 06:55.180]  That's what I'm saying, baby.
[06:55.640 --> 06:56.800]  Let's put out a 501 shirt.
[06:58.160 --> 06:59.540]  We get sued by Levi's.
[06:59.980 --> 07:00.400]  Yeah, right.
[07:01.540 --> 07:02.940]  Oh, Geoff sucks.
[07:04.360 --> 07:05.360]  What got you that?
[07:05.360 --> 07:06.620]  Did you get killed by the plane?
[07:06.960 --> 07:08.200]  I got killed by my own stupidity.
[07:08.400 --> 07:09.300]  Oh, Gavin won.
[07:09.980 --> 07:11.100]  I got trap points.
[07:12.400 --> 07:12.580]  Hi.
[07:16.800 --> 07:17.280]  Hello.
[07:18.260 --> 07:19.040]  There you go, beard.
[07:20.800 --> 07:22.280]  Okay, let's have a fun sing.
[07:24.320 --> 07:25.280]  AstroCamp25 says...
[07:25.280 --> 07:27.540]  Gerpol, gerpol, gerpol, gerpol, gerpol, gerpol, gerpol.
[07:28.780 --> 07:29.500]  Makes sense.
[07:30.780 --> 07:31.260]  Rules.
[07:32.520 --> 07:33.000]  Yes.
[07:33.820 --> 07:34.300]  Modifies.
[07:34.300 --> 07:35.920]  What'd you guys do this morning?
[07:37.640 --> 07:38.720]  Put war in my mouth.
[07:39.900 --> 07:41.120]  I did that, too.
[07:41.320 --> 07:43.300]  I had a couple of drinks, but I didn't drink them.
[07:45.680 --> 07:48.360]  We did some supplemental filming today.
[07:48.700 --> 07:48.940]  Yeah.
[07:49.780 --> 07:51.580]  When will it come out? We don't know.
[07:52.000 --> 07:54.340]  We're still not through with the fuckface supplemental filming.
[07:54.980 --> 07:55.120]  Nope.
[07:56.640 --> 07:58.580]  Projectile speed faster? What the fuck?
[07:58.680 --> 07:59.800]  Oh, you can see what I'm doing, huh?
[07:59.920 --> 08:03.920]  We did measure our mouth size.
[08:04.560 --> 08:04.920]  Yep.
[08:05.180 --> 08:06.600]  And recorded it.
[08:06.600 --> 08:09.280]  Did you see my cut of blindfold sandwiches?
[08:10.340 --> 08:11.360]  Oh, no, I haven't watched it yet.
[08:11.540 --> 08:13.540]  How is it? Is it good? It's pretty funny?
[08:13.660 --> 08:14.860]  Yeah, I liked it.
[08:15.120 --> 08:16.000]  I'm excited to see it.
[08:18.680 --> 08:23.640]  We also had a surprise recording today that was inspired by Eric.
[08:24.560 --> 08:25.460]  Oh, yeah! That was fun.
[08:25.460 --> 08:27.920]  Where we measured how tall we all are in apples.
[08:28.540 --> 08:29.840]  Yeah, how many apples do you think you are?
[08:29.880 --> 08:31.740]  Yeah, how many apples tall do you think you are?
[08:31.740 --> 08:34.880]  I found out how many apples Hello Kitty was and then it just inspired me.
[08:35.140 --> 08:38.460]  I think we more measured how long we were than how tall we were.
[08:40.300 --> 08:42.200]  When you say it like that, I don't like it.
[08:42.360 --> 08:43.620]  Yeah, you're weird.
[08:46.060 --> 08:47.600]  You gotta ruin it.
[08:48.820 --> 08:49.780]  Cosmic crisp apples?
[08:49.940 --> 08:50.480]  Yeah, what do you think?
[08:50.600 --> 08:51.420]  What is happening?
[08:51.920 --> 08:52.780]  What's going on?
[08:52.880 --> 08:55.160]  I had to make sure it was cosmic crisp apples.
[08:55.400 --> 08:56.620]  I'm not gonna film with another apple.
[08:56.720 --> 08:57.280]  What's happening?
[08:57.760 --> 08:58.420]  I'm gonna get on that.
[08:59.640 --> 09:00.700]  He fucking got me.
[09:00.700 --> 09:01.980]  Did I get lag?
[09:01.980 --> 09:03.960]  I was dead before I could see me.
[09:04.080 --> 09:06.640]  Yeah, I just watched you die, dude.
[09:06.800 --> 09:08.620]  You guys got surfed.
[09:08.700 --> 09:09.880]  Yeah, what happened?
[09:10.280 --> 09:10.700]  Oh, puck!
[09:11.980 --> 09:12.460]  What?
[09:17.860 --> 09:18.700]  Oh, puck.
[09:20.560 --> 09:21.300]  There we go.
[09:23.180 --> 09:23.800]  Let's go!
[09:24.740 --> 09:25.380]  We just keep moving?
[09:25.620 --> 09:26.100]  What happened?
[09:27.020 --> 09:28.780]  You got surfed.
[09:28.820 --> 09:29.500]  Oh, puck!
[09:31.160 --> 09:33.140]  I got annihilated!
[09:33.720 --> 09:34.840]  Wow, Gavin is so on it.
[09:34.840 --> 09:36.200]  So we don't have to get on the surfboard?
[09:36.600 --> 09:37.580]  What the hell?
[09:37.700 --> 09:38.220]  You don't have to.
[09:39.240 --> 09:41.320]  Yeah, you guys are just in my way.
[09:41.560 --> 09:42.140]  Hello, Paula.
[09:42.320 --> 09:44.300]  She says puck face.
[09:45.720 --> 09:47.280]  Oh, now we're getting personal.
[09:51.070 --> 09:51.850]  Oh, my God.
[09:51.850 --> 09:52.770]  That's gonna really hurt me, though.
[09:53.690 --> 09:54.570]  Somebody asked,
[09:54.850 --> 09:57.730]  Eric, what's up with your 5-9-8-6 gamer tag?
[09:57.970 --> 09:58.890]  I don't know.
[09:58.890 --> 10:00.710]  I went to register my name,
[10:00.770 --> 10:02.870]  and it said, you can't have this, it's already taken.
[10:02.990 --> 10:04.770]  And I went, well, I know, I'm logging into my old account.
[10:04.890 --> 10:05.850]  And it said, no, you're not.
[10:06.050 --> 10:07.970]  And now I am. That's what I have.
[10:08.130 --> 10:09.370]  I hope that clears it up.
[10:09.850 --> 10:10.050]  Yep.
[10:14.770 --> 10:15.170]  MythicalJade
[10:15.170 --> 10:17.090]  didn't know that chili without beans
[10:17.090 --> 10:18.670]  was a thing until they were like 20.
[10:19.410 --> 10:19.570]  Yeah.
[10:19.570 --> 10:20.670]  And now we all know.
[10:23.450 --> 10:25.010]  Ooh, clap Friday.
[10:25.510 --> 10:25.910]  Friday.
[10:25.910 --> 10:26.050]  Friday.
[10:28.250 --> 10:29.210]  What am I doing here?
[10:29.270 --> 10:30.070]  What am I doing here?
[10:30.130 --> 10:33.450]  What do I want to do?
[10:33.670 --> 10:35.150]  I think I want to do this.
[10:35.310 --> 10:36.550]  Well, I can't collaborate with that.
[10:37.150 --> 10:38.350]  Yeah, that's sort of the point.
[10:38.510 --> 10:38.710]  Okay.
[10:40.590 --> 10:42.570]  JC Nightmare's looking to get all the money.
[10:46.100 --> 10:47.500]  Are we getting double pucked?
[10:48.140 --> 10:48.740]  I think it might be two.
[10:49.020 --> 10:50.440]  Oh, you kicked me into the thing.
[10:51.240 --> 10:52.620]  That's a book our wives read.
[10:53.380 --> 10:53.920]  Yeah, definitely.
[10:53.920 --> 10:54.760]  What?
[10:55.520 --> 10:56.600]  Oh, no!
[10:57.340 --> 10:58.900]  It was brutal.
[10:59.520 --> 11:00.740]  I got murked, dude.
[11:07.120 --> 11:08.040]  Disposable Jim
[11:08.040 --> 11:09.680]  wants to know what book I'm reading.
[11:10.180 --> 11:11.960]  Well, I just did another read-through
[11:11.960 --> 11:14.520]  of Celestial Glorbosis available on Amazon.
[11:15.420 --> 11:16.520]  That was pretty good.
[11:16.620 --> 11:17.880]  It gets better each time you read it.
[11:18.140 --> 11:20.340]  But currently I'm reading Swan in Love
[11:20.340 --> 11:21.540]  by Marcel Pouste.
[11:30.000 --> 11:32.020]  Oh, you kicked me into the thing again!
[11:32.220 --> 11:33.340]  No, I got stuck!
[11:33.500 --> 11:34.140]  God damn it.
[11:36.660 --> 11:37.320]  Oh, man.
[11:37.360 --> 11:38.280]  This is a hard one.
[11:41.340 --> 11:43.280]  Whoa, I have to find the whales with...
[11:43.280 --> 11:44.240]  How many gifted subs?
[11:44.560 --> 11:45.680]  I couldn't even see. Ten?
[11:46.420 --> 11:47.320]  Holy shit, thanks.
[11:47.840 --> 11:48.460]  Thank you.
[11:48.620 --> 11:53.460]  Thanks to everyone who's watching, too.
[11:53.720 --> 11:55.380]  Thank you for watching.
[11:56.120 --> 11:57.020]  It's always a good time.
[12:02.160 --> 12:03.160]  Oh, people are
[12:03.160 --> 12:05.100]  talking about that Penguin show on the TV.
[12:05.240 --> 12:06.480]  Have you guys watched that? Is it any good?
[12:06.580 --> 12:06.960]  Oh, I did.
[12:09.800 --> 12:11.360]  Gavin just walking through it.
[12:11.440 --> 12:12.720]  Oh, Gavin, you idiot!
[12:13.400 --> 12:14.400]  Gavin, you moron!
[12:15.680 --> 12:17.220]  Is that a fake piece of
[12:17.220 --> 12:18.220]  pier? What happened?
[12:22.560 --> 12:23.620]  It's in the background!
[12:36.510 --> 12:38.250]  Well, I don't know how we're gonna...
[12:38.750 --> 12:40.090]  Ah, you idiot!
[12:40.510 --> 12:41.170]  Bastard man!
[12:41.570 --> 12:43.310]  This elephant keeps killing me!
[12:43.650 --> 12:45.510]  Right before it kills itself!
[12:46.730 --> 12:48.250]  Why would you just
[12:48.250 --> 12:50.270]  stood there and looked at it?
[12:51.010 --> 12:52.050]  I don't think you can get
[12:52.050 --> 12:52.810]  through there, can you?
[12:53.530 --> 12:56.150]  I think you have to go up it and just move really fast.
[13:07.400 --> 13:09.160]  You blew up your own thing.
[13:09.160 --> 13:10.480]  Yeah, I didn't want it there.
[13:10.620 --> 13:12.140]  He didn't want it there.
[13:16.410 --> 13:17.630]  Oh, you are
[13:17.630 --> 13:19.630]  my god!
[13:25.780 --> 13:27.100]  Hey, we got some
[13:27.100 --> 13:28.420]  piss rats in the chat.
[13:33.780 --> 13:35.040]  Somebody asked if I fixed
[13:35.040 --> 13:36.180]  my light issue on my bike.
[13:36.780 --> 13:37.840]  With duct tape.
[13:49.090 --> 13:50.590]  Oh, you're insane!
[13:53.650 --> 13:54.090]  Yes!
[13:58.990 --> 14:00.070]  We're all gone.
[14:01.530 --> 14:03.230]  Geoff went in the black hole somehow.
[14:08.590 --> 14:09.670]  I think I win by default.
[14:10.170 --> 14:10.870]  Yeah, no kidding.
[14:19.340 --> 14:20.980]  Oh, that's very interesting.
[14:21.440 --> 14:22.300]  Yeah, I wanna see
[14:22.300 --> 14:23.800]  what we can make happen.
[14:23.800 --> 14:24.300]  I'm nuts.
[14:27.440 --> 14:29.140]  You stupid elephant!
[14:37.390 --> 14:41.030]  I have keyed in
[14:41.030 --> 14:42.390]  to a certain kind of fun.
[14:42.730 --> 14:46.610]  It is delightful.
[14:54.770 --> 14:56.290]  Wow, that's...
[14:56.290 --> 14:57.330]  Gotta be quick though!
[14:57.590 --> 14:59.170]  No! Elephant!
[14:59.690 --> 15:01.090]  You fucking asshole.
[15:01.870 --> 15:02.690]  He fucked me.
[15:03.350 --> 15:05.210]  Alright, now I'm just gonna take it slow.
[15:05.430 --> 15:06.530]  Take it easy.
[15:07.230 --> 15:11.090]  Yes! There you go.
[15:11.310 --> 15:11.670]  Damn.
[15:12.490 --> 15:13.850]  With the two coins.
[15:16.710 --> 15:19.730]  Somebody asked if we're gonna do more GTA 4 videos.
[15:20.050 --> 15:20.990]  I don't know, are we?
[15:21.590 --> 15:23.290]  Yeah, we have like a lot in the hopper.
[15:24.710 --> 15:25.370]  GTA 4?
[15:25.490 --> 15:26.150]  There's a lot that haven't come out.
[15:27.650 --> 15:29.130]  Oh no, GTA 4!
[15:29.250 --> 15:30.330]  Oh no, we should.
[15:30.670 --> 15:32.550]  Yeah, I don't think we have anything else filmed in it.
[15:32.710 --> 15:33.830]  No, no, I was thinking of GTA Online or whatever.
[15:33.830 --> 15:36.570]  You guys did a dickload of GTA 5, but...
[15:37.630 --> 15:38.930]  Oh, I wanna try some of those
[15:38.930 --> 15:41.030]  GTA, those multiplayer modes that I saw
[15:41.030 --> 15:42.450]  in the Rockstar Museum I got.
[15:42.630 --> 15:43.170]  Yeah, we should do that.
[15:43.250 --> 15:44.670]  Delivering pizza or whatever. Be fun.
[15:48.970 --> 15:54.380]  Oh, come on!
[15:55.440 --> 15:56.440]  You don't wanna do Jungle Temple?
[15:57.480 --> 15:58.660]  No, I wanna do my thing.
[15:58.860 --> 15:59.400]  What was your one?
[16:00.320 --> 16:01.440]  I don't know.
[16:01.860 --> 16:02.980]  Well, that makes it hard to do.
[16:03.900 --> 16:06.800]  I wonder if there's more shit we could turn on in Crazy Traffic
[16:07.220 --> 16:08.100]  in GTA 4.
[16:08.440 --> 16:10.020]  Oh, probably. There's gotta be, right?
[16:10.740 --> 16:10.920]  Yeah.
[16:11.020 --> 16:12.140]  I'm sure there is.
[16:17.060 --> 16:18.800]  Although, if we do it again, we need to be...
[16:19.120 --> 16:19.500]  I hate Geoff.
[16:19.500 --> 16:21.180]  We need to be on...
[16:21.180 --> 16:23.000]  a game save that has all the islands unlocked.
[16:23.800 --> 16:24.560]  Uh, that's a good call.
[16:25.200 --> 16:27.720]  I'm sure that's something you can...
[16:28.400 --> 16:29.820]  Well, yeah, I can just play again.
[16:30.620 --> 16:31.400]  Well, yeah, I was gonna say,
[16:31.460 --> 16:33.560]  we could probably just edit a file, too.
[16:33.960 --> 16:34.800]  Yeah, I could send you my file.
[16:35.300 --> 16:35.500]  Yeah.
[16:41.120 --> 16:41.740]  Geoff, die.
[16:42.240 --> 16:43.000]  I don't want to.
[16:45.660 --> 16:46.460]  I've finished!
[16:47.840 --> 16:49.060]  Any more heist videos
[16:49.060 --> 16:50.060]  coming out soon.
[16:50.060 --> 16:52.260]  I have no idea when they're coming out,
[16:52.380 --> 16:54.080]  but you guys have recorded how many?
[16:54.320 --> 16:55.120]  Like, five or six?
[16:55.660 --> 16:56.040]  Yeah, a bunch.
[16:56.200 --> 16:58.940]  And we just got a final cut of part three?
[16:59.740 --> 16:59.940]  Dang.
[17:01.260 --> 17:02.800]  How many have released, two?
[17:03.280 --> 17:03.980]  Two, I think.
[17:05.140 --> 17:07.360]  And don't worry, they all feature Nick losing his mind.
[17:08.200 --> 17:08.600]  Goddamn.
[17:08.940 --> 17:11.740]  That's becoming a pretty common feature in a lot of videos lately.
[17:11.920 --> 17:14.360]  I just don't get how he is, like,
[17:14.480 --> 17:15.360]  the way he is.
[17:15.680 --> 17:16.860]  I just don't...
[17:16.860 --> 17:17.280]  Oh, no.
[17:18.360 --> 17:21.020]  I've been, like, two companies with him, and he's a psycho in both of them.
[17:21.300 --> 17:22.500]  What? I got squished?
[17:23.420 --> 17:24.300]  Oh, shit.
[17:24.820 --> 17:25.260]  Solo.
[17:29.840 --> 17:30.280]  Damn.
[17:35.790 --> 17:36.610]  I took it.
[17:50.720 --> 17:51.700]  Alright, boys.
[17:52.320 --> 17:53.180]  You going for it?
[17:53.540 --> 17:54.440]  That's crazy.
[17:55.420 --> 17:56.760]  You'll never make it.
[17:57.300 --> 17:58.020]  I didn't make it.
[17:58.960 --> 18:01.440]  I wonder if I can sneak that somehow.
[18:01.600 --> 18:02.600]  Do it. Do it. Do it.
[18:02.860 --> 18:03.280]  Do it.
[18:04.300 --> 18:05.360]  Almost. Keep going.
[18:05.440 --> 18:06.460]  Oh, fuck you.
[18:10.720 --> 18:11.600]  You can do it.
[18:12.220 --> 18:13.040]  He got it.
[18:13.720 --> 18:15.560]  You got it. Come on. Get it.
[18:16.100 --> 18:16.860]  Come on.
[18:17.280 --> 18:18.440]  You can do it.
[18:18.900 --> 18:20.160]  It has to be a lower jump.
[18:21.460 --> 18:23.220]  Tap. Tap jump.
[18:24.180 --> 18:24.780]  There you go.
[18:24.780 --> 18:26.240]  Oh, you almost had it. That was it.
[18:26.420 --> 18:27.560]  You just had it.
[18:27.560 --> 18:30.540]  I know, because you can get it.
[18:30.880 --> 18:32.040]  You're right there.
[18:32.800 --> 18:33.760]  Dude, you can get that.
[18:34.080 --> 18:35.220]  There's no way you can't.
[18:35.460 --> 18:37.120]  You're early on the jump.
[18:38.500 --> 18:39.880]  Boom. Nailed it.
[18:40.260 --> 18:41.020]  Easy peasy.
[18:41.700 --> 18:43.420]  I really thought he was going to die. That sucks.
[18:45.140 --> 18:46.500]  I had zero faith in you.
[18:46.920 --> 18:47.700]  I'm furious.
[18:49.200 --> 18:49.620]  Ridiculous.
[18:50.320 --> 18:52.660]  There was nothing sincere about any of that.
[18:52.660 --> 18:53.600]  Nuh-uh. Zero.
[18:53.780 --> 18:54.940]  I hate you.
[18:58.020 --> 18:59.080]  I don't hate you.
[18:59.580 --> 19:00.980]  What the fuck, Gavin?
[19:01.200 --> 19:03.480]  Why would you...
[19:03.480 --> 19:04.900]  Just be careful there at the start.
[19:07.000 --> 19:08.000]  That's pretty hard.
[19:10.780 --> 19:12.360]  I thought I could slide under it.
[19:15.680 --> 19:16.920]  Damn, look at him go.
[19:18.600 --> 19:19.640]  Look at him go.
[19:19.640 --> 19:20.220]  Karma.
[19:23.500 --> 19:24.840]  That would have won it, I think.
[19:28.720 --> 19:31.800]  I think we both got it.
[19:31.960 --> 19:32.820]  Oh, shit.
[19:35.560 --> 19:36.300]  Donkey Kong it.
[19:37.280 --> 19:37.920]  Yeah, there you go.
[19:38.140 --> 19:43.460]  Yeah, that's it.
