[00:00.000 --> 00:00.760]  Alright
[12:12.320 --> 12:14.180]  If you hadn't...
[12:14.180 --> 12:16.440]  You definitely would have been paralyzed had you lived.
[12:22.740 --> 12:23.100]  Nice.
[12:24.080 --> 12:24.980]  Alright, nineteen more.
[12:26.400 --> 12:27.900]  Alright, Andrew, just nineteen more.
[12:27.960 --> 12:28.160]  Yeah, easy.
[12:29.360 --> 12:30.880]  I bet it's even easier from the roof.
[12:33.000 --> 12:34.660]  Oh my god, Geoff's just...
[12:36.200 --> 12:38.620]  Just going back and forth between Andrew and the guy.
[12:38.960 --> 12:40.020]  Like a kid lost in a mall.
[12:40.180 --> 12:40.440]  Ah!
[12:41.960 --> 12:42.320]  Geoff!
[12:45.540 --> 12:46.740]  Just about had him, too.
[12:47.180 --> 12:47.840]  Promote that guy.
[12:48.000 --> 12:49.520]  So we push into the roof, is that the plan?
[12:50.000 --> 12:50.940]  Yeah, I guess so.
[12:54.260 --> 12:55.300]  Go in front!
[12:56.900 --> 12:57.460]  Good shot.
[12:58.820 --> 12:59.900]  Thank you, thank you.
[13:02.960 --> 13:03.400]  Oh!
[13:04.060 --> 13:05.300]  Oh, shoot through a flashbang!
[13:07.760 --> 13:08.920]  Was he blind?
[13:09.460 --> 13:11.020]  I was blind. Did you throw a flashbang?
[13:11.460 --> 13:11.720]  No.
[13:12.300 --> 13:13.000]  Oh, that might have been them.
[13:14.160 --> 13:15.140]  Oh, what the fuck?
[13:15.140 --> 13:16.880]  Oh my god.
[13:17.520 --> 13:19.400]  There's somebody in the fountain area, Gavin, to your right.
[13:21.100 --> 13:21.780]  Yeah, there is.
[13:24.620 --> 13:25.980]  It's pretty hard to rush the roof.
[13:29.500 --> 13:32.600]  Oh, you threw a tire at him.
[13:35.120 --> 13:35.840]  I'm out!
[13:37.360 --> 13:37.780]  Man, Andrew.
[13:39.640 --> 13:40.400]  Ray, check this out.
[13:40.820 --> 13:41.280]  Oh, fuck.
[13:41.700 --> 13:42.420]  Yeah, what's up, where are you?
[13:46.760 --> 13:47.480]  Oh, the tire.
[13:50.160 --> 13:51.720]  There's at least one guy in the garage.
[13:52.460 --> 13:52.780]  Alright.
[13:53.440 --> 13:55.860]  There's a couple more guys on that side room in the garage.
[14:00.830 --> 14:01.490]  Oh, fuck.
[14:02.150 --> 14:03.070]  Watch your left, watch your left.
[14:04.090 --> 14:05.590]  Get off the car, Ray, you idiot!
[14:06.370 --> 14:07.010]  Immediately died.
[14:08.170 --> 14:09.150]  Oh, another guy, another guy around the corner.
[14:09.510 --> 14:10.150]  Did he throw a grenade at me?
[14:10.410 --> 14:11.390]  Yeah, he did. Flashbang.
[14:11.470 --> 14:13.070]  Oh, I can't see. Bad flash.
[14:13.810 --> 14:14.210]  Oh.
[14:18.090 --> 14:20.390]  Alright, Ray, I'm gonna need you to kill 23 dudes.
[14:21.250 --> 14:21.770]  Alright, locking.
[14:21.970 --> 14:22.890]  Just like the old days.
[14:23.110 --> 14:23.770]  Oh, shit.
[14:24.390 --> 14:28.230]  Alright, 22 more to go.
[14:28.490 --> 14:29.110]  Where did he go?
[14:30.230 --> 14:30.890]  He evaporated.
[14:34.850 --> 14:36.210]  Ray's breathing him right now.
[14:39.930 --> 14:43.450]  If you could huff a person from history, who would it be?
[14:44.810 --> 14:46.130]  Ooh, Jimi Hendrix.
[14:47.970 --> 14:50.470]  He's gotta have a concoction of smells on him.
[14:50.830 --> 14:51.790]  I'd probably do Willie Nelson.
[14:52.390 --> 14:53.710]  He's still alive.
[14:53.850 --> 14:54.810]  That's why I didn't say Willie Nelson.
[14:56.430 --> 14:57.350]  I just heard a door open.
[14:57.710 --> 14:59.070]  Oh, my feetsies.
[14:59.770 --> 15:01.110]  I think I'd huff Jesus.
[15:01.770 --> 15:02.130]  Yeah?
[15:03.210 --> 15:04.350]  I'm thinking Oppenheimer.
[15:05.490 --> 15:06.190]  Oh, wow.
[15:06.410 --> 15:06.950]  Why Oppenheimer?
[15:07.330 --> 15:10.050]  I just feel like there's a lot of regret in that whiff.
[15:10.630 --> 15:10.990]  Jeez.
[15:16.550 --> 15:17.850]  Appears to be somebody in the garage.
[15:18.310 --> 15:19.670]  I'm ass. That guy's still behind the car.
[15:20.510 --> 15:20.790]  I think.
[15:21.830 --> 15:22.650]  Behind the car, you say?
[15:23.230 --> 15:24.010]  Yeah, in the garage.
[15:24.290 --> 15:25.370]  There's a guy in the staircase.
[15:28.790 --> 15:29.150]  Nice.
[15:29.410 --> 15:30.390]  Someone shot me in the back.
[15:31.450 --> 15:31.990]  Not it.
[15:37.260 --> 15:38.540]  Oh, I can't see shit.
[15:38.540 --> 15:38.920]  No, no.
[15:38.920 --> 15:40.200]  I can't see shit. Where am I?
[15:47.410 --> 15:48.590]  Not sure if there's a guy by the fountain.
[15:49.050 --> 15:50.110]  There is a guy by the fountain.
[15:51.530 --> 15:52.870]  I think by Andrew's spot.
[15:54.490 --> 15:55.410]  Oh, we got a whole bunch.
[15:55.510 --> 15:56.750]  We got like four guys.
[15:57.010 --> 15:57.470]  I'm throwing a grenade.
[16:02.860 --> 16:03.900]  Okay, coming up behind you, Ray.
[16:04.660 --> 16:04.980]  Yep.
[16:05.780 --> 16:06.260]  Got me.
[16:08.500 --> 16:09.440]  Oh, I see him. I see him.
[16:11.400 --> 16:12.960]  I think this guy by the fountain is still alive.
[16:13.400 --> 16:14.120]  Oh, stairs.
[16:18.550 --> 16:19.630]  I'm going around the fountain.
[16:20.430 --> 16:20.610]  Yep.
[16:23.070 --> 16:23.950]  What happened to you?
[16:23.950 --> 16:24.770]  Oh, I see him. I see him.
[16:27.510 --> 16:27.910]  Motherfucker.
[16:30.090 --> 16:30.410]  Fountain man.
[16:32.690 --> 16:33.570]  Fountain man's down.
[16:34.450 --> 16:34.710]  Nice.
[16:34.790 --> 16:36.190]  That was the B-side to Spoon Man.
[16:36.390 --> 16:37.650]  That nearly is successful.
[16:37.730 --> 16:37.790]  No.
[16:45.200 --> 16:45.860]  Rappelling down.
[16:45.860 --> 16:47.220]  I think I got him.
[16:48.480 --> 16:50.040]  God, these guys are aggressive on this map.
[16:51.020 --> 16:52.140]  Yeah, it's a snug map.
[16:52.200 --> 16:52.920]  Why did I throw a grenade?
[16:55.860 --> 16:56.460]  Frame rate.
[16:56.700 --> 16:56.880]  Damn.
[16:57.020 --> 16:59.820]  That made the game lag so much because you broke glass.
[17:07.480 --> 17:09.320]  Somebody shot me over your direction.
[17:09.560 --> 17:10.720]  Oh, behind me.
[17:12.340 --> 17:13.280]  Going up with you, Gavin.
[17:15.620 --> 17:16.160]  I need help.
[17:17.420 --> 17:18.100]  I need help.
[17:18.660 --> 17:19.060]  That's you.
[17:19.140 --> 17:22.340]  I don't think it's letting me up because you're in front of it.
[17:22.780 --> 17:23.860]  Sorry, get up now.
[17:25.180 --> 17:25.780]  Get up now.
[17:25.940 --> 17:26.260]  I'm with you.
[17:26.320 --> 17:26.620]  I'm with you.
[17:27.860 --> 17:33.400]  I wish I didn't throw grenades as often as I did on accident.
[17:34.540 --> 17:35.140]  Bad spot.
[17:35.620 --> 17:35.900]  Hi, guys.
[17:38.620 --> 17:39.680]  Let's go to the room with the ladder.
[17:40.040 --> 17:40.480]  Where's that at?
[17:42.260 --> 17:43.760]  Where's the ladder room?
[17:43.760 --> 17:44.640]  Oh, it might be over there.
[17:44.820 --> 17:46.320]  Oh, somebody's over here.
[17:46.860 --> 17:47.840]  I found it.
[17:49.060 --> 17:49.900]  You're in it?
[17:50.020 --> 17:51.820]  Oh, my God.
[17:52.100 --> 17:52.920]  So did they.
[17:57.910 --> 17:58.650]  Climbing the ladder.
[17:59.850 --> 18:00.790]  Down to 13.
[18:02.030 --> 18:03.330]  Is that us? Is that a grenade?
[18:04.310 --> 18:05.610]  Oh, my God, Andrew.
[18:05.710 --> 18:06.730]  You missed at his head.
[18:07.190 --> 18:10.490]  Oh, they're all up here. They're all on the roof.
[18:12.450 --> 18:13.750]  There's like four of them up there.
[18:14.230 --> 18:15.870]  They heard the plan. They're on our comms.
[18:21.350 --> 18:23.030]  Alright, here we go. A little confusion.
[18:23.250 --> 18:24.470]  A little smoke. They won't see me.
[18:29.570 --> 18:32.330]  Oh, Ray, they're just going to fucking walk up single file for you.
[18:33.470 --> 18:35.810]  I might have fucked myself on that side, but...
[18:35.810 --> 18:37.210]  If you can kill one, you can kill ten.
[18:37.390 --> 18:37.670]  You're good.
[18:43.050 --> 18:44.730]  That grenade does not last very long.
[18:46.790 --> 18:48.150]  That is something we share.
[18:49.470 --> 18:50.030]  Oh, shit!
[18:50.390 --> 18:52.250]  Oh, another one!
[18:53.110 --> 18:53.390]  Nine!
[18:55.570 --> 18:56.310]  We're so close.
[18:56.390 --> 18:56.770]  We're getting there.
[18:57.570 --> 18:58.630]  We almost got to the roof.
[19:00.530 --> 19:01.710]  Oh, I did. You don't want to go up there.
[19:02.550 --> 19:04.590]  Do you think we're about to usher in a renaissance of this game
[19:04.590 --> 19:06.690]  where suddenly millions of people will be playing it again?
[19:06.850 --> 19:07.390]  God, I hope so.
[19:07.390 --> 19:08.330]  Ubisoft will be so pumped.
[19:11.310 --> 19:11.710]  What?
[19:11.710 --> 19:16.030]  Well, they poured all their money and efforts into Rainbow Six Siege X,
[19:16.050 --> 19:18.370]  so I think they'd be a little upset if everyone went back to playing this one.
[19:19.930 --> 19:22.810]  Guys, we don't need to keep making Beyond Good and Evil 2!
[19:23.610 --> 19:26.690]  Put Terrorist Hunt back in Siege, and we'll fucking play it again.
[19:29.070 --> 19:31.470]  Oh my god, a lot of enemies by the fountain.
[19:32.810 --> 19:34.150]  Yeah, I got the one on the stairs.
[19:34.910 --> 19:35.890]  Three upstairs.
[19:36.250 --> 19:37.350]  Three on the stairs at the beginning.
[19:38.950 --> 19:39.590]  Shit.
[19:45.970 --> 19:47.170]  Fountain down.
[19:47.610 --> 19:47.910]  Alright.
[19:48.970 --> 19:50.510]  Fountain clear, I believe.
[19:51.750 --> 19:52.750]  Alright, moving up to the patio.
[19:52.870 --> 19:53.170]  No!
[19:55.030 --> 19:55.590]  Stupid.
[19:56.970 --> 20:00.090]  Fountain's clear, but exterior house not.
[20:00.290 --> 20:00.750]  Stupid.
[20:00.750 --> 20:01.210]  At the barbecue.
[20:03.890 --> 20:04.670]  Uh oh.
[20:05.270 --> 20:06.110]  Barbecue's down.
[20:06.110 --> 20:06.150]  Barbecue's down.
[20:14.180 --> 20:15.780]  Alright, I'm up on the patio right now.
[20:16.020 --> 20:17.360]  Yeah, I'm pushing D on the patio.
[20:17.440 --> 20:18.000]  Oh fuck!
[20:18.460 --> 20:20.780]  Right out the door and put his penis in my mouth.
[20:22.420 --> 20:23.720]  He's hard for me as well.
[20:23.860 --> 20:24.520]  Got him, I think.
[20:31.600 --> 20:33.580]  I'm stuck on a fricking bench or something.
[20:33.800 --> 20:35.220]  Where's the shooting coming from?
[20:35.740 --> 20:37.240]  Alright, should we go up the rope?
[20:38.580 --> 20:39.740]  Oh, there's two guys in here.
[20:40.740 --> 20:41.640]  They're coming, they're coming!
[20:47.500 --> 20:47.880]  Wow!
[20:48.500 --> 20:49.700]  There was one more guy in there though.
[20:50.000 --> 20:51.120]  I'm gonna throw a grenade up and then head up.
[20:57.750 --> 20:58.530]  Oh, Geoff!
[21:01.450 --> 21:02.670]  Oh, he's pushing you, Geoff!
[21:02.850 --> 21:03.070]  Ah!
[21:03.830 --> 21:05.130]  Damn, man.
[21:05.430 --> 21:07.170]  What a terrible place this was!
[21:09.170 --> 21:10.270]  Gavin wasn't terrible.
[21:11.050 --> 21:12.590]  Well, I threw a grenade up there, I couldn't see.
[21:12.590 --> 21:13.530]  Dead at 11.
[21:15.250 --> 21:17.130]  You got two guys on spawn too, Andrew.
[21:17.910 --> 21:18.110]  Okay.
[21:19.470 --> 21:20.550]  That's where Geoff died, I guess.
[21:20.590 --> 21:21.970]  So they might have gone the other way.
[21:22.870 --> 21:25.210]  They were filtering out at the garage.
[21:25.270 --> 21:26.090]  Down the garage stairwell.
[21:29.550 --> 21:31.030]  They probably might have gone back up that way.
[21:31.110 --> 21:31.670]  Going back to spawn.
[21:36.120 --> 21:37.620]  I'm not seeing anybody.
[21:39.020 --> 21:40.360]  They were definitely...
[21:40.720 --> 21:41.880]  You dancing over there, Gavin?
[21:41.880 --> 21:43.640]  There you go, Gavin.
[21:43.720 --> 21:44.040]  Oh!
[21:45.040 --> 21:47.020]  That grenade rolled right back down.
[21:47.900 --> 21:48.840]  He ran into it.
[21:50.100 --> 21:50.580]  Alright.
[21:51.980 --> 21:53.500]  Nine. Tied for our record.
[21:54.140 --> 21:55.380]  Oh, Gavin!
[21:55.620 --> 21:56.000]  Grenade!
[21:56.640 --> 21:58.360]  Oh, Gavin.
[21:59.820 --> 22:00.760]  Oh, Gavin.
[22:02.080 --> 22:03.880]  It's an unpredictable awk.
[22:05.780 --> 22:06.460]  Stairs!
[22:08.000 --> 22:09.260]  Eight. Record.
[22:10.240 --> 22:10.880]  PB.
[22:11.340 --> 22:12.300]  Alright. Try again.
[22:15.900 --> 22:16.980]  You got him!
[22:17.540 --> 22:18.100]  You got him!
[22:19.600 --> 22:21.240]  Gavin got the gobble.
[22:21.560 --> 22:21.840]  Okay.
[22:22.920 --> 22:23.440]  Bring us home.
[22:33.060 --> 22:34.420]  Pushing the stairs.
[22:35.440 --> 22:36.460]  Those are some bad stairs.
[22:36.780 --> 22:38.560]  Everything's fine, everything's fine, everything's fine.
[22:43.280 --> 22:44.420]  It's all fine.
[22:52.830 --> 22:53.490]  Don't cook.
[22:53.490 --> 22:54.430]  Don't cook.
[22:55.170 --> 22:57.250]  Nope! Nope! Nope! Nope!
[22:57.330 --> 22:58.350]  I don't wanna cook! I don't wanna cook!
[23:01.910 --> 23:02.310]  Dang.
[23:03.010 --> 23:03.750]  This is the one.
[23:05.390 --> 23:06.250]  Alright, here we go.
[23:06.890 --> 23:09.710]  I like that going left and clearing fountain and all that.
[23:09.830 --> 23:10.570]  And then slowly pushing.
[23:11.270 --> 23:11.810]  You wanna do that again?
[23:12.650 --> 23:13.050]  Oh.
[23:23.660 --> 23:24.060]  Shit!
[23:26.220 --> 23:27.800]  Behind the box to the right.
[23:28.000 --> 23:28.680]  Next to my body.
[23:30.100 --> 23:31.120]  Oh, I see him, I see him.
[23:33.240 --> 23:34.020]  I got him, I got him.
[23:34.220 --> 23:34.500]  Nice.
[23:36.480 --> 23:37.120]  Oh, oh shit.
[23:37.700 --> 23:38.220]  Guy at fountain.
[23:39.380 --> 23:45.120]  Oh, uh, the stairs, the stairs.
[23:45.500 --> 23:45.780]  Stairs?
[23:46.480 --> 23:46.840]  Got him.
[23:46.980 --> 23:47.860]  Fountain guy's still alive.
[23:48.640 --> 23:51.340]  Oh, he fucking, you can see my shoulder.
[23:51.460 --> 23:52.140]  That was a terrible cover.
[23:52.780 --> 23:53.860]  I got one of the fountain guys.
[23:53.960 --> 23:55.400]  I don't know if there's more behind me.
[23:55.400 --> 23:56.400]  Fucked, fucked.
[23:59.060 --> 24:00.080]  Oh yeah, one guy.
[24:00.920 --> 24:02.420]  Geoff's still working the stairs.
[24:02.740 --> 24:03.020]  Really?
[24:03.200 --> 24:04.420]  I saw that blind fire.
[24:05.220 --> 24:05.740]  Really?
[24:06.620 --> 24:08.800]  Oh, I spawned inside the house, what the fuck.
[24:09.100 --> 24:12.620]  Oh, I think there's some guys behind us.
[24:14.600 --> 24:15.380]  Get me a sitrep.
[24:20.120 --> 24:22.860]  I think Andrew's fourth eye means he can see during blind fire.
[24:27.920 --> 24:28.440]  Nice.
[24:34.970 --> 24:35.310]  Oops.
[24:36.050 --> 24:36.390]  Where was that?
[24:38.490 --> 24:38.930]  Ow.
[24:42.990 --> 24:44.010]  Oh, whoa, whoa.
[24:44.150 --> 24:44.830]  Rappel, I think?
[24:45.170 --> 24:45.290]  Yep.
[24:46.810 --> 24:52.510]  Oh, they're from the rappel window, I think.
[24:53.430 --> 24:54.170]  Oh my god, I'm dead.
[24:55.390 --> 24:55.830]  Dead.
[24:56.110 --> 24:56.910]  Stupid and dead.
