[00:00.000 --> 00:01.520]  I changed my head.
[01:20.780 --> 01:23.160]  Because we've been to...
[01:24.660 --> 01:25.460]  Candy Cane?
[01:26.300 --> 01:27.420]  Let's go to Snackmore.
[01:28.660 --> 01:29.400]  This seems like something
[01:29.400 --> 01:31.140]  that Nick is going to love.
[01:31.540 --> 01:32.820]  My teeth already hurt.
[01:33.360 --> 01:34.040]  Snackmore, here we go.
[01:34.920 --> 01:36.600]  Geoff is anti-food.
[01:37.040 --> 01:37.720]  Just like the chocolate.
[01:38.320 --> 01:40.200]  I only eat mashed potatoes now, apparently.
[01:42.740 --> 01:44.300]  Because the dimension is made of candy.
[01:44.460 --> 01:46.000]  I'm not reading any of this. Get real.
[01:46.140 --> 01:48.380]  My dad couldn't make me read, neither can you. Let's go.
[01:50.160 --> 01:51.120]  Can you imagine
[01:51.120 --> 01:52.520]  if you got to live in a place like this?
[01:52.860 --> 01:55.800]  I would just eat myself to death.
[01:58.300 --> 02:00.700]  I'm just looking at the food, man.
[02:00.800 --> 02:02.960]  I don't care, dude. Sticky only sucks
[02:02.960 --> 02:03.980]  if you don't embrace it.
[02:05.160 --> 02:07.220]  I'm with Andrew. I hate being sticky.
[02:07.500 --> 02:08.800]  Me and Michael talk about this all the time.
[02:09.000 --> 02:09.740]  It's the worst.
[02:10.120 --> 02:12.840]  Sticky's not great, but if you're in an environment
[02:12.840 --> 02:15.140]  where sticky is the norm and you give yourself over
[02:15.140 --> 02:15.860]  to it, then it's fine.
[02:16.280 --> 02:17.800]  No, I would still hate it.
[02:17.800 --> 02:18.800]  Give yourself to the stick.
[02:19.780 --> 02:21.160]  Okay, get moving.
[02:21.520 --> 02:22.660]  I was born in the stick.
[02:23.200 --> 02:25.660]  Our pro time is 2 minutes and 40 seconds.
[02:25.740 --> 02:27.540]  Great. Let's remember all the buttons.
[02:27.940 --> 02:28.200]  Easy.
[02:30.000 --> 02:31.920]  Right trigger, left trigger.
[02:32.720 --> 02:33.120]  Maybe.
[02:33.540 --> 02:34.460]  What do they do?
[02:35.300 --> 02:36.060]  Yeah, you're welcome.
[02:37.260 --> 02:38.680]  Right hand, left hand.
[02:38.960 --> 02:39.440]  A jump.
[02:40.740 --> 02:41.900]  What are we doing?
[02:42.880 --> 02:45.500]  The bird says, do you think we can eat each level when we're done?
[02:45.500 --> 02:46.000]  That's fine.
[02:48.840 --> 02:50.660]  Good quip, man.
[02:50.660 --> 02:51.800]  Bust a move.
[02:52.080 --> 02:53.000]  A is jump.
[02:53.260 --> 02:54.960]  X is slap.
[02:55.540 --> 02:57.160]  What the hell is this?
[02:57.920 --> 02:59.340]  Do we have to break the candy wall?
[02:59.600 --> 03:00.420]  What are we doing?
[03:01.280 --> 03:01.820]  Ah!
[03:03.140 --> 03:05.460]  It looks like this needs two people.
[03:06.300 --> 03:07.040]  This guy.
[03:07.700 --> 03:08.140]  Oh!
[03:09.220 --> 03:10.700]  Maybe we have to throw it?
[03:11.480 --> 03:11.720]  Oh!
[03:12.680 --> 03:13.140]  Oh!
[03:13.700 --> 03:14.660]  Why would you slap me?
[03:14.860 --> 03:17.660]  Come on, pick it up. Let's fucking throw it.
[03:17.820 --> 03:18.340]  How do we throw?
[03:19.320 --> 03:20.240]  Hold X.
[03:20.980 --> 03:22.020]  And then we let go.
[03:22.700 --> 03:23.120]  There you go.
[03:23.500 --> 03:26.160]  Let me get this out of the way.
[03:27.260 --> 03:28.000]  Excuse me.
[03:29.260 --> 03:29.880]  Pardon me.
[03:30.480 --> 03:31.620]  Good job, guys.
[03:32.540 --> 03:34.500]  You guys got it. You're good.
[03:35.080 --> 03:35.460]  Easy.
[03:37.520 --> 03:38.440]  Hell yeah!
[03:39.100 --> 03:40.300]  Now we're doing it.
[03:40.760 --> 03:42.140]  One more time.
[03:43.260 --> 03:43.820]  Demolition!
[03:44.940 --> 03:45.780]  Oh, man.
[03:46.360 --> 03:46.920]  Cool.
[03:48.240 --> 03:50.480]  We gotta throw it through the chocolate river.
[03:50.720 --> 03:51.760]  I think I gotta grab this long.
[03:52.060 --> 03:53.120]  No, it's not this.
[03:53.320 --> 03:54.460]  Let's go, Professor Snowman.
[03:55.340 --> 03:57.220]  Are we tossing stuff over?
[04:02.100 --> 04:03.220]  Oh, wow!
[04:04.060 --> 04:05.220]  Where's the moving van?
[04:05.220 --> 04:06.300]  Where the fuck are we going?
[04:07.260 --> 04:07.600]  Oh, what?
[04:08.220 --> 04:11.020]  Me and you need to be grabbing stuff from back here
[04:11.020 --> 04:12.880]  and moving it up while they're demolishing everything.
[04:13.020 --> 04:14.000]  I see.
[04:15.720 --> 04:17.640]  We can see how we're gonna do here,
[04:17.720 --> 04:20.040]  but I think we're gonna have to start this one over.
[04:20.080 --> 04:20.340]  What do you mean?
[04:20.420 --> 04:22.000]  We got one more minute! Load!
[04:22.360 --> 04:23.240]  Go, go, go!
[04:24.160 --> 04:26.940]  I agree, but...
[04:26.940 --> 04:27.260]  Yeah.
[04:28.180 --> 04:28.640]  Oh, you know what?
[04:29.900 --> 04:32.540]  Oh, shit!
[04:32.540 --> 04:33.160]  Oh, shit!
[04:33.840 --> 04:35.000]  You see what we're supposed to be doing?
[04:35.760 --> 04:37.000]  Here, come here. Somebody help me with this.
[04:37.120 --> 04:38.760]  The conveyor belt!
[04:38.880 --> 04:40.820]  It does the work for us. Come over here.
[04:41.700 --> 04:43.000]  Move smarter, not harder.
[04:43.380 --> 04:43.700]  Move!
[04:45.780 --> 04:46.760]  Somebody grab this end.
[04:47.500 --> 04:47.740]  Go!
[04:49.060 --> 04:50.300]  That's how we're gonna get this done.
[04:52.220 --> 04:53.920]  Come on, you son of a bitch.
[04:54.300 --> 04:54.500]  Uh-oh.
[04:56.160 --> 04:57.840]  Go, go, go!
[04:57.880 --> 04:59.300]  We got time! We can do it!
[04:59.300 --> 05:00.860]  What the...
[05:00.860 --> 05:02.720]  These are like teacups or something?
[05:03.160 --> 05:03.860]  What is happening?
[05:05.180 --> 05:07.100]  They're full of, uh...
[05:07.100 --> 05:08.280]  Strawberry shortcake or some shit.
[05:08.880 --> 05:09.580]  Uh-oh.
[05:10.400 --> 05:11.880]  We gotta break the wall.
[05:12.460 --> 05:13.020]  Oh, no.
[05:14.720 --> 05:15.420]  Guys, we might be out of time.
[05:16.720 --> 05:19.340]  Geoff, you gotta call it out when you need a hand, bud.
[05:19.380 --> 05:20.840]  I did. I said...
[05:22.020 --> 05:23.100]  That's the international
[05:23.100 --> 05:24.340]  I need a hand sound.
[05:25.560 --> 05:26.520]  Keep going.
[05:26.520 --> 05:27.120]  Right in here.
[05:29.520 --> 05:30.400]  There we go.
[05:30.880 --> 05:32.060]  Go, go, go, go.
[05:32.140 --> 05:33.620]  Let's just put it...
[05:35.460 --> 05:36.180]  Pick away!
[05:36.980 --> 05:38.800]  Why? Why do we need to break another wall?
[05:38.940 --> 05:39.860]  We've already got another wall.
[05:39.960 --> 05:41.460]  We have to break these. Look.
[05:42.520 --> 05:44.000]  Oh, we have to for the challenge?
[05:44.440 --> 05:45.460]  Oh, there's stuff in there.
[05:45.660 --> 05:46.280]  I didn't notice.
[05:47.520 --> 05:48.320]  I didn't know.
[05:49.080 --> 05:52.180]  Geoff, help me with this.
[05:52.660 --> 05:53.240]  Yeah, I got you.
[05:55.320 --> 05:56.380]  There we go.
[05:56.500 --> 05:57.900]  To the right.
[05:58.260 --> 05:59.240]  Go, go, go, go.
[06:00.920 --> 06:01.360]  Candyland!
[06:02.380 --> 06:02.820]  What's this?
[06:03.300 --> 06:05.040]  We have to stack everything so high.
[06:05.660 --> 06:06.720]  Oh, crap.
[06:07.180 --> 06:07.880]  What else do we have?
[06:08.860 --> 06:10.380]  I think it's just this last gift.
[06:11.980 --> 06:13.280]  I think that's it.
[06:13.620 --> 06:14.100]  No, this thing.
[06:14.500 --> 06:15.480]  That thing's gotta get in there.
[06:17.960 --> 06:18.780]  Everything's gonna come out.
[06:19.640 --> 06:20.620]  Everything's gonna come out.
[06:20.620 --> 06:21.340]  It's coming out.
[06:21.580 --> 06:23.040]  That's why it all has to go to the top.
[06:24.340 --> 06:25.860]  I don't think that's in.
[06:26.000 --> 06:26.580]  Help me.
[06:28.640 --> 06:28.960]  I got you.
[06:31.340 --> 06:31.860]  That's fine.
[06:32.000 --> 06:32.960]  We're gonna redo this one.
[06:33.060 --> 06:33.960]  We're gonna beat it so fucking fast.
[06:36.100 --> 06:37.520]  Andrew's still got it for some reason.
[06:38.080 --> 06:39.460]  I'm keeping it secure.
[06:39.940 --> 06:40.660]  Great job.
[06:42.500 --> 06:43.360]  We should be done.
[06:44.580 --> 06:45.380]  Oh, Eric!
[06:47.560 --> 06:49.220]  Oh, it's a waffle cone!
[06:49.220 --> 06:50.200]  It's a waffle cone.
[06:53.840 --> 06:54.660]  That's cool.
[06:58.700 --> 06:59.860]  Why isn't it going?
[07:00.120 --> 07:01.100]  Does it have to break?
[07:02.200 --> 07:02.620]  Oh!
[07:05.640 --> 07:07.220]  Maybe it's gotta break.
[07:07.600 --> 07:08.480]  Oh, no.
[07:08.580 --> 07:10.880]  Let's restart. We have to break all those, it turns out.
[07:11.460 --> 07:11.880]  We do?
[07:12.280 --> 07:13.040]  How do you break them?
[07:13.220 --> 07:15.580]  The other ones are still not loaded.
[07:15.980 --> 07:17.060]  This one's not loaded.
[07:17.480 --> 07:19.540]  I don't know. I feel like that should've broke.
[07:20.540 --> 07:21.800]  I think Nick is right.
[07:21.960 --> 07:22.900]  I think we have to break them.
[07:22.980 --> 07:24.480]  We should figure out how to break them and then restart.
[07:24.740 --> 07:27.420]  Yeah, let's go grab it and make sure we know how to break it.
[07:27.460 --> 07:28.420]  Andrew, can you grab it out?
[07:29.420 --> 07:29.780]  Yeah.
[07:30.720 --> 07:32.320]  Oh, do we?
[07:33.780 --> 07:34.400]  I'm trying to.
[07:34.800 --> 07:35.460]  Oh, yeah.
[07:37.940 --> 07:40.860]  Let's restart it and then we'll beat it this time.
[07:41.080 --> 07:41.900]  Alright, we got this.
[07:42.000 --> 07:42.920]  We got this.
[07:42.920 --> 07:44.120]  Break everything.
[07:44.480 --> 07:47.140]  Nick and Andrew, grab the ball and start ramming.
[07:47.220 --> 07:49.860]  Me and Geoff will bring everything that's in the back forward.
[07:50.260 --> 07:50.400]  Yeah.
[07:50.440 --> 07:51.520]  And then we'll just start moving that way.
[07:51.840 --> 07:52.960]  Ram team engaged.
[07:54.040 --> 07:55.420]  Go to the opposite side.
[07:56.580 --> 07:59.800]  Alright, go ahead, Professor.
[08:00.340 --> 08:03.380]  Go, go, go, go, go.
[08:03.380 --> 08:05.320]  Just run, just run, just run.
[08:05.640 --> 08:06.660]  What are you doing? We need it.
[08:06.880 --> 08:08.680]  You have to keep grabbing it and throw it across.
[08:10.760 --> 08:11.620]  It's attached.
[08:12.400 --> 08:12.740]  Oh, okay.
[08:12.840 --> 08:13.660]  There you go.
[08:14.180 --> 08:14.660]  Nice.
[08:15.420 --> 08:17.000]  Let's break these.
[08:17.140 --> 08:19.780]  These don't have anything in them.
[08:19.980 --> 08:20.460]  Okay.
[08:22.460 --> 08:22.940]  Nice.
[08:26.800 --> 08:28.540]  Get that present out of the way.
[08:29.560 --> 08:30.340]  Thank you.
[08:30.740 --> 08:34.480]  Okay, now grab the wrecking ball and just start ramming into everything.
[08:34.600 --> 08:37.640]  Me and Geoff will start moving stuff in.
[08:37.760 --> 08:38.280]  Let's just break everything.
[08:38.800 --> 08:39.740]  Let's break this stuff.
[08:40.460 --> 08:41.180]  Yeah, perfect.
[08:42.460 --> 08:44.060]  Just ram everything.
[08:44.620 --> 08:45.580]  You gotta turn that way.
[08:45.760 --> 08:47.140]  Oh, sorry.
[08:47.820 --> 08:49.820]  Geoff, you can hit Y and look at everything.
[08:51.220 --> 08:52.820]  I think we gotta throw it into those, Andrew.
[08:53.620 --> 08:53.780]  Okay.
[08:53.920 --> 08:54.840]  There we go, that worked.
[08:55.740 --> 08:57.000]  Alright, let's break this one.
[08:58.460 --> 09:00.240]  Gotta break these walls down here, too.
[09:00.540 --> 09:01.380]  Yeah, we're coming.
[09:02.000 --> 09:02.760]  Oh, that didn't work.
[09:02.940 --> 09:03.720]  Geoff, you wanna give me a hand with this?
[09:03.720 --> 09:05.280]  Thank you.
[09:05.800 --> 09:06.680]  You gonna go right?
[09:08.400 --> 09:10.000]  Let's let the conveyor belt do all the work.
[09:10.060 --> 09:10.340]  That's fine.
[09:10.940 --> 09:12.880]  I think you guys can just run into everything, can't you?
[09:13.180 --> 09:14.220]  Yeah, we gotta circle back.
[09:16.240 --> 09:17.380]  Let them go.
[09:17.940 --> 09:18.380]  You're good.
[09:19.280 --> 09:20.920]  Oh, we gotta force that one.
[09:20.920 --> 09:22.260]  I guess we gotta throw on those ones.
[09:23.400 --> 09:25.140]  There we go.
[09:25.400 --> 09:25.820]  And one more.
[09:26.640 --> 09:26.960]  There you go.
[09:28.540 --> 09:30.060]  Oh, shit.
[09:31.000 --> 09:31.880]  Watch your stuff.
[09:32.760 --> 09:33.820]  There's one that needs to be broken.
[09:34.380 --> 09:36.040]  Got one right here that needs to be broken.
[09:36.360 --> 09:37.000]  I'm bringing you out.
[09:37.500 --> 09:38.100]  There we go.
[09:40.240 --> 09:41.740]  Just run this one over right here.
[09:45.100 --> 09:45.740]  There we go.
[09:46.600 --> 09:47.480]  Okay, all good.
[09:47.600 --> 09:49.600]  Oh, we missed some stuff down there.
[09:50.620 --> 09:51.840]  We don't need to break here.
[09:52.200 --> 09:53.480]  Someone give me a hand with this present.
[09:54.840 --> 09:56.000]  Yeah, there you go. Good work.
[09:56.160 --> 09:56.980]  Someone give me a hand with this.
[09:56.980 --> 09:57.460]  On my way.
[09:58.220 --> 09:58.920]  To the right.
[10:02.160 --> 10:03.180]  There we go.
[10:03.980 --> 10:05.060]  Nice job, fellas.
[10:05.420 --> 10:06.460]  That should take care of it.
[10:06.720 --> 10:07.800]  Let's see if that stacks up.
[10:08.200 --> 10:10.060]  We don't have to take the wrecking balls with us.
[10:10.080 --> 10:11.340]  I feel like we're done and we're done.
[10:12.020 --> 10:12.560]  Hell yeah.
[10:13.780 --> 10:16.300]  As Crackhead Bob would say, totally Dawesome.
[10:16.680 --> 10:18.060]  Totally Dawesome.
[10:18.380 --> 10:19.780]  Totally Dawesome.
[10:22.600 --> 10:24.180]  Dude, that was fucking great.
[10:24.740 --> 10:25.520]  Congratulations, everybody.
[10:26.420 --> 10:27.460]  We are back in it.
[10:27.560 --> 10:29.160]  We are back in it.
[10:30.320 --> 10:30.800]  It was easy.
[10:31.140 --> 10:32.240]  Where do you think we're going now?
[10:33.840 --> 10:34.560]  To the moon.
[10:34.960 --> 10:35.960]  Crackhead Bob's home.
[10:38.240 --> 10:39.600]  You know, he was Elvis' cousin.
[10:41.820 --> 10:43.440]  Did you ever see that bit?
[10:43.540 --> 10:44.120]  They did, Eric.
[10:44.360 --> 10:46.860]  Where they took him to Graceland and said he was Elvis' cousin.
[10:47.000 --> 10:48.080]  And then he would sing songs to people.
[10:48.300 --> 10:49.480]  And they would get so mad at him.
[10:51.380 --> 10:52.880]  Alright, let's see where we're going.
[10:54.660 --> 10:55.560]  Come on, man.
[10:57.080 --> 10:58.880]  What's up with the three out of five stars?
[10:59.000 --> 10:59.480]  What did we miss?
[10:59.720 --> 11:00.880]  We probably had some other shit.
[11:01.180 --> 11:03.400]  Bonus objectives and stuff.
[11:04.260 --> 11:04.700]  Gear!
[11:06.100 --> 11:07.140]  Should I go off the...
[11:07.140 --> 11:08.000]  Oh, fuck!
[11:08.140 --> 11:10.760]  Oh, God!
[11:11.920 --> 11:12.800]  Grab that.
[11:14.000 --> 11:14.580]  What is that?
[11:16.000 --> 11:16.660]  It's clothes.
[11:17.600 --> 11:19.460]  It's the reality of what we're dealing with
[11:19.460 --> 11:21.100]  in the state of Texas now, unfortunately.
[11:21.220 --> 11:22.460]  Oh, yeah. Fucked up.
[11:22.840 --> 11:23.820]  It's Ice Cream Guy.
[11:24.100 --> 11:25.260]  Oh, a style crate?
[11:28.620 --> 11:30.520]  Texas has style crates?
[11:31.000 --> 11:32.220]  Get him out of my face.
[11:32.620 --> 11:33.340]  Give me another level.
[11:35.720 --> 11:37.000]  Read these messages.
[11:37.860 --> 11:38.080]  Alright.
[11:39.000 --> 11:40.720]  We're going up this way.
[11:41.200 --> 11:43.160]  Oh, right there.
[11:44.800 --> 11:46.060]  I don't like that lemon.
[11:46.060 --> 11:47.760]  Get that lemon out of here.
[11:47.760 --> 11:48.640]  I like it.
[11:48.700 --> 11:49.400]  That's a fruit.
[11:49.660 --> 11:50.680]  That don't belong here.
[11:53.580 --> 11:54.460]  Oh, fuck.
[11:55.060 --> 11:56.160]  Here you go.
[11:57.700 --> 11:58.800]  Good job, buddy.
[11:58.960 --> 11:59.260]  You found it.
[12:01.620 --> 12:02.900]  You found the quest giver.
[12:03.380 --> 12:04.860]  I'm not reading any of this, guys.
[12:05.820 --> 12:06.700]  Four minutes.
[12:06.780 --> 12:07.300]  That's what I'm reading.
[12:08.040 --> 12:09.800]  I'd be so pissed if I bought a house
[12:09.800 --> 12:10.780]  and it was a quest giver.
[12:10.780 --> 12:11.560]  Oh, I know.
[12:14.640 --> 12:16.900]  Do you ever think about when you hire someone,
[12:17.080 --> 12:17.740]  you're the quest giver?
[12:18.200 --> 12:19.240]  Yeah, it's true.
[12:19.960 --> 12:20.780]  You're the NPC.
[12:21.400 --> 12:23.540]  Oh, my God.
[12:24.040 --> 12:26.960]  What are we fucking doing?
[12:27.360 --> 12:28.300]  Demolish the crew.
[12:28.540 --> 12:29.600]  Help me with this, I guess.
[12:30.040 --> 12:30.680]  There you go.
[12:32.660 --> 12:33.420]  Oh, no.
[12:33.940 --> 12:36.440]  He ran into the fucking...
[12:36.440 --> 12:37.380]  We can't go through there.
[12:37.380 --> 12:38.980]  That spoon is deadly.
[12:38.980 --> 12:40.180]  There we go.
[12:41.440 --> 12:43.760]  Sorry, Geoff. I'm trying to move that way.
[12:43.820 --> 12:44.020]  I'm sorry.
[12:44.300 --> 12:46.900]  I thought we had to go up.
[12:47.240 --> 12:48.680]  I didn't realize what they were doing.
[12:50.080 --> 12:50.880]  Oh, break that?
[12:51.040 --> 12:51.420]  Yeah.
[12:53.200 --> 12:54.060]  Oh, fuck.
[12:55.200 --> 12:55.340]  Here.
[12:57.420 --> 12:58.340]  Get the suck.
[12:59.280 --> 12:59.860]  No, I got it.
[13:00.400 --> 13:03.500]  Do you think his face needs to be facing the thing that gets crushed?
[13:04.320 --> 13:04.980]  Facing it?
[13:04.980 --> 13:06.600]  I don't think it matters.
[13:07.460 --> 13:09.340]  We need more stuff.
[13:09.620 --> 13:10.520]  Let's test it out.
[13:11.280 --> 13:11.540]  Sorry.
[13:11.720 --> 13:13.420]  You guys are going to have to break a lot of stuff here.
[13:13.840 --> 13:15.280]  Any time.
[13:15.540 --> 13:16.460]  Here we go.
[13:18.520 --> 13:19.880]  Value the lesson learned.
[13:20.000 --> 13:20.240]  I got you.
[13:23.060 --> 13:24.060]  Jump, jump, jump.
[13:24.360 --> 13:26.060]  Trying to make space.
[13:26.460 --> 13:27.360]  Geoff, no!
[13:27.580 --> 13:30.060]  I got knocked off by the wooden spoon.
[13:31.340 --> 13:31.880]  There you go.
[13:33.100 --> 13:33.500]  Nice!
[13:35.000 --> 13:35.760]  Let's start grabbing
[13:35.760 --> 13:37.100]  the little stuff over here.
[13:37.580 --> 13:38.460]  Grab the little things.
[13:40.040 --> 13:41.180]  Grab the little stuff.
[13:42.200 --> 13:43.380]  I'm all over the place, Andrew.
[13:43.420 --> 13:43.860]  What do you want to do?
[13:45.800 --> 13:46.940]  Good communication, guys.
[13:47.040 --> 13:47.720]  Let's throw it through here.
[13:50.340 --> 13:52.080]  What do you want to do?
[13:52.240 --> 13:52.660]  I don't know.
[13:53.120 --> 13:55.280]  If you guys would bust that one out,
[13:55.380 --> 13:56.660]  it would make life so much easier.
[13:58.040 --> 13:59.240]  I got you, Ryan.
[14:00.780 --> 14:01.900]  Let's not wait for them.
[14:02.080 --> 14:02.480]  Yeah.
[14:03.340 --> 14:03.980]  There we go.
[14:04.480 --> 14:05.120]  We're through.
[14:05.400 --> 14:06.700]  There we go.
[14:09.000 --> 14:09.400]  Nice.
[14:11.560 --> 14:12.900]  We got to break this.
[14:15.560 --> 14:17.300]  I think we can just run into it.
[14:18.120 --> 14:19.380]  Yeah, I'm pretty sure you guys
[14:19.380 --> 14:20.540]  can just run into stuff with that.
[14:20.740 --> 14:22.400]  It just needs to be speed.
[14:23.440 --> 14:24.600]  No, not from that angle.
[14:24.600 --> 14:26.140]  I think if his face is red,
[14:26.600 --> 14:27.860]  that means it'll break.
[14:28.040 --> 14:28.420]  Yeah, okay.
[14:29.020 --> 14:30.660]  Ready? Here we go.
[14:31.480 --> 14:31.840]  Nice.
[14:33.600 --> 14:34.660]  Let's get back up here.
[14:36.020 --> 14:37.300]  On that left side,
[14:37.520 --> 14:38.600]  we need you to break stuff down.
[14:38.940 --> 14:39.600]  We're stuck on this.
[14:42.160 --> 14:42.900]  I'm coming, Geoff.
[14:43.500 --> 14:44.500]  I'll jump on the other side.
[14:45.600 --> 14:47.040]  Do you want to just grab this one?
[14:47.180 --> 14:47.640]  It's easier.
[14:48.100 --> 14:50.900]  There we go.
[14:52.940 --> 14:54.060]  I'm going to grab the last
[14:54.060 --> 14:54.800]  small thing in here.
[14:54.860 --> 14:57.120]  Okay, we'll do it.
[15:01.300 --> 15:04.040]  You guys saw some stuff break up in the top right.
[15:04.380 --> 15:05.240]  Yeah, we know.
[15:05.440 --> 15:08.080]  We noticed. We're aware.
[15:08.820 --> 15:10.200]  Oh, that didn't break the way
[15:10.200 --> 15:10.720]  I thought it would.
[15:10.860 --> 15:13.200]  No, not at all, but it's broken.
[15:13.320 --> 15:15.220]  Let's get this other one.
[15:15.680 --> 15:17.140]  We just got to go this one.
[15:17.580 --> 15:18.000]  Okay.
[15:19.820 --> 15:20.720]  Speed is the problem.
[15:20.720 --> 15:21.800]  Good speed.
[15:23.480 --> 15:24.560]  Let's hear it for the boys.
[15:24.720 --> 15:25.340]  I got you, Geoff.
[15:25.900 --> 15:27.000]  Oh, for God's sake.
[15:29.080 --> 15:30.020]  You go first.
[15:32.560 --> 15:37.200]  Yeah, it sucks, doesn't it?
[15:37.560 --> 15:38.660]  Get away from that spoon.
[15:39.440 --> 15:40.580]  Let's just go this way.
[15:40.680 --> 15:42.720]  It says full speed, and we don't even need to...
[15:44.620 --> 15:45.940]  This is the last thing in here.
[15:45.980 --> 15:47.240]  We got to go to the top right, fellas.
[15:47.240 --> 15:48.860]  We know, we know, we know.
[15:49.520 --> 15:50.340]  Oh, top left.
[15:50.700 --> 15:51.960]  That's like the last of it, though.
[15:53.700 --> 15:54.420]  Top left.
[15:55.720 --> 15:56.720]  See that thing that Geoff has?
[15:58.940 --> 15:59.700]  Yeah, break it.
[16:00.240 --> 16:00.600]  There we go.
[16:01.420 --> 16:02.400]  Is that it?
[16:02.480 --> 16:03.440]  Go, go, go, go!
[16:04.940 --> 16:06.340]  We got to get this chest up there.
[16:06.680 --> 16:08.380]  Did we do it?
[16:08.720 --> 16:09.040]  Yeah!
[16:11.240 --> 16:13.620]  I mean, they gave us so much time.
[16:13.660 --> 16:14.400]  First try.
[16:14.400 --> 16:15.240]  You know why we got that?
[16:16.040 --> 16:16.940]  Big boys.
[16:18.600 --> 16:19.760]  Yeah, we're big boys.
[16:20.020 --> 16:21.220]  Move-ins for the boys.
[16:21.540 --> 16:23.440]  Move-ins for the boys.
[16:23.620 --> 16:26.420]  I'd like to thank the style crate, personally.
[16:27.700 --> 16:28.400]  I gotta say,
[16:28.520 --> 16:31.500]  I like the crinkle cut fries
[16:31.500 --> 16:33.560]  at Raisin Cane's.
[16:33.820 --> 16:34.520]  Yeah, they're good.
[16:35.120 --> 16:35.940]  Yeah, that's a good...
[16:35.940 --> 16:37.180]  That's a solid crinkle cut.
[16:38.460 --> 16:41.740]  Oh, also, they're Texas toast.
[16:45.000 --> 16:45.980]  I mean, yeah.
[16:47.300 --> 16:48.900]  I like the name.
[16:49.620 --> 16:50.580]  That's why I go to
[16:50.580 --> 16:51.600]  Raisin Cane's.
[16:51.620 --> 16:52.360]  Do they have them in Canada?
[16:53.140 --> 16:53.620]  No.
[16:57.840 --> 16:58.320]  Alright,
[16:58.440 --> 16:59.300]  where to now?
[16:59.660 --> 17:02.120]  This feels a lot easier than the sky levels.
[17:02.320 --> 17:03.620]  I feel like we went out of order.
[17:03.640 --> 17:05.380]  But this is the beginning of Candy Level.
[17:05.720 --> 17:06.200]  Exactly.
[17:06.960 --> 17:09.540]  We gotta wait for level 4 of Candy Level
[17:09.540 --> 17:11.420]  before it starts getting fucking stupid.
[17:11.420 --> 17:12.720]  Oh, the Ginger District?
[17:13.040 --> 17:14.820]  That's what I'm talking about.
[17:15.120 --> 17:17.420]  Five minutes.
[17:18.360 --> 17:19.180]  Ginger District.
[17:21.540 --> 17:21.960]  Oh boy.
[17:24.040 --> 17:25.080]  Alright, so...
[17:25.080 --> 17:26.200]  Oh, shit.
[17:27.840 --> 17:29.060]  So we'll need the Wrecking Balls
[17:29.060 --> 17:30.140]  to wreck some balls.
[17:32.180 --> 17:33.000]  What are we trying...
[17:33.000 --> 17:34.820]  Is it all these houses have to break?
[17:35.120 --> 17:35.960]  Geoff, me and you,
[17:36.880 --> 17:38.280]  we'll grab the one in the top.
[17:38.280 --> 17:39.880]  Andrew and Nick, you grab the one on the right.
[17:40.660 --> 17:42.020]  And then we're...
