[00:00.000 --> 00:00.680]  Andrew, thoughts?
[10:02.330 --> 10:03.270]  I'm on the ground.
[10:03.890 --> 10:05.730]  Why am I always shooting? I'm terrible.
[10:06.290 --> 10:07.070]  There we go.
[10:08.370 --> 10:09.790]  I'm sorry, that was my bad.
[10:10.350 --> 10:10.770]  That's okay.
[10:14.090 --> 10:18.090]  Nice, Geoff.
[10:18.450 --> 10:19.430]  You're a great shot, Andrew.
[10:19.650 --> 10:20.090]  There we go.
[10:22.290 --> 10:22.770]  Perfect.
[10:24.010 --> 10:25.470]  I'm glad I missed.
[10:26.230 --> 10:27.030]  Got it.
[10:27.150 --> 10:27.610]  Holy shit.
[10:28.090 --> 10:29.690]  I'm just trying to get these bombs out of the middle.
[10:32.950 --> 10:36.130]  Ignore anything in the middle.
[10:36.250 --> 10:37.450]  I'm just trying to get these bombs out of the middle.
[10:37.630 --> 10:39.510]  I'm trying to get these bombs out of the middle.
[10:39.790 --> 10:40.090]  I'm just trying to get these bombs out of the middle.
[10:40.090 --> 10:40.750]  I think that was an apple.
[10:41.910 --> 10:42.750]  That was me.
[10:43.470 --> 10:44.090]  I shot on the wrong side.
[10:44.470 --> 10:44.970]  Nice shot.
[10:45.790 --> 10:46.870]  Don't worry about that one.
[10:48.350 --> 10:49.550]  Don't worry about those.
[10:49.550 --> 10:50.090]  Two more.
[10:50.470 --> 10:51.410]  One more.
[10:53.030 --> 10:54.130]  It's going to be an apple.
[10:55.630 --> 10:57.010]  God damn it.
[10:57.370 --> 10:58.550]  Son of a bitch.
[10:59.890 --> 11:01.930]  Andrew, I don't know how much better we can do.
[11:02.270 --> 11:03.790]  I only missed two apples.
[11:05.130 --> 11:06.170]  I'm on the left this time.
[11:06.890 --> 11:07.970]  I'm on the right.
[11:09.050 --> 11:09.510]  Oh boy.
[11:09.730 --> 11:11.630]  I got one, two...
[11:11.630 --> 11:12.630]  Oh boy.
[11:13.910 --> 11:14.930]  Who's shooting me?
[11:15.970 --> 11:16.910]  Are you orange?
[11:16.910 --> 11:17.730]  Who's green?
[11:17.830 --> 11:19.670]  Yeah, it's me.
[11:19.830 --> 11:20.610]  You're doing good.
[11:23.530 --> 11:25.510]  I have a good thing going right now.
[11:25.550 --> 11:27.090]  I was on a run and then I blew it.
[11:27.470 --> 11:27.970]  Go left.
[11:28.750 --> 11:29.790]  Here we go.
[11:30.230 --> 11:31.450]  Right in front of me.
[11:32.230 --> 11:33.390]  There we go.
[11:34.890 --> 11:36.050]  Here comes low.
[11:37.070 --> 11:37.450]  Good.
[11:38.870 --> 11:39.210]  Perfect.
[11:40.390 --> 11:42.070]  Here comes one more.
[11:42.070 --> 11:43.590]  Let's get the cup back.
[11:45.530 --> 11:46.350]  We got it.
[11:46.790 --> 11:48.550]  Go, go, go.
[11:50.910 --> 11:51.710]  Good job.
[11:53.050 --> 11:55.510]  Guys, I want to thank you for watching.
[11:55.770 --> 11:56.730]  We're going to 501.
[11:56.830 --> 11:57.710]  I really appreciate it.
[12:01.390 --> 12:02.890]  That was insane.
[12:03.410 --> 12:04.230]  That's a tough one.
[12:04.310 --> 12:04.870]  Those are tough.
[12:06.290 --> 12:09.510]  I'm glad we don't have to shoot more apples off our heads or snowballs or whatever.
[12:09.830 --> 12:10.410]  What are we doing now?
[12:10.410 --> 12:10.850]  Here we go.
[12:12.250 --> 12:13.330]  Way to go.
[12:14.630 --> 12:16.450]  Hi, Geoff. Remember where you were, man.
[12:16.630 --> 12:17.590]  We got this back.
[12:17.990 --> 12:20.410]  You can barely do this without...
[12:21.010 --> 12:21.530]  Oh, shit.
[12:24.890 --> 12:26.310]  That was pretty good, man.
[12:27.030 --> 12:27.570]  I had a thought.
[12:27.690 --> 12:28.970]  I just didn't have the ability to speak it.
[12:29.510 --> 12:31.150]  Get bumps to the cranium.
[12:31.630 --> 12:33.490]  I'm constantly getting done in.
[12:35.470 --> 12:36.110]  Dammit, Geoff.
[12:36.250 --> 12:37.450]  I want to die.
[12:37.450 --> 12:38.690]  Dammit, Geoff.
[12:40.090 --> 12:43.330]  Man, the bombs will freak you the fuck out.
[12:44.970 --> 12:47.330]  Come on, you...
[12:50.150 --> 12:50.890]  Goalkeeper.
[12:51.270 --> 12:51.930]  Terrible.
[12:52.290 --> 12:53.410]  Can you get off me?
[12:53.890 --> 12:54.630]  Sorry.
[12:57.870 --> 12:59.050]  Too high.
[13:00.910 --> 13:01.650]  Dammit.
[13:02.570 --> 13:03.530]  Too much.
[13:03.790 --> 13:04.190]  Too much.
[13:04.190 --> 13:04.830]  Too much.
[13:05.190 --> 13:06.930]  There we go.
[13:09.330 --> 13:10.470]  There we go.
[13:10.530 --> 13:12.170]  Oh, you can move after you've charged it?
[13:12.410 --> 13:12.890]  I'm a schmuck.
[13:13.950 --> 13:14.970]  There we go.
[13:15.090 --> 13:16.310]  You didn't know that?
[13:16.630 --> 13:19.550]  No, I didn't.
[13:22.590 --> 13:23.790]  Well, it's a nice run.
[13:23.810 --> 13:24.370]  Two more.
[13:25.250 --> 13:26.110]  One more.
[13:26.690 --> 13:28.770]  We got it on the next one.
[13:28.870 --> 13:31.710]  Gavin knows you can move after you charge it, so he's got it now.
[13:31.710 --> 13:33.470]  Now we're all set.
[13:38.570 --> 13:39.250]  Nice.
[13:39.430 --> 13:40.910]  Thank you.
[13:41.430 --> 13:42.390]  Oh, come on.
[13:42.750 --> 13:45.170]  Get in!
[13:45.410 --> 13:47.130]  You sexy idiot.
[13:47.850 --> 13:48.670]  Oh, way too far.
[13:49.410 --> 13:50.770]  Why'd you do that, Geoff?
[13:51.950 --> 13:53.570]  Oh, that was so close, Eric.
[13:54.410 --> 13:55.090]  Goddamn.
[13:56.450 --> 13:57.130]  Brutal.
[13:57.630 --> 13:58.010]  Brutal.
[13:59.310 --> 13:59.790]  Nice.
[13:59.930 --> 14:00.810]  Good shot, Purple.
[14:02.030 --> 14:03.530]  One more. You got it.
[14:04.570 --> 14:05.350]  Bad angle.
[14:05.710 --> 14:07.070]  Yeah, yeah, yeah.
[14:07.890 --> 14:09.730]  Oh, what an arc, dude.
[14:09.850 --> 14:10.710]  That was awesome.
[14:19.200 --> 14:19.540]  Hey.
[14:21.020 --> 14:21.500]  Dammit.
[14:22.200 --> 14:22.640]  No!
[14:23.800 --> 14:26.000]  There we go. Go, go, go.
[14:26.480 --> 14:26.880]  Get in!
[14:30.370 --> 14:31.630]  Someone get a three-pointer.
[14:32.150 --> 14:33.250]  Oh, that's a good idea.
[14:33.910 --> 14:35.670]  I'm the Celtics.
[14:41.840 --> 14:43.000]  Glad that's done with.
[14:43.360 --> 14:44.700]  Good job with minigames.
[14:44.960 --> 14:45.960]  That's a chief.
[14:46.520 --> 14:48.640]  We did it, baby. Moving on.
[14:50.440 --> 14:51.680]  Moving on, baby.
[14:52.100 --> 14:53.680]  In the rear-view mirror.
[14:54.960 --> 14:56.780]  Top-down view.
[14:57.460 --> 14:58.840]  Don't know about this.
[14:59.420 --> 15:01.880]  Is it like the second level of Contra?
[15:02.500 --> 15:02.780]  What?
[15:04.340 --> 15:04.780]  Oh!
[15:05.200 --> 15:05.980]  What'd you die of?
[15:06.900 --> 15:07.680]  You killed a map.
[15:09.140 --> 15:11.320]  Oh, it's like a...
[15:11.320 --> 15:12.240]  Oh, you can't...
[15:12.240 --> 15:14.320]  Oh, if you touch the black, it's like falling in a hole.
[15:14.740 --> 15:15.080]  Got it.
[15:16.220 --> 15:17.520]  The black's a hole.
[15:19.320 --> 15:21.340]  Geoff, anytime you wanna go, that'd be great.
[15:21.440 --> 15:22.840]  Anytime. Anytime, buddy.
[15:23.220 --> 15:25.060]  What did I...
[15:25.060 --> 15:25.320]  What?
[15:25.960 --> 15:26.860]  Fell in the black.
[15:27.520 --> 15:29.440]  Guys, do you have a shadow? Look at your shadow.
[15:29.720 --> 15:30.460]  My shadow!
[15:31.140 --> 15:32.140]  Use your shadow.
[15:34.080 --> 15:35.340]  It tells you where you are.
[15:35.780 --> 15:36.320]  Somebody hit that.
[15:37.480 --> 15:38.600]  I'm on top of my shadow.
[15:39.580 --> 15:40.860]  Oh, my God. Hit the button.
[15:42.620 --> 15:43.760]  Just... what a moron.
[15:43.840 --> 15:44.460]  I don't know, man.
[15:44.640 --> 15:44.980]  Me?
[15:47.760 --> 15:49.320]  Nick was saying, look at my shadow.
[15:49.460 --> 15:50.060]  It lets you know where you are.
[15:50.180 --> 15:53.060]  Use your shadow as an opportunity to see where you are.
[15:53.060 --> 15:53.800]  Hang on.
[15:55.380 --> 15:57.600]  Get three on there, I'll be the fourth.
[15:58.060 --> 15:58.640]  Are you gonna be bait?
[15:59.080 --> 15:59.640]  It's mousetrap.
[16:00.240 --> 16:00.820]  I can be bait.
[16:03.440 --> 16:04.240]  But, like...
[16:06.040 --> 16:07.020]  I'll bait him.
[16:08.500 --> 16:09.100]  Get in his cone.
[16:09.520 --> 16:11.500]  Okay, ready? I'm gonna get him in a second.
[16:11.680 --> 16:12.500]  Okay, go for it.
[16:13.600 --> 16:14.940]  Why do you keep trying to trap Andrew?
[16:15.320 --> 16:16.040]  I'm not trying to.
[16:16.540 --> 16:17.020]  Get him!
[16:17.740 --> 16:18.060]  No!
[16:18.060 --> 16:18.420]  Nice!
[16:21.140 --> 16:21.540]  Okay.
[16:22.100 --> 16:23.120]  Well, it worked pretty well.
[16:23.400 --> 16:24.180]  Aside from Andrew dying.
[16:25.720 --> 16:28.080]  I don't like that you framed that like it was my fault.
[16:28.400 --> 16:29.220]  No, no, no, no.
[16:29.400 --> 16:31.540]  No, but it did work well aside from you dying.
[16:31.540 --> 16:32.000]  It did.
[16:32.380 --> 16:34.280]  Nobody assigned blame to the death.
[16:35.260 --> 16:36.700]  That was just the point where it went wrong.
[16:39.620 --> 16:39.960]  Okay.
[16:40.460 --> 16:41.480]  We doing the same thing or what?
[16:41.780 --> 16:41.940]  Yeah.
[16:44.320 --> 16:46.320]  If it don't work, don't fix it.
[16:48.700 --> 16:49.380]  Oops.
[16:50.120 --> 16:51.260]  Are you kidding me?
[16:51.880 --> 16:52.260]  I'm sorry.
[16:52.500 --> 16:52.980]  That's pretty precise.
[16:53.140 --> 16:54.140]  That's all good.
[16:54.300 --> 16:56.220]  Hair early.
[16:56.920 --> 16:57.440]  Buttercage.
[17:03.810 --> 17:05.210]  That freaks me out.
[17:05.250 --> 17:05.590]  Who died?
[17:07.790 --> 17:08.470]  Huh?
[17:13.570 --> 17:13.870]  Okay.
[17:14.130 --> 17:14.830]  Whenever you're ready.
[17:17.130 --> 17:17.670]  Nice.
[17:18.170 --> 17:18.450]  Go for it, Andrew.
[17:18.450 --> 17:19.150]  Yep.
[17:20.690 --> 17:22.090]  BMW just texted me.
[17:22.630 --> 17:23.610]  Oh my God.
[17:24.390 --> 17:25.890]  Way to go, Geoff.
[17:26.310 --> 17:27.570]  Geoff, were you looking at your phone?
[17:27.910 --> 17:30.870]  No, I was looking at Andrew with the key.
[17:31.070 --> 17:32.030]  One more time.
[17:32.270 --> 17:34.190]  I was watching Andrew run with the key.
[17:34.550 --> 17:37.050]  And I just kept going forward.
[17:38.010 --> 17:38.470]  Oh.
[17:39.110 --> 17:39.670]  That was dumb.
[17:39.730 --> 17:41.490]  I said watch out for the black, though.
[17:43.410 --> 17:44.250]  Wasn't that bad.
[17:44.530 --> 17:46.010]  I was watching Andrew watch out for the black.
[17:46.010 --> 17:47.370]  Wasn't that good, bud?
[17:48.370 --> 17:49.930]  I got really nervous for a second there.
[17:50.390 --> 17:51.870]  Here we go.
[17:53.410 --> 17:54.090]  Easy.
[17:54.490 --> 17:55.130]  Perforation.
[17:56.030 --> 17:56.930]  Nobody go.
[17:57.990 --> 17:59.010]  Let Andrew go first.
[18:00.710 --> 18:02.810]  I don't want to let Geoff go first.
[18:03.050 --> 18:03.410]  Alright.
[18:03.630 --> 18:04.770]  Let Nick go first.
[18:05.110 --> 18:07.010]  Let Gavin go first.
[18:07.170 --> 18:07.750]  See ya.
[18:12.290 --> 18:13.370]  No buncing.
[18:13.370 --> 18:13.450]  That was dumb.
[18:15.490 --> 18:17.150]  Be very careful at the door.
