[00:00.000 --> 00:01.480]  Let's play this game!
[06:11.440 --> 06:11.900]  I'll go to.
[06:12.700 --> 06:15.100]  Oh, that's awesome! Before you go in, turn
[06:15.100 --> 06:16.240]  game sound down a bit.
[06:17.360 --> 06:17.580]  Okay.
[06:20.460 --> 06:21.440]  Oh, here's our boss
[06:21.440 --> 06:22.680]  fighting an eagle. Oh, shit.
[06:24.240 --> 06:25.400]  Hey, Gavin, what are you doing
[06:25.400 --> 06:26.420]  this weekend? Just kidding, nobody cares.
[06:26.420 --> 06:27.280]  There we go.
[06:28.580 --> 06:29.600]  What are we doing?
[06:30.400 --> 06:31.800]  No, I care! Oh, that's the flip.
[06:32.020 --> 06:32.600]  They'll kill you.
[06:33.420 --> 06:36.260]  It was like, either we need those or we don't.
[06:36.300 --> 06:37.640]  Those are not power-ups.
[06:38.420 --> 06:39.440]  Okay, we just gotta hit him.
[06:40.620 --> 06:41.160]  Watch the egg!
[06:41.860 --> 06:42.100]  Shit.
[06:44.060 --> 06:45.660]  Thanks for the $25 gift to SubSiby.
[06:46.960 --> 06:48.440]  What are you doing this weekend, Gavin?
[06:48.440 --> 06:48.940]  Do you have any plans?
[06:51.620 --> 06:52.000]  Um...
[06:52.420 --> 06:54.380]  I'm just gonna catch up on work.
[06:54.380 --> 06:55.200]  Been out of the country.
[06:55.880 --> 06:57.680]  Yeah. Did you have a good trip?
[06:58.600 --> 06:58.880]  Yeah!
[07:00.340 --> 07:01.520]  No, you killed it!
[07:02.260 --> 07:03.760]  Hell yeah! Fuck you!
[07:03.880 --> 07:04.760]  I think I'm gonna see Wicked.
[07:06.200 --> 07:08.140]  Oh, nice! Have you ever seen the play?
[07:08.820 --> 07:10.000]  Nah, I don't know anything about it.
[07:10.860 --> 07:11.140]  Me neither.
[07:16.720 --> 07:17.700]  Oh, we got cannons!
[07:18.480 --> 07:19.180]  Oh, hell yeah!
[07:20.240 --> 07:21.360]  Oh, fuck! I missed!
[07:21.780 --> 07:22.040]  Oh!
[07:25.040 --> 07:26.420]  Donkey Kong flashbacks!
[07:28.440 --> 07:30.020]  Oh, God. Don't remind me.
[07:31.240 --> 07:32.240]  Oh, that game.
[07:33.140 --> 07:33.860]  Oh, nice!
[07:34.500 --> 07:34.860]  Yeah!
[07:38.590 --> 07:40.470]  Where do we get to spend all this testosterone?
[07:42.070 --> 07:43.290]  I don't know.
[07:44.250 --> 07:45.690]  Did you change the audio yet?
[07:46.730 --> 07:47.170]  Yeah, I did.
[07:47.390 --> 07:47.590]  Nice.
[07:48.770 --> 07:49.330]  Oh!
[07:54.630 --> 07:58.050]  Aw, damn it!
[07:58.590 --> 08:00.770]  Hell yes. That was awesome.
[08:01.970 --> 08:02.150]  Bah!
[08:06.990 --> 08:07.910]  Oh, shit!
[08:08.490 --> 08:09.310]  Oh, shit!
[08:10.490 --> 08:10.790]  Okay.
[08:11.770 --> 08:12.330]  Ow.
[08:14.270 --> 08:14.830]  Ow.
[08:16.530 --> 08:17.790]  You son of a bitch!
[08:18.490 --> 08:18.670]  Oh!
[08:18.910 --> 08:21.130]  Oh, you killed me!
[08:21.630 --> 08:22.090]  I'm dead!
[08:24.870 --> 08:25.430]  Uh...
[08:25.430 --> 08:27.250]  Okay, am I gonna get sucked through?
[08:28.350 --> 08:29.390]  I think you will, yeah.
[08:29.670 --> 08:30.450]  A little suckage.
[08:32.590 --> 08:33.150]  Woo!
[08:34.330 --> 08:35.710]  Okay, good shot across.
[08:37.270 --> 08:37.770]  Testosterone!
[08:37.790 --> 08:39.730]  Oh, it was worth it.
[08:39.930 --> 08:41.030]  T for the team!
[08:42.250 --> 08:45.450]  Yeah, what if they're team points?
[08:46.170 --> 08:46.290]  Ow.
[08:47.490 --> 08:47.670]  Oh.
[08:48.790 --> 08:48.970]  Huh!
[08:54.160 --> 08:56.620]  Had a pretty good week of content, I guess.
[08:56.980 --> 08:57.940]  Not so bad.
[08:58.280 --> 09:01.160]  We filmed two, I thought, great podcasts yesterday.
[09:02.320 --> 09:05.480]  I always enjoy the ones where we haven't spoken in a while.
[09:06.020 --> 09:06.420]  Yeah.
[09:07.520 --> 09:09.920]  That's why we did that in a gameplay,
[09:10.240 --> 09:12.700]  and I asked if we could do the podcast first,
[09:12.700 --> 09:15.080]  because I figured that'd be fun energy,
[09:15.140 --> 09:16.120]  because I always miss you guys
[09:16.120 --> 09:17.300]  when we go on a break like that.
[09:17.420 --> 09:18.680]  That's great thinking, Andrew.
[09:19.980 --> 09:20.720]  Uh, okay.
[09:20.960 --> 09:24.000]  We also did a gameplay yesterday that is a little special
[09:24.000 --> 09:24.960]  that I'm very excited about.
[09:26.640 --> 09:27.840]  Might actually release
[09:27.840 --> 09:28.640]  by the end of the year.
[09:29.220 --> 09:29.820]  Let's see.
[09:31.340 --> 09:33.200]  I don't know about y'all, but I just
[09:33.200 --> 09:34.460]  thoroughly enjoyed doing that.
[09:34.580 --> 09:35.700]  Oh, fuck.
[09:36.440 --> 09:39.220]  I've been enjoying the comments on ScootScoot,
[09:39.280 --> 09:40.180]  which came out today.
[09:40.420 --> 09:42.320]  Was it yesterday? I don't know.
[09:43.760 --> 09:44.880]  It's good vibes.
[09:45.860 --> 09:46.780]  What were you going to say, Andrew?
[09:47.900 --> 09:49.840]  I said I haven't looked at those yet.
[09:50.340 --> 09:51.220]  It was fun.
[09:51.400 --> 09:52.160]  That was a really fun video.
[09:54.160 --> 09:54.880]  I want these coins.
[09:55.420 --> 09:56.840]  We recorded that a long time ago, huh?
[09:58.240 --> 09:58.640]  Yeah.
[10:01.240 --> 10:02.040]  How many
[10:02.040 --> 10:04.000]  GTA videos do you think you guys
[10:04.000 --> 10:05.080]  have recorded without me now?
[10:06.560 --> 10:07.800]  How many heists have we done?
[10:07.980 --> 10:08.560]  That haven't come out.
[10:08.740 --> 10:12.240]  Between the heists and stuff too, right?
[10:12.320 --> 10:14.280]  We only did one between the heists,
[10:14.320 --> 10:14.680]  I think.
[10:16.880 --> 10:18.060]  I don't remember what number
[10:18.060 --> 10:19.920]  heist. I think there's a...
[10:19.920 --> 10:22.200]  Is there 11 of them, Gavin, or is there more than that?
[10:22.760 --> 10:23.700]  I have no idea.
[10:26.920 --> 10:27.880]  How do we get on the...
[10:27.880 --> 10:28.660]  Here we go.
[10:30.940 --> 10:31.840]  Oh, shit!
[10:32.060 --> 10:32.500]  No!
[10:34.560 --> 10:35.520]  That's not at all
[10:35.520 --> 10:36.040]  what I wanted.
[10:36.120 --> 10:37.380]  I did the exact same thing.
[10:41.000 --> 10:41.440]  Ah!
[10:42.840 --> 10:43.620]  I'm scared!
[10:44.040 --> 10:44.520]  I'm scared!
[10:46.340 --> 10:46.780]  Okay.
[10:48.700 --> 10:50.580]  Oh, Jesus, I just missed.
[10:51.180 --> 10:52.180]  Oh, go, go, go!
[10:52.240 --> 10:53.000]  You're running out of time!
[10:53.920 --> 10:55.460]  Is that our first death?
[10:55.460 --> 10:56.880]  I think so.
[10:57.160 --> 10:58.240]  Yeah, okay.
[10:58.420 --> 10:59.180]  Don't stop!
[11:01.980 --> 11:02.960]  No, it's...
[11:02.960 --> 11:04.120]  The fart sounds.
[11:05.060 --> 11:06.220]  Geoff, it's all on you.
[11:07.840 --> 11:08.760]  We believe.
[11:09.380 --> 11:10.020]  We believe.
[11:10.260 --> 11:10.740]  No!
[11:11.940 --> 11:13.360]  I was so close!
[11:15.380 --> 11:16.640]  Let's top up our time.
[11:18.060 --> 11:18.940]  Go, go, go.
[11:19.800 --> 11:20.960]  I'm dead, but that's okay.
[11:21.040 --> 11:22.260]  There we go, you made it.
[11:23.320 --> 11:23.760]  Oh!
[11:25.040 --> 11:25.840]  You're a genius.
[11:26.200 --> 11:27.220]  That was really smart.
[11:28.620 --> 11:29.640]  I'm not used to being this smart.
[11:29.640 --> 11:32.360]  I didn't notice you did that.
[11:32.520 --> 11:34.560]  I was like, oh, wow, I did it way faster this time.
[11:34.600 --> 11:35.480]  It didn't even blink.
[11:37.220 --> 11:38.420]  It's just the speed of light.
[11:45.490 --> 11:46.370]  After all that.
[11:46.770 --> 11:48.430]  You did all the work.
[11:49.710 --> 11:50.530]  Ain't that the way.
[11:57.010 --> 11:58.170]  Jesus, it takes forever.
[11:59.790 --> 12:00.230]  Yeah.
[12:01.090 --> 12:02.610]  Are we all just...
[12:02.610 --> 12:04.670]  Refilling hearts from the vending machine.
[12:05.310 --> 12:05.890]  Seems like.
[12:05.950 --> 12:06.110]  Yeah.
[12:08.910 --> 12:10.210]  Oh, hey, what's the chat got going on?
[12:10.210 --> 12:11.010]  We got max hearts.
[12:13.310 --> 12:14.010]  Oh, achievement!
[12:14.910 --> 12:17.570]  Are we ever gonna play Cloudberry Kingdom together again?
[12:17.650 --> 12:18.350]  We've never played it together.
[12:18.630 --> 12:19.910]  I've never played Cloudberry Kingdom.
[12:20.270 --> 12:21.570]  Oh, yeah, we gotta get...
[12:21.570 --> 12:23.010]  We gotta get you in on Cloudberry.
[12:24.610 --> 12:27.190]  That might be tricky, because it's delisted now.
[12:27.190 --> 12:28.170]  I have it.
[12:28.210 --> 12:28.770]  Is that true?
[12:29.250 --> 12:32.390]  Well, the 360 store doesn't exist anymore.
[12:33.410 --> 12:35.570]  Unless you had previously bought it.
[12:35.930 --> 12:37.610]  I might have it.
[12:38.450 --> 12:39.330]  If you...
[12:39.330 --> 12:39.810]  It's possible.
[12:40.050 --> 12:42.090]  Sign in on an old Xbox I have.
[12:42.270 --> 12:43.050]  Where it's on it.
[12:43.130 --> 12:43.930]  Do you get to play it?
[12:45.250 --> 12:47.870]  I don't know the answer to that.
[12:48.390 --> 12:48.910]  Maybe.
[12:49.310 --> 12:51.170]  I'm not sure how licensing worked.
[12:52.450 --> 12:53.530]  On the 360.
[12:53.530 --> 12:55.170]  If Microsoft
[12:56.090 --> 12:57.650]  basically takes away a game
[12:57.650 --> 12:59.310]  I bought, can I get a refund?
[13:00.310 --> 13:00.570]  No.
[13:00.870 --> 13:03.610]  No, because it's in the... whatever.
[13:04.110 --> 13:05.850]  Oh, because I just licensed it.
[13:05.930 --> 13:06.690]  I never bought it.
[13:08.030 --> 13:09.290]  You don't buy shit anymore
[13:09.290 --> 13:09.910]  if you buy digitally.
[13:10.650 --> 13:12.850]  I'm a whole sore right bitchin' about this.
[13:15.370 --> 13:16.790]  Well, maybe they were licensing
[13:17.330 --> 13:19.710]  my Xbox Live money this whole time.
[13:19.890 --> 13:21.130]  It was just a license.
[13:22.270 --> 13:23.730]  Yeah, if you wrote the contract
[13:23.730 --> 13:24.430]  maybe you get away with that.
[13:25.110 --> 13:26.930]  Everything that I thought was going to be
[13:26.930 --> 13:28.890]  super cool in the 2000s
[13:28.890 --> 13:31.650]  like in 2002, the way the world was going to change
[13:31.650 --> 13:33.210]  turned out to be fucking lame
[13:33.210 --> 13:34.070]  and a rip off.
[13:36.670 --> 13:37.370]  It was all
[13:37.370 --> 13:39.330]  just a different way to grift our money
[13:39.330 --> 13:40.330]  in a different way.
[13:42.350 --> 13:43.390]  I'm mad about it.
[13:44.350 --> 13:44.890]  I do.
[13:45.010 --> 13:46.050]  I get fucking frustrated.
[13:47.810 --> 13:48.230]  What?
[13:50.450 --> 13:51.470]  I'm going to be there first.
[13:51.570 --> 13:52.650]  I'm going to get to the top first.
[13:53.730 --> 13:55.450]  Get the coins, I'm going to get there first.
[13:56.290 --> 13:57.010]  Oh, no.
[13:58.450 --> 13:59.270]  That dream's dead.
[13:59.610 --> 14:01.370]  Man, Mark the Frog says, I can't watch this.
[14:01.450 --> 14:02.590]  Then he left. Jesus.
[14:03.510 --> 14:04.930]  Is it because we're so good?
[14:06.450 --> 14:07.890]  Is it too...
[14:07.890 --> 14:09.370]  too chickeny?
[14:10.330 --> 14:11.490]  Or too ducky?
[14:12.890 --> 14:14.130]  Not enough cats
[14:14.130 --> 14:14.710]  with hats.
[14:14.930 --> 14:16.110]  Pretty duck heavy.
[14:20.610 --> 14:21.570]  Grab the tea!
[14:22.170 --> 14:23.750]  I'm suspicious of Mark
[14:23.750 --> 14:25.210]  because Eric really likes him.
[14:26.070 --> 14:28.130]  It's hard to trust
[14:28.130 --> 14:29.370]  things that Eric likes.
[14:29.770 --> 14:30.130]  It's true.
[14:30.850 --> 14:34.150]  Oh, he punched the anus of this bird again.
[14:36.270 --> 14:38.330]  Alright, if you die, you're a loser.
[14:39.610 --> 14:41.770]  It's like that game, right? Press Eric to doubt.
[14:43.010 --> 14:43.410]  Uh...
[14:43.810 --> 14:44.690]  I'm a loser.
[14:46.470 --> 14:47.370]  Ah, I died.
[14:47.650 --> 14:48.050]  Loser.
[14:51.550 --> 14:53.410]  You can do it, Andrew. You can hit his anus.
[14:53.870 --> 14:54.690]  Oh, no!
[14:54.850 --> 14:55.810]  He almost got egged.
[14:56.630 --> 14:58.090]  He's shitting eggs at me.
[14:58.550 --> 15:01.850]  I bet you could do a draft of bird bosses in video games.
[15:04.730 --> 15:05.130]  Probably.
[15:06.370 --> 15:07.170]  I mean...
[15:07.710 --> 15:09.310]  Which other ones come to mind for you right now?
[15:10.730 --> 15:11.250]  Uh...
[15:13.110 --> 15:14.550]  I swear, I fought...
[15:14.550 --> 15:17.590]  I must have fought like 18 birds in my life.
[15:18.970 --> 15:21.210]  There's probably some bird bosses in like
[15:21.210 --> 15:21.690]  The Witcher.
[15:22.870 --> 15:23.910]  Oh yeah, The Griffon.
[15:24.730 --> 15:26.650]  Probably some bird Final Fantasies.
[15:27.530 --> 15:28.630]  Oh yeah, there's a...
[15:28.630 --> 15:30.170]  That's the first boss you fight in The Witcher 3.
[15:31.250 --> 15:32.470]  Is The Griffon a bird?
[15:33.270 --> 15:33.830]  I think so.
[15:34.330 --> 15:34.550]  Yeah.
[15:34.550 --> 15:35.150]  Oh.
[15:36.450 --> 15:39.510]  I think if you've got like
[15:39.510 --> 15:41.310]  50% bird parts,
[15:41.370 --> 15:42.310]  you get to count as a bird.
[15:44.550 --> 15:46.490]  If it wasn't a bird, what would it?
[15:46.730 --> 15:48.550]  Like, Articuno is a bird boss.
[15:48.570 --> 15:48.950]  Shit.
[15:50.510 --> 15:51.470]  Who's Articuno?
[15:51.530 --> 15:51.930]  Is that a Pokemon?
[15:52.550 --> 15:55.110]  It's one of the legendary birds in Pokemon.
[15:56.430 --> 15:57.150]  There you go.
[15:58.110 --> 15:58.470]  Ah!
[15:59.850 --> 16:00.950]  I made it.
[16:04.200 --> 16:05.100]  Ah.
[16:05.840 --> 16:06.740]  Ah.
[16:07.600 --> 16:07.900]  Oh!
[16:08.440 --> 16:09.520]  Halfway to 501.
[16:10.580 --> 16:14.180]  I am terrified of whatever is happening with the floor.
[16:15.220 --> 16:15.440]  Oh!
[16:18.410 --> 16:19.940]  Yeah, it's getting bad.
[16:22.530 --> 16:22.980]  Oh!
[16:24.490 --> 16:24.940]  Nice!
[16:25.200 --> 16:27.920]  How do I...
[16:27.920 --> 16:28.960]  How do I do this?
[16:28.960 --> 16:31.160]  How do I live?
[16:31.700 --> 16:32.520]  You fight
[16:32.520 --> 16:34.720]  giant birds in Skyrim.
[16:35.080 --> 16:36.240]  They got scales and that.
[16:37.200 --> 16:37.780]  Breathe fire.
[16:38.100 --> 16:41.280]  Do you fight any birds in like Mega Man or Metroid?
[16:44.000 --> 16:44.960]  Bird man.
[16:45.880 --> 16:46.500]  You fight the MOA.
[16:47.440 --> 16:49.540]  Somebody said I kicked a MOA in Halo once.
[16:50.040 --> 16:50.720]  Oh yeah, you could.
[16:53.020 --> 16:54.360]  Slap the shit out of those birds.
[16:54.680 --> 16:56.120]  I made me laugh so hard I stopped playing.
[16:59.540 --> 17:00.000]  Ah!
[17:08.780 --> 17:10.560]  I guess there's a bird
[17:10.560 --> 17:11.840]  fight in Elden Ring.
[17:12.280 --> 17:13.000]  Oh, I should play again.
[17:15.720 --> 17:16.640]  Bird rights?
[17:16.840 --> 17:17.440]  Whatever that is.
[17:19.520 --> 17:20.240]  Goose game.
[17:23.280 --> 17:24.200]  Holy shit.
[17:24.700 --> 17:25.400]  This is a long level.
[17:25.880 --> 17:26.340]  I suck!
[17:30.020 --> 17:31.520]  I'm glad I didn't wait.
[17:33.160 --> 17:34.400]  I was gonna wait for you guys.
[17:34.400 --> 17:35.000]  No.
[17:36.680 --> 17:38.200]  Andrew, we still gotta do our technical
[17:38.200 --> 17:39.140]  difficulties video.
[17:40.400 --> 17:41.380]  Yeah, when is that happening?
[17:41.980 --> 17:44.400]  We were gonna do it, but Andrew had technical difficulties.
[17:45.340 --> 17:45.980]  I did.
[17:46.140 --> 17:47.140]  Yeah, but that was a while ago, right?
[17:48.740 --> 17:49.820]  It took me
[17:50.820 --> 17:52.420]  50 minutes today to try to
[17:52.420 --> 17:54.100]  change the Twitch name
[17:54.100 --> 17:56.560]  of the stream. And then I just gave up
[17:56.560 --> 17:58.360]  because I ran out of time and did it on my laptop.
[17:59.260 --> 18:00.060]  My desktop
[18:00.060 --> 18:02.260]  is so fucked. My old Mac.
[18:04.680 --> 18:05.240]  That's
[18:05.940 --> 18:06.500]  terrible.
[18:08.340 --> 18:10.280]  Just sitting there looking at spin
[18:10.280 --> 18:11.560]  wheels. Can we
[18:12.280 --> 18:13.660]  just buy you a new computer?
[18:14.980 --> 18:16.240]  Uh, we can't buy
[18:16.240 --> 18:17.140]  anything at the moment.
[18:21.420 --> 18:21.980]  So...
[18:21.980 --> 18:24.280]  No! Oh, I saw that
[18:24.280 --> 18:26.280]  your federal government said they
[18:26.280 --> 18:27.600]  knocked the strike off today.
[18:28.320 --> 18:29.620]  Oh, they did? Yeah.
[18:29.920 --> 18:31.300]  Is that happening?
[18:32.000 --> 18:32.660]  Yeah, I don't know.
[18:32.780 --> 18:35.020]  I don't know what that means.
[18:35.160 --> 18:37.380]  I don't know if people are gonna be like, oh, okay, I didn't realize you were
[18:37.380 --> 18:38.980]  serious. They'll be like, hey, fuck you.
[18:39.100 --> 18:39.580]  How about that?
[18:41.980 --> 18:42.260]  No!
[18:48.380 --> 18:49.800]  Oh, holy shit!
[18:52.980 --> 18:53.960]  Get him, get him, get him.
[18:54.840 --> 18:55.460]  Finish him off.
[18:56.260 --> 18:57.280]  Did Geoff even come?
[18:58.240 --> 18:59.100]  Yeah, I
[18:59.100 --> 19:00.640]  fucking went through the door first.
[19:01.020 --> 19:03.140]  Oh, I thought you just stood at the beginning.
[19:03.700 --> 19:05.740]  Nah, I was just watching you guys be slow.
[19:07.360 --> 19:08.660]  Oh, the T!
[19:09.000 --> 19:09.700]  Ah, shit.
[19:10.760 --> 19:12.000]  We left T on the table.
[19:12.840 --> 19:14.740]  We left T on the table.
[19:17.540 --> 19:18.520]  Get that one.
[19:21.180 --> 19:22.560]  We don't. Yeah, we're good.
[19:25.560 --> 19:27.040]  Where the fuck...
[19:27.040 --> 19:28.680]  Speaking of good, we're pretty good
[19:28.680 --> 19:29.380]  at this game.
[19:30.340 --> 19:32.220]  We might be like, some of the best.
[19:34.020 --> 19:34.460]  Yeah?
[19:34.920 --> 19:35.580]  I'm thinking.
[19:36.000 --> 19:37.780]  I just got an achievement, so I think you're right.
[19:38.740 --> 19:39.880]  I'm stuck in a hate loop.
[19:40.080 --> 19:40.680]  Oh, whoops.
[19:42.340 --> 19:43.440]  I know what that's like.
[19:48.160 --> 19:49.680]  Oh, this is... oh, okay.
[19:49.680 --> 19:51.360]  That was real satisfying.
[19:51.600 --> 19:52.920]  That felt real good.
[19:56.740 --> 19:58.320]  I like these cannons a lot.
[19:58.560 --> 19:59.320]  Yeah, the cannons are...
[19:59.320 --> 19:59.760]  Big fan of them.
[20:00.800 --> 20:01.780]  Cannons are pure fun.
[20:02.700 --> 20:05.540]  How did you do that, Andrew, without...
[20:05.540 --> 20:07.320]  I just waited a second.
[20:07.620 --> 20:08.800]  Oh, patience.
[20:09.960 --> 20:10.420]  I hate it.
[20:11.120 --> 20:12.640]  I waited a second too much.
[20:17.840 --> 20:19.820]  Is Cloudberry Kingdom a fun game,
[20:19.820 --> 20:21.000]  Gav? Is it like this?
