[00:00.000 --> 00:01.180]  You're a fool.
[01:52.940 --> 01:53.040]  No!
[01:54.560 --> 01:55.660]  Oh, he's coming at you.
[01:55.820 --> 01:57.140]  Oh, he's gonna fuck both of us.
[01:57.700 --> 02:00.840]  Oh, that's a par.
[02:02.040 --> 02:02.580]  That's right.
[02:03.300 --> 02:04.980]  I'm a rich bitch.
[02:06.420 --> 02:08.760]  I get my money and I know what I want.
[02:09.300 --> 02:10.020]  Don't make it.
[02:10.560 --> 02:11.980]  Get it, get it, get it!
[02:12.860 --> 02:14.360]  That's right, bogey bitches!
[02:15.000 --> 02:16.400]  I got a red shirt.
[02:17.520 --> 02:18.820]  Uh-oh, you'll be the first to die.
[02:18.820 --> 02:20.800]  You just went, ooh!
[02:26.280 --> 02:26.840]  Scorpion!
[02:27.840 --> 02:29.600]  Oh, the scorpion takes it away.
[02:29.920 --> 02:31.620]  Now I know why I never played this turd.
[02:34.720 --> 02:35.280]  Gotta be quick.
[02:36.120 --> 02:37.440]  Nobody's got power.
[02:41.200 --> 02:43.040]  Hotel Transylvania Sid lookin' ass.
[02:43.040 --> 02:43.960]  Yeah, no kidding.
[02:45.200 --> 02:48.100]  I only put this down for nine holes.
[02:48.100 --> 02:49.520]  So we'll see how long it takes.
[02:49.600 --> 02:51.580]  It's too short, we'll just roll over.
[02:52.400 --> 02:53.640]  What did I hit there?
[02:53.740 --> 02:54.080]  You missed.
[02:56.480 --> 02:57.180]  Complications, apparently.
[02:57.380 --> 02:57.820]  Good strokes.
[02:58.680 --> 02:59.720]  What a start.
[03:01.300 --> 03:03.720]  This is cool, because this is how people used to dress.
[03:06.360 --> 03:07.420]  When this game came out.
[03:07.940 --> 03:09.280]  People don't dress like this anymore.
[03:10.160 --> 03:10.860]  There's a pony.
[03:11.460 --> 03:12.580]  Horses will eat the ball.
[03:12.840 --> 03:14.740]  Low-rise jeans are coming back, but they shouldn't.
[03:14.740 --> 03:15.600]  It's like a whole thing.
[03:16.680 --> 03:17.660]  Do I get chump cherry?
[03:18.980 --> 03:20.300]  Yeah, that's how golf works.
[03:20.980 --> 03:22.760]  This is the best golf game ever.
[03:22.840 --> 03:23.120]  Is it?
[03:24.480 --> 03:26.040]  How many beans did you give that one?
[03:26.880 --> 03:27.780]  Use it with me?
[03:28.380 --> 03:28.780]  Wow!
[03:30.380 --> 03:31.480]  When do I use that?
[03:32.400 --> 03:33.660]  When it's your turn, I think.
[03:33.720 --> 03:35.600]  Good work.
[03:39.160 --> 03:40.340]  You can go through the hut?
[03:40.480 --> 03:41.020]  Of course!
[03:42.060 --> 03:42.500]  Sausage.
[03:43.340 --> 03:43.640]  Snake, though.
[03:45.120 --> 03:46.400]  Watch out for this.
[03:48.540 --> 03:48.980]  Fuck!
[03:49.360 --> 03:50.000]  Oh, no!
[03:51.140 --> 03:52.200]  Who would have seen that coming?
[03:52.640 --> 03:54.060]  I guess you can't go through the house.
[03:54.780 --> 03:56.600]  I think you can if you get it low enough.
[03:56.820 --> 03:57.660]  God damn it.
[03:58.160 --> 03:59.460]  You just beamed the doors.
[04:00.640 --> 04:02.820]  I went too few beans last time.
[04:02.900 --> 04:04.540]  So I cranked the beans, and it was a mistake.
[04:05.760 --> 04:06.580]  Oh, here it goes.
[04:08.760 --> 04:09.640]  Both shielded.
[04:10.220 --> 04:11.880]  Just in case.
[04:12.120 --> 04:13.760]  Ain't no one gonna F with us.
[04:13.900 --> 04:14.840]  That's right, me and Gavin.
[04:15.120 --> 04:16.220]  We're going schmee mode.
[04:18.360 --> 04:19.500]  Gavin sent me a video
[04:19.500 --> 04:21.180]  of the cat jumping on his dick the other day.
[04:21.260 --> 04:21.780]  It was very funny.
[04:22.120 --> 04:24.280]  It was around my stomach.
[04:24.460 --> 04:27.260]  He did it on purpose.
[04:27.520 --> 04:28.500]  A new Eminem song?
[04:30.540 --> 04:31.660]  You got this right here.
[04:32.000 --> 04:32.480]  Watch this.
[04:33.280 --> 04:33.720]  Nice!
[04:35.700 --> 04:37.980]  Whoa, is there a birdie in here?
[04:37.980 --> 04:39.660]  Oh my god.
[04:40.300 --> 04:41.020]  Alright, Andrew.
[04:42.220 --> 04:44.020]  Yeah, do it. You have to.
[04:44.620 --> 04:45.920]  What does the winner get?
[04:45.980 --> 04:46.380]  Free lunch?
[04:47.480 --> 04:49.700]  Oh, that's a good question.
[04:50.220 --> 04:50.800]  How about the viewer?
[04:51.660 --> 04:53.980]  Nah, it's gonna be the winner of the video.
[04:54.300 --> 04:56.280]  Oh, that almost kind of worked.
[04:56.720 --> 04:58.000]  You were really close, but now
[04:58.000 --> 04:59.740]  you're set up to fucking do it.
[05:00.520 --> 05:00.900]  Easy.
[05:02.580 --> 05:04.280]  Did you guys eat any lunch during our break?
[05:04.440 --> 05:06.440]  I had a little bit of caprese
[05:06.440 --> 05:07.980]  and I'm having a cup of coffee.
[05:08.060 --> 05:10.160]  If I do this, will it hit your ball or no?
[05:11.660 --> 05:12.280]  Find out.
[05:12.640 --> 05:14.400]  Did you have coffee this morning too?
[05:14.700 --> 05:14.860]  Yeah.
[05:15.640 --> 05:17.260]  You hit a second cup typically?
[05:18.500 --> 05:20.800]  Hey, so what I found
[05:20.800 --> 05:22.400]  is that there is ball collision
[05:22.400 --> 05:23.100]  in this.
[05:24.020 --> 05:26.540]  Yeah, I usually have a
[05:26.540 --> 05:28.220]  cup in the morning and a cup in the afternoon.
[05:28.940 --> 05:30.640]  Oh, I might start doing that.
[05:31.540 --> 05:32.860]  Afternoon cup really gets you there.
[05:34.160 --> 05:34.920]  Andrew's still committed
[05:34.920 --> 05:36.640]  to the saloon. Medium beans.
[05:36.820 --> 05:38.080]  That was too small on beans.
[05:38.240 --> 05:40.700]  That was too small on beans.
[05:41.180 --> 05:42.960]  Shit. Here comes a scorpion.
[05:43.380 --> 05:44.900]  No, no, stop.
[05:47.900 --> 05:48.300]  Beautiful.
[05:49.420 --> 05:51.160]  Gorgeous. Alright, next hole.
[05:51.800 --> 05:52.920]  Now that I'm looking at
[05:52.920 --> 05:54.380]  this house, I'm not seeing a way out.
[05:54.800 --> 05:56.860]  What do you mean? You have to. That's the way it goes.
[05:56.960 --> 05:58.900]  There might be a bog drain
[05:58.900 --> 06:01.040]  that spits you out. There's definitely shortcuts and stuff.
[06:01.040 --> 06:01.720]  I'm not lying.
[06:02.040 --> 06:04.760]  And then it goes boo and it shoots you right out.
[06:05.320 --> 06:06.120]  Oh, hell yeah.
[06:06.380 --> 06:09.020]  Hole in one. That's so cool.
[06:09.140 --> 06:10.160]  Way to go, bud. That was awesome.
[06:11.000 --> 06:12.140]  Geoff, you might be right about this game.
[06:13.400 --> 06:14.160]  It's a great game.
[06:15.360 --> 06:17.060]  I just wish there were more levels, but I think there's a
[06:17.060 --> 06:18.220]  sequel to it we can play as well.
[06:19.560 --> 06:19.900]  DLC?
[06:21.300 --> 06:22.060]  I don't know.
[06:22.220 --> 06:24.440]  There is DLC. I don't know how
[06:24.440 --> 06:26.160]  I think you can buy it.
[06:26.820 --> 06:29.240]  The big problem with the game as I remember
[06:29.240 --> 06:30.580]  it was that there was a
[06:30.580 --> 06:33.280]  we could only play it a few times because there were only so
[06:33.280 --> 06:33.760]  many levels.
[06:35.620 --> 06:37.180]  There's 36 holes in the game.
[06:38.800 --> 06:41.480]  So if we have nine, if we have 18
[06:41.480 --> 06:43.220]  holes, let's play as we play.
[06:43.360 --> 06:45.560]  What does that mean? Oh, can you go in the grave hole?
[06:45.740 --> 06:47.500]  You get a free shot. Yeah, I don't think you want to.
[06:47.740 --> 06:48.780]  Do you want to go in there?
[06:48.900 --> 06:49.580]  I don't think so.
[06:53.480 --> 06:55.020]  Yeah, going lost is the best.
[06:55.580 --> 06:56.020]  Oh, yeah.
[06:56.080 --> 06:57.420]  You got the spring.
[06:57.420 --> 06:59.980]  I tried to spring it.
[07:00.080 --> 07:01.680]  I tried to spring it to make sure I didn't do that
[07:01.680 --> 07:02.420]  and then I did it.
[07:02.700 --> 07:05.200]  And honestly, I looked embarrassed and that's sad.
[07:07.780 --> 07:09.140]  What the hell is this view?
[07:09.440 --> 07:10.760]  Yeah, what was your camera doing, dude?
[07:11.680 --> 07:12.300]  I don't know.
[07:15.400 --> 07:16.960]  We don't know what's going on.
[07:17.300 --> 07:19.580]  I don't think so. I think I just suck.
[07:20.940 --> 07:21.500]  There we go.
[07:21.700 --> 07:22.380]  You want that?
[07:23.280 --> 07:24.520]  Yeah, it's a spring right there. Spring it!
[07:24.520 --> 07:26.800]  Oh, shit. It's B, not A.
[07:27.800 --> 07:28.960]  I could have sprang.
[07:30.560 --> 07:32.320]  Spring could have sprung right there, baby.
[07:34.420 --> 07:36.480]  You got this. You got it. It's easy.
[07:37.060 --> 07:37.320]  Easy!
[07:38.940 --> 07:40.160]  Oh, very nice hit.
[07:40.480 --> 07:40.780]  Wow!
[07:43.580 --> 07:44.460]  Oh, fuck!
[07:44.920 --> 07:45.360]  Gorgeous!
[07:46.760 --> 07:48.220]  When do I get my free shot?
[07:49.620 --> 07:50.320]  Was that it?
[07:50.900 --> 07:51.560]  I don't know.
[07:51.560 --> 07:52.600]  Your first one didn't count.
[07:53.220 --> 07:54.380]  There we go.
[07:55.620 --> 07:57.480]  You've got to be kidding me.
[07:57.940 --> 07:58.440]  Oh!
[07:59.860 --> 08:00.920]  What a stop.
[08:01.900 --> 08:03.260]  Let's fucking try.
[08:03.440 --> 08:04.140]  Oh, Christ.
[08:04.440 --> 08:07.040]  Oh, Christ.
[08:07.120 --> 08:09.640]  Just hit that and bounce off and you'll be fine.
[08:10.300 --> 08:11.420]  Maybe the tree's the shortcut.
[08:11.940 --> 08:12.120]  Yeah.
[08:12.540 --> 08:13.800]  You got it right there.
[08:15.080 --> 08:15.840]  Look at that.
[08:16.880 --> 08:18.340]  Nice, dude. Way to go.
[08:18.340 --> 08:19.180]  Oh, that was close.
[08:20.780 --> 08:22.420]  You can go right over the rock, Geoff.
[08:23.020 --> 08:23.200]  Oh!
[08:25.040 --> 08:26.920]  You bent me, Geoff!
[08:30.700 --> 08:31.220]  Bull!
[08:31.940 --> 08:34.780]  And that's what makes this the best game.
[08:34.880 --> 08:35.180]  Oh, no.
[08:38.320 --> 08:39.220]  Too many beans.
[08:39.760 --> 08:42.500]  Oh, a lot of beans, bud.
[08:42.600 --> 08:42.780]  Yeah.
[08:44.040 --> 08:45.900]  All kinds of stuff going on.
[08:45.900 --> 08:46.560]  Shit.
[08:47.300 --> 08:47.860]  Keeping that spring?
[08:48.760 --> 08:49.720]  Keeping the spring.
[08:49.920 --> 08:51.440]  Oh, look at that. Andrew's lined up.
[08:51.980 --> 08:52.520]  And look at this.
[08:52.760 --> 08:59.740]  So your first stroke, it didn't count anything until that.
[08:59.900 --> 09:00.660]  So you got...
[09:00.660 --> 09:01.800]  That was a one-stroke play.
[09:02.340 --> 09:03.320]  I might be back in it.
[09:03.920 --> 09:04.480]  You might be.
[09:07.200 --> 09:07.740]  Fireball?
[09:08.320 --> 09:08.660]  Oh!
[09:09.820 --> 09:11.480]  I rimmed the hole.
[09:17.080 --> 09:18.500]  You got it.
[09:19.000 --> 09:20.080]  More, more beans.
[09:22.020 --> 09:23.080]  Tactical free shot.
[09:23.360 --> 09:23.600]  Smart.
[09:23.920 --> 09:24.980]  Raid free shot.
[09:25.220 --> 09:25.940]  That was smart.
[09:28.320 --> 09:29.100]  You got that?
[09:29.140 --> 09:30.240]  That's your tactical free shot, too.
[09:32.880 --> 09:33.700]  Oh, you can spring it.
[09:34.280 --> 09:36.020]  I think there is...
[09:36.020 --> 09:38.040]  I think there is a shortcut,
[09:38.300 --> 09:39.240]  like the first level.
[09:39.960 --> 09:41.760]  But the spring didn't do spring!
[09:42.060 --> 09:44.300]  Hey, Geoff, I just want to point out
[09:44.300 --> 09:46.100]  that Gavin didn't have the spring when he did that.
[09:46.940 --> 09:48.280]  Where did my spring happen?
[09:48.580 --> 09:49.820]  Did you see me spring?
[09:50.160 --> 09:51.460]  No, I think you lose it.
[09:51.460 --> 09:52.340]  I think it went away.
[09:53.240 --> 09:55.700]  If you get something else over it...
[09:55.700 --> 09:56.700]  What did I get over it?
[09:56.760 --> 09:57.200]  Nothing?
[09:59.020 --> 10:01.400]  I'm not in charge of your fucking power-ups.
[10:02.780 --> 10:04.660]  Geoff, can you be in charge of Gavin's power-ups?
[10:05.660 --> 10:06.380]  I'll start.
[10:08.620 --> 10:09.060]  Nice.
[10:11.940 --> 10:12.900]  There's your free shot.
[10:12.900 --> 10:14.540]  There you go.
[10:15.440 --> 10:16.480]  It's easy.
[10:16.880 --> 10:17.160]  Yep.
[10:18.060 --> 10:19.160]  Not enough beans.
[10:20.220 --> 10:22.680]  I was just trying to get that free shot.
[10:23.320 --> 10:24.040]  Perfect.
[10:24.300 --> 10:26.560]  That's a shit shot.
[10:26.880 --> 10:27.740]  I don't know about that.
[10:28.160 --> 10:29.100]  That's terrible.
[10:30.100 --> 10:31.600]  Tossin' bastards.
[10:34.480 --> 10:35.200]  Toss!
[10:35.560 --> 10:38.940]  Have you ever played minigolf before?
[10:41.160 --> 10:41.600]  Jesus.
[10:44.900 --> 10:47.300]  This guy trying to shoot it through the okay corral.
[10:48.220 --> 10:49.220]  Suddenly caught up.
[10:49.340 --> 10:50.060]  You ever played minigolf?
[10:51.900 --> 10:54.220]  I've shot better shots off my own back
[10:54.220 --> 10:55.560]  than I'm doing right now.
[10:55.700 --> 10:56.420]  Get in there.
[10:56.940 --> 10:58.280]  You did what off your what?
[10:58.480 --> 10:59.680]  You did what off your back?
[11:00.180 --> 11:02.740]  He did back shots off of Michael or something.
[11:03.000 --> 11:04.620]  No, I dressed as Turf.
[11:04.700 --> 11:06.800]  I put the ball on my own back and I got it.
[11:07.380 --> 11:08.860]  I heard you rimmed the hole.
[11:10.700 --> 11:12.100]  I'm pretty sure that's what he said, right?
[11:12.140 --> 11:12.980]  Yeah, something like that.
[11:14.460 --> 11:16.280]  I wasn't really paying attention, but I think that's right.
[11:20.380 --> 11:20.700]  Okay.
[11:23.540 --> 11:25.180]  So we gotta get it in the hole, huh?
[11:25.940 --> 11:27.020]  So you can see to the right
[11:27.020 --> 11:27.900]  there is a little...
[11:27.900 --> 11:30.680]  I think it's the...
[11:32.000 --> 11:33.000]  I think the snake
[11:33.000 --> 11:34.920]  if you get too close to it, it might fuck with you.
[11:34.920 --> 11:35.520]  I don't remember.
[11:35.840 --> 11:36.980]  Here comes Scorponox.
[11:37.620 --> 11:38.680]  You okay back there, Gavin?
[11:39.360 --> 11:39.760]  Yeah.
[11:41.060 --> 11:41.960]  You sure about that?
[11:42.600 --> 11:42.900]  No.
[11:47.400 --> 11:48.040]  Get that one.
[11:48.160 --> 11:49.220]  Damn it. I wanted that.
[11:49.460 --> 11:50.360]  That's a good one.
[11:50.360 --> 11:51.820]  Is that a zappy punch?
[11:52.820 --> 11:53.660]  That's what I want.
[11:54.020 --> 11:56.760]  That's why I'm positioned myself right there with it.
[11:57.100 --> 11:58.300]  Watch out for Scorponox.
[11:59.660 --> 12:01.920]  Why didn't I get to go first if I suck the most?
[12:01.920 --> 12:02.500]  I don't know.
[12:02.560 --> 12:05.600]  You definitely do suck the most.
[12:10.720 --> 12:15.060]  Did I say Michael?
[12:15.240 --> 12:16.100]  I didn't see anyone's name.
[12:16.840 --> 12:17.960]  What are you talking about?
[12:42.160 --> 12:45.340]  I'm so glad we can keep doing this.
[12:48.200 --> 12:51.620]  I'd be really sad if we didn't get to keep doing this.
[12:53.960 --> 12:54.500]  Beans!
[12:55.100 --> 12:56.080]  Summer 2012.
[12:57.880 --> 12:58.880]  That's a lot of beans.
[12:58.880 --> 13:00.300]  Do it!
[13:09.100 --> 13:10.620]  That was great.
[13:10.840 --> 13:12.360]  You went so far.
[13:13.020 --> 13:14.600]  Where even am I?
[13:21.080 --> 13:22.080]  That's great.
[13:22.300 --> 13:23.900]  Did you just dismiss me out of the map?
[13:24.140 --> 13:25.040]  I don't know.
[13:28.880 --> 13:31.140]  I can't wait to see where you end up.
[13:31.560 --> 13:33.060]  I thought you'd think I'd get to go again.
[13:33.140 --> 13:33.700]  I just out.
[13:35.440 --> 13:36.500]  What a shot!
[13:37.800 --> 13:38.200]  Wow.
[13:39.720 --> 13:42.260]  I think I see another reason why Geoff wanted to play this game.
[13:44.180 --> 13:45.680]  You're not that far back.
[13:45.760 --> 13:46.320]  You're good.
[13:46.540 --> 13:47.200]  That could have been worse.
[13:48.600 --> 13:50.980]  You can probably even take that shortcut if you shoot up to the right.
[13:52.880 --> 13:53.380]  Shut up.
[13:53.380 --> 13:54.500]  Holy shit.
[13:57.500 --> 13:58.300]  Hell yeah.
[13:59.300 --> 14:00.700]  See, Geoff's in charge of your power-ups.
[14:02.300 --> 14:03.400]  I was a bit out of range there.
[14:08.460 --> 14:10.040]  You're pretty in range there though.
[14:13.040 --> 14:14.680]  You can't use it right now, can you?
[14:15.580 --> 14:15.980]  No.
[14:17.160 --> 14:18.380]  How do I use it?
[14:19.160 --> 14:20.580]  What the fuck was that?
[14:20.580 --> 14:20.920]  Boom.
[14:22.240 --> 14:24.740]  I think it hit the little awning thing.
[14:25.140 --> 14:26.580]  You can use it right now, can't you?
[14:27.140 --> 14:27.880]  I'm gonna die.
[14:29.180 --> 14:30.860]  It didn't go off!
[14:31.840 --> 14:32.900]  I'm sub-shit!
[14:36.220 --> 14:38.220]  I'm blooples in myself.
[14:38.560 --> 14:40.380]  Fucking awning. That sucks.
[14:40.700 --> 14:41.080]  No!
[14:46.980 --> 14:48.160]  It's in the hole.
[14:48.160 --> 14:49.320]  Good putt, Eric.
[14:49.320 --> 14:52.400]  I cannot tell you how good it feels to play this game without Ray.
[14:58.800 --> 14:59.640]  Double bogey.
[14:59.840 --> 15:00.080]  Damn.
[15:01.480 --> 15:02.500]  Where are we at? Hang on.
[15:02.700 --> 15:06.000]  So it's Geoff at zero. Gavin's at plus six.
[15:10.480 --> 15:12.380]  Plenty of time.
[15:14.140 --> 15:15.360]  Climb the ladder?
[15:16.460 --> 15:17.840]  Oh, you got bombs?
[15:18.120 --> 15:18.920]  Oh, shit.
[15:20.080 --> 15:20.800]  There's bombs.
[15:22.200 --> 15:23.180]  Alright, Geoff, what do you got?
[15:24.200 --> 15:25.040]  I don't know, man.
[15:25.260 --> 15:25.600]  Oh, wow.
[15:28.500 --> 15:28.840]  Sure.
[15:30.720 --> 15:31.300]  Oh, good.
[15:32.080 --> 15:32.440]  Uh...
[15:33.240 --> 15:34.020]  What do you got?
[15:36.420 --> 15:37.460]  Where are you gonna shoot?
[15:37.460 --> 15:39.240]  Oh, you can do that. You can hit Geoff with it.
[15:39.640 --> 15:39.720]  Now.
[15:41.400 --> 15:42.060]  Where's the O?
[15:42.060 --> 15:43.240]  Oh, no.
[15:43.620 --> 15:44.780]  Is it not around it?
[15:44.860 --> 15:45.800]  No, it's up top.
[15:45.940 --> 15:48.480]  How did you win a mini-golf reality show?
[15:54.320 --> 15:55.880]  They got to look at the hole.
[15:57.040 --> 15:57.920]  I think other people
[15:57.920 --> 15:59.900]  wanted to stop filming, so...
[15:59.900 --> 16:00.780]  They just went home.
[16:00.800 --> 16:02.700]  I'll tell you how he won.
[16:03.800 --> 16:05.700]  Blaine completely disintegrated
[16:05.700 --> 16:07.040]  as a human being that day.
[16:07.960 --> 16:09.920]  I have never seen
[16:09.920 --> 16:11.540]  someone crack under pressure like that.
[16:12.420 --> 16:13.660]  I tried to give him a few as well.
[16:14.220 --> 16:15.820]  I know, and he knew you did.
[16:16.060 --> 16:17.640]  And he still couldn't pull it together.
[16:18.520 --> 16:19.760]  What is blowhole?
[16:20.260 --> 16:22.220]  What did he say?
[16:22.420 --> 16:22.860]  Blowhole?
[16:25.020 --> 16:26.240]  Uh... I don't remember.
[16:26.520 --> 16:28.000]  Maybe it shoots people away from the hole.
[16:29.200 --> 16:29.640]  Maybe.
[16:30.740 --> 16:31.180]  Oh!
[16:33.440 --> 16:33.880]  Right.
[16:33.980 --> 16:35.140]  That's all you're supposed to do?
[16:36.220 --> 16:36.480]  Yeah.
[16:36.480 --> 16:36.900]  Oh.
[16:39.040 --> 16:39.560]  What?
[16:39.900 --> 16:42.540]  Okay, let's think about this.
[16:44.440 --> 16:44.960]  Let's...
[16:44.960 --> 16:46.320]  You can use this
[16:46.320 --> 16:47.040]  and zap him.
[16:48.280 --> 16:50.840]  Yeah, just hit B as soon as you hit the ball.
[16:51.160 --> 16:52.020]  I tried that last time.
[16:52.340 --> 16:54.000]  Try harder this time.
[16:55.180 --> 16:55.320]  Yeah.
[16:56.280 --> 16:58.060]  Oh, no!
[16:58.880 --> 16:59.320]  Oh!
[17:00.800 --> 17:01.320]  Oh.
[17:02.200 --> 17:04.080]  Oh, you hit the barrel and it blew up.
[17:06.800 --> 17:08.020]  Oh, I do like it, actually.
[17:08.160 --> 17:09.440]  Wow, that is pretty lined up.
[17:09.460 --> 17:10.300]  That's where you landed?
[17:11.440 --> 17:13.180]  Get blowhole. I don't know what it does.
[17:16.960 --> 17:18.020]  What the fuck was that?
[17:18.380 --> 17:18.740]  Bark!
[17:18.880 --> 17:21.200]  I think it sucks you into the hole, maybe.
[17:22.540 --> 17:22.920]  Oh, wow.
[17:23.280 --> 17:25.580]  It either sucks you in or blows people away.
[17:25.720 --> 17:26.900]  Oh, that was close.
[17:27.720 --> 17:28.340]  Thanks, Gavin.
[17:29.460 --> 17:29.560]  Yeah.
[17:32.360 --> 17:32.820]  I don't...
[17:34.380 --> 17:36.020]  Okay. Great.
[17:37.760 --> 17:40.760]  I feel like Blaine right now. I'm falling apart.
[17:44.220 --> 17:45.500]  Get me out of here.
[17:45.860 --> 17:46.480]  Nice.
[17:47.660 --> 17:49.840]  I thought it was going to fail you.
[17:50.320 --> 17:51.740]  This is going to be bad, fellas.
[17:52.860 --> 17:53.660]  For who?
[17:54.840 --> 17:55.940]  Me, you dunce.
[17:58.140 --> 17:59.240]  There you go. Perfect.
[17:59.920 --> 18:01.480]  Now you're perfectly lined up.
[18:01.780 --> 18:03.580]  Would it be politically incorrect
[18:03.580 --> 18:05.380]  to sell a regulation dunce cap?
[18:08.100 --> 18:09.240]  I think we could do it.
[18:11.000 --> 18:13.220]  I'm calling my daddy. I don't like this.
[18:13.780 --> 18:13.960]  What?
[18:15.960 --> 18:16.800]  Oh, what was the score?
[18:16.920 --> 18:18.020]  I don't... Who gives a fuck?
[18:19.300 --> 18:19.660]  Oh.
[18:20.620 --> 18:21.820]  Oh no, Eric. What happened?
[18:24.200 --> 18:25.800]  Wow, that looks like a twisty dick.
[18:26.320 --> 18:27.220]  Look, it's blowhole.
[18:28.300 --> 18:29.720]  I'm going to get me some blow.
[18:32.620 --> 18:34.360]  Can I just put it down?
[18:36.180 --> 18:36.700]  Okay.
[18:38.440 --> 18:38.900]  Right.
[18:39.220 --> 18:39.880]  Please go right.
[18:40.400 --> 18:44.120]  It looks like I just shat my bowl out my eye.
[18:47.220 --> 18:48.980]  I have everyone's bowl poo.
[18:49.660 --> 18:51.040]  Oh, that's so funny.
[18:51.340 --> 18:51.880]  You're right here.
[18:52.180 --> 18:54.440]  You're further behind.
[18:57.220 --> 18:59.440]  Look at Andrew machinimating.
[19:05.180 --> 19:05.880]  That's nice.
[19:06.180 --> 19:08.820]  The bar was pretty low.
[19:10.980 --> 19:11.440]  Nice.
[19:13.060 --> 19:14.260]  That's right.
[19:18.350 --> 19:19.770]  See, he's behind you.
[19:21.090 --> 19:23.170]  This is so funny.
[19:24.730 --> 19:25.190]  Oh.
[19:25.190 --> 19:26.030]  Damn it.
[19:29.610 --> 19:30.890]  That was close.
[19:31.030 --> 19:33.230]  So vacuum hole is just activated upon pick up.
[19:34.770 --> 19:35.830]  Appears to be.
[19:36.990 --> 19:39.730]  So if you get enough beans, you can really get it up there.
[19:39.930 --> 19:41.250]  And then like...
[19:41.930 --> 19:42.390]  Yeah.
[19:43.030 --> 19:44.510]  Did you? Hang on.
[19:45.010 --> 19:45.790]  Hang on.
[19:47.030 --> 19:48.150]  What was that?
[19:48.390 --> 19:49.270]  Wait a second.
[19:51.010 --> 19:51.790]  Oh no.
[19:51.790 --> 19:53.110]  Did you use the electricity?
[19:53.470 --> 19:53.770]  No!
[19:54.510 --> 19:55.070]  Oh my god.
[19:56.950 --> 20:01.090]  He moved a half a foot because you knocked him off the course.
[20:02.150 --> 20:04.930]  It put him back to the regular starting position.
[20:05.550 --> 20:07.170]  Oh, you killed me?
[20:07.290 --> 20:07.630]  Yes.
