[00:01.840 --> 00:03.840]  Wow, look at this.
[02:25.290 --> 02:28.090]  So now what? Oh, you have to get the bike? Yeah.
[02:28.210 --> 02:29.990]  Yeah, you get on the bike.
[02:32.290 --> 02:36.210]  Let me out, let me out. Oh, no, get away! Kill him! Kill that guy!
[02:48.450 --> 02:50.050]  Come here, you rat bitch!
[02:52.210 --> 02:54.770]  Sorry, Nick!
[02:58.210 --> 03:01.550]  It had to be done! It had to be done! Get to my speed there. That was fun.
[03:04.330 --> 03:17.470]  No, wrong bike, you moron. Good job, Gavin! So you can swing while on the bike. Yes, that's the whole point.
[03:17.510 --> 03:21.830]  No, you hit me! I hit you? How did I hit you?
[03:24.150 --> 03:26.230]  You hold X and you press the bumpers.
[03:27.690 --> 03:30.110]  Woo! The hill was lost. No!
[03:31.910 --> 03:34.570]  Must recapture hill.
[03:35.090 --> 03:38.310]  Do we have to stay like up on the boardwalk?
[03:39.770 --> 03:40.590]  Nope, you can go anywhere.
[03:42.570 --> 03:48.650]  I don't think my control scheme is the same as yours. I don't think so either. I can swing the hammer only the Thagio can.
[03:49.350 --> 03:50.770]  No, no, you can swing the hammer.
[03:51.470 --> 03:55.990]  Ow! You hold X. On the bike? Yes, you hold X and then you hit. I'm holding X.
[03:56.370 --> 03:58.870]  No, it doesn't do that for me. All right, let's figure out the controls.
[03:59.430 --> 04:01.850]  You've got different, uh... I'm doing it right now.
[04:02.490 --> 04:07.670]  Yeah, I hold X and then I press left and right bumpers. See? It works. I'm doing the same thing. Nothing's happening.
[04:10.310 --> 04:10.670]  See?
[04:13.790 --> 04:16.270]  Well, let's have the other people figure out how to do it.
[04:17.330 --> 04:18.330]  And then we'll resume.
[04:19.110 --> 04:23.530]  Hold A and click the left or right bumper. Try that. Oh, it's A. It's A. Okay.
[04:23.530 --> 04:26.690]  So you have you have your hand, you don't have your handbrake switched. Yeah.
[04:27.170 --> 04:34.270]  I'm with you, Gavin. Resume! Now we're in it. I hope this rat is ready to fucking die. No! Rat's ready to live, baby!
[04:34.710 --> 04:35.930]  Live, rat, live!
[04:37.050 --> 04:42.650]  Live, rat! Ow, ow, ow. Are you, were you on the... oh, you're not. Where's the hell is... oh!
[04:42.770 --> 04:43.230]  Rat life!
[04:47.730 --> 04:48.550]  Oh! Oh, shit!
[04:49.550 --> 04:51.930]  Oh, get my bike out. Oh, no!
[04:51.930 --> 04:52.030]  No! No!
[04:56.830 --> 04:59.010]  Stop him! Get him! Get him!
[05:00.710 --> 05:02.450]  Die! Die, the liar!
[05:03.850 --> 05:05.090]  Get out of here! Ow!
[05:05.970 --> 05:08.070]  Where'd the bike go? I'm just getting this off the fucking hammer!
[05:08.890 --> 05:13.550]  He'll respawn. Oh, shit! Oh, Geoff! Ow!
[05:15.750 --> 05:18.010]  Go, rat, go, go, rat, go! Go, rat, go!
[05:20.530 --> 05:21.550]  Kill the rat!
[05:22.590 --> 05:23.210]  And Eric's winning.
[05:23.570 --> 05:24.270]  Come on, rat!
[05:25.950 --> 05:27.910]  That's because you sat on the bike while we figured out control skills.
[05:29.350 --> 05:32.050]  Oh, shit! I thought I'd be able to bank those stairs!
[05:32.170 --> 05:32.490]  Ah!
[05:33.170 --> 05:34.450]  Where'd he go? Oh!
[05:35.530 --> 05:36.410]  Someone's taking it!
[05:36.430 --> 05:37.230]  That's not the bike!
[05:40.590 --> 05:41.470]  There goes Gavin!
[05:42.470 --> 05:43.770]  I'll see you guys later.
[05:43.930 --> 05:45.390]  I'm gonna get him. I'm gonna get him.
[05:45.510 --> 05:45.830]  Ow!
[05:45.830 --> 05:46.030]  Get him!
[05:51.140 --> 05:51.660]  Ah!
[05:52.020 --> 05:52.600]  It's mine!
[05:55.180 --> 05:56.220]  It's mine for the taking!
[05:56.460 --> 05:57.980]  Not me, you idiot! Get him!
[05:57.980 --> 05:58.880]  It's mine for the taking!
[06:01.820 --> 06:02.900]  How'd he do that?
[06:03.620 --> 06:05.200]  He's getting that little MF'er!
[06:07.820 --> 06:08.720]  Oh, it's Gavin!
[06:08.980 --> 06:09.620]  Oh, get away!
[06:14.900 --> 06:16.140]  How'd he do that?
[06:16.140 --> 06:17.920]  I launched him into the air!
[06:18.240 --> 06:19.060]  How'd I do that?
[06:19.920 --> 06:21.340]  He's got superior tactics!
[06:22.460 --> 06:23.560]  I'll cut him off at the pier!
[06:24.660 --> 06:26.080]  I'm going up on the rollercoaster!
[06:26.580 --> 06:27.600]  Bastard man!
[06:28.080 --> 06:28.760]  Oh, shit!
[06:29.980 --> 06:30.520]  Get away!
[06:31.880 --> 06:32.600]  Where is he?
[06:33.720 --> 06:36.380]  He's on the backside of the Ferris wheel.
[06:36.800 --> 06:37.980]  No! Get away, Geoff!
[06:38.840 --> 06:39.920]  Smash his stupid face!
[06:40.360 --> 06:42.080]  He's up there!
[06:42.380 --> 06:45.920]  I'm trying to get on the Ferris wheel!
[06:46.440 --> 06:47.520]  Oh, damn it!
[06:47.860 --> 06:48.100]  Ah!
[06:49.140 --> 06:51.280]  No, you just kicked me in the leg!
[06:54.920 --> 06:57.340]  Oh, shit!
[06:59.160 --> 07:00.320]  This is a nightmare!
[07:00.600 --> 07:01.180]  Go, Rat, go!
[07:01.740 --> 07:03.740]  Die, you rat bitch!
[07:07.620 --> 07:09.880]  Oh, god!
[07:09.880 --> 07:11.000]  Oh, shit!
[07:11.620 --> 07:12.620]  Where'd my hammer go?
[07:12.980 --> 07:16.200]  Yeah! King of the hill!
[07:17.440 --> 07:18.880]  Get on the bike!
[07:20.340 --> 07:22.720]  Get out of here, you little...
[07:24.260 --> 07:26.260]  Is it still stuck up the stairs?
[07:26.740 --> 07:27.800]  I'm under it!
[07:28.240 --> 07:28.540]  Whoops!
[07:30.200 --> 07:31.180]  Hey, Nick, hold on.
[07:32.220 --> 07:33.160]  I'm sorry, Geoff.
[07:33.900 --> 07:34.660]  I got it.
[07:35.480 --> 07:36.260]  Hold on a second.
[07:37.540 --> 07:38.080]  I forgot.
[07:38.280 --> 07:39.380]  I just need you to die real fast.
[07:40.140 --> 07:41.880]  I need Andrew to die real fast.
[07:41.980 --> 07:43.180]  Andrew, I'm gonna need you to die real fast.
[07:44.060 --> 07:45.260]  Ah, damn it!
[07:49.100 --> 07:49.900]  Get away!
[07:50.040 --> 07:51.960]  Get out of here, you little...
[07:52.840 --> 07:54.760]  It's a massacre up here!
[07:55.420 --> 07:56.980]  Why do I keep falling down?
[07:57.940 --> 07:58.780]  I'm like Michael Douglas.
[07:59.060 --> 08:00.080]  I'm not even on the starting thing!
[08:02.260 --> 08:03.960]  This is so stupid!
[08:06.520 --> 08:07.720]  Jesus Christ!
[08:09.600 --> 08:12.540]  There's five people smashing each other with a hammer!
[08:13.420 --> 08:14.580]  Oh, respawn!
[08:15.180 --> 08:15.580]  Hell yeah.
[08:19.460 --> 08:21.260]  Andrew's plan was always good.
[08:23.520 --> 08:24.520]  God damn it.
[08:27.990 --> 08:29.390]  Hey, hey, what if you didn't...
[08:29.390 --> 08:29.710]  No!
[08:37.650 --> 08:38.470]  Don't mind me!
[08:39.650 --> 08:41.430]  Oh, Gavin's body fucked me up!
[08:47.370 --> 08:47.910]  No!
[08:50.920 --> 08:51.400]  No!
[08:53.700 --> 08:54.640]  Kill the rat!
[08:57.320 --> 08:57.920]  Yes!
[09:01.040 --> 09:02.640]  Come here, you slow bastard!
[09:03.120 --> 09:03.720]  Yes!
[09:05.060 --> 09:06.920]  No, I'm on the roof!
[09:07.580 --> 09:09.520]  If he'd stayed on the roof, he would've had it.
[09:09.760 --> 09:11.040]  I tried to bump me out.
[09:11.560 --> 09:13.100]  That was so close!
[09:13.150 --> 09:13.680]  No!
[09:16.040 --> 09:17.420]  Where's he going?
[09:17.960 --> 09:18.780]  I'm roadkill!
[09:20.560 --> 09:24.240]  Give me this.
[09:32.460 --> 09:35.740]  I'll see you later, bitches!
[09:38.620 --> 09:39.320]  Bye, bye!
[09:39.320 --> 09:39.420]  No!
[09:42.120 --> 09:43.240]  Sneak it away!
[09:45.000 --> 09:46.560]  I'm done, you losers!
[09:46.820 --> 09:47.700]  Oh, God!
[09:48.280 --> 09:51.340]  You road warrior me!
[09:51.440 --> 09:52.300]  You Mad Max me!
[09:52.560 --> 09:54.100]  I'm his wife and kid!
[09:54.700 --> 09:56.840]  Andrew, please!
[09:57.320 --> 09:57.780]  Get away!
[09:58.640 --> 10:00.040]  Kick me to death!
[10:03.680 --> 10:04.320]  No!
[10:04.320 --> 10:05.800]  Oh, my God!
[10:09.800 --> 10:10.960]  What the...
[10:10.960 --> 10:12.160]  Oh, fuck!
[10:12.380 --> 10:13.320]  You murdered me, Nick.
[10:13.760 --> 10:15.900]  Sorry, I was trying to get Gavin to watch.
[10:19.380 --> 10:20.320]  Who's got it?
[10:20.860 --> 10:21.280]  No one.
[10:27.950 --> 10:29.730]  Son of a...
[10:29.730 --> 10:30.790]  No!
[10:31.790 --> 10:32.290]  No!
[10:32.610 --> 10:33.170]  Come on!
[10:33.450 --> 10:38.910]  Oh, this is bullshit!
[10:39.170 --> 10:39.570]  Go, rat, go!
[10:41.130 --> 10:42.410]  The rat might...
[10:42.410 --> 10:44.830]  I might have fucked myself.
[10:45.970 --> 10:46.590]  Kill the rat!
[10:46.750 --> 10:47.190]  Kill the rat!
[10:49.270 --> 10:49.570]  Yes!
[10:55.190 --> 10:56.570]  I have done myself in.
[10:56.890 --> 10:57.370]  Alright, here we go.
[10:57.930 --> 10:58.350]  Ah!
[11:00.410 --> 11:04.030]  Oh, you little...
[11:04.030 --> 11:04.790]  Little rat.
[11:08.360 --> 11:09.220]  Oh, I'm gonna...
[11:09.220 --> 11:10.480]  I'm gonna bash you good.
[11:12.520 --> 11:13.460]  Andrew's getting it!
[11:14.620 --> 11:16.120]  As long as Eric doesn't have it,
[11:16.180 --> 11:16.320]  he's about to win.
[11:16.320 --> 11:18.040]  As long as Eric doesn't get it, who gives a shit?
[11:19.520 --> 11:20.880]  Oh, get away, get away, get away.
[11:21.280 --> 11:22.100]  I'm so slow!
[11:22.640 --> 11:24.560]  Yeah, this thing is so slow.
[11:25.240 --> 11:25.940]  I'm so slow!
[11:25.940 --> 11:28.360]  Ow, ow, ow, ow!
[11:31.300 --> 11:33.220]  You pinned me up against the wall
[11:33.220 --> 11:34.680]  and then just hammered me.
[11:40.460 --> 11:43.740]  Oh, yes!
[11:44.220 --> 11:44.760]  Yes, freedom!
[11:45.420 --> 11:45.980]  Freedom!
[11:47.400 --> 11:49.100]  I'm off, you'll never see me again!
[11:49.300 --> 11:51.440]  That was my bite, you stole my bite!
[11:51.640 --> 11:52.480]  It was your bite!
[11:53.620 --> 11:54.620]  Go get him!
[11:55.200 --> 11:55.760]  Goddammit!
[12:00.220 --> 12:00.920]  Oh, shit!
[12:01.620 --> 12:02.460]  That's a dead end.
[12:02.660 --> 12:04.380]  Oh, it's gone! It's gone!
[12:04.520 --> 12:05.820]  Oh, no, it respawned!
[12:06.360 --> 12:07.660]  Go, go, go, go, go, go, go!
[12:07.840 --> 12:09.420]  Oh, it respawned? Oh, no!
[12:12.180 --> 12:12.920]  Nice do it.
[12:14.860 --> 12:15.980]  Gotta get there first.
[12:19.840 --> 12:20.240]  Shit!
[12:20.940 --> 12:21.580]  Yeah, goodbye!
[12:27.340 --> 12:28.340]  It's gonna get it.
[12:29.860 --> 12:30.500]  Ow!
[12:36.180 --> 12:37.560]  Goddammit, where'd you come from?
[12:39.420 --> 12:39.580]  No!
[12:41.140 --> 12:42.000]  Get him!
[12:42.600 --> 12:44.240]  Kill the rat!
[12:45.060 --> 12:45.680]  Ow!
[12:49.120 --> 12:49.400]  No!
[12:51.660 --> 12:52.860]  That's so high!
[12:54.560 --> 12:55.760]  Get it, Geoff!
[12:56.760 --> 12:57.480]  Where did it go?
[12:57.920 --> 12:59.200]  It was down right here.
[13:00.560 --> 13:01.440]  No, bullshit!
[13:01.480 --> 13:02.680]  I hit the fucking edge!
[13:08.560 --> 13:09.980]  Come back here!
[13:14.340 --> 13:15.900]  Oh, ow, ow, ow!
[13:18.460 --> 13:20.120]  I didn't like that you came back.
[13:20.460 --> 13:21.600]  I take back what I said.
[13:22.160 --> 13:23.940]  Oh, my God! I died fast!
[13:24.520 --> 13:26.060]  Yeah, I beat the fuck out of you.
[13:26.620 --> 13:26.920]  Ow!
[13:30.920 --> 13:33.060]  Dude, I think I like Scoot Scoot.
[13:33.200 --> 13:34.520]  Eric's so close to winning.
[13:35.240 --> 13:36.240]  Oh, no!
[13:37.000 --> 13:38.560]  Oh, God, I ragdolled!
[13:38.800 --> 13:39.440]  Get him!
[13:43.170 --> 13:43.870]  Oh, shit.
[13:44.730 --> 13:45.290]  Tuck and roll!
[13:45.570 --> 13:49.690]  Oh, I'm dead.
[13:51.210 --> 13:52.370]  I'm just dead.
[13:52.570 --> 13:53.950]  I can't let you get it!
[13:53.950 --> 13:54.730]  Damn it!
[13:57.050 --> 13:58.050]  Oh, I was so far...
[13:58.050 --> 13:58.910]  Not so far away.
[14:00.010 --> 14:00.970]  Andrew has it.
[14:02.010 --> 14:02.570]  Scoot!
[14:03.110 --> 14:03.670]  Scoot!
[14:05.550 --> 14:06.790]  Oh, thanks, Nick!
[14:08.450 --> 14:09.730]  No, thanks, Nick!
[14:10.010 --> 14:10.630]  God damn it!
[14:13.370 --> 14:14.650]  Ah, you mother effer!
[14:17.090 --> 14:18.270]  To the sea!
[14:19.390 --> 14:20.650]  Oh, he's gonna bit it!
[14:22.530 --> 14:23.510]  God damn it!
[14:23.510 --> 14:25.050]  I just want to sit on the scooter!
[14:26.570 --> 14:27.490]  Not today!
[14:29.810 --> 14:30.290]  Boom!
[14:34.190 --> 14:36.030]  He launched it into him!
[14:38.210 --> 14:38.410]  Oh, no.
[14:39.110 --> 14:39.690]  Got it!
[14:41.330 --> 14:41.810]  Shit.
[14:44.010 --> 14:45.850]  Did you launch that, Andrew?
[14:45.850 --> 14:46.910]  Did you jump off that, Eric?
[14:47.210 --> 14:49.410]  Yeah. That's what I did before, too.
[14:50.390 --> 14:51.870]  Oh, I had it!
[14:51.890 --> 14:52.990]  Joey had it!
[14:53.230 --> 14:55.190]  You guys were so fucked, I had it!
[14:55.610 --> 14:55.850]  No!
[14:57.230 --> 15:00.330]  Oh, it's all me now, baby!
[15:01.470 --> 15:01.950]  Ow!
[15:06.730 --> 15:08.050]  I went to the fucking ocean!
[15:08.750 --> 15:09.550]  I killed him!
[15:09.650 --> 15:10.770]  God, blow the fuck up!
[15:13.970 --> 15:16.030]  I jumped that thing to the ocean!
[15:16.630 --> 15:18.810]  Did you see it explode as you hit it?
[15:19.950 --> 15:21.350]  I'm like the rock!
[15:22.830 --> 15:22.890]  No!
[15:25.630 --> 15:26.970]  He's gonna get it!
[15:27.930 --> 15:28.550]  Which one?
[15:29.010 --> 15:30.150]  Eric, he's getting away!
[15:31.170 --> 15:31.990]  Go, rat!
[15:38.850 --> 15:40.930]  This rat son of a bitch!
[15:41.650 --> 15:42.070]  No!
[15:42.470 --> 15:43.950]  I'm so close!
[15:45.350 --> 15:45.930]  Kill him!
[15:46.670 --> 15:48.090]  Oh, my teeth!
[15:52.610 --> 15:53.510]  No, don't let it go!
[15:55.840 --> 15:57.040]  It's not even...
[15:57.040 --> 15:57.580]  No!
[16:00.080 --> 16:01.240]  Stop, Andrew, stop!
[16:02.360 --> 16:02.940]  Oh, the rat!
[16:03.060 --> 16:03.720]  The rat's back!
[16:03.880 --> 16:05.120]  Kill Eric, Andrew!
[16:08.080 --> 16:08.700]  I'm trying!
[16:09.160 --> 16:09.880]  Get him off it!
[16:10.520 --> 16:11.400]  I got him!
[16:12.560 --> 16:12.900]  Yes!
[16:15.200 --> 16:15.680]  Shit!
[16:18.240 --> 16:19.060]  Get away!
[16:20.480 --> 16:21.500]  Oh, I fell!
[16:21.880 --> 16:22.800]  Oh, I got killed!
[16:22.800 --> 16:23.620]  Oh, my balls!
[16:25.860 --> 16:26.020]  No!
[16:28.060 --> 16:28.840]  Get away!
[16:29.620 --> 16:30.640]  Come on, Geoff, we gotta go get him.
[16:31.000 --> 16:32.000]  How's he still on this?
[16:33.580 --> 16:33.900]  Get away!
[16:33.900 --> 16:36.200]  Oh, you bitch! You're lucky I'm stupid!
[16:38.440 --> 16:39.700]  Oh, I just punched him!
[16:39.720 --> 16:44.620]  Oh, I'm still here!
[16:45.780 --> 16:46.200]  How?
[16:47.400 --> 16:48.120]  Kill him!
[16:49.380 --> 16:50.140]  Sneak, sneak!
[16:50.140 --> 16:51.840]  Come here!
[16:52.820 --> 16:54.020]  Oh, damn it!
[16:55.280 --> 16:56.540]  Eric threw me off!
[16:57.880 --> 17:00.920]  Go, Eric! Go, rat!
[17:02.870 --> 17:03.070]  No!
[17:06.710 --> 17:07.590]  Holy shit!
[17:10.930 --> 17:11.810]  Rat champion!
[17:14.530 --> 17:16.350]  That was a lot of time that rat got.
[17:16.510 --> 17:18.310]  I think that was a lot of illegal time acquired.
[17:18.470 --> 17:19.870]  We need a fucking rematch on this one.
[17:20.710 --> 17:22.650]  Don't worry, that was one of four.
[17:23.190 --> 17:24.570]  Oh, my God!
[17:24.890 --> 17:26.110]  Oh, my God!
[17:26.690 --> 17:30.450]  I don't know that I have the stamina necessary for four of these.
[17:31.670 --> 17:32.590]  Well, we could do two.
[17:33.470 --> 17:34.550]  Or we could do four!
[17:36.690 --> 17:39.710]  Dude, this game type is crazy.
[17:40.230 --> 17:41.150]  Yeah, this is a good one.
[17:41.250 --> 17:41.910]  Good job, Matt.
[17:42.910 --> 17:43.630]  Good job.
[17:45.190 --> 17:45.910]  The Brogmeister.
[17:46.510 --> 17:48.590]  Oh, man, that was incredible.
[17:49.970 --> 17:51.970]  It's so crazy.
[17:52.090 --> 17:53.270]  What is teams?
[17:56.490 --> 18:03.650]  Oh, look at that.
[18:03.850 --> 18:05.070]  Andrew switched teams.
[18:05.570 --> 18:07.590]  I'm just going to observe.
[18:10.610 --> 18:11.370]  Yeah!
[18:11.990 --> 18:12.570]  Cool guy move.
[18:13.350 --> 18:16.090]  Can you switch to the next game in the playlist, Geoff?
[18:16.570 --> 18:16.830]  No.
[18:18.530 --> 18:19.430]  I think the only way to do it
[18:19.430 --> 18:21.150]  is to tear the playlist down and start over again.
[18:21.870 --> 18:23.230]  So it sounds like we're doing a team game.
[18:23.330 --> 18:23.670]  That's fine.
[18:26.190 --> 18:27.230]  By me, we got it.
[18:27.850 --> 18:28.670]  It's dramatically changed.
[18:31.210 --> 18:31.950]  Drive, Eric, drive!
[18:39.480 --> 18:40.080]  There, Geoff!
[18:40.180 --> 18:40.640]  Dammit, Nick!
[18:41.300 --> 18:43.500]  He's about to take his little rat brains out.
[18:44.960 --> 18:46.140]  Go, rat man, I got you.
[18:47.440 --> 18:48.440]  All right, rat brains.
[18:48.480 --> 18:49.920]  Team rat brains going down the road.
[18:50.640 --> 18:51.460]  They're splitting.
[18:52.060 --> 18:52.760]  Oh, that's you.
[18:53.080 --> 18:55.200]  Sorry, I saw the guy coming up around the side.
[18:55.400 --> 18:58.460]  Oh, shit, you're left!
[18:58.800 --> 19:00.480]  I got it.
[19:03.660 --> 19:04.540]  Oh, no!
[19:11.160 --> 19:12.040]  Neutral observer!
[19:14.680 --> 19:15.560]  Neutral observer!
[19:19.990 --> 19:20.850]  Neutral observer!
[19:22.170 --> 19:23.670]  I can't get anyone near him.
[19:23.710 --> 19:24.590]  Geoff, get off the roof!
[19:31.310 --> 19:32.590]  Neutral observer!
[19:33.110 --> 19:34.210]  Neutral observer!
[19:35.890 --> 19:36.210]  Ah!
[19:36.810 --> 19:37.590]  Oh, my God!
[19:39.090 --> 19:40.410]  Everything's on fire!
[19:40.850 --> 19:42.310]  Nick's body's on my car!
[19:42.810 --> 19:43.830]  Nick, it's gonna respawn.
[19:44.970 --> 19:47.090]  Rat's on fire! Nick, get it!
[19:49.370 --> 19:49.970]  I'm here, baby.
[19:51.670 --> 19:53.370]  Oh, my God, I'm so far away.
[19:53.710 --> 19:54.630]  Oh, no!
[19:54.630 --> 19:56.630]  The neutral observer's down!
[19:57.030 --> 19:57.990]  The neutral observer's down!
[19:59.970 --> 20:01.050]  Keep going, Nick, go!
[20:01.830 --> 20:02.850]  Go, Nick, go!
[20:05.290 --> 20:06.210]  Nick, wrong way!
[20:07.030 --> 20:07.970]  Oh, my God, you're right.
[20:08.090 --> 20:08.810]  I need a vehicle.
[20:10.090 --> 20:11.590]  Oh, there we go.
[20:12.290 --> 20:13.130]  Here they come!
[20:14.130 --> 20:16.550]  My asshole's so far inside me right now.
[20:18.210 --> 20:19.030]  Here they come!
[20:19.110 --> 20:20.750]  My asshole's the opposite of a prolapse.
[20:22.210 --> 20:23.030]  No, get out of here!
[20:24.030 --> 20:24.350]  Yeah.
[20:25.710 --> 20:27.430]  I like having a prelapsed ass.
[20:29.670 --> 20:31.430]  I can't even find... there you go.
[20:32.210 --> 20:33.090]  Ah, you son of a bitch!
[20:34.410 --> 20:35.730]  I heard him, I heard him real bad.
[20:35.810 --> 20:36.590]  Fuck him up, fuck him up!
[20:38.310 --> 20:39.010]  Kill the rat!
[20:39.390 --> 20:41.150]  No need, baby! Go, rat, go!
[20:42.370 --> 20:43.070]  Fuck off, Gavin!
[20:45.090 --> 20:46.290]  How have I stuck?
[20:47.030 --> 20:48.670]  All right, all right, all right, I got him, I got him, he's dead.
[20:48.950 --> 20:49.450]  God damn it.
[20:49.450 --> 20:50.630]  All right, hop on that thing.
[20:51.310 --> 20:53.850]  Sorry, I'm only here to document.
[20:56.030 --> 20:59.170]  Oh, Nick got me, Nick got me, Nick got me, Nick got me, Nick got me.
[21:05.730 --> 21:08.990]  This is good, this is good, doing good, doing good.
[21:09.010 --> 21:10.530]  This is good, doing good.
[21:10.550 --> 21:12.630]  Team Prelapse is racking up the points.
[21:12.630 --> 21:14.110]  Wait, how did he just go through the fence?
[21:14.170 --> 21:15.070]  Oh, my God.
[21:15.630 --> 21:16.570]  I went through the hole in the fence.
[21:16.570 --> 21:19.210]  There was no hole, I just watched you go through a fence.
[21:22.070 --> 21:23.970]  Oh, the back of my face.
[21:24.070 --> 21:25.690]  Oh, the server team didn't work for me.
[21:26.150 --> 21:26.610]  I'm dead.
[21:28.290 --> 21:28.630]  Neutral.
[21:29.330 --> 21:30.430]  Just keeping it neutral.
[21:32.110 --> 21:33.790]  Keeping it nice and neutral.
[21:34.550 --> 21:35.350]  Andrew's neutralizing it.
[21:35.390 --> 21:36.310]  You got it, you got it, you got it, go, go, go.
[21:36.450 --> 21:39.210]  Yeah, yeah, yeah, yeah, yeah, yeah, Gavin, nice job.
[21:40.190 --> 21:40.990]  He stopped me.
[21:41.290 --> 21:41.670]  Oh, Geoff's coming.
[21:42.870 --> 21:43.730]  I'm coming, I'm coming.
[21:44.450 --> 21:46.310]  I'm just filming what's happening.
[21:46.830 --> 21:48.290]  Oh, my God.
[21:52.650 --> 21:54.810]  Oh, there's a fight going.
[21:56.150 --> 21:56.990]  Die, Nick.
[21:57.090 --> 21:58.390]  No, that's bullshit, I hit you.
[21:58.390 --> 22:01.610]  You tried to hit me, but you got noodle arms.
[22:03.470 --> 22:04.150]  Noodle arm Nick,
[22:04.250 --> 22:05.530]  chasing him down the street.
[22:06.570 --> 22:08.530]  Serpentine, serpentine, serpentine, serpentine.
[22:08.570 --> 22:10.270]  You'll never catch me now.
[22:10.630 --> 22:12.830]  Serpentine, serpentine, serpentine.
[22:13.510 --> 22:15.850]  Wait, are you on the bike?
[22:16.870 --> 22:18.270]  Where's he gonna go?
[22:18.350 --> 22:19.030]  What's going on?
[22:19.790 --> 22:21.230]  He's on it, he's on it.
[22:21.350 --> 22:22.790]  I'm on it.
[22:23.410 --> 22:24.230]  You're on a different one.
[22:24.570 --> 22:25.770]  You're on the wrong one.
[22:27.130 --> 22:29.950]  It has the thing over it.
[22:30.790 --> 22:32.070]  You're the fake Fudge.
[22:32.230 --> 22:33.630]  No, I just, I have it.
[22:34.030 --> 22:36.230]  Andrew, you absurd piece of shit.
[22:36.390 --> 22:38.010]  The game is fucked up, did you see that?
[22:38.110 --> 22:39.450]  I did not get off my thing.
[22:40.650 --> 22:42.170]  So if I get on this, is this the one?
[22:42.170 --> 22:43.290]  I think so.
[22:43.750 --> 22:44.690]  Mine's earning.
[22:46.050 --> 22:47.110]  I don't understand.
[22:48.530 --> 22:50.170]  They're scoring twice somehow.
[22:51.170 --> 22:52.830]  Eric's got a counterfeit Fudge.
[22:52.830 --> 22:54.270]  I did and it worked.
[22:56.490 --> 22:57.470]  That's bullshit.
