[00:00.000 --> 00:01.720]  Traders last night, wow.
[02:25.460 --> 02:26.420]  Why didn't you put the gate first?
[02:26.980 --> 02:27.460]  Well, because...
[02:27.460 --> 02:27.660]  There you go.
[02:27.740 --> 02:28.620]  This is how we do it.
[02:28.940 --> 02:30.000]  You're not doing it the right...
[02:30.000 --> 02:30.540]  No, we...
[02:31.080 --> 02:32.500]  Okay, we need to...
[02:33.560 --> 02:34.400]  This is a trap.
[02:34.680 --> 02:36.340]  Nick, I need you to move that block out of the way, please.
[02:36.480 --> 02:37.660]  I'll do it, because I'm one block.
[02:37.660 --> 02:38.520]  Okay, Gavin, you get it.
[02:38.520 --> 02:39.220]  Yeah, he's one block.
[02:39.260 --> 02:40.200]  It'll be easier for him to do it.
[02:40.340 --> 02:40.680]  Good luck.
[02:40.880 --> 02:43.180]  I just need you to be really committed to staying over there.
[02:43.600 --> 02:45.060]  Hey, Geoff, you're doing great.
[02:45.720 --> 02:46.400]  All right, now put it down.
[02:46.420 --> 02:47.000]  Thank you, Gavin.
[02:47.020 --> 02:47.600]  And now...
[02:49.500 --> 02:50.320]  We're gonna need that.
[02:50.320 --> 02:51.520]  There's no way we don't need it.
[02:51.720 --> 02:52.640]  You want to do the...
[02:55.220 --> 02:56.080]  Do the other one now?
[02:56.080 --> 02:56.760]  You still didn't take the thing to melt the snow.
[02:56.760 --> 02:58.520]  I don't know why you didn't take this fucking block.
[02:58.520 --> 03:00.660]  Why didn't you take the block to melt the snow?
[03:01.460 --> 03:01.780]  There!
[03:02.180 --> 03:04.160]  Yeah, we didn't need to put that on the button.
[03:04.160 --> 03:05.880]  He also didn't need to leave it!
[03:06.060 --> 03:06.960]  Good, Geoff, we're stuck.
[03:07.080 --> 03:08.920]  I was just gonna put it in the gate so you bugs could get through.
[03:08.920 --> 03:09.940]  We can't go anywhere, man.
[03:09.940 --> 03:11.580]  We can't really do anything once we get through.
[03:11.640 --> 03:12.620]  Oh, we do need them.
[03:12.660 --> 03:13.000]  I'm sorry.
[03:13.120 --> 03:16.520]  I thought it was a situation where you needed to hold it down.
[03:16.740 --> 03:17.700]  Are you doing a bit?
[03:18.160 --> 03:22.720]  No, I'm just saying it's a way so much for the gifted subs, guys.
[03:22.820 --> 03:24.280]  Today is Andrew's bit.
[03:24.840 --> 03:25.700]  Yeah, this is Andrew's bit.
[03:25.920 --> 03:29.680]  We were playing a different game where there are weighted plates and that's...
[03:29.680 --> 03:30.660]  Okay, what are you guys doing?
[03:30.780 --> 03:32.260]  Christ, you're sorest with the gifted.
[03:32.440 --> 03:33.160]  This has been great.
[03:33.280 --> 03:34.720]  This is a great stream so far.
[03:35.200 --> 03:35.900]  When you're not...
[03:35.900 --> 03:38.100]  When you're only watching this and not playing, it's really different.
[03:38.360 --> 03:38.740]  Excuse me?
[03:38.820 --> 03:39.820]  Why'd you do that to me?
[03:39.840 --> 03:40.600]  Oh my god!
[03:40.780 --> 03:42.240]  Why'd you do that to me?
[03:42.560 --> 03:42.940]  Thank you.
[03:43.140 --> 03:43.400]  Andrew.
[03:43.780 --> 03:45.920]  Why did you do that, you little fucker?
[03:46.000 --> 03:46.380]  Why?
[03:46.380 --> 03:47.840]  I needed to get there.
[03:47.860 --> 03:48.620]  I'm sorry, man.
[03:51.520 --> 03:52.660]  There you go.
[03:52.700 --> 03:53.980]  Just rub against me.
[03:54.220 --> 03:54.940]  Are you doing a bit?
[03:55.720 --> 03:57.140]  No, just push against me.
[03:57.240 --> 03:57.740]  It'll be fine.
[03:58.140 --> 03:59.440]  I need you to like me now.
[03:59.520 --> 04:00.400]  It's so hard to...
[04:00.400 --> 04:00.820]  Get up!
[04:01.080 --> 04:01.560]  Stand up!
[04:01.840 --> 04:03.520]  Stand the fuck back up and help!
[04:03.920 --> 04:04.840]  You've done this.
[04:04.940 --> 04:05.840]  You've made this mess.
[04:05.920 --> 04:06.260]  We're done.
[04:06.320 --> 04:06.800]  You know what?
[04:06.960 --> 04:07.380]  You know what?
[04:07.420 --> 04:08.500]  We're doing this level again.
[04:10.000 --> 04:11.300]  We're gonna do this...
[04:11.300 --> 04:12.440]  Oh, there you go.
[04:12.560 --> 04:13.680]  Suddenly, he can move.
[04:14.000 --> 04:15.140]  Oh, and suddenly...
[04:15.140 --> 04:16.580]  Pop right in, man.
[04:16.880 --> 04:23.100]  Geoff, I think what happened is Andrew heard me and how upset I was.
[04:23.140 --> 04:23.940]  Thank you!
[04:23.960 --> 04:26.780]  Then he decided to take attention away from my stupidity.
[04:27.440 --> 04:28.240]  You're set.
[04:28.740 --> 04:31.500]  The poll is closed.
[04:31.660 --> 04:32.480]  Is Nick doing a bit?
[04:32.600 --> 04:33.900]  66% say yes.
[04:34.060 --> 04:35.600]  So two-thirds believe that Nick is doing a bit.
[04:35.640 --> 04:36.280]  Everybody hit buttons!
[04:37.120 --> 04:37.960]  That's 60...
[04:37.960 --> 04:39.220]  Man, suckers.
[04:40.900 --> 04:41.780]  Geoff's the MVP!
[04:42.960 --> 04:43.960]  Geoff, are you the MVP?
[04:47.380 --> 04:49.000]  I thought he did really good.
[04:49.520 --> 04:52.680]  I have the most valuable patience.
[04:52.860 --> 04:53.390]  That's for sure.
[04:54.180 --> 04:54.950]  That's for sure.
[04:56.440 --> 04:57.360]  Let's sit back down.
[04:57.600 --> 04:58.340]  What color am I?
[04:58.440 --> 04:58.840]  Oh, right.
[05:00.640 --> 05:02.820]  That's not a color, Nick.
[05:03.180 --> 05:04.200]  Changing my vote to yes.
[05:04.580 --> 05:05.880]  Coming from the name button guy.
[05:08.000 --> 05:08.980]  You know what?
[05:09.040 --> 05:09.600]  You got me there.
[05:11.060 --> 05:11.940]  What was that one?
[05:14.580 --> 05:17.980]  Oh, somebody said they're lower in their slider because this feels so forced.
[05:18.100 --> 05:19.220]  I wish this was forced.
[05:22.420 --> 05:22.820]  Okay.
[05:24.240 --> 05:25.220]  Okay, annoying monster.
[05:25.220 --> 05:25.560]  What are we doing?
[05:25.840 --> 05:26.700]  What are our shapes?
[05:27.840 --> 05:28.580]  Your whole line.
[05:28.860 --> 05:30.280]  Skinny Wah, thank you very much.
[05:31.940 --> 05:33.140]  I got big arms.
[05:33.600 --> 05:34.460]  Look at my big arms.
[05:34.860 --> 05:36.160]  Are you drinking coffee right now, Eric?
[05:36.360 --> 05:37.120]  Yeah, absolutely.
[05:37.520 --> 05:38.500]  Ah, that sounds awesome.
[05:38.800 --> 05:39.940]  It's a great cup of coffee.
[05:40.560 --> 05:41.740]  You're a real sipper, aren't you?
[05:41.940 --> 05:42.640]  I am.
[05:43.100 --> 05:44.460]  Let's just see what these buttons do.
[05:44.460 --> 05:45.700]  What, are you a coffee gulper?
[05:47.120 --> 05:50.820]  He drinks small little coffees, so definitely.
[05:51.040 --> 05:52.740]  I guess I'm a sipper and a slipper.
[05:55.040 --> 05:56.040]  Ready to blow?
[05:57.400 --> 05:58.860]  Do I need to get down on that button?
[05:59.620 --> 06:01.500]  I think you might need to.
[06:01.760 --> 06:02.120]  Not there.
[06:04.080 --> 06:05.220]  Oh, it shoots.
[06:06.080 --> 06:07.060]  What? Oh, I'm sorry.
[06:07.120 --> 06:07.680]  Let me get out of the way.
[06:08.720 --> 06:10.260]  What would I need to shoot, though?
[06:11.540 --> 06:12.840]  The bridge up there, maybe?
[06:14.260 --> 06:14.500]  Yeah, maybe.
[06:14.520 --> 06:17.520]  I mean, not bridge. I'm the fence.
[06:18.560 --> 06:22.260]  How do you, like, rotate? Do you have to run into stuff to rotate?
[06:22.680 --> 06:22.880]  Yeah.
[06:25.760 --> 06:26.780]  Oh, that's difficult.
[06:27.180 --> 06:28.720]  If you could just turn, this game would be great.
[06:28.720 --> 06:29.600]  It is for Nick.
[06:30.240 --> 06:31.860]  There we go. Gavin got it.
[06:32.020 --> 06:32.660]  Gavin got it.
[06:32.880 --> 06:34.680]  Now we just need Geoff to get it.
[06:34.960 --> 06:36.840]  Yeah. Okay, so I just gotta turn around.
[06:37.440 --> 06:38.000]  Yeah, there you go.
[06:39.520 --> 06:40.240]  It's probably...
[06:40.240 --> 06:41.840]  The de-wangle myself.
[06:48.620 --> 06:50.480]  Tyler Oaks, thank you so much.
[06:50.560 --> 06:51.540]  I can't go forward.
[06:52.320 --> 06:53.180]  God damn it.
[06:53.500 --> 06:54.040]  There we go.
[06:54.980 --> 06:55.860]  Is Geoff doing a bit?
[06:56.420 --> 06:57.320]  Geoff, you got this.
[07:00.560 --> 07:04.460]  There's an invisible wall at the wall that you can't go past.
[07:05.040 --> 07:06.140]  And then... okay, there we go.
[07:06.620 --> 07:07.100]  No?
[07:08.680 --> 07:09.640]  It's like...
[07:09.640 --> 07:11.140]  You're parking a car in Europe.
[07:13.120 --> 07:13.880]  I'm not parking.
[07:14.120 --> 07:15.020]  I want to die.
[07:15.080 --> 07:17.640]  I want to walk off the edge and get reset and it won't let me.
[07:17.740 --> 07:18.380]  Turn a little bit.
[07:19.520 --> 07:22.440]  Resetting would just tilt you like three degrees back the other way.
[07:22.560 --> 07:22.680]  Yeah.
[07:22.720 --> 07:25.620]  I know and I could go forward those three degrees if I could do that.
[07:26.300 --> 07:26.840]  I can't get forward.
[07:26.840 --> 07:27.580]  Where are you trying to go?
[07:27.940 --> 07:30.000]  I'm trying to go forward so that I can spin.
[07:30.100 --> 07:30.880]  He's gotta hit the button.
[07:35.180 --> 07:35.800]  There we go.
[07:36.220 --> 07:40.660]  T-Sensha, 20 gifted subs watching Geoff park a car in Europe.
[07:40.760 --> 07:42.260]  Thank you so much, T-Sensha.
[07:42.260 --> 07:43.900]  I love you, 52.
[07:44.140 --> 07:45.140]  Oh my god.
[07:45.660 --> 07:48.380]  How many subs can we get before Geoff turns to the side?
[07:48.740 --> 07:49.660]  How did you spin?
[07:50.280 --> 07:54.800]  I just rubbed myself on one of those two blocks and just smeared myself around.
[07:54.820 --> 07:57.060]  You got two minutes, 45 seconds left.
[07:57.900 --> 07:58.600]  Plenty of time.
[07:59.080 --> 08:00.000]  Will he do it?
[08:00.220 --> 08:01.260]  Smear yourself around.
[08:01.960 --> 08:03.680]  No, no, don't go back on the big platform.
[08:03.800 --> 08:04.820]  Just do it from the little path.
[08:04.960 --> 08:05.520]  There you go.
[08:05.820 --> 08:06.600]  Yeah, just keep doing that.
[08:06.600 --> 08:07.840]  And now back it up.
[08:08.560 --> 08:08.940]  No, no, no.
[08:09.100 --> 08:09.540]  Back it up.
[08:09.560 --> 08:10.240]  Now go all the way left.
[08:10.340 --> 08:11.300]  No, no, no, no, no, no.
[08:13.060 --> 08:14.740]  No, not on that platform, on the path.
[08:15.940 --> 08:16.380]  All right.
[08:16.460 --> 08:17.200]  New pole open.
[08:17.400 --> 08:18.440]  Is Geoff doing a bit?
[08:18.700 --> 08:19.240]  Forward to the right.
[08:19.340 --> 08:19.960]  Yeah, great.
[08:20.140 --> 08:20.660]  Back it up.
[08:20.860 --> 08:22.500]  Yeah, yeah, yeah, yeah.
[08:23.260 --> 08:24.900]  Norris Rider, thank you for the gifted.
[08:25.080 --> 08:26.560]  Guys, so many subs coming in.
[08:26.800 --> 08:27.360]  Way to go, man.
[08:27.800 --> 08:28.120]  Done.
[08:28.300 --> 08:28.840]  Oh, sweet.
[08:28.940 --> 08:30.400]  Now you have to turn back the other way.
[08:30.500 --> 08:30.860]  Yeah, we do.
[08:31.500 --> 08:32.400]  Wait, wait, wait, wait, wait.
[08:32.440 --> 08:33.440]  You have to get those coins, no?
[08:34.240 --> 08:35.080]  Oh yeah, get the coins.
[08:35.240 --> 08:35.820]  How do we get them?
[08:37.640 --> 08:38.540]  Walk into them?
[08:38.660 --> 08:38.980]  Oh, okay.
[08:39.080 --> 08:39.600]  Yeah, sweet.
[08:43.180 --> 08:44.540]  Asylum pilot and gifted.
[08:44.700 --> 08:45.400]  This is crazy.
[08:46.760 --> 08:48.840]  Can't these guys come down here and help you turn?
[08:48.940 --> 08:49.860]  Oh no, they won't fit.
[08:52.560 --> 08:54.620]  Well, I don't think we can turn now.
[08:56.120 --> 08:56.960]  I don't know why.
[08:57.140 --> 08:58.140]  Oh, wait, wait, wait, wait, Geoff.
[08:58.280 --> 09:01.840]  Geoff, what if you go to the, like, go all the way left at the top?
[09:02.260 --> 09:03.020]  Oh no, I'm sorry.
[09:03.060 --> 09:03.700]  That's the wrong height.
[09:03.800 --> 09:04.280]  I apologize.
[09:05.140 --> 09:06.140]  I was, uh.
[09:08.040 --> 09:08.400]  Yeah.
[09:09.800 --> 09:11.340]  Hey, Andrew, if you shoot them.
[09:11.340 --> 09:12.340]  Does it turn them?
[09:12.560 --> 09:12.800]  Oh, yeah.
[09:12.940 --> 09:13.700]  It's a good question.
[09:13.700 --> 09:17.460]  Wait, you guys have, like, a whole mechanic over there and we're busy with our thumbs up.
[09:17.460 --> 09:18.800]  Well, Andrew has a mechanic.
[09:18.980 --> 09:20.240]  I'm just twisting the mechanic.
[09:20.260 --> 09:21.680]  Well, there's a whole gate thing.
[09:22.340 --> 09:22.480]  Ow.
[09:22.660 --> 09:22.860]  Yeah.
[09:22.980 --> 09:23.520]  Oh, okay.
[09:23.580 --> 09:25.020]  Let me, uh, let me open this thing.
[09:26.260 --> 09:26.780]  There you go.
[09:26.880 --> 09:27.000]  Ready?
[09:27.500 --> 09:28.060]  Give it a shot.
[09:28.260 --> 09:28.580]  All right.
[09:30.640 --> 09:32.180]  But that's not gonna turn him, is it?
[09:32.260 --> 09:32.880]  Oh, it worked.
[09:33.320 --> 09:33.400]  Okay.
[09:33.760 --> 09:37.080]  So you could have been doing that always.
[09:37.580 --> 09:37.740]  Yeah.
[09:37.960 --> 09:40.160]  You just thought I was there for a long, but we didn't need it.
[09:41.340 --> 09:42.300]  Here, hit me again.
[09:42.540 --> 09:43.400]  Yeah, he needs more health.
[09:44.360 --> 09:46.680]  We had to jam break level to turn around the first time.
[09:46.980 --> 09:47.120]  Yep.
[09:47.940 --> 09:49.120]  Now I don't feel as bad.
[09:49.660 --> 09:51.600]  I was clearly trying to do something super hard.
[09:52.320 --> 09:52.820]  Thank you.
[09:52.960 --> 09:53.360]  There you go.
[09:53.840 --> 09:55.000]  All right, let's get the other one.
[09:57.860 --> 09:58.220]  Okay.
[09:59.040 --> 10:00.440]  Wait, you guys have a mechanic?
[10:00.740 --> 10:01.000]  Yeah.
[10:02.120 --> 10:02.480]  Great.
[10:03.100 --> 10:05.600]  I did hear you say that you had the thing to shoot.
[10:05.680 --> 10:07.860]  I just assumed you'd already used it and done with it.
[10:07.860 --> 10:12.320]  I thought you had to open the gate above for me to go find somewhere to use it.
[10:12.500 --> 10:13.660]  Okay, we got to spin this.
[10:14.100 --> 10:14.540]  Well, you can.
[10:14.640 --> 10:16.860]  You can go and shoot me through the top bit if you want.
[10:17.020 --> 10:17.800]  Just do something.
[10:19.240 --> 10:19.560]  Dancing.
[10:25.080 --> 10:26.080]  What's Geoff doing in here?
[10:26.080 --> 10:27.700]  Geoff casually walking in here.
[10:27.740 --> 10:29.560]  What is Geoff doing in here?
[10:30.140 --> 10:31.180]  He has to be in his bag.
[10:31.300 --> 10:32.300]  I'm not allowed to be in here.
[10:32.380 --> 10:33.360]  This is where the level ends.
[10:33.920 --> 10:34.340]  I see.
[10:34.460 --> 10:35.840]  How the hell am I gonna get out of here, Geoff?
[10:35.840 --> 10:36.040]  There you go.
[10:36.060 --> 10:36.760]  Could you go to the other side?
[10:37.320 --> 10:37.840]  Oh, no.
[10:37.920 --> 10:38.900]  Am I in your way, Nick?
[10:39.300 --> 10:41.780]  Somehow did I stop you from going where you need to go?
[10:42.060 --> 10:43.760]  Oh, I would hate to do that.
[10:43.780 --> 10:44.620]  Oh, no.
[10:44.620 --> 10:45.800]  Geoff, Geoff, I'm not Andrew.
[10:46.080 --> 10:46.600]  I know.
[10:47.660 --> 10:48.080]  One sec.
[10:48.640 --> 10:49.740]  Andrew, today would be wicked.
[10:50.360 --> 10:52.540]  Yeah, I'm Justin, I'm Justin, I'm Justin.
[10:52.680 --> 10:52.840]  Nope.
[10:52.840 --> 10:53.100]  What are you?
[11:00.780 --> 11:01.680]  Okay, now what?
[11:02.800 --> 11:03.360]  Wrong way.
[11:04.320 --> 11:05.480]  He's got it, he's got it, he's got it.
[11:05.500 --> 11:06.120]  Just give him a second.
[11:06.360 --> 11:06.760]  He's got it.
[11:06.800 --> 11:07.200]  There he is.
[11:07.480 --> 11:09.060]  Absolutely wild way to aim that.
[11:09.460 --> 11:09.840]  There we go.
[11:11.400 --> 11:11.800]  Okay.
[11:12.100 --> 11:12.400]  There you go.
[11:12.400 --> 11:12.680]  Perfect.
[11:13.280 --> 11:14.920]  Too far, I think.
[11:14.960 --> 11:15.620]  Do you want another shot?
[11:16.240 --> 11:16.780]  Yeah, yeah.
[11:17.060 --> 11:17.540]  Hit me again.
[11:17.920 --> 11:18.080]  Okay.
[11:18.120 --> 11:18.500]  Fire.
[11:19.200 --> 11:19.540]  Thank you.
[11:19.540 --> 11:19.780]  Got it.
[11:20.740 --> 11:21.140]  Nice.
[11:21.300 --> 11:21.780]  Love that.
[11:23.100 --> 11:24.100]  Now come on in.
[11:25.760 --> 11:27.140]  So we're gonna need that guy.
[11:27.440 --> 11:27.640]  What?
[11:27.700 --> 11:27.820]  Yep.
[11:28.280 --> 11:28.740]  Putting him down.
[11:30.800 --> 11:31.500]  What happened?
[11:31.620 --> 11:32.600]  You got, you got bumped around.
[11:33.120 --> 11:34.580]  Yeah, I got, I got straight up.
[11:35.240 --> 11:35.920]  There we go.
[11:37.880 --> 11:40.060]  I guess I can twat this fence to come around.
[11:41.020 --> 11:41.980]  Fence twat.
[11:43.000 --> 11:43.840]  Fence twat.
[11:43.860 --> 11:46.100]  I'll go ahead and twat myself this way.
[11:46.140 --> 11:46.480]  There we go.
[11:48.920 --> 11:49.440]  Gavin.
[11:51.980 --> 11:52.380]  Gavin.
[11:52.500 --> 11:53.380]  Wait, why would you?
[11:55.680 --> 11:56.980]  What a dick.
[11:57.480 --> 12:01.700]  I work, I started a company with some of the worst people.
[12:02.280 --> 12:05.220]  Yeah, but here's your chance to get into a different one, right?
[12:06.640 --> 12:11.520]  No, I already did that company with those, with those other bad people.
[12:11.560 --> 12:12.580]  I was trying to escape.
[12:13.020 --> 12:15.880]  I was like out of the shit pan into the shit fryer.
[12:20.220 --> 12:21.720]  Definitely MVP once again.
[12:22.260 --> 12:27.400]  Yeah, because I'm the only one who's not trolling everybody else on the fucking floor, Gavin.
[12:27.420 --> 12:28.420]  No, I didn't do anything.
[12:29.880 --> 12:30.740]  My environment is a mild troll.
[12:30.760 --> 12:31.620]  You're ineptitude does everything, Nick.
[12:32.920 --> 12:35.500]  I got enough coins to do the gacha machines.
[12:35.600 --> 12:36.080]  Let's do that.
[12:36.280 --> 12:37.420]  How do we get a new level again?
[12:37.500 --> 12:38.800]  What are we, what are we trying to collect?
[12:39.640 --> 12:41.480]  We unlocked the ice stuff last time, didn't we?
[12:41.740 --> 12:44.300]  Yeah, I voted for, that was a new version as well.
[12:45.040 --> 12:46.540]  You can go to the map and pick.
[12:47.200 --> 12:48.040]  Oh, I got a guitar.
[12:48.920 --> 12:49.580]  That's fun for you.
[12:49.640 --> 12:50.040]  I got a microphone.
[12:50.600 --> 12:51.760]  Oh my god, you guys are in a little band.
[12:52.800 --> 12:54.000]  I got a new title podcast.
[12:54.100 --> 12:55.280]  I'm gonna put it on right now.
[12:56.580 --> 12:57.880]  Oh, it's the stamp card.
[13:00.040 --> 13:04.980]  Geoff, if it helps, 75% of people said that you are not doing a bit.
[13:06.620 --> 13:08.420]  Great. I don't know what that bit would be.
[13:09.420 --> 13:11.040]  Annoying? Annoyed? That's my bit.
[13:12.400 --> 13:13.840]  All right, I have a new title now.
[13:14.760 --> 13:15.300]  Hell yeah.
[13:15.480 --> 13:15.900]  I'm ready to go.
[13:16.020 --> 13:16.560]  Way to go, man.
[13:17.020 --> 13:17.980]  You're playing it with your head.
[13:18.420 --> 13:19.120]  Yeah, I don't know.
[13:19.320 --> 13:21.480]  That doesn't seem like the right hand to do it, but you know, it's good.
[13:21.940 --> 13:22.860]  Let's run again, hold A.
[13:23.180 --> 13:23.800]  That's all I have.
[13:25.840 --> 13:26.680]  Hold A, yes.
[13:29.000 --> 13:30.680]  All right, where are we going, boys?
[13:30.820 --> 13:31.300]  Where are we dropping?
[13:31.640 --> 13:32.620]  Oh, this is a basic one.
[13:32.940 --> 13:33.760]  This is an easy one.
[13:34.560 --> 13:35.700]  Basic easy peas.
[13:35.860 --> 13:37.280]  How do we only do the ones we haven't done?
[13:37.640 --> 13:40.940]  Go to the map and pick a specific island.
[13:42.000 --> 13:42.360]  All right.
[13:44.600 --> 13:45.500]  There you have it.
[13:47.400 --> 13:50.520]  Well, at least this should be relatively quick and painless.
[13:50.820 --> 13:51.680]  It should be very quick.
[13:52.940 --> 13:54.280]  I like famous last words.
[13:54.360 --> 13:54.660]  That's cool.
[13:54.940 --> 13:56.000]  Yeah, I also like that.
[13:56.200 --> 13:56.940]  I'm gonna get the coin.
[13:57.400 --> 13:58.180]  I'm getting the coins.
[14:00.160 --> 14:00.560]  Okay.
[14:04.760 --> 14:05.560]  All right.
[14:06.200 --> 14:06.840]  Excuse me.
[14:06.940 --> 14:07.200]  Pardon me.
[14:07.280 --> 14:07.740]  Excuse me.
[14:10.000 --> 14:11.740]  So everyone has to grab like their little...
[14:12.660 --> 14:13.380]  Yeah, we need it.
[14:13.500 --> 14:15.220]  We need it to fill in the...
[14:15.220 --> 14:15.720]  Got it.
[14:17.400 --> 14:19.580]  I guess the question is, where do we place them?
[14:20.600 --> 14:21.600]  Uh, where they're marked.
[14:21.680 --> 14:22.920]  Oh, just on the additional part.
[14:23.040 --> 14:23.220]  Okay.
[14:25.080 --> 14:25.920]  Oh, I see.
[14:25.920 --> 14:27.660]  How do you connect to it again?
[14:28.680 --> 14:30.520]  Spin and connect to a corner to it.
[14:33.220 --> 14:34.360]  Not your corner.
[14:34.500 --> 14:35.560]  It has to be, I think, one or the other.
[14:35.660 --> 14:36.100]  I hit the...
[14:36.100 --> 14:36.440]  Yeah, here.
[14:36.480 --> 14:37.360]  Come spin against me.
[14:45.260 --> 14:46.540]  I spun too much.
[14:46.860 --> 14:47.340]  Yeah, yeah.
[14:47.460 --> 14:48.120]  You got it right there.
[14:48.380 --> 14:48.760]  There you go.
[14:50.680 --> 14:51.380]  Second sec.
[14:51.980 --> 14:52.340]  Down!
[14:52.440 --> 14:52.700]  Connect!
[14:53.440 --> 14:53.840]  Connect!
[14:54.360 --> 14:55.380]  Why doesn't it connect?
[14:55.380 --> 14:55.700]  Connect!
[14:56.840 --> 14:57.560]  There, there.
[14:57.860 --> 14:58.100]  Connect!
[14:59.120 --> 15:00.580]  Why would you go there, Yellow?
[15:02.000 --> 15:03.080]  Uh, where would you like me to be?
[15:05.400 --> 15:06.120]  Anywhere, but...
[15:06.620 --> 15:07.560]  This isn't right.
[15:07.940 --> 15:09.240]  You're not in the right spot, Gavin.
[15:09.460 --> 15:10.560]  We got just about...
[15:10.560 --> 15:11.960]  We got about four minutes left.
[15:12.060 --> 15:12.860]  We're doing good.
[15:17.220 --> 15:18.200]  There we go.
[15:18.320 --> 15:19.060]  There you go, buddy.
[15:19.280 --> 15:19.860]  I got it.
[15:20.080 --> 15:21.100]  I got it.
