[00:01.280 --> 00:02.060]  You all right, Gavin?
[01:58.420 --> 01:59.080]  Oh, yeah. Thank you so much.
[01:59.080 --> 02:01.000]  The gingles, the whip, and the gang.
[02:01.420 --> 02:03.060]  Everyone's here dropping subs in.
[02:03.740 --> 02:04.520]  This rocks.
[02:04.600 --> 02:05.260]  This is really awesome.
[02:05.440 --> 02:07.960]  Dropping subs while Nick Manning drops loads.
[02:09.120 --> 02:13.500]  And we have a bet open from the mods right now.
[02:15.060 --> 02:15.500]  Ridiculous.
[02:16.720 --> 02:18.460]  Who will get the first star?
[02:18.780 --> 02:20.860]  Andrew, Nick, Gavin, Geoff.
[02:21.800 --> 02:23.140]  Who do you guys think is...
[02:23.140 --> 02:24.780]  Who do you guys think is in the lead?
[02:24.780 --> 02:27.940]  Fucking subs all over the chat.
[02:29.020 --> 02:31.340]  It's actually pretty tied up, but Gavin...
[02:31.780 --> 02:33.900]  Everyone's saying that Gavin's gonna get the first star.
[02:34.020 --> 02:34.780]  Oh, that's some pressure.
[02:35.020 --> 02:35.460]  Oh, that's nice.
[02:35.800 --> 02:36.020]  30%?
[02:36.200 --> 02:37.480]  Oh, Andrew took the lead.
[02:38.000 --> 02:38.280]  Uh-oh.
[02:38.420 --> 02:38.980]  That's right.
[02:40.340 --> 02:41.520]  Yeah, they think it's on Dil then.
[02:41.640 --> 02:41.760]  Okay.
[02:42.520 --> 02:43.140]  What is that?
[02:43.380 --> 02:45.480]  A giant vault where he keeps the items he steals.
[02:46.480 --> 02:47.280]  Oh, bro.
[02:47.680 --> 02:48.900]  You can find the passcode?
[02:50.260 --> 02:51.360]  Oh, is this blueprints?
[02:54.480 --> 02:55.580]  Don't say that, Nick's gonna lose.
[02:55.740 --> 02:56.640]  Or, never mind.
[02:57.200 --> 02:57.900]  Here we go!
[02:58.240 --> 02:59.320]  I heard that recently.
[02:59.660 --> 03:00.300]  Oh, shit!
[03:01.920 --> 03:02.720]  Come on!
[03:03.080 --> 03:03.260]  Oh, balls!
[03:03.280 --> 03:03.620]  Wow.
[03:04.160 --> 03:04.740]  Oh, piss balls.
[03:04.880 --> 03:06.580]  World's already against Dil!
[03:09.140 --> 03:10.420]  Universe versus Dilkong.
[03:10.580 --> 03:10.980]  Dilkong!
[03:11.700 --> 03:12.540]  Well, look at those subs.
[03:12.660 --> 03:13.280]  Thank you so much.
[03:13.480 --> 03:14.120]  Oh my god.
[03:14.220 --> 03:15.120]  Thanks for dropping subs.
[03:16.160 --> 03:19.820]  Do you think you'll say dropping subs every time some subs drop?
[03:19.900 --> 03:20.140]  Ugh.
[03:20.340 --> 03:20.420]  All right.
[03:21.900 --> 03:22.620]  Dropping subs.
[03:22.760 --> 03:23.380]  Dropping subs.
[03:23.580 --> 03:24.220]  Where's that star?
[03:24.600 --> 03:24.860]  Okay.
[03:25.100 --> 03:26.080]  Oh my god.
[03:26.080 --> 03:26.480]  Come on.
[03:27.260 --> 03:27.980]  Jesus Christ.
[03:28.180 --> 03:29.260]  I'm just saying Howard Stern quit.
[03:29.380 --> 03:29.620]  Okay.
[03:30.060 --> 03:30.640]  Like, yeah.
[03:31.840 --> 03:33.060]  All right, still 20 bucks.
[03:35.820 --> 03:36.880]  Man, it's hot in here, isn't it?
[03:36.960 --> 03:37.800]  It's so hot.
[03:38.020 --> 03:39.320]  Do you want me to turn the AC down a bunch?
[03:39.420 --> 03:40.240]  Yeah, please.
[03:40.340 --> 03:40.600]  Yeah.
[03:41.200 --> 03:43.360]  We've never had all the lights on us in a room together.
[03:43.360 --> 03:45.800]  I knew it was gonna be like this, but oof, oof.
[03:45.940 --> 03:46.860]  One of the...
[03:46.860 --> 03:49.860]  Don't worry, it's only gonna be 100 billion degrees for the next five months.
[03:49.860 --> 03:50.080]  Yep.
[03:51.460 --> 03:52.380]  All right, Geoff.
[03:53.220 --> 03:55.140]  All right, let's go ahead and, uh, badonk.
[03:55.280 --> 03:56.260]  What a start!
[03:56.500 --> 03:56.860]  Nine.
[03:57.540 --> 03:57.900]  Wow.
[03:58.440 --> 04:00.000]  You can explore the map for us now.
[04:00.380 --> 04:01.300]  Santa, thanks for the subs.
[04:01.480 --> 04:01.940]  Thank you.
[04:04.120 --> 04:05.160]  What are you getting? What are you buying?
[04:06.040 --> 04:06.400]  Ooh.
[04:07.480 --> 04:08.380]  Just looking at your mic.
[04:08.560 --> 04:09.140]  Oh, how's it looking?
[04:09.300 --> 04:09.780]  Looks good.
[04:14.700 --> 04:16.060]  All right, turned it way down.
[04:16.440 --> 04:16.880]  Thank you.
[04:17.040 --> 04:17.260]  Yeah.
[04:17.700 --> 04:18.320]  Should be good now.
[04:19.740 --> 04:21.220]  More gifted subs, my god.
[04:21.520 --> 04:22.140]  This is crazy.
[04:22.440 --> 04:23.140]  Guys, what an anniversary.
[04:23.480 --> 04:23.880]  What a party.
[04:24.420 --> 04:25.160]  This has been great.
[04:25.500 --> 04:26.260]  What did you set it to?
[04:26.800 --> 04:27.120]  68.
[04:27.240 --> 04:28.760]  I was gonna do 69, but...
[04:29.240 --> 04:30.640]  I didn't want anyone to get any ideas.
[04:31.080 --> 04:31.820]  I mean...
[04:33.660 --> 04:36.320]  Now it's nine to go this way, but if I go this way...
[04:37.920 --> 04:39.400]  What are the odds someone beats you to it?
[04:41.440 --> 04:41.760]  Oh!
[04:42.300 --> 04:42.920]  Uh-oh.
[04:42.940 --> 04:44.500]  Is this good?
[04:44.580 --> 04:45.460]  Do you like this?
[04:45.600 --> 04:46.780]  What if he just smashes you into...
[04:46.780 --> 04:47.520]  Oh my god!
[04:47.520 --> 04:48.060]  Oh!
[04:49.420 --> 04:50.500]  Oh, it's spinning.
[04:50.520 --> 04:50.980]  What does that mean?
[04:52.060 --> 04:53.140]  So where do we go now?
[04:53.180 --> 04:55.720]  Why did Bowser put himself in a cage?
[04:56.200 --> 04:56.860]  So no matter...
[04:56.860 --> 04:58.320]  It's gonna be way longer now.
[04:58.780 --> 04:58.800]  Yeah.
[04:59.080 --> 04:59.740]  Oh, no.
[05:00.740 --> 05:01.060]  Yeah.
[05:01.460 --> 05:02.060]  You saw that too?
[05:04.620 --> 05:06.160]  Oh, you also pay attention?
[05:06.940 --> 05:07.740]  Another nine?
[05:08.080 --> 05:08.320]  Nice.
[05:08.400 --> 05:09.380]  Now which way will I go?
[05:12.040 --> 05:14.780]  Now, if you want to copy me, I bought a mushroom.
[05:15.000 --> 05:16.940]  Oh, you bought a mushroom?
[05:16.940 --> 05:18.980]  Oh, you can buy a direction change? Is that what that is?
[05:19.540 --> 05:20.100]  Yeah, for two.
[05:20.300 --> 05:20.620]  Oh!
[05:21.400 --> 05:22.400]  That might come in handy later on.
[05:22.400 --> 05:24.060]  You know what? I like your style.
[05:24.260 --> 05:24.560]  Thanks.
[05:26.840 --> 05:27.840]  Let's see where we go.
[05:29.100 --> 05:30.100]  I think it's a real copy guy.
[05:30.360 --> 05:30.820]  Yeah, that's why.
[05:31.480 --> 05:32.860]  That's the thing you know most about him.
[05:32.880 --> 05:33.680]  Didn't think about it as much.
[05:33.680 --> 05:35.600]  I copy people's food orders, though.
[05:35.780 --> 05:36.840]  That can't... yeah, you do.
[05:36.880 --> 05:38.180]  Wow, that is significantly longer.
[05:38.280 --> 05:39.100]  Now you gotta go the other way.
[05:39.320 --> 05:39.640]  Yeah.
[05:43.080 --> 05:45.760]  Oh, it's a little Mecha Cooper. A little Mechanic.
[05:50.040 --> 05:51.960]  Let's see if you can keep up the nine streak.
[05:52.680 --> 05:53.900]  Nobody's favorite warrior.
[05:53.980 --> 05:54.980]  Oh, Andrew, you want nine?
[05:55.120 --> 05:55.900]  I want nine!
[05:56.260 --> 05:58.000]  Let me charge this bad boy up.
[05:58.680 --> 05:59.660]  How do you charge it?
[05:59.920 --> 06:00.220]  Hold it.
[06:00.260 --> 06:00.580]  Just hold down.
[06:01.180 --> 06:01.580]  Nine!
[06:02.120 --> 06:02.560]  Three!
[06:03.240 --> 06:04.200]  Oh, you get an item!
[06:05.300 --> 06:05.720]  Yay!
[06:06.640 --> 06:07.440]  What you gonna buy?
[06:09.960 --> 06:11.940]  I wanna... I wanna buy away.
[06:12.360 --> 06:12.800]  Nice!
[06:13.100 --> 06:13.540]  Yeah!
[06:13.540 --> 06:17.260]  So when everyone's gone to the right, I'll just go left?
[06:18.940 --> 06:20.980]  And not by the star, because I can't afford it.
[06:29.120 --> 06:31.920]  I thought you got a bonus for a second. I was about to be so mad.
[06:33.480 --> 06:36.020]  Hey, Eric, were people surprised by the office?
[06:36.260 --> 06:40.260]  Yes, yeah, everyone's really excited. And then also, Beater Juice is in here saying,
[06:40.260 --> 06:42.120]  I'm the Pico Park stats guy.
[06:42.560 --> 06:45.080]  And I'm gonna be doing some stats for this.
[06:45.820 --> 06:46.620]  You're the only one.
[06:46.740 --> 06:47.800]  Thank you, Beater Juice.
[06:47.980 --> 06:50.420]  How are our Pico Park stats looking these days?
[06:54.240 --> 06:57.300]  That stream, that Pico Park stream that we did...
[06:57.300 --> 06:58.980]  The one we bailed on?
[06:59.060 --> 07:00.160]  Oh my God.
[07:04.010 --> 07:05.150]  Give me these.
[07:05.910 --> 07:09.970]  Hayden in the chat said, I missed the start. What did Ryan and Tina do for them?
[07:10.070 --> 07:10.950]  Great question, Hayden.
[07:13.570 --> 07:16.790]  Is everything about that fucked up? That's awesome.
[07:20.010 --> 07:21.950]  Ray and Tina gave us a bunch of furniture.
[07:21.950 --> 07:24.870]  A bunch of furniture. Thank you, Ryan. Thank you, Tina.
[07:24.990 --> 07:26.050]  Oh, you changed it back.
[07:26.390 --> 07:26.750]  Take that, Nick!
[07:28.810 --> 07:29.610]  Damn, wild.
[07:30.070 --> 07:31.310]  Yeah, I think you know what you have to do, Kevin.
[07:31.890 --> 07:35.310]  Oh, no.
[07:36.170 --> 07:37.750]  I was wondering why you went that way.
[07:41.010 --> 07:42.390]  First game, first mini-game of the day.
[07:42.390 --> 07:43.210]  Oh, four player?
[07:43.570 --> 07:44.330]  What do we got?
[07:44.430 --> 07:44.770]  Nice.
[07:45.230 --> 07:45.730]  Treetop Treasure.
[07:45.970 --> 07:46.090]  Yeah.
[07:46.990 --> 07:48.530]  Tiny, tiny triathlon.
[07:49.030 --> 07:50.190]  So small, this triathlon.
[07:50.290 --> 07:51.030]  Seems like a lot of work.
[07:51.630 --> 07:52.070]  Very tiny.
[07:54.390 --> 07:56.670]  Oh, I never re-zoomed the lens in.
[07:58.310 --> 07:59.230]  Come on!
[07:59.590 --> 08:00.050]  Sorry.
[08:00.630 --> 08:01.410]  I wanted to see Andrew.
[08:01.870 --> 08:02.170]  Oh!
[08:02.430 --> 08:03.310]  Oh, this one.
[08:04.350 --> 08:05.570]  Okay, so it's...
[08:05.570 --> 08:06.070]  Swim.
[08:06.230 --> 08:07.170]  Oh, man.
[08:07.790 --> 08:08.150]  Jump.
[08:10.410 --> 08:12.130]  Come on, you slow bastard.
[08:12.330 --> 08:13.350]  The kettle is this.
[08:13.730 --> 08:14.170]  Jump is that.
[08:14.290 --> 08:14.390]  Okay.
[08:15.230 --> 08:15.730]  Got it.
[08:15.870 --> 08:16.730]  I think I got it.
[08:16.730 --> 08:17.230]  I'll do it on the night.
[08:19.170 --> 08:19.990]  We'll do it live.
[08:26.690 --> 08:27.430]  That's gonna be fun.
[08:28.650 --> 08:29.270]  There we go.
[08:30.030 --> 08:30.610]  Alright, I'm good.
[08:31.770 --> 08:32.530]  Okay, here we go.
[08:33.250 --> 08:33.970]  Alright, I'm gonna get...
[08:33.970 --> 08:34.870]  Alright, this is getting real.
[08:35.190 --> 08:35.230]  Yeah.
[08:36.290 --> 08:37.210]  Oh, Christ.
[08:37.250 --> 08:37.750]  Oh, God.
[08:39.530 --> 08:40.050]  Go!
[08:42.690 --> 08:43.490]  Go, go, go, go, go!
[08:43.710 --> 08:44.750]  Oh, what the?
[08:45.730 --> 08:46.590]  Geoff paused it.
[08:46.870 --> 08:47.190]  Geoff!
[08:47.490 --> 08:49.190]  Geoff, you son of a...
[08:49.190 --> 08:50.010]  Oh, that code.
[08:50.130 --> 08:51.070]  I took a picture.
[08:54.010 --> 08:55.110]  Move, you idiot.
[08:55.250 --> 08:55.650]  Move!
[08:55.910 --> 08:56.430]  Come on.
[08:56.590 --> 08:56.970]  No!
[08:58.130 --> 08:58.930]  Damn you!
[09:00.470 --> 09:00.990]  No!
[09:02.730 --> 09:03.250]  Go!
[09:03.610 --> 09:03.850]  Go!
[09:03.850 --> 09:04.050]  Alright.
[09:04.670 --> 09:04.870]  Go!
[09:05.130 --> 09:05.770]  No, damn it!
[09:05.870 --> 09:06.210]  No!
[09:06.490 --> 09:07.370]  No, damn it!
[09:07.790 --> 09:08.530]  Oh, God!
[09:08.630 --> 09:09.270]  No, damn it!
[09:10.510 --> 09:11.070]  Fuck!
[09:11.290 --> 09:11.490]  No!
[09:12.150 --> 09:13.910]  That sucks so bad!
[09:15.090 --> 09:16.330]  That was so hard!
[09:18.010 --> 09:20.530]  Geoff paused it and I took a fucking shot.
[09:26.790 --> 09:27.910]  Happy anniversary!
[09:28.650 --> 09:28.750]  Yay!
[09:28.750 --> 09:29.350]  One year!
[09:29.610 --> 09:30.170]  Congratulations!
[09:30.890 --> 09:31.090]  Yay!
[09:31.090 --> 09:36.050]  I gotta say, all of us up here with Andrew on the arm as a little robot, it's pretty cool.
[09:36.170 --> 09:37.090]  I like that.
[09:37.190 --> 09:37.330]  Yeah.
[09:37.910 --> 09:38.950]  The gang's all here.
[09:39.230 --> 09:41.130]  Only 29 more turns.
[09:41.350 --> 09:41.890]  Oh, boy.
[09:42.330 --> 09:42.770]  Hopefully.
[09:43.350 --> 09:44.470]  We're in the homestretch now, boys.
[09:45.910 --> 09:46.590]  I'm hot.
[09:48.210 --> 09:49.490]  It's from moving so much.
[09:52.710 --> 09:53.350]  Hell yeah.
[09:53.710 --> 09:54.890]  Oh, I can't fucking afford it.
[09:55.430 --> 10:00.630]  A little under half an hour until we get to everything on sale in the store.
[10:01.730 --> 10:03.110]  And don't forget, support us on Patreon.
[10:03.310 --> 10:04.790]  Patreon.com slash TheRegulationPod.
[10:05.150 --> 10:05.630]  Thank you so much.
[10:05.630 --> 10:06.470]  That's the best way to support us.
[10:06.610 --> 10:06.770]  Thank you.
[10:06.770 --> 10:07.830]  Thank you, everyone who's watching.
[10:07.930 --> 10:09.570]  Really appreciate you guys being here for our anniversary.
[10:10.110 --> 10:14.330]  Yeah, we typically don't say stuff like, support us on Patreon, but we're definitely gonna say it today.
[10:14.370 --> 10:17.810]  No, I figure once a year, we can probably get after it.
[10:17.970 --> 10:19.050]  We're gonna get after it today.
[10:19.050 --> 10:19.210]  Yeah.
[10:19.750 --> 10:20.310]  Oh, God.
[10:20.410 --> 10:21.390]  Getting after it.
[10:21.850 --> 10:22.190]  Oh, thank you.
[10:22.190 --> 10:22.810]  Oh, that's a bonus.
[10:22.810 --> 10:23.550]  That's pretty good.
[10:24.650 --> 10:25.050]  Ooh.
[10:25.410 --> 10:25.690]  What'd you get again?
[10:25.870 --> 10:27.430]  12, 12, 12, 12, 12, 12.
[10:27.650 --> 10:27.810]  Yeah.
[10:27.930 --> 10:28.270]  Yeah!
[10:28.550 --> 10:29.330]  That's pretty good.
[10:31.410 --> 10:32.310]  I'll take it.
[10:33.770 --> 10:34.410]  Take it.
[10:34.590 --> 10:36.950]  All right, so I want to roll low enough to not go past.
[10:38.390 --> 10:38.790]  Nine.
[10:40.130 --> 10:41.310]  What do you think you're doing there?
[10:41.930 --> 10:42.830]  What you thinking about?
[10:43.610 --> 10:44.950]  Causing some problems for people.
[10:44.950 --> 10:46.310]  I like problems.
[10:46.570 --> 10:47.630]  Yeah, I mean, he's gonna get it.
[10:47.830 --> 10:48.950]  He's gonna get that star if you don't.
[10:49.070 --> 10:50.370]  The guy like me likes problems.
[10:50.370 --> 10:52.930]  Oh, that would mean that Geoff would come back to all of this.
[10:52.990 --> 10:53.150]  Oh.
[10:53.230 --> 10:54.170]  Yeah, but Geoff has no money.
[10:54.510 --> 10:55.310]  Oh, that's a good point.
[10:56.010 --> 10:56.370]  Not yet.
[10:56.470 --> 10:57.670]  You haven't done the next game.
[10:58.850 --> 11:00.030]  Oh, Nick's gonna get that star.
[11:00.050 --> 11:00.730]  Not a nine.
[11:01.730 --> 11:02.050]  Oh!
[11:06.430 --> 11:07.230]  Now what do you do?
[11:13.930 --> 11:14.950]  Second guessing that decision.
[11:15.530 --> 11:16.570]  Oh, you went left anyway?
[11:16.830 --> 11:20.990]  I went left anyway, because maybe if somehow it's still there, I can just turn the direction and come back for it.
[11:21.050 --> 11:21.270]  That's true.
[11:21.390 --> 11:22.010]  Oh, you get money.
[11:22.270 --> 11:23.730]  Oh, yeah, yeah, you will get this cash.
[11:23.730 --> 11:24.290]  Ah!
[11:26.570 --> 11:27.730]  What am I doing?
[11:29.010 --> 11:30.670]  Cool, I can afford it.
[11:34.060 --> 11:35.040]  Hey, Geoff, what's up?
[11:35.500 --> 11:36.080]  Oh, not much.
[11:36.580 --> 11:37.320]  Fight, fight, fight.
[11:37.360 --> 11:40.820]  Bobbin said, happy belated birthday, Eric. I love the shirts. Come on.
[11:41.100 --> 11:42.720]  They're fucking all ratty boy.
[11:43.220 --> 11:44.900]  Oh, yeah, yesterday was ratty boy Saturday.
[11:46.240 --> 11:47.360]  That's not what we're calling it.
[11:47.380 --> 11:48.300]  Happiest day of the year.
[11:48.380 --> 11:48.920]  Ratty boy Saturday?
[11:49.820 --> 11:51.320]  I hate ratty boy Saturday.
[11:51.320 --> 11:53.440]  Put out the ratty boy blindside that we have to make twice.
[11:54.320 --> 12:00.660]  My favorite thing about that, by the way, my favorite thing about that is that Andrew spent the whole time saying that his video got corrupted.
[12:00.820 --> 12:01.160]  Yes.
[12:01.480 --> 12:03.740]  Which it didn't. It didn't press record.
[12:04.220 --> 12:08.360]  But the video that we made to replace it is glitchy as shit.
[12:08.460 --> 12:09.980]  Yeah, it also glitches it.
[12:10.000 --> 12:11.440]  Genuinely corrupted.
[12:12.460 --> 12:13.880]  Like, are you kidding me?
[12:14.420 --> 12:16.320]  It's cursed. It's a cursed video.
[12:18.320 --> 12:19.360]  Oh, can you flip direction here?
[12:19.400 --> 12:20.420]  Flickers all over the place.
[12:20.480 --> 12:22.500]  Just like, come on, man.
[12:23.440 --> 12:26.060]  You know, this was kind of a blindside today. The office.
[12:27.480 --> 12:29.060]  We blindsided you, you fools.
[12:31.220 --> 12:35.440]  Now you know how it feels when somebody drops ratty boy on you or something about AIDS.
[12:39.200 --> 12:40.560]  We've learned a lot the past year.
[12:41.580 --> 12:43.720]  It's been a good year. It's been a really good year.
[12:43.800 --> 12:45.880]  It has been, though, a really fast and slow year.
[12:45.880 --> 12:46.860]  Yeah, crazy.
[12:49.940 --> 12:50.720]  Oh, shit.
[12:50.780 --> 12:52.020]  Oh, yeah. Big time.
[12:53.440 --> 12:54.640]  See, imagine if you didn't have practice.
[12:55.960 --> 12:57.380]  I'd be lost. Oh, oh.
[12:57.580 --> 12:57.760]  Yeah.
[12:58.940 --> 12:59.380]  All right.
[13:00.640 --> 13:01.200]  Okie dokie.
[13:06.170 --> 13:08.830]  So we don't want to touch the electricity is what I'm gathering.
[13:09.170 --> 13:10.310]  No, no, no, you can touch that, I think.
[13:10.390 --> 13:12.010]  Which is crazy, because in most games you want to touch it.
[13:12.110 --> 13:12.990]  Yeah, it's how you get superpowers.
[13:13.170 --> 13:16.330]  Usually in video games, they want you to do it, don't they?
[13:16.430 --> 13:17.530]  Oh, shit.
[13:17.970 --> 13:19.470]  Nick's not going to find out, so it's okay.
[13:19.930 --> 13:20.410]  Oh, God.
[13:20.630 --> 13:21.150]  Nick's toast.
[13:21.230 --> 13:23.210]  I'm all right. Oh, actually, you killed me.
[13:23.550 --> 13:24.070]  I did what?
[13:24.070 --> 13:24.830]  You killed me.
[13:25.090 --> 13:25.230]  What?
[13:26.550 --> 13:27.150]  Oh, sorry.
[13:27.270 --> 13:27.550]  Ow!
[13:28.050 --> 13:28.350]  Geoff!
[13:29.290 --> 13:29.890]  Oh, God.
[13:30.050 --> 13:32.230]  Wow, how is Nick still in this thing?
[13:32.250 --> 13:32.990]  What do you mean?
[13:33.710 --> 13:35.250]  It's going slow so far.
[13:35.370 --> 13:35.970]  You're doing great.
[13:36.130 --> 13:36.970]  Get in the fire, Dilkon.
[13:37.050 --> 13:37.690]  Get in the electricity.
[13:38.250 --> 13:38.910]  I'm good.
[13:39.810 --> 13:41.350]  You should test it first, then I'll get in.
[13:45.810 --> 13:47.070]  Oh, you bastard!
[13:47.850 --> 13:48.450]  This thing's speeding up.
[13:51.230 --> 13:52.030]  Oh, shit.
[13:52.030 --> 13:54.690]  Well, that's it for me.
[13:54.690 --> 13:55.910]  Go, go, go, go.
[13:55.910 --> 13:57.370]  The mole's done, too.
[13:59.770 --> 14:00.450]  I died.
[14:00.550 --> 14:02.410]  Oh, shit!
[14:02.410 --> 14:02.950]  Dil!
[14:04.930 --> 14:06.190]  Dilling it up!
[14:08.270 --> 14:10.050]  Squad 9 for victory!
[14:13.710 --> 14:14.430]  Victory!
[14:14.430 --> 14:14.630]  Victory!
[14:20.190 --> 14:21.830]  Landed on Gavin's knee.
[14:21.830 --> 14:22.870]  I was in your heaviest shit.
[14:23.970 --> 14:25.430]  That was an international...
[14:27.090 --> 14:28.290]  International strike.
[14:28.570 --> 14:30.690]  That was an international incident right there.
[14:30.710 --> 14:31.190]  That was awesome.
[14:31.570 --> 14:31.950]  Intercontinental.
[14:32.250 --> 14:32.850]  Yeah, really.
[14:33.050 --> 14:33.710]  Oh, Jesus.
[14:34.030 --> 14:34.750]  Holy shit.
[14:34.910 --> 14:36.430]  Did you say swan dive eventually?
[14:36.430 --> 14:36.890]  Yeah!
[14:37.190 --> 14:38.110]  Yeah, absolutely.
[14:38.570 --> 14:38.770]  Yep.
[14:40.550 --> 14:41.650]  Oh, my God.
[14:45.710 --> 14:46.750]  Uh-oh!
[14:46.750 --> 14:46.850]  Uh-oh!
[14:46.970 --> 14:47.630]  Oh, shit.
[14:47.830 --> 14:48.590]  Oh, this is bad.
[14:50.470 --> 14:50.670]  Whoa.
[14:51.770 --> 14:52.650]  Holy shit.
[14:52.730 --> 14:53.350]  These are bad.
[14:53.670 --> 14:54.970]  Oh, there's so many of them now.
[14:56.030 --> 14:57.450]  All right, turn 3.
[15:02.870 --> 15:04.350]  What are you gonna do?
[15:05.330 --> 15:05.910]  Kick ass.
[15:06.730 --> 15:07.650]  What the fuck?
[15:08.390 --> 15:10.670]  Wait, does that shoot you back?
[15:10.910 --> 15:11.090]  You fuck!
[15:11.090 --> 15:13.090]  Oh, wow.
[15:14.050 --> 15:15.950]  Is that just in time for...
[15:15.950 --> 15:16.150]  No!
[15:17.710 --> 15:19.170]  Geoff, I want to thank you personally.
[15:19.230 --> 15:20.150]  No kidding.
[15:21.350 --> 15:24.230]  Wow, you don't even have to use your shit, dude.
[15:24.430 --> 15:25.810]  I didn't even have to waste my blood.
[15:27.570 --> 15:29.730]  How did he hit you with his little robot?
[15:29.850 --> 15:30.750]  That was crazy.
[15:32.070 --> 15:33.050]  Little swan dive.
[15:34.570 --> 15:35.730]  You're pretty far away though, dude.
[15:36.090 --> 15:37.730]  Yeah, yeah, yeah, yeah, yeah.
[15:38.170 --> 15:39.310]  Three, you're almost there, right?
[15:39.430 --> 15:39.610]  Yeah.
[15:39.990 --> 15:40.730]  See you soon.
[15:41.230 --> 15:42.570]  Oh, what's this fucking one?
