[00:00.000 --> 00:00.800]  Dog's not too late.
[05:14.840 --> 05:17.540]  We're at just about 60 seconds.
[05:17.640 --> 05:19.960]  So we got 30 seconds before Slopper Clock starts,
[05:19.960 --> 05:21.180]  before we get going.
[05:21.860 --> 05:22.220]  Yep.
[05:22.740 --> 05:23.040]  All right.
[05:23.200 --> 05:23.900]  I can see chat.
[05:24.040 --> 05:24.640]  Can you read that?
[05:24.880 --> 05:25.700]  Yeah, that's great.
[05:25.740 --> 05:26.680]  Oh, that's fucking awesome.
[05:26.880 --> 05:27.040]  Yeah.
[05:27.380 --> 05:27.560]  Nice.
[05:27.800 --> 05:28.620]  That's phenomenal.
[05:28.740 --> 05:30.260]  I don't know why Eric gives you such a hard time.
[05:30.360 --> 05:30.920]  I don't either.
[05:31.260 --> 05:31.920]  I fixed everything.
[05:31.980 --> 05:32.800]  Well, thanks for the subs.
[05:32.800 --> 05:34.040]  I know, you did a great job.
[05:34.420 --> 05:36.780]  We just tested it in any of the time previous,
[05:36.900 --> 05:37.540]  we wouldn't have had an issue.
[05:37.780 --> 05:38.520]  Well, there was...
[05:38.520 --> 05:40.360]  Guys, we got 10 seconds.
[05:40.380 --> 05:42.080]  That guy almost hit my car big time.
[05:42.120 --> 05:42.600]  I know.
[05:42.780 --> 05:43.160]  10 seconds.
[05:43.160 --> 05:44.560]  He said thank you to the wrong dude.
[05:44.560 --> 05:44.860]  Here we go.
[05:45.440 --> 05:45.800]  Guys.
[05:45.920 --> 05:51.000]  It begins 5, 4, 3, 2, 1.
[05:51.320 --> 05:52.040]  Slopper Clock!
[05:52.320 --> 05:52.600]  All right.
[05:52.760 --> 05:53.240]  It's going.
[05:53.460 --> 05:54.380]  A head sheen already?
[05:54.480 --> 05:55.120]  It's a t-shirt.
[05:55.320 --> 05:56.460]  Definitely a head sheen.
[05:56.500 --> 05:57.080]  Oh, I have head sheen.
[05:57.200 --> 05:57.380]  Excellent.
[05:57.600 --> 05:58.640]  Oh, is that a way up?
[05:59.140 --> 05:59.560]  What was she saying?
[05:59.660 --> 06:00.200]  Is that a stupid hat?
[06:00.660 --> 06:00.980]  Yeah.
[06:01.180 --> 06:01.660]  She's got a sailor cap.
[06:01.900 --> 06:03.460]  She's got a sailor captain's hat.
[06:03.720 --> 06:04.700]  That's a stupid hat.
[06:04.740 --> 06:05.420]  On her it is.
[06:05.420 --> 06:06.160]  That could be a job.
[06:06.620 --> 06:07.720]  She's not a captain.
[06:08.720 --> 06:09.320]  I'd say that.
[06:09.540 --> 06:09.780]  All right.
[06:09.780 --> 06:10.780]  If you guys want to go dumb hat,
[06:10.840 --> 06:11.280]  we can do dumb hat.
[06:11.280 --> 06:12.100]  I don't know why I called it.
[06:12.100 --> 06:12.660]  I don't have it.
[06:12.720 --> 06:13.240]  I do.
[06:13.340 --> 06:13.820]  Thanks, man.
[06:13.920 --> 06:14.320]  I don't have anything.
[06:15.120 --> 06:15.280]  No!
[06:15.280 --> 06:16.480]  Although I do like to wear them.
[06:16.720 --> 06:17.460]  So maybe I'm...
[06:17.460 --> 06:18.560]  Come on, Scooter Gang.
[06:18.580 --> 06:20.660]  Dude, that looks like almost like a pawpaw.
[06:20.680 --> 06:21.320]  He was close.
[06:22.300 --> 06:23.420]  I don't have that though.
[06:23.500 --> 06:24.440]  Anybody see a wheelchair yet?
[06:26.140 --> 06:27.680]  Andrew, how are you feeling about that one?
[06:28.420 --> 06:28.780]  Ghosts!
[06:28.940 --> 06:30.460]  I thankfully don't have it.
[06:30.540 --> 06:31.140]  Anybody have ghosts?
[06:32.240 --> 06:33.380]  No, I don't have anything.
[06:33.760 --> 06:35.300]  I'm looking for dog and a hog.
[06:35.420 --> 06:36.700]  I got dog and a hog on this one.
[06:36.700 --> 06:37.180]  Dog and a hog.
[06:37.480 --> 06:38.400]  Did that lady throw up?
[06:38.740 --> 06:39.020]  Where?
[06:39.260 --> 06:39.840]  With the hat?
[06:40.560 --> 06:40.760]  What?
[06:40.760 --> 06:42.420]  She threw up or spilled something.
[06:42.500 --> 06:43.240]  She might have spilled.
[06:43.480 --> 06:43.560]  Where?
[06:43.820 --> 06:44.460]  Well, spilled is one thing.
[06:44.460 --> 06:46.700]  Yeah, she moved on now, but...
[06:46.700 --> 06:47.560]  Spills, spills.
[06:47.740 --> 06:48.800]  I mean, if you're throwing up,
[06:48.860 --> 06:50.160]  that's technically a spill, isn't it?
[06:50.660 --> 06:51.380]  Oh, that guy's...
[06:51.380 --> 06:52.220]  That's a new one we should do.
[06:52.340 --> 06:53.860]  Fishing for your friend.
[06:54.100 --> 06:54.500]  Is that a luxury car?
[06:54.500 --> 06:55.520]  That's actually a luxury car.
[06:55.580 --> 06:56.360]  That's a luxury car.
[06:56.360 --> 06:56.760]  Yeah, it's a luxury car.
[06:56.780 --> 06:57.220]  What's he doing?
[06:57.240 --> 06:57.880]  Is he throwing something?
[06:57.880 --> 06:58.320]  He's throwing.
[06:58.460 --> 06:58.900]  He's fishing.
[06:59.040 --> 07:00.000]  He's casting his fishing line,
[07:00.040 --> 07:01.160]  then he's pulling him over.
[07:01.740 --> 07:02.600]  Oh, he's got him!
[07:02.880 --> 07:03.640]  Oh, he's got him!
[07:03.640 --> 07:04.240]  He's caught him!
[07:04.240 --> 07:05.060]  He's got him!
[07:05.200 --> 07:06.000]  He's got a live one.
[07:06.000 --> 07:07.000]  Don fishing.
[07:07.960 --> 07:09.060]  Oh, we should add that.
[07:09.680 --> 07:10.960]  I've never seen that.
[07:11.120 --> 07:12.000]  Never once.
[07:12.120 --> 07:13.060]  And we'll never see it again.
[07:13.140 --> 07:14.400]  We should add that.
[07:16.320 --> 07:16.740]  Don fishing.
[07:16.960 --> 07:18.580]  A thing that's happened once.
[07:19.140 --> 07:19.420]  Ever.
[07:19.660 --> 07:20.020]  Sure.
[07:21.160 --> 07:22.080]  She said, no, thank you.
[07:22.480 --> 07:23.340]  No, thank you.
[07:23.580 --> 07:24.720]  No, we don't want to go in your bar.
[07:25.160 --> 07:25.720]  We're not interested.
[07:25.740 --> 07:26.460]  No, they had changed that.
[07:26.600 --> 07:27.000]  Oh, is this a...
[07:27.000 --> 07:27.860]  Sunglasses at night?
[07:28.000 --> 07:29.080]  Is sunglasses at night something?
[07:29.700 --> 07:30.820]  Sunglasses at night is one,
[07:30.900 --> 07:31.680]  but I don't have them either.
[07:32.220 --> 07:33.260]  I don't think I have it.
[07:33.500 --> 07:34.300]  Oh, nighttime shades!
[07:34.340 --> 07:34.740]  I do have it.
[07:34.740 --> 07:36.680]  Okay, so do we have...
[07:36.680 --> 07:38.120]  Aggressive honking is gonna be hard
[07:38.120 --> 07:38.900]  when we can't hear it.
[07:39.160 --> 07:39.180]  Yeah.
[07:39.540 --> 07:40.740]  Did we have a drop something?
[07:41.060 --> 07:41.380]  Or was that...
[07:41.380 --> 07:42.760]  Yeah, we've had drop something in the past.
[07:43.400 --> 07:43.720]  I think I have it.
[07:43.720 --> 07:44.380]  No, I mean tonight.
[07:44.620 --> 07:45.500]  Oh, no, I don't see it.
[07:45.500 --> 07:45.780]  Oh, I don't see it.
[07:47.540 --> 07:48.480]  I wish I had, though,
[07:48.560 --> 07:51.320]  because I do have dropped or spilled food or drink.
[07:52.760 --> 07:53.740]  Spilled something dick.
[07:55.240 --> 07:57.720]  It's like quite a chill night out in Key West so far.
[07:57.840 --> 08:00.360]  A nice easy one, but you know it goes in waves.
[08:00.600 --> 08:00.800]  Yeah.
[08:01.020 --> 08:02.100]  I wish we were there,
[08:02.380 --> 08:03.880]  but this is the next best thing.
[08:03.880 --> 08:05.440]  Yeah, yeah.
[08:05.500 --> 08:07.140]  I don't need to be there quite yet.
[08:08.380 --> 08:10.080]  Oh, that guy looks like he has a sweet stash.
[08:10.220 --> 08:10.840]  Sweet stash.
[08:11.580 --> 08:12.380]  Sweet stash.
[08:12.500 --> 08:13.400]  But let me do this.
[08:13.580 --> 08:15.060]  Oh, look at that!
[08:15.200 --> 08:16.900]  Yeah, sweet stash and matching outfits
[08:16.900 --> 08:18.160]  if anybody has matching outfits.
[08:18.660 --> 08:19.820]  Sweet stash, damn.
[08:20.100 --> 08:20.640]  I'm gonna...
[08:20.640 --> 08:21.340]  Oh, I got a sweet stash.
[08:21.480 --> 08:22.880]  Shrink the chat for a moment.
[08:23.060 --> 08:24.700]  Okay, yeah, do what you need to, Nick.
[08:24.800 --> 08:26.960]  Oh, wow, that's so many matching outfits.
[08:27.100 --> 08:27.360]  Yeah.
[08:28.120 --> 08:28.520]  Wow.
[08:28.560 --> 08:29.640]  Matching outfits, I do have it.
[08:30.780 --> 08:31.140]  Yeah.
[08:32.920 --> 08:34.040]  Sunglasses at night again.
[08:34.200 --> 08:34.360]  Yep.
[08:34.640 --> 08:36.220]  We're adjusting the levels here, guys.
[08:36.380 --> 08:40.200]  Yeah, jeans and flip flops for anybody who has this.
[08:40.600 --> 08:41.800]  I don't, but that's a great one.
[08:41.800 --> 08:42.480]  Is that formal attire?
[08:46.020 --> 08:48.020]  Man, a lot of classics right out the gate tonight.
[08:48.020 --> 08:49.400]  Yeah, some good stuff.
[08:50.440 --> 08:51.880]  That's a kid out way too late.
[08:51.880 --> 08:52.860]  Oh, a kid out way too late.
[08:53.020 --> 08:53.240]  That's a baby.
[08:53.820 --> 08:54.980]  Did we see that it was a kid though?
[08:55.140 --> 08:55.640]  Could have been a dog.
[08:55.640 --> 08:56.320]  What do you mean, what?
[08:56.320 --> 08:56.780]  No, it was a kid.
[08:56.960 --> 08:57.140]  Okay.
[08:57.560 --> 08:58.440]  Could have been a dog.
[08:58.440 --> 09:00.020]  Could have been, kid out late, got it.
[09:00.260 --> 09:01.080]  I don't know why I'm complaining.
[09:02.380 --> 09:02.780]  Kid!
[09:03.740 --> 09:04.220]  Kid, no!
[09:05.300 --> 09:06.600]  Ah, it's a definitive kid.
[09:06.980 --> 09:07.540]  Definitive kid.
[09:07.940 --> 09:10.060]  So many sunglasses tonight, it's ridiculous.
[09:10.460 --> 09:11.560]  Does anyone have Cigar Dad?
[09:15.580 --> 09:16.340]  Cigar Dad!
[09:17.240 --> 09:19.120]  Let me see a bachelorette party.
[09:19.700 --> 09:20.020]  Yeah.
[09:20.700 --> 09:21.800]  That is so loud.
[09:21.920 --> 09:23.600]  Yeah, I'm gonna turn it down.
[09:24.160 --> 09:24.760]  I don't think you can.
[09:24.880 --> 09:25.640]  I don't think I can either.
[09:25.660 --> 09:26.500]  I think it's just two levels.
[09:27.540 --> 09:30.760]  I think you just, you can open the audio mixer.
[09:30.800 --> 09:32.240]  Oh, I have that, Car Underglow.
[09:32.340 --> 09:33.100]  Thank you very much.
[09:33.380 --> 09:33.680]  Oh, Car Underglow.
[09:33.800 --> 09:34.300]  You know what I have?
[09:34.420 --> 09:34.840]  Do it.
[09:35.260 --> 09:35.880]  Do it, Nick.
[09:36.520 --> 09:37.200]  All right, I'm going up.
[09:37.200 --> 09:37.580]  Scooter Gang!
[09:38.020 --> 09:38.620]  Scooter Gang!
[09:38.800 --> 09:39.180]  Go to us.
[09:39.180 --> 09:39.660]  Scooter Gang!
[09:41.320 --> 09:42.220]  Yeah, I'm on us.
[09:42.440 --> 09:42.680]  Okay.
[09:43.000 --> 09:43.260]  Okay.
[09:43.500 --> 09:44.040]  Scooter Gang.
[09:44.320 --> 09:45.420]  There's no sound in there.
[09:45.420 --> 09:46.440]  I know, no, no, no.
[09:46.480 --> 09:48.220]  I'm saying change the camera to us,
[09:48.420 --> 09:49.720]  then go to the audio mixer,
[09:49.900 --> 09:51.940]  and then adjust the audio level.
[09:52.020 --> 09:52.720]  Oh, that's brilliant.
[09:52.780 --> 09:53.380]  And then go back.
[09:53.740 --> 09:54.000]  Yeah.
[09:55.180 --> 09:55.480]  Where are they?
[09:55.860 --> 09:57.200]  What the fuck is going on?
[09:57.200 --> 09:57.860]  They got fire on their car.
[09:58.840 --> 09:59.480]  Jesus Christ.
[10:01.520 --> 10:02.040]  There we go.
[10:02.060 --> 10:02.500]  I love it.
[10:02.660 --> 10:04.460]  But I want to make sure we can still hear Andrew.
[10:04.800 --> 10:05.780]  That's, Andrew, you okay?
[10:07.480 --> 10:07.800]  Yeah.
[10:08.580 --> 10:09.760]  Turn it down, fuck.
[10:10.380 --> 10:12.400]  Just open the, open the...
[10:12.400 --> 10:14.040]  Yeah, I got it, I got it, I got it, I got it, I got it.
[10:16.500 --> 10:17.600]  Is that a beach goth?
[10:18.440 --> 10:19.860]  Oh, I would say...
[10:19.860 --> 10:19.880]  Yeah.
[10:20.180 --> 10:21.560]  Ah, yeah, yeah.
[10:22.200 --> 10:22.460]  Better?
[10:22.480 --> 10:23.200]  Yeah, that's good.
[10:23.320 --> 10:23.740]  You're good there.
[10:23.880 --> 10:24.080]  Okay.
[10:24.240 --> 10:25.160]  Full strain and kick it back out.
[10:25.160 --> 10:25.800]  Yep, sorry about that.
[10:25.800 --> 10:26.460]  All right, let me take it.
[10:26.900 --> 10:28.840]  Just wanted to make sure we had the audio.
[10:28.900 --> 10:29.420]  Oh, tricycle.
[10:29.620 --> 10:30.420]  Aggressive honking.
[10:30.540 --> 10:31.140]  Got that too.
[10:31.380 --> 10:32.120]  Andrew, you still good?
[10:33.060 --> 10:34.020]  Ooh, I need a handshake.
[10:34.300 --> 10:35.020]  I don't know why I yelled too much.
[10:35.020 --> 10:35.940]  You can't really hear you guys
[10:35.940 --> 10:37.000]  when you talk at the same time.
[10:37.540 --> 10:38.380]  Yeah, sorry.
[10:40.120 --> 10:41.680]  No, no, I just mean like the mic.
[10:41.840 --> 10:42.940]  Like I think it's a game thing.
[10:43.160 --> 10:44.340]  Like it's canceling out.
[10:44.460 --> 10:44.820]  Hiya.
[10:45.400 --> 10:46.300]  Acknowledging the camera.
[10:49.200 --> 10:49.920]  Another underglow.
[10:50.440 --> 10:50.740]  Yeah.
[10:53.480 --> 10:54.200]  Rented scooter.
[10:59.820 --> 11:00.220]  Yeah.
[11:00.220 --> 11:00.860]  Nobody's hoofing it.
[11:01.720 --> 11:04.800]  No, so far, so far taking it slow.
[11:05.520 --> 11:05.700]  Yeah.
[11:06.020 --> 11:07.120]  Oh, I've got fist bump.
[11:07.180 --> 11:08.280]  I haven't even been looking for that.
[11:08.360 --> 11:09.200]  Well, we still have what?
[11:09.320 --> 11:10.520]  30 minutes till slop o'clock.
[11:10.560 --> 11:13.040]  Okay, until it really kicks off, you know.
[11:13.320 --> 11:15.220]  So far I've got sweet stash, beach goth,
[11:15.340 --> 11:17.340]  kid out late, head sheen, nighttime shades,
[11:17.440 --> 11:18.020]  matching outfits.
[11:18.240 --> 11:18.640]  Wow.
[11:18.800 --> 11:19.080]  Wow.
[11:20.220 --> 11:22.420]  I have scooter gang, kid out late, head sheen,
[11:22.460 --> 11:23.420]  and dumb hat.
[11:23.940 --> 11:26.760]  I have beach goth, tricycle, car underglow,
[11:26.860 --> 11:27.640]  and kid out late.
[11:27.800 --> 11:29.960]  This is going to be hard because I got dog and hog
[11:29.960 --> 11:31.440]  and crying on the same line.
[11:31.520 --> 11:33.120]  There's just no fucking shot.
[11:33.220 --> 11:34.580]  Dog and a hog though, when we get it.
[11:34.680 --> 11:35.840]  Oh, it's going to be so annoying.
[11:36.300 --> 11:38.380]  It's going to be my personal bingo.
[11:38.660 --> 11:39.540]  That's an offensive shirt.
[11:40.180 --> 11:41.720]  I'm not gay.
[11:41.980 --> 11:42.640]  I'm offended.
[11:43.760 --> 11:44.480]  I don't know if I was offended.
[11:44.480 --> 11:46.340]  Double fisting, double fisting, double fisting.
[11:47.260 --> 11:48.480]  Oh, that's a double fist.
[11:48.600 --> 11:53.000]  Oh, yeah, here we go.
[11:53.600 --> 11:54.960]  This guy's got a gurgler.
[11:56.020 --> 11:56.780]  Is that?
[12:00.240 --> 12:01.120]  Hell yeah.
[12:01.260 --> 12:02.360]  Acknowledge the camera.
[12:03.340 --> 12:04.220]  Double fisting.
[12:04.440 --> 12:05.940]  That's the camera with the gurgler.
[12:06.000 --> 12:06.660]  And a chug.
[12:07.160 --> 12:07.600]  And a chug.
[12:08.380 --> 12:09.180]  Fuck it, of course.
[12:09.380 --> 12:10.500]  I don't have any of these things.
[12:10.680 --> 12:11.560]  I'm so...
[12:12.340 --> 12:12.780]  Sunglasses.
[12:12.880 --> 12:14.140]  We'll see you next time, buddy.
[12:14.780 --> 12:15.020]  Love it.
[12:15.160 --> 12:15.760]  That was phenomenal.
[12:15.760 --> 12:16.800]  That's been so fucking awesome.
[12:16.960 --> 12:18.380]  Dude, chat's going crazy.
[12:18.460 --> 12:19.480]  Love that guy.
[12:19.600 --> 12:20.220]  What a hero.
[12:21.040 --> 12:21.740]  What a hero.
[12:22.380 --> 12:22.740]  Wow.
[12:23.120 --> 12:23.940]  He didn't twerk.
[12:24.000 --> 12:24.920]  He could've twerked more.
[12:25.180 --> 12:26.440]  He would've appreciated a twerk.
[12:26.500 --> 12:27.560]  I think he could've dropped something,
[12:27.700 --> 12:28.400]  but, you know, it was just me.
[12:30.180 --> 12:32.180]  Have I seen any obviously dyed hair?
[12:32.280 --> 12:32.980]  No, not yet.
[12:33.160 --> 12:34.480]  I'm looking for a sports jersey.
[12:35.140 --> 12:36.220]  Cheetah, thanks for the subs.
[12:38.280 --> 12:39.880]  Sports jerseys should be more common.
[12:40.040 --> 12:40.980]  You would think so.
[12:41.000 --> 12:41.240]  I know.
[12:41.360 --> 12:42.680]  Especially in Florida.
[12:42.960 --> 12:43.420]  I know.
[12:46.570 --> 12:47.670]  Is that gerpal clothing?
[12:48.310 --> 12:49.070]  It's pretty close.
[12:49.070 --> 12:50.170]  Oh, it is close, yeah.
[12:50.790 --> 12:52.430]  Andrew, would you give me gerpal clothing on that?
[12:53.290 --> 12:54.810]  Yeah, go ahead.
[12:55.570 --> 12:56.130]  Really?
[12:57.190 --> 12:57.830]  I'll take it.
[12:59.350 --> 13:00.310]  Gavin disagrees.
[13:00.890 --> 13:03.250]  And we were saying that the gay shirt was offensive.
[13:03.430 --> 13:03.870]  Yeah, definitely.
