[00:00.600 --> 00:01.560]  Hello and welcome-
[01:26.200 --> 01:27.600]  That's enough for a majority.
[01:27.920 --> 01:28.460]  Fuck them.
[01:28.720 --> 01:29.480]  Fuck Nick, fuck Eric.
[01:29.560 --> 01:30.080]  They're not here.
[01:30.360 --> 01:31.060]  They don't get to decide.
[01:31.300 --> 01:31.460]  I'm Eric.
[01:31.760 --> 01:32.620]  Well, now let's be clear.
[01:32.840 --> 01:33.460]  I'm Eric.
[01:34.060 --> 01:35.040]  Oh, I said Eric?
[01:35.240 --> 01:35.780]  Oh, I'm sorry.
[01:36.360 --> 01:37.080]  Nick and Geoff-
[01:37.080 --> 01:38.800]  Sorry, sorry, man.
[01:39.180 --> 01:40.240]  Gut reaction.
[01:42.680 --> 01:43.720]  Andrew's filler wasn't on.
[01:43.940 --> 01:47.600]  No, I just was looking at our chat, and I just read your name.
[01:47.760 --> 01:49.940]  And I was used to you being away last week.
[01:50.360 --> 01:51.480]  So I'm still adjusting.
[01:53.360 --> 01:55.740]  Fuck Nick, fuck Geoff, is what I meant to say.
[01:55.740 --> 01:56.300]  Okay, cool.
[01:56.480 --> 01:57.280]  Yeah, clearly.
[01:58.060 --> 02:00.140]  And we gotta pick stuff.
[02:00.320 --> 02:02.600]  We gotta set regulations on things.
[02:02.800 --> 02:05.960]  Now, I used to have the regulation bagel, and that was great.
[02:06.340 --> 02:13.000]  So I figured we could go through some items and deem what we view as the regulation version of that thing.
[02:13.480 --> 02:16.420]  These are things with a variety of options.
[02:17.480 --> 02:21.300]  So we've been deep in our hot dog era right now.
[02:21.300 --> 02:22.300]  Eating lots of dogs.
[02:22.360 --> 02:26.300]  I don't think Gavin, I don't think you've had a hot dog, have you?
[02:26.800 --> 02:28.180]  Not yet, I'm not on the board yet.
[02:28.220 --> 02:28.860]  Not on the board.
[02:29.880 --> 02:31.760]  But here's the thing about the hot dog board.
[02:32.240 --> 02:38.020]  And I had to explain this to my dad when I told him about the dog count situation.
[02:38.300 --> 02:42.920]  When I said, oh yeah, I've had like five this month, and that's the most I've had all year.
[02:43.020 --> 02:45.420]  And he went, oh, so it's like a competition to see who can eat the most?
[02:45.500 --> 02:48.400]  And I went, no, it's just a counter to see how many you've had.
[02:48.400 --> 02:59.300]  However, it is activating something within me that makes me feel like it is a competition where I have to keep up and eat the most hot dogs, which negates the whole situation.
[02:59.520 --> 03:04.520]  Yeah, I'd love to talk to Geoff about if that is the same for him.
[03:04.760 --> 03:08.440]  Because that man's on like 10 dogs, and we're like three weeks into this.
[03:08.920 --> 03:10.920]  And the whole point was, this seems crazy.
[03:11.460 --> 03:12.620]  Like no one's going to hit 70.
[03:13.100 --> 03:13.580]  He is.
[03:13.600 --> 03:14.260]  Oh my God.
[03:14.300 --> 03:15.540]  He is consuming so many.
[03:15.540 --> 03:18.420]  But we need to set, what is the regulation hot dog?
[03:18.940 --> 03:25.740]  What do you view, if you were to say, I want a hot dog, what do you think is the expectation of what that package is?
[03:26.180 --> 03:27.060]  Dog ketchup busted.
[03:27.960 --> 03:28.960]  Oh, you don't, okay.
[03:29.940 --> 03:37.260]  But here's the thing, like, I think people get so feisty about what's on a hot dog in specific.
[03:39.820 --> 03:44.200]  Like, I think like Chicago is like a big like, you can't put ketchup, right?
[03:44.200 --> 03:45.060]  Like, isn't that weird?
[03:45.720 --> 03:46.060]  It is.
[03:46.140 --> 03:47.400]  They're like aggressive about it.
[03:47.860 --> 03:48.120]  Yeah.
[03:49.020 --> 03:54.780]  I googled hot dog, and it came up with a ketchup and mustard dog.
[03:55.180 --> 03:55.800]  Interesting.
[03:56.220 --> 03:57.440]  I would agree.
[03:58.000 --> 04:03.720]  I think there'd be a large percentage of people arguing maybe onion or relish.
[04:04.260 --> 04:08.060]  Yeah, and I think that's kind of like where I land more.
[04:08.060 --> 04:14.300]  However, we have to consider that this isn't necessarily what we like, right?
[04:14.840 --> 04:20.000]  It's more about what if you were to get just, hey, we're getting hot dogs.
[04:20.220 --> 04:22.460]  This like, we're not saying anything about it.
[04:22.500 --> 04:23.360]  It's just hot dogs, right?
[04:23.420 --> 04:26.880]  I think we have to like it, but it it's not necessary.
[04:27.260 --> 04:31.400]  Like, if we're setting the regulation, it should probably be representative of us.
[04:31.740 --> 04:37.620]  But I think there also has to be some consideration of like, what the expectation is of that thing.
[04:37.620 --> 04:44.300]  This, this is going to be very hard for me, personally, because I hate ketchup.
[04:44.960 --> 04:45.220]  Really?
[04:45.220 --> 04:46.260]  I hate yellow mustard.
[04:47.060 --> 04:48.300]  I hate relish.
[04:48.900 --> 04:52.040]  I hate like most of the stuff that goes on a hot dog.
[04:52.320 --> 04:54.040]  Here's three hot dogs.
[04:54.440 --> 04:56.300]  I look at these and I go, terrible.
[04:58.020 --> 05:01.420]  So the three hot dogs are one ketchup, one relish, one mustard.
[05:01.920 --> 05:02.400]  Yes.
[05:02.940 --> 05:05.220]  Where does your moisture come from?
[05:05.560 --> 05:07.060]  Where does the wetness happen for you?
[05:07.060 --> 05:13.320]  Like, I, I like a sriracha or typically a chili cheese, uh, is usually what I go with.
[05:13.400 --> 05:21.800]  However, I can't in good conscience say the default, like the regulation hot dog is a chili cheese dog because that's a separate thing.
[05:21.800 --> 05:24.100]  And that's where I'm coming from with this, where it's like...
[05:24.100 --> 05:25.020]  That's totally fair.
[05:25.660 --> 05:33.400]  Yeah, like it's hard for me because I don't like, I don't like ketchup and I like, you know, hearty, like stone ground mustard.
[05:33.540 --> 05:34.920]  I don't like French's yellow.
[05:35.100 --> 05:36.560]  I think it tastes so bad.
[05:36.560 --> 05:37.720]  I think it tastes so, so bad.
[05:38.780 --> 05:41.420]  What about Grey Poupon or whatever that other one is?
[05:41.920 --> 05:43.660]  Yeah, you need like the stone ground mustard.
[05:43.840 --> 05:47.820]  Like that's, that's my move, but like, man, I don't, I don't know.
[05:47.880 --> 05:50.260]  Gavin, like when you eat a hot dog, what are you, what are you putting on your dog?
[05:51.480 --> 05:53.760]  Uh, if I'm eating a dog, it's probably a baseboard.
[05:53.840 --> 05:54.920]  I'm just putting ketchup and mustard.
[05:55.260 --> 05:58.740]  And if there's onions, I'll stick those on, but nothing more advanced than that.
[05:58.760 --> 06:00.780]  You're really, I'm shocked you're not a relish guy.
[06:01.140 --> 06:02.240]  Relish feels so like...
[06:02.240 --> 06:03.620]  No, it looks rough.
[06:04.320 --> 06:06.880]  It's, it's, it's like bad Branston.
[06:07.220 --> 06:09.380]  I was going to say to me, it's Branston adjacent.
[06:09.680 --> 06:10.920]  I figured you'd be all about it.
[06:11.380 --> 06:12.740]  Yeah, but it's too like pickly.
[06:13.240 --> 06:15.120]  Even though Branston pickle is just...
[06:15.120 --> 06:16.360]  Yeah, I don't understand.
[06:16.780 --> 06:17.940]  What are you talking about?
[06:18.940 --> 06:20.120]  It's Branston pickle.
[06:20.740 --> 06:21.380]  This is good.
[06:21.500 --> 06:24.600]  It's already, the whole, it just started and it's already fallen apart.
[06:24.700 --> 06:25.360]  This is fantastic.
[06:25.720 --> 06:28.980]  I had no idea you felt so strongly about ketchup and mustard, Eric.
[06:29.100 --> 06:30.340]  That's really interesting to me.
[06:30.340 --> 06:34.760]  Yeah, I, I've just never been that way.
[06:34.920 --> 06:36.700]  I just don't like that stuff.
[06:36.920 --> 06:41.300]  Ketchup is so sweet to me that it just doesn't belong on most things.
[06:42.240 --> 06:44.760]  And then mustard, like French's yellow mustard.
[06:45.280 --> 06:48.460]  It's just not, it's not appetizing.
[06:48.560 --> 06:49.800]  I don't think it smells or...
[06:49.800 --> 06:50.020]  Sure.
[06:50.140 --> 06:51.460]  Like looks or anything.
[06:52.100 --> 06:52.940]  Ketchup grew on me.
[06:53.320 --> 06:55.460]  I didn't have ketchup until I was in my twenties and I moved here.
[06:55.580 --> 06:56.000]  Really?
[06:56.260 --> 06:57.460]  I always avoided it.
[06:57.560 --> 06:57.640]  Yeah.
[06:57.980 --> 06:58.500]  Interesting.
[06:58.500 --> 06:59.400]  Don't know what happened.
[06:59.580 --> 07:00.260]  Just palate change.
[07:00.360 --> 07:01.800]  Maybe we, we start more gradually.
[07:01.940 --> 07:02.940]  Can we agree on a bun?
[07:03.180 --> 07:05.520]  Are we just talking like a standard white bun?
[07:05.520 --> 07:07.400]  It's gotta be just, yeah, I think it's gotta be just a standard one.
[07:07.400 --> 07:11.200]  Like no poppy seeds, no, just a basic plain ass white bun.
[07:11.200 --> 07:25.160]  Yeah, I think it's, I think it's gotta be just a straight white, like, I'm, I, I also think those ones that are cut along the top, like the newfangled bun, I think that's too much, like, advanced bun technology.
[07:25.260 --> 07:25.480]  Sure.
[07:25.480 --> 07:27.320]  I just need the one that you, like, set on the side.
[07:27.400 --> 07:28.480]  It's like a regular hot dog bun.
[07:28.680 --> 07:29.360]  I think that's it.
[07:29.720 --> 07:29.980]  Yeah.
[07:30.460 --> 07:31.800]  Okay, so we all agree on that.
[07:32.340 --> 07:32.500]  Uh-huh.
[07:32.860 --> 07:33.560]  All basic hot dog.
[07:33.580 --> 07:39.460]  We, we're not trying for no smoky, no, like, no crazy, just the standard packaged dog.
[07:40.020 --> 07:40.380]  Yeah.
[07:40.820 --> 07:42.180]  Now we're at the condiment issue.
[07:42.800 --> 07:43.960]  It's a big issue.
[07:44.400 --> 07:45.340]  It's a big issue.
[07:46.260 --> 07:46.620]  Um...
[07:46.620 --> 07:50.500]  Because it sounds to me like there's a world in which you would have mustard, just not...
[07:50.860 --> 07:56.680]  Yeah, I like stone ground mustard, like a, like a big, you know, like the big seed, like, actual mustard.
[07:56.900 --> 07:57.660]  I like that.
[07:58.000 --> 07:59.620]  What about English mustard?
[08:00.000 --> 08:00.140]  Oh.
[08:00.500 --> 08:01.420]  What is English mustard?
[08:02.340 --> 08:07.500]  It's yellow still, but it, it's, it will, like, blast up your nostrils if you have too much of it.
[08:07.920 --> 08:10.240]  Oh, like, oh, so it's a hot, it's like a hot mustard.
[08:10.860 --> 08:12.360]  It's not, it's...
[08:12.360 --> 08:13.700]  We talking horseradish-y?
[08:14.060 --> 08:15.420]  It's very horseradish-y, yeah.
[08:15.420 --> 08:15.620]  Okay.
[08:15.620 --> 08:16.400]  It's, it's Coleman's.
[08:16.800 --> 08:17.700]  Yeah, I don't know what that is.
[08:17.700 --> 08:19.980]  Comes, comes in a powder sometimes, or, or in a little pot.
[08:19.980 --> 08:21.140]  I don't want powdered mustard.
[08:21.280 --> 08:22.140]  Used very sparingly.
[08:22.360 --> 08:22.680]  Huh.
[08:23.080 --> 08:25.160]  I mean, I guess I could be okay with that.
[08:25.360 --> 08:27.720]  I don't know that I've had it.
[08:28.840 --> 08:29.840]  Oh, we gotta get you some.
[08:30.220 --> 08:30.500]  Oh.
[08:31.360 --> 08:31.560]  Okay.
[08:31.560 --> 08:33.860]  What if we all present to you our dogs?
[08:35.400 --> 08:37.320]  But I just told you all the things I don't like.
[08:37.320 --> 08:37.520]  Yeah.
[08:37.520 --> 08:38.940]  I don't think I would be the right person for this one.
[08:38.940 --> 08:41.700]  I think it would be more the mustard that we'd present him with.
[08:41.700 --> 08:41.840]  Yeah.
[08:42.100 --> 08:42.860]  Mustard alternatives.
[08:43.140 --> 08:46.600]  Yeah, and, and also, I don't want to do anything with mustard.
[08:46.720 --> 08:46.760]  I hate it.
[08:46.760 --> 08:47.300]  Yeah, that's fair.
[08:48.020 --> 08:50.720]  I'm convinced that you'll like my mustard.
[08:51.120 --> 08:52.660]  So, so it's this one on the left.
[08:52.740 --> 08:53.460]  The English mustard.
[08:53.840 --> 08:55.040]  It's like thick peanut butter.
[08:55.140 --> 08:58.960]  Yeah, but don't confuse it with like French's, which looks very similar.
[08:59.200 --> 08:59.500]  Yeah.
[08:59.620 --> 09:00.100]  Okay, cool.
[09:00.180 --> 09:01.180]  I mean, I would try it.
[09:01.280 --> 09:02.580]  I just think French's is terrible.
[09:02.580 --> 09:06.720]  And I really like that, that beer mustard, like the picture that I just said.
[09:06.800 --> 09:08.900]  That really like stone ground, like huge seeds.
[09:09.180 --> 09:10.680]  That I think is so good.
[09:10.740 --> 09:11.580]  I love that.
[09:12.500 --> 09:15.300]  But I don't think that's what people go to for hot dogs.
[09:15.680 --> 09:21.420]  I think, do we have to get, I guess we have to decide, do we have to get super specific?
[09:21.640 --> 09:23.380]  Or could we just say, a mustard.
[09:23.980 --> 09:25.360]  A mustard is on the dog.
[09:25.580 --> 09:26.280]  And that's good enough.
[09:27.000 --> 09:29.600]  I could say, I could go with just mustard on a dog.
[09:30.020 --> 09:33.480]  The problem is ketchup, because I don't think there's a ketchup alternative to you.
[09:33.940 --> 09:39.780]  No, I think that there's just, I think, I think I will have to sort of acquiesce and be like,
[09:39.860 --> 09:45.120]  this is a thing I don't enjoy, but I understand why people need it on their hot dog.
[09:45.120 --> 09:47.940]  What about bacon? Like that's too extravagant, right?
[09:48.040 --> 09:53.000]  Love it, love it, but does not, I don't think, when I think regulation hot dog, I don't think it's on there.
[09:53.120 --> 09:55.600]  And no cheese as well? I assume that's in the same category.
[09:56.240 --> 10:01.140]  Yeah, I think that cheese is more in like the chili cheese dog territory.
[10:01.440 --> 10:04.740]  And that just becomes, that's like a different food altogether.
[10:07.160 --> 10:07.960]  I guess...
[10:09.280 --> 10:12.320]  Here's the dilemma that I kind of, in my head, I'm now facing with this.
[10:12.320 --> 10:17.340]  I love ketchup, but I'm okay with just mustard on a dog.
[10:17.480 --> 10:23.840]  However, it feels kind of insane for us to say the regulation hot dog is a plain hot dog with just mustard on it.
[10:24.200 --> 10:26.580]  Which is what we're currently proposing.
[10:26.760 --> 10:31.120]  Honestly, honestly, what I would propose is the regulation hot dog is just a hot dog on a bun.
[10:31.760 --> 10:32.520]  That's what I think.
[10:32.560 --> 10:33.620]  Just a plain hot dog?
[10:33.920 --> 10:34.360]  Yes.
[10:34.680 --> 10:35.860]  No one surely has that.
[10:35.860 --> 10:38.820]  Oh, I don't mind a plain hot dog. I'll have a plain dog.
[10:39.380 --> 10:40.480]  On a bun?
[10:40.480 --> 10:43.920]  Oh, I'll eat nine plain hot dogs. Yeah, I don't give a shit.
[10:44.100 --> 10:44.780]  Come on.
[10:44.980 --> 10:45.100]  Yeah!
[10:45.660 --> 10:48.840]  Oh, you gotta get the real flavor of the bread and the meat.
[10:50.440 --> 10:52.060]  The flavor of the bread.
[10:52.060 --> 10:57.220]  I gotta taste the pigeon beak and raccoon feet. Otherwise, what am I doing here, Gavin?
[10:58.140 --> 11:01.240]  This is raccoon 1989, I believe.
[11:02.100 --> 11:03.560]  A slight hazelnut.
[11:03.980 --> 11:04.740]  This is insane.
[11:05.220 --> 11:09.300]  I think you're gonna make the regulation hot dog on a bun.
[11:11.140 --> 11:13.620]  There's already this cream of ketchup and mustard.
[11:14.760 --> 11:20.360]  Well, the problem is, I'm thinking about the other guys. I think Nick hates ketchup, doesn't he? Or Geoff hates ketchup. So one of them hates ketchup.
[11:20.760 --> 11:21.520]  You know, I don't know.
[11:21.640 --> 11:22.980]  I think one of them hates ketchup.
[11:23.200 --> 11:28.040]  I feel like even if you hate ketchup, though, it doesn't... a dog, you can plow through it. It's not a dog.
[11:28.540 --> 11:30.140]  Yeah, listen, I'm all for it.
[11:30.480 --> 11:34.480]  Again, I'm fine with acquiescing. I'm totally fine with it.
[11:34.480 --> 11:43.100]  So, it sounds like we're in agreement that the regulation dog is not necessarily French's mustard, which is, I feel, what most people would say.
[11:43.420 --> 11:55.220]  But a mustard of some kind, ketchup of your choice, and then just a basic white... no bacon, no cheese, just dog, ketchup, mustard.
[11:55.640 --> 12:05.800]  I think that's what it has to be. I think that's what... I think people would argue that a relish belongs on there, but I'll stand on that hill and say, no, I don't think so.
[12:06.800 --> 12:07.680]  I'm not for it.
[12:07.760 --> 12:09.640]  I don't like relish. Yeah, no problem.
[12:09.980 --> 12:14.460]  Yeah, I think it's this. I just sent a picture of... that's hot dogs.
[12:14.880 --> 12:16.940]  I like that that's relish, but they don't use it yet.
[12:17.000 --> 12:20.840]  Yeah, absolutely. There also appears to be onions, so, you know.
[12:20.840 --> 12:26.320]  I like that we're in agreement, just before we move off of hot dogs to lock in this regulation dog.
[12:26.880 --> 12:32.240]  Do you get artistic when you do the condiment thing? I never... the lines and all that, I'm not one of those guys.
[12:32.680 --> 12:37.980]  No, I put it down the side of the dog in the bun, so that way it's not splashing all over the place.
[12:38.840 --> 12:41.200]  What about you, Gavin? You a little condiment artist?
[12:41.200 --> 12:43.720]  I do it pretty similarly to the picture there.
[12:44.000 --> 12:48.620]  But usually I'm doing, you know, two or three at a time, because I don't want to go up to the counter twice.
[12:48.620 --> 12:49.800]  Yeah, yeah.
[12:49.900 --> 12:53.220]  So my first one is usually the nicest, and then I'm getting pretty messy on the third one.
[12:54.560 --> 12:57.880]  But we did it! We established the regulation dog.
[12:58.120 --> 13:01.620]  But hang on, before we go, I just proposed this. Look at these.
[13:01.960 --> 13:05.600]  Listen, Eric, I'm with you. I love it. Just a plain ass...
[13:05.600 --> 13:12.560]  Here's just... here's just like... here's just eight dogs. Just eight hot dogs, nothing on them.
[13:13.380 --> 13:15.740]  You couldn't put those out with nothing else.
[13:15.740 --> 13:20.100]  People would be like... people would pick up the bun and the dog and start looking around.
[13:20.320 --> 13:22.420]  They'd be like, where's the... where's the station?
[13:22.600 --> 13:29.120]  Imagine Eric, you and I just sitting down, chowing down on some plain dogs, and Gavin's just looking at us like we're psychos.
[13:29.320 --> 13:31.200]  I could easily eat three of those things.
[13:31.740 --> 13:35.960]  Oh, absolutely, no doubt. No doubt. Yeah, we're just eating plain dogs, baby.
[13:36.100 --> 13:37.280]  Unphased. Just having some dogs.
[13:40.180 --> 13:40.560]  Okay.
[13:40.820 --> 13:44.320]  I have a... I just thought of a game, actually, before we move fully onto the dog.
[13:44.320 --> 13:44.940]  Oh, okay, cool.
[13:45.300 --> 13:47.820]  I want your opinion on... on my game.
[13:48.000 --> 13:48.360]  Okay.
[13:48.720 --> 13:49.060]  Pictures.
[13:49.300 --> 13:49.520]  Okay.
[13:49.820 --> 13:55.560]  What if we did a game where you make... you make four dogs, right?
[13:55.660 --> 13:56.000]  Okay.
[13:56.180 --> 14:04.960]  And you take a picture that's sliced like this, but one... and then you present five pictures.
[14:05.220 --> 14:07.700]  Four of them are dogs, and one is my penis.
[14:07.980 --> 14:11.300]  Okay, I don't want to play this... I don't want to play this game at all.
[14:11.300 --> 14:15.580]  I don't want to play... I don't... I don't want to play this game.
[14:15.980 --> 14:24.120]  It's going to be... because they're all going to look professionally lit like this, except the one that you used the flash on in your bathroom.
[14:27.200 --> 14:28.260]  Oh, my God.
[14:29.040 --> 14:32.200]  Oh, it's just like a dark room. It's like white, white, white, dark.
[14:36.180 --> 14:38.460]  What's wrong with the color of this hot dog?
[14:38.460 --> 14:42.760]  Would you put ketchup on your dick for the photo, Gavin? Like, to what extent?
[14:44.140 --> 14:46.220]  I'd make them all match, for sure.
[14:46.560 --> 14:50.120]  Oh, man, that's a terrible game.
[14:50.640 --> 14:52.660]  You fucked up my algorithm, by the way.
[14:52.720 --> 14:59.340]  I got a TikTok the other day from a woman who runs a glory hole business talking about how she set it up.
[14:59.640 --> 14:59.920]  What?
[15:00.140 --> 15:04.400]  And it has like... it had like 200 likes. Like, it was not...
[15:04.400 --> 15:05.140]  No way.
[15:05.140 --> 15:11.040]  Yeah, it was the whole thing. I watched it just completely curious of what even is this world.
[15:11.280 --> 15:15.140]  But you're fucking up my algorithm, you just keep making it worse.
[15:16.700 --> 15:22.160]  That's dogs. Regulation dog. Ketchup, mustard, bun, basic. Basic dog, essentially.
[15:22.460 --> 15:23.940]  We're in agreement. Nothing fancy.
[15:25.000 --> 15:27.560]  We have a few things we could go from here.
[15:28.180 --> 15:29.520]  What about we do French fry cut?
[15:30.080 --> 15:34.620]  There's a lot of food on this one, but it's the main thing I could think of a variety of.
[15:34.620 --> 15:36.880]  What about fry? What is the regulation fry?
[15:37.500 --> 15:39.320]  I feel like curly is too fancy.
[15:39.720 --> 15:46.160]  Yeah, I'm particular. I'll eat any French fry, but I'm particular about which fry that I like.
[15:46.260 --> 15:48.020]  Like, which one I enjoy the most.
[15:48.460 --> 15:52.060]  And to me, it is the standard McDonald's cut French fry.
[15:52.360 --> 15:55.980]  The thin, long, and crispy French fry.
[15:56.280 --> 16:00.020]  That, to me, that's the French fry.
[16:00.240 --> 16:03.340]  When I think of French fry, it's that.
[16:03.340 --> 16:05.240]  It's not a wedge cut. It's not curly.
[16:05.580 --> 16:09.100]  It's the standard idea of a French fry.
[16:11.100 --> 16:12.200]  The only criticism...
[16:12.200 --> 16:12.840]  Yeah, I'd choose that.
[16:13.300 --> 16:14.240]  Yeah, right, exactly.
[16:14.700 --> 16:15.020]  It's exactly that.
[16:15.020 --> 16:15.740]  Is it the same thing, Gavin?
[16:16.420 --> 16:18.400]  Yeah, pretty much. Maybe less pale.
[16:20.460 --> 16:21.760]  Right, right, right, right.
[16:21.780 --> 16:26.880]  My only criticism with those fries is because of how small they are, it's really tough.
[16:26.880 --> 16:33.760]  There's a sweet spot with, like, a crinkle cut or a larger fry where it is extremely crispy but still fluffy.
[16:34.200 --> 16:38.600]  Those fries, they're either crunchy or soft.
[16:39.060 --> 16:40.100]  There's no, like, in-between.
[16:40.100 --> 16:42.040]  Yeah, you can get some real limp dick ones in those.
[16:42.040 --> 16:44.560]  Yeah, it's either limp dick or, like, it's a crunch.
[16:45.320 --> 16:47.040]  But the thing is, I love those.
[16:47.500 --> 16:51.900]  I love the limp ones. I love the crunch ones. I love...
[16:52.720 --> 16:56.640]  That cut of french fry, I don't care what it is, I'll shovel them.
[16:57.060 --> 17:00.200]  Like, I'll make a... Dude, I'll have, like, french fry dinner. I don't give a shit.
[17:00.380 --> 17:05.760]  Like, I just want to eat handfuls of them. I love them so much. I love that cut.
[17:05.960 --> 17:14.580]  The one I can't stand, the one that I think is a disgrace, is the larger, not-too-big wedge cut.
[17:14.720 --> 17:21.020]  Like, go bigger or go smaller because the wedge cut ones there are awful.
[17:21.020 --> 17:26.940]  It's just like... Here's about a sixth of a potato.
[17:27.320 --> 17:31.140]  Yes. That's like an English pub chip. That's great.
[17:31.920 --> 17:38.420]  But that's not what I want. Like, if I get french fries at a restaurant, yeah, if I get french fries at a restaurant and it's those, I'm disappointed.
[17:38.940 --> 17:42.220]  It just depends to me. There's a huge variance in the wedge fry.
[17:42.900 --> 17:46.140]  You need to have a fantastic wedge fry for me to like it.
[17:46.140 --> 17:46.460]  I agree.
[17:46.460 --> 17:51.980]  But they exist. It's just hard. I find a lot of wedge fries aren't cooked enough to my liking.
[17:52.160 --> 17:52.920]  No, I agree.
[17:53.040 --> 17:58.180]  To kind of be raw a little bit, it feels like. I want more of a crunch in it, but there are...
[17:58.180 --> 18:03.960]  I've had wedge fries that are fantastic, but you got to know, like, it's not...
[18:03.960 --> 18:10.640]  The smaller cut fry that you suggested, I feel like, is a much higher rate of consistently good fry.
[18:10.640 --> 18:18.360]  As opposed to the wedge may go higher for me, but it is much more likely to fail miserably and be a not good experience.
[18:18.960 --> 18:23.140]  You're a fan of the English less than, but you suggested the smaller one.
[18:23.660 --> 18:27.920]  So even you are more of a fan of that, or are you now just thinking about the English style pub?
[18:28.500 --> 18:31.800]  I mean, in a pub, it wouldn't be a regulation fry. It would be a pub fry.
[18:32.200 --> 18:32.600]  Right.
[18:32.700 --> 18:33.240]  It'd be a chip.
[18:34.460 --> 18:37.560]  So you think that the small fry couldn't exist in every environment?
[18:38.960 --> 18:39.360]  Uh...
[18:39.360 --> 18:41.380]  I feel like if we're setting a regulation...
[18:41.380 --> 18:45.860]  Like with a steak, would you want normal little chips, or would you want some thickies?
[18:46.080 --> 18:55.700]  I want normal chips all the time. But with a steak, I don't anticipate there going to be a regular thin cut fry.
[18:55.820 --> 19:00.200]  I assume I'm going to get a large wedge to substitute for what the potato is doing.
[19:00.720 --> 19:05.900]  Yeah, and you need some... sometimes if you've got gravy going on, or sauce, you need some soakage.
[19:06.720 --> 19:07.160]  Yeah.
[19:07.160 --> 19:10.300]  And you don't want just really wet, thin fry.
[19:10.440 --> 19:13.520]  I will say, the McDonald's poutine can it up pretty good.
[19:13.860 --> 19:14.300]  Oh yeah?
[19:14.300 --> 19:16.400]  And that is a gravy situation with that fry.
[19:16.580 --> 19:16.840]  Wow.
[19:17.580 --> 19:18.040]  Would recommend.
[19:18.460 --> 19:20.620]  Never thought to get McDonald's poutine.
[19:21.140 --> 19:23.020]  Yeah, I think it's a pretty regional item.
[19:23.580 --> 19:23.740]  Yeah.
[19:23.940 --> 19:26.800]  So you think, Eric, that that's the worst fry, like the thick one?
[19:26.800 --> 19:31.520]  Uh, it's the one... it's more the one that I sent than what you sent.
[19:31.720 --> 19:39.920]  Like, the difference to me is that those, like, pub chip, pub fries, whatever, like the ones that you sent,
[19:40.480 --> 19:44.060]  seem like they're fried pretty well and they have, like, some structure.
[19:44.820 --> 19:47.240]  The ones that I sent is what Andrew's talking about.
[19:47.420 --> 19:50.740]  They're pale, they're almost like an undercooked thing.
