[00:00.000 --> 00:01.260]  Is my line fatter?
[01:15.900 --> 01:16.380]  I said that.
[01:16.560 --> 01:17.180]  I figured that was happening.
[01:17.420 --> 01:17.540]  Yeah.
[01:17.540 --> 01:18.100]  I said that.
[01:18.440 --> 01:18.840]  Yeah.
[01:18.920 --> 01:20.100]  Andrew predicted correctly.
[01:20.460 --> 01:20.520]  Yeah.
[01:20.720 --> 01:20.940]  Yeah.
[01:20.980 --> 01:21.080]  Yeah.
[01:21.180 --> 01:21.560]  Yeah.
[01:21.720 --> 01:21.820]  Yeah.
[01:21.940 --> 01:25.200]  I think that was a reasonable episode to come into.
[01:25.560 --> 01:28.620]  I've been adding to a list of places that you lost to.
[01:31.680 --> 01:40.000]  Including White Chocolates for Arseholes, Monkey Movies are Good, and Wiping Standing Up.
[01:40.500 --> 01:44.580]  Monkey Movies are Good is, is just a, that's a, she's wrong about that one.
[01:45.020 --> 01:45.940]  Not being good.
[01:46.460 --> 01:47.340]  Monkey Movies are great.
[01:47.840 --> 01:48.060]  Yeah.
[01:48.120 --> 01:49.680]  I remember Project X with Matthew Broderick.
[01:49.720 --> 01:50.240]  That was a great film.
[01:50.560 --> 01:55.900]  She was also really excited to listen to, uh, watch a lot of Dunstan Checks In.
[01:56.020 --> 01:58.420]  And then I had to break the news that we never actually did that.
[01:58.420 --> 02:00.320]  Oh, we didn't?
[02:00.600 --> 02:01.720]  It's so funny.
[02:02.420 --> 02:10.100]  Yeah, I was, I was talking to Meg over the weekend and I asked her if she could just keep a list of all the things we said we were going to do that we never did for us.
[02:11.420 --> 02:13.000]  Maybe revisit it at some point.
[02:15.240 --> 02:17.360]  The Planet of the Apes movies alone, I mean.
[02:17.960 --> 02:18.680]  Space Chimps.
[02:19.060 --> 02:19.280]  Those don't count.
[02:19.840 --> 02:20.440]  Those don't count.
[02:20.580 --> 02:22.380]  What do you mean the Planet of the Apes movies don't count?
[02:22.480 --> 02:23.940]  They're the most monkey movies ever.
[02:23.940 --> 02:31.840]  Of all, of all the stuff that she said that she doesn't sympathize with you about or whatever, like she had like a change of heart.
[02:32.020 --> 02:34.860]  The monkey movie is the thing that's like really tripping you up, man.
[02:34.860 --> 02:36.540]  Well, because I think it's the worst take.
[02:36.940 --> 02:41.440]  I think my other takes I could see, not liking monkey movies, it's crazy.
[02:43.740 --> 02:45.420]  That is the hill I will die on.
[02:46.080 --> 02:46.700]  MVP 2.
[02:47.060 --> 02:48.480]  The MVP 2 alone.
[02:49.260 --> 02:50.480]  Forget Dunstan Checks In.
[02:50.960 --> 02:52.000]  That's the watch alone.
[02:52.620 --> 02:53.260]  Classic film.
[02:53.260 --> 02:56.160]  What was the Amy Wants Raindrop Drink movie?
[02:56.500 --> 02:58.580]  That was with the white gorillas.
[02:59.380 --> 02:59.900]  Congo!
[03:01.420 --> 03:02.440]  Yeah, that was a good one too.
[03:02.560 --> 03:03.500]  I never saw that one.
[03:05.260 --> 03:11.700]  Amy was the gorilla and she drank martinis to calm down on stressful flights because she wasn't a good flyer.
[03:12.600 --> 03:14.220]  She called it a raindrop drink.
[03:15.560 --> 03:17.460]  Because she could do sign language.
[03:18.520 --> 03:19.240]  My audio.
[03:20.660 --> 03:21.540]  What happened?
[03:21.540 --> 03:24.120]  I think my computer is pulling apart.
[03:26.020 --> 03:28.980]  But we did a whole thing about how you said everything was fine.
[03:29.140 --> 03:32.180]  So now I don't think that was in the episode.
[03:32.400 --> 03:33.880]  I feel like we probably didn't include all of that.
[03:33.940 --> 03:36.060]  It has to be now.
[03:36.680 --> 03:37.720]  Yeah, good job Gavin.
[03:37.900 --> 03:39.260]  We begged him.
[03:39.260 --> 03:39.540]  Right?
[03:39.880 --> 03:40.560]  We begged him.
[03:40.780 --> 03:44.080]  And Gavin is the most technically adept of all of us.
[03:44.080 --> 03:48.000]  Especially after Mario Party March today.
[03:48.500 --> 03:51.720]  And how long we had to spend on Andrew's god damn computer.
[03:54.260 --> 04:02.660]  It's been weird too because Andrew's computer has gotten progressively worse every day for about 4 days.
[04:03.420 --> 04:04.940]  I thought yesterday was the worst.
[04:05.100 --> 04:07.060]  But today, he just wasn't there.
[04:07.580 --> 04:08.300]  Just wasn't working.
[04:08.720 --> 04:10.300]  Things are just getting worse every day.
[04:10.440 --> 04:11.900]  And then for Gavin on top of it.
[04:11.900 --> 04:19.060]  I still think it's crazy that you reformatted it in the middle of the week on day 21 of Mario Party.
[04:19.080 --> 04:22.140]  Because my computer kept bluescreening constantly.
[04:22.880 --> 04:23.720]  Test, test, test.
[04:24.680 --> 04:26.700]  Hey look, he's back.
[04:33.480 --> 04:34.600]  Sounds fine.
[04:35.080 --> 04:37.120]  It crashed for a completely different problem.
[04:37.640 --> 04:38.680]  Oh, what was your problem?
[04:38.680 --> 04:43.440]  It said there's too much shit open on my computer so it dropped out.
[04:43.580 --> 04:46.260]  And there's nothing else open apart from Discord and Audacity.
[04:46.880 --> 04:49.660]  Could it be the million of files that you have saved?
[04:49.740 --> 04:50.940]  All the files you keep?
[04:51.080 --> 04:52.700]  All the things you like to store?
[04:53.260 --> 04:54.700]  You think I store them on my computer?
[04:55.380 --> 04:57.040]  Oh, you're storing them somewhere.
[04:57.640 --> 04:59.120]  Yeah, on different drives.
[04:59.840 --> 05:00.140]  Okay.
[05:01.400 --> 05:06.000]  You're storing them... I know you got them just squirreled away, man.
[05:06.120 --> 05:06.540]  I do!
[05:07.060 --> 05:08.440]  Gavin's a big file guy.
[05:08.440 --> 05:10.880]  He loves storing them files.
[05:11.140 --> 05:14.260]  Well, here's a secret. You should also be a big file guy.
[05:14.600 --> 05:16.200]  Nah, don't need it.
[05:16.220 --> 05:17.500]  You should also have all the files you've made.
[05:18.100 --> 05:18.980]  Don't need it.
[05:19.020 --> 05:21.980]  We literally needed it for F*** Face Season 1 and 2.
[05:22.440 --> 05:26.120]  Well, yeah, because the company we worked for got shut down.
[05:26.580 --> 05:28.840]  You think we're gonna get shut down and then start over?
[05:29.060 --> 05:32.340]  If we get shut down, there's no starting over at this point.
[05:32.360 --> 05:34.520]  What's it got to do with getting shut down? They were your files!
[05:35.080 --> 05:37.420]  Because we lost the things.
[05:37.980 --> 05:39.940]  We lost the ability. We had to make a new feed.
[05:40.080 --> 05:41.740]  So we needed these files.
[05:41.900 --> 05:43.540]  We're not gonna need a new feed again.
[05:43.800 --> 05:44.760]  Don't need the files.
[05:45.980 --> 05:47.680]  The files were on my computer.
[05:48.160 --> 05:53.040]  Okay, what's the difference between this and you not wanting to do a f***ing 5 count at the end?
[05:53.140 --> 05:54.360]  It's the same logic.
[05:54.760 --> 05:57.260]  It's a case of an insane scenario.
[05:58.460 --> 05:59.740]  One serves no purpose whatsoever.
[06:00.180 --> 06:01.860]  Yours serves no purpose whatsoever!
[06:02.000 --> 06:04.060]  If we lose this, we're done!
[06:05.100 --> 06:10.520]  Why is it when we stop recording, don't we spin around three times in our chair and do a little fart?
[06:10.680 --> 06:13.660]  Because it's pointless. It doesn't help the process in any way.
[06:14.220 --> 06:19.920]  You say that, but if that was a file, you would back that f***ing thing up until the end of time.
[06:19.940 --> 06:22.520]  What do you mean if it was a file? What does that even mean if it was a file?
[06:22.600 --> 06:29.300]  If it was a file, if it was something you could save, if it was something that was saveable, you would save that shit until D-Day.
[06:29.600 --> 06:31.840]  Or T-Day. Or whenever the Terminators come.
[06:31.840 --> 06:34.340]  It's not D-Day. D-Day was a different thing.
[06:34.980 --> 06:36.280]  When would... E-Day!
[06:37.080 --> 06:39.040]  That gear's a war! God damn it!
[06:40.160 --> 06:42.520]  One of the days that has a letter in it!
[06:42.820 --> 06:45.940]  While we're arguing... I need to think again at the end, Nick, by the way.
[06:46.080 --> 06:47.100]  While we're arguing...
[06:48.060 --> 06:53.180]  The whole Worms debate of how I knew it was a six-player game...
[06:53.180 --> 06:54.020]  Uh-huh.
[06:55.380 --> 06:55.960]  Go ahead.
[06:57.260 --> 06:59.080]  Was that a serious argument?
[06:59.620 --> 07:00.480]  Of course it was!
[07:00.480 --> 07:01.680]  What do you mean?
[07:02.140 --> 07:05.300]  Calm down. You don't understand the argument.
[07:05.760 --> 07:11.620]  The argument was that it's wild that you never brought up in a scenario in which we were sitting people out that we could all play.
[07:12.300 --> 07:15.940]  Not that... I think we take responsibility for not knowing.
[07:16.420 --> 07:17.540]  We should have known then.
[07:18.040 --> 07:22.620]  But it is wild that you never articulated that at any point.
[07:22.620 --> 07:23.060]  Correct. And I'll tell you why.
[07:23.380 --> 07:23.780]  No it isn't.
[07:23.780 --> 07:29.440]  The first time when we started, when we took over the Let's Play channel, right?
[07:30.260 --> 07:33.000]  It was Geoff, Andrew, Gavin doing stuff.
[07:34.640 --> 07:38.100]  We needed a fourth just to get someone in for Worms.
[07:38.240 --> 07:40.720]  And then Nick and Gracie didn't play.
[07:41.460 --> 07:41.800]  Why not?
[07:43.180 --> 07:44.900]  Didn't need that many people.
[07:45.720 --> 07:46.460]  I don't...
[07:46.460 --> 07:48.200]  What? Hang on. Wait, wait, wait.
[07:48.560 --> 07:50.880]  Are you saying that Nick was not part of...
[07:50.880 --> 07:53.400]  Andrew, Andrew, I want Gavin to keep going.
[07:53.400 --> 07:57.060]  I need to know what comes next and what the fuck he's talking about.
[07:57.060 --> 07:58.500]  We didn't sit someone out.
[07:58.780 --> 08:01.380]  We needed someone to step in for the fourth.
[08:01.460 --> 08:03.160]  That's not true. Nick was part of it from the beginning.
[08:03.500 --> 08:04.640]  Eric was part of it from the beginning.
[08:05.580 --> 08:09.020]  There's a video, just Nick and I doing Texas Chainsaw Massacre together.
[08:09.220 --> 08:09.780]  Just him and I.
[08:10.720 --> 08:13.600]  The first video of the new channel was Worms.
[08:14.080 --> 08:18.220]  Well, the first video of the new channel was a Halo 2 thing that you and I did that you never put out.
[08:19.540 --> 08:20.600]  That wasn't the first video.
[08:21.300 --> 08:23.340]  The whole point is it started us...
[08:23.340 --> 08:24.560]  It started us, the three of us...
[08:24.560 --> 08:25.840]  It was one of the first recorded ones.
[08:26.000 --> 08:28.080]  It started us, the three of us playing Worms.
[08:28.140 --> 08:29.920]  We needed four because three is slightly too many.
[08:30.420 --> 08:32.640]  Eric stepped in. Nick was fine sitting out.
[08:32.820 --> 08:34.300]  Gracie was fine sitting out, right?
[08:35.340 --> 08:37.520]  The next game of Worms, I wasn't there.
[08:37.920 --> 08:38.860]  So it was everyone else.
[08:39.240 --> 08:39.680]  Four again.
[08:41.200 --> 08:42.000]  They're definitely...
[08:42.000 --> 08:46.220]  Geoff knew that there were five people in Worms because he's been in a five-player Worms.
[08:46.260 --> 08:50.300]  So, there's no proof that I have actually been in a five-player Worms.
[08:50.300 --> 08:53.660]  The five-player Worms that keeps getting brought up was Trevor on my account.
[08:53.800 --> 08:54.960]  That's been debunked clearly.
[08:54.980 --> 08:57.520]  There was a six-player Worms that Trevor was on your account.
[08:57.620 --> 09:02.200]  There was a five-player Worms where we were showing Fiona Worms.
[09:02.200 --> 09:03.940]  Okay, well, you know what?
[09:04.020 --> 09:10.480]  I'll concede that I may have at one point in my life played one five-player game of Worms
[09:10.480 --> 09:15.260]  across the hundred thousand hours of video games that I played professionally,
[09:15.560 --> 09:20.060]  sometimes six to, I don't know, ten hours a day, five to six days a week for...
[09:20.060 --> 09:21.840]  Oh, about two decades.
[09:23.160 --> 09:27.020]  And then I left about four or five years before you did,
[09:27.100 --> 09:30.100]  and you continued to be in multiple six-player Worms videos.
[09:30.400 --> 09:32.260]  But that's not even really what I want to talk about.
[09:32.320 --> 09:35.260]  What I wanted to step in and say, I think this is a...
[09:35.260 --> 09:41.340]  Guys, if everybody takes a step back, take a 10,000-foot view of what just happened,
[09:41.800 --> 09:46.960]  this was a superb act of deflection and gaslighting by Gavin
[09:46.960 --> 09:52.580]  to take us so far down the road, so far off the path of the original issue,
[09:52.760 --> 09:56.240]  which is that Gavin refused to fix his fucking computer problem
[09:56.240 --> 09:58.060]  before we started recording.
[09:58.420 --> 10:02.460]  And we begged, we literally on, and you're going to hear it because we recorded it,
[10:02.600 --> 10:05.180]  begged him to do it. Then his computer crashed.
[10:05.280 --> 10:08.980]  Then, in the height of Gavin being at the wrongest of the wrong,
[10:09.200 --> 10:14.820]  he somehow flipped the script and is arguing a Worms issue from five fucking videos ago.
[10:14.820 --> 10:18.360]  Oh, I just figured while we were arguing, I would argue about the thing I wanted to argue about.
[10:18.660 --> 10:21.940]  We could go back to me and my computer if you want, but just know this.
[10:24.440 --> 10:29.400]  At no point in any of the videos I was in were we scrambling to fit a fifth person in.
[10:30.160 --> 10:34.300]  The only thing that's interesting is Gavin likes to keep every file, but he doesn't like to upload them.
[10:34.840 --> 10:36.040]  That's what I think is interesting.
[10:36.500 --> 10:36.900]  Yeah?
[10:37.840 --> 10:41.460]  Oh, because I uploaded all my Mario Party files this week,
[10:41.460 --> 10:49.120]  but you uploaded an audio file that was just the game music instead of your voice.
[10:49.360 --> 10:50.280]  I did? Today?
[10:51.340 --> 10:52.160]  What was that about?
[10:52.260 --> 10:54.900]  Today? I don't even know what you're talking about.
[10:55.020 --> 10:57.880]  Didn't we have to use Craig a few turns ago?
[10:58.260 --> 11:01.520]  Oh yeah, but that's because my computer is failing, as we established.
[11:05.040 --> 11:11.620]  I feel like what we can really point at and look at here is that all of the problems are Andrew and Gavin
[11:11.620 --> 11:15.980]  and Nick and Eric and I are sitting back with our feet up, clean as can be.
[11:16.180 --> 11:20.760]  Yeah, I got no problem not being the problem. That's never been an issue for me.
[11:21.060 --> 11:25.020]  We had to mute you in a video this week because your mixer wasn't working.
[11:25.620 --> 11:27.760]  Oh, that is true.
[11:29.460 --> 11:30.620]  You turned into a robot.
[11:30.660 --> 11:31.500]  There you go. That's true.
[11:31.500 --> 11:37.580]  So far, Mario Party March has been the third time I've ever been late to anything for this entire company
[11:37.580 --> 11:39.400]  and the first time I've had an audio issue.
[11:39.680 --> 11:41.220]  So, you know, there you have it.
[11:41.440 --> 11:43.560]  Also, Eric, you're not the only one who's been late.
[11:43.740 --> 11:45.440]  Nick is... Eric? What? Who?
[11:45.760 --> 11:46.760]  Gavin? What? Geoff?
[11:47.140 --> 11:48.040]  I was late.
[11:48.160 --> 11:53.420]  I was late and also Andrew was late, so you're in good company.
[11:53.560 --> 11:58.180]  I've seen people fumble their way through names before getting to the correct one, but never for their own names.
[11:58.240 --> 12:00.400]  That was Geoff. Whoa, dude.
[12:00.400 --> 12:02.860]  I couldn't get to Andrew, so I had to go to me.
[12:04.100 --> 12:08.540]  Geoff was so busy pointing fingers everywhere else, they couldn't get him to come back around.
[12:12.380 --> 12:13.720]  I can be done arguing.
[12:14.800 --> 12:15.400]  Yeah, I'm good.
[12:16.680 --> 12:19.300]  How do I know if I'm gatekeeping information?
[12:22.580 --> 12:25.960]  Because all of the things that I know are the things that I know.
[12:26.080 --> 12:27.920]  How do I know what you don't know?
[12:28.580 --> 12:29.080]  Ask us?
[12:29.500 --> 12:34.280]  You were in videos, you've been in content with worms in which we sat people out.
[12:34.440 --> 12:35.580]  And you didn't...
[12:35.580 --> 12:36.560]  The first one!
[12:36.580 --> 12:39.800]  The first one wasn't sitting anyone out, it was bringing in a fourth.
[12:40.100 --> 12:40.680]  No, no, no, no, no.
[12:41.040 --> 12:44.600]  You talked about how Nick and Gracie sat out.
[12:45.100 --> 12:45.900]  You said those words.
[12:46.300 --> 12:47.900]  You were also sitting out.
[12:48.080 --> 12:51.800]  You were sitting out too until we said we need a fourth and you said, I'll do it.
[12:52.400 --> 12:53.040]  We could have had a sixth.
[12:54.540 --> 12:55.180]  We could have.
[12:55.560 --> 12:58.680]  Were we going to put Gracie in worms? She never played it.
[12:59.860 --> 13:00.760]  Neither did Eric.
[13:00.900 --> 13:02.500]  I had never played worms.
[13:03.080 --> 13:03.680]  Neither had I.
[13:03.800 --> 13:04.780]  Nick had never played it.
[13:05.120 --> 13:06.740]  Well, I think that was the argument. No one's played it.
[13:06.800 --> 13:08.740]  So we just needed one person to step up.
[13:08.760 --> 13:09.580]  What argument are you making?
[13:11.060 --> 13:14.080]  The argument was we weren't trying to squeeze six in.
[13:14.140 --> 13:15.580]  We were trying to get four.
[13:16.220 --> 13:18.240]  Geoff, what is he deflecting from now?
[13:18.520 --> 13:19.520]  I don't know, man.
[13:19.700 --> 13:24.780]  This is like in the old days when Sal the stockbroker would call two Chinese food restaurants
[13:24.780 --> 13:27.500]  and have them talk on the phone and try to place orders with each other.
[13:27.500 --> 13:30.940]  And you just can't follow the logic of what's being said.
[13:31.120 --> 13:31.880]  I have no idea.
[13:31.960 --> 13:35.040]  I feel like Gavin's arguing against himself and for himself at the same time.
[13:35.100 --> 13:37.160]  How am I supposed to know what you don't know?
[13:37.620 --> 13:39.500]  That's my overall point.
[13:40.340 --> 13:46.980]  My point is that it's just you've been in videos in which we reduce the four where we didn't need to.
[13:47.400 --> 13:51.560]  When we started regulation, the regulation, I think the first worm stuff we did...
[13:51.560 --> 13:52.000]  Nick, can you say the first one?
[13:52.380 --> 13:54.640]  That we didn't do that in the first one.
[13:55.280 --> 13:56.920]  You're talking Let's Play.
[13:57.440 --> 13:59.700]  I'm talking when we started regulation gameplay.
[14:03.520 --> 14:06.000]  He said okay so fast.
[14:06.740 --> 14:09.540]  This is like talking to Nick at 100% eat.
[14:10.040 --> 14:11.140]  This is insane.
[14:11.620 --> 14:12.720]  I'm pretty sure.
[14:13.160 --> 14:17.000]  And I haven't gone back and checked because this was almost a year ago.
[14:17.260 --> 14:21.460]  But when we're recording the first worms content for this channel,
[14:21.600 --> 14:23.900]  I'm pretty sure we only had four people
[14:23.900 --> 14:28.400]  and we had one person swap out based on who died.
[14:28.580 --> 14:30.900]  There was definitely a system we made where it was either
[14:31.360 --> 14:35.160]  whoever was in last or whoever won had to swap out
[14:35.160 --> 14:36.320]  and you were in those videos.
[14:37.060 --> 14:40.320]  And it's odd that you never vocalized it then
[14:40.320 --> 14:42.220]  because you like to vocalize things.
[14:42.360 --> 14:43.660]  And I'm not saying that's a bad thing.
[14:43.840 --> 14:44.680]  It could be very helpful.
[14:45.340 --> 14:46.520]  It's a very good thing.
[14:46.720 --> 14:49.280]  When you provide me that video...
[14:49.280 --> 14:51.620]  No, I don't need to because I'm not the fucking...
[14:51.620 --> 14:53.300]  You need to prove your innocence.
[14:54.100 --> 14:55.820]  I'm not taking you to court.
[14:57.340 --> 14:58.540]  That's what we do on this show.
[14:58.660 --> 15:00.280]  The first thing we did was take each other to court.
[15:00.300 --> 15:05.220]  You seem to have loved to have gone through every inch of this fucking case
[15:05.220 --> 15:09.900]  outside of now where I've given you an area in which you could be wrong
[15:09.900 --> 15:11.340]  and then you're like, you go dig it up.
[15:11.580 --> 15:12.960]  No, you finish your investigation.
[15:13.960 --> 15:14.960]  But you're the prosecution.
[15:15.620 --> 15:17.040]  I don't care.
[15:17.340 --> 15:18.580]  This is your case.
[15:19.180 --> 15:20.820]  You're the one that's arguing this.
[15:20.820 --> 15:23.240]  I'm willing to say that we should have known.
[15:23.740 --> 15:25.500]  I've always said we should have known.
[15:25.920 --> 15:30.880]  It just was all so crazy that you never articulated it at that point.
[15:31.740 --> 15:32.680]  That's all I'm saying.
[15:34.300 --> 15:36.320]  And if you want, we can...
[15:36.320 --> 15:39.280]  When you save these files, we can review this in 2046.
[15:39.900 --> 15:41.000]  If you want to go back.
[15:41.480 --> 15:42.280]  Well, that'll be our...
[15:42.280 --> 15:45.260]  That's after we bankrupt twice and we have to review this again.
[15:46.060 --> 15:49.580]  What would be the new name for Regulation Podcast if we bankrupt?
[15:49.580 --> 15:51.080]  Third time's a charm.
[15:52.180 --> 15:54.760]  I like third time's a charm a lot.
[15:54.940 --> 15:56.560]  That's a great name on the fly.
[15:58.060 --> 15:58.900]  Well, there you go.
[15:59.020 --> 16:00.840]  Let's fail here so we can succeed there.
[16:01.280 --> 16:02.020]  It's perfect.
[16:03.080 --> 16:05.860]  It's so awesome when these arguments happen.
[16:05.960 --> 16:07.240]  And again, I posted a slider.
[16:07.420 --> 16:09.120]  I'm at a 10. This episode's a 10 for me.
[16:09.180 --> 16:09.940]  I love it.
[16:10.100 --> 16:14.220]  This is Sal asking if he can stay the night at Howard's house.
[16:14.340 --> 16:15.100]  Good to me.
[16:16.520 --> 16:18.620]  To me, these arguments are all timers.
[16:18.620 --> 16:19.840]  I'm having a great time.
[16:19.980 --> 16:20.740]  I love this.
[16:21.080 --> 16:23.120]  I bet you after Meg listens to this one, she'll be on my side.
[16:23.500 --> 16:32.960]  What I love about this, though, is when Gavin asks a question, he's presented with the answer, and then he says yeah or okay.
[16:33.560 --> 16:36.700]  And then the argument keeps going.
[16:38.240 --> 16:40.020]  I just don't think I'm right.
[16:40.240 --> 16:40.280]  It's incredible.
[16:40.560 --> 16:45.380]  And for those who aren't on our gameplay stuff, this all came from playing a game of Worms.
[16:45.420 --> 16:46.340]  One person was sitting out.
[16:46.340 --> 16:47.780]  I said, everyone can play it.
[16:47.820 --> 16:48.560]  It's a five player game.
[16:48.820 --> 16:51.060]  And I got yelled at for about 20 minutes.
[16:51.460 --> 16:52.480]  Just because we didn't know.
[16:52.800 --> 16:56.440]  You got yelled at way more now.
[16:57.080 --> 16:59.900]  Or if you would have just opened your fucking mouth 40 years ago.
[16:59.980 --> 17:00.560]  Yep, that's it.
[17:00.560 --> 17:03.300]  I opened my mouth the first time I thought to open my mouth.
[17:04.760 --> 17:06.320]  Well, think better and faster.
[17:06.820 --> 17:11.560]  No, I think the argument is that it is wild that that was the first time in which you felt.
[17:12.300 --> 17:13.080]  Because we should have known.
[17:13.180 --> 17:13.540]  You're right.
[17:13.540 --> 17:16.040]  I agree with that aspect of it.
[17:16.060 --> 17:17.240]  We're all at fault.
[17:17.800 --> 17:25.060]  Apparently in my 40, almost 50 years of life, there was about a 27 minute window where I was aware of this too.
[17:25.180 --> 17:26.740]  I should have definitely remembered that.
[17:27.180 --> 17:30.920]  Geoff forgot that we were doing Mario Party March on date 19.
[17:30.920 --> 17:32.900]  He was at his computer.
[17:33.100 --> 17:34.340]  I was editing so long, right?
[17:34.880 --> 17:36.440]  And Gavin texted me.
[17:37.360 --> 17:41.420]  Oh yeah, because we were all sitting in there going, is Geoff okay? Where's Geoff?
[17:41.420 --> 17:43.380]  I text Geoff the word, where?
[17:43.700 --> 17:45.560]  And he replied, where what?
[17:45.880 --> 17:47.560]  And I replied, where you?
[17:53.400 --> 17:54.720]  And opened a different window.
[17:54.840 --> 17:57.540]  Mario Party March has been crazy.
[17:57.860 --> 17:59.560]  It has been so much fun.
[17:59.960 --> 18:02.780]  It's also been the worst because I'm so sick of waking up.
[18:02.860 --> 18:03.660]  It's been brutal.
[18:04.180 --> 18:06.940]  There's no break or relief.
[18:07.100 --> 18:08.280]  And it's constant.
[18:10.360 --> 18:15.180]  But when it goes against you, and boy has it gone against me.
[18:15.740 --> 18:17.320]  And has it gone against other people.
[18:18.220 --> 18:20.880]  You just spend all day thinking about it.
[18:21.440 --> 18:22.120]  Nick, is that true?
[18:22.660 --> 18:23.940]  I think about it from time to time.
[18:24.540 --> 18:26.320]  Like it just, you dwell on it.
[18:26.420 --> 18:31.900]  Because you can't, you know, if something bad happens typically in a Mario Party game, you just go on to the next turn.
[18:31.980 --> 18:35.060]  And you can immediately start work on digging out of that hole.
[18:35.060 --> 18:42.240]  But if you fuck up, and because we're doing it so early every morning, it's just your whole day.
[18:42.280 --> 18:44.860]  It's all you can think about.
[18:45.340 --> 18:47.940]  It's been such a fun way to play that game.
[18:48.300 --> 18:52.520]  That I also never want to do again, at least at that hour.
[18:53.100 --> 18:55.080]  No, no, we have to figure something else out.
[18:55.160 --> 19:01.780]  But at the same time, like, I just don't trust us throughout the day to like not have other things scheduled and whatever.
[19:01.780 --> 19:09.540]  But man, that early recording slot, what a jump start to your day.
[19:10.980 --> 19:12.060]  Like, wow.
[19:12.860 --> 19:15.380]  You're just going now. It's crazy.
[19:15.760 --> 19:22.140]  You guys don't like the idea I presented the other day where next year we do this again, but we do it twice, 9am and 9pm.
[19:22.560 --> 19:24.540]  Concurrent games running at the same time.
[19:24.680 --> 19:24.960]  No.
[19:25.700 --> 19:26.760]  Just double down.
[19:27.380 --> 19:29.520]  I really like the 9pm one.
[19:30.480 --> 19:32.080]  I'll sign up for that instantly.
[19:32.280 --> 19:36.480]  I told my wife that this morning and she said, that's too easy. You should have to do it at noon and midnight.
[19:36.620 --> 19:38.340]  And I was like, what the fuck are you talking about?
[19:38.340 --> 19:39.660]  I'm okay with that one too.
[19:40.060 --> 19:41.580]  You mean that one? Noon and midnight?
[19:41.940 --> 19:43.920]  You want to do one at...
[19:43.920 --> 19:44.240]  Okay.
[19:46.020 --> 19:48.040]  Hey, are you okay? Hey, Gavin, you okay, man?
[19:48.560 --> 19:51.500]  Well, I'm just trying to think of the time we did a podcast at the beginning of the end of the day.
[19:51.540 --> 19:52.720]  It was awful, wasn't it?
[19:53.000 --> 19:54.640]  It sucked.
[19:54.860 --> 19:56.320]  It sucked ass.
[19:56.320 --> 20:01.840]  It sounded like Gavin was about to share information and then thought better of it because he didn't want to get in trouble for sharing it.
[20:05.380 --> 20:07.820]  Oh, Christ.
[20:09.840 --> 20:12.280]  Thanks to Bear Mattress for supporting Regulation Podcast.
[20:12.520 --> 20:14.260]  Look, sleep is an important thing, right?
[20:14.320 --> 20:17.320]  And the way you sleep determines kind of how you go about your day.
[20:17.580 --> 20:20.340]  The first thing you're asking people, oh, how do you sleep? How do you sleep?
[20:20.340 --> 20:28.900]  I sleep great because with Bear Mattress, it helped me eliminate my problems at night with night sweats and back pain and hip pain and things like that.
