[00:01.220 --> 00:03.360]  Nick! Nick, it's happening!
[04:38.880 --> 04:44.700]  I screenshotted it. I had Eric send me an email a moment ago before we did this.
[04:45.360 --> 04:53.120]  I was complaining to my partner that when you get an email, and sometimes emails can be substantially long,
[04:54.460 --> 05:00.020]  that when you hit reply, everything goes away and you just see this.
[05:00.740 --> 05:07.840]  And then I would have to try to remember what it is that the person said and what I was replying to.
[05:08.100 --> 05:16.700]  So sometimes I would copy and paste emails and then drag them into my notes app so I could reflect.
[05:17.280 --> 05:22.720]  So I could see what was being said and reference it in writing my replies.
[05:23.260 --> 05:25.460]  You're not built for a corporate world.
[05:26.940 --> 05:31.160]  As I was making this complaint, they clicked those three dots.
[05:31.280 --> 05:37.140]  Oh, you mean the universal, something's been shortened for your convenience, let's expand it button?
[05:38.780 --> 05:42.240]  Typically, I'm not even going to try to defend it. I just didn't know. I never clicked it.
[05:42.760 --> 05:50.140]  It always bothered me. I'd have to go back and forth from my drafts to the email, or I would copy and paste it.
[05:50.660 --> 05:53.740]  And this has been a real game changer for me this past week.
[05:53.740 --> 05:57.700]  So you would paste it into the email?
[05:58.240 --> 06:12.820]  No, that would actually make even more sense. I would copy and paste the base email, take it to my notes app, post it as a note, and then write a reply in the notes app to the email, and then copy and paste my reply.
[06:13.320 --> 06:19.380]  When it comes to getting around these problems with your band-aid solutions, I think you're a genius.
[06:19.860 --> 06:22.060]  You get around every problem that faces you.
[06:22.060 --> 06:30.060]  However, do you not think that most people wouldn't do that? And there would clearly, surely be a simpler way.
[06:31.220 --> 06:35.940]  It once again is how my brain works is this is an issue. Oh, I solved it.
[06:36.020 --> 06:40.260]  Why would there be an issue for the entire planet? Why would that be there?
[06:40.800 --> 06:43.000]  I guess I just don't think about people in that way.
[06:43.440 --> 06:50.000]  You know what? I'll say this about Andrew and his approach to life. How old are you now, Andrew?
[06:50.600 --> 06:51.080]  30.
[06:51.080 --> 06:59.420]  Yeah, you're 30 years old. So much of the world is yet undiscovered to you in a way that most adults don't get to experience.
[06:59.620 --> 07:09.640]  It's kind of like how I refused to play PlayStation for like three entire PlayStations, and now I get to discover God of War and Uncharted and all of these games, and it's like a whole new world for me.
[07:09.940 --> 07:14.460]  That's you with just like life shit. And I bet that keeps you young.
[07:14.460 --> 07:21.540]  It was such an exciting moment to realize I could just reference the email within the email, like knowing how to do that.
[07:21.800 --> 07:22.900]  But of course you can.
[07:23.240 --> 07:32.400]  Here's the thing, I know that makes sense. For me, it's always like a justification of I've done something to this that I just don't, I don't understand.
[07:32.580 --> 07:42.120]  Or I've got a weird app, or there's just, I'm not thinking everyone is necessarily living the same scenario that I am, but I am living this scenario and how can I remedy this?
[07:42.120 --> 07:48.300]  Did you know that in a lot of email apps, if you select text and then hit reply, it just quotes that selected text?
[07:48.940 --> 07:50.980]  I don't even understand the words you just said.
[07:52.160 --> 07:53.920]  Let me open up my email app.
[07:55.280 --> 07:55.720]  Gmail.
[07:57.400 --> 08:00.160]  Okay, so I highlight it and then I hit reply.
[08:01.140 --> 08:01.420]  Yep.
[08:02.420 --> 08:03.060]  It did nothing.
[08:03.540 --> 08:05.280]  Why? You're in the browser, right?
[08:05.640 --> 08:06.920]  No, I'm on the phone app.
[08:07.380 --> 08:07.600]  Oh.
[08:08.920 --> 08:11.640]  I'm exclusively a phone app email guy.
[08:12.140 --> 08:14.100]  I don't think I ever use the browser.
[08:14.340 --> 08:19.340]  Is that because you can't log into what you called the posted stamp last time?
[08:20.040 --> 08:21.680]  The Safari postage stamp?
[08:22.420 --> 08:27.880]  Sometimes, well, no, it's just, if I need to check something, I'll Google Gmail and then I'll go through that way.
[08:28.140 --> 08:28.580]  What?
[08:29.280 --> 08:29.620]  Wait, what?
[08:30.060 --> 08:33.000]  You'll Google, hang on, you'll Google Gmail?
[08:34.000 --> 08:35.880]  Yeah, you Google Gmail to get to Gmail.
[08:36.460 --> 08:37.300]  Or you just go to Gmail.
[08:37.700 --> 08:39.240]  Geoff, Geoff, Geoff, help me.
[08:39.240 --> 08:39.560]  Geoff?
[08:39.560 --> 08:39.900]  Geoff.
[08:41.300 --> 08:42.820]  Geoff, Geoff, help.
[08:43.380 --> 08:43.840]  How do I?
[08:44.000 --> 08:46.980]  You can just, do you not...
[08:46.980 --> 08:49.100]  Oh, do I click the name? No?
[08:49.840 --> 08:51.100]  Wait, what's your browser?
[08:51.780 --> 08:52.940]  Chrome. I use Chrome.
[08:53.380 --> 08:55.040]  So you...
[08:57.180 --> 08:59.760]  So the address bar, the address bar, right?
[09:00.100 --> 09:00.320]  Right.
[09:00.700 --> 09:01.580]  That's Google.
[09:02.020 --> 09:02.240]  Yeah.
[09:03.060 --> 09:04.200]  Type Gmail in it.
[09:04.640 --> 09:05.060]  I do.
[09:05.800 --> 09:06.340]  .com?
[09:07.100 --> 09:08.100]  I just searched Gmail.
[09:09.320 --> 09:12.120]  And now I'm on the Google page.
[09:17.500 --> 09:18.840]  And then I click Gmail.
[09:19.380 --> 09:20.740]  I can't wait to do this supplemental.
[09:21.360 --> 09:24.480]  Yeah, we're doing a supplemental. I have notes of technical problems.
[09:24.820 --> 09:31.460]  That's a lot of, man, we can streamline your life in such dramatic ways.
[09:32.040 --> 09:37.420]  Andrew, what are you going to do with all your extra time? I bet I can free up at least an hour a day for you.
[09:37.420 --> 09:38.060]  Really?
[09:38.700 --> 09:39.560]  Yeah, what are you going to do with it?
[09:41.420 --> 09:43.220]  What do you never have time for?
[09:45.120 --> 09:49.160]  What do I never have time for? I'm pretty good at finding time for things.
[09:49.520 --> 09:53.880]  Do you have a thing where it's like, ah, I need a good chunk of time to do that, I haven't started it yet.
[09:56.220 --> 09:57.880]  I mean, a few of those, yeah.
[09:58.960 --> 10:02.240]  I mean, I hear good things about One Piece, but that's long.
[10:05.980 --> 10:11.660]  It's a lot of shows. It's a lot of, like, big season shows. I've been meaning to go through Seinfeld again, but that's a lot of seasons.
[10:12.580 --> 10:12.960]  Nine.
[10:13.420 --> 10:21.580]  Nine. See, that's a lot. TV series are intimidating to me, so I'd probably watch a different show. I'd probably add a new show to the list.
[10:24.160 --> 10:27.260]  I wasn't expecting your answer just to be, I'll watch another show.
[10:28.420 --> 10:31.340]  I'm pretty good at finding time for the stuff that's important.
[10:32.020 --> 10:36.380]  Gavin, you've given me the gift of Below Deck Mediterranean Season 6.
[10:38.780 --> 10:42.600]  I guess more time with family? I don't know. What's the answer you would like?
[10:46.940 --> 10:48.220]  What do you want from me here?
[10:49.180 --> 10:56.120]  Because I'm willing to say that I now have time. Now that I have time for things, Gavin, how do you think I should use this time that you've gifted me?
[10:56.500 --> 11:01.580]  Use it however you want. I just thought you would say, oh, this is like a DIY project, so I need to clean this thing.
[11:01.680 --> 11:05.020]  DIY? Yeah, I mean, yeah, I could do some cleaning. That's fair.
[11:06.840 --> 11:12.740]  Yeah, I mean, you can always clean. Dust is endless. It keeps coming.
[11:15.120 --> 11:22.620]  You're not really selling him on speeding and improving his life. Your big winning point here, Gavin, is like,
[11:22.620 --> 11:25.920]  I'm going to give you so much more time to clean throughout the day.
[11:26.900 --> 11:30.680]  Well, he needs to clean. Everybody needs to clean.
[11:32.780 --> 11:36.680]  Aren't you like ankle deep in your own shit and cat piss right now?
[11:36.960 --> 11:40.340]  Yep. Stay on top of it, though. It's already gone.
[11:42.680 --> 11:46.000]  I'm sitting four feet from where my dog threw up an hour ago.
[11:46.980 --> 11:51.980]  It was such a fluid morning. Five minutes before we started recording. Predator.
[11:52.720 --> 11:57.380]  Andrew, what are you sat on at the moment? I got a new chair that sucks. It's terrible.
[11:58.100 --> 12:00.340]  Terrible chair. I don't know what I'm going to do.
[12:00.820 --> 12:03.480]  I think we can fix your Herman Miller.
[12:04.060 --> 12:08.360]  There's apparently like a code or something on it that you can call. I need to check that.
[12:08.680 --> 12:14.860]  I saw the subreddit thread about it, and there were a ton of suggestions of chairs that might work for you.
[12:15.040 --> 12:16.420]  I saw that. Yeah.
[12:17.220 --> 12:22.600]  I like that you would immediately, after that conversation, came up with a thing that you need time to do.
[12:22.860 --> 12:24.600]  Oh, I should do that. I should look into that.
[12:26.140 --> 12:28.300]  Hold on, it's Seinfeld season two.
[12:28.640 --> 12:29.320]  There we go.
[12:30.800 --> 12:34.000]  Where did you get your current chair from then, Andrew?
[12:34.420 --> 12:34.820]  Amazon.
[12:35.440 --> 12:35.980]  Ooh.
[12:36.420 --> 12:36.800]  Ooh.
[12:37.300 --> 12:37.540]  Yeah.
[12:38.060 --> 12:38.500]  Ooh.
[12:39.120 --> 12:41.320]  Unfortunate. It's an unfortunate decision.
[12:41.800 --> 12:43.780]  What's lacking about it?
[12:45.700 --> 12:51.080]  I'm proportionally weird, and it just doesn't fit my lifestyle.
[12:51.360 --> 12:53.580]  It doesn't fit me in a way that it's comfortable.
[12:54.020 --> 12:54.980]  It doesn't fit your long back?
[12:55.600 --> 13:01.020]  Yeah, it's the combination of short legs and long back and the way that the seat is shaped.
[13:01.140 --> 13:02.660]  It just is not working.
[13:03.460 --> 13:05.400]  I'm sitting on like the front of the seat.
[13:05.540 --> 13:08.540]  It's sort of, imagine like a seat.
[13:09.220 --> 13:10.900]  I could just put a photo of the seat.
[13:11.000 --> 13:12.240]  It looks a lot comfier though.
[13:12.680 --> 13:13.520]  What do you think?
[13:14.000 --> 13:33.320]  Have you ever seen those Instagram ads where they, you buy that product, they send you the sheets of like weird blue gel, and you put your feet in the gel, and then you send it back to them, and then they give you like a foot insert that's perfectly molded to you to like help with, I don't know, like sciatica or whatever kind of foot pain you have.
[13:33.500 --> 13:34.620]  You think it should lie down in one?
[13:35.060 --> 13:47.040]  I'm wondering if there's a chair version of that for Andrew, where you go and you sit into it, and then you sink into like the weird goop, and then it solidifies like silicone or whatever, and then they build a chair out of that mold.
[13:48.060 --> 13:51.240]  I feel like you'd get suctioned in though. It'd be hard to get out of it.
[13:52.660 --> 13:54.060]  Well, I'm sure they have the technology.
[13:54.520 --> 13:57.240]  So you see that front like ass lip on it?
[13:57.720 --> 13:57.860]  Yeah.
[13:58.000 --> 13:58.380]  Oh, wow.
[13:58.380 --> 14:05.040]  I have a hard time like clearing, I end up on that a lot, because my legs hit the chair.
[14:05.320 --> 14:07.060]  Are the arms too narrow?
[14:07.460 --> 14:09.060]  No, they're fine. Arms are fine.
[14:09.360 --> 14:10.540]  How important is rolling?
[14:11.360 --> 14:15.100]  Well, yeah, that's the problem. The chair rolls away from me when I try to sit on it.
[14:15.300 --> 14:19.460]  Because if you're having trouble because your legs are short, why don't you just take the wheels off of it?
[14:20.480 --> 14:23.460]  Because then it just, it's like skids, right?
[14:24.160 --> 14:25.740]  Are you on its lowest setting?
[14:26.060 --> 14:26.900]  I am, yeah.
[14:26.900 --> 14:32.300]  Why don't you get one of those plastic chair mats for the ground so you don't scuff your floor up?
[14:32.720 --> 14:33.500]  That's not a bad idea.
[14:33.760 --> 14:38.140]  And then you could take the wheels off and then it'll be lower to the ground and it can't scoot away from you.
[14:38.580 --> 14:39.960]  That is not a bad idea.
[14:40.340 --> 14:45.380]  Have you tried pushing the chair against a wall, then getting in it and shimmying back over to the desk?
[14:45.680 --> 14:49.980]  I kind of do that already with the bed. I use the bed behind me.
[14:52.340 --> 14:58.820]  The bed slowly inches closer towards the desk with every night, and then I have to push the bed back.
[14:59.100 --> 15:05.220]  But there are times in which the bed is directly behind the chair, and it makes it very easy to do that.
[15:05.820 --> 15:08.740]  Has the uncomfortable chair been causing more tub time than normal?
[15:09.440 --> 15:10.180]  Uh, no.
[15:11.120 --> 15:12.520]  Well, no, that's not true, yes.
[15:12.520 --> 15:14.020]  Only because...
[15:15.220 --> 15:16.100]  Only because...
[15:18.800 --> 15:23.260]  Does the chair exacerbate any other issues? Like, how are the ankles?
[15:23.940 --> 15:28.340]  Ankles are great. Everything is great. It's just all butt pain.
[15:28.680 --> 15:30.880]  It's not comfy. It's not comfy to sit on.
[15:31.240 --> 15:37.460]  But you're not, like, overcompensating in another area and then, you know, like, weakening your knees or ankles or anything like that?
[15:37.460 --> 15:39.200]  No, not that I'm aware of, yeah. It's all good.
[15:39.400 --> 15:39.840]  Good, good, good.
[15:39.840 --> 15:41.460]  All good.
[15:42.440 --> 15:47.020]  Speaking of pain, though, I saw something that I feel would be very validating.
[15:47.640 --> 15:49.420]  You, Geoff. I don't know if you've seen this.
[15:49.860 --> 15:51.260]  Because you're a big Howard Stern guy.
[15:52.000 --> 15:57.900]  There's Howard Stern interviewing 50 Cent about what it feels like to get shot in the face.
[15:58.340 --> 15:59.000]  Have you seen this clip?
[15:59.460 --> 16:00.100]  No, I have not.
[16:00.640 --> 16:05.680]  I mean, I remember, I remember the interview from, like, 20 years ago or whatever.
[16:05.780 --> 16:06.640]  I remember that it happened.
[16:07.600 --> 16:09.300]  Uh, but I don't remember the specifics.
[16:09.300 --> 16:12.980]  He was asking 50 Cent what it was like to get shot in the face and how painful it is.
[16:13.580 --> 16:18.080]  50 Cent was having a hard time articulating the specifics of that.
[16:18.160 --> 16:20.740]  Yeah, it's that interview that Eric just posted a photo of.
[16:20.900 --> 16:22.360]  50 Cent talks getting shot nine times.
[16:23.360 --> 16:31.140]  Uh, he was struggling to discuss, like, the specific feel of getting shot in the face, what it is like, and equating it to pain.
[16:31.140 --> 16:39.440]  And in the process of trying to explain it, he was like, it doesn't necessarily hurt an extreme amount.
[16:40.020 --> 16:44.400]  Like, going to the dentist and getting a root canal is significantly worse.
[16:44.960 --> 16:45.540]  Hell yeah!
[16:45.740 --> 16:48.720]  You have experienced worse pain, Geoff, than getting shot in the face.
[16:48.720 --> 16:51.940]  I've been shot like seven times in the last three years!
[16:52.400 --> 16:54.340]  It's incredible. You've made it through a lot.
[16:54.880 --> 16:56.220]  No more mouth bullets for me.
[16:56.340 --> 17:00.240]  But that is exceptionally validating, Andrew. Thank you.
[17:00.240 --> 17:02.780]  No more drive-by candy towards me, please.
[17:02.940 --> 17:04.960]  I assume it's like an adrenaline thing?
[17:05.560 --> 17:10.360]  Maybe, yeah. And I just don't know, are there a lot of pain sensors in your face?
[17:11.660 --> 17:12.540]  Pain sensors?
[17:13.080 --> 17:13.160]  Nerves?
[17:13.160 --> 17:17.660]  Nerves, yeah, yeah. Listen, we were just playing Predator, okay?
[17:17.740 --> 17:21.200]  I'm big on the pain sensor. That's my build when I play Predator.
[17:21.840 --> 17:24.820]  Uh, the pain sensors, aka nerves.
[17:26.400 --> 17:28.300]  It was clear what I was talking about.
[17:28.300 --> 17:30.720]  I got it completely. I'm on your side.
[17:30.800 --> 17:31.260]  I understood.
[17:31.640 --> 17:36.260]  Don't nerves sense pain? On a technical level, didn't I describe them correctly?
[17:36.820 --> 17:37.180]  100%.
[17:37.180 --> 17:40.420]  I guess they feel pain, they don't really sense it. It's not like, ooh, pain's coming.
[17:40.660 --> 17:41.040]  Pain receptors.
[17:42.020 --> 17:45.200]  Just like if you wanted to buy food, you could go to a food store.
[17:46.000 --> 17:49.620]  That is true. I mean, I don't know, do you mean a grocery store?
[17:50.080 --> 17:50.400]  Could be.
[17:50.520 --> 17:53.680]  There's some confusion. I guess anything could be a food store that has food.
[17:53.680 --> 17:54.420]  It could be a cooked food store if you're on a different kind, yeah.
[17:54.580 --> 17:54.960]  That's fair.
[17:54.960 --> 18:01.280]  I have plenty of other notes. I was pausing for a minute to let you guys interject.
[18:01.480 --> 18:03.300]  Do you want me to just keep going on notes I have?
[18:03.660 --> 18:07.000]  I got one note and it's so bad I don't think I'm going to say it.
[18:07.200 --> 18:09.860]  Okay, well, I have a thing I'm very excited to talk about.
[18:10.220 --> 18:12.440]  We're all idiots. We're dumb.
[18:13.360 --> 18:15.720]  How did none of us just Google Gmail?
[18:16.360 --> 18:19.700]  No, how did none of us Google regulation store?
[18:19.800 --> 18:23.400]  Have you seen all the posts about what happens when you just Google regulation store?
[18:23.860 --> 18:25.700]  Why would you Google regulation store?
[18:25.820 --> 18:28.300]  Why would you Google it when we gave you like three URLs?
[18:28.540 --> 18:32.460]  We're not stupid, Andrew. I want to be really clear. We're not stupid.
[18:32.500 --> 18:33.140]  I did say it was taken.
[18:33.720 --> 18:37.920]  Yeah, we did say it was taken and we said go to regulationstore.store or regulationstore.com.
[18:38.180 --> 18:41.940]  Yeah, I feel like we were incredibly clear. I'm not sure why you would Google it.
[18:42.000 --> 18:44.120]  Hang on. No, no, no, no, no, no, no, no, no. You wait.
[18:44.400 --> 18:47.940]  Because I don't know why we would give you a URL and then you would Google it.
[18:50.020 --> 18:55.500]  Just the fact that none of us tried just to see what would be there is, I think, wild.
[18:55.820 --> 18:59.260]  That none of us tested it just to see. Maybe someone did. I certainly didn't.
[18:59.840 --> 19:03.180]  That is how I Google things. Like, I am the person that would search in that way.
[19:03.300 --> 19:05.860]  And it did not cross my mind to do that.
[19:05.860 --> 19:09.000]  Well, it sounds like the point of failure in this was you.
[19:09.540 --> 19:12.260]  Yeah, I don't know. What else should we have Googled?
[19:12.760 --> 19:15.960]  Like, just try Googling it once just to see.
[19:15.960 --> 19:18.740]  Like, I don't think we did anything wrong. I think everything is correct.
[19:19.380 --> 19:27.440]  It's the fact that I was blindsided by the fact that when you search regulation store, it leads to a bondage sex shop in the UK.
[19:29.100 --> 19:33.420]  Which is perfect. Hey man, that's what a regulation store in the UK is.
[19:33.780 --> 19:38.020]  Is it? Can you confirm? Gavin? Is that the base store?
[19:38.920 --> 19:40.880]  It's that and pubs and charity shops.
[19:45.040 --> 19:47.920]  You buy bondage gear out of Greggs?
[19:48.120 --> 19:53.080]  I just Googled regulation cup and it took me to golfsupplydirect.com.
[19:53.160 --> 19:56.280]  Is that something we're going to have to contend with when we release the Gerpler?
[19:56.420 --> 19:59.240]  No, because we don't have any regulation cups. What are you talking about?
[19:59.420 --> 20:07.520]  We will. Come November. What I'm saying is that I firmly stand by this, that we only gave URLs.
[20:07.780 --> 20:10.860]  I don't know why you would Google regulation store when we gave you Gerpler.
[20:12.300 --> 20:15.260]  It's crazy. That is the craziest way for people to go.
[20:15.580 --> 20:19.920]  Also, probably, I've never done it, but probably don't Google Gerpler.
[20:20.860 --> 20:25.440]  Oh, Gerpler's probably a real bad one. I don't think that's going to get you anything you're looking for.
[20:25.560 --> 20:27.960]  Something to think about, I guess. I'm just going to go on a whim.
[20:28.660 --> 20:30.420]  No, I gotta do it. Yeah, what is Gerpler?
[20:31.620 --> 20:32.860]  Is .gerpler available?
[20:36.420 --> 20:39.700]  It's pretty wholesome. It's just a bunch of pictures of the Gerpler.
[20:39.700 --> 20:42.800]  It's mostly just us. Oh, it's us? We've claimed it?
[20:43.020 --> 20:44.780]  Yeah, we own it. Hell yeah.
[20:45.380 --> 20:48.260]  But this is how we're going to take regulation store by Googling it also.
[20:48.900 --> 20:55.140]  So I stand by, we did nothing wrong, we are smart, and I blame everyone else. The end.
[20:55.280 --> 20:56.560]  Yeah, fair. Fair enough.
[20:57.560 --> 21:05.160]  I was just shocked by it. What a weird name for a sex shop. It's the most mundane word.
[21:05.720 --> 21:06.920]  That's probably what they were going for.
[21:07.440 --> 21:08.080]  I guess so.
[21:08.080 --> 21:13.400]  I think it's why the guy picked James Bond as the name. Even though he's a spy, it's like the most boring name you could find.
[21:15.100 --> 21:17.580]  You mean the author? Or like within universe?
[21:18.460 --> 21:23.340]  Yeah, Ian Fleming looked at his books and there was like a bird watching book by someone called James Bond.
[21:24.140 --> 21:25.720]  James Bond is a bird watcher?
[21:26.400 --> 21:31.260]  Wait, I don't know about any of this. That's why he chose the name and the guy watches birds?
[21:31.680 --> 21:35.860]  I think it's something like that. I think it was like an ornithology thing.
[21:37.760 --> 21:40.600]  Ian Fleming, James Bond name.
[21:41.020 --> 21:45.440]  If you're Googling this, you need to be careful. It might take you to a sex shop. You never know.
[21:47.180 --> 21:49.180]  Don't Google James Bondage.
[21:51.780 --> 21:56.140]  This is him explaining the character, which is not what I want.
[21:56.740 --> 22:01.560]  Bond was a compound of all three of all the secret agents and commando types I met during the war.
[22:01.720 --> 22:03.840]  That is not a bird watcher. I'm here for bird watching.
[22:04.360 --> 22:09.560]  I'm here for books because it's interesting because James Bond, I would argue now is a very cool name.
[22:09.840 --> 22:11.460]  But because of the character.
[22:11.620 --> 22:12.260]  He cooled it up.
[22:12.780 --> 22:17.020]  It's hard to imagine a time in which James Bond was viewed as a lame name.
[22:17.460 --> 22:23.960]  According to Google's AI overview, Ian Fleming, the creator of James Bond, chose the name for his fictional secret agent
[22:23.960 --> 22:29.680]  from the cover of Birds of the West Indies by American ornithologist James Bond.
[22:29.680 --> 22:33.020]  Fucking James Bond is American, you bitches.
[22:36.340 --> 22:37.740]  We're taking him back.
[22:38.500 --> 22:45.160]  I wonder if and or when they learned that they were James Bond, that they were sourced for James Bond.
[22:45.740 --> 22:46.300]  If he was alive.
[22:46.800 --> 22:48.740]  Yeah, that's if they were alive.
[22:48.740 --> 22:53.780]  And also like when Ian, I don't know when that came out, but that was how they came up with the idea for that name.
[22:54.300 --> 22:56.580]  Let's look up ornithologist James Bond.
[22:56.580 --> 22:59.980]  Because I would never personally, like even if I wrote a book.
[22:59.980 --> 23:01.740]  Oh dude, this guy's fucking awesome.
[23:02.220 --> 23:03.580]  Yeah? Oh, you found a picture of him?
[23:03.660 --> 23:05.680]  Oh dude, I'm about to send it to you. Hold on.
[23:05.780 --> 23:06.780]  Are we about to get Brimleed?
[23:07.840 --> 23:09.460]  Oh, this guy's pretty cool.
[23:10.360 --> 23:11.200]  Pretty fucking cool.
[23:11.500 --> 23:15.960]  Now that's, that's a guy who could take on Oddjob and Jaws at the same time.
[23:15.960 --> 23:27.180]  Dude, he definitely, he definitely knew this motherfucker lived from January 4th, 1900 to February 14th, 1989.
[23:28.020 --> 23:29.220]  Holy shit.
[23:29.660 --> 23:30.980]  He had to have known.
[23:32.180 --> 23:33.200]  He's from Philadelphia.
[23:34.340 --> 23:35.240]  Fictional namesake.
[23:35.820 --> 23:37.180]  Oh, it's even in his bio.
[23:37.760 --> 23:43.080]  The spy James Bond wrapped in Dr. Doolittle, which is a combo I'd never considered, but I really like.
[23:43.920 --> 23:52.060]  James Bond just sending birds after Oddjob, stealing his hat, flying away with it so he can't use it anymore.
