[00:01.060 --> 00:02.540]  The summer sun hums.
[03:59.920 --> 04:01.940]  You start going through gins and you're like, stop, stop.
[04:03.400 --> 04:05.880]  So I'm similarly struggled like Eric, I think.
[04:06.180 --> 04:07.760]  Yeah, I... the same thing.
[04:07.860 --> 04:10.180]  Where it was just like, I like tequila soda.
[04:10.300 --> 04:11.960]  Well, that's okay. Well, fuck.
[04:12.580 --> 04:14.540]  Margarita? Goddamn. Like, it's just like a lot of that.
[04:14.720 --> 04:16.740]  Did you also do the thing where you're like, best?
[04:16.740 --> 04:21.520]  Non-alcoholic drinks and they're like, here's the best non-alcoholic cocktail that you could have.
[04:21.660 --> 04:24.700]  Oh, yeah. It was mostly just cocktails that they wanted me to make.
[04:24.840 --> 04:26.420]  And then I just went, well, this...
[04:26.420 --> 04:27.220]  I was going to do a bit.
[04:27.880 --> 04:30.740]  I was going to do a bit where I was going to go like...
[04:31.900 --> 04:32.620]  Virgin painkiller.
[04:33.280 --> 04:34.000]  Virgin daiquiri.
[04:34.740 --> 04:35.460]  Virgin margarita.
[04:35.780 --> 04:37.740]  But then I went, no, I'm going to try.
[04:37.960 --> 04:40.160]  I'm going to give it a shot and see how it goes.
[04:41.220 --> 04:43.700]  You guys are like, I got to try to put something together.
[04:43.700 --> 04:50.980]  Meanwhile, I am nervously sweating looking at my draft board trying to determine what Mountain Dew is the third best.
[04:51.040 --> 04:54.040]  Like, it is... we've had completely different experiences.
[04:54.420 --> 04:57.360]  So everyone is saying that they're not really a drinks guy.
[04:57.660 --> 04:59.180]  I only drink water.
[04:59.640 --> 05:00.740]  Yeah. I drink water.
[05:01.760 --> 05:02.880]  Well, that's gonna be a rough one.
[05:03.240 --> 05:05.060]  You better hope you're high on the draft board.
[05:08.760 --> 05:11.880]  I got news for you, buddy. Water's on my list, too.
[05:12.400 --> 05:13.600]  It's a really good drink.
[05:14.880 --> 05:16.140]  It's not on mine.
[05:16.340 --> 05:17.200]  Some would say the best.
[05:20.220 --> 05:23.120]  The first time I had a Coke was in the Gerplichug.
[05:26.100 --> 05:34.000]  Oh, man. Okay. Well, we have Aneg lined up. But how many times do we randomize? Is it 49? Because it's Jeff's birthday!
[05:35.460 --> 05:37.480]  Eric said it, not me. 49 it is.
[05:38.040 --> 05:40.480]  Most drinks have water. That's H2O. 2O is 20.
[05:41.240 --> 05:42.280]  How about 2?
[05:43.200 --> 05:50.680]  But hold on. A, B, C, D, E, F, G, H. H is the 8th letter. So how many times will 8 go into 20? Two times?
[05:50.980 --> 05:52.720]  Well, let's say 8 goes into 12.
[05:53.160 --> 05:54.520]  I'm pushing for 2, Nick.
[05:54.800 --> 05:57.240]  I want you to know I'm on Nick's side here.
[05:57.340 --> 05:58.860]  H minus 20 is 12.
[05:59.940 --> 06:00.340]  Okay.
[06:01.460 --> 06:02.920]  How many times are we randomizing?
[06:03.200 --> 06:06.140]  I think we're doing 12. H minus 20 is 12.
[06:08.780 --> 06:09.140]  Um...
[06:09.820 --> 06:10.940]  I'm voting 2.
[06:11.940 --> 06:12.900]  It's gotta be more than 2.
[06:13.360 --> 06:16.700]  Okay, hang on. Wait. So we have two votes for 2 and two votes for 12?
[06:17.120 --> 06:21.060]  Eric, replace all the names with the numbers 1 to 10 and we'll figure out how many times...
[06:21.060 --> 06:26.520]  Wait, wait, wait. No, because we have to take a vote. We have to take a vote. So there's two votes for 2 and two votes for 12.
[06:26.700 --> 06:30.080]  And now Eric has all the power.
[06:31.440 --> 06:36.120]  Ah, we love the way this swung and that's why we're doing it 12 times!
[06:36.860 --> 06:38.580]  You can edit the video.
[06:41.220 --> 06:43.520]  I did not expect that to go my way.
[06:44.080 --> 06:44.280]  Hell yeah!
[06:44.800 --> 06:46.380]  I'll make this smaller.
[06:46.580 --> 06:47.420]  Eric's never on our side.
[06:47.420 --> 06:47.880]  Hang on.
[06:47.960 --> 06:49.300]  What good is this gonna do?
[06:49.760 --> 06:53.580]  Because now, when we randomize, this is always in the same spot.
[06:54.340 --> 06:54.760]  Oh, okay.
[06:54.800 --> 06:55.860]  You can just throw a black bar.
[06:56.120 --> 06:56.600]  Oh, God.
[06:56.600 --> 06:57.540]  Let me just use a VPN.
[07:00.060 --> 07:01.400]  First of 12!
[07:02.520 --> 07:04.620]  Gavin, Jeff, Eric, Andrew, Nick!
[07:05.480 --> 07:08.180]  Why have we done this for every fucking draft? What are we doing?
[07:08.340 --> 07:09.840]  Well, I can't even see it.
[07:09.960 --> 07:10.640]  That's why.
[07:10.840 --> 07:12.400]  We're iterating. We're learning.
[07:12.520 --> 07:14.700]  Gavin, Jeff, Andrew, Nick, Eric.
[07:14.960 --> 07:15.720]  What the fuck?
[07:17.220 --> 07:17.660]  Gavin!
[07:17.920 --> 07:18.740]  What the fuck?
[07:19.340 --> 07:20.320]  Get out of here, Gavin.
[07:20.480 --> 07:22.120]  Andrew, Nick, Jeff, Eric.
[07:22.420 --> 07:23.020]  Number 4!
[07:23.500 --> 07:25.420]  Nick, Jeff, Gavin, Eric, Andrew.
[07:27.440 --> 07:27.880]  5...
[07:27.880 --> 07:32.460]  Oh, number 1. I want one so bad. It's the most I've ever wanted one.
[07:32.460 --> 07:34.660]  Here's 6, Jeff at the top.
[07:34.800 --> 07:36.260]  I need one. I need it.
[07:36.420 --> 07:37.920]  7, Nick at the top.
[07:38.140 --> 07:38.640]  I need to beat Eric.
[07:38.820 --> 07:40.680]  8, Eric at the top.
[07:40.780 --> 07:41.060]  Uh-oh.
[07:41.780 --> 07:43.480]  9, Nick at the top.
[07:44.620 --> 07:46.460]  10, Jeff at the top.
[07:46.640 --> 07:50.400]  11 is Andrew, Gavin, Nick, Jeff, Eric.
[07:51.420 --> 07:53.620]  And now, number 12!
[07:54.140 --> 07:56.120]  Come on! Come on!
[07:56.620 --> 07:58.900]  Gavin, Andrew, Nick, Eric, Jeff.
[07:59.020 --> 07:59.280]  No!
[07:59.280 --> 07:59.440]  No!
[07:59.980 --> 08:02.160]  Yeah, yeah, yeah, yeah, yeah!
[08:02.820 --> 08:05.880]  God damn. I'm gonna lose two of my picks in the first one.
[08:10.320 --> 08:11.340]  Oh, man.
[08:13.860 --> 08:19.980]  Fellas, we randomized 12 times and now it's time for the best non-alcoholic drink draft to begin.
[08:20.140 --> 08:23.380]  Gavin, first pick here.
[08:23.700 --> 08:28.660]  How about for the prize of this, winner gets whatever their first pick is.
[08:28.840 --> 08:30.080]  Whatever their first round pick is.
[08:30.080 --> 08:30.780]  Ooh.
[08:31.260 --> 08:31.780]  Interesting.
[08:32.240 --> 08:32.660]  Love it.
[08:33.320 --> 08:35.160]  On the house, on the company.
[08:35.540 --> 08:36.260]  On the company.
[08:36.900 --> 08:37.040]  Okay.
[08:37.160 --> 08:42.860]  I would also like to say I'm willing to sell my slot in this draft for 25 bucks.
[08:43.460 --> 08:43.980]  Jeff?
[08:45.160 --> 08:49.240]  I don't want to pay $25 for his...
[08:49.240 --> 08:51.420]  Hold on, what number is he in the slot?
[08:51.940 --> 08:52.540]  He's number one?
[08:53.180 --> 08:53.360]  Yeah.
[08:54.040 --> 08:56.920]  So, you know, Apple Pay, cash, and it's all yours.
[08:58.140 --> 08:58.980]  Don't do it, Jeff.
[08:59.040 --> 08:59.520]  It's your birthday.
[09:00.460 --> 09:01.620]  Do you have Venmo?
[09:02.060 --> 09:02.940]  Jeff, don't do it.
[09:03.400 --> 09:03.960]  Got Venmo?
[09:04.560 --> 09:04.820]  No!
[09:08.440 --> 09:09.880]  No, no, no.
[09:10.080 --> 09:10.540]  Wow.
[09:11.480 --> 09:12.300]  My first pick.
[09:14.080 --> 09:16.360]  It's a very nice liquid.
[09:17.560 --> 09:18.400]  You're fucked.
[09:18.500 --> 09:19.840]  You have nothing for two through four.
[09:20.760 --> 09:26.020]  This is a very nice liquid that I'd never tried until I met a Jeffrey Ramsey.
[09:26.020 --> 09:28.820]  And that liquid is coffee.
[09:29.100 --> 09:31.420]  Oh, shit.
[09:31.840 --> 09:32.900]  Eat shit, Eric!
[09:33.980 --> 09:34.720]  We suck.
[09:34.980 --> 09:36.860]  Well, we're both fucks. I could have got coffee.
[09:37.480 --> 09:40.000]  I really wanted coffee. I thought you were going to go water.
[09:40.320 --> 09:42.180]  I thought it would be so funny if I picked coffee.
[09:44.140 --> 09:44.900]  Oh, man.
[09:45.060 --> 09:45.460]  Fuck you.
[09:45.580 --> 09:46.400]  That really threw me.
[09:46.720 --> 09:47.460]  Have it every morning?
[09:47.740 --> 09:50.100]  Thanks to Eric, I'm trying it in the afternoons as well.
[09:50.220 --> 09:51.400]  Oh, how's that been going for you?
[09:51.880 --> 09:53.520]  Pretty good. Not keeping me up?
[09:53.520 --> 09:55.580]  Yeah, right. It's a nice little pick-me-up.
[09:55.680 --> 09:57.700]  It's not doing too much. You can also just add a little bit of water.
[09:57.840 --> 10:00.120]  Like, make it a little weaker. Have a little water. Half-caffeine. You're good.
[10:00.260 --> 10:04.280]  And if I make my morning coffee late enough, I just have the dregs of that in the afternoon.
[10:04.960 --> 10:06.280]  Oh, that sounds awful.
[10:07.500 --> 10:08.220]  It's not great.
[10:10.700 --> 10:11.060]  Yum.
[10:12.320 --> 10:13.540]  Andrew, your first pick.
[10:13.820 --> 10:17.180]  I'm going to go with the number one soda in the world. I'm going Coca-Cola.
[10:17.640 --> 10:20.640]  It is classic. Love it as a summer drink.
[10:20.860 --> 10:22.200]  Love it as a slurpee.
[10:22.200 --> 10:24.560]  You can go all sorts of ways with Coke.
[10:25.060 --> 10:26.340]  Number one brand leader.
[10:26.560 --> 10:29.160]  I think, hands down, best drink.
[10:29.800 --> 10:30.060]  Okay.
[10:30.620 --> 10:31.500]  Very good pick.
[10:32.320 --> 10:32.840]  Nick.
[10:33.780 --> 10:36.840]  Alright, so this is as close as you can get to drip coffee.
[10:37.280 --> 10:39.580]  And still consider it to be that.
[10:39.660 --> 10:44.600]  It's an Americano, which is basically like a shot of espresso, but filled with water to make up the difference.
[10:44.920 --> 10:45.320]  So it's...
[10:45.320 --> 10:46.240]  I feel like that's coffee.
[10:48.520 --> 10:50.200]  I'll let you guys argue about it.
[10:50.280 --> 10:52.000]  After the hash brown thing?
[10:52.520 --> 10:52.680]  Yeah.
[10:54.420 --> 10:55.940]  I'm queued. You're shredded.
[10:56.060 --> 10:57.520]  No, I'm shredded. You're queued. Hold on.
[10:58.580 --> 10:59.140]  It doesn't matter.
[10:59.200 --> 11:03.100]  I was going to say that I feel like it's coffee, but I don't know anything about coffee.
[11:03.260 --> 11:07.040]  So would Diet Coke be acceptable as Eric's pick if Andrew's picked Coke?
[11:07.240 --> 11:08.220]  Yeah, it's not the same thing.
[11:08.320 --> 11:08.400]  I would think so.
[11:08.780 --> 11:09.880]  Totally different product.
[11:10.600 --> 11:11.840]  They're different products entirely.
[11:12.060 --> 11:14.540]  Different flavor, different product entirely.
[11:14.540 --> 11:17.520]  Completely different, but close, but different.
[11:17.800 --> 11:19.580]  It's going to kill you in a totally different way.
[11:19.800 --> 11:20.360]  Yeah, exactly.
[11:21.620 --> 11:22.500]  So Americano.
[11:22.560 --> 11:25.400]  Well, Gavin already knew what my pick was.
[11:26.420 --> 11:27.160]  Diet Coke it is.
[11:32.400 --> 11:33.280]  I feel...
[11:33.280 --> 11:34.000]  What?
[11:35.100 --> 11:35.600]  What do you mean?
[11:37.120 --> 11:40.480]  We got coffee, Coke, coffee, and Coke.
[11:40.680 --> 11:41.700]  What an excellent first round.
[11:42.160 --> 11:45.180]  Listen, you're not a beverages guy. There's a wild difference.
[11:45.180 --> 11:46.300]  I love Coca-Cola.
[11:46.620 --> 11:48.640]  I spit in the face of Diet Coke.
[11:48.840 --> 11:50.080]  I don't like Diet Coke.
[11:50.580 --> 11:51.140]  I'm with you.
[11:51.180 --> 11:53.480]  I don't like Diet Coke at all.
[11:53.780 --> 11:56.300]  And I would never drink a Coke to save my life.
[11:56.420 --> 11:57.300]  I'd much rather have a Diet Coke.
[11:57.400 --> 11:59.420]  Oh, yeah, I think Diet Coke sucks.
[11:59.580 --> 12:00.500]  I don't like it at all.
[12:00.520 --> 12:01.860]  Did you do that to spite Jeff?
[12:01.960 --> 12:02.600]  What are you doing?
[12:03.440 --> 12:06.680]  I'm trying to make the best, the strongest list in the world, bud.
[12:07.360 --> 12:08.840]  He's here to win the Super Bowl.
[12:08.980 --> 12:11.000]  He doesn't necessarily have to like the pick.
[12:11.080 --> 12:12.700]  He's trying to build a winning team.
[12:12.700 --> 12:14.660]  So it's my turn.
[12:15.980 --> 12:19.800]  And here's where I was gonna go with it, and now I'm not.
[12:19.960 --> 12:24.920]  I was gonna try to get coffee, iced coffee, cold brew, and iced turbo,
[12:25.240 --> 12:27.820]  because I consider them all four to be different things.
[12:28.160 --> 12:31.020]  But since that's blown, and we're already doing the Americano stuff,
[12:31.200 --> 12:32.620]  I'm gonna leave coffee alone.
[12:32.980 --> 12:33.400]  Okay.
[12:33.780 --> 12:41.140]  I'm gonna go with my current favorite sody in the world, which is Diet Starry.
[12:42.220 --> 12:44.000]  Wow, that's your favorite one right now?
[12:44.260 --> 12:45.220]  I like Starry right now.
[12:45.300 --> 12:46.740]  I like the little lemon-lime dudes.
[12:46.880 --> 12:49.160]  I like how the lemon guy wears a lime costume,
[12:49.300 --> 12:50.940]  and the lime guy wears a lemon costume.
[12:51.020 --> 12:52.320]  It fucks with my head a little bit.
[12:52.600 --> 12:55.840]  And I love the story behind it, if you don't know about Starry.
[12:56.140 --> 12:59.780]  They just showed up one day, advertising in NBA games.
[13:00.540 --> 13:01.600]  A brand came out of nowhere.
[13:02.000 --> 13:06.360]  What happened is Pepsi, PepsiCo, they had Sierra Mist,
[13:06.860 --> 13:09.520]  and then there was some fucking influencer lady named Sierra Mist,
[13:09.520 --> 13:13.480]  and they tried to sue her, to have her stop using the name,
[13:13.560 --> 13:14.540]  but she had the name first.
[13:14.880 --> 13:17.040]  So what ended up happening was they fucked themselves,
[13:17.160 --> 13:20.500]  and lost access to their own name, and so they had to return to Starry.
[13:20.680 --> 13:21.860]  Oh, that's what happened?
[13:22.440 --> 13:23.740]  That's why Starry exists.
[13:23.860 --> 13:25.460]  It's just Sierra Mist with a different name.
[13:26.000 --> 13:26.720]  I had no idea.
[13:26.920 --> 13:27.280]  Wow.
[13:27.360 --> 13:28.580]  I had no idea about that either.
[13:29.200 --> 13:32.080]  I wondered if it was a different recipe, and I feel like you answered that.
[13:32.120 --> 13:33.800]  It is the exact same, it sounds like.
[13:34.380 --> 13:35.820]  I think it's the exact same.
[13:36.540 --> 13:39.020]  Hit pause on whatever you're listening to,
[13:39.280 --> 13:41.020]  and hit play on your next adventure.
[13:41.560 --> 13:44.180]  Stay two nights and get a $50 Best Western gift card.
[13:44.740 --> 13:45.300]  Life's a trip.
[13:45.700 --> 13:47.080]  Make the most of it at Best Western.
[13:47.680 --> 13:50.140]  Visit bestwestern.com for complete terms and conditions.
[13:51.040 --> 13:54.260]  A massage chair might seem a bit extravagant,
[13:54.600 --> 13:55.740]  especially these days.
[13:56.220 --> 13:58.780]  Eight different settings, adjustable intensity,
[13:59.320 --> 14:02.760]  plus it's heated, and it just feels so good.
[14:03.840 --> 14:06.680]  Yes, a massage chair might seem a bit extravagant,
[14:07.020 --> 14:08.300]  but when it can come with a car,
[14:10.140 --> 14:11.920]  suddenly it seems quite practical.
[14:12.280 --> 14:15.040]  The all-new 2025 Volkswagen Tiguan,
[14:15.380 --> 14:18.640]  packed with premium features like available massaging front seats,
[14:19.040 --> 14:20.760]  it only feels extravagant.
[14:20.780 --> 14:23.980]  And now I'm going to pick something that nobody is going to pick.
[14:24.080 --> 14:26.140]  I'm going to put a picture of it, because I get to go back to back.
[14:26.340 --> 14:27.160]  This is a weird one.
[14:27.300 --> 14:28.960]  I promise you I'm not being a dickhead.
[14:29.320 --> 14:31.160]  This is something that I genuinely liked.
[14:32.700 --> 14:33.220]  Vimto.
[14:33.380 --> 14:34.400]  What is that?
[14:35.460 --> 14:37.460]  It just ravaged my list.
[14:39.820 --> 14:42.820]  I didn't expect for a second to lose Vimto.
[14:43.780 --> 14:44.780]  Are you shitting me?
[14:45.760 --> 14:46.980]  Are you serious?
[14:48.020 --> 14:48.480]  Yeah.
[14:49.120 --> 14:50.520]  I love Vimto, man.
[14:51.660 --> 14:54.960]  It's like a fruit juice I used to drink in Kuwait all the time.
[14:55.080 --> 14:56.220]  They would always give it to us as a gift.
[14:56.820 --> 14:58.040]  God damn it.
[14:58.860 --> 14:59.620]  That's funny.
[15:00.060 --> 15:01.720]  I've never heard of Vimto.
[15:02.220 --> 15:06.040]  One time I dropped a bottle of Vimto in front of my door at the barracks in Kuwait,
[15:06.140 --> 15:09.840]  and I just left it, and they sent the MPs because they thought it was a blood trail.
[15:10.300 --> 15:11.560]  Oh my god.
[15:12.580 --> 15:13.660]  Oh my god.
[15:13.760 --> 15:15.140]  I had to explain some shit.
[15:15.860 --> 15:21.060]  Vimto is a British mixed fruit soft drink containing the juice of grapes,
[15:21.880 --> 15:23.680]  raspberries, and black currants,
[15:24.620 --> 15:25.840]  flavored with herbs and spices.
[15:25.940 --> 15:26.720]  What does it taste like?
[15:26.720 --> 15:31.220]  It says here on Google it's over 100 years old and has an indescribable flavor.
[15:31.720 --> 15:32.520]  Yeah, indescribable.
[15:32.820 --> 15:35.540]  It's like a syrupy, dark fruit juice.
[15:35.660 --> 15:36.360]  I don't know how to describe it.
[15:37.180 --> 15:39.820]  It's like in the same world as grape juice, but very different.
[15:40.440 --> 15:40.800]  Huh.
[15:41.920 --> 15:42.280]  Interesting.
[15:42.960 --> 15:43.320]  Vimto.
[15:43.420 --> 15:44.580]  I like that you fucked up Gavin.
[15:44.820 --> 15:45.060]  That's funny.
[15:45.240 --> 15:46.320]  I really didn't mean to.
[15:46.420 --> 15:50.200]  I didn't think anybody would have heard of it, to be honest.
[15:50.240 --> 15:50.840]  That's what I thought.
[15:53.900 --> 15:55.100]  Um, okay.
[15:55.580 --> 15:57.820]  My second pick, my first pick, Diet Coke.
[15:58.700 --> 15:59.580]  What a delicious soda.
[16:00.680 --> 16:04.340]  My second pick, I drink black coffee.
[16:04.580 --> 16:07.720]  That is the only really form of coffee that I'll have.
[16:07.800 --> 16:09.440]  I'll have iced coffee, but usually it's just black.
[16:09.900 --> 16:15.760]  Except one time of year where I am a slut for a pumpkin spice latte.
[16:16.220 --> 16:19.740]  I love a pumpkin spice latte.
[16:20.180 --> 16:21.320]  This is bullshit.
[16:21.620 --> 16:22.140]  I fucking love it.
[16:22.220 --> 16:23.340]  I love it.
[16:23.620 --> 16:27.020]  And it's so good and different from regular coffee.
[16:27.740 --> 16:29.600]  This is the shittiest draft we've ever done.
[16:30.160 --> 16:30.920]  Wow, what's wrong?
[16:31.280 --> 16:32.520]  Guys, I took coffee.
[16:33.100 --> 16:33.560]  That's not coffee.
[16:33.560 --> 16:34.560]  No, he took Vimto.
[16:34.740 --> 16:36.460]  You took coffee and then my thing's different.
[16:36.540 --> 16:37.840]  It doesn't say coffee anywhere on there.
[16:38.020 --> 16:38.560]  That's not coffee.
[16:38.620 --> 16:39.120]  This is pumpkin spice latte.
[16:39.560 --> 16:45.060]  If I went up to Starbucks and I said, give me a coffee, and they handed me a pumpkin spice latte, it's different things, bud.
[16:45.280 --> 16:49.140]  The problem, Gavin, is that I don't know enough about coffee to be on your side.
[16:49.140 --> 16:50.260]  I don't know what a latte is.
[16:50.320 --> 16:50.860]  I have no clue.
[16:51.040 --> 16:52.520]  It's made with fucking coffee beans.
[16:52.820 --> 16:55.360]  I think I'm on your side, but I just don't know.
[16:56.320 --> 16:57.100]  Geoff, thoughts?
[16:57.480 --> 17:05.760]  I think a pumpkin spice latte is not as offensive as a choice as Americano was.
[17:06.200 --> 17:06.480]  I agree.
[17:07.120 --> 17:08.100]  I think it's less controversial.
[17:08.320 --> 17:08.640]  It is further.
[17:08.640 --> 17:13.820]  See, what I've done by picking coffee, though, compared to everyone else is now I can't put like a cappuccino because I've already put coffee.
[17:14.880 --> 17:16.400]  Yeah, you can put cappuccino if you want.
[17:16.700 --> 17:17.240]  They're different.
[17:18.120 --> 17:19.100]  I'm sorry, Gavin.
[17:19.180 --> 17:20.240]  You just said it's a different name.
[17:20.300 --> 17:22.140]  You said I can't put cappuccino, but you can.
[17:22.200 --> 17:24.420]  But I've wasted... I could have put that instead of coffee.
[17:25.160 --> 17:26.220]  I mean, you could have, but you didn't.
[17:26.220 --> 17:27.000]  I guess you should have done that.
[17:27.120 --> 17:29.420]  It just seemed weird that you picked coffee when you could just...
[17:29.420 --> 17:31.600]  Yeah, weird. I didn't think other people would also be picking coffee.
[17:31.760 --> 17:32.780]  Weird. Hmm. Weird.
[17:33.200 --> 17:33.760]  Well, we didn't.
[17:34.700 --> 17:34.920]  Okay.
[17:35.000 --> 17:36.160]  Yeah, we picked pumpkin spice latte.
[17:36.520 --> 17:36.780]  Yeah.
[17:37.240 --> 17:41.540]  I'm going to watch you making an Americano and a pumpkin spice latte without using coffee.
[17:41.820 --> 17:42.380]  Let's see how that goes.
[17:42.440 --> 17:45.040]  Well, I'm going to watch you make any drink without water, asshole.
[17:45.040 --> 17:47.940]  You have a drink to learn.
[17:49.480 --> 17:50.040]  That's fair.
[17:50.240 --> 17:50.680]  That's fair.
[17:52.060 --> 17:53.180]  Nick, second pick.
[17:53.940 --> 17:55.280]  I'm so pissed at you.
[17:55.400 --> 17:59.720]  I was going to say a basic bitch my way through all of October with the pumpkin spice latte.
[18:00.060 --> 18:01.360]  I was saving that for this.
[18:01.460 --> 18:02.000]  But you know what?
[18:02.480 --> 18:03.180]  It's just to keep rolling.
[18:03.900 --> 18:03.980]  Huh?
[18:04.860 --> 18:07.040]  I'm going to go with a wonderful...
[18:07.920 --> 18:11.700]  It's a variation of an Earl Grey tea spiced with vanilla and honey.
[18:11.780 --> 18:12.840]  It's called a London Fog.
[18:13.040 --> 18:14.600]  I like to get it with a shot of espresso.
[18:15.620 --> 18:16.660]  Wait, what?
[18:16.940 --> 18:18.460]  You get a London Fog with espresso?
