[00:00.000 --> 00:01.720]  Hey, it's Paris.
[01:41.180 --> 01:42.360]  show format ever.
[01:42.740 --> 01:44.660]  Yeah, this is a...
[01:44.660 --> 01:47.160]  I could tell it was a real Andrew idea because this is
[01:47.160 --> 01:49.160]  the closest we're going to get to sports
[01:50.240 --> 01:50.760]  media.
[01:50.760 --> 01:52.260]  You know what I mean?
[01:52.380 --> 01:54.700]  This is so close. Hot take,
[01:54.800 --> 01:56.940]  first take, like that kind of thing
[01:56.940 --> 01:58.660]  that it read
[01:58.660 --> 02:00.200]  as true to me all the way.
[02:00.820 --> 02:02.340]  Well, until we do a March Madness bracket.
[02:02.980 --> 02:03.500]  That's true.
[02:04.340 --> 02:06.540]  But this is, again, not a draft.
[02:06.820 --> 02:08.680]  The first thing Gavin asked when he got here
[02:08.680 --> 02:10.060]  today, is this a draft?
[02:10.560 --> 02:12.800]  We reassured him, no, it's not.
[02:13.200 --> 02:14.060]  The pool is takes.
[02:14.820 --> 02:16.060]  Yeah, the pool is takes.
[02:16.440 --> 02:18.500]  But also, there's no real pool
[02:18.500 --> 02:19.460]  because it's not a draft.
[02:20.840 --> 02:22.520]  So, Andrew, how many
[02:22.520 --> 02:24.560]  takes are... I mean, we'll go one at a time,
[02:24.580 --> 02:26.500]  but how many takes are we going
[02:26.500 --> 02:27.660]  to be giving each?
[02:28.160 --> 02:30.540]  I don't know how long it'll take for us to go
[02:30.540 --> 02:32.480]  through everybody's takes. It'll be interesting to see.
[02:32.720 --> 02:34.380]  So, maybe we'll do one each, maybe
[02:34.380 --> 02:36.400]  we'll do two each. We will state
[02:36.400 --> 02:37.820]  our take and then
[02:38.440 --> 02:40.500]  you can sort of defend or maybe people
[02:40.500 --> 02:42.440]  just agree. And that's the
[02:42.440 --> 02:43.440]  support of the take.
[02:44.040 --> 02:46.480]  This is a thing I largely wanted to do
[02:46.480 --> 02:48.420]  because I have a take that I think about
[02:48.420 --> 02:50.680]  all the time that I don't know how else
[02:50.680 --> 02:52.540]  to put it. Like, this can't
[02:52.540 --> 02:54.560]  be a draft. This isn't really a
[02:54.560 --> 02:55.560]  podcast subject.
[02:56.100 --> 02:57.740]  So I had to create a show
[02:59.460 --> 03:00.660]  around being able
[03:00.660 --> 03:01.740]  to discuss this take.
[03:02.080 --> 03:04.340]  I have an opinion. I need a show for that.
[03:04.340 --> 03:06.640]  I have an opinion. We need a vehicle
[03:06.640 --> 03:07.880]  to discuss this opinion.
[03:08.400 --> 03:10.120]  It's an opinion I have not heard often.
[03:10.200 --> 03:12.240]  But how do we determine the order
[03:12.240 --> 03:13.840]  of delivering these takes?
[03:13.840 --> 03:16.300]  Well, you should go first because you built a show around your take.
[03:16.420 --> 03:17.880]  Yeah, I absolutely think you should go
[03:17.880 --> 03:19.540]  first. I think we could also go
[03:19.540 --> 03:21.820]  in Discord order, which is
[03:21.820 --> 03:23.880]  just our names in order here, which appears
[03:23.880 --> 03:25.900]  to be alphabetical. So, maybe
[03:25.900 --> 03:26.800]  we just go that way.
[03:27.740 --> 03:29.700]  We'll see how it goes. Now, you mentioned a timer.
[03:30.120 --> 03:30.860]  Is there a timer?
[03:31.840 --> 03:33.820]  Not a timer for the take, but I just know
[03:33.820 --> 03:35.740]  maybe somebody's take will
[03:35.740 --> 03:37.720]  take four minutes to do. Maybe somebody's will take
[03:37.720 --> 03:40.020]  two. I just wanted to make sure
[03:40.020 --> 03:40.960]  I didn't have to run a timer.
[03:40.960 --> 03:42.900]  No, no, no. You don't have to. This isn't like
[03:42.900 --> 03:44.920]  a strict debate format or anything.
[03:45.040 --> 03:47.000]  I don't know. Gavin didn't even know if this was
[03:47.000 --> 03:47.580]  a draft or not.
[03:48.740 --> 03:49.640]  That's very fair.
[03:51.260 --> 03:51.980]  Gavin Rebuttal?
[03:55.000 --> 03:56.860]  Andrew, why don't you lead us off with
[03:56.860 --> 03:58.840]  your first take? My first take
[03:59.800 --> 04:01.060]  is something I think about
[04:01.060 --> 04:02.980]  all the time. It's a weird thing to think about
[04:02.980 --> 04:04.200]  all the time. I'll acknowledge that.
[04:04.620 --> 04:07.060]  But it is something I think about quite frequently.
[04:07.780 --> 04:08.920]  My first take
[04:08.920 --> 04:11.140]  is that Taylor Kitsch deserves
[04:11.140 --> 04:13.200]  better. Taylor Kitsch
[04:13.200 --> 04:15.260]  has one of the worst
[04:15.260 --> 04:17.300]  acting careers in modern
[04:17.300 --> 04:19.460]  times, and I don't think it's his fault
[04:19.460 --> 04:20.940]  at all. I think he's pretty good.
[04:21.440 --> 04:23.180]  I think he's a solid actor.
[04:23.780 --> 04:25.420]  He was on Friday Night Lights,
[04:25.800 --> 04:27.000]  which is incredibly popular,
[04:27.660 --> 04:28.920]  and he has a
[04:28.920 --> 04:30.920]  run of things that just
[04:30.920 --> 04:33.020]  were terrible, but not terrible
[04:33.020 --> 04:34.500]  because it was his fault.
[04:34.880 --> 04:36.840]  My first example of this
[04:36.840 --> 04:38.560]  is he got to be Gambit
[04:38.560 --> 04:40.680]  in X-Men Origins Wolverine.
[04:40.820 --> 04:42.640]  He was Gambit. He was fine
[04:42.640 --> 04:45.120]  as Gambit,
[04:45.120 --> 04:46.540]  but that movie was terrible,
[04:46.540 --> 04:48.640]  and nothing expanded
[04:48.640 --> 04:50.640]  beyond that. It was a weird thing to
[04:50.640 --> 04:52.600]  read about the history of it, where they
[04:52.600 --> 04:54.680]  always wanted Channing Tatum, but he
[04:54.680 --> 04:56.700]  was always busy, and so
[04:56.700 --> 04:58.620]  they booked him because he wasn't available.
[04:59.140 --> 05:00.780]  But they gave him a three-movie deal, which
[05:00.780 --> 05:02.660]  did not happen. There was only
[05:02.660 --> 05:04.540]  a singular cameo because nobody
[05:04.540 --> 05:06.280]  liked X-Men Origins Wolverine.
[05:06.620 --> 05:08.620]  A beloved character in a
[05:08.620 --> 05:10.580]  beloved series of films, I think this
[05:10.580 --> 05:12.520]  is the most hated one by far.
[05:12.940 --> 05:14.020]  He just happened to be
[05:14.300 --> 05:16.560]  in the worst Wolverine that they
[05:16.560 --> 05:18.500]  could possibly make. You created
[05:18.500 --> 05:20.480]  an entire show for
[05:20.480 --> 05:21.140]  that take?
[05:21.880 --> 05:22.900]  I'm not done.
[05:23.480 --> 05:25.280]  Let me establish more.
[05:25.920 --> 05:28.600]  To be fair, it will still be the
[05:28.600 --> 05:30.580]  same take as he continues to argue
[05:30.580 --> 05:32.700]  this, so the answer to your question is yes.
[05:32.700 --> 05:34.240]  Justifying the take.
[05:34.700 --> 05:36.620]  Right, and so the answer to your question
[05:36.620 --> 05:38.660]  is yes, Gavin. We often
[05:38.660 --> 05:40.960]  talk about 1994,
[05:41.580 --> 05:42.500]  Amazing Jim Carrey,
[05:42.580 --> 05:44.580]  one of the best years of the film,
[05:45.040 --> 05:46.800]  Renny Ackerman, three absolute
[05:46.800 --> 05:48.720]  bangers. Taylor Kitsch had
[05:48.720 --> 05:50.780]  maybe the worst version of
[05:50.780 --> 05:52.820]  that, where he had a
[05:53.560 --> 05:54.240]  2012
[05:54.240 --> 05:57.020]  that was John Carter
[05:57.020 --> 05:59.120]  from Mars, Battleship,
[05:59.520 --> 06:00.260]  and Savages.
[06:00.260 --> 06:02.200]  All three of those, not
[06:02.200 --> 06:04.160]  his fault. John Carter was
[06:04.160 --> 06:06.260]  terrible. It was just like a soulless CG.
[06:06.420 --> 06:08.280]  It just was weird. There was no heart to it.
[06:08.680 --> 06:10.200]  Nobody came out of John Carter looking
[06:10.200 --> 06:12.040]  good. Battleship,
[06:12.780 --> 06:13.700]  absolute disaster.
[06:14.100 --> 06:16.120]  Just a terrible film. Not
[06:16.120 --> 06:17.960]  his fault. Savages,
[06:18.760 --> 06:20.100]  an Oliver Stone movie
[06:20.100 --> 06:22.120]  that had like all the pieces to be good, like
[06:22.120 --> 06:24.260]  you'd understand from the outside wanting to be in an
[06:24.260 --> 06:25.400]  Oliver Stone movie as a lead.
[06:25.820 --> 06:28.000]  All the acting in that movie is great.
[06:28.000 --> 06:30.060]  All around, just a really dumb
[06:30.060 --> 06:31.160]  bad story.
[06:32.700 --> 06:33.980]  Savages has like
[06:33.980 --> 06:36.000]  Benicio Del Toro and Aaron
[06:36.000 --> 06:37.420]  Taylor Johnson and stuff.
[06:37.820 --> 06:39.340]  It has a bunch of people.
[06:39.800 --> 06:41.800]  It is a weird thing where
[06:41.800 --> 06:43.980]  I would argue he was the only one
[06:43.980 --> 06:45.940]  impacted by the failure of Savages.
[06:46.120 --> 06:47.460]  100% absolutely agree.
[06:47.740 --> 06:50.080]  John Carter was like this also $300
[06:50.080 --> 06:51.740]  million Disney movie
[06:51.740 --> 06:53.440]  that was terrible.
[06:53.980 --> 06:56.100]  Nobody saw it. It was a huge flop.
[06:56.100 --> 06:57.880]  It was a summer flop
[06:57.880 --> 07:00.180]  for Taylor Kitsch, and I feel like
[07:00.180 --> 07:01.960]  that completely
[07:01.960 --> 07:04.120]  broke the wings off of what his
[07:04.120 --> 07:05.680]  career trajectory could be.
[07:05.840 --> 07:07.620]  But he had to fade
[07:07.620 --> 07:09.640]  into the distance, and so he went
[07:09.640 --> 07:11.280]  quiet for a little bit.
[07:11.580 --> 07:13.420]  Off the grid. He went dark.
[07:13.540 --> 07:15.920]  He then came back. I mean, he had
[07:15.920 --> 07:17.980]  Lone Survivor, which was like, it was fine.
[07:18.560 --> 07:20.060]  But then he got booked
[07:20.060 --> 07:22.020]  on True Detective Season 2.
[07:22.320 --> 07:24.120]  True Detective, the biggest
[07:24.120 --> 07:25.520]  show of that year.
[07:25.900 --> 07:28.260]  Everyone's loving it. It's a critical darling.
[07:28.540 --> 07:29.640]  They're running it back
[07:29.640 --> 07:31.100]  for Season 2.
[07:31.920 --> 07:33.840]  Everyone's so excited, and then
[07:33.840 --> 07:35.420]  everybody hated Season 2.
[07:35.940 --> 07:37.500]  It is the
[07:38.060 --> 07:39.420]  worst reviewed season
[07:40.120 --> 07:41.140]  of True Detective
[07:41.140 --> 07:43.300]  with a 61%.
[07:44.000 --> 07:45.960]  Once again, he was totally
[07:45.960 --> 07:47.580]  fine in it. He was good,
[07:47.840 --> 07:50.060]  I would say. Good performance by Taylor Kitsch.
[07:50.440 --> 07:52.100]  Just everything he touches
[07:52.100 --> 07:54.140]  is the worst version
[07:54.140 --> 07:56.040]  of that thing, but it is
[07:56.040 --> 07:57.300]  in no way his fault.
[07:57.680 --> 08:00.300]  He should be in most of the action roles
[08:00.300 --> 08:02.060]  that John Krasinski has had
[08:02.060 --> 08:03.420]  in the last five years.
[08:03.760 --> 08:06.180]  He would be so much better in all
[08:06.180 --> 08:08.040]  these sort of... I'm not saying that he's an
[08:08.040 --> 08:09.840]  Oscar-winning actor and that
[08:09.840 --> 08:12.120]  he should have been in these
[08:12.120 --> 08:13.760]  epic dramas, but
[08:13.760 --> 08:16.480]  any kind of generic John Krasinski
[08:16.480 --> 08:18.140]  action movie, I think he would
[08:18.140 --> 08:19.900]  have been significantly better at.
[08:19.900 --> 08:21.980]  Oh, I think that he's...
[08:21.980 --> 08:23.800]  The reason his career is what it is is
[08:23.800 --> 08:25.020]  because of Aaron Taylor Johnson.
[08:25.420 --> 08:27.440]  That role is filled by
[08:27.440 --> 08:29.800]  Aaron Taylor Johnson. If Aaron Taylor
[08:29.800 --> 08:30.940]  Johnson did not exist,
[08:31.540 --> 08:33.740]  this guy's working. This guy's working
[08:33.740 --> 08:35.000]  everything without him.
[08:35.400 --> 08:37.460]  It has been an interesting... He's had to
[08:37.460 --> 08:40.040]  go on Netflix-type series
[08:40.040 --> 08:41.560]  and he's building things back up,
[08:41.820 --> 08:43.760]  but I just think it's such a weird
[08:43.760 --> 08:45.620]  career where everything
[08:45.620 --> 08:47.460]  that he did, I understand,
[08:47.460 --> 08:49.240]  accepting and being like, yeah, I'm going to be in a
[08:49.240 --> 08:51.700]  Wolverine movie, I'm going to be in this,
[08:51.800 --> 08:53.500]  I'm going to be the lead of a
[08:53.500 --> 08:55.380]  Disney epic for $400 million,
[08:55.500 --> 08:57.000]  a huge box office movie,
[08:57.180 --> 08:59.380]  but none of it worked, and none of it was
[08:59.380 --> 09:01.260]  his fault. I just think that's incredibly
[09:01.260 --> 09:03.240]  fascinating. He's like the king of good
[09:03.240 --> 09:05.820]  franchise stick-out stinkers.
[09:06.200 --> 09:07.180]  He's always in the
[09:07.180 --> 09:09.400]  most dogshit version of the
[09:09.400 --> 09:10.820]  actual product. Absolutely.
[09:12.120 --> 09:13.380]  I just think
[09:13.380 --> 09:15.240]  it's such a fascinating career trajectory.
[09:15.240 --> 09:17.380]  If you gave me an infinite amount
[09:17.380 --> 09:18.460]  of time and
[09:19.420 --> 09:21.200]  500 million different guesses
[09:21.200 --> 09:23.000]  on what your take was going to be, I
[09:23.000 --> 09:24.580]  still wouldn't have come up with it.
[09:24.660 --> 09:27.440]  No, absolutely. He created a show,
[09:27.840 --> 09:29.200]  Gavin. He created a show
[09:29.200 --> 09:30.700]  so he can explain this to us.
[09:31.320 --> 09:33.280]  I think everyone is going to have fun takes,
[09:33.280 --> 09:35.160]  it's just I think about Taylor Kitsch's
[09:35.160 --> 09:36.140]  career a lot.
[09:37.100 --> 09:39.260]  A guy I've never heard of in a bunch
[09:39.260 --> 09:41.260]  of movies and shows I've never seen
[09:42.620 --> 09:43.580]  deserves better.
[09:44.080 --> 09:45.500]  You telling me you're not a big
[09:45.500 --> 09:46.780]  Friday Night Lights head?
[09:47.360 --> 09:49.360]  Never seen it. You weren't into the
[09:50.340 --> 09:51.680]  Texas high school
[09:51.680 --> 09:52.860]  football teen drama?
[09:53.480 --> 09:55.440]  I guess not. Crazy. I guess it never spoke to me.
[09:56.100 --> 09:57.480]  It was great. I'd highly
[09:57.480 --> 09:59.540]  recommend the show. There's an actor in the show
[09:59.540 --> 10:01.180]  that feels like he's not an actor
[10:01.180 --> 10:03.120]  and they just made a show around him
[10:03.960 --> 10:05.060]  and he's wonderful.
[10:05.420 --> 10:07.640]  Highly recommend it, just for his performance alone.
[10:08.200 --> 10:09.420]  Not Taylor Kitsch, but
[10:09.420 --> 10:11.640]  he runs a car dealership and he's great.
[10:13.200 --> 10:13.840]  Taylor Kitsch
[10:13.840 --> 10:14.680]  also very good in the show.
[10:15.000 --> 10:17.260]  But that is my take. Taylor Kitsch
[10:17.260 --> 10:19.280]  deserves so much better than he got
[10:19.280 --> 10:21.720]  and I'm happy to see that he's getting a little bit
[10:21.720 --> 10:23.700]  of a resurgence. I think Taylor Kitsch
[10:23.700 --> 10:25.540]  is exactly where he probably needs to be.
[10:25.760 --> 10:27.540]  I don't think that there's...
[10:27.540 --> 10:29.460]  I'm not clamoring for
[10:29.460 --> 10:31.680]  dude, the other guy from The Savages
[10:31.680 --> 10:33.300]  to be in...
[10:33.300 --> 10:35.660]  Because you didn't get to see him in those
[10:35.660 --> 10:37.680]  roles. That's what I'd argue.
[10:38.000 --> 10:39.360]  I think he could be
[10:39.360 --> 10:41.460]  a dynamic, fun action star
[10:41.460 --> 10:43.260]  and we just never got that.
[10:43.520 --> 10:44.940]  I think that if
[10:44.940 --> 10:47.360]  TV was still around, this
[10:47.360 --> 10:49.360]  guy would be Spike
[10:49.360 --> 10:51.220]  TV hero
[10:51.220 --> 10:53.440]  of whatever show is on Spike TV.
[10:53.600 --> 10:55.280]  Like, this is a
[10:55.280 --> 10:57.200]  cable actor.
[10:57.980 --> 10:59.340]  That is what this guy reads
[10:59.340 --> 11:00.740]  to me. I mean, that's fair.
[11:01.100 --> 11:03.160]  That's certainly where he's found his most success.
[11:03.700 --> 11:04.920]  Yeah, but...
[11:04.920 --> 11:06.860]  He was Gambit.
[11:07.720 --> 11:08.880]  He was Gambit
[11:08.880 --> 11:09.900]  for four minutes.
[11:10.200 --> 11:11.340]  He was Gambit.
[11:12.640 --> 11:14.180]  Four minutes of Gambit.
[11:14.520 --> 11:16.040]  I guess I have seen him as Gambit.
[11:16.600 --> 11:17.820]  And that's about it.
[11:18.460 --> 11:20.700]  I feel like he's the only person from
[11:20.700 --> 11:22.760]  this Deadpool, Wolverine era that
[11:22.760 --> 11:24.680]  we're in where they're bringing everybody back.
[11:24.760 --> 11:25.920]  He's never going to get brought back.
[11:26.580 --> 11:28.820]  Did they bring back the guy who was the blob?
[11:29.200 --> 11:29.540]  No.
[11:30.260 --> 11:32.960]  What about Will.i.am? Will.i.am wasn't in anything else.
[11:33.380 --> 11:34.460]  No, that's fair.
[11:34.460 --> 11:36.480]  Should your take be that Will.i.am
[11:36.480 --> 11:37.700]  should be in more X-Men movies?
[11:38.100 --> 11:40.600]  No. I didn't think he was that good.
[11:41.180 --> 11:42.240]  Oh, but
[11:42.240 --> 11:43.860]  Taylor Kitsch was?
[11:44.240 --> 11:46.060]  Yeah, he was fine. He was solid.
[11:46.860 --> 11:48.840]  I think you should edit Taylor Kitsch's
[11:48.840 --> 11:49.760]  next reel.
[11:50.100 --> 11:52.400]  I think you should reach out
[11:52.400 --> 11:54.440]  and see if Taylor Kitsch has
[11:54.440 --> 11:56.380]  any hot takes he wants to give, because I bet
[11:56.380 --> 11:57.240]  you could get him.
[11:58.520 --> 11:59.680]  We'll see what I can do.
[12:00.280 --> 12:02.580]  Maybe you can help him get on an Australian morning show.
[12:02.580 --> 12:02.820]  Yeah.
[12:04.920 --> 12:06.240]  He's nice. He's promoting
[12:07.040 --> 12:08.000]  our podcast.
[12:08.440 --> 12:10.680]  I think if it was based
[12:10.680 --> 12:12.540]  on how it worked with Gavin, he'd be promoting
[12:12.540 --> 12:14.000]  Friday Night Lights the show.
[12:19.360 --> 12:19.980]  How did
[12:19.980 --> 12:20.560]  it all start?
[12:21.460 --> 12:22.380]  How'd you get into acting?
[12:24.040 --> 12:25.000]  Oh, man.
[12:26.000 --> 12:27.620]  Well, that's my take. Eric,
[12:27.960 --> 12:29.940]  what is your take if we're going in
[12:29.940 --> 12:31.880]  Discord order? Your take was
[12:31.880 --> 12:34.000]  so interesting. I don't find mine to be as
[12:34.000 --> 12:35.980]  interesting. Yeah, I feel kind of dumb.
[12:36.160 --> 12:38.020]  Yeah. No, I definitely don't feel
[12:38.020 --> 12:39.460]  dumb. I definitely feel like,
[12:39.620 --> 12:41.540]  I don't know. We'll see how my takes
[12:41.540 --> 12:43.540]  weather. Yeah, I'm not sure I did this right.
[12:44.200 --> 12:46.080]  No. I'm so excited to get to Gavin's.
[12:46.260 --> 12:48.200]  My take
[12:48.740 --> 12:49.620]  is that
[12:49.620 --> 12:51.880]  the take of there are
[12:51.880 --> 12:54.000]  too many podcasts is
[12:54.000 --> 12:55.920]  a hack take from
[12:55.920 --> 12:58.060]  people who would kill
[12:58.060 --> 12:59.440]  to have a podcast.
[12:59.880 --> 13:01.960]  You hear it all
[13:01.960 --> 13:03.840]  the time. There are too many podcasts.
[13:03.980 --> 13:06.040]  We should put tariffs on podcast
[13:06.040 --> 13:06.540]  equipment.
[13:07.220 --> 13:08.080]  It's a
[13:09.740 --> 13:11.980]  hack take from hack people
[13:11.980 --> 13:13.600]  who, it's
[13:13.600 --> 13:15.680]  the low hanging fruit. It's the easy
[13:15.680 --> 13:17.660]  punching bag. Do I love how many
[13:17.660 --> 13:19.580]  podcasts there are? No. But
[13:19.580 --> 13:21.780]  the more podcasts that
[13:21.780 --> 13:23.760]  come out, the more listening hours
[13:23.760 --> 13:25.960]  are consumed monthly.
[13:26.420 --> 13:27.360]  Month on month
[13:27.360 --> 13:29.500]  since podcasts have
[13:29.500 --> 13:31.580]  become a large source
[13:31.580 --> 13:33.480]  of entertainment. I don't
[13:33.480 --> 13:35.400]  think there are too many
[13:35.400 --> 13:37.460]  podcasts. I don't think
[13:37.460 --> 13:39.120]  it should discourage anyone
[13:39.120 --> 13:40.840]  from starting a podcast.
[13:41.140 --> 13:43.740]  I think anyone with
[13:43.740 --> 13:45.480]  some ideas and
[13:45.480 --> 13:47.500]  everything can do this. I think
[13:47.500 --> 13:49.540]  that it's a lot easier to have the take
[13:49.540 --> 13:51.380]  online of there are too many podcasts than
[13:51.380 --> 13:53.440]  there are to try it yourself and see if
[13:53.440 --> 13:55.440]  you're successful. That's where that take
[13:55.440 --> 13:57.460]  comes from. And if you were to give
[13:57.460 --> 13:59.620]  those people microphones, they couldn't
[13:59.620 --> 14:01.340]  fucking wait to make three episodes
[14:01.340 --> 14:03.100]  and abandon it. That is
[14:03.100 --> 14:05.440]  the true way of
[14:05.440 --> 14:06.620]  podcasts is that.
[14:07.360 --> 14:09.500]  I think just because they are so popular
[14:09.500 --> 14:11.480]  and trending in such a
[14:11.480 --> 14:13.260]  big way, it's just an easy
[14:13.260 --> 14:15.000]  thing to say, but nobody
[14:15.740 --> 14:17.440]  really truly believes
[14:17.440 --> 14:19.060]  it by and large.
[14:19.580 --> 14:20.980]  That's my take.
[14:21.260 --> 14:23.000]  How many podcasts do you work on?
[14:23.560 --> 14:25.380]  I have right now. Well, Good Morning
[14:25.380 --> 14:26.880]  Gus is actually
[14:26.880 --> 14:29.580]  coming out right now. So there's one
[14:29.580 --> 14:31.360]  100% E and there's this
[14:31.360 --> 14:31.900]  one.
[14:33.260 --> 14:35.100]  We also have Creating Character,
[14:35.340 --> 14:37.380]  which you can check out. I didn't say promote them. I'm just
[14:37.380 --> 14:38.160]  looking for a number here.
[14:38.940 --> 14:41.420]  We can say four. I think four feels good.
[14:41.640 --> 14:43.500]  Yeah. Interesting.
[14:44.260 --> 14:45.480]  I agree with the
[14:45.480 --> 14:46.800]  take only because
[14:46.800 --> 14:49.360]  I think it's a weird situation
[14:49.360 --> 14:51.200]  in which, sure, there are too many
[14:51.200 --> 14:52.920]  podcasts, but who cares?
[14:53.500 --> 14:54.620]  There's also too much
[14:54.620 --> 14:55.980]  TV and too much radio.
[14:57.400 --> 14:58.540]  Everything's on all the time.
[14:58.900 --> 15:00.820]  Yes. I think that there's
[15:00.820 --> 15:02.840]  too many podcasts thing is just an easy thing
[15:02.840 --> 15:04.740]  to tweet out and be
[15:04.740 --> 15:06.860]  like, that's right. I'm above this.
[15:07.040 --> 15:08.760]  It's like, okay. I will say there are
[15:08.760 --> 15:10.660]  a lot of the same guy making the
[15:10.660 --> 15:12.140]  same podcast. There are.
[15:12.780 --> 15:14.520]  There's also a lot of YouTube channels
[15:14.520 --> 15:16.660]  and I think having the take
[15:16.660 --> 15:18.660]  in 2025 that there's too many YouTube channels
[15:18.660 --> 15:19.980]  is the same thing
[15:20.800 --> 15:22.020]  as there are too many
[15:22.020 --> 15:24.020]  podcasts, but that'll be in the next few
[15:24.020 --> 15:26.160]  years when the next wave of whatever
[15:26.160 --> 15:26.800]  entertainment
[15:27.700 --> 15:29.780]  comes out. I don't think it's
[15:29.780 --> 15:31.420]  necessarily so
[15:31.980 --> 15:33.200]  groundbreaking or
[15:33.940 --> 15:35.720]  really correct that there are
[15:35.720 --> 15:37.880]  too many podcasts. I think
[15:37.880 --> 15:40.020]  that shouldn't discourage anyone from picking up a mic
[15:40.020 --> 15:41.860]  and giving it a try. That
[15:41.860 --> 15:43.940]  doesn't mean you're absolved from consequences of
[15:43.940 --> 15:45.760]  things. It just means that
[15:45.760 --> 15:47.920]  I don't think that there are too many. I think there's
[15:47.920 --> 15:49.460]  a lot more stories to be told out there
[15:50.000 --> 15:51.780]  that people could be doing
[15:51.780 --> 15:54.000]  or saying. I think three guys
[15:54.000 --> 15:55.940]  who just went to a bar
[15:56.340 --> 15:57.940]  and coming home and then they don't have
[15:57.940 --> 15:59.700]  anything to say, but then get on a mic.
[15:59.860 --> 16:01.720]  That's what people think a podcast is,
[16:01.900 --> 16:03.660]  but that's not necessarily
[16:04.060 --> 16:05.820]  what you get from a lot of this stuff.
[16:06.180 --> 16:08.040]  That's my take. There are not actually
[16:08.040 --> 16:09.900]  too many podcasts. I think it's also
[16:09.900 --> 16:11.920]  a thing of what you expect to get out of the
[16:11.920 --> 16:13.220]  podcast that you're making. Yeah.
[16:14.120 --> 16:16.020]  Let's say maybe there's a philosophical
[16:16.020 --> 16:18.020]  thing of like, I'm going to get into podcasting
[16:18.540 --> 16:19.880]  and make a ton of money.
[16:20.300 --> 16:21.680]  That is not
[16:21.680 --> 16:23.840]  an easy or like a realistic
[16:23.840 --> 16:25.180]  thing to expect.
[16:25.920 --> 16:28.000]  There are so many podcasts like
[16:28.000 --> 16:29.860]  just, I mean, that is like
[16:29.860 --> 16:32.100]  from a budgetary or like a marketing
[16:32.100 --> 16:33.580]  standpoint of ads and all that.
[16:33.800 --> 16:36.040]  Sure, but if you're
[16:36.040 --> 16:37.960]  just making a podcast because you want to do it
[16:37.960 --> 16:39.800]  and you think it would be fun, like it
[16:39.800 --> 16:41.660]  seems absurd to be like, no,
[16:42.260 --> 16:44.080]  too many. You can't do it. Not
[16:44.080 --> 16:46.180]  allowed. That's how I feel about it. That's
[16:46.180 --> 16:48.360]  my take. I do respect the person
